"No.of.Valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"Total.of.Valid.Votes"	"No.of.rejected.votes"	"Total"	"No.of.tendered.votes"
"182"	"151"	"18"	"34"	"137"	"5"	"39"	"59"	"239"	"8"	"7"	"32"	"12"	"590"	"0"	"590"	"0"
"183"	"152"	"20"	"25"	"150"	"11"	"11"	"39"	"133"	"3"	"8"	"38"	"14"	"452"	"0"	"452"	"0"
"184"	"153"	"16"	"2"	"130"	"12"	"127"	"49"	"153"	"8"	"11"	"8"	"20"	"536"	"0"	"536"	"0"
"185"	"154"	"22"	"10"	"130"	"4"	"45"	"68"	"142"	"7"	"7"	"19"	"11"	"465"	"0"	"465"	"0"
"186"	"Round
Total"	"207"	"162"	"1472"	"109"	"424"	"553"	"2406"	"94"	"111"	"445"	"204"	"6187"	"0"	"6187"	"0"
"187"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"188"	"Booth No."	"DR.TRIBHU WAN SINGH"	"RABEE PRASAD"	"VIJAY SHANKER DUBEY"	"ANIL KUMAR SINGH"	"JAYNATH YADAV"	"QAMARUL HAQUE"	"JAGMATO DEVI"	"DALAN SINGH"	"BALRAM SINGH"	"VIKRAM KUWAR"	"VIRENDRA SHAHI"	""	""	""	""
"189"	"155"	"7"	"5"	"124"	"10"	"30"	"124"	"102"	"7"	"6"	"13"	"16"	"444"	"0"	"444"	"0"
"190"	"156"	"14"	"4"	"50"	"4"	"132"	"18"	"143"	"9"	"5"	"18"	"16"	"413"	"0"	"413"	"0"
"191"	"157"	"31"	"10"	"278"	"26"	"16"	"45"	"187"	"14"	"9"	"11"	"28"	"655"	"0"	"655"	"0"
"192"	"158"	"47"	"9"	"161"	"13"	"17"	"52"	"139"	"12"	"27"	"34"	"31"	"542"	"0"	"542"	"0"
"193"	"159"	"10"	"1"	"170"	"22"	"6"	"8"	"53"	"7"	"23"	"44"	"40"	"384"	"0"	"384"	"0"
"194"	"160"	"16"	"11"	"262"	"19"	"18"	"21"	"70"	"6"	"11"	"21"	"36"	"491"	"0"	"491"	"0"
"195"	"161"	"14"	"8"	"50"	"12"	"204"	"56"	"151"	"12"	"10"	"12"	"28"	"557"	"0"	"557"	"0"
"196"	"162"	"29"	"10"	"136"	"11"	"38"	"74"	"217"	"9"	"11"	"10"	"18"	"563"	"0"	"563"	"0"
"197"	"163"	"6"	"0"	"38"	"1"	"14"	"141"	"249"	"6"	"1"	"11"	"8"	"475"	"0"	"475"	"0"
"198"	"164"	"8"	"3"	"41"	"4"	"41"	"10"	"279"	"3"	"5"	"51"	"5"	"450"	"0"	"450"	"0"
"199"	"165"	"6"	"6"	"10"	"2"	"79"	"7"	"129"	"4"	"2"	"21"	"16"	"282"	"0"	"282"	"0"
"200"	"166"	"14"	"4"	"124"	"5"	"210"	"28"	"189"	"8"	"12"	"47"	"28"	"669"	"0"	"669"	"0"
"201"	"167"	"8"	"1"	"3"	"6"	"93"	"2"	"201"	"2"	"0"	"2"	"6"	"324"	"0"	"324"	"0"
"202"	"168"	"16"	"3"	"75"	"4"	"11"	"10"	"158"	"5"	"6"	"63"	"12"	"363"	"0"	"363"	"0"
"203"	"Round
Total"	"226"	"75"	"1522"	"139"	"909"	"596"	"2267"	"104"	"128"	"358"	"288"	"6612"	"0"	"6612"	"0"
"204"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"205"	"Booth No."	"DR.TRIBHU WAN SINGH"	"RABEE PRASAD"	"VIJAY SHANKER DUBEY"	"ANIL KUMAR SINGH"	"JAYNATH YADAV"	"QAMARUL HAQUE"	"JAGMATO DEVI"	"DALAN SINGH"	"BALRAM SINGH"	"VIKRAM KUWAR"	"VIRENDRA SHAHI"	""	""	""	""
"206"	"169"	"13"	"24"	"80"	"2"	"92"	"5"	"59"	"2"	"13"	"229"	"21"	"540"	"0"	"540"	"0"
"207"	"170"	"23"	"8"	"84"	"11"	"45"	"62"	"93"	"4"	"5"	"103"	"8"	"446"	"0"	"446"	"0"
"208"	"171"	"4"	"2"	"32"	"2"	"18"	"11"	"476"	"4"	"2"	"7"	"4"	"562"	"0"	"562"	"0"
"209"	"172"	"23"	"42"	"152"	"14"	"24"	"210"	"73"	"8"	"13"	"54"	"30"	"643"	"0"	"643"	"0"
"210"	"173"	"31"	"2"	"269"	"5"	"4"	"27"	"50"	"3"	"0"	"43"	"4"	"438"	"0"	"438"	"0"
"211"	"174"	"37"	"9"	"170"	"8"	"18"	"55"	"63"	"3"	"8"	"218"	"12"	"601"	"0"	"601"	"0"
"212"	"175"	"18"	"19"	"285"	"16"	"16"	"14"	"69"	"5"	"12"	"34"	"19"	"507"	"0"	"507"	"0"
"213"	"176"	"22"	"14"	"217"	"6"	"19"	"83"	"40"	"2"	"6"	"49"	"25"	"483"	"0"	"483"	"0"
"214"	"177"	"6"	"5"	"75"	"5"	"7"	"30"	"175"	"3"	"3"	"7"	"6"	"322"	"0"	"322"	"0"
"215"	"178"	"25"	"13"	"106"	"3"	"14"	"17"	"99"	"1"	"2"	"13"	"10"	"303"	"0"	"303"	"0"
"216"	"179"	"42"	"52"	"68"	"15"	"29"	"19"	"370"	"14"	"12"	"96"	"27"	"744"	"0"	"744"	"0"
"217"	"180"	"17"	"4"	"58"	"2"	"7"	"33"	"279"	"2"	"6"	"25"	"17"	"450"	"0"	"450"	"0"
"218"	"181"	"11"	"2"	"46"	"7"	"8"	"42"	"335"	"8"	"11"	"29"	"19"	"518"	"0"	"518"	"0"
"219"	"182"	"8"	"2"	"75"	"10"	"8"	"29"	"197"	"4"	"7"	"45"	"16"	"401"	"0"	"401"	"0"
"220"	"Round
Total"	"280"	"198"	"1717"	"106"	"309"	"637"	"2378"	"63"	"100"	"952"	"218"	"6958"	"0"	"6958"	"0"
"221"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"222"	"Booth No."	"DR.TRIBHU WAN SINGH"	"RABEE PRASAD"	"VIJAY SHANKER DUBEY"	"ANIL KUMAR SINGH"	"JAYNATH YADAV"	"QAMARUL HAQUE"	"JAGMATO DEVI"	"DALAN SINGH"	"BALRAM SINGH"	"VIKRAM KUWAR"	"VIRENDRA SHAHI"	""	""	""	""
"223"	"183"	"28"	"3"	"46"	"6"	"18"	"14"	"339"	"2"	"6"	"98"	"6"	"566"	"0"	"566"	"0"
"224"	"184"	"15"	"4"	"351"	"11"	"6"	"14"	"160"	"4"	"10"	"34"	"6"	"615"	"0"	"615"	"0"
"225"	"185"	"37"	"5"	"142"	"10"	"13"	"11"	"42"	"2"	"8"	"140"	"12"	"422"	"0"	"422"	"0"
"226"	"186"	"10"	"8"	"76"	"3"	"11"	"16"	"13"	"3"	"8"	"285"	"7"	"440"	"0"	"440"	"0"
"227"	"187"	"2"	"2"	"110"	"1"	"5"	"15"	"30"	"2"	"2"	"156"	"5"	"330"	"0"	"330"	"0"
"228"	"188"	"0"	"0"	"2"	"0"	"2"	"0"	"4"	"0"	"3"	"383"	"7"	"401"	"0"	"401"	"0"
"229"	"189"	"0"	"1"	"14"	"0"	"2"	"0"	"14"	"0"	"0"	"286"	"1"	"318"	"0"	"318"	"0"
"230"	"190"	"10"	"9"	"20"	"5"	"18"	"187"	"136"	"9"	"9"	"10"	"22"	"435"	"0"	"435"	"0"
"231"	"191"	"12"	"17"	"36"	"4"	"23"	"38"	"151"	"5"	"5"	"51"	"18"	"360"	"0"	"360"	"0"
"232"	"192"	"8"	"2"	"117"	"9"	"40"	"4"	"115"	"3"	"6"	"37"	"8"	"349"	"0"	"349"	"0"
"233"	"193"	"47"	"22"	"68"	"10"	"58"	"25"	"121"	"7"	"10"	"124"	"19"	"511"	"0"	"511"	"0"
"234"	"194"	"19"	"23"	"45"	"14"	"167"	"29"	"96"	"12"	"7"	"98"	"9"	"519"	"0"	"519"	"0"
"235"	"195"	"10"	"23"	"135"	"30"	"22"	"9"	"203"	"7"	"4"	"115"	"10"	"568"	"0"	"568"	"0"
"236"	"196"	"10"	"35"	"53"	"88"	"21"	"19"	"143"	"6"	"7"	"137"	"23"	"542"	"0"	"542"	"0"
"237"	"Round
Total"	"208"	"154"	"1215"	"191"	"406"	"381"	"1567"	"62"	"85"	"1954"	"153"	"6376"	"0"	"6376"	"0"
"238"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"239"	"Booth No."	"DR.TRIBHU WAN SINGH"	"RABEE PRASAD"	"VIJAY SHANKER DUBEY"	"ANIL KUMAR SINGH"	"JAYNATH YADAV"	"QAMARUL HAQUE"	"JAGMATO DEVI"	"DALAN SINGH"	"BALRAM SINGH"	"VIKRAM KUWAR"	"VIRENDRA SHAHI"	""	""	""	""
"240"	"197"	"19"	"1"	"92"	"6"	"32"	"10"	"278"	"7"	"8"	"23"	"16"	"492"	"0"	"492"	"0"
"241"	"198"	"39"	"23"	"163"	"18"	"139"	"31"	"101"	"17"	"8"	"62"	"19"	"620"	"0"	"620"	"0"
"242"	"199"	"28"	"20"	"105"	"10"	"83"	"27"	"165"	"4"	"4"	"25"	"16"	"487"	"0"	"487"	"0"
"243"	"200"	"19"	"3"	"52"	"6"	"50"	"11"	"201"	"14"	"15"	"41"	"21"	"433"	"0"	"433"	"0"
"244"	"201"	"28"	"22"	"176"	"15"	"76"	"37"	"49"	"2"	"9"	"51"	"18"	"483"	"0"	"483"	"0"
"245"	"202"	"16"	"5"	"51"	"12"	"11"	"267"	"16"	"4"	"5"	"17"	"12"	"416"	"0"	"416"	"0"
"246"	"203"	"47"	"65"	"185"	"17"	"27"	"139"	"47"	"5"	"8"	"19"	"18"	"577"	"0"	"577"	"0"
"247"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"248"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"249"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"250"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"251"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"252"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"253"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"254"	"Round
Total"	"196"	"139"	"824"	"84"	"418"	"522"	"857"	"53"	"57"	"238"	"120"	"3508"	"0"	"3508"	"0"
