"No.of..valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"223"	"B.F."	"4718"	"31546"	"1559"	"1852"	"36704"	"2522"	"1104"	"1621"	"2579"	"84205"	"0"	"84205"	"0"
"224"	"155"	"32"	"91"	"9"	"11"	"511"	"23"	"11"	"7"	"16"	"711"	""	"711"	""
"225"	"156"	"20"	"345"	"23"	"6"	"190"	"20"	"11"	"18"	"17"	"650"	""	"650"	""
"226"	"157"	"11"	"287"	"7"	"3"	"247"	"19"	"7"	"10"	"14"	"605"	""	"605"	""
"227"	"158"	"7"	"137"	"11"	"2"	"217"	"10"	"14"	"6"	"12"	"416"	""	"416"	""
"228"	"159"	"9"	"301"	"8"	"4"	"215"	"13"	"3"	"16"	"18"	"587"	""	"587"	""
"229"	"160"	"11"	"232"	"9"	"37"	"199"	"9"	"9"	"7"	"15"	"528"	""	"528"	""
"230"	"161"	"15"	"195"	"10"	"9"	"409"	"20"	"4"	"7"	"13"	"682"	""	"682"	""
"231"	"162"	"13"	"211"	"10"	"1"	"142"	"9"	"4"	"9"	"2"	"401"	""	"401"	""
"232"	"163"	"6"	"179"	"2"	"4"	"202"	"9"	"1"	"2"	"3"	"408"	""	"408"	""
"233"	"164"	"7"	"166"	"13"	"3"	"124"	"14"	"7"	"9"	"17"	"360"	""	"360"	""
"234"	"165"	"7"	"271"	"6"	"5"	"213"	"31"	"10"	"14"	"21"	"578"	""	"578"	""
"235"	"166"	"54"	"203"	"6"	"5"	"387"	"26"	"5"	"15"	"6"	"707"	""	"707"	""
"236"	"167"	"25"	"160"	"12"	"1"	"61"	"7"	"1"	"12"	"3"	"282"	""	"282"	""
"237"	"168"	"22"	"215"	"9"	"6"	"192"	"20"	"8"	"12"	"16"	"500"	""	"500"	""
"238"	"Page Total"	"4957"	"34539"	"1694"	"1949"	"40013"	"2752"	"1199"	"1765"	"2752"	"91620"	"0"	"91620"	"0"
"239"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"Serial No.of Polling Station*"	"Jagannath Thakur"	"Ram Deo Verma"	"Rameshwar Mahto"	"Phul babu Singh"	"RamBalak Singh"	"Kailash Paswan"	"Ram Naresh Yadav"	"Ram Nath Paswan"	"Ram Sagar Mahto"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"242"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"243"	"B.F."	"4957"	"34539"	"1694"	"1949"	"40013"	"2752"	"1199"	"1765"	"2752"	"91620"	"0"	"91620"	"0"
"244"	"169"	"14"	"146"	"6"	"7"	"104"	"11"	"4"	"8"	"7"	"307"	""	"307"	""
"245"	"170"	"47"	"33"	"2"	"8"	"457"	"20"	"6"	"3"	"24"	"600"	""	"600"	""
"246"	"171"	"10"	"165"	"10"	"12"	"197"	"17"	"7"	"15"	"10"	"443"	""	"443"	""
"247"	"172"	"6"	"249"	"9"	"11"	"218"	"29"	"10"	"17"	"13"	"562"	""	"562"	""
"248"	"173"	"12"	"172"	"17"	"7"	"242"	"19"	"15"	"13"	"24"	"521"	""	"521"	""
"249"	"174"	"8"	"139"	"4"	"3"	"167"	"6"	"1"	"1"	"4"	"333"	""	"333"	""
"250"	"175"	"1"	"347"	"1"	"1"	"23"	"1"	"0"	"0"	"1"	"375"	""	"375"	""
"251"	"176"	"15"	"262"	"8"	"2"	"238"	"10"	"12"	"9"	"15"	"571"	""	"571"	""
"252"	"177"	"41"	"149"	"9"	"6"	"303"	"36"	"13"	"11"	"12"	"580"	""	"580"	""
"253"	"178"	"56"	"140"	"8"	"3"	"388"	"27"	"13"	"7"	"24"	"666"	""	"666"	""
"254"	"179"	"19"	"100"	"5"	"5"	"133"	"27"	"12"	"20"	"16"	"337"	""	"337"	""
"255"	"180"	"59"	"87"	"3"	"5"	"191"	"13"	"1"	"6"	"3"	"368"	""	"368"	""
"256"	"181"	"119"	"306"	"10"	"2"	"102"	"4"	"6"	"11"	"10"	"570"	""	"570"	""
"257"	"182"	"40"	"178"	"13"	"4"	"143"	"20"	"6"	"14"	"9"	"427"	""	"427"	""
"258"	"Page Total"	"5404"	"37012"	"1799"	"2025"	"42919"	"2992"	"1305"	"1900"	"2924"	"98280"	"0"	"98280"	"0"
"259"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""
"261"	"Serial No.of Polling Station*"	"Jagannath Thakur"	"Ram Deo Verma"	"Rameshwar Mahto"	"Phul babu Singh"	"RamBalak Singh"	"Kailash Paswan"	"Ram Naresh Yadav"	"Ram Nath Paswan"	"Ram Sagar Mahto"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"262"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"263"	"B.F."	"5404"	"37012"	"1799"	"2025"	"42919"	"2992"	"1305"	"1900"	"2924"	"98280"	"0"	"98280"	"0"
"264"	"183"	"19"	"83"	"7"	"6"	"202"	"16"	"3"	"4"	"7"	"347"	""	"347"	""
"265"	"184"	"81"	"29"	"2"	"3"	"218"	"9"	"3"	"5"	"7"	"357"	""	"357"	""
"266"	"185"	"45"	"132"	"3"	"0"	"61"	"7"	"0"	"7"	"3"	"258"	""	"258"	""
"267"	"186"	"42"	"44"	"0"	"5"	"304"	"13"	"5"	"5"	"13"	"431"	""	"431"	""
"268"	"187"	"18"	"166"	"3"	"6"	"177"	"7"	"5"	"4"	"7"	"393"	""	"393"	""
"269"	"188"	"39"	"289"	"13"	"10"	"251"	"32"	"5"	"13"	"14"	"666"	""	"666"	""
"270"	"189"	"96"	"301"	"13"	"1"	"276"	"9"	"4"	"10"	"13"	"723"	""	"723"	""
"271"	"190"	"13"	"129"	"2"	"3"	"104"	"7"	"1"	"2"	"5"	"266"	""	"266"	""
"272"	"191"	"9"	"591"	"5"	"1"	"32"	"6"	"0"	"2"	"3"	"649"	""	"649"	""
"273"	"192"	"4"	"411"	"3"	"1"	"46"	"2"	"1"	"1"	"1"	"470"	""	"470"	""
"274"	"193"	"90"	"221"	"3"	"0"	"94"	"2"	"3"	"2"	"6"	"421"	""	"421"	""
"275"	"194"	"8"	"528"	"2"	"1"	"118"	"3"	"3"	"3"	"6"	"672"	""	"672"	""
"276"	"195"	"54"	"48"	"6"	"6"	"244"	"20"	"4"	"7"	"17"	"406"	""	"406"	""
"277"	"196"	"12"	"180"	"18"	"1"	"278"	"11"	"6"	"17"	"41"	"564"	""	"564"	""
"278"	"Page Total"	"5934"	"40164"	"1879"	"2069"	"45324"	"3136"	"1348"	"1982"	"3067"	"104903"	"0"	"104903"	"0"
"279"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""
"281"	"Serial No.of Polling Station*"	"Jagannath Thakur"	"Ram Deo Verma"	"Rameshwar Mahto"	"Phul babu Singh"	"RamBalak Singh"	"Kailash Paswan"	"Ram Naresh Yadav"	"Ram Nath Paswan"	"Ram Sagar Mahto"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"282"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"283"	"B.F."	"5934"	"40164"	"1879"	"2069"	"45324"	"3136"	"1348"	"1982"	"3067"	"104903"	"0"	"104903"	"0"
"284"	"197"	"17"	"486"	"14"	"4"	"96"	"10"	"4"	"11"	"9"	"651"	""	"651"	""
"285"	"198"	"3"	"267"	"8"	"4"	"171"	"18"	"9"	"10"	"11"	"501"	""	"501"	""
"286"	"199"	"19"	"477"	"10"	"2"	"107"	"9"	"6"	"8"	"5"	"643"	""	"643"	""
"287"	"200"	"88"	"185"	"18"	"3"	"184"	"14"	"3"	"9"	"4"	"508"	""	"508"	""
"288"	"201"	"12"	"727"	"5"	"1"	"61"	"0"	"1"	"4"	"6"	"817"	""	"817"	""
"289"	"202"	"15"	"282"	"5"	"3"	"103"	"7"	"2"	"6"	"6"	"429"	""	"429"	""
"290"	"203"	"27"	"315"	"12"	"4"	"177"	"17"	"1"	"8"	"8"	"569"	""	"569"	""
"291"	"204"	"13"	"288"	"14"	"8"	"189"	"19"	"8"	"13"	"15"	"567"	""	"567"	""
"292"	"205"	"17"	"242"	"8"	"5"	"140"	"5"	"5"	"11"	"9"	"442"	""	"442"	""
"293"	"206"	"23"	"292"	"34"	"7"	"220"	"17"	"6"	"16"	"11"	"626"	""	"626"	""
"294"	"207"	"11"	"86"	"4"	"0"	"159"	"12"	"3"	"2"	"3"	"280"	""	"280"	""
"295"	"208"	"16"	"177"	"8"	"6"	"190"	"18"	"8"	"20"	"17"	"460"	""	"460"	""
"296"	"209"	"13"	"111"	"4"	"4"	"229"	"17"	"9"	"8"	"26"	"421"	""	"421"	""
"297"	"210"	"3"	"179"	"5"	"1"	"94"	"9"	"4"	"8"	"5"	"308"	""	"308"	""
"298"	"Page Total"	"6211"	"44278"	"2028"	"2121"	"47444"	"3308"	"1417"	"2116"	"3202"	"112125"	"0"	"112125"	"0"
"299"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"300"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"Serial No.of Polling Station*"	"Jagannath Thakur"	"Ram Deo Verma"	"Rameshwar Mahto"	"Phul babu Singh"	"RamBalak Singh"	"Kailash Paswan"	"Ram Naresh Yadav"	"Ram Nath Paswan"	"Ram Sagar Mahto"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"302"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"303"	"B.F."	"6211"	"44278"	"2028"	"2121"	"47444"	"3308"	"1417"	"2116"	"3202"	"112125"	"0"	"112125"	"0"
"304"	"211"	"9"	"200"	"4"	"3"	"249"	"16"	"8"	"14"	"9"	"512"	""	"512"	""
"305"	"212"	"38"	"360"	"19"	"7"	"233"	"23"	"10"	"14"	"26"	"730"	""	"730"	""
"306"	"213"	"4"	"1"	"0"	"0"	"368"	"0"	"2"	"0"	"0"	"375"	""	"375"	""
"307"	"214"	"30"	"431"	"10"	"5"	"114"	"5"	"3"	"14"	"6"	"618"	""	"618"	""
"308"	"215"	"42"	"331"	"14"	"8"	"120"	"21"	"5"	"21"	"18"	"580"	""	"580"	""
"309"	"216"	"1"	"706"	"0"	"3"	"14"	"0"	"3"	"0"	"0"	"727"	""	"727"	""
"310"	"217"	"16"	"482"	"22"	"7"	"84"	"7"	"8"	"23"	"21"	"670"	""	"670"	""
"311"	"218"	"2"	"456"	"1"	"2"	"21"	"1"	"1"	"3"	"0"	"487"	""	"487"	""
"312"	"219"	"16"	"476"	"6"	"3"	"26"	"0"	"2"	"9"	"2"	"540"	""	"540"	""
"313"	"220"	"37"	"438"	"13"	"2"	"147"	"7"	"4"	"1"	"4"	"653"	""	"653"	""
"314"	"221"	"3"	"606"	"7"	"1"	"62"	"5"	"2"	"5"	"0"	"691"	""	"691"	""
"315"	"222"	"39"	"270"	"18"	"3"	"159"	"9"	"4"	"6"	"10"	"518"	""	"518"	""
"316"	"223"	"72"	"369"	"18"	"8"	"146"	"24"	"9"	"20"	"12"	"678"	""	"678"	""
"317"	"224"	"23"	"267"	"10"	"2"	"128"	"19"	"3"	"8"	"17"	"477"	""	"477"	""
"318"	"Page Total"	"6543"	"49671"	"2170"	"2175"	"49315"	"3445"	"1481"	"2254"	"3327"	"120381"	"0"	"120381"	"0"
"319"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"320"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""
"321"	"Serial No.of Polling Station*"	"Jagannath Thakur"	"Ram Deo Verma"	"Rameshwar Mahto"	"Phul babu Singh"	"RamBalak Singh"	"Kailash Paswan"	"Ram Naresh Yadav"	"Ram Nath Paswan"	"Ram Sagar Mahto"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"322"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"323"	"B.F."	"6543"	"49671"	"2170"	"2175"	"49315"	"3445"	"1481"	"2254"	"3327"	"120381"	"0"	"120381"	"0"
"324"	"225"	"16"	"240"	"10"	"3"	"91"	"7"	"10"	"12"	"8"	"397"	""	"397"	""
"325"	"226"	"27"	"242"	"20"	"5"	"167"	"16"	"15"	"20"	"25"	"537"	""	"537"	""
"326"	"227"	"6"	"311"	"7"	"0"	"49"	"6"	"2"	"11"	"4"	"396"	""	"396"	""
"327"	"Page Total"	"6592"	"50464"	"2207"	"2183"	"49622"	"3474"	"1508"	"2297"	"3364"	"121711"	"0"	"121711"	"0"
"328"	"Total No of votes recorded at Polling Stations"	"6592"	"50464"	"2207"	"2183"	"49622"	"3474"	"1508"	"2297"	"3364"	"121711"	"0"	"121711"	"0"
"329"	"No. of Votes recorded on Postal ballot Papers"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	""	"5"	""
"330"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"331"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""
"332"	"Serial No.of Polling Station*"	"Jagannath Thakur"	"Ram Deo Verma"	"Rameshwar Mahto"	"Phul babu Singh"	"RamBalak Singh"	"Kailash Paswan"	"Ram Naresh Yadav"	"Ram Nath Paswan"	"Ram Sagar Mahto"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"333"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"334"	"Total Votes Polled"	"6597"	"50464"	"2207"	"2183"	"49622"	"3474"	"1508"	"2297"	"3364"	"121716"	"0"	"121716"	"0"
"335"	"Place :- SAMASTIPUE COLLEGE, SAMASTIPUR                                                                                Asstt. R.O."	""	""	""	""	""	""	""	""	""	""	""	""	""
"336"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""
"337"	"99- Bibhutipur"	""	""	""	""	""	""	""	""	""	""	""	""	""
"338"	"Date:- 27th Feb 2005                                                                                                                                                                                    Samastipur"	""	""	""	""	""	""	""	""	""	""	""	""	""
