"Total.No..of.Electors.in.Assembly.Constituency....219368"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"195"	"172"	"172"	"29"	"85"	"4"	"178"	"6"	"7"	"6"	"6"	"11"	"5"	"509"	"0"	"509"	"0"
"196"	"173"	"173"	"31"	"113"	"9"	"246"	"12"	"4"	"28"	"8"	"17"	"20"	"661"	"0"	"661"	"0"
"197"	"174"	"174"	"26"	"120"	"10"	"19"	"3"	"3"	"5"	"5"	"230"	"13"	"608"	"0"	"608"	"0"
"198"	"175"	"175"	"11"	"23"	"5"	"14"	"3"	"3"	"2"	"12"	"266"	"4"	"518"	"0"	"518"	"0"
"199"	"176"	"176"	"28"	"142"	"10"	"88"	"10"	"8"	"39"	"14"	"147"	"15"	"677"	"0"	"677"	"0"
"200"	"177"	"177"	"28"	"82"	"4"	"28"	"5"	"8"	"7"	"5"	"51"	"4"	"399"	"0"	"399"	"0"
"201"	"178"	"178"	"12"	"103"	"7"	"123"	"7"	"2"	"7"	"4"	"48"	"8"	"499"	"0"	"499"	"0"
"202"	"179"	"179"	"12"	"47"	"5"	"93"	"2"	"5"	"12"	"4"	"128"	"12"	"499"	"0"	"499"	"0"
"203"	"180"	"180"	"199"	"20"	"0"	"11"	"3"	"0"	"1"	"7"	"44"	"6"	"471"	"0"	"471"	"0"
"204"	"181"	"181"	"207"	"64"	"2"	"6"	"3"	"1"	"4"	"2"	"1"	"2"	"473"	"0"	"473"	"0"
"205"	"182"	"182"	"61"	"64"	"4"	"35"	"5"	"3"	"15"	"16"	"258"	"9"	"652"	"0"	"652"	"0"
"206"	"183"	"183"	"38"	"41"	"8"	"48"	"6"	"5"	"7"	"6"	"142"	"15"	"499"	"0"	"499"	"0"
"207"	"184"	"184"	"61"	"32"	"5"	"9"	"4"	"5"	"8"	"15"	"160"	"7"	"490"	"0"	"490"	"0"
"208"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"209"	""	""	"Abdus Salam"	"Ram Niwas Pd."	"Ram Lakhan Mahto"	"Vijay Kumar Mishra"	"Irfanur Rahman"	"Ehtashamul Hassan"	"Sharla Devi"	"Md. Saeed Alam"	"Himanshu Shekhar Mallik"	"Md. Haider"	""	""	""	""
"210"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"211"	"185"	"185"	"404"	"18"	"1"	"10"	"0"	"1"	"0"	"1"	"5"	"0"	"625"	"0"	"625"	"0"
"212"	"186"	"186"	"371"	"20"	"0"	"0"	"1"	"2"	"0"	"4"	"3"	"3"	"590"	"0"	"590"	"0"
"213"	"187"	"187"	"167"	"41"	"3"	"73"	"4"	"5"	"3"	"24"	"43"	"25"	"575"	"0"	"575"	"0"
"214"	"188"	"188"	"117"	"33"	"5"	"131"	"7"	"1"	"7"	"4"	"49"	"6"	"548"	"0"	"548"	"0"
"215"	"189"	"189"	"277"	"115"	"2"	"0"	"2"	"2"	"3"	"12"	"3"	"3"	"608"	"0"	"608"	"0"
"216"	"190"	"190"	"98"	"11"	"6"	"91"	"1"	"6"	"30"	"3"	"6"	"5"	"447"	"0"	"447"	"0"
"217"	"191"	"191"	"94"	"79"	"16"	"122"	"14"	"7"	"62"	"6"	"48"	"22"	"661"	"0"	"661"	"0"
"218"	"192"	"192"	"26"	"78"	"6"	"275"	"13"	"15"	"14"	"13"	"76"	"23"	"731"	"0"	"731"	"0"
"219"	"193"	"193"	"23"	"69"	"12"	"183"	"11"	"4"	"27"	"11"	"168"	"19"	"720"	"0"	"720"	"0"
"220"	"194"	"194"	"41"	"105"	"21"	"196"	"15"	"5"	"42"	"5"	"67"	"19"	"710"	"0"	"710"	"0"
"221"	"195"	"195"	"85"	"188"	"8"	"133"	"7"	"10"	"20"	"3"	"34"	"22"	"705"	"0"	"705"	"0"
"222"	"196"	"196"	"119"	"143"	"7"	"4"	"2"	"4"	"2"	"4"	"0"	"4"	"485"	"0"	"485"	"0"
"223"	"Total No. of votes recording at polling
Stations"	""	"11763"	"25597"	"1988"	"20899"	"1397"	"994"	"5608"	"1721"	"8067"	"2657"	"80691"	"0"	"80691"	"0"
"224"	"No. of votes recorded on postal ballot papers (To be election from an
assembly constituency)"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"225"	"Total Votes polled"	""	"11763"	"25597"	"1988"	"20899"	"1397"	"994"	"5608"	"1721"	"8067"	"2657"	"80691"	"0"	"80691"	"0"
"226"	"Place :   DARBHANGA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"Date  :   27.02.2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"91 - Jale"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
