"Candidates.Name.......Booth.No"	"No..of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"Total.Valid.Voters"	"Total.No..of.Rejected.Voters"	"Total.No..of.Tender.Voters"
"126"	"112"	"11"	"175"	"6"	"128"	"10"	"0"	"0"	"1"	"1"	"0"	"2"	"7"	"4"	"3"	"16"	"11"	"1"	"11"	"26"	"4"	"4"	"421"	""	""
"127"	"113"	"8"	"316"	"18"	"52"	"47"	"4"	"2"	"1"	"2"	"3"	"1"	"6"	"5"	"2"	"7"	"9"	"11"	"9"	"14"	"5"	"2"	"524"	""	""
"128"	"114"	"12"	"247"	"12"	"88"	"15"	"3"	"4"	"3"	"8"	"5"	"10"	"5"	"8"	"7"	"9"	"12"	"9"	"6"	"170"	"4"	"9"	"646"	""	""
"129"	"115"	"22"	"361"	"23"	"88"	"12"	"3"	"1"	"3"	"1"	"0"	"4"	"2"	"3"	"3"	"6"	"2"	"21"	"4"	"135"	"2"	"5"	"701"	""	""
"130"	"116"	"32"	"365"	"18"	"143"	"9"	"0"	"0"	"2"	"8"	"3"	"2"	"3"	"14"	"4"	"9"	"12"	"27"	"7"	"40"	"4"	"2"	"704"	""	""
"131"	"117"	"24"	"26"	"5"	"34"	"3"	"1"	"2"	"0"	"6"	"1"	"1"	"6"	"4"	"5"	"1"	"9"	"7"	"0"	"174"	"3"	"1"	"313"	""	""
"132"	"118"	"18"	"46"	"13"	"406"	"9"	"0"	"2"	"3"	"1"	"1"	"8"	"6"	"41"	"7"	"11"	"25"	"16"	"20"	"32"	"33"	"12"	"710"	""	""
"133"	"119"	"26"	"302"	"13"	"171"	"14"	"2"	"2"	"1"	"7"	"3"	"5"	"3"	"7"	"2"	"7"	"8"	"58"	"8"	"78"	"25"	"8"	"750"	""	""
"134"	"120"	"6"	"41"	"14"	"114"	"156"	"0"	"1"	"3"	"7"	"2"	"5"	"11"	"13"	"5"	"8"	"16"	"12"	"11"	"11"	"18"	"23"	"477"	""	""
"135"	"121"	"6"	"29"	"10"	"80"	"24"	"3"	"3"	"0"	"7"	"3"	"8"	"12"	"14"	"11"	"5"	"13"	"12"	"1"	"34"	"1"	"6"	"282"	""	""
"136"	"Candidates Name
---->
Booth No"	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Voters"	"Total No. of Rejected Voters"	"Total No. of Tender Voters"
"137"	""	"KALAMUDIN"	"MANOJ KUMAR SINGH"	"RAM PUKAR SAHNI"	"BIJENDRA CHAUDHARY"	"BINOD CHAUDHARY"	"SATISH KUMAR SINGH"	"KUMAR VIJAY"	"NAGENDRA SAH"	"PRAMOD KUMAR SHARMA"	"BHUPENDRA KUMAR"	"RAM BRIKSH PD. SINGH"	"LAL BABU MAHTO"	"SAROJ KUMAR"	"ANANT SAHANI"	"GAURI SHANKAR PRASAD GUPTA"	"DINA NATH PRASAD SINGH"	"BASAWAN PRASAD BHAGAT"	"MOHAMMAD BASIR"	"SHAH ALAM SHABBO"	"SHVICHANDRA PANDIT"	"SANTOSH KUMAR"	""	""	""
"138"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"139"	"122"	"12"	"479"	"6"	"183"	"9"	"0"	"2"	"2"	"0"	"1"	"3"	"1"	"8"	"3"	"4"	"2"	"22"	"3"	"1"	"2"	"1"	"744"	""	""
"140"	"123"	"10"	"405"	"10"	"85"	"7"	"0"	"3"	"1"	"1"	"4"	"2"	"2"	"3"	"3"	"7"	"6"	"77"	"6"	"14"	"3"	"2"	"651"	""	""
"141"	"124"	"1"	"270"	"10"	"17"	"69"	"2"	"1"	"0"	"0"	"0"	"2"	"1"	"1"	"0"	"0"	"1"	"6"	"0"	"4"	"0"	"0"	"385"	""	""
"142"	"125"	"2"	"440"	"6"	"5"	"0"	"0"	"0"	"0"	"2"	"0"	"4"	"2"	"1"	"3"	"1"	"3"	"84"	"0"	"0"	"0"	"0"	"553"	""	""
"143"	"126"	"4"	"158"	"5"	"7"	"10"	"1"	"0"	"1"	"0"	"1"	"1"	"2"	"2"	"2"	"14"	"4"	"8"	"3"	"0"	"1"	"2"	"226"	""	""
"144"	"127"	"3"	"168"	"1"	"60"	"1"	"0"	"0"	"1"	"0"	"3"	"6"	"0"	"4"	"3"	"10"	"3"	"8"	"10"	"0"	"2"	"8"	"291"	""	""
"145"	"128"	"4"	"68"	"1"	"84"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"3"	"3"	"1"	"2"	"0"	"2"	"1"	"178"	""	""
"146"	"129"	"7"	"330"	"17"	"150"	"112"	"5"	"1"	"3"	"5"	"3"	"5"	"4"	"5"	"6"	"4"	"6"	"16"	"10"	"13"	"5"	"5"	"712"	""	""
"147"	"130"	"11"	"172"	"14"	"142"	"130"	"0"	"3"	"0"	"2"	"2"	"4"	"4"	"18"	"9"	"8"	"16"	"5"	"6"	"1"	"3"	"2"	"552"	""	""
"148"	"131"	"12"	"332"	"205"	"88"	"22"	"0"	"2"	"5"	"3"	"2"	"5"	"2"	"1"	"2"	"4"	"6"	"28"	"2"	"0"	"1"	"4"	"726"	""	""
"149"	"132"	"20"	"158"	"9"	"255"	"42"	"5"	"12"	"6"	"6"	"10"	"10"	"10"	"25"	"12"	"6"	"14"	"61"	"4"	"14"	"3"	"10"	"692"	""	""
"150"	"133"	"1"	"57"	"5"	"26"	"113"	"0"	"1"	"1"	"1"	"0"	"6"	"2"	"4"	"1"	"7"	"6"	"3"	"1"	"3"	"3"	"5"	"246"	""	""
"151"	"134"	"15"	"270"	"12"	"223"	"23"	"1"	"1"	"3"	"2"	"1"	"8"	"8"	"17"	"6"	"3"	"13"	"25"	"5"	"5"	"8"	"3"	"652"	""	""
"152"	"135"	"9"	"126"	"10"	"395"	"12"	"2"	"6"	"5"	"5"	"6"	"8"	"16"	"64"	"24"	"13"	"27"	"25"	"15"	"7"	"25"	"12"	"812"	""	""
"153"	"136"	"11"	"122"	"15"	"380"	"11"	"2"	"4"	"9"	"3"	"2"	"5"	"4"	"20"	"5"	"5"	"6"	"41"	"6"	"1"	"8"	"5"	"665"	""	""
"154"	"137"	"18"	"325"	"26"	"96"	"16"	"6"	"10"	"2"	"1"	"0"	"10"	"8"	"3"	"3"	"7"	"7"	"77"	"8"	"4"	"23"	"24"	"674"	""	""
"155"	"138"	"1"	"149"	"22"	"95"	"41"	"6"	"48"	"2"	"1"	"4"	"2"	"10"	"13"	"7"	"11"	"15"	"16"	"5"	"2"	"4"	"10"	"464"	""	""
"156"	"139"	"5"	"141"	"7"	"285"	"17"	"3"	"2"	"1"	"0"	"1"	"2"	"2"	"6"	"2"	"3"	"2"	"26"	"1"	"3"	"9"	"0"	"518"	""	""
"157"	"140"	"4"	"113"	"4"	"106"	"33"	"1"	"0"	"0"	"2"	"0"	"2"	"4"	"10"	"6"	"5"	"6"	"56"	"2"	"3"	"1"	"0"	"358"	""	""
"158"	"141"	"6"	"95"	"32"	"110"	"49"	"1"	"0"	"0"	"1"	"5"	"9"	"6"	"18"	"5"	"11"	"6"	"45"	"3"	"2"	"2"	"3"	"409"	""	""
"159"	"142"	"8"	"90"	"19"	"186"	"7"	"2"	"257"	"7"	"7"	"9"	"7"	"4"	"32"	"11"	"14"	"20"	"24"	"6"	"0"	"3"	"7"	"720"	""	""
"160"	"143"	"7"	"30"	"6"	"11"	"6"	"3"	"289"	"5"	"1"	"2"	"3"	"3"	"0"	"3"	"4"	"3"	"56"	"1"	"1"	"1"	"0"	"435"	""	""
"161"	"144"	"5"	"97"	"10"	"226"	"9"	"1"	"7"	"6"	"11"	"6"	"9"	"18"	"31"	"16"	"14"	"37"	"16"	"5"	"33"	"6"	"4"	"567"	""	""
"162"	"145"	"14"	"72"	"75"	"57"	"17"	"2"	"9"	"7"	"16"	"7"	"13"	"9"	"6"	"14"	"19"	"28"	"46"	"7"	"85"	"3"	"7"	"513"	""	""
"163"	"146"	"1"	"161"	"5"	"128"	"13"	"5"	"19"	"1"	"2"	"2"	"3"	"4"	"3"	"1"	"3"	"3"	"15"	"5"	"148"	"17"	"3"	"542"	""	""
"164"	"147"	"2"	"82"	"4"	"52"	"2"	"1"	"8"	"2"	"1"	"1"	"1"	"1"	"2"	"4"	"2"	"2"	"1"	"0"	"8"	"1"	"0"	"177"	""	""
"165"	"148"	"9"	"163"	"35"	"246"	"35"	"5"	"5"	"9"	"5"	"7"	"12"	"11"	"28"	"9"	"15"	"21"	"121"	"12"	"7"	"24"	"4"	"783"	""	""
"166"	"149"	"12"	"99"	"43"	"315"	"103"	"11"	"6"	"7"	"10"	"5"	"10"	"16"	"30"	"7"	"12"	"19"	"55"	"5"	"30"	"6"	"8"	"809"	""	""
"167"	"150"	"8"	"36"	"105"	"119"	"84"	"2"	"3"	"0"	"3"	"1"	"7"	"11"	"8"	"16"	"6"	"13"	"17"	"13"	"31"	"12"	"13"	"508"	""	""
"168"	"151"	"5"	"57"	"3"	"276"	"42"	"0"	"0"	"6"	"9"	"5"	"2"	"3"	"8"	"3"	"3"	"15"	"19"	"10"	"158"	"10"	"11"	"645"	""	""
"169"	"152"	"12"	"190"	"19"	"185"	"24"	"4"	"3"	"9"	"4"	"9"	"9"	"6"	"22"	"8"	"16"	"18"	"42"	"5"	"12"	"16"	"7"	"620"	""	""
"170"	"Candidates Name
---->
Booth No"	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Voters"	"Total No. of Rejected Voters"	"Total No. of Tender Voters"
"171"	""	"KALAMUDIN"	"MANOJ KUMAR SINGH"	"RAM PUKAR SAHNI"	"BIJENDRA CHAUDHARY"	"BINOD CHAUDHARY"	"SATISH KUMAR SINGH"	"KUMAR VIJAY"	"NAGENDRA SAH"	"PRAMOD KUMAR SHARMA"	"BHUPENDRA KUMAR"	"RAM BRIKSH PD. SINGH"	"LAL BABU MAHTO"	"SAROJ KUMAR"	"ANANT SAHANI"	"GAURI SHANKAR PRASAD GUPTA"	"DINA NATH PRASAD SINGH"	"BASAWAN PRASAD BHAGAT"	"MOHAMMAD BASIR"	"SHAH ALAM SHABBO"	"SHVICHANDRA PANDIT"	"SANTOSH KUMAR"	""	""	""
"172"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"173"	"153"	"19"	"211"	"215"	"144"	"15"	"4"	"8"	"7"	"12"	"13"	"17"	"11"	"15"	"9"	"12"	"17"	"11"	"13"	"180"	"8"	"5"	"946"	""	""
"174"	"154"	"9"	"190"	"228"	"158"	"32"	"5"	"4"	"4"	"10"	"0"	"12"	"10"	"2"	"4"	"3"	"7"	"6"	"3"	"0"	"0"	"3"	"690"	""	""
"175"	"155"	"2"	"72"	"350"	"77"	"66"	"3"	"2"	"0"	"3"	"1"	"2"	"1"	"2"	"5"	"0"	"3"	"2"	"3"	"27"	"1"	"1"	"623"	""	""
"176"	"156"	"6"	"95"	"286"	"16"	"8"	"1"	"1"	"2"	"3"	"4"	"5"	"0"	"4"	"18"	"2"	"6"	"9"	"3"	"107"	"3"	"4"	"583"	""	""
"177"	"157"	"15"	"82"	"19"	"60"	"18"	"1"	"3"	"1"	"6"	"2"	"3"	"9"	"7"	"10"	"3"	"1"	"19"	"17"	"349"	"13"	"8"	"646"	""	""
"178"	"158"	"5"	"137"	"13"	"72"	"9"	"3"	"4"	"3"	"7"	"3"	"5"	"5"	"3"	"4"	"10"	"15"	"24"	"3"	"73"	"0"	"1"	"399"	""	""
"179"	"159"	"1"	"27"	"7"	"61"	"2"	"1"	"0"	"0"	"2"	"1"	"3"	"0"	"7"	"4"	"3"	"4"	"3"	"1"	"192"	"3"	"3"	"325"	""	""
"180"	"160"	"4"	"179"	"28"	"160"	"31"	"4"	"0"	"3"	"6"	"2"	"12"	"7"	"17"	"11"	"13"	"9"	"4"	"3"	"13"	"1"	"6"	"513"	""	""
"181"	"161"	"3"	"83"	"2"	"115"	"8"	"3"	"1"	"0"	"3"	"1"	"3"	"3"	"7"	"3"	"3"	"3"	"20"	"13"	"28"	"5"	"6"	"313"	""	""
"182"	"162"	"8"	"299"	"13"	"126"	"9"	"1"	"1"	"3"	"8"	"2"	"17"	"5"	"15"	"9"	"3"	"15"	"79"	"8"	"12"	"2"	"1"	"636"	""	""
"183"	"163"	"2"	"96"	"18"	"100"	"0"	"0"	"2"	"0"	"0"	"2"	"2"	"0"	"4"	"4"	"2"	"4"	"18"	"0"	"1"	"0"	"0"	"255"	""	""
"184"	"164"	"4"	"89"	"40"	"84"	"5"	"46"	"1"	"8"	"6"	"6"	"11"	"9"	"13"	"9"	"11"	"22"	"130"	"2"	"51"	"5"	"6"	"558"	""	""
"185"	"165"	"0"	"192"	"8"	"75"	"3"	"0"	"1"	"3"	"0"	"1"	"2"	"2"	"2"	"0"	"6"	"1"	"244"	"12"	"19"	"2"	"2"	"575"	""	""
"186"	"166"	"2"	"3"	"1"	"27"	"7"	"1"	"1"	"1"	"2"	"0"	"2"	"3"	"2"	"3"	"0"	"4"	"4"	"0"	"188"	"3"	"4"	"258"	""	""
"187"	"167"	"9"	"186"	"11"	"78"	"5"	"3"	"1"	"2"	"1"	"3"	"8"	"3"	"5"	"2"	"3"	"2"	"35"	"3"	"47"	"21"	"3"	"431"	""	""
"188"	"168"	"7"	"297"	"34"	"51"	"2"	"4"	"0"	"0"	"2"	"3"	"7"	"3"	"8"	"1"	"2"	"4"	"46"	"17"	"8"	"7"	"4"	"507"	""	""
"189"	"169"	"4"	"127"	"8"	"202"	"11"	"1"	"3"	"4"	"9"	"5"	"9"	"10"	"18"	"15"	"3"	"22"	"71"	"5"	"236"	"9"	"8"	"780"	""	""
"190"	"170"	"7"	"87"	"35"	"26"	"174"	"5"	"2"	"3"	"8"	"1"	"7"	"14"	"4"	"3"	"4"	"4"	"35"	"9"	"51"	"3"	"9"	"491"	""	""
"191"	"171"	"19"	"240"	"28"	"143"	"51"	"7"	"2"	"1"	"6"	"7"	"5"	"7"	"2"	"6"	"6"	"4"	"24"	"14"	"131"	"14"	"9"	"726"	""	""
"192"	"172"	"12"	"74"	"24"	"282"	"37"	"3"	"3"	"7"	"14"	"1"	"3"	"12"	"21"	"10"	"5"	"26"	"21"	"8"	"80"	"10"	"13"	"666"	""	""
"193"	"173"	"2"	"93"	"12"	"252"	"31"	"3"	"2"	"2"	"3"	"3"	"5"	"7"	"10"	"10"	"2"	"13"	"14"	"3"	"128"	"3"	"4"	"602"	""	""
"194"	"174"	"10"	"48"	"12"	"356"	"18"	"3"	"6"	"3"	"5"	"6"	"2"	"16"	"29"	"10"	"5"	"11"	"4"	"2"	"25"	"3"	"2"	"576"	""	""
"195"	"175"	"8"	"138"	"45"	"88"	"7"	"5"	"2"	"5"	"6"	"6"	"4"	"7"	"14"	"14"	"16"	"26"	"19"	"9"	"145"	"5"	"7"	"576"	""	""
"196"	"176"	"14"	"256"	"27"	"66"	"119"	"6"	"4"	"6"	"2"	"1"	"10"	"3"	"8"	"4"	"8"	"11"	"49"	"10"	"19"	"10"	"7"	"640"	""	""
"197"	"177"	"2"	"125"	"29"	"30"	"147"	"2"	"0"	"0"	"0"	"1"	"10"	"4"	"2"	"2"	"2"	"1"	"48"	"0"	"2"	"0"	"3"	"410"	""	""
"198"	"178"	"9"	"125"	"7"	"194"	"19"	"1"	"2"	"4"	"8"	"8"	"8"	"9"	"36"	"11"	"14"	"22"	"19"	"6"	"18"	"4"	"7"	"531"	""	""
"199"	"179"	"11"	"39"	"8"	"279"	"29"	"5"	"14"	"4"	"5"	"0"	"2"	"6"	"16"	"7"	"5"	"10"	"17"	"2"	"21"	"6"	"7"	"493"	""	""
"200"	"180"	"16"	"241"	"9"	"34"	"17"	"4"	"206"	"16"	"5"	"7"	"3"	"1"	"2"	"2"	"13"	"12"	"28"	"2"	"2"	"2"	"1"	"623"	""	""
"201"	"181"	"26"	"67"	"12"	"102"	"4"	"1"	"44"	"7"	"1"	"1"	"5"	"1"	"10"	"2"	"2"	"5"	"22"	"1"	"1"	"2"	"2"	"318"	""	""
"202"	"182"	"1"	"30"	"6"	"6"	"10"	"287"	"14"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"6"	"0"	"0"	"0"	"1"	"363"	""	""
"203"	"183"	"5"	"108"	"11"	"202"	"13"	"2"	"1"	"5"	"2"	"1"	"9"	"2"	"6"	"7"	"7"	"9"	"44"	"11"	"3"	"9"	"5"	"462"	""	""
"204"	"Candidates Name
---->
Booth No"	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Voters"	"Total No. of Rejected Voters"	"Total No. of Tender Voters"
"205"	""	"KALAMUDIN"	"MANOJ KUMAR SINGH"	"RAM PUKAR SAHNI"	"BIJENDRA CHAUDHARY"	"BINOD CHAUDHARY"	"SATISH KUMAR SINGH"	"KUMAR VIJAY"	"NAGENDRA SAH"	"PRAMOD KUMAR SHARMA"	"BHUPENDRA KUMAR"	"RAM BRIKSH PD. SINGH"	"LAL BABU MAHTO"	"SAROJ KUMAR"	"ANANT SAHANI"	"GAURI SHANKAR PRASAD GUPTA"	"DINA NATH PRASAD SINGH"	"BASAWAN PRASAD BHAGAT"	"MOHAMMAD BASIR"	"SHAH ALAM SHABBO"	"SHVICHANDRA PANDIT"	"SANTOSH KUMAR"	""	""	""
"206"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"207"	"184"	"7"	"149"	"18"	"142"	"24"	"2"	"11"	"4"	"2"	"7"	"9"	"10"	"21"	"7"	"11"	"9"	"27"	"3"	"16"	"3"	"6"	"488"	""	""
"208"	"185"	"7"	"159"	"77"	"104"	"29"	"2"	"3"	"4"	"6"	"2"	"19"	"10"	"22"	"10"	"5"	"14"	"68"	"11"	"26"	"2"	"3"	"583"	""	""
"209"	"186"	"10"	"548"	"14"	"124"	"13"	"2"	"0"	"2"	"2"	"2"	"6"	"5"	"5"	"1"	"4"	"8"	"27"	"5"	"10"	"2"	"6"	"796"	""	""
"210"	"187"	"3"	"164"	"6"	"126"	"15"	"0"	"1"	"3"	"4"	"2"	"2"	"4"	"11"	"8"	"8"	"11"	"31"	"18"	"54"	"9"	"8"	"488"	""	""
"211"	"188"	"4"	"166"	"6"	"45"	"6"	"0"	"1"	"2"	"3"	"6"	"2"	"11"	"9"	"5"	"9"	"9"	"7"	"0"	"34"	"3"	"13"	"341"	""	""
"212"	"189"	"11"	"174"	"22"	"63"	"32"	"1"	"4"	"0"	"2"	"3"	"12"	"2"	"2"	"1"	"7"	"11"	"36"	"20"	"27"	"7"	"5"	"442"	""	""
"213"	"190"	"3"	"95"	"8"	"48"	"57"	"1"	"0"	"2"	"4"	"0"	"3"	"0"	"4"	"1"	"1"	"5"	"53"	"1"	"32"	"18"	"5"	"341"	""	""
"214"	"191"	"3"	"83"	"1"	"31"	"24"	"0"	"1"	"2"	"2"	"2"	"0"	"0"	"2"	"2"	"5"	"3"	"18"	"0"	"10"	"0"	"9"	"198"	""	""
"215"	"192"	"4"	"79"	"1"	"62"	"31"	"0"	"1"	"1"	"0"	"2"	"1"	"4"	"8"	"6"	"8"	"10"	"18"	"1"	"29"	"0"	"2"	"268"	""	""
"216"	"193"	"20"	"259"	"10"	"118"	"57"	"2"	"0"	"6"	"6"	"2"	"6"	"5"	"9"	"3"	"4"	"6"	"10"	"6"	"6"	"0"	"4"	"539"	""	""
"217"	"194"	"8"	"103"	"2"	"37"	"5"	"1"	"0"	"1"	"0"	"0"	"2"	"2"	"0"	"5"	"4"	"7"	"21"	"9"	"12"	"3"	"3"	"225"	""	""
"218"	"195"	"8"	"234"	"10"	"76"	"23"	"4"	"6"	"4"	"8"	"6"	"6"	"6"	"7"	"3"	"5"	"13"	"15"	"3"	"14"	"6"	"0"	"457"	""	""
"219"	"196"	"7"	"251"	"16"	"80"	"45"	"1"	"3"	"0"	"2"	"3"	"12"	"5"	"9"	"3"	"8"	"13"	"14"	"9"	"5"	"7"	"7"	"500"	""	""
"220"	"197"	"3"	"70"	"2"	"70"	"40"	"1"	"1"	"3"	"1"	"1"	"2"	"0"	"2"	"3"	"1"	"3"	"13"	"5"	"4"	"5"	"4"	"234"	""	""
"221"	"198"	"7"	"144"	"12"	"41"	"73"	"3"	"14"	"0"	"0"	"0"	"2"	"3"	"3"	"1"	"2"	"5"	"40"	"9"	"32"	"6"	"3"	"400"	""	""
"222"	"199"	"25"	"39"	"8"	"308"	"9"	"3"	"4"	"5"	"13"	"3"	"7"	"3"	"17"	"7"	"6"	"18"	"132"	"11"	"41"	"10"	"0"	"669"	""	""
"223"	"200"	"12"	"127"	"22"	"139"	"10"	"2"	"2"	"3"	"6"	"6"	"6"	"2"	"6"	"5"	"2"	"6"	"28"	"11"	"146"	"4"	"5"	"550"	""	""
"224"	"201"	"8"	"43"	"4"	"19"	"130"	"5"	"2"	"3"	"3"	"0"	"1"	"2"	"3"	"0"	"0"	"0"	"11"	"0"	"0"	"1"	"0"	"235"	""	""
"225"	"202"	"3"	"123"	"2"	"17"	"173"	"1"	"1"	"8"	"3"	"0"	"3"	"2"	"0"	"1"	"5"	"7"	"26"	"0"	"4"	"1"	"1"	"381"	""	""
"226"	"203"	"15"	"41"	"5"	"232"	"16"	"2"	"2"	"7"	"3"	"1"	"1"	"2"	"16"	"6"	"2"	"14"	"85"	"2"	"1"	"13"	"6"	"472"	""	""
"227"	"204"	"26"	"244"	"34"	"247"	"27"	"5"	"8"	"8"	"8"	"4"	"11"	"9"	"12"	"5"	"7"	"20"	"72"	"9"	"58"	"7"	"7"	"828"	""	""
"228"	"205"	"6"	"41"	"3"	"132"	"31"	"4"	"1"	"0"	"5"	"3"	"2"	"5"	"9"	"5"	"5"	"14"	"16"	"10"	"10"	"12"	"7"	"321"	""	""
"229"	"206"	"12"	"41"	"10"	"212"	"21"	"2"	"9"	"5"	"9"	"9"	"4"	"5"	"18"	"4"	"5"	"17"	"27"	"13"	"133"	"13"	"10"	"579"	""	""
"230"	"207"	"30"	"330"	"19"	"131"	"57"	"1"	"3"	"10"	"6"	"20"	"13"	"3"	"7"	"6"	"7"	"14"	"107"	"10"	"26"	"2"	"16"	"818"	""	""
"231"	"208"	"14"	"173"	"9"	"92"	"11"	"0"	"5"	"3"	"22"	"3"	"12"	"8"	"11"	"14"	"14"	"29"	"80"	"5"	"186"	"7"	"3"	"701"	""	""
"232"	"209"	"12"	"201"	"11"	"189"	"17"	"1"	"2"	"1"	"7"	"4"	"6"	"10"	"13"	"7"	"10"	"7"	"35"	"20"	"5"	"11"	"21"	"590"	""	""
"233"	"210"	"13"	"292"	"28"	"125"	"34"	"2"	"1"	"6"	"5"	"9"	"9"	"9"	"6"	"2"	"0"	"2"	"163"	"7"	"65"	"8"	"5"	"791"	""	""
"234"	"211"	"14"	"314"	"22"	"179"	"17"	"1"	"3"	"1"	"3"	"8"	"10"	"14"	"31"	"10"	"29"	"17"	"60"	"8"	"3"	"1"	"3"	"748"	""	""
"235"	"212"	"0"	"84"	"12"	"169"	"3"	"1"	"1"	"2"	"9"	"1"	"2"	"3"	"11"	"4"	"0"	"3"	"42"	"3"	"1"	"1"	"1"	"353"	""	""
"236"	"213"	"12"	"244"	"13"	"240"	"7"	"2"	"3"	"8"	"11"	"0"	"5"	"1"	"4"	"2"	"5"	"9"	"63"	"4"	"71"	"2"	"1"	"707"	""	""
"237"	"214"	"1"	"69"	"4"	"31"	"24"	"0"	"1"	"2"	"1"	"2"	"0"	"2"	"3"	"1"	"3"	"2"	"3"	"3"	"76"	"2"	"2"	"232"	""	""
"238"	"Candidates Name
---->
Booth No"	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Voters"	"Total No. of Rejected Voters"	"Total No. of Tender Voters"
"239"	""	"KALAMUDIN"	"MANOJ KUMAR SINGH"	"RAM PUKAR SAHNI"	"BIJENDRA CHAUDHARY"	"BINOD CHAUDHARY"	"SATISH KUMAR SINGH"	"KUMAR VIJAY"	"NAGENDRA SAH"	"PRAMOD KUMAR SHARMA"	"BHUPENDRA KUMAR"	"RAM BRIKSH PD. SINGH"	"LAL BABU MAHTO"	"SAROJ KUMAR"	"ANANT SAHANI"	"GAURI SHANKAR PRASAD GUPTA"	"DINA NATH PRASAD SINGH"	"BASAWAN PRASAD BHAGAT"	"MOHAMMAD BASIR"	"SHAH ALAM SHABBO"	"SHVICHANDRA PANDIT"	"SANTOSH KUMAR"	""	""	""
"240"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"241"	"215"	"13"	"164"	"13"	"219"	"14"	"4"	"1"	"7"	"3"	"6"	"7"	"4"	"11"	"4"	"4"	"5"	"25"	"6"	"17"	"4"	"6"	"537"	""	""
"242"	"216"	"8"	"332"	"44"	"72"	"18"	"1"	"0"	"2"	"8"	"6"	"6"	"7"	"11"	"10"	"21"	"20"	"27"	"16"	"163"	"12"	"16"	"800"	""	""
"243"	"217"	"9"	"86"	"130"	"16"	"11"	"1"	"13"	"0"	"1"	"2"	"3"	"2"	"4"	"8"	"8"	"16"	"4"	"6"	"10"	"1"	"3"	"334"	""	""
"244"	"218"	"3"	"102"	"68"	"12"	"33"	"2"	"41"	"0"	"2"	"1"	"6"	"4"	"5"	"4"	"2"	"3"	"16"	"5"	"45"	"3"	"5"	"362"	""	""
"245"	"219"	"10"	"180"	"27"	"181"	"13"	"0"	"12"	"7"	"15"	"5"	"6"	"4"	"6"	"3"	"4"	"12"	"19"	"1"	"5"	"3"	"1"	"514"	""	""
"246"	"220"	"5"	"126"	"7"	"48"	"56"	"1"	"12"	"0"	"2"	"0"	"6"	"2"	"1"	"2"	"4"	"9"	"8"	"7"	"7"	"6"	"8"	"317"	""	""
"247"	"221"	"10"	"279"	"59"	"64"	"28"	"2"	"5"	"5"	"7"	"15"	"12"	"12"	"12"	"15"	"21"	"9"	"8"	"3"	"33"	"5"	"3"	"607"	""	""
"248"	"222"	"21"	"293"	"34"	"219"	"49"	"3"	"6"	"2"	"4"	"7"	"9"	"4"	"9"	"8"	"4"	"5"	"52"	"3"	"0"	"3"	"6"	"741"	""	""
"249"	"223"	"8"	"155"	"18"	"50"	"47"	"6"	"0"	"3"	"3"	"1"	"3"	"3"	"6"	"4"	"6"	"4"	"37"	"5"	"56"	"1"	"5"	"421"	""	""
"250"	"224"	"2"	"50"	"33"	"128"	"16"	"2"	"1"	"2"	"10"	"2"	"4"	"5"	"15"	"8"	"5"	"12"	"17"	"5"	"33"	"5"	"5"	"360"	""	""
"251"	"225"	"1"	"117"	"5"	"72"	"4"	"1"	"39"	"7"	"1"	"5"	"0"	"5"	"14"	"5"	"7"	"8"	"4"	"4"	"2"	"3"	"3"	"307"	""	""
"252"	"226"	"12"	"359"	"24"	"86"	"7"	"0"	"5"	"2"	"1"	"2"	"3"	"1"	"9"	"3"	"7"	"6"	"11"	"11"	"9"	"15"	"10"	"583"	""	""
