"Serial.No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"161"	""	"UDAY KUMAR"	"JITENDRA PASWAN"	"TARKESHWA R CHAUDHARY"	"SHYAM RAJAK"	"ANIL DAS"	"JAY PRAKASH PASWAN"	"JEETENDRA PASWAN"	"MAMTA DEVI"	"YUGESH DAS"	"RAMAYAN PASWAN"	"VIDHAN CHANDRA RANA"	"SANDEEP KUMAR"	"CHANDRAG UPT CHOUDHAR Y"	"RAJESHWAR PASWAN"	""	""	""	""
"162"	"151"	"469"	"8"	"4"	"23"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"2"	"2"	"2"	"513"	"0"	"513"	"0"
"163"	"152"	"71"	"17"	"6"	"344"	"6"	"15"	"2"	"4"	"6"	"4"	"5"	"3"	"3"	"10"	"496"	"0"	"496"	"0"
"164"	"153"	"123"	"25"	"7"	"408"	"10"	"19"	"6"	"4"	"2"	"3"	"3"	"3"	"3"	"21"	"637"	"0"	"637"	"0"
"165"	"154"	"287"	"10"	"4"	"214"	"2"	"5"	"1"	"2"	"2"	"3"	"1"	"2"	"1"	"9"	"543"	"0"	"543"	"0"
"166"	"155"	"531"	"34"	"3"	"187"	"2"	"6"	"1"	"1"	"2"	"3"	"4"	"1"	"5"	"19"	"799"	"0"	"799"	"0"
"167"	"156"	"148"	"11"	"27"	"328"	"6"	"10"	"6"	"3"	"1"	"5"	"10"	"15"	"3"	"18"	"591"	"0"	"591"	"0"
"168"	"157"	"307"	"9"	"0"	"24"	"1"	"3"	"0"	"0"	"3"	"1"	"1"	"1"	"2"	"8"	"360"	"0"	"360"	"0"
"169"	"158"	"225"	"37"	"10"	"311"	"12"	"31"	"34"	"5"	"3"	"6"	"6"	"2"	"7"	"13"	"702"	"0"	"702"	"0"
"170"	"159"	"79"	"20"	"10"	"160"	"20"	"46"	"5"	"4"	"0"	"2"	"4"	"1"	"2"	"5"	"358"	"0"	"358"	"0"
"171"	"160"	"137"	"7"	"0"	"124"	"9"	"68"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"4"	"361"	"0"	"361"	"0"
"172"	"161"	"227"	"11"	"6"	"385"	"5"	"2"	"8"	"1"	"2"	"4"	"5"	"1"	"2"	"12"	"671"	"0"	"671"	"0"
"173"	"162"	"673"	"7"	"1"	"83"	"3"	"0"	"3"	"1"	"3"	"1"	"1"	"2"	"0"	"10"	"788"	"0"	"788"	"0"
"174"	"163"	"469"	"30"	"12"	"140"	"2"	"16"	"1"	"1"	"1"	"1"	"0"	"5"	"0"	"8"	"686"	"0"	"686"	"0"
"175"	"164"	"133"	"14"	"33"	"344"	"18"	"45"	"3"	"2"	"6"	"2"	"3"	"2"	"4"	"14"	"623"	"0"	"623"	"0"
"176"	"165"	"393"	"0"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"405"	"0"	"405"	"0"
"177"	"166"	"250"	"11"	"13"	"496"	"9"	"3"	"2"	"3"	"3"	"5"	"3"	"3"	"4"	"14"	"819"	"0"	"819"	"0"
"178"	"167"	"41"	"0"	"1"	"389"	"3"	"2"	"0"	"1"	"0"	"1"	"5"	"1"	"3"	"6"	"453"	"0"	"453"	"0"
"179"	"168"	"364"	"22"	"33"	"252"	"1"	"6"	"3"	"3"	"1"	"1"	"2"	"2"	"4"	"7"	"701"	"0"	"701"	"0"
"180"	"169"	"111"	"9"	"19"	"432"	"21"	"93"	"4"	"0"	"1"	"3"	"2"	"2"	"7"	"14"	"718"	"0"	"718"	"0"
"181"	"170"	"281"	"13"	"12"	"94"	"5"	"10"	"2"	"3"	"2"	"7"	"4"	"1"	"5"	"12"	"451"	"0"	"451"	"0"
"182"	"171"	"280"	"6"	"4"	"40"	"9"	"130"	"5"	"2"	"0"	"3"	"1"	"3"	"2"	"6"	"491"	"0"	"491"	"0"
"183"	"172"	"109"	"13"	"36"	"350"	"10"	"74"	"9"	"3"	"2"	"4"	"6"	"2"	"7"	"13"	"638"	"0"	"638"	"0"
"184"	"173"	"210"	"4"	"3"	"181"	"8"	"39"	"4"	"3"	"2"	"3"	"4"	"0"	"5"	"8"	"474"	"0"	"474"	"0"
"185"	"174"	"127"	"22"	"6"	"204"	"6"	"34"	"2"	"2"	"0"	"0"	"2"	"2"	"2"	"2"	"411"	"0"	"411"	"0"
"186"	"175"	"90"	"8"	"3"	"355"	"10"	"27"	"6"	"1"	"5"	"7"	"7"	"3"	"2"	"16"	"540"	"0"	"540"	"0"
"187"	"176"	"184"	"10"	"19"	"361"	"10"	"28"	"2"	"2"	"3"	"5"	"6"	"1"	"4"	"13"	"648"	"0"	"648"	"0"
"188"	"177"	"14"	"6"	"5"	"96"	"28"	"330"	"11"	"15"	"14"	"11"	"13"	"7"	"7"	"19"	"576"	"0"	"576"	"0"
"189"	"178"	"7"	"1"	"4"	"62"	"14"	"154"	"7"	"0"	"2"	"4"	"4"	"0"	"0"	"7"	"266"	"0"	"266"	"0"
"190"	"179"	"8"	"3"	"1"	"108"	"13"	"129"	"4"	"2"	"4"	"5"	"5"	"1"	"1"	"6"	"290"	"0"	"290"	"0"
"191"	"180"	"24"	"4"	"4"	"89"	"21"	"291"	"12"	"8"	"9"	"11"	"8"	"3"	"9"	"24"	"517"	"0"	"517"	"0"
"192"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"193"	""	"UDAY KUMAR"	"JITENDRA PASWAN"	"TARKESHWA R CHAUDHARY"	"SHYAM RAJAK"	"ANIL DAS"	"JAY PRAKASH PASWAN"	"JEETENDRA PASWAN"	"MAMTA DEVI"	"YUGESH DAS"	"RAMAYAN PASWAN"	"VIDHAN CHANDRA RANA"	"SANDEEP KUMAR"	"CHANDRAG UPT CHOUDHAR Y"	"RAJESHWAR PASWAN"	""	""	""	""
"194"	"180 A"	"21"	"2"	"11"	"64"	"27"	"268"	"6"	"4"	"5"	"8"	"4"	"1"	"6"	"12"	"439"	"0"	"439"	"0"
"195"	"181"	"376"	"13"	"8"	"61"	"5"	"19"	"3"	"2"	"1"	"0"	"1"	"0"	"6"	"8"	"503"	"0"	"503"	"0"
"196"	"182"	"129"	"3"	"4"	"65"	"11"	"56"	"3"	"2"	"2"	"3"	"2"	"1"	"2"	"11"	"294"	"0"	"294"	"0"
"197"	"183"	"92"	"6"	"8"	"161"	"17"	"140"	"7"	"5"	"6"	"6"	"3"	"1"	"7"	"15"	"474"	"0"	"474"	"0"
"198"	"184"	"186"	"26"	"4"	"197"	"3"	"3"	"1"	"0"	"0"	"4"	"0"	"4"	"1"	"10"	"439"	"0"	"439"	"0"
"199"	"185"	"302"	"24"	"2"	"249"	"6"	"35"	"3"	"1"	"3"	"5"	"3"	"1"	"1"	"5"	"640"	"0"	"640"	"0"
"200"	"186"	"130"	"83"	"9"	"237"	"4"	"14"	"2"	"3"	"0"	"5"	"5"	"1"	"5"	"8"	"506"	"0"	"506"	"0"
"201"	"187"	"182"	"16"	"5"	"191"	"5"	"57"	"2"	"0"	"0"	"1"	"1"	"2"	"2"	"5"	"469"	"0"	"469"	"0"
"202"	"188"	"62"	"1"	"3"	"193"	"11"	"17"	"4"	"0"	"0"	"5"	"8"	"0"	"0"	"3"	"307"	"0"	"307"	"0"
"203"	"189"	"197"	"4"	"4"	"162"	"7"	"44"	"2"	"3"	"1"	"4"	"4"	"2"	"5"	"18"	"457"	"0"	"457"	"0"
"204"	"190"	"113"	"8"	"19"	"188"	"23"	"243"	"5"	"3"	"7"	"4"	"7"	"4"	"2"	"8"	"634"	"0"	"634"	"0"
"205"	"191"	"56"	"5"	"13"	"230"	"24"	"295"	"8"	"7"	"1"	"4"	"4"	"3"	"4"	"12"	"666"	"0"	"666"	"0"
"206"	"192"	"130"	"14"	"24"	"173"	"7"	"50"	"3"	"1"	"2"	"1"	"4"	"1"	"4"	"9"	"423"	"0"	"423"	"0"
"207"	"193"	"101"	"17"	"75"	"371"	"16"	"32"	"3"	"3"	"2"	"4"	"3"	"2"	"7"	"3"	"639"	"0"	"639"	"0"
"208"	"194"	"78"	"5"	"3"	"213"	"15"	"31"	"2"	"2"	"5"	"1"	"3"	"2"	"6"	"12"	"378"	"0"	"378"	"0"
"209"	"195"	"97"	"18"	"4"	"284"	"20"	"97"	"4"	"2"	"1"	"7"	"7"	"3"	"8"	"13"	"565"	"0"	"565"	"0"
"210"	"196"	"119"	"5"	"8"	"149"	"7"	"92"	"4"	"1"	"0"	"1"	"1"	"0"	"5"	"5"	"397"	"0"	"397"	"0"
"211"	"197"	"194"	"5"	"3"	"175"	"5"	"1"	"2"	"0"	"0"	"3"	"4"	"2"	"4"	"11"	"409"	"0"	"409"	"0"
"212"	"198"	"100"	"4"	"3"	"244"	"9"	"6"	"1"	"1"	"1"	"8"	"9"	"3"	"12"	"10"	"411"	"0"	"411"	"0"
"213"	"199"	"31"	"5"	"14"	"443"	"4"	"7"	"0"	"2"	"2"	"0"	"3"	"2"	"1"	"2"	"516"	"0"	"516"	"0"
"214"	"200"	"74"	"4"	"2"	"267"	"4"	"8"	"4"	"1"	"0"	"9"	"4"	"4"	"3"	"9"	"393"	"0"	"393"	"0"
"215"	"201"	"117"	"5"	"3"	"145"	"0"	"3"	"0"	"1"	"1"	"1"	"2"	"0"	"2"	"14"	"294"	"0"	"294"	"0"
"216"	"202"	"75"	"8"	"5"	"197"	"9"	"19"	"2"	"1"	"0"	"0"	"3"	"3"	"6"	"6"	"334"	"0"	"334"	"0"
"217"	"203"	"222"	"9"	"10"	"283"	"6"	"23"	"1"	"3"	"4"	"3"	"7"	"6"	"6"	"20"	"603"	"0"	"603"	"0"
"218"	"204"	"192"	"13"	"9"	"431"	"11"	"11"	"3"	"3"	"3"	"5"	"6"	"1"	"6"	"16"	"710"	"0"	"710"	"0"
"219"	"205"	"224"	"17"	"74"	"174"	"11"	"26"	"5"	"2"	"4"	"4"	"8"	"4"	"12"	"24"	"589"	"0"	"589"	"0"
"220"	"206"	"133"	"6"	"7"	"315"	"9"	"47"	"1"	"0"	"2"	"4"	"3"	"2"	"5"	"5"	"539"	"0"	"539"	"0"
"221"	"207"	"253"	"16"	"16"	"212"	"4"	"4"	"5"	"2"	"2"	"5"	"3"	"0"	"6"	"9"	"537"	"0"	"537"	"0"
"222"	"208"	"99"	"13"	"46"	"391"	"5"	"4"	"1"	"2"	"2"	"2"	"10"	"0"	"4"	"7"	"586"	"0"	"586"	"0"
"223"	"209"	"193"	"8"	"11"	"221"	"8"	"28"	"0"	"2"	"1"	"3"	"1"	"1"	"3"	"10"	"490"	"0"	"490"	"0"
"224"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"225"	""	"UDAY KUMAR"	"JITENDRA PASWAN"	"TARKESHWA R CHAUDHARY"	"SHYAM RAJAK"	"ANIL DAS"	"JAY PRAKASH PASWAN"	"JEETENDRA PASWAN"	"MAMTA DEVI"	"YUGESH DAS"	"RAMAYAN PASWAN"	"VIDHAN CHANDRA RANA"	"SANDEEP KUMAR"	"CHANDRAG UPT CHOUDHAR Y"	"RAJESHWAR PASWAN"	""	""	""	""
"226"	"210"	"12"	"6"	"2"	"623"	"9"	"1"	"0"	"0"	"1"	"3"	"0"	"1"	"6"	"5"	"669"	"0"	"669"	"0"
"227"	"211"	"8"	"1"	"1"	"317"	"4"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"4"	"339"	"0"	"339"	"0"
"228"	"212"	"34"	"4"	"1"	"147"	"5"	"11"	"0"	"0"	"1"	"3"	"11"	"1"	"6"	"10"	"234"	"0"	"234"	"0"
"229"	"213"	"30"	"7"	"2"	"84"	"27"	"200"	"2"	"8"	"4"	"3"	"2"	"2"	"2"	"7"	"380"	"0"	"380"	"0"
"230"	"214"	"36"	"4"	"7"	"388"	"1"	"6"	"1"	"1"	"0"	"2"	"1"	"0"	"1"	"2"	"450"	"0"	"450"	"0"
"231"	"215"	"150"	"25"	"9"	"165"	"3"	"4"	"3"	"0"	"2"	"2"	"2"	"0"	"6"	"2"	"373"	"0"	"373"	"0"
"232"	"216"	"85"	"11"	"1"	"266"	"4"	"5"	"0"	"1"	"1"	"3"	"3"	"1"	"3"	"9"	"393"	"0"	"393"	"0"
"233"	"217"	"219"	"17"	"6"	"194"	"5"	"75"	"3"	"0"	"2"	"3"	"2"	"4"	"3"	"8"	"541"	"0"	"541"	"0"
"234"	"218"	"275"	"4"	"4"	"118"	"1"	"5"	"2"	"1"	"2"	"1"	"1"	"0"	"3"	"14"	"431"	"0"	"431"	"0"
"235"	"219"	"176"	"6"	"2"	"198"	"3"	"10"	"1"	"1"	"2"	"1"	"2"	"0"	"3"	"9"	"414"	"0"	"414"	"0"
"236"	"220"	"382"	"11"	"11"	"131"	"3"	"10"	"2"	"3"	"1"	"1"	"3"	"4"	"2"	"16"	"580"	"0"	"580"	"0"
"237"	"221"	"211"	"4"	"3"	"243"	"2"	"11"	"1"	"0"	"0"	"2"	"3"	"0"	"0"	"0"	"480"	"0"	"480"	"0"
"238"	"222"	"207"	"5"	"13"	"157"	"5"	"18"	"1"	"1"	"1"	"1"	"3"	"0"	"2"	"5"	"419"	"0"	"419"	"0"
"239"	"223"	"173"	"4"	"1"	"160"	"2"	"0"	"1"	"1"	"2"	"0"	"0"	"2"	"1"	"3"	"350"	"0"	"350"	"0"
"240"	"224"	"189"	"15"	"11"	"246"	"8"	"13"	"1"	"1"	"3"	"2"	"3"	"6"	"6"	"10"	"514"	"0"	"514"	"0"
"241"	"224 A"	"126"	"15"	"26"	"219"	"3"	"8"	"5"	"1"	"4"	"6"	"5"	"2"	"10"	"5"	"435"	"0"	"435"	"0"
"242"	"225"	"67"	"9"	"3"	"403"	"7"	"3"	"2"	"2"	"2"	"4"	"1"	"1"	"7"	"4"	"515"	"0"	"515"	"0"
"243"	"226"	"410"	"4"	"3"	"217"	"4"	"5"	"2"	"1"	"3"	"2"	"0"	"1"	"7"	"4"	"663"	"0"	"663"	"0"
"244"	"227"	"240"	"10"	"6"	"370"	"12"	"41"	"1"	"1"	"1"	"4"	"6"	"1"	"2"	"10"	"705"	"0"	"705"	"0"
"245"	"228"	"346"	"8"	"5"	"132"	"3"	"22"	"1"	"1"	"2"	"7"	"9"	"2"	"5"	"14"	"557"	"0"	"557"	"0"
"246"	"229"	"71"	"12"	"1"	"360"	"3"	"5"	"2"	"1"	"2"	"4"	"8"	"4"	"6"	"8"	"487"	"0"	"487"	"0"
"247"	"230"	"99"	"15"	"11"	"399"	"9"	"45"	"2"	"0"	"2"	"4"	"5"	"4"	"3"	"8"	"606"	"0"	"606"	"0"
"248"	"230 A"	"27"	"3"	"3"	"216"	"0"	"3"	"1"	"0"	"0"	"2"	"0"	"1"	"1"	"1"	"258"	"0"	"258"	"0"
"249"	"231"	"267"	"13"	"3"	"246"	"9"	"28"	"2"	"0"	"6"	"1"	"2"	"3"	"4"	"15"	"599"	"0"	"599"	"0"
"250"	"232"	"169"	"7"	"2"	"170"	"2"	"7"	"2"	"0"	"1"	"3"	"0"	"1"	"0"	"6"	"370"	"0"	"370"	"0"
"251"	"233"	"122"	"2"	"3"	"283"	"4"	"1"	"0"	"1"	"1"	"4"	"1"	"1"	"2"	"3"	"428"	"0"	"428"	"0"
"252"	"234"	"198"	"12"	"4"	"158"	"4"	"9"	"3"	"1"	"1"	"2"	"2"	"0"	"3"	"7"	"404"	"0"	"404"	"0"
"253"	"235"	"257"	"4"	"0"	"144"	"5"	"3"	"2"	"0"	"1"	"0"	"4"	"2"	"1"	"7"	"430"	"0"	"430"	"0"
"254"	"236"	"239"	"16"	"16"	"221"	"17"	"125"	"3"	"1"	"3"	"0"	"6"	"2"	"1"	"12"	"662"	"0"	"662"	"0"
"255"	"237"	"23"	"4"	"11"	"31"	"15"	"297"	"8"	"1"	"5"	"4"	"5"	"2"	"3"	"7"	"416"	"0"	"416"	"0"
"256"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"257"	""	"UDAY KUMAR"	"JITENDRA PASWAN"	"TARKESHWA R CHAUDHARY"	"SHYAM RAJAK"	"ANIL DAS"	"JAY PRAKASH PASWAN"	"JEETENDRA PASWAN"	"MAMTA DEVI"	"YUGESH DAS"	"RAMAYAN PASWAN"	"VIDHAN CHANDRA RANA"	"SANDEEP KUMAR"	"CHANDRAG UPT CHOUDHAR Y"	"RAJESHWAR PASWAN"	""	""	""	""
"258"	"238"	"120"	"13"	"4"	"173"	"10"	"106"	"3"	"1"	"3"	"2"	"2"	"5"	"0"	"7"	"449"	"0"	"449"	"0"
"259"	"239"	"38"	"8"	"7"	"194"	"10"	"172"	"4"	"1"	"2"	"1"	"3"	"3"	"4"	"5"	"452"	"0"	"452"	"0"
"260"	"240"	"182"	"13"	"2"	"95"	"1"	"29"	"1"	"0"	"0"	"3"	"2"	"1"	"0"	"0"	"329"	"0"	"329"	"0"
"261"	"241"	"11"	"3"	"2"	"118"	"5"	"15"	"0"	"0"	"0"	"7"	"8"	"1"	"5"	"10"	"185"	"0"	"185"	"0"
"262"	"242"	"39"	"10"	"1"	"238"	"4"	"2"	"1"	"0"	"0"	"0"	"2"	"0"	"1"	"2"	"300"	"0"	"300"	"0"
"263"	"243"	"27"	"2"	"1"	"121"	"4"	"19"	"1"	"0"	"2"	"3"	"1"	"3"	"1"	"8"	"193"	"0"	"193"	"0"
"264"	"244"	"63"	"15"	"1"	"85"	"0"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"168"	"0"	"168"	"0"
"265"	"245"	"136"	"2"	"3"	"137"	"7"	"158"	"7"	"3"	"3"	"6"	"6"	"5"	"3"	"9"	"485"	"0"	"485"	"0"
"266"	"246"	"46"	"4"	"14"	"117"	"5"	"36"	"2"	"4"	"0"	"3"	"6"	"1"	"5"	"9"	"252"	"0"	"252"	"0"
"267"	"247"	"107"	"5"	"20"	"90"	"0"	"30"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"6"	"262"	"0"	"262"	"0"
"268"	"248"	"55"	"7"	"0"	"178"	"2"	"7"	"0"	"1"	"0"	"3"	"1"	"0"	"0"	"4"	"258"	"0"	"258"	"0"
"269"	"249"	"67"	"8"	"2"	"229"	"12"	"151"	"3"	"2"	"2"	"1"	"0"	"1"	"6"	"7"	"491"	"0"	"491"	"0"
"270"	"250"	"48"	"6"	"4"	"26"	"16"	"183"	"5"	"2"	"6"	"1"	"5"	"1"	"2"	"7"	"312"	"0"	"312"	"0"
"271"	"251"	"59"	"4"	"3"	"274"	"12"	"74"	"3"	"0"	"1"	"3"	"2"	"2"	"3"	"5"	"445"	"0"	"445"	"0"
"272"	"252"	"41"	"2"	"12"	"490"	"12"	"102"	"8"	"2"	"2"	"5"	"3"	"1"	"1"	"4"	"685"	"0"	"685"	"0"
"273"	"253"	"41"	"4"	"4"	"247"	"15"	"202"	"13"	"2"	"4"	"2"	"3"	"1"	"3"	"11"	"552"	"0"	"552"	"0"
"274"	"254"	"106"	"10"	"2"	"279"	"8"	"60"	"2"	"2"	"6"	"1"	"4"	"3"	"3"	"5"	"491"	"0"	"491"	"0"
"275"	"255"	"153"	"3"	"3"	"235"	"3"	"26"	"1"	"2"	"0"	"3"	"2"	"3"	"4"	"4"	"442"	"0"	"442"	"0"
"276"	"256"	"6"	"11"	"0"	"222"	"12"	"101"	"8"	"2"	"1"	"5"	"8"	"0"	"9"	"7"	"392"	"0"	"392"	"0"
"277"	"257"	"18"	"2"	"0"	"204"	"4"	"40"	"4"	"0"	"2"	"1"	"2"	"0"	"0"	"4"	"281"	"0"	"281"	"0"
"278"	"258"	"60"	"3"	"2"	"260"	"4"	"5"	"0"	"0"	"1"	"3"	"3"	"2"	"4"	"4"	"351"	"0"	"351"	"0"
"279"	"259"	"200"	"10"	"3"	"325"	"11"	"45"	"2"	"1"	"3"	"3"	"4"	"4"	"3"	"6"	"620"	"0"	"620"	"0"
"280"	"260"	"104"	"5"	"1"	"180"	"4"	"4"	"4"	"1"	"1"	"6"	"9"	"5"	"4"	"8"	"336"	"0"	"336"	"0"
"281"	"261"	"175"	"3"	"59"	"130"	"4"	"12"	"3"	"1"	"0"	"1"	"0"	"0"	"2"	"0"	"390"	"0"	"390"	"0"
"282"	"262"	"183"	"6"	"3"	"105"	"22"	"129"	"9"	"8"	"12"	"4"	"7"	"6"	"6"	"16"	"516"	"0"	"516"	"0"
"283"	"263"	"149"	"7"	"5"	"108"	"7"	"54"	"4"	"1"	"1"	"5"	"5"	"1"	"5"	"8"	"360"	"0"	"360"	"0"
"284"	"264"	"273"	"5"	"7"	"173"	"14"	"112"	"4"	"4"	"0"	"7"	"2"	"1"	"3"	"3"	"608"	"0"	"608"	"0"
"285"	"265"	"185"	"10"	"19"	"206"	"14"	"83"	"2"	"7"	"2"	"3"	"1"	"1"	"5"	"11"	"549"	"0"	"549"	"0"
"286"	"266"	"224"	"13"	"1"	"72"	"6"	"76"	"1"	"2"	"0"	"0"	"2"	"0"	"2"	"4"	"403"	"0"	"403"	"0"
"287"	"267"	"186"	"6"	"2"	"189"	"3"	"15"	"3"	"2"	"4"	"5"	"5"	"2"	"7"	"17"	"446"	"0"	"446"	"0"
"288"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"289"	""	"UDAY KUMAR"	"JITENDRA PASWAN"	"TARKESHWA R CHAUDHARY"	"SHYAM RAJAK"	"ANIL DAS"	"JAY PRAKASH PASWAN"	"JEETENDRA PASWAN"	"MAMTA DEVI"	"YUGESH DAS"	"RAMAYAN PASWAN"	"VIDHAN CHANDRA RANA"	"SANDEEP KUMAR"	"CHANDRAG UPT CHOUDHAR Y"	"RAJESHWAR PASWAN"	""	""	""	""
"290"	"268"	"139"	"2"	"2"	"262"	"5"	"5"	"1"	"0"	"1"	"4"	"1"	"0"	"5"	"15"	"442"	"0"	"442"	"0"
"291"	"269"	"236"	"9"	"2"	"50"	"3"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"6"	"309"	"0"	"309"	"0"
"292"	"270"	"260"	"4"	"4"	"453"	"9"	"1"	"4"	"2"	"2"	"11"	"12"	"3"	"7"	"13"	"785"	"0"	"785"	"0"
"293"	"271"	"20"	"2"	"1"	"203"	"2"	"4"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"236"	"0"	"236"	"0"
"294"	"272"	"286"	"18"	"16"	"306"	"25"	"44"	"5"	"6"	"6"	"8"	"8"	"9"	"8"	"20"	"765"	"0"	"765"	"0"
"295"	"273"	"216"	"17"	"24"	"301"	"17"	"33"	"6"	"0"	"8"	"6"	"8"	"6"	"17"	"26"	"685"	"0"	"685"	"0"
"296"	"No. of votes recorded on postal ballot
papers"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"3"	"0"
"297"	"Total"	"46210"	"3178"	"1757"	"67390"	"1858"	"8005"	"661"	"416"	"457"	"838"	"876"	"486"	"926"	"2398"	"135456"	"1"	"135457"	"0"
