"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Parliamentary and Assembly elections)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…80 - Benipur Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total No. of electors in Assembly constituency / Segment … 226587"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	""	"No. of Tendered votes"
"168"	"149"	"148"	"19"	"35"	"4"	"364"	""	"10"	"19"	"1"	"6"	"5"	"5"	"8"	""	"476"	"-"	"476"	""	""
"169"	"150"	"149"	"8"	"16"	"9"	"255"	""	"6"	"8"	"3"	"1"	"0"	"1"	"0"	""	"307"	"-"	"307"	""	""
"170"	"151"	"150"	"17"	"23"	"1"	"251"	""	"34"	"5"	"5"	"5"	"6"	"0"	"4"	""	"351"	"-"	"351"	""	""
"171"	"152"	"151"	"16"	"34"	"3"	"276"	""	"9"	"1"	"5"	"6"	"4"	"7"	"9"	""	"370"	"-"	"370"	""	""
"172"	"153"	"151A"	"19"	"45"	"9"	"221"	""	"13"	"4"	"1"	"2"	"6"	"3"	"4"	""	"327"	"-"	"327"	""	""
"173"	"154"	"152"	"21"	"196"	"12"	"74"	""	"13"	"6"	"11"	"13"	"91"	"14"	"13"	""	"464"	"-"	"464"	""	""
"174"	"155"	"152A"	"23"	"173"	"5"	"47"	""	"12"	"11"	"2"	"13"	"66"	"14"	"15"	""	"381"	"-"	"381"	""	""
"175"	"156"	"153"	"51"	"249"	"21"	"103"	""	"12"	"12"	"20"	"20"	"169"	"16"	"11"	""	"684"	"-"	"684"	""	""
"176"	"157"	"154"	"32"	"331"	"12"	"165"	""	"9"	"6"	"12"	"13"	"26"	"11"	"15"	""	"632"	"-"	"632"	""	""
"177"	"158"	"155"	"20"	"201"	"5"	"200"	""	"18"	"4"	"4"	"10"	"3"	"7"	"7"	""	"479"	"-"	"479"	""	""
"178"	"159"	"156"	"13"	"94"	"7"	"204"	""	"9"	"4"	"2"	"6"	"6"	"2"	"3"	""	"350"	"-"	"350"	""	""
"179"	"160"	"157"	"14"	"318"	"10"	"14"	""	"6"	"5"	"0"	"2"	"22"	"5"	"5"	""	"401"	"-"	"401"	""	""
"180"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	""	"No. of Tendered votes"
"181"	""	""	"Gajendra Jha"	"Gopal Jee
Thakur"	"Chiraneei v Singh"	"Hare Krishna Yadav"	""	"Ganesh Pd. Ray"	"Nawal Kishor Singh"	"Vijay Kumar Mishra"	"Md.
Quamr ul Hoda"	"S.M. Zafar Imam"	"Vinod Jha"	"Sunil Kumar Jha"	""	""	""	""	""	""
"182"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"17"	"18"	"19"	""	"20"
"183"	"161"	"158"	"23"	"355"	"9"	"7"	""	"0"	"1"	"1"	"1"	"14"	"12"	"3"	""	"426"	"-"	"426"	""	""
"184"	"162"	"159"	"31"	"235"	"24"	"168"	""	"10"	"4"	"6"	"9"	"5"	"4"	"2"	""	"498"	"-"	"498"	""	""
"185"	"163"	"160"	"13"	"101"	"8"	"317"	""	"11"	"5"	"6"	"9"	"7"	"9"	"10"	""	"496"	"-"	"496"	""	""
"186"	"164"	"161"	"25"	"27"	"6"	"217"	""	"21"	"3"	"9"	"7"	"52"	"8"	"16"	""	"391"	"-"	"391"	""	""
"187"	"165"	"162"	"15"	"295"	"16"	"45"	""	"5"	"2"	"5"	"4"	"35"	"9"	"27"	""	"458"	"-"	"458"	""	""
"188"	"166"	"163"	"22"	"217"	"11"	"144"	""	"14"	"7"	"5"	"4"	"5"	"10"	"6"	""	"445"	"-"	"445"	""	""
"189"	"167"	"164"	"31"	"435"	"10"	"14"	""	"3"	"4"	"1"	"3"	"16"	"7"	"14"	""	"538"	"-"	"538"	""	""
"190"	"168"	"164A"	"22"	"372"	"21"	"6"	""	"2"	"2"	"6"	"4"	"22"	"15"	"17"	""	"489"	"-"	"489"	""	""
"191"	"169"	"165"	"33"	"507"	"28"	"87"	""	"6"	"6"	"8"	"5"	"14"	"12"	"22"	""	"728"	"-"	"728"	""	""
"192"	"170"	"166"	"56"	"203"	"20"	"230"	""	"23"	"4"	"9"	"3"	"15"	"3"	"8"	""	"574"	"-"	"574"	""	""
"193"	"171"	"167"	"16"	"122"	"9"	"250"	""	"13"	"4"	"2"	"1"	"8"	"2"	"2"	""	"429"	"-"	"429"	""	""
"194"	"172"	"168"	"24"	"376"	"22"	"43"	""	"5"	"9"	"4"	"3"	"78"	"9"	"11"	""	"584"	"-"	"584"	""	""
"195"	"173"	"169"	"9"	"464"	"9"	"9"	""	"3"	"1"	"2"	"2"	"17"	"3"	"12"	""	"531"	"-"	"531"	""	""
"196"	"174"	"170"	"15"	"345"	"6"	"18"	""	"1"	"3"	"3"	"4"	"16"	"3"	"1"	""	"415"	"-"	"415"	""	""
"197"	"175"	"171"	"17"	"576"	"13"	"40"	""	"0"	"3"	"1"	"1"	"10"	"9"	"4"	""	"674"	"-"	"674"	""	""
"198"	"176"	"172"	"16"	"365"	"22"	"47"	""	"2"	"5"	"1"	"2"	"12"	"26"	"24"	""	"522"	"-"	"522"	""	""
"199"	"177"	"173"	"36"	"171"	"11"	"349"	""	"36"	"7"	"6"	"20"	"11"	"13"	"43"	""	"703"	"-"	"703"	""	""
"200"	"178"	"174"	"110"	"379"	"14"	"9"	""	"6"	"1"	"0"	"5"	"21"	"7"	"12"	""	"564"	"-"	"564"	""	""
"201"	"179"	"175"	"41"	"536"	"28"	"99"	""	"17"	"12"	"8"	"6"	"21"	"26"	"38"	""	"832"	"-"	"832"	""	""
"202"	"180"	"176"	"46"	"315"	"18"	"169"	""	"9"	"6"	"9"	"13"	"62"	"11"	"27"	""	"685"	"-"	"685"	""	""
"203"	"181"	"177"	"27"	"208"	"8"	"158"	""	"6"	"5"	"3"	"6"	"15"	"6"	"13"	""	"455"	"-"	"455"	""	""
"204"	"182"	"178"	"19"	"259"	"9"	"124"	""	"12"	"9"	"7"	"8"	"21"	"6"	"6"	""	"480"	"-"	"480"	""	""
"205"	"183"	"179"	"26"	"209"	"9"	"182"	""	"4"	"3"	"4"	"4"	"2"	"2"	"10"	""	"455"	"-"	"455"	""	""
"206"	"184"	"179A"	"54"	"323"	"11"	"45"	""	"9"	"3"	"2"	"7"	"9"	"8"	"9"	""	"480"	"-"	"480"	""	""
"207"	"185"	"180"	"35"	"194"	"5"	"32"	""	"3"	"4"	"3"	"4"	"1"	"4"	"8"	""	"293"	"-"	"293"	""	""
"208"	"186"	"181"	"14"	"278"	"5"	"30"	""	"5"	"3"	"2"	"4"	"4"	"2"	"1"	""	"348"	"-"	"348"	""	""
"209"	"187"	"182"	"77"	"347"	"24"	"36"	""	"8"	"1"	"2"	"1"	"4"	"11"	"14"	""	"525"	"-"	"525"	""	""
"210"	"188"	"183"	"52"	"264"	"17"	"12"	""	"3"	"1"	"4"	"3"	"4"	"3"	"9"	""	"372"	"-"	"372"	""	""
"211"	"189"	"184"	"35"	"217"	"17"	"41"	""	"6"	"3"	"3"	"0"	"11"	"19"	"21"	""	"373"	"-"	"373"	""	""
"212"	"190"	"185"	"34"	"280"	"17"	"143"	""	"6"	"4"	"4"	"12"	"17"	"19"	"28"	""	"564"	"-"	"564"	""	""
"213"	"191"	"186"	"10"	"442"	"17"	"20"	""	"3"	"6"	"2"	"4"	"15"	"26"	"8"	""	"553"	"-"	"553"	""	""
"214"	"192"	"187"	"27"	"248"	"13"	"47"	""	"6"	"7"	"6"	"8"	"90"	"8"	"19"	""	"479"	"-"	"479"	""	""
"215"	"193"	"188"	"35"	"376"	"19"	"58"	""	"3"	"7"	"1"	"7"	"23"	"5"	"7"	""	"541"	"-"	"541"	""	""
"216"	"194"	"189"	"30"	"321"	"8"	"32"	""	"2"	"2"	"0"	"2"	"45"	"6"	"17"	""	"465"	"-"	"465"	""	""
"217"	"195"	"190"	"32"	"353"	"11"	"21"	""	"7"	"3"	"7"	"8"	"53"	"9"	"11"	""	"515"	"-"	"515"	""	""
"218"	"196"	"191"	"10"	"376"	"6"	"2"	""	"1"	"2"	"0"	"0"	"27"	"1"	"4"	""	"429"	"-"	"429"	""	""
"219"	"197"	"191A"	"9"	"421"	"5"	"9"	""	"1"	"2"	"3"	"2"	"22"	"2"	"0"	""	"476"	"-"	"476"	""	""
"220"	"198"	"192"	"36"	"293"	"2"	"44"	""	"3"	"1"	"9"	"8"	"40"	"10"	"14"	""	"460"	"-"	"460"	""	""
"221"	"199"	"192A"	"14"	"347"	"17"	"12"	""	"2"	"5"	"5"	"7"	"22"	"29"	"18"	""	"478"	"-"	"478"	""	""
"222"	"200"	"193"	"23"	"28"	"2"	"133"	""	"12"	"15"	"12"	"15"	"265"	"11"	"14"	""	"530"	"-"	"530"	""	""
"223"	"201"	"194"	"16"	"51"	"6"	"66"	""	"13"	"5"	"5"	"35"	"274"	"8"	"5"	""	"484"	"-"	"484"	""	""
"224"	"202"	"195"	"24"	"292"	"11"	"29"	""	"6"	"3"	"12"	"6"	"36"	"14"	"13"	""	"446"	"-"	"446"	""	""
"225"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	""	"No. of Tendered votes"
"226"	""	""	"Gajendra Jha"	"Gopal Jee
Thakur"	"Chiraneei v Singh"	"Hare Krishna Yadav"	""	"Ganesh Pd. Ray"	"Nawal Kishor Singh"	"Vijay Kumar Mishra"	"Md.
Quamr ul Hoda"	"S.M. Zafar Imam"	"Vinod Jha"	"Sunil Kumar Jha"	""	""	""	""	""	""
"227"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"17"	"18"	"19"	""	"20"
"228"	"203"	"196"	"61"	"217"	"8"	"92"	""	"6"	"2"	"5"	"4"	"11"	"15"	"19"	""	"440"	"-"	"440"	""	""
"229"	"204"	"197"	"38"	"108"	"7"	"311"	""	"10"	"4"	"12"	"12"	"28"	"3"	"10"	""	"543"	"-"	"543"	""	""
"230"	"205"	"198"	"11"	"389"	"9"	"12"	""	"3"	"1"	"3"	"1"	"1"	"5"	"2"	""	"437"	"-"	"437"	""	""
"231"	"206"	"199"	"9"	"402"	"7"	"10"	""	"1"	"1"	"1"	"2"	"13"	"10"	"4"	""	"460"	"-"	"460"	""	""
"232"	"207"	"199A"	"7"	"323"	"3"	"5"	""	"2"	"0"	"4"	"1"	"23"	"14"	"8"	""	"390"	"-"	"390"	""	""
"233"	"208"	"200"	"22"	"555"	"20"	"47"	""	"2"	"2"	"0"	"11"	"57"	"21"	"17"	""	"754"	"-"	"754"	""	""
"234"	"209"	"201"	"19"	"244"	"21"	"249"	""	"18"	"3"	"6"	"12"	"15"	"18"	"13"	""	"618"	"-"	"618"	""	""
"235"	"210"	"202"	"22"	"52"	"5"	"369"	""	"16"	"2"	"10"	"6"	"8"	"4"	"7"	""	"501"	"-"	"501"	""	""
"236"	"211"	"203"	"18"	"382"	"11"	"79"	""	"4"	"1"	"2"	"7"	"8"	"5"	"9"	""	"526"	"-"	"526"	""	""
"237"	"212"	"204"	"41"	"125"	"11"	"339"	""	"17"	"5"	"13"	"11"	"13"	"11"	"16"	""	"602"	"-"	"602"	""	""
"238"	"213"	"205"	"16"	"14"	"5"	"376"	""	"24"	"2"	"7"	"3"	"2"	"1"	"13"	""	"463"	"-"	"463"	""	""
"239"	"214"	"206"	"10"	"11"	"2"	"307"	""	"5"	"1"	"14"	"0"	"16"	"2"	"1"	""	"369"	"-"	"369"	""	""
"240"	"215"	"207"	"42"	"277"	"6"	"38"	""	"4"	"4"	"25"	"3"	"0"	"10"	"12"	""	"421"	"-"	"421"	""	""
"241"	"216"	"208"	"57"	"163"	"17"	"6"	""	"2"	"3"	"17"	"6"	"8"	"11"	"12"	""	"302"	"-"	"302"	""	""
"242"	"217"	"209"	"34"	"272"	"7"	"10"	""	"1"	"2"	"10"	"6"	"3"	"3"	"8"	""	"356"	"-"	"356"	""	""
"243"	"218"	"210"	"31"	"372"	"26"	"17"	""	"5"	"5"	"47"	"3"	"6"	"18"	"20"	""	"550"	"-"	"550"	""	""
"244"	"219"	"211"	"33"	"171"	"11"	"13"	""	"0"	"0"	"13"	"3"	"5"	"5"	"8"	""	"262"	"-"	"262"	""	""
"245"	"220"	"212"	"32"	"102"	"14"	"79"	""	"7"	"6"	"15"	"19"	"173"	"18"	"11"	""	"476"	"-"	"476"	""	""
"246"	"221"	"213"	"69"	"382"	"20"	"9"	""	"2"	"1"	"3"	"8"	"11"	"13"	"21"	""	"539"	"-"	"539"	""	""
"247"	"222"	"214"	"99"	"51"	"2"	"102"	""	"4"	"5"	"1"	"10"	"63"	"3"	"6"	""	"346"	"-"	"346"	""	""
"248"	"223"	"215"	"105"	"135"	"5"	"42"	""	"2"	"2"	"1"	"1"	"44"	"5"	"8"	""	"350"	"-"	"350"	""	""
"249"	"224"	"216"	"100"	"529"	"16"	"60"	""	"5"	"3"	"2"	"5"	"11"	"11"	"9"	""	"751"	"-"	"751"	""	""
"250"	"225"	"217"	"77"	"356"	"11"	"106"	""	"2"	"1"	"4"	"4"	"5"	"10"	"10"	""	"586"	"-"	"586"	""	""
"251"	"226"	"218"	"35"	"168"	"5"	"155"	""	"4"	"3"	"4"	"9"	"4"	"7"	"7"	""	"401"	"-"	"401"	""	""
"252"	"227"	"219"	"27"	"86"	"4"	"76"	""	"7"	"8"	"3"	"6"	"48"	"3"	"6"	""	"274"	"-"	"274"	""	""
"253"	"228"	"220"	"16"	"15"	"11"	"222"	""	"22"	"12"	"10"	"25"	"245"	"9"	"8"	""	"595"	"-"	"595"	""	""
"254"	"229"	"221"	"38"	"168"	"17"	"268"	""	"13"	"5"	"17"	"15"	"13"	"12"	"31"	""	"597"	"-"	"597"	""	""
"255"	"230"	"222"	"38"	"295"	"17"	"106"	""	"8"	"10"	"11"	"10"	"34"	"9"	"18"	""	"556"	"-"	"556"	""	""
"256"	"231"	"223"	"48"	"243"	"19"	"211"	""	"19"	"7"	"7"	"7"	"19"	"11"	"23"	""	"614"	"-"	"614"	""	""
"257"	"232"	"224"	"31"	"239"	"16"	"234"	""	"11"	"5"	"2"	"7"	"14"	"3"	"4"	""	"566"	"-"	"566"	""	""
"258"	"233"	"225"	"35"	"203"	"10"	"5"	""	"5"	"1"	"7"	"4"	"7"	"11"	"12"	""	"300"	"-"	"300"	""	""
"259"	"Tot al  No.  of
vot es recording at  polling
St at ions"	""	"10184"	"43218"	"2235"	"29265"	""	"2200"	"1099"	"2814"	"1975"	"9239"	"1903"	"3039"	""	"107171"	"-"	"107171"	""	""
"260"	"No.  of vot es recorded on post al  ballot
papers (To be elect ion  from  an assembly
const it uency)"	""	"0"	"4"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"4"	"-"	"4"	""	""
"261"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	""	"No. of Tendered votes"
"262"	""	""	"Gajendra Jha"	"Gopal Jee
Thakur"	"Chiraneei v Singh"	"Hare Krishna Yadav"	""	"Ganesh Pd. Ray"	"Nawal Kishor Singh"	"Vijay Kumar Mishra"	"Md.
Quamr ul Hoda"	"S.M. Zafar Imam"	"Vinod Jha"	"Sunil Kumar Jha"	""	""	""	""	""	""
"263"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"17"	"18"	"19"	""	"20"
"264"	"Total Votes polled"	""	"10184"	"43222"	"2235"	"29265"	""	"2200"	"1099"	"2814"	"1975"	"9239"	"1903"	"3039"	""	"107175"	"-"	"107175"	""	""
"265"	"Place :    DARBHANGA"	""	""	""	""	""	"Assistant  Returning Officer"	""	""	""	""	""	""	""	"Returning Officer"	""	""	""	""	""
"266"	"Date  :    24/ 11/ 2010"	""	""	""	""	""	"80  - Benipur"	""	""	""	""	""	""	""	"80  - Benipur"	""	""	""	""	""
