"ØŒ"	"er.nku.dsUnz.dh.dz0.l.a0"	"fuEufyf..kr..ds.i..k.esa.fn...x...fof.k.ekU...er.ksa.dh.l.a....k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"
"99"	"86"	"82"	"6"	"10"	"5"	"258"	"120"	"39"	"5"	"1"	"1"	"1"	"1"	"1"	"2"	"8"	"2"	"14"	"3"	"1"	"0"	"1"	"2"	"4"	"485"	"0"	"485"	"0"
"100"	"87"	"83"	"21"	"7"	"1"	"98"	"366"	"185"	"5"	"1"	"2"	"1"	"3"	"4"	"3"	"4"	"0"	"20"	"21"	"8"	"9"	"4"	"13"	"16"	"792"	"0"	"792"	"0"
"101"	"88"	"84"	"22"	"4"	"6"	"344"	"270"	"59"	"8"	"5"	"7"	"3"	"8"	"8"	"4"	"4"	"4"	"14"	"3"	"0"	"0"	"6"	"10"	"9"	"798"	"0"	"798"	"0"
"102"	"89"	"85"	"195"	"17"	"3"	"145"	"49"	"49"	"0"	"0"	"1"	"4"	"6"	"1"	"4"	"1"	"4"	"17"	"1"	"0"	"1"	"0"	"1"	"2"	"501"	"0"	"501"	"0"
"103"	"90"	"86"	"43"	"15"	"1"	"87"	"11"	"96"	"2"	"2"	"0"	"3"	"1"	"3"	"4"	"4"	"3"	"24"	"1"	"2"	"2"	"3"	"3"	"2"	"312"	"0"	"312"	"0"
"104"	"91"	"87"	"132"	"10"	"0"	"44"	"8"	"65"	"0"	"1"	"0"	"6"	"2"	"1"	"4"	"10"	"2"	"34"	"2"	"1"	"0"	"1"	"1"	"2"	"326"	"0"	"326"	"0"
"105"	"92"	"88"	"152"	"8"	"6"	"76"	"28"	"46"	"5"	"3"	"17"	"6"	"2"	"1"	"5"	"16"	"5"	"50"	"6"	"0"	"1"	"0"	"2"	"4"	"439"	"0"	"439"	"0"
"106"	"93"	"89"	"30"	"46"	"8"	"470"	"40"	"48"	"4"	"2"	"2"	"1"	"0"	"2"	"1"	"7"	"7"	"60"	"3"	"3"	"1"	"2"	"4"	"3"	"744"	"0"	"744"	"0"
"107"	"94"	"90"	"41"	"171"	"19"	"263"	"28"	"51"	"7"	"2"	"1"	"7"	"3"	"4"	"6"	"4"	"5"	"26"	"6"	"5"	"5"	"3"	"0"	"15"	"672"	"0"	"672"	"0"
"108"	"95"	"91"	"35"	"26"	"1"	"1"	"2"	"46"	"5"	"7"	"6"	"16"	"245"	"9"	"6"	"2"	"8"	"14"	"6"	"5"	"2"	"1"	"1"	"6"	"450"	"0"	"450"	"0"
"109"	"96"	"92"	"15"	"16"	"4"	"85"	"12"	"137"	"0"	"5"	"2"	"8"	"118"	"8"	"9"	"7"	"7"	"14"	"2"	"5"	"2"	"8"	"4"	"9"	"477"	"0"	"477"	"0"
"110"	"97"	"93"	"6"	"16"	"4"	"34"	"10"	"58"	"2"	"3"	"3"	"14"	"158"	"1"	"4"	"0"	"1"	"13"	"3"	"0"	"1"	"1"	"0"	"1"	"333"	"0"	"333"	"0"
"111"	"98"	"94"	"307"	"44"	"5"	"23"	"5"	"16"	"2"	"6"	"5"	"19"	"145"	"4"	"1"	"1"	"3"	"3"	"4"	"2"	"0"	"1"	"1"	"0"	"597"	"0"	"597"	"0"
"112"	"ØŒ"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	""	""	"[ okt k cgkmíhu vgen"	"fnus' k bUl ku"	"i ad t   dqekj  vk; Z"	"Hkksy k j k;"	"fouksnk uan l kg"	"fgej kt   fl ag"	"Hkksy kukFk dsoV"	"vykmnhu"	"mek dkUr  vkuUn"	"dkes' oj  ; kno"	"xqy ke eks0 bfy; kl"	"fnus' k ; kno"	"ubZeqí hu ' kkghnh"	"euksoj k osxe"	"eqj yh dqekj  eaMy"	"j fc dqekj  l kg"	"j kt ho dqekj  eaMy"	"j ke i zl kn egyh"	"yfyr k nsoh"	"' kaHkw dqekj  j k;"	"l bZnqj  j geku"	"l qeUr  dqekj  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"114"	"99"	"95"	"179"	"49"	"6"	"178"	"10"	"37"	"0"	"1"	"0"	"6"	"18"	"1"	"1"	"3"	"1"	"11"	"23"	"5"	"3"	"5"	"4"	"3"	"544"	"0"	"544"	"0"
"115"	"100"	"96"	"144"	"36"	"5"	"187"	"9"	"16"	"2"	"1"	"1"	"3"	"25"	"0"	"1"	"4"	"1"	"9"	"13"	"3"	"1"	"12"	"3"	"2"	"478"	"0"	"478"	"0"
"116"	"101"	"97"	"214"	"123"	"4"	"3"	"5"	"62"	"0"	"1"	"1"	"2"	"32"	"1"	"7"	"0"	"0"	"3"	"4"	"6"	"0"	"0"	"0"	"3"	"471"	"0"	"471"	"0"
"117"	"102"	"98"	"486"	"13"	"4"	"2"	"3"	"37"	"0"	"3"	"1"	"5"	"1"	"0"	"3"	"0"	"0"	"8"	"9"	"0"	"2"	"0"	"0"	"0"	"577"	"0"	"577"	"0"
"118"	"103"	"99"	"266"	"107"	"3"	"24"	"1"	"30"	"0"	"1"	"2"	"4"	"4"	"0"	"4"	"4"	"3"	"17"	"0"	"1"	"0"	"0"	"0"	"1"	"472"	"0"	"472"	"0"
"119"	"104"	"100"	"197"	"96"	"0"	"8"	"4"	"9"	"0"	"1"	"0"	"2"	"0"	"1"	"0"	"1"	"2"	"2"	"11"	"3"	"2"	"2"	"3"	"3"	"347"	"0"	"347"	"0"
"120"	"105"	"101"	"133"	"234"	"4"	"1"	"3"	"192"	"5"	"4"	"5"	"6"	"12"	"4"	"13"	"4"	"9"	"35"	"14"	"12"	"3"	"4"	"2"	"9"	"708"	"0"	"708"	"0"
"121"	"106"	"102"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"122"	"107"	"103"	"157"	"121"	"14"	"216"	"17"	"225"	"5"	"5"	"2"	"7"	"2"	"5"	"10"	"6"	"6"	"10"	"9"	"4"	"2"	"1"	"3"	"1"	"828"	"0"	"828"	"0"
"123"	"108"	"104"	"281"	"72"	"4"	"34"	"2"	"73"	"0"	"1"	"1"	"1"	"3"	"2"	"11"	"3"	"0"	"15"	"6"	"0"	"0"	"2"	"0"	"2"	"513"	"0"	"513"	"0"
"124"	"109"	"105"	"185"	"274"	"7"	"29"	"11"	"43"	"1"	"2"	"2"	"2"	"5"	"1"	"21"	"4"	"11"	"19"	"4"	"3"	"2"	"2"	"1"	"1"	"630"	"0"	"630"	"0"
"125"	"110"	"106"	"121"	"81"	"2"	"40"	"6"	"94"	"1"	"1"	"2"	"3"	"2"	"3"	"6"	"1"	"3"	"14"	"2"	"0"	"0"	"1"	"1"	"2"	"386"	"0"	"386"	"0"
"126"	"111"	"106A"	"121"	"83"	"1"	"10"	"6"	"63"	"3"	"0"	"5"	"3"	"4"	"4"	"4"	"6"	"7"	"19"	"16"	"3"	"1"	"4"	"1"	"0"	"364"	"0"	"364"	"0"
"127"	"112"	"107"	"194"	"136"	"4"	"34"	"11"	"64"	"0"	"2"	"5"	"5"	"4"	"2"	"12"	"2"	"3"	"20"	"18"	"4"	"1"	"2"	"3"	"3"	"529"	"0"	"529"	"0"
"128"	"ØŒ"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	""	""	"[ okt k cgkmíhu vgen"	"fnus' k bUl ku"	"i ad t   dqekj  vk; Z"	"Hkksy k j k;"	"fouksnk uan l kg"	"fgej kt   fl ag"	"Hkksy kukFk dsoV"	"vykmnhu"	"mek dkUr  vkuUn"	"dkes' oj  ; kno"	"xqy ke eks0 bfy; kl"	"fnus' k ; kno"	"ubZeqí hu ' kkghnh"	"euksoj k osxe"	"eqj yh dqekj  eaMy"	"j fc dqekj  l kg"	"j kt ho dqekj  eaMy"	"j ke i zl kn egyh"	"yfyr k nsoh"	"' kaHkw dqekj  j k;"	"l bZnqj  j geku"	"l qeUr  dqekj  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"130"	"113"	"108"	"275"	"130"	"11"	"34"	"16"	"80"	"3"	"1"	"1"	"9"	"0"	"6"	"2"	"2"	"0"	"3"	"12"	"3"	"0"	"1"	"0"	"0"	"589"	"0"	"589"	"0"
"131"	"114"	"109"	"101"	"209"	"3"	"23"	"9"	"74"	"1"	"0"	"4"	"6"	"1"	"3"	"13"	"4"	"5"	"12"	"8"	"4"	"0"	"1"	"3"	"2"	"486"	"0"	"486"	"0"
"132"	"115"	"110"	"51"	"172"	"2"	"28"	"13"	"72"	"2"	"1"	"1"	"2"	"4"	"3"	"7"	"6"	"8"	"26"	"9"	"7"	"3"	"3"	"6"	"6"	"432"	"0"	"432"	"0"
"133"	"116"	"111"	"185"	"77"	"5"	"35"	"4"	"335"	"3"	"2"	"2"	"7"	"7"	"4"	"17"	"3"	"5"	"18"	"18"	"6"	"0"	"4"	"5"	"3"	"745"	"0"	"745"	"0"
"134"	"117"	"112"	"140"	"93"	"7"	"16"	"10"	"230"	"5"	"1"	"5"	"18"	"1"	"3"	"8"	"0"	"3"	"8"	"10"	"4"	"2"	"0"	"3"	"1"	"568"	"0"	"568"	"0"
"135"	"118"	"113"	"54"	"54"	"5"	"330"	"10"	"47"	"1"	"0"	"0"	"1"	"2"	"2"	"15"	"7"	"3"	"26"	"2"	"0"	"0"	"5"	"0"	"1"	"565"	"0"	"565"	"0"
"136"	"119"	"113A"	"24"	"19"	"0"	"172"	"13"	"56"	"1"	"0"	"1"	"1"	"2"	"1"	"2"	"1"	"3"	"13"	"1"	"0"	"0"	"3"	"0"	"6"	"319"	"0"	"319"	"0"
"137"	"120"	"114"	"269"	"55"	"2"	"8"	"6"	"102"	"0"	"4"	"3"	"6"	"1"	"2"	"11"	"2"	"3"	"19"	"28"	"7"	"1"	"4"	"4"	"5"	"542"	"0"	"542"	"0"
"138"	"121"	"115"	"190"	"51"	"2"	"2"	"6"	"28"	"0"	"0"	"1"	"9"	"1"	"2"	"10"	"1"	"7"	"7"	"11"	"1"	"1"	"0"	"0"	"0"	"330"	"0"	"330"	"0"
"139"	"122"	"116"	"178"	"82"	"0"	"11"	"7"	"128"	"5"	"2"	"3"	"12"	"6"	"1"	"60"	"1"	"2"	"27"	"21"	"3"	"5"	"6"	"3"	"7"	"570"	"0"	"570"	"0"
"140"	"123"	"117"	"92"	"97"	"10"	"241"	"43"	"248"	"7"	"4"	"9"	"10"	"7"	"4"	"29"	"26"	"7"	"39"	"5"	"0"	"0"	"3"	"1"	"3"	"885"	"0"	"885"	"0"
"141"	"124"	"118"	"247"	"47"	"2"	"5"	"3"	"24"	"0"	"2"	"1"	"3"	"2"	"1"	"5"	"4"	"2"	"2"	"9"	"5"	"4"	"3"	"2"	"5"	"378"	"0"	"378"	"0"
"142"	"125"	"119"	"120"	"144"	"5"	"18"	"12"	"87"	"2"	"3"	"1"	"4"	"1"	"4"	"94"	"3"	"0"	"4"	"6"	"3"	"1"	"1"	"1"	"0"	"514"	"0"	"514"	"0"
"143"	"126"	"120"	"25"	"114"	"3"	"72"	"10"	"28"	"5"	"1"	"3"	"2"	"3"	"4"	"109"	"3"	"3"	"2"	"12"	"6"	"2"	"3"	"4"	"1"	"415"	"0"	"415"	"0"
"144"	"ØŒ"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	""	""	"[ okt k cgkmíhu vgen"	"fnus' k bUl ku"	"i ad t   dqekj  vk; Z"	"Hkksy k j k;"	"fouksnk uan l kg"	"fgej kt   fl ag"	"Hkksy kukFk dsoV"	"vykmnhu"	"mek dkUr  vkuUn"	"dkes' oj  ; kno"	"xqy ke eks0 bfy; kl"	"fnus' k ; kno"	"ubZeqí hu ' kkghnh"	"euksoj k osxe"	"eqj yh dqekj  eaMy"	"j fc dqekj  l kg"	"j kt ho dqekj  eaMy"	"j ke i zl kn egyh"	"yfyr k nsoh"	"' kaHkw dqekj  j k;"	"l bZnqj  j geku"	"l qeUr  dqekj  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"146"	"127"	"121"	"104"	"24"	"0"	"26"	"6"	"22"	"6"	"0"	"1"	"3"	"2"	"11"	"193"	"5"	"5"	"9"	"8"	"5"	"2"	"0"	"3"	"2"	"437"	"0"	"437"	"0"
"147"	"128"	"121A"	"55"	"10"	"1"	"24"	"9"	"24"	"1"	"4"	"1"	"2"	"6"	"10"	"242"	"5"	"1"	"14"	"0"	"0"	"2"	"1"	"5"	"3"	"420"	"0"	"420"	"0"
"148"	"129"	"122"	"106"	"162"	"7"	"227"	"11"	"30"	"7"	"2"	"0"	"1"	"4"	"3"	"7"	"5"	"7"	"21"	"5"	"3"	"2"	"1"	"0"	"0"	"611"	"0"	"611"	"0"
"149"	"130"	"123"	"32"	"271"	"20"	"188"	"23"	"191"	"3"	"2"	"4"	"9"	"10"	"6"	"15"	"14"	"11"	"76"	"8"	"3"	"2"	"2"	"9"	"4"	"903"	"0"	"903"	"0"
"150"	"131"	"124"	"170"	"150"	"5"	"72"	"28"	"210"	"4"	"6"	"2"	"9"	"4"	"6"	"10"	"7"	"6"	"36"	"15"	"13"	"2"	"7"	"5"	"15"	"782"	"0"	"782"	"0"
"151"	"132"	"125"	"254"	"78"	"7"	"13"	"10"	"22"	"0"	"2"	"2"	"5"	"3"	"1"	"0"	"2"	"5"	"19"	"15"	"2"	"0"	"3"	"1"	"5"	"449"	"0"	"449"	"0"
"152"	"133"	"126"	"327"	"30"	"2"	"6"	"0"	"16"	"2"	"2"	"0"	"3"	"1"	"1"	"14"	"3"	"1"	"11"	"27"	"4"	"0"	"0"	"1"	"0"	"451"	"0"	"451"	"0"
"153"	"134"	"127"	"313"	"31"	"1"	"8"	"2"	"171"	"1"	"1"	"1"	"4"	"3"	"1"	"7"	"1"	"1"	"30"	"9"	"2"	"0"	"2"	"2"	"4"	"595"	"0"	"595"	"0"
"154"	"135"	"128"	"220"	"28"	"3"	"53"	"12"	"71"	"2"	"1"	"3"	"5"	"5"	"2"	"8"	"6"	"6"	"53"	"10"	"1"	"2"	"1"	"0"	"0"	"492"	"0"	"492"	"0"
"155"	"136"	"129"	"152"	"77"	"7"	"114"	"40"	"32"	"3"	"6"	"5"	"4"	"2"	"4"	"3"	"1"	"5"	"41"	"1"	"2"	"1"	"0"	"2"	"0"	"502"	"0"	"502"	"0"
"156"	"137"	"130"	"229"	"57"	"4"	"14"	"10"	"204"	"2"	"4"	"2"	"7"	"6"	"1"	"2"	"3"	"4"	"26"	"12"	"4"	"5"	"5"	"4"	"1"	"606"	"0"	"606"	"0"
"157"	"138"	"131"	"137"	"71"	"4"	"105"	"30"	"95"	"3"	"3"	"2"	"12"	"5"	"7"	"9"	"8"	"15"	"139"	"9"	"5"	"1"	"12"	"9"	"10"	"691"	"0"	"691"	"0"
"158"	"139"	"132"	"212"	"41"	"9"	"72"	"15"	"48"	"6"	"19"	"9"	"33"	"200"	"5"	"15"	"6"	"6"	"22"	"5"	"3"	"3"	"0"	"2"	"4"	"735"	"0"	"735"	"0"
"159"	"140"	"133"	"107"	"93"	"10"	"72"	"12"	"72"	"2"	"9"	"1"	"26"	"148"	"5"	"2"	"7"	"7"	"7"	"7"	"7"	"1"	"6"	"1"	"0"	"602"	"0"	"602"	"0"
"160"	"ØŒ"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	""	""	"[ okt k cgkmíhu vgen"	"fnus' k bUl ku"	"i ad t   dqekj  vk; Z"	"Hkksy k j k;"	"fouksnk uan l kg"	"fgej kt   fl ag"	"Hkksy kukFk dsoV"	"vykmnhu"	"mek dkUr  vkuUn"	"dkes' oj  ; kno"	"xqy ke eks0 bfy; kl"	"fnus' k ; kno"	"ubZeqí hu ' kkghnh"	"euksoj k osxe"	"eqj yh dqekj  eaMy"	"j fc dqekj  l kg"	"j kt ho dqekj  eaMy"	"j ke i zl kn egyh"	"yfyr k nsoh"	"' kaHkw dqekj  j k;"	"l bZnqj  j geku"	"l qeUr  dqekj  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"162"	"141"	"134"	"109"	"70"	"8"	"211"	"27"	"48"	"5"	"7"	"4"	"5"	"10"	"7"	"10"	"15"	"14"	"39"	"12"	"5"	"8"	"14"	"12"	"6"	"646"	"0"	"646"	"0"
"163"	"142"	"135"	"126"	"47"	"3"	"177"	"28"	"53"	"0"	"4"	"0"	"4"	"1"	"1"	"6"	"11"	"3"	"9"	"17"	"11"	"5"	"22"	"13"	"7"	"548"	"0"	"548"	"0"
"164"	"143"	"136"	"212"	"101"	"5"	"56"	"29"	"115"	"2"	"0"	"2"	"2"	"7"	"0"	"4"	"6"	"2"	"12"	"0"	"0"	"0"	"3"	"0"	"2"	"560"	"0"	"560"	"0"
"165"	"144"	"137"	"235"	"194"	"14"	"57"	"17"	"90"	"4"	"5"	"3"	"9"	"2"	"4"	"6"	"2"	"1"	"92"	"5"	"2"	"1"	"2"	"3"	"5"	"753"	"0"	"753"	"0"
"166"	"145"	"138"	"185"	"21"	"5"	"95"	"13"	"89"	"7"	"6"	"2"	"14"	"5"	"1"	"4"	"16"	"11"	"91"	"4"	"3"	"1"	"0"	"105"	"5"	"683"	"0"	"683"	"0"
"167"	"146"	"139"	"39"	"66"	"3"	"218"	"25"	"153"	"6"	"4"	"7"	"12"	"4"	"4"	"4"	"7"	"6"	"198"	"2"	"1"	"1"	"1"	"5"	"3"	"769"	"0"	"769"	"0"
"168"	"147"	"140"	"149"	"70"	"2"	"146"	"15"	"70"	"11"	"2"	"3"	"10"	"5"	"2"	"5"	"9"	"7"	"60"	"4"	"2"	"1"	"4"	"13"	"3"	"593"	"0"	"593"	"0"
"169"	"148"	"141"	"20"	"4"	"2"	"420"	"82"	"73"	"90"	"2"	"3"	"5"	"1"	"4"	"30"	"15"	"3"	"23"	"4"	"1"	"1"	"3"	"4"	"6"	"796"	"0"	"796"	"0"
"170"	"149"	"142"	"19"	"28"	"12"	"521"	"35"	"90"	"3"	"3"	"3"	"3"	"0"	"1"	"15"	"9"	"0"	"43"	"8"	"5"	"1"	"5"	"5"	"3"	"812"	"0"	"812"	"0"
"171"	"150"	"143"	"46"	"5"	"10"	"321"	"47"	"19"	"3"	"1"	"1"	"6"	"2"	"1"	"5"	"5"	"3"	"24"	"4"	"2"	"1"	"0"	"4"	"7"	"517"	"0"	"517"	"0"
"172"	"151"	"143A"	"92"	"6"	"7"	"274"	"18"	"27"	"7"	"0"	"3"	"2"	"1"	"4"	"6"	"5"	"2"	"40"	"14"	"2"	"1"	"11"	"2"	"4"	"528"	"0"	"528"	"0"
"173"	"152"	"144"	"27"	"11"	"13"	"246"	"13"	"22"	"6"	"6"	"1"	"4"	"1"	"3"	"4"	"4"	"3"	"55"	"10"	"4"	"6"	"19"	"30"	"7"	"495"	"0"	"495"	"0"
"174"	"153"	"145"	"9"	"10"	"24"	"172"	"20"	"32"	"119"	"10"	"2"	"4"	"7"	"8"	"17"	"10"	"14"	"63"	"4"	"4"	"3"	"3"	"93"	"10"	"638"	"0"	"638"	"0"
"175"	"154"	"146"	"8"	"9"	"8"	"265"	"17"	"69"	"2"	"0"	"2"	"3"	"0"	"1"	"5"	"5"	"5"	"88"	"2"	"1"	"5"	"25"	"20"	"11"	"551"	"0"	"551"	"0"
"176"	"ØŒ"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	""	""	"[ okt k cgkmíhu vgen"	"fnus' k bUl ku"	"i ad t   dqekj  vk; Z"	"Hkksy k j k;"	"fouksnk uan l kg"	"fgej kt   fl ag"	"Hkksy kukFk dsoV"	"vykmnhu"	"mek dkUr  vkuUn"	"dkes' oj  ; kno"	"xqy ke eks0 bfy; kl"	"fnus' k ; kno"	"ubZeqí hu ' kkghnh"	"euksoj k osxe"	"eqj yh dqekj  eaMy"	"j fc dqekj  l kg"	"j kt ho dqekj  eaMy"	"j ke i zl kn egyh"	"yfyr k nsoh"	"' kaHkw dqekj  j k;"	"l bZnqj  j geku"	"l qeUr  dqekj  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"178"	"155"	"147"	"24"	"11"	"1"	"255"	"8"	"43"	"1"	"4"	"6"	"2"	"0"	"0"	"2"	"4"	"3"	"124"	"3"	"0"	"2"	"6"	"15"	"6"	"520"	"0"	"520"	"0"
"179"	"156"	"148"	"37"	"3"	"5"	"322"	"9"	"30"	"1"	"1"	"14"	"1"	"2"	"1"	"6"	"0"	"0"	"48"	"13"	"3"	"3"	"8"	"8"	"2"	"517"	"0"	"517"	"0"
"180"	"157"	"149"	"25"	"29"	"0"	"361"	"8"	"35"	"0"	"1"	"3"	"4"	"2"	"1"	"3"	"3"	"0"	"42"	"1"	"0"	"0"	"0"	"0"	"1"	"519"	"0"	"519"	"0"
"181"	"158"	"150"	"79"	"12"	"15"	"633"	"31"	"47"	"3"	"2"	"6"	"4"	"2"	"2"	"5"	"12"	"1"	"62"	"0"	"1"	"1"	"0"	"2"	"1"	"921"	"0"	"921"	"0"
"182"	"159"	"151"	"9"	"3"	"0"	"202"	"8"	"11"	"0"	"1"	"1"	"3"	"1"	"0"	"0"	"3"	"1"	"35"	"1"	"0"	"0"	"1"	"2"	"1"	"283"	"0"	"283"	"0"
"183"	"160"	"152"	"12"	"18"	"8"	"447"	"29"	"130"	"5"	"4"	"5"	"1"	"0"	"1"	"3"	"9"	"1"	"23"	"2"	"1"	"0"	"2"	"0"	"1"	"702"	"0"	"702"	"0"
"184"	"161"	"153"	"103"	"13"	"9"	"371"	"20"	"54"	"1"	"3"	"1"	"1"	"2"	"2"	"5"	"12"	"3"	"39"	"9"	"2"	"2"	"4"	"1"	"3"	"660"	"0"	"660"	"0"
"185"	"162"	"154"	"15"	"69"	"12"	"557"	"40"	"186"	"5"	"30"	"6"	"9"	"2"	"2"	"9"	"6"	"5"	"25"	"3"	"1"	"1"	"0"	"11"	"1"	"995"	"0"	"995"	"0"
"186"	"163"	"155"	"11"	"11"	"6"	"390"	"42"	"172"	"4"	"4"	"2"	"10"	"7"	"3"	"3"	"13"	"3"	"173"	"4"	"1"	"3"	"3"	"5"	"3"	"873"	"0"	"873"	"0"
"187"	"164"	"156"	"8"	"12"	"4"	"360"	"25"	"199"	"1"	"3"	"11"	"14"	"4"	"8"	"9"	"7"	"8"	"168"	"5"	"0"	"0"	"3"	"4"	"4"	"857"	"0"	"857"	"0"
"188"	"165"	"157"	"8"	"3"	"5"	"237"	"15"	"44"	"1"	"1"	"0"	"2"	"0"	"0"	"3"	"2"	"0"	"22"	"2"	"2"	"0"	"0"	"0"	"0"	"347"	"0"	"347"	"0"
"189"	"166"	"158"	"0"	"2"	"0"	"45"	"1"	"267"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"2"	"327"	"0"	"327"	"0"
"190"	"167"	"159"	"13"	"239"	"12"	"114"	"13"	"61"	"2"	"5"	"1"	"9"	"3"	"2"	"9"	"5"	"3"	"46"	"5"	"2"	"0"	"5"	"25"	"4"	"578"	"0"	"578"	"0"
"191"	"168"	"160"	"13"	"15"	"7"	"266"	"17"	"143"	"8"	"2"	"4"	"4"	"8"	"3"	"4"	"3"	"3"	"52"	"2"	"0"	"1"	"3"	"2"	"4"	"564"	"0"	"564"	"0"
"192"	"ØŒ"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"193"	""	""	"[ okt k cgkmíhu vgen"	"fnus' k bUl ku"	"i ad t   dqekj  vk; Z"	"Hkksy k j k;"	"fouksnk uan l kg"	"fgej kt   fl ag"	"Hkksy kukFk dsoV"	"vykmnhu"	"mek dkUr  vkuUn"	"dkes' oj  ; kno"	"xqy ke eks0 bfy; kl"	"fnus' k ; kno"	"ubZeqí hu ' kkghnh"	"euksoj k osxe"	"eqj yh dqekj  eaMy"	"j fc dqekj  l kg"	"j kt ho dqekj  eaMy"	"j ke i zl kn egyh"	"yfyr k nsoh"	"' kaHkw dqekj  j k;"	"l bZnqj  j geku"	"l qeUr  dqekj  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"194"	"169"	"161"	"15"	"113"	"15"	"403"	"15"	"40"	"5"	"4"	"3"	"8"	"1"	"4"	"4"	"9"	"4"	"92"	"5"	"2"	"4"	"6"	"4"	"4"	"760"	"0"	"760"	"0"
"195"	"170"	"162"	"13"	"2"	"1"	"278"	"6"	"42"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"3"	"0"	"67"	"1"	"0"	"1"	"10"	"1"	"1"	"430"	"0"	"430"	"0"
"196"	"171"	"162A"	"12"	"5"	"4"	"292"	"10"	"31"	"2"	"2"	"2"	"2"	"0"	"1"	"4"	"2"	"1"	"42"	"1"	"0"	"1"	"1"	"0"	"0"	"415"	"0"	"415"	"0"
"197"	"172"	"163"	"5"	"2"	"2"	"419"	"33"	"190"	"6"	"1"	"2"	"1"	"1"	"4"	"4"	"2"	"3"	"32"	"6"	"3"	"1"	"8"	"3"	"5"	"733"	"0"	"733"	"0"
"198"	"173"	"164"	"97"	"51"	"12"	"576"	"37"	"37"	"5"	"6"	"2"	"4"	"1"	"2"	"12"	"8"	"3"	"34"	"7"	"4"	"3"	"12"	"1"	"5"	"919"	"0"	"919"	"0"
"199"	"174"	"165"	"8"	"76"	"2"	"423"	"22"	"60"	"0"	"1"	"4"	"3"	"2"	"1"	"3"	"8"	"6"	"26"	"1"	"6"	"1"	"13"	"8"	"8"	"682"	"0"	"682"	"0"
"200"	"175"	"166"	"69"	"116"	"12"	"297"	"20"	"23"	"7"	"2"	"1"	"3"	"2"	"5"	"4"	"3"	"2"	"7"	"13"	"2"	"1"	"6"	"6"	"5"	"606"	"0"	"606"	"0"
