"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X235171.48.235219.34.Babubarhi"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"220"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"221"	""	"Uma Kant Yadav"	"Kapildeb Kamat"	"Bhola Prasad Singh"	"Raj Kumar Mahaseth"	"Mishra Lal Paswan"	"Ram Ayodhya Yadav"	"Ram Bharos Singh"	"Manoj Jha"	"Rakesh Kumar Ranjan"	""	""	""	""
"222"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"223"	"B.F."	"32495"	"32151"	"1422"	"9221"	"1198"	"1690"	"939"	"1229"	"4151"	"84496"	"0"	"84496"	"0"
"224"	"149"	"450"	"27"	"8"	"5"	"5"	"25"	"7"	"1"	"4"	"532"	""	"532"	""
"225"	"150"	"173"	"67"	"2"	"73"	"2"	"12"	"4"	"17"	"13"	"363"	""	"363"	""
"226"	"151"	"81"	"190"	"6"	"2"	"5"	"39"	"2"	"7"	"35"	"367"	""	"367"	""
"227"	"152"	"95"	"20"	"1"	"27"	"1"	"0"	"0"	"3"	"0"	"147"	""	"147"	""
"228"	"153"	"227"	"141"	"11"	"29"	"5"	"49"	"5"	"14"	"56"	"537"	""	"537"	""
"229"	"154"	"39"	"126"	"7"	"42"	"4"	"53"	"4"	"10"	"8"	"293"	""	"293"	""
"230"	"155"	"236"	"300"	"6"	"35"	"13"	"15"	"8"	"16"	"55"	"684"	""	"684"	""
"231"	"156"	"255"	"410"	"13"	"36"	"10"	"19"	"13"	"18"	"49"	"823"	""	"823"	""
"232"	"157"	"361"	"234"	"10"	"24"	"9"	"9"	"3"	"4"	"16"	"670"	""	"670"	""
"233"	"158"	"212"	"315"	"6"	"21"	"6"	"10"	"5"	"11"	"22"	"608"	""	"608"	""
"234"	"159"	"280"	"76"	"7"	"29"	"0"	"4"	"0"	"5"	"4"	"405"	""	"405"	""
"235"	"160"	"335"	"221"	"16"	"27"	"4"	"6"	"3"	"6"	"3"	"621"	""	"621"	""
"236"	"161"	"328"	"214"	"11"	"19"	"3"	"3"	"4"	"4"	"13"	"599"	""	"599"	""
"237"	"162"	"290"	"41"	"12"	"42"	"7"	"1"	"1"	"4"	"18"	"416"	""	"416"	""
"238"	"Total -12"	"3362"	"2382"	"116"	"411"	"74"	"245"	"59"	"120"	"296"	"7065"	"0"	"7065"	"0"
"239"	""	""	""	""	""	""	"235171+48=235219
34-Babubarhi"	""	""	""	""	""	""	""
"240"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"241"	""	"Uma Kant Yadav"	"Kapildeb Kamat"	"Bhola Prasad Singh"	"Raj Kumar Mahaseth"	"Mishra Lal Paswan"	"Ram Ayodhya Yadav"	"Ram Bharos Singh"	"Manoj Jha"	"Rakesh Kumar Ranjan"	""	""	""	""
"242"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"243"	"B.F."	"35857"	"34533"	"1538"	"9632"	"1272"	"1935"	"998"	"1349"	"4447"	"91561"	"0"	"91561"	"0"
"244"	"163"	"362"	"210"	"16"	"72"	"14"	"9"	"5"	"12"	"19"	"719"	""	"719"	""
"245"	"164"	"329"	"138"	"17"	"16"	"5"	"6"	"3"	"1"	"28"	"543"	""	"543"	""
"246"	"165"	"354"	"271"	"14"	"46"	"7"	"52"	"2"	"4"	"8"	"758"	""	"758"	""
"247"	"166"	"207"	"274"	"9"	"47"	"7"	"88"	"6"	"6"	"9"	"653"	""	"653"	""
"248"	"167"	"468"	"176"	"11"	"23"	"4"	"31"	"5"	"9"	"25"	"752"	""	"752"	""
"249"	"168"	"191"	"78"	"10"	"20"	"0"	"4"	"3"	"3"	"4"	"313"	""	"313"	""
"250"	"169"	"148"	"416"	"12"	"10"	"7"	"7"	"4"	"48"	"10"	"662"	""	"662"	""
"251"	"170"	"216"	"266"	"7"	"40"	"7"	"4"	"5"	"11"	"22"	"578"	""	"578"	""
"252"	"171"	"186"	"301"	"8"	"24"	"7"	"8"	"3"	"2"	"29"	"568"	""	"568"	""
"253"	"172"	"180"	"344"	"7"	"10"	"3"	"2"	"3"	"4"	"5"	"558"	""	"558"	""
"254"	"173"	"228"	"121"	"4"	"17"	"0"	"3"	"3"	"1"	"4"	"381"	""	"381"	""
"255"	"174"	"296"	"214"	"16"	"13"	"8"	"13"	"9"	"17"	"61"	"647"	""	"647"	""
"256"	"175"	"187"	"140"	"4"	"65"	"5"	"6"	"3"	"7"	"0"	"417"	""	"417"	""
"257"	"176"	"331"	"136"	"5"	"51"	"6"	"3"	"4"	"1"	"0"	"537"	""	"537"	""
"258"	"Total -13"	"3683"	"3085"	"140"	"454"	"80"	"236"	"58"	"126"	"224"	"8086"	"0"	"8086"	"0"
"259"	""	""	""	""	""	""	"235171+48=235219
34-Babubarhi"	""	""	""	""	""	""	""
"260"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"261"	""	"Uma Kant Yadav"	"Kapildeb Kamat"	"Bhola Prasad Singh"	"Raj Kumar Mahaseth"	"Mishra Lal Paswan"	"Ram Ayodhya Yadav"	"Ram Bharos Singh"	"Manoj Jha"	"Rakesh Kumar Ranjan"	""	""	""	""
"262"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"263"	"B.F."	"39540"	"37618"	"1678"	"10086"	"1352"	"2171"	"1056"	"1475"	"4671"	"99647"	"0"	"99647"	"0"
"264"	"177"	"146"	"246"	"7"	"24"	"9"	"6"	"5"	"5"	"22"	"470"	""	"470"	""
"265"	"178"	"186"	"276"	"3"	"42"	"3"	"40"	"1"	"2"	"3"	"556"	""	"556"	""
"266"	"179"	"82"	"196"	"1"	"122"	"3"	"3"	"3"	"1"	"3"	"414"	""	"414"	""
"267"	"180"	"335"	"169"	"8"	"24"	"4"	"8"	"3"	"12"	"12"	"575"	""	"575"	""
"268"	"181"	"202"	"312"	"12"	"17"	"1"	"19"	"2"	"5"	"13"	"583"	""	"583"	""
"269"	"182"	"314"	"231"	"11"	"52"	"14"	"23"	"6"	"8"	"10"	"669"	""	"669"	""
"270"	"183"	"199"	"428"	"13"	"34"	"14"	"23"	"10"	"11"	"19"	"751"	""	"751"	""
"271"	"184"	"300"	"244"	"11"	"55"	"10"	"42"	"8"	"18"	"58"	"746"	""	"746"	""
"272"	"185"	"344"	"97"	"8"	"45"	"5"	"9"	"3"	"7"	"12"	"530"	""	"530"	""
"273"	"186"	"213"	"87"	"8"	"190"	"8"	"10"	"3"	"2"	"11"	"532"	""	"532"	""
"274"	"187"	"110"	"93"	"5"	"8"	"9"	"4"	"3"	"5"	"6"	"243"	""	"243"	""
"275"	"188"	"85"	"253"	"11"	"66"	"3"	"22"	"12"	"6"	"22"	"480"	""	"480"	""
"276"	"189"	"151"	"107"	"4"	"98"	"3"	"9"	"2"	"3"	"9"	"386"	""	"386"	""
"277"	"190"	"131"	"144"	"10"	"92"	"6"	"9"	"4"	"5"	"19"	"420"	""	"420"	""
"278"	"Total -14"	"2798"	"2883"	"112"	"869"	"92"	"227"	"65"	"90"	"219"	"7355"	"0"	"7355"	"0"
"279"	""	""	""	""	""	""	"235171+48=235219
34-Babubarhi"	""	""	""	""	""	""	""
"280"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"281"	""	"Uma Kant Yadav"	"Kapildeb Kamat"	"Bhola Prasad Singh"	"Raj Kumar Mahaseth"	"Mishra Lal Paswan"	"Ram Ayodhya Yadav"	"Ram Bharos Singh"	"Manoj Jha"	"Rakesh Kumar Ranjan"	""	""	""	""
"282"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"283"	"B.F."	"42338"	"40501"	"1790"	"10955"	"1444"	"2398"	"1121"	"1565"	"4890"	"107002"	"0"	"107002"	"0"
"284"	"191"	"266"	"109"	"9"	"35"	"8"	"15"	"4"	"13"	"22"	"481"	""	"481"	""
"285"	"192"	"152"	"213"	"6"	"30"	"6"	"15"	"1"	"9"	"14"	"446"	""	"446"	""
"286"	"193"	"158"	"96"	"5"	"32"	"6"	"9"	"3"	"6"	"13"	"328"	""	"328"	""
"287"	"194"	"91"	"179"	"4"	"34"	"3"	"3"	"3"	"2"	"6"	"325"	""	"325"	""
"288"	"195"	"32"	"145"	"2"	"136"	"9"	"13"	"1"	"4"	"6"	"348"	""	"348"	""
"289"	"196"	"275"	"74"	"2"	"102"	"4"	"9"	"3"	"11"	"33"	"513"	""	"513"	""
"290"	"197"	"527"	"65"	"13"	"33"	"5"	"14"	"9"	"17"	"31"	"714"	""	"714"	""
"291"	"198"	"411"	"206"	"18"	"61"	"11"	"16"	"6"	"8"	"14"	"751"	""	"751"	""
"292"	"199"	"266"	"330"	"20"	"28"	"15"	"14"	"14"	"17"	"56"	"760"	""	"760"	""
"293"	"200"	"122"	"139"	"6"	"19"	"3"	"28"	"3"	"3"	"9"	"332"	""	"332"	""
"294"	"201"	"153"	"99"	"8"	"74"	"5"	"15"	"2"	"5"	"18"	"379"	""	"379"	""
"295"	"202"	"208"	"89"	"4"	"41"	"11"	"6"	"2"	"4"	"17"	"382"	""	"382"	""
"296"	"203"	"228"	"21"	"3"	"19"	"3"	"119"	"7"	"5"	"9"	"414"	""	"414"	""
"297"	"204"	"75"	"228"	"8"	"60"	"3"	"5"	"2"	"12"	"50"	"443"	""	"443"	""
"298"	"Total -15"	"2964"	"1993"	"108"	"704"	"92"	"281"	"60"	"116"	"298"	"6616"	"0"	"6616"	"0"
"299"	""	""	""	""	""	""	"235171+48=235219
34-Babubarhi"	""	""	""	""	""	""	""
"300"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"301"	""	"Uma Kant Yadav"	"Kapildeb Kamat"	"Bhola Prasad Singh"	"Raj Kumar Mahaseth"	"Mishra Lal Paswan"	"Ram Ayodhya Yadav"	"Ram Bharos Singh"	"Manoj Jha"	"Rakesh Kumar Ranjan"	""	""	""	""
"302"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"303"	"B.F."	"45302"	"42494"	"1898"	"11659"	"1536"	"2679"	"1181"	"1681"	"5188"	"113618"	"0"	"113618"	"0"
"304"	"205"	"167"	"315"	"5"	"29"	"9"	"15"	"1"	"9"	"14"	"564"	""	"564"	""
"305"	"206"	"234"	"248"	"13"	"54"	"12"	"20"	"12"	"13"	"23"	"629"	""	"629"	""
"306"	"207"	"87"	"132"	"9"	"69"	"6"	"4"	"2"	"19"	"12"	"340"	""	"340"	""
"307"	"208"	"447"	"140"	"1"	"36"	"2"	"15"	"4"	"3"	"6"	"654"	""	"654"	""
"308"	"209"	"59"	"297"	"8"	"22"	"2"	"5"	"1"	"8"	"19"	"421"	""	"421"	""
"309"	"210"	"120"	"186"	"4"	"43"	"6"	"9"	"3"	"17"	"29"	"417"	""	"417"	""
"310"	"211"	"396"	"160"	"11"	"42"	"12"	"10"	"6"	"14"	"25"	"676"	""	"676"	""
"311"	"212"	"459"	"128"	"9"	"24"	"11"	"3"	"8"	"10"	"34"	"686"	""	"686"	""
"312"	"213"	"482"	"64"	"2"	"5"	"4"	"2"	"2"	"2"	"16"	"579"	""	"579"	""
"313"	"214"	"312"	"102"	"2"	"56"	"4"	"1"	"2"	"2"	"3"	"484"	""	"484"	""
"314"	"215"	"451"	"84"	"7"	"76"	"7"	"5"	"8"	"3"	"20"	"661"	""	"661"	""
"315"	"216"	"427"	"83"	"6"	"89"	"8"	"9"	"2"	"11"	"10"	"645"	""	"645"	""
"316"	"217"	"258"	"67"	"7"	"172"	"10"	"13"	"3"	"9"	"13"	"552"	""	"552"	""
"317"	"218"	"149"	"213"	"2"	"9"	"2"	"12"	"2"	"8"	"55"	"452"	""	"452"	""
"318"	"Total -16"	"4048"	"2219"	"86"	"726"	"95"	"123"	"56"	"128"	"279"	"7760"	"0"	"7760"	"0"
"319"	""	""	""	""	""	""	"235171+48=235219
34-Babubarhi"	""	""	""	""	""	""	""
"320"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"321"	""	"Uma Kant Yadav"	"Kapildeb Kamat"	"Bhola Prasad Singh"	"Raj Kumar Mahaseth"	"Mishra Lal Paswan"	"Ram Ayodhya Yadav"	"Ram Bharos Singh"	"Manoj Jha"	"Rakesh Kumar Ranjan"	""	""	""	""
"322"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"323"	"B.F."	"49350"	"44713"	"1984"	"12385"	"1631"	"2802"	"1237"	"1809"	"5467"	"121378"	"0"	"121378"	"0"
"324"	"219"	"181"	"342"	"5"	"7"	"10"	"7"	"10"	"20"	"33"	"615"	""	"615"	""
"325"	"220"	"97"	"110"	"5"	"18"	"10"	"1"	"2"	"7"	"96"	"346"	""	"346"	""
"326"	"221"	"390"	"157"	"13"	"35"	"3"	"7"	"2"	"6"	"12"	"625"	""	"625"	""
"327"	"222"	"231"	"226"	"6"	"40"	"10"	"5"	"9"	"12"	"52"	"591"	""	"591"	""
"328"	"223"	"446"	"107"	"11"	"29"	"7"	"11"	"7"	"6"	"6"	"630"	""	"630"	""
"329"	"224"	"117"	"158"	"10"	"4"	"5"	"7"	"5"	"6"	"16"	"328"	""	"328"	""
"330"	"225"	"191"	"113"	"4"	"76"	"5"	"7"	"3"	"98"	"5"	"502"	""	"502"	""
"331"	"226"	"175"	"228"	"8"	"11"	"5"	"5"	"3"	"9"	"21"	"465"	""	"465"	""
"332"	"227"	"83"	"199"	"2"	"5"	"4"	"3"	"2"	"3"	"29"	"330"	""	"330"	""
"333"	"228"	"160"	"249"	"3"	"15"	"5"	"3"	"6"	"3"	"42"	"486"	""	"486"	""
"334"	"229"	"132"	"53"	"3"	"23"	"2"	"6"	"4"	"344"	"11"	"578"	""	"578"	""
"335"	"230"	"28"	"6"	"0"	"5"	"2"	"0"	"2"	"287"	"6"	"336"	""	"336"	""
"336"	"231"	"182"	"195"	"7"	"14"	"6"	"12"	"9"	"74"	"29"	"528"	""	"528"	""
"337"	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"338"	"Total -17"	"2413"	"2143"	"77"	"282"	"74"	"74"	"64"	"875"	"358"	"6360"	"0"	"6360"	"0"
"339"	""	""	""	""	""	""	"235171+48=235219
34-Babubarhi"	""	""	""	""	""	""	""
"340"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"341"	""	"Uma Kant Yadav"	"Kapildeb Kamat"	"Bhola Prasad Singh"	"Raj Kumar Mahaseth"	"Mishra Lal Paswan"	"Ram Ayodhya Yadav"	"Ram Bharos Singh"	"Manoj Jha"	"Rakesh Kumar Ranjan"	""	""	""	""
"342"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"343"	"Total No. of votes recorded at Polling stations"	"51763"	"46856"	"2061"	"12667"	"1705"	"2876"	"1301"	"2684"	"5825"	"127738"	"0"	"127738"	"0"
"344"	"No. of Votes recorded on postal ballot papers"	"9"	"3"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"14"	"6"	"20"	"0"
"345"	"TOTAL VOTES POLLED"	"51772"	"46859"	"2061"	"12667"	"1705"	"2877"	"1301"	"2685"	"5825"	"127752"	"6"	"127758"	"0"
