"ØŒ"	"er.nku.dsUnz.dh.dz0.l.a0"	"fuEufyf..kr..ds.i..k.esa.fn...x...fof.k.ekU...er.ksa.dh.l.a....k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"165"	"144"	"137"	"186"	"5"	"74"	"2"	"0"	"1"	"1"	"6"	"0"	"1"	"276"	"0"	"276"	"0"
"166"	"145"	"138"	"440"	"9"	"84"	"1"	"6"	"1"	"1"	"13"	"0"	"3"	"558"	"0"	"558"	"0"
"167"	"146"	"139"	"401"	"50"	"101"	"1"	"23"	"5"	"0"	"36"	"2"	"5"	"624"	"0"	"624"	"0"
"168"	"147"	"140"	"227"	"55"	"90"	"3"	"23"	"0"	"4"	"127"	"3"	"3"	"535"	"0"	"535"	"0"
"169"	"148"	"141"	"58"	"60"	"67"	"1"	"1"	"0"	"1"	"18"	"0"	"1"	"207"	"0"	"207"	"0"
"170"	"149"	"142"	"428"	"24"	"222"	"0"	"8"	"5"	"1"	"13"	"0"	"2"	"703"	"0"	"703"	"0"
"171"	"150"	"143"	"236"	"12"	"172"	"4"	"24"	"0"	"0"	"4"	"1"	"1"	"454"	"0"	"454"	"0"
"172"	"151"	"144"	"284"	"5"	"56"	"3"	"13"	"6"	"0"	"8"	"0"	"1"	"376"	"0"	"376"	"0"
"173"	"152"	"145"	"340"	"2"	"201"	"4"	"8"	"14"	"0"	"9"	"2"	"3"	"583"	"0"	"583"	"0"
"174"	"153"	"146"	"259"	"153"	"64"	"4"	"13"	"2"	"0"	"10"	"2"	"7"	"514"	"0"	"514"	"0"
"175"	"154"	"147"	"428"	"103"	"66"	"5"	"7"	"0"	"1"	"3"	"2"	"6"	"621"	"0"	"621"	"0"
"176"	"ØŒ"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	""	""	"r kj  fd' kksj  i zl kn"	"HkkbZ ' kel qí hu"	"Mk0 j ke i zdk' k egr ks"	"fot ;  dq0 l kg"	"i zks0 fouksn dqekj  ; kno"	"fd' ku yky  vxzoky"	"i zeksn dqekj  Bkdqj"	"j kt s' k xqj ukuh"	"eks0 ' kkfgn v[ r j"	"l at ;  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"178"	"155"	"148"	"445"	"10"	"114"	"2"	"15"	"1"	"1"	"11"	"0"	"8"	"607"	"0"	"607"	"0"
"179"	"156"	"149"	"370"	"3"	"47"	"2"	"16"	"1"	"1"	"10"	"1"	"0"	"451"	"0"	"451"	"0"
"180"	"157"	"150"	"444"	"80"	"130"	"11"	"21"	"10"	"6"	"10"	"4"	"14"	"730"	"0"	"730"	"0"
"181"	"158"	"151"	"168"	"3"	"97"	"4"	"3"	"2"	"0"	"1"	"1"	"5"	"284"	"0"	"284"	"0"
"182"	"159"	"152"	"238"	"6"	"115"	"1"	"15"	"2"	"0"	"5"	"1"	"7"	"390"	"0"	"390"	"0"
"183"	"160"	"153"	"453"	"30"	"161"	"1"	"2"	"2"	"3"	"6"	"2"	"13"	"673"	"0"	"673"	"0"
"184"	"161"	"154"	"265"	"48"	"89"	"5"	"5"	"1"	"1"	"2"	"3"	"6"	"425"	"0"	"425"	"0"
"185"	"162"	"155"	"250"	"298"	"165"	"0"	"11"	"2"	"0"	"5"	"1"	"12"	"744"	"0"	"744"	"0"
"186"	"163"	"156"	"335"	"34"	"199"	"10"	"16"	"3"	"5"	"8"	"7"	"8"	"625"	"0"	"625"	"0"
"187"	"164"	"157"	"110"	"325"	"152"	"5"	"4"	"1"	"3"	"6"	"7"	"9"	"622"	"0"	"622"	"0"
"188"	"165"	"158"	"154"	"215"	"119"	"5"	"12"	"2"	"1"	"2"	"10"	"3"	"523"	"0"	"523"	"0"
"189"	"166"	"159"	"73"	"234"	"80"	"2"	"4"	"1"	"1"	"2"	"1"	"3"	"401"	"0"	"401"	"0"
"190"	"167"	"160"	"342"	"16"	"261"	"14"	"12"	"11"	"2"	"11"	"2"	"19"	"690"	"0"	"690"	"0"
"191"	"168"	"161"	"384"	"31"	"132"	"5"	"37"	"5"	"3"	"5"	"0"	"8"	"610"	"0"	"610"	"0"
"192"	"ØŒ"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""
"193"	""	""	"r kj  fd' kksj  i zl kn"	"HkkbZ ' kel qí hu"	"Mk0 j ke i zdk' k egr ks"	"fot ;  dq0 l kg"	"i zks0 fouksn dqekj  ; kno"	"fd' ku yky  vxzoky"	"i zeksn dqekj  Bkdqj"	"j kt s' k xqj ukuh"	"eks0 ' kkfgn v[ r j"	"l at ;  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"194"	"169"	"162"	"251"	"92"	"106"	"5"	"29"	"1"	"4"	"7"	"3"	"12"	"510"	"0"	"510"	"0"
"195"	"170"	"163"	"346"	"26"	"106"	"0"	"17"	"3"	"1"	"2"	"7"	"6"	"514"	"0"	"514"	"0"
"196"	"171"	"164"	"351"	"157"	"159"	"4"	"17"	"2"	"6"	"9"	"7"	"6"	"718"	"0"	"718"	"0"
"197"	"172"	"165"	"341"	"55"	"275"	"4"	"15"	"5"	"4"	"4"	"3"	"7"	"713"	"0"	"713"	"0"
"198"	"173"	"166"	"184"	"81"	"37"	"1"	"9"	"2"	"1"	"15"	"2"	"7"	"339"	"0"	"339"	"0"
"199"	"174"	"167"	"119"	"66"	"133"	"2"	"40"	"1"	"1"	"4"	"2"	"5"	"373"	"0"	"373"	"0"
"200"	"175"	"168"	"198"	"64"	"121"	"2"	"12"	"0"	"3"	"6"	"3"	"16"	"425"	"0"	"425"	"0"
"201"	"176"	"169"	"275"	"92"	"142"	"2"	"15"	"4"	"6"	"8"	"6"	"12"	"562"	"0"	"562"	"0"
"202"	"177"	"170"	"290"	"49"	"174"	"4"	"9"	"2"	"1"	"3"	"3"	"7"	"542"	"0"	"542"	"0"
"203"	"178"	"171"	"485"	"10"	"178"	"1"	"16"	"1"	"6"	"4"	"1"	"4"	"706"	"0"	"706"	"0"
"204"	"179"	"172"	"324"	"9"	"237"	"6"	"8"	"1"	"0"	"29"	"3"	"9"	"626"	"0"	"626"	"0"
"205"	"180"	"173"	"186"	"0"	"128"	"4"	"0"	"2"	"0"	"2"	"0"	"5"	"327"	"0"	"327"	"0"
"206"	"181"	"174"	"332"	"6"	"266"	"1"	"6"	"3"	"2"	"12"	"2"	"5"	"635"	"0"	"635"	"0"
"207"	"182"	"175"	"149"	"4"	"216"	"5"	"1"	"0"	"0"	"3"	"1"	"4"	"383"	"0"	"383"	"0"
"208"	"ØŒ"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""
"209"	""	""	"r kj  fd' kksj  i zl kn"	"HkkbZ ' kel qí hu"	"Mk0 j ke i zdk' k egr ks"	"fot ;  dq0 l kg"	"i zks0 fouksn dqekj  ; kno"	"fd' ku yky  vxzoky"	"i zeksn dqekj  Bkdqj"	"j kt s' k xqj ukuh"	"eks0 ' kkfgn v[ r j"	"l at ;  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"210"	"183"	"176"	"232"	"35"	"269"	"2"	"9"	"2"	"4"	"6"	"0"	"2"	"561"	"0"	"561"	"0"
"211"	"184"	"177"	"254"	"2"	"382"	"4"	"3"	"0"	"0"	"5"	"0"	"4"	"654"	"0"	"654"	"0"
"212"	"185"	"178"	"127"	"20"	"223"	"0"	"15"	"0"	"0"	"1"	"2"	"2"	"390"	"0"	"390"	"0"
"213"	"186"	"179"	"12"	"101"	"165"	"1"	"1"	"0"	"0"	"2"	"1"	"1"	"284"	"0"	"284"	"0"
"214"	"187"	"180"	"22"	"154"	"226"	"2"	"11"	"1"	"0"	"7"	"1"	"0"	"424"	"0"	"424"	"0"
"215"	"188"	"181"	"120"	"401"	"263"	"6"	"22"	"3"	"5"	"36"	"5"	"12"	"873"	"0"	"873"	"0"
"216"	"189"	"182"	"16"	"351"	"121"	"2"	"4"	"3"	"0"	"12"	"17"	"5"	"531"	"0"	"531"	"0"
"217"	"190"	"183"	"163"	"112"	"116"	"16"	"4"	"4"	"6"	"59"	"8"	"19"	"507"	"0"	"507"	"0"
"218"	"191"	"184"	"342"	"91"	"135"	"2"	"17"	"4"	"2"	"11"	"7"	"4"	"615"	"0"	"615"	"0"
"219"	"192"	"185"	"242"	"252"	"121"	"4"	"17"	"3"	"2"	"12"	"21"	"9"	"683"	"0"	"683"	"0"
"220"	"193"	"186"	"388"	"69"	"153"	"2"	"8"	"3"	"5"	"19"	"10"	"11"	"668"	"0"	"668"	"0"
"221"	"194"	"187"	"324"	"5"	"232"	"6"	"7"	"3"	"1"	"16"	"4"	"12"	"610"	"0"	"610"	"0"
"222"	"195"	"188"	"220"	"10"	"307"	"12"	"9"	"7"	"1"	"3"	"4"	"11"	"584"	"0"	"584"	"0"
"223"	"196"	"189"	"374"	"10"	"320"	"6"	"4"	"5"	"2"	"19"	"1"	"8"	"749"	"0"	"749"	"0"
"224"	"ØŒ"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	""	""	"r kj  fd' kksj  i zl kn"	"HkkbZ ' kel qí hu"	"Mk0 j ke i zdk' k egr ks"	"fot ;  dq0 l kg"	"i zks0 fouksn dqekj  ; kno"	"fd' ku yky  vxzoky"	"i zeksn dqekj  Bkdqj"	"j kt s' k xqj ukuh"	"eks0 ' kkfgn v[ r j"	"l at ;  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"226"	"197"	"190"	"223"	"3"	"210"	"5"	"7"	"0"	"1"	"1"	"2"	"6"	"458"	"0"	"458"	"0"
"227"	"198"	"191"	"535"	"16"	"287"	"4"	"11"	"2"	"3"	"15"	"7"	"10"	"890"	"0"	"890"	"0"
"228"	"199"	"192"	"182"	"20"	"233"	"8"	"6"	"3"	"7"	"61"	"6"	"14"	"540"	"0"	"540"	"0"
"229"	"200"	"193"	"510"	"16"	"162"	"6"	"18"	"5"	"4"	"4"	"6"	"13"	"744"	"0"	"744"	"0"
"230"	"201"	"194"	"312"	"31"	"267"	"6"	"11"	"6"	"10"	"33"	"5"	"22"	"703"	"0"	"703"	"0"
"231"	"202"	"195"	"260"	"35"	"198"	"3"	"16"	"1"	"1"	"7"	"0"	"13"	"534"	"0"	"534"	"0"
"232"	"203"	"196"	"605"	"30"	"130"	"16"	"6"	"10"	"9"	"16"	"12"	"32"	"866"	"0"	"866"	"0"
"233"	"204"	"197"	"418"	"9"	"207"	"9"	"17"	"2"	"0"	"3"	"9"	"23"	"697"	"0"	"697"	"0"
"234"	"205"	"198"	"227"	"45"	"515"	"14"	"32"	"15"	"9"	"28"	"27"	"58"	"970"	"0"	"970"	"0"
"235"	"206"	"199"	"118"	"217"	"84"	"2"	"1"	"1"	"2"	"4"	"10"	"11"	"450"	"0"	"450"	"0"
"236"	"207"	"200"	"226"	"24"	"158"	"6"	"7"	"2"	"2"	"19"	"9"	"7"	"460"	"0"	"460"	"0"
"237"	"208"	"201"	"21"	"465"	"323"	"3"	"4"	"0"	"2"	"3"	"4"	"4"	"829"	"0"	"829"	"0"
"238"	"209"	"202"	"55"	"414"	"170"	"5"	"11"	"2"	"3"	"8"	"16"	"7"	"691"	"0"	"691"	"0"
"239"	"210"	"203"	"137"	"260"	"73"	"2"	"6"	"1"	"1"	"18"	"4"	"0"	"502"	"0"	"502"	"0"
"240"	"ØŒ"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	""	""	"r kj  fd' kksj  i zl kn"	"HkkbZ ' kel qí hu"	"Mk0 j ke i zdk' k egr ks"	"fot ;  dq0 l kg"	"i zks0 fouksn dqekj  ; kno"	"fd' ku yky  vxzoky"	"i zeksn dqekj  Bkdqj"	"j kt s' k xqj ukuh"	"eks0 ' kkfgn v[ r j"	"l at ;  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"242"	"211"	"204"	"262"	"48"	"72"	"1"	"3"	"1"	"0"	"4"	"4"	"8"	"403"	"0"	"403"	"0"
"243"	"212"	"204A"	"151"	"191"	"70"	"5"	"5"	"3"	"1"	"12"	"2"	"2"	"442"	"0"	"442"	"0"
"244"	"213"	"205"	"85"	"391"	"242"	"5"	"11"	"3"	"4"	"4"	"10"	"9"	"764"	"0"	"764"	"0"
"245"	"214"	"206"	"10"	"107"	"202"	"10"	"5"	"1"	"1"	"2"	"4"	"7"	"349"	"0"	"349"	"0"
"246"	"215"	"207"	"326"	"24"	"355"	"13"	"12"	"3"	"6"	"1"	"4"	"14"	"758"	"0"	"758"	"0"
"247"	"216"	"208"	"208"	"439"	"168"	"5"	"2"	"4"	"2"	"5"	"10"	"11"	"854"	"0"	"854"	"0"
"248"	"217"	"209"	"204"	"6"	"140"	"3"	"1"	"0"	"0"	"3"	"3"	"1"	"361"	"0"	"361"	"0"
"249"	"218"	"210"	"48"	"609"	"21"	"4"	"2"	"2"	"2"	"3"	"10"	"20"	"721"	"0"	"721"	"0"
"250"	"219"	"211"	"96"	"280"	"56"	"1"	"2"	"0"	"0"	"1"	"3"	"3"	"442"	"0"	"442"	"0"
"251"	"220"	"212"	"441"	"10"	"337"	"10"	"8"	"4"	"8"	"7"	"4"	"17"	"846"	"0"	"846"	"0"
"252"	"221"	"213"	"177"	"344"	"47"	"4"	"3"	"0"	"1"	"7"	"5"	"3"	"591"	"0"	"591"	"0"
"253"	"222"	"214"	"355"	"144"	"110"	"12"	"3"	"5"	"3"	"5"	"14"	"9"	"660"	"0"	"660"	"0"
"254"	"223"	"215"	"425"	"14"	"448"	"11"	"12"	"2"	"7"	"26"	"8"	"25"	"978"	"0"	"978"	"0"
"255"	"224"	"216"	"384"	"57"	"168"	"3"	"3"	"3"	"5"	"7"	"5"	"23"	"658"	"0"	"658"	"0"
"256"	"ØŒ"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""
"257"	""	""	"r kj  fd' kksj  i zl kn"	"HkkbZ ' kel qí hu"	"Mk0 j ke i zdk' k egr ks"	"fot ;  dq0 l kg"	"i zks0 fouksn dqekj  ; kno"	"fd' ku yky  vxzoky"	"i zeksn dqekj  Bkdqj"	"j kt s' k xqj ukuh"	"eks0 ' kkfgn v[ r j"	"l at ;  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"258"	"225"	"217"	"42"	"765"	"85"	"5"	"5"	"0"	"2"	"5"	"19"	"8"	"936"	"0"	"936"	"0"
"259"	"226"	"218"	"387"	"270"	"122"	"7"	"7"	"2"	"6"	"5"	"17"	"16"	"839"	"0"	"839"	"0"
"260"	"227"	"219"	"45"	"106"	"186"	"4"	"10"	"1"	"2"	"2"	"5"	"8"	"369"	"0"	"369"	"0"
"261"	"228"	"220"	"367"	"20"	"46"	"5"	"10"	"6"	"2"	"3"	"1"	"3"	"463"	"0"	"463"	"0"
"262"	"229"	"220A"	"299"	"38"	"149"	"6"	"13"	"7"	"6"	"9"	"11"	"15"	"553"	"0"	"553"	"0"
"263"	"er nku dsUnzksa i j  vfHkfyf[ kr er ksa dh dqy  l a[ ; k"	""	"58682"	"17014"	"38055"	"1051"	"2568"	"599"	"654"	"2647"	"1964"	"1954"	"125188"	"0"	"125188"	"0"
"264"	"Mkd  er i =ksa i j  vfHkfyf[ kr  er ksa dh l a[ ; k ¼l Hkk fuokZpu& {ks= l s fuokZpu dh n' kk esa Hkj k t k,  ½"	""	"36"	"1"	"56"	"0"	"2"	"0"	"0"	"0"	"1"	"0"	"96"	"56"	"152"	"0"
"265"	"Mkys x,  dqy  er"	""	"58718"	"17015"	"38111"	"1051"	"2570"	"599"	"654"	"2647"	"1965"	"1954"	"125284"	"56"	"125340"	"0"
