"Election.to.the.house.of.the.people.from.the..12.NARKATIA..Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"Part - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[To be used both for Parliamentary and Assembly Election]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electiors in Assembly Constituency/Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Name of th Assembly/Segment      12- Narkatia"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	""	""	""	"AWADH"	"YASMIN"	"LAKSHMI"	"SHYAM"	"SONU"	"PRABHUD"	"MD."	"GAYASUD"	"CHANDRA"	"DHIREND"	"MOHAM"	"VIDYANAN"	"VIRENDRA"	"SHAMIM"	"SHASHI"	"SUNIL"	"SOMESH"	"Total"	"No. of"	"No. of"	"Total"
"128"	"Sl
no"	"BOOT H_NO"	"BOOT H_EXT"	"CANDI1"	"CANDI2"	"CANDI3"	"CANDI4"	"CANDI5"	"CANDI6"	"CANDI7"	"CANDI8"	"CANDI9"	"CANDI10"	"CANDI11"	"CANDI12"	"CANDI13"	"CANDI14"	"CANDI15"	"CANDI16"	"CANDI17"	""	""	""	""
"129"	"101"	"94"	""	"46"	"435"	"12"	"52"	"98"	"17"	"9"	"5"	"8"	"4"	"23"	"11"	"16"	"56"	"54"	"10"	"2"	"858"	"0"	"0"	"0"
"130"	"102"	"95"	""	"12"	"203"	"7"	"495"	"20"	"3"	"2"	"6"	"4"	"0"	"6"	"0"	"12"	"11"	"64"	"1"	"1"	"847"	"0"	"0"	"0"
"131"	"103"	"96"	""	"28"	"187"	"7"	"342"	"43"	"6"	"2"	"3"	"10"	"2"	"6"	"4"	"4"	"53"	"14"	"4"	"1"	"716"	"0"	"0"	"0"
"132"	"104"	"97"	""	"3"	"113"	"8"	"393"	"54"	"4"	"0"	"1"	"6"	"1"	"2"	"6"	"42"	"46"	"25"	"2"	"3"	"709"	"0"	"0"	"0"
"133"	"105"	"98"	""	"29"	"207"	"3"	"290"	"52"	"1"	"4"	"3"	"8"	"3"	"13"	"6"	"82"	"14"	"15"	"3"	"6"	"739"	"0"	"0"	"0"
"134"	"106"	"99"	""	"17"	"132"	"9"	"292"	"86"	"12"	"5"	"2"	"11"	"5"	"7"	"8"	"37"	"20"	"17"	"7"	"4"	"671"	"0"	"0"	"0"
"135"	"107"	"100"	""	"12"	"262"	"19"	"314"	"24"	"7"	"11"	"1"	"34"	"5"	"7"	"3"	"51"	"13"	"31"	"2"	"6"	"802"	"0"	"0"	"0"
"136"	"108"	"101"	""	"13"	"76"	"9"	"106"	"184"	"7"	"4"	"5"	"7"	"5"	"13"	"12"	"67"	"25"	"41"	"21"	"1"	"596"	"0"	"0"	"0"
"137"	"109"	"102"	""	"48"	"211"	"15"	"72"	"34"	"7"	"4"	"2"	"4"	"0"	"5"	"4"	"26"	"244"	"25"	"5"	"14"	"720"	"0"	"0"	"0"
"138"	"110"	"103"	""	"6"	"25"	"2"	"74"	"73"	"3"	"1"	"0"	"3"	"0"	"2"	"3"	"11"	"3"	"52"	"3"	"0"	"261"	"0"	"0"	"0"
"139"	"111"	"104"	""	"6"	"177"	"7"	"223"	"70"	"0"	"5"	"1"	"7"	"2"	"12"	"6"	"16"	"22"	"26"	"24"	"2"	"606"	"0"	"0"	"0"
"140"	"112"	"105"	""	"24"	"86"	"16"	"79"	"53"	"46"	"10"	"14"	"4"	"6"	"17"	"9"	"124"	"137"	"212"	"19"	"7"	"863"	"0"	"0"	"0"
"141"	"113"	"106"	""	"25"	"149"	"11"	"74"	"27"	"16"	"3"	"2"	"3"	"1"	"10"	"1"	"21"	"28"	"80"	"5"	"1"	"457"	"0"	"0"	"0"
"142"	"114"	"107"	""	"15"	"51"	"6"	"81"	"139"	"65"	"3"	"5"	"4"	"1"	"4"	"3"	"10"	"28"	"192"	"10"	"5"	"622"	"0"	"0"	"0"
"143"	"115"	"108"	""	"7"	"278"	"6"	"37"	"51"	"4"	"0"	"2"	"1"	"2"	"6"	"4"	"32"	"102"	"70"	"4"	"4"	"610"	"0"	"0"	"0"
"144"	"116"	"109"	""	"45"	"4"	"4"	"65"	"165"	"11"	"2"	"2"	"21"	"3"	"3"	"8"	"55"	"8"	"36"	"9"	"2"	"443"	"0"	"0"	"0"
"145"	"117"	"110"	""	"3"	"86"	"3"	"26"	"71"	"2"	"1"	"0"	"10"	"1"	"4"	"5"	"82"	"16"	"69"	"4"	"1"	"384"	"0"	"0"	"0"
"146"	"118"	"111"	""	"13"	"142"	"16"	"46"	"95"	"19"	"8"	"5"	"5"	"6"	"12"	"5"	"14"	"288"	"32"	"20"	"5"	"731"	"0"	"0"	"0"
"147"	"119"	"112"	""	"92"	"134"	"8"	"28"	"47"	"6"	"5"	"1"	"2"	"1"	"7"	"5"	"25"	"97"	"34"	"14"	"6"	"512"	"0"	"0"	"0"
"148"	"120"	"113"	""	"25"	"244"	"5"	"114"	"79"	"2"	"4"	"0"	"1"	"1"	"6"	"1"	"3"	"102"	"9"	"4"	"21"	"621"	"0"	"0"	"0"
"149"	"121"	"114"	""	"24"	"258"	"3"	"32"	"32"	"1"	"2"	"1"	"3"	"0"	"2"	"0"	"6"	"112"	"6"	"1"	"7"	"490"	"0"	"0"	"0"
"150"	"122"	"115"	""	"2"	"129"	"11"	"63"	"11"	"3"	"0"	"0"	"0"	"0"	"3"	"0"	"11"	"160"	"168"	"4"	"0"	"565"	"0"	"0"	"0"
"151"	"123"	"116"	""	"1"	"92"	"0"	"16"	"2"	"0"	"1"	"0"	"0"	"0"	"8"	"1"	"4"	"155"	"11"	"2"	"0"	"293"	"0"	"0"	"0"
"152"	"124"	"117"	""	"12"	"144"	"10"	"204"	"15"	"3"	"6"	"3"	"6"	"5"	"6"	"4"	"129"	"45"	"14"	"14"	"5"	"625"	"0"	"0"	"0"
"153"	"125"	"118"	""	"10"	"166"	"9"	"26"	"26"	"0"	"2"	"0"	"1"	"1"	"3"	"2"	"17"	"39"	"310"	"16"	"2"	"630"	"0"	"0"	"0"
"154"	"126"	"119"	""	"9"	"52"	"11"	"75"	"102"	"3"	"5"	"0"	"3"	"7"	"0"	"6"	"16"	"25"	"29"	"6"	"1"	"350"	"0"	"0"	"0"
"155"	"127"	"120"	""	"5"	"108"	"10"	"88"	"98"	"7"	"1"	"3"	"7"	"2"	"5"	"7"	"51"	"15"	"42"	"11"	"1"	"461"	"0"	"0"	"0"
"156"	"128"	"121"	""	"11"	"164"	"8"	"22"	"8"	"0"	"0"	"0"	"1"	"1"	"6"	"4"	"16"	"43"	"103"	"13"	"13"	"413"	"0"	"0"	"0"
"157"	"129"	"122"	""	"1"	"21"	"6"	"93"	"54"	"2"	"0"	"3"	"7"	"4"	"10"	"1"	"14"	"28"	"154"	"13"	"2"	"413"	"0"	"0"	"0"
"158"	"130"	"123"	""	"5"	"152"	"3"	"31"	"12"	"3"	"0"	"0"	"0"	"2"	"4"	"3"	"9"	"26"	"64"	"3"	"2"	"319"	"0"	"0"	"0"
"159"	"131"	"124"	""	"5"	"121"	"9"	"38"	"105"	"6"	"3"	"4"	"3"	"3"	"1"	"5"	"17"	"82"	"182"	"14"	"2"	"600"	"0"	"0"	"0"
"160"	"132"	"125"	""	"2"	"58"	"2"	"40"	"85"	"3"	"0"	"4"	"1"	"0"	"2"	"5"	"13"	"16"	"119"	"5"	"0"	"355"	"0"	"0"	"0"
"161"	"133"	"126"	""	"6"	"254"	"3"	"17"	"63"	"2"	"1"	"3"	"4"	"3"	"6"	"6"	"22"	"71"	"173"	"17"	"2"	"653"	"0"	"0"	"0"
"162"	"134"	"127"	""	"15"	"205"	"7"	"58"	"20"	"1"	"1"	"2"	"3"	"2"	"1"	"3"	"98"	"104"	"166"	"7"	"8"	"701"	"0"	"0"	"0"
"163"	"135"	"128"	""	"3"	"76"	"2"	"72"	"121"	"6"	"2"	"2"	"4"	"7"	"4"	"5"	"19"	"34"	"246"	"19"	"3"	"625"	"0"	"0"	"0"
"164"	"136"	"129"	""	"22"	"85"	"2"	"164"	"18"	"0"	"1"	"2"	"3"	"3"	"6"	"10"	"49"	"55"	"289"	"21"	"2"	"732"	"0"	"0"	"0"
"165"	"137"	"130"	""	"6"	"60"	"16"	"50"	"30"	"5"	"1"	"0"	"8"	"0"	"3"	"6"	"37"	"96"	"276"	"5"	"0"	"599"	"0"	"0"	"0"
"166"	"Page 4 of 7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"167"	""	""	""	"AWADH"	"YASMIN"	"LAKSHMI"	"SHYAM"	"SONU"	"PRABHUD"	"MD."	"GAYASUD"	"CHANDRA"	"DHIREND"	"MOHAM"	"VIDYANAN"	"VIRENDRA"	"SHAMIM"	"SHASHI"	"SUNIL"	"SOMESH"	"Total"	"No. of"	"No. of"	"Total"
"168"	""	""	""	"BIHAREE"	"SABIR ALI"	"PRASAD"	"BIHARI"	"KUMAR"	"EO YADAV"	"AZAZUL"	"DIN MIYA"	"SHEKHAR"	"RA"	"MAD"	"D PRASAD"	"PRASAD"	"AHMAD"	"BHUSHAN"	"KUMAR"	"WAR"	"Valid"	"rejected"	"tendere"	""
"169"	""	""	""	"PRASAD"	""	""	"PRASAD"	""	""	"HAQUE"	""	"DWIVEDI"	"KUMAR"	"SHARIF"	""	""	""	"SINGH"	""	"SAWARNI"	"Votes"	"votes"	"d voted"	""
"170"	""	""	""	""	""	""	""	""	""	""	""	""	"SINGH"	""	""	""	""	""	""	"Y"	""	""	""	""
"171"	"Sl
no"	"BOOT H_NO"	"BOOT H_EXT"	"CANDI1"	"CANDI2"	"CANDI3"	"CANDI4"	"CANDI5"	"CANDI6"	"CANDI7"	"CANDI8"	"CANDI9"	"CANDI10"	"CANDI11"	"CANDI12"	"CANDI13"	"CANDI14"	"CANDI15"	"CANDI16"	"CANDI17"	""	""	""	""
"172"	"138"	"131"	""	"11"	"119"	"4"	"20"	"5"	"0"	"0"	"0"	"8"	"0"	"2"	"2"	"12"	"66"	"196"	"11"	"5"	"461"	"0"	"0"	"0"
"173"	"139"	"132"	""	"3"	"18"	"5"	"80"	"5"	"2"	"0"	"0"	"28"	"1"	"0"	"1"	"30"	"5"	"36"	"3"	"1"	"218"	"0"	"0"	"0"
"174"	"140"	"133"	""	"47"	"77"	"9"	"155"	"9"	"16"	"6"	"2"	"25"	"5"	"4"	"0"	"24"	"63"	"248"	"5"	"2"	"697"	"0"	"0"	"0"
"175"	"141"	"134"	""	"9"	"266"	"80"	"36"	"19"	"3"	"7"	"4"	"59"	"4"	"6"	"5"	"57"	"65"	"62"	"6"	"1"	"689"	"0"	"0"	"0"
"176"	"142"	"135"	""	"1"	"13"	"4"	"135"	"3"	"0"	"2"	"0"	"6"	"0"	"0"	"4"	"7"	"34"	"11"	"1"	"0"	"221"	"0"	"0"	"0"
"177"	"143"	"136"	""	"20"	"61"	"5"	"100"	"38"	"5"	"4"	"3"	"141"	"2"	"6"	"3"	"25"	"10"	"29"	"1"	"0"	"453"	"0"	"0"	"0"
"178"	"144"	"137"	""	"7"	"56"	"22"	"160"	"32"	"2"	"0"	"2"	"64"	"2"	"2"	"2"	"18"	"10"	"27"	"0"	"1"	"407"	"0"	"0"	"0"
"179"	"145"	"138"	""	"8"	"92"	"12"	"43"	"9"	"2"	"2"	"9"	"133"	"2"	"10"	"6"	"8"	"9"	"50"	"14"	"2"	"411"	"0"	"0"	"0"
"180"	"146"	"139"	""	"9"	"68"	"4"	"99"	"44"	"6"	"4"	"6"	"155"	"3"	"2"	"5"	"9"	"7"	"8"	"7"	"2"	"438"	"0"	"0"	"0"
"181"	"147"	"140"	""	"5"	"62"	"21"	"27"	"75"	"4"	"0"	"3"	"23"	"2"	"2"	"1"	"8"	"48"	"42"	"5"	"8"	"336"	"0"	"0"	"0"
"182"	"148"	"141"	""	"1"	"43"	"11"	"50"	"25"	"2"	"4"	"3"	"113"	"4"	"5"	"8"	"10"	"16"	"9"	"4"	"1"	"309"	"0"	"0"	"0"
"183"	"149"	"142"	""	"4"	"16"	"10"	"421"	"9"	"1"	"0"	"2"	"6"	"1"	"0"	"3"	"77"	"1"	"4"	"1"	"2"	"558"	"0"	"0"	"0"
"184"	"150"	"143"	""	"11"	"50"	"5"	"538"	"6"	"10"	"7"	"3"	"59"	"6"	"16"	"11"	"62"	"11"	"25"	"7"	"5"	"832"	"0"	"0"	"0"
"185"	"151"	"144"	""	"10"	"45"	"8"	"382"	"16"	"5"	"0"	"1"	"13"	"2"	"5"	"7"	"8"	"9"	"26"	"8"	"3"	"548"	"0"	"0"	"0"
"186"	"152"	"145"	""	"10"	"62"	"8"	"392"	"55"	"37"	"6"	"8"	"14"	"3"	"7"	"13"	"16"	"20"	"51"	"29"	"10"	"741"	"0"	"0"	"0"
"187"	"153"	"146"	""	"3"	"203"	"5"	"460"	"5"	"3"	"5"	"0"	"3"	"0"	"3"	"0"	"0"	"16"	"0"	"0"	"1"	"707"	"0"	"0"	"0"
"188"	"154"	"147"	""	"2"	"129"	"1"	"483"	"2"	"0"	"1"	"0"	"2"	"0"	"1"	"1"	"2"	"9"	"1"	"0"	"0"	"634"	"0"	"0"	"0"
"189"	"155"	"148"	""	"5"	"268"	"3"	"208"	"5"	"1"	"3"	"1"	"3"	"2"	"13"	"1"	"2"	"118"	"2"	"0"	"0"	"635"	"0"	"0"	"0"
"190"	"156"	"149"	""	"7"	"272"	"7"	"156"	"6"	"1"	"2"	"4"	"5"	"0"	"11"	"2"	"11"	"40"	"14"	"5"	"1"	"544"	"0"	"0"	"0"
"191"	"157"	"150"	""	"9"	"158"	"5"	"165"	"6"	"2"	"2"	"2"	"11"	"0"	"5"	"4"	"5"	"19"	"9"	"10"	"1"	"413"	"0"	"0"	"0"
"192"	"158"	"151"	""	"13"	"150"	"5"	"96"	"7"	"5"	"4"	"2"	"1"	"1"	"2"	"6"	"8"	"36"	"15"	"8"	"8"	"367"	"0"	"0"	"0"
"193"	"159"	"152"	""	"9"	"156"	"5"	"121"	"10"	"3"	"1"	"1"	"5"	"3"	"7"	"3"	"18"	"7"	"52"	"14"	"0"	"415"	"0"	"0"	"0"
"194"	"160"	"153"	""	"11"	"205"	"10"	"189"	"52"	"5"	"5"	"1"	"10"	"1"	"6"	"10"	"73"	"26"	"52"	"10"	"2"	"668"	"0"	"0"	"0"
"195"	"161"	"154"	""	"14"	"253"	"14"	"314"	"30"	"3"	"15"	"2"	"11"	"5"	"12"	"3"	"26"	"22"	"34"	"10"	"0"	"768"	"0"	"0"	"0"
"196"	"162"	"155"	""	"8"	"129"	"5"	"190"	"31"	"6"	"0"	"0"	"13"	"0"	"2"	"0"	"1"	"5"	"11"	"4"	"2"	"407"	"0"	"0"	"0"
"197"	"163"	"156"	""	"6"	"79"	"3"	"285"	"18"	"6"	"2"	"2"	"17"	"3"	"4"	"2"	"57"	"13"	"16"	"9"	"4"	"526"	"0"	"0"	"0"
"198"	"164"	"157"	""	"7"	"248"	"3"	"26"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"12"	"1"	"35"	"4"	"0"	"340"	"0"	"0"	"0"
"199"	"165"	"158"	""	"9"	"80"	"10"	"177"	"8"	"2"	"0"	"2"	"7"	"1"	"4"	"1"	"4"	"7"	"25"	"7"	"0"	"344"	"0"	"0"	"0"
"200"	"166"	"159"	""	"10"	"132"	"7"	"118"	"12"	"3"	"1"	"1"	"7"	"0"	"4"	"0"	"10"	"14"	"21"	"7"	"4"	"351"	"0"	"0"	"0"
"201"	"167"	"160"	""	"25"	"275"	"13"	"126"	"20"	"12"	"3"	"3"	"9"	"6"	"10"	"6"	"16"	"35"	"70"	"11"	"7"	"647"	"0"	"0"	"0"
"202"	"168"	"161"	""	"10"	"24"	"3"	"128"	"11"	"2"	"3"	"2"	"49"	"3"	"7"	"5"	"5"	"16"	"166"	"12"	"6"	"452"	"0"	"0"	"0"
"203"	"169"	"162"	""	"10"	"180"	"9"	"31"	"5"	"2"	"1"	"4"	"3"	"0"	"2"	"1"	"4"	"2"	"80"	"7"	"0"	"341"	"0"	"0"	"0"
"204"	"170"	"163"	""	"6"	"104"	"110"	"139"	"22"	"4"	"2"	"1"	"15"	"2"	"5"	"8"	"9"	"17"	"50"	"11"	"0"	"505"	"0"	"0"	"0"
"205"	"171"	"164"	""	"35"	"158"	"37"	"163"	"245"	"19"	"6"	"10"	"29"	"7"	"14"	"18"	"11"	"26"	"20"	"17"	"9"	"824"	"0"	"0"	"0"
"206"	"172"	"165"	""	"6"	"4"	"3"	"149"	"3"	"3"	"0"	"2"	"10"	"2"	"0"	"2"	"13"	"2"	"7"	"2"	"8"	"216"	"0"	"0"	"0"
"207"	"173"	"166"	""	"29"	"233"	"7"	"228"	"11"	"3"	"13"	"3"	"4"	"1"	"5"	"2"	"11"	"33"	"41"	"9"	"3"	"636"	"0"	"0"	"0"
"208"	"174"	"167"	""	"24"	"181"	"15"	"352"	"7"	"2"	"1"	"0"	"3"	"1"	"2"	"0"	"2"	"11"	"14"	"1"	"4"	"620"	"0"	"0"	"0"
"209"	"Page 5 of 7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"210"	""	""	""	"AWADH"	"YASMIN"	"LAKSHMI"	"SHYAM"	"SONU"	"PRABHUD"	"MD."	"GAYASUD"	"CHANDRA"	"DHIREND"	"MOHAM"	"VIDYANAN"	"VIRENDRA"	"SHAMIM"	"SHASHI"	"SUNIL"	"SOMESH"	"Total"	"No. of"	"No. of"	"Total"
"211"	""	""	""	"BIHAREE"	"SABIR ALI"	"PRASAD"	"BIHARI"	"KUMAR"	"EO YADAV"	"AZAZUL"	"DIN MIYA"	"SHEKHAR"	"RA"	"MAD"	"D PRASAD"	"PRASAD"	"AHMAD"	"BHUSHAN"	"KUMAR"	"WAR"	"Valid"	"rejected"	"tendere"	""
"212"	""	""	""	"PRASAD"	""	""	"PRASAD"	""	""	"HAQUE"	""	"DWIVEDI"	"KUMAR"	"SHARIF"	""	""	""	"SINGH"	""	"SAWARNI"	"Votes"	"votes"	"d voted"	""
"213"	""	""	""	""	""	""	""	""	""	""	""	""	"SINGH"	""	""	""	""	""	""	"Y"	""	""	""	""
"214"	"Sl
no"	"BOOT H_NO"	"BOOT H_EXT"	"CANDI1"	"CANDI2"	"CANDI3"	"CANDI4"	"CANDI5"	"CANDI6"	"CANDI7"	"CANDI8"	"CANDI9"	"CANDI10"	"CANDI11"	"CANDI12"	"CANDI13"	"CANDI14"	"CANDI15"	"CANDI16"	"CANDI17"	""	""	""	""
"215"	"175"	"168"	""	"11"	"375"	"10"	"32"	"8"	"3"	"0"	"0"	"4"	"0"	"7"	"0"	"9"	"187"	"6"	"3"	"3"	"658"	"0"	"0"	"0"
"216"	"176"	"169"	""	"25"	"408"	"12"	"41"	"6"	"0"	"13"	"1"	"1"	"0"	"6"	"2"	"6"	"99"	"28"	"8"	"19"	"675"	"0"	"0"	"0"
"217"	"177"	"170"	""	"11"	"240"	"4"	"19"	"4"	"1"	"1"	"1"	"0"	"0"	"2"	"2"	"0"	"124"	"3"	"2"	"2"	"416"	"0"	"0"	"0"
"218"	"178"	"171"	""	"13"	"531"	"5"	"30"	"3"	"2"	"0"	"1"	"2"	"0"	"3"	"0"	"1"	"35"	"7"	"1"	"3"	"637"	"0"	"0"	"0"
"219"	"179"	"172"	""	"8"	"137"	"8"	"273"	"11"	"4"	"12"	"0"	"10"	"3"	"7"	"13"	"29"	"36"	"12"	"11"	"5"	"579"	"0"	"0"	"0"
"220"	"180"	"173"	""	"5"	"306"	"7"	"67"	"43"	"1"	"0"	"0"	"4"	"0"	"3"	"1"	"1"	"20"	"4"	"0"	"0"	"462"	"0"	"0"	"0"
"221"	"181"	"174"	""	"13"	"189"	"6"	"68"	"35"	"1"	"5"	"3"	"5"	"3"	"5"	"7"	"10"	"19"	"16"	"11"	"1"	"397"	"0"	"0"	"0"
"222"	"182"	"175"	""	"10"	"27"	"4"	"417"	"53"	"26"	"3"	"2"	"8"	"2"	"4"	"7"	"23"	"30"	"82"	"10"	"3"	"711"	"0"	"0"	"0"
"223"	"183"	"176"	""	"3"	"125"	"8"	"144"	"27"	"7"	"4"	"3"	"10"	"7"	"6"	"3"	"15"	"141"	"212"	"9"	"3"	"727"	"0"	"0"	"0"
"224"	"184"	"177"	""	"13"	"59"	"5"	"227"	"42"	"8"	"4"	"2"	"19"	"6"	"11"	"8"	"18"	"18"	"235"	"21"	"11"	"707"	"0"	"0"	"0"
"225"	"185"	"178"	""	"19"	"260"	"15"	"210"	"20"	"5"	"15"	"3"	"13"	"3"	"3"	"4"	"21"	"44"	"50"	"26"	"3"	"714"	"0"	"0"	"0"
"226"	"186"	"179"	""	"18"	"173"	"19"	"126"	"24"	"6"	"9"	"1"	"5"	"2"	"8"	"1"	"81"	"33"	"102"	"7"	"3"	"618"	"0"	"0"	"0"
"227"	"187"	"180"	""	"25"	"263"	"11"	"78"	"7"	"1"	"59"	"1"	"0"	"1"	"1"	"1"	"5"	"81"	"11"	"1"	"0"	"546"	"0"	"0"	"0"
"228"	"188"	"181"	""	"7"	"16"	"4"	"81"	"5"	"1"	"54"	"1"	"3"	"6"	"2"	"4"	"5"	"25"	"4"	"1"	"0"	"219"	"0"	"0"	"0"
"229"	"189"	"182"	""	"12"	"91"	"5"	"66"	"14"	"5"	"273"	"7"	"5"	"8"	"8"	"5"	"8"	"88"	"4"	"12"	"2"	"613"	"0"	"0"	"0"
"230"	"190"	"183"	""	"7"	"30"	"11"	"342"	"25"	"4"	"3"	"10"	"61"	"10"	"9"	"10"	"80"	"49"	"21"	"3"	"2"	"677"	"0"	"0"	"0"
"231"	"191"	"184"	""	"16"	"186"	"11"	"280"	"16"	"1"	"10"	"2"	"12"	"0"	"3"	"1"	"5"	"8"	"17"	"7"	"2"	"577"	"0"	"0"	"0"
"232"	"192"	"185"	""	"17"	"120"	"6"	"209"	"20"	"2"	"6"	"0"	"6"	"4"	"7"	"4"	"9"	"14"	"15"	"16"	"5"	"460"	"0"	"0"	"0"
"233"	"193"	"186"	""	"12"	"25"	"3"	"250"	"21"	"3"	"3"	"1"	"3"	"3"	"1"	"6"	"39"	"14"	"74"	"10"	"6"	"474"	"0"	"0"	"0"
"234"	"194"	"187"	""	"118"	"43"	"4"	"321"	"12"	"2"	"5"	"3"	"4"	"4"	"2"	"2"	"12"	"10"	"37"	"2"	"11"	"592"	"0"	"0"	"0"
"235"	"195"	"188"	""	"11"	"173"	"21"	"397"	"18"	"3"	"14"	"5"	"28"	"9"	"94"	"9"	"9"	"16"	"21"	"19"	"0"	"847"	"0"	"0"	"0"
"236"	"196"	"189"	""	"18"	"7"	"6"	"164"	"7"	"13"	"1"	"1"	"2"	"1"	"3"	"0"	"52"	"6"	"3"	"4"	"3"	"291"	"0"	"0"	"0"
"237"	"197"	"190"	""	"3"	"61"	"11"	"558"	"24"	"2"	"1"	"2"	"31"	"1"	"0"	"1"	"21"	"14"	"16"	"7"	"0"	"753"	"0"	"0"	"0"
"238"	"198"	"191"	""	"6"	"182"	"8"	"235"	"9"	"1"	"3"	"2"	"23"	"3"	"7"	"9"	"22"	"21"	"73"	"11"	"2"	"617"	"0"	"0"	"0"
"239"	"199"	"192"	""	"5"	"87"	"4"	"183"	"16"	"6"	"9"	"2"	"27"	"1"	"8"	"3"	"39"	"7"	"33"	"12"	"0"	"442"	"0"	"0"	"0"
"240"	"200"	"193"	""	"3"	"6"	"1"	"293"	"7"	"1"	"0"	"1"	"13"	"1"	"9"	"3"	"16"	"14"	"20"	"5"	"7"	"400"	"0"	"0"	"0"
"241"	"201"	"194"	""	"11"	"43"	"6"	"172"	"32"	"3"	"8"	"3"	"47"	"3"	"6"	"17"	"145"	"23"	"37"	"15"	"4"	"575"	"0"	"0"	"0"
"242"	"202"	"195"	""	"17"	"111"	"1"	"78"	"2"	"2"	"3"	"2"	"27"	"2"	"3"	"5"	"126"	"10"	"90"	"14"	"1"	"494"	"0"	"0"	"0"
"243"	"203"	"196"	""	"79"	"372"	"16"	"181"	"12"	"3"	"2"	"2"	"26"	"2"	"24"	"9"	"15"	"30"	"32"	"16"	"8"	"829"	"0"	"0"	"0"
"244"	"204"	"197"	""	"29"	"53"	"3"	"124"	"12"	"1"	"1"	"0"	"13"	"2"	"2"	"2"	"5"	"9"	"5"	"9"	"4"	"274"	"0"	"0"	"0"
"245"	"205"	"198"	""	"96"	"209"	"12"	"335"	"8"	"11"	"9"	"3"	"10"	"6"	"12"	"6"	"22"	"47"	"43"	"9"	"8"	"846"	"0"	"0"	"0"
"246"	"206"	"199"	""	"22"	"257"	"16"	"211"	"7"	"2"	"9"	"4"	"20"	"4"	"14"	"2"	"105"	"51"	"15"	"22"	"2"	"763"	"0"	"0"	"0"
"247"	"207"	"200"	""	"25"	"206"	"7"	"315"	"25"	"4"	"7"	"3"	"19"	"4"	"18"	"7"	"19"	"30"	"27"	"20"	"8"	"744"	"0"	"0"	"0"
"248"	"208"	"201"	""	"8"	"29"	"19"	"442"	"42"	"8"	"1"	"2"	"12"	"2"	"2"	"2"	"11"	"48"	"29"	"11"	"4"	"672"	"0"	"0"	"0"
"249"	"209"	"202"	""	"2"	"120"	"1"	"259"	"43"	"2"	"3"	"4"	"14"	"3"	"5"	"0"	"4"	"19"	"16"	"0"	"1"	"496"	"0"	"0"	"0"
"250"	"210"	"203"	""	"0"	"24"	"4"	"130"	"11"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"7"	"6"	"33"	"3"	"0"	"223"	"0"	"0"	"0"
"251"	"211"	"204"	""	"3"	"68"	"6"	"164"	"46"	"1"	"1"	"0"	"13"	"0"	"10"	"6"	"10"	"1"	"67"	"5"	"1"	"402"	"0"	"0"	"0"
"252"	"Page 6 of 7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	""	""	""	"AWADH"	"YASMIN"	"LAKSHMI"	"SHYAM"	"SONU"	"PRABHUD"	"MD."	"GAYASUD"	"CHANDRA"	"DHIREND"	"MOHAM"	"VIDYANAN"	"VIRENDRA"	"SHAMIM"	"SHASHI"	"SUNIL"	"SOMESH"	"Total"	"No. of"	"No. of"	"Total"
"254"	""	""	""	"BIHAREE"	"SABIR ALI"	"PRASAD"	"BIHARI"	"KUMAR"	"EO YADAV"	"AZAZUL"	"DIN MIYA"	"SHEKHAR"	"RA"	"MAD"	"D PRASAD"	"PRASAD"	"AHMAD"	"BHUSHAN"	"KUMAR"	"WAR"	"Valid"	"rejected"	"tendere"	""
"255"	""	""	""	"PRASAD"	""	""	"PRASAD"	""	""	"HAQUE"	""	"DWIVEDI"	"KUMAR"	"SHARIF"	""	""	""	"SINGH"	""	"SAWARNI"	"Votes"	"votes"	"d voted"	""
"256"	""	""	""	""	""	""	""	""	""	""	""	""	"SINGH"	""	""	""	""	""	""	"Y"	""	""	""	""
