"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Parliamentary and Assembly elections)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…85 - Bahadurpur  Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total No. of electors in Assembly constituency / Segment … 226786"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"115"	"99"	"97"	"12"	"89"	"47"	"7"	"12"	"264"	"13"	"63"	"10"	"6"	"4"	"7"	"5"	"4"	"6"	"9"	"67"	""	"5"	"24"	"8"	"662"	"-"	"662"	""	""
"116"	"100"	"98"	"82"	"110"	"4"	"3"	"9"	"125"	"10"	"41"	"0"	"1"	"4"	"1"	"2"	"5"	"83"	"23"	"9"	""	"4"	"2"	"1"	"519"	"-"	"519"	""	""
"117"	"101"	"99"	"182"	"121"	"6"	"1"	"4"	"118"	"1"	"5"	"0"	"1"	"0"	"1"	"1"	"0"	"9"	"6"	"12"	""	"1"	"1"	"1"	"471"	"-"	"471"	""	""
"118"	"102"	"100"	"78"	"110"	"12"	"3"	"11"	"284"	"10"	"8"	"1"	"5"	"5"	"4"	"6"	"1"	"5"	"15"	"6"	""	"1"	"6"	"9"	"580"	"-"	"580"	""	""
"119"	"103"	"101"	"18"	"384"	"22"	"3"	"20"	"88"	"9"	"9"	"6"	"0"	"6"	"7"	"10"	"16"	"136"	"18"	"8"	""	"4"	"2"	"2"	"768"	"-"	"768"	""	""
"120"	"104"	"102"	"14"	"239"	"8"	"1"	"10"	"60"	"3"	"5"	"1"	"0"	"0"	"3"	"4"	"6"	"20"	"6"	"3"	""	"9"	"3"	"6"	"401"	"-"	"401"	""	""
"121"	"105"	"102A"	"6"	"177"	"14"	"3"	"9"	"103"	"3"	"3"	"1"	"1"	"1"	"3"	"6"	"2"	"17"	"6"	"5"	""	"6"	"3"	"5"	"374"	"-"	"374"	""	""
"122"	"106"	"103"	"12"	"28"	"5"	"1"	"12"	"254"	"11"	"58"	"8"	"4"	"10"	"3"	"1"	"3"	"58"	"14"	"7"	""	"8"	"21"	"8"	"526"	"-"	"526"	""	""
"123"	"107"	"104"	"2"	"67"	"19"	"3"	"5"	"143"	"3"	"1"	"1"	"2"	"8"	"3"	"5"	"5"	"28"	"9"	"8"	""	"3"	"49"	"11"	"375"	"-"	"375"	""	""
"124"	"108"	"105"	"1"	"17"	"3"	"0"	"3"	"95"	"3"	"0"	"3"	"1"	"2"	"1"	"2"	"1"	"24"	"8"	"2"	""	"0"	"1"	"1"	"168"	"-"	"168"	""	""
"125"	"109"	"106"	"4"	"87"	"15"	"2"	"4"	"71"	"5"	"1"	"0"	"0"	"2"	"0"	"4"	"3"	"7"	"3"	"15"	""	"5"	"17"	"7"	"252"	"-"	"252"	""	""
"126"	"110"	"107"	"2"	"22"	"11"	"4"	"2"	"72"	"3"	"2"	"1"	"2"	"2"	"2"	"1"	"4"	"88"	"10"	"45"	""	"4"	"18"	"5"	"300"	"-"	"300"	""	""
"127"	"111"	"108"	"19"	"348"	"23"	"0"	"11"	"48"	"8"	"5"	"1"	"3"	"1"	"7"	"6"	"6"	"45"	"10"	"103"	""	"14"	"14"	"15"	"687"	"-"	"687"	""	""
"128"	"112"	"109"	"22"	"36"	"7"	"6"	"4"	"49"	"2"	"3"	"1"	"0"	"7"	"5"	"5"	"4"	"55"	"8"	"462"	""	"6"	"5"	"17"	"704"	"-"	"704"	""	""
"129"	"113"	"110"	"55"	"74"	"50"	"3"	"11"	"25"	"3"	"58"	"2"	"7"	"1"	"1"	"4"	"1"	"56"	"6"	"8"	""	"5"	"31"	"4"	"405"	"-"	"405"	""	""
"130"	"114"	"111"	"10"	"172"	"111"	"2"	"17"	"20"	"2"	"23"	"1"	"0"	"2"	"13"	"2"	"2"	"26"	"1"	"16"	""	"3"	"27"	"4"	"454"	"-"	"454"	""	""
"131"	"115"	"112"	"14"	"217"	"57"	"4"	"19"	"140"	"1"	"19"	"1"	"1"	"3"	"2"	"5"	"5"	"119"	"11"	"37"	""	"22"	"36"	"26"	"739"	"-"	"739"	""	""
"132"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"133"	""	""	"Md. Farman"	"Madan    Sahni"	"Mu rari  Mohan Jha"	"Rambabu Paswan"	"Shyam    Bharti"	"Harinandan Yadav"	"Zeyaul Hassan"	"Baijnath  Yadav"	"Mustafa"	"Umesh    Yadav"	"Md. Kuddus Mansu r i"	"Dilip  Ku mar Jha"	"Devendra Ku mar  Azad"	"Manoj  Singh Yadav"	"Ram  Prawesh Paswan"	"Ramsajiwan Yadav"	"Md. Rizwan"	""	"Lakshmi  Giri"	"Binay Ku mar Choudhari"	"Su rendra Singh"	""	""	""	""	""
"134"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""	"20"	"21"	"22"	"23"	"24"	"25"	"26"	""
"135"	"116"	"113"	"10"	"35"	"33"	"4"	"21"	"134"	"22"	"353"	"31"	"10"	"9"	"5"	"6"	"8"	"16"	"26"	"3"	""	"3"	"1"	"1"	"731"	"-"	"731"	""	""
"136"	"117"	"114"	"4"	"331"	"69"	"6"	"24"	"65"	"8"	"68"	"10"	"5"	"8"	"4"	"10"	"13"	"24"	"21"	"5"	""	"15"	"14"	"9"	"713"	"-"	"713"	""	""
"137"	"118"	"115"	"12"	"133"	"25"	"10"	"23"	"242"	"13"	"155"	"13"	"4"	"4"	"2"	"6"	"5"	"9"	"8"	"10"	""	"4"	"5"	"5"	"688"	"-"	"688"	""	""
"138"	"119"	"116"	"3"	"293"	"11"	"3"	"8"	"63"	"0"	"0"	"1"	"2"	"2"	"2"	"4"	"7"	"9"	"11"	"5"	""	"4"	"4"	"3"	"435"	"-"	"435"	""	""
"139"	"120"	"117"	"8"	"84"	"8"	"2"	"3"	"65"	"1"	"3"	"0"	"1"	"3"	"3"	"3"	"1"	"5"	"0"	"5"	""	"1"	"3"	"6"	"205"	"-"	"205"	""	""
"140"	"121"	"118"	"5"	"183"	"7"	"1"	"10"	"167"	"6"	"20"	"0"	"2"	"3"	"2"	"2"	"6"	"55"	"8"	"17"	""	"10"	"23"	"8"	"535"	"-"	"535"	""	""
"141"	"122"	"119"	"8"	"266"	"90"	"1"	"15"	"109"	"2"	"1"	"1"	"2"	"0"	"1"	"2"	"5"	"10"	"5"	"1"	""	"3"	"2"	"2"	"526"	"-"	"526"	""	""
"142"	"123"	"120"	"1"	"67"	"7"	"2"	"57"	"34"	"4"	"41"	"1"	"0"	"1"	"0"	"2"	"0"	"4"	"4"	"2"	""	"0"	"3"	"2"	"232"	"-"	"232"	""	""
"143"	"124"	"121"	"0"	"83"	"3"	"0"	"6"	"99"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"0"	"5"	""	"1"	"0"	"1"	"203"	"-"	"203"	""	""
"144"	"125"	"122"	"2"	"60"	"2"	"0"	"5"	"54"	"1"	"8"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"2"	"0"	""	"3"	"3"	"1"	"145"	"-"	"145"	""	""
"145"	"126"	"123"	"0"	"34"	"274"	"8"	"15"	"20"	"4"	"0"	"0"	"0"	"0"	"3"	"4"	"4"	"0"	"0"	"4"	""	"3"	"74"	"3"	"450"	"-"	"450"	""	""
"146"	"127"	"124"	"4"	"58"	"114"	"6"	"40"	"18"	"6"	"106"	"2"	"1"	"0"	"3"	"4"	"4"	"4"	"4"	"10"	""	"4"	"43"	"7"	"438"	"-"	"438"	""	""
"147"	"128"	"125"	"7"	"144"	"8"	"1"	"13"	"189"	"5"	"0"	"0"	"2"	"2"	"0"	"13"	"0"	"30"	"12"	"13"	""	"0"	"6"	"9"	"454"	"-"	"454"	""	""
"148"	"129"	"126"	"5"	"136"	"12"	"2"	"6"	"56"	"2"	"15"	"2"	"2"	"2"	"3"	"1"	"1"	"10"	"2"	"6"	""	"3"	"12"	"8"	"286"	"-"	"286"	""	""
"149"	"130"	"127"	"22"	"93"	"13"	"2"	"6"	"33"	"2"	"0"	"1"	"2"	"2"	"1"	"2"	"2"	"38"	"7"	"4"	""	"10"	"12"	"32"	"284"	"-"	"284"	""	""
"150"	"131"	"128"	"3"	"32"	"13"	"5"	"36"	"219"	"30"	"8"	"0"	"1"	"4"	"5"	"2"	"7"	"7"	"5"	"27"	""	"4"	"22"	"5"	"435"	"-"	"435"	""	""
"151"	"132"	"129"	"1"	"33"	"85"	"8"	"22"	"130"	"28"	"73"	"9"	"6"	"6"	"3"	"8"	"13"	"3"	"15"	"21"	""	"3"	"15"	"5"	"487"	"-"	"487"	""	""
"152"	"133"	"130"	"2"	"8"	"34"	"3"	"5"	"68"	"2"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"2"	"1"	"121"	""	"4"	"22"	"2"	"278"	"-"	"278"	""	""
"153"	"134"	"131"	"3"	"24"	"53"	"3"	"50"	"174"	"10"	"61"	"14"	"3"	"12"	"9"	"5"	"2"	"6"	"26"	"6"	""	"0"	"7"	"8"	"476"	"-"	"476"	""	""
"154"	"135"	"132"	"6"	"139"	"9"	"6"	"15"	"326"	"15"	"249"	"8"	"5"	"6"	"4"	"5"	"3"	"37"	"10"	"12"	""	"5"	"5"	"0"	"865"	"-"	"865"	""	""
"155"	"136"	"133"	"21"	"75"	"16"	"9"	"15"	"163"	"21"	"96"	"5"	"5"	"7"	"3"	"6"	"7"	"127"	"29"	"60"	""	"15"	"6"	"14"	"700"	"-"	"700"	""	""
"156"	"137"	"134"	"1"	"40"	"5"	"2"	"11"	"315"	"6"	"2"	"4"	"1"	"5"	"2"	"8"	"13"	"5"	"12"	"7"	""	"3"	"2"	"3"	"447"	"-"	"447"	""	""
"157"	"138"	"135"	"1"	"270"	"10"	"1"	"10"	"201"	"7"	"7"	"3"	"5"	"10"	"3"	"7"	"3"	"11"	"10"	"0"	""	"1"	"4"	"1"	"565"	"-"	"565"	""	""
"158"	"139"	"136"	"4"	"207"	"24"	"3"	"14"	"163"	"4"	"3"	"3"	"1"	"1"	"1"	"3"	"0"	"8"	"7"	"6"	""	"4"	"10"	"4"	"470"	"-"	"470"	""	""
"159"	"140"	"137"	"4"	"113"	"21"	"2"	"9"	"76"	"2"	"18"	"1"	"0"	"2"	"0"	"3"	"3"	"19"	"3"	"1"	""	"3"	"7"	"0"	"287"	"-"	"287"	""	""
"160"	"141"	"138"	"5"	"85"	"29"	"0"	"7"	"187"	"8"	"8"	"2"	"2"	"1"	"0"	"2"	"1"	"2"	"3"	"2"	""	"0"	"1"	"0"	"345"	"-"	"345"	""	""
"161"	"142"	"139"	"4"	"33"	"10"	"3"	"29"	"310"	"7"	"4"	"2"	"1"	"7"	"7"	"5"	"4"	"11"	"11"	"75"	""	"0"	"0"	"2"	"525"	"-"	"525"	""	""
"162"	"143"	"139A"	"6"	"143"	"17"	"9"	"46"	"50"	"6"	"7"	"1"	"0"	"3"	"1"	"5"	"10"	"28"	"5"	"11"	""	"1"	"2"	"1"	"352"	"-"	"352"	""	""
"163"	"144"	"140"	"2"	"162"	"18"	"1"	"13"	"202"	"4"	"9"	"56"	"2"	"0"	"1"	"4"	"6"	"28"	"6"	"6"	""	"2"	"1"	"1"	"524"	"-"	"524"	""	""
"164"	"145"	"141"	"0"	"88"	"15"	"0"	"4"	"124"	"3"	"4"	"1"	"3"	"0"	"0"	"2"	"0"	"4"	"2"	"1"	""	"1"	"0"	"3"	"255"	"-"	"255"	""	""
"165"	"146"	"142"	"4"	"128"	"177"	"4"	"11"	"65"	"1"	"1"	"0"	"0"	"3"	"3"	"7"	"4"	"10"	"5"	"6"	""	"7"	"92"	"16"	"544"	"-"	"544"	""	""
"166"	"147"	"143"	"9"	"25"	"9"	"1"	"7"	"319"	"11"	"52"	"1"	"2"	"8"	"4"	"2"	"5"	"6"	"10"	"3"	""	"1"	"1"	"6"	"482"	"-"	"482"	""	""
"167"	"148"	"144"	"8"	"93"	"13"	"2"	"15"	"205"	"36"	"25"	"2"	"5"	"5"	"3"	"5"	"8"	"8"	"9"	"15"	""	"2"	"4"	"1"	"464"	"-"	"464"	""	""
"168"	"149"	"145"	"6"	"262"	"25"	"2"	"23"	"217"	"14"	"18"	"8"	"4"	"8"	"3"	"4"	"9"	"35"	"27"	"4"	""	"4"	"6"	"2"	"681"	"-"	"681"	""	""
"169"	"150"	"146"	"6"	"127"	"7"	"0"	"7"	"210"	"5"	"6"	"1"	"0"	"1"	"1"	"6"	"2"	"5"	"7"	"2"	""	"2"	"0"	"4"	"399"	"-"	"399"	""	""
"170"	"151"	"147"	"1"	"70"	"32"	"2"	"3"	"24"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"7"	"0"	"19"	""	"1"	"4"	"1"	"166"	"-"	"166"	""	""
"171"	"152"	"148"	"24"	"51"	"30"	"3"	"19"	"312"	"49"	"17"	"4"	"8"	"12"	"6"	"28"	"7"	"19"	"23"	"24"	""	"11"	"16"	"22"	"685"	"-"	"685"	""	""
"172"	"153"	"149"	"9"	"61"	"55"	"2"	"19"	"405"	"13"	"11"	"5"	"9"	"11"	"3"	"6"	"5"	"20"	"12"	"1"	""	"2"	"2"	"5"	"656"	"-"	"656"	""	""
"173"	"154"	"150"	"7"	"46"	"53"	"15"	"16"	"214"	"7"	"14"	"9"	"2"	"5"	"8"	"5"	"4"	"33"	"14"	"13"	""	"5"	"19"	"6"	"495"	"-"	"495"	""	""
"174"	"155"	"150A"	"0"	"68"	"134"	"0"	"6"	"18"	"1"	"7"	"0"	"1"	"1"	"4"	"5"	"2"	"4"	"7"	"1"	""	"6"	"51"	"2"	"318"	"-"	"318"	""	""
"175"	"156"	"151"	"11"	"98"	"130"	"11"	"14"	"133"	"4"	"2"	"3"	"6"	"5"	"4"	"1"	"12"	"5"	"1"	"8"	""	"10"	"19"	"11"	"488"	"-"	"488"	""	""
"176"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"177"	""	""	"Md. Farman"	"Madan    Sahni"	"Mu rari  Mohan Jha"	"Rambabu Paswan"	"Shyam    Bharti"	"Harinandan Yadav"	"Zeyaul Hassan"	"Baijnath  Yadav"	"Mustafa"	"Umesh    Yadav"	"Md. Kuddus Mansu r i"	"Dilip  Ku mar Jha"	"Devendra Ku mar  Azad"	"Manoj  Singh Yadav"	"Ram  Prawesh Paswan"	"Ramsajiwan Yadav"	"Md. Rizwan"	""	"Lakshmi  Giri"	"Binay Ku mar Choudhari"	"Su rendra Singh"	""	""	""	""	""
"178"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""	"20"	"21"	"22"	"23"	"24"	"25"	"26"	""
"179"	"157"	"152"	"5"	"110"	"225"	"8"	"11"	"33"	"5"	"6"	"1"	"3"	"3"	"7"	"8"	"5"	"12"	"14"	"5"	""	"8"	"56"	"16"	"541"	"-"	"541"	""	""
"180"	"158"	"153"	"8"	"29"	"279"	"4"	"8"	"3"	"2"	"15"	"1"	"0"	"2"	"2"	"3"	"1"	"1"	"1"	"2"	""	"3"	"116"	"4"	"484"	"-"	"484"	""	""
"181"	"159"	"154"	"4"	"62"	"181"	"2"	"11"	"4"	"0"	"0"	"0"	"0"	"0"	"6"	"1"	"2"	"3"	"2"	"5"	""	"8"	"143"	"13"	"447"	"-"	"447"	""	""
"182"	"160"	"155"	"16"	"99"	"38"	"6"	"10"	"56"	"9"	"47"	"5"	"4"	"1"	"3"	"1"	"1"	"7"	"5"	"4"	""	"2"	"3"	"2"	"319"	"-"	"319"	""	""
"183"	"161"	"156"	"0"	"69"	"34"	"4"	"11"	"57"	"1"	"14"	"1"	"1"	"3"	"4"	"0"	"0"	"4"	"0"	"1"	""	"0"	"2"	"0"	"206"	"-"	"206"	""	""
"184"	"162"	"157"	"5"	"88"	"56"	"5"	"8"	"301"	"6"	"68"	"9"	"2"	"5"	"6"	"4"	"2"	"9"	"10"	"2"	""	"2"	"0"	"1"	"589"	"-"	"589"	""	""
"185"	"163"	"158"	"9"	"55"	"13"	"4"	"9"	"148"	"4"	"112"	"14"	"5"	"6"	"5"	"16"	"9"	"19"	"26"	"3"	""	"0"	"0"	"0"	"457"	"-"	"457"	""	""
"186"	"164"	"159"	"12"	"34"	"29"	"3"	"17"	"146"	"13"	"128"	"15"	"3"	"4"	"3"	"4"	"11"	"69"	"1"	"8"	""	"2"	"1"	"6"	"509"	"-"	"509"	""	""
"187"	"165"	"160"	"13"	"29"	"58"	"13"	"16"	"104"	"11"	"136"	"18"	"8"	"8"	"4"	"3"	"10"	"62"	"14"	"12"	""	"4"	"1"	"4"	"528"	"-"	"528"	""	""
"188"	"166"	"161"	"8"	"8"	"4"	"3"	"2"	"366"	"10"	"15"	"1"	"3"	"2"	"0"	"2"	"3"	"78"	"6"	"2"	""	"3"	"2"	"7"	"525"	"-"	"525"	""	""
"189"	"167"	"162"	"1"	"38"	"10"	"0"	"2"	"85"	"19"	"165"	"19"	"10"	"4"	"10"	"4"	"3"	"10"	"19"	"3"	""	"0"	"2"	"2"	"406"	"-"	"406"	""	""
"190"	"168"	"163"	"0"	"57"	"58"	"2"	"55"	"76"	"11"	"2"	"2"	"0"	"0"	"3"	"6"	"5"	"10"	"12"	"10"	""	"4"	"21"	"9"	"343"	"-"	"343"	""	""
"191"	"169"	"164"	"13"	"78"	"35"	"6"	"59"	"142"	"9"	"3"	"0"	"1"	"1"	"8"	"10"	"4"	"18"	"6"	"25"	""	"15"	"43"	"16"	"492"	"-"	"492"	""	""
"192"	"170"	"165"	"27"	"31"	"93"	"7"	"33"	"221"	"19"	"9"	"6"	"3"	"4"	"6"	"27"	"5"	"19"	"5"	"7"	""	"2"	"5"	"3"	"532"	"-"	"532"	""	""
"193"	"171"	"166"	"8"	"73"	"18"	"1"	"20"	"314"	"5"	"0"	"2"	"6"	"0"	"2"	"8"	"7"	"5"	"10"	"2"	""	"8"	"3"	"11"	"503"	"-"	"503"	""	""
"194"	"172"	"167"	"9"	"182"	"116"	"6"	"14"	"88"	"4"	"2"	"3"	"3"	"10"	"10"	"3"	"7"	"14"	"9"	"4"	""	"6"	"10"	"6"	"506"	"-"	"506"	""	""
"195"	"173"	"168"	"8"	"248"	"60"	"6"	"17"	"113"	"2"	"2"	"1"	"1"	"2"	"15"	"2"	"4"	"12"	"6"	"0"	""	"2"	"3"	"0"	"504"	"-"	"504"	""	""
"196"	"174"	"169"	"16"	"201"	"20"	"19"	"21"	"234"	"9"	"79"	"10"	"6"	"10"	"10"	"13"	"8"	"38"	"27"	"4"	""	"10"	"2"	"7"	"744"	"-"	"744"	""	""
"197"	"175"	"170"	"16"	"57"	"2"	"8"	"10"	"147"	"12"	"39"	"2"	"1"	"4"	"0"	"19"	"0"	"5"	"15"	"7"	""	"4"	"2"	"3"	"353"	"-"	"353"	""	""
"198"	"176"	"171"	"4"	"24"	"5"	"1"	"14"	"418"	"11"	"52"	"4"	"3"	"4"	"2"	"39"	"3"	"7"	"11"	"3"	""	"4"	"0"	"5"	"614"	"-"	"614"	""	""
"199"	"177"	"172"	"4"	"82"	"29"	"7"	"19"	"76"	"6"	"38"	"7"	"4"	"7"	"10"	"22"	"24"	"20"	"17"	"4"	""	"7"	"13"	"5"	"401"	"-"	"401"	""	""
"200"	"178"	"172A"	"6"	"136"	"26"	"0"	"45"	"18"	"5"	"17"	"5"	"2"	"0"	"6"	"11"	"7"	"17"	"14"	"17"	""	"2"	"7"	"6"	"347"	"-"	"347"	""	""
"201"	"179"	"173"	"13"	"264"	"29"	"4"	"25"	"52"	"4"	"13"	"5"	"5"	"3"	"56"	"54"	"20"	"35"	"27"	"13"	""	"16"	"7"	"22"	"667"	"-"	"667"	""	""
"202"	"180"	"174"	"14"	"163"	"41"	"4"	"11"	"141"	"11"	"7"	"1"	"2"	"2"	"6"	"72"	"4"	"7"	"6"	"19"	""	"13"	"95"	"15"	"634"	"-"	"634"	""	""
"203"	"181"	"175"	"3"	"34"	"96"	"3"	"6"	"5"	"0"	"13"	"1"	"1"	"4"	"128"	"3"	"4"	"2"	"2"	"2"	""	"3"	"37"	"7"	"354"	"-"	"354"	""	""
"204"	"182"	"176"	"3"	"16"	"141"	"4"	"7"	"16"	"0"	"12"	"1"	"2"	"4"	"292"	"10"	"5"	"3"	"14"	"5"	""	"4"	"19"	"3"	"561"	"-"	"561"	""	""
"205"	"183"	"177"	"5"	"49"	"29"	"2"	"11"	"23"	"19"	"178"	"7"	"9"	"4"	"10"	"4"	"2"	"20"	"14"	"8"	""	"7"	"14"	"6"	"421"	"-"	"421"	""	""
"206"	"184"	"178"	"8"	"158"	"97"	"4"	"7"	"3"	"4"	"18"	"2"	"2"	"1"	"10"	"1"	"3"	"24"	"2"	"2"	""	"3"	"7"	"2"	"358"	"-"	"358"	""	""
"207"	"185"	"179"	"7"	"157"	"169"	"1"	"10"	"2"	"3"	"79"	"1"	"1"	"0"	"4"	"0"	"2"	"1"	"0"	"4"	""	"0"	"15"	"0"	"456"	"-"	"456"	""	""
"208"	"186"	"180"	"34"	"43"	"14"	"142"	"18"	"200"	"13"	"5"	"3"	"3"	"1"	"7"	"2"	"5"	"62"	"6"	"5"	""	"0"	"5"	"2"	"570"	"-"	"570"	""	""
"209"	"187"	"181"	"7"	"27"	"44"	"50"	"5"	"71"	"27"	"2"	"2"	"0"	"1"	"3"	"9"	"6"	"32"	"9"	"10"	""	"8"	"62"	"5"	"380"	"-"	"380"	""	""
"210"	"188"	"182"	"2"	"5"	"26"	"0"	"1"	"140"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"3"	"5"	""	"0"	"6"	"3"	"197"	"-"	"197"	""	""
"211"	"189"	"183"	"6"	"56"	"26"	"2"	"13"	"347"	"8"	"42"	"4"	"2"	"8"	"1"	"1"	"0"	"11"	"15"	"0"	""	"1"	"0"	"0"	"543"	"-"	"543"	""	""
"212"	"190"	"184"	"2"	"6"	"15"	"0"	"4"	"252"	"40"	"6"	"0"	"2"	"1"	"1"	"0"	"1"	"0"	"2"	"1"	""	"0"	"6"	"5"	"344"	"-"	"344"	""	""
"213"	"191"	"185"	"9"	"30"	"46"	"5"	"7"	"136"	"9"	"49"	"5"	"3"	"2"	"3"	"7"	"10"	"56"	"12"	"11"	""	"0"	"5"	"1"	"406"	"-"	"406"	""	""
"214"	"192"	"186"	"2"	"75"	"11"	"7"	"18"	"73"	"7"	"16"	"3"	"0"	"5"	"5"	"3"	"6"	"31"	"5"	"6"	""	"1"	"3"	"1"	"278"	"-"	"278"	""	""
"215"	"193"	"187"	"8"	"160"	"338"	"4"	"12"	"24"	"3"	"3"	"1"	"4"	"1"	"5"	"14"	"25"	"17"	"12"	"6"	""	"6"	"82"	"9"	"734"	"-"	"734"	""	""
"216"	"194"	"188"	"17"	"110"	"268"	"10"	"15"	"93"	"5"	"9"	"3"	"1"	"1"	"1"	"4"	"8"	"17"	"5"	"4"	""	"3"	"3"	"4"	"581"	"-"	"581"	""	""
"217"	"195"	"189"	"4"	"41"	"122"	"4"	"2"	"61"	"0"	"3"	"3"	"4"	"1"	"0"	"2"	"2"	"2"	"9"	"2"	""	"2"	"1"	"2"	"267"	"-"	"267"	""	""
"218"	"196"	"190"	"5"	"84"	"366"	"3"	"6"	"12"	"1"	"37"	"4"	"1"	"2"	"1"	"1"	"4"	"0"	"7"	"2"	""	"0"	"12"	"9"	"557"	"-"	"557"	""	""
"219"	"197"	"191"	"0"	"22"	"485"	"0"	"3"	"5"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	""	"0"	"3"	"0"	"527"	"-"	"527"	""	""
"220"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"221"	""	""	"Md. Farman"	"Madan    Sahni"	"Mu rari  Mohan Jha"	"Rambabu Paswan"	"Shyam    Bharti"	"Harinandan Yadav"	"Zeyaul Hassan"	"Baijnath  Yadav"	"Mustafa"	"Umesh    Yadav"	"Md. Kuddus Mansu r i"	"Dilip  Ku mar Jha"	"Devendra Ku mar  Azad"	"Manoj  Singh Yadav"	"Ram  Prawesh Paswan"	"Ramsajiwan Yadav"	"Md. Rizwan"	""	"Lakshmi  Giri"	"Binay Ku mar Choudhari"	"Su rendra Singh"	""	""	""	""	""
"222"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""	"20"	"21"	"22"	"23"	"24"	"25"	"26"	""
"223"	"198"	"192"	"8"	"44"	"300"	"3"	"67"	"159"	"9"	"146"	"13"	"4"	"4"	"3"	"7"	"12"	"9"	"19"	"4"	""	"2"	"3"	"2"	"818"	"-"	"818"	""	""
"224"	"199"	"193"	"1"	"62"	"93"	"1"	"2"	"18"	"0"	"75"	"5"	"2"	"0"	"3"	"1"	"3"	"7"	"2"	"0"	""	"1"	"1"	"0"	"277"	"-"	"277"	""	""
"225"	"200"	"194"	"3"	"113"	"43"	"1"	"23"	"26"	"4"	"108"	"2"	"1"	"3"	"3"	"2"	"1"	"7"	"4"	"4"	""	"4"	"4"	"1"	"357"	"-"	"357"	""	""
"226"	"201"	"195"	"5"	"126"	"115"	"8"	"22"	"114"	"3"	"129"	"2"	"3"	"1"	"6"	"1"	"4"	"20"	"11"	"3"	""	"2"	"2"	"1"	"578"	"-"	"578"	""	""
"227"	"202"	"196"	"8"	"170"	"76"	"13"	"11"	"81"	"12"	"109"	"7"	"3"	"2"	"6"	"3"	"9"	"8"	"12"	"2"	""	"1"	"2"	"5"	"540"	"-"	"540"	""	""
"228"	"203"	"197"	"4"	"26"	"12"	"3"	"19"	"138"	"5"	"7"	"0"	"3"	"3"	"3"	"3"	"3"	"12"	"10"	"4"	""	"5"	"4"	"7"	"271"	"-"	"271"	""	""
