"Candidates.Name.BOOTH.NO"	"No..of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"188"	"165"	"14"	"0"	"202"	"10"	"4"	"1"	"1"	"0"	"24"	"1"	"1"	"2"	"3"	"5"	"268"
"189"	"166"	"29"	"6"	"355"	"41"	"4"	"0"	"0"	"2"	"94"	"8"	"5"	"3"	"4"	"27"	"578"
"190"	"167"	"11"	"0"	"170"	"19"	"1"	"0"	"1"	"0"	"40"	"1"	"2"	"0"	"3"	"12"	"260"
"191"	"168"	"104"	"3"	"187"	"48"	"6"	"0"	"4"	"0"	"90"	"11"	"4"	"3"	"9"	"50"	"519"
"192"	"169"	"85"	"1"	"171"	"19"	"4"	"2"	"5"	"3"	"23"	"16"	"2"	"3"	"5"	"13"	"352"
"193"	"170"	"71"	"8"	"321"	"28"	"43"	"0"	"2"	"2"	"52"	"0"	"2"	"3"	"0"	"4"	"536"
"194"	"171"	"53"	"2"	"236"	"30"	"1"	"0"	"0"	"1"	"18"	"0"	"2"	"1"	"2"	"5"	"351"
"195"	"172"	"79"	"2"	"299"	"39"	"7"	"1"	"5"	"3"	"48"	"2"	"3"	"2"	"7"	"17"	"514"
"196"	"173"	"205"	"2"	"310"	"27"	"18"	"5"	"2"	"5"	"46"	"29"	"6"	"3"	"17"	"22"	"697"
"197"	"174"	"120"	"3"	"287"	"19"	"22"	"4"	"8"	"6"	"31"	"22"	"5"	"10"	"17"	"29"	"583"
"198"	"175"	"40"	"2"	"292"	"39"	"8"	"0"	"1"	"0"	"90"	"1"	"4"	"4"	"5"	"13"	"499"
"199"	"176"	"107"	"3"	"156"	"13"	"1"	"1"	"2"	"0"	"20"	"0"	"1"	"0"	"1"	"13"	"318"
"200"	"177"	"26"	"0"	"159"	"17"	"1"	"2"	"0"	"0"	"85"	"1"	"3"	"1"	"0"	"12"	"307"
"201"	"178"	"148"	"6"	"115"	"47"	"41"	"1"	"1"	"2"	"98"	"6"	"6"	"2"	"1"	"12"	"486"
"202"	"179"	"157"	"3"	"22"	"39"	"24"	"6"	"6"	"3"	"111"	"5"	"6"	"2"	"4"	"3"	"391"
"203"	"Candidates Name
BOOTH NO"	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	""	"ARUN KUMAR"	"ASHOK MAHTO"	"ALOK RANJAN"	"NIRAJ KUMAR GUPTA"	"VINOD KUMAR"	"BHUSHAN YADAV"	"ABHAY KUMAR"	"ASHOK KUMAR YADAV"	"KISHOR KUMAR"	"DAYAKANT TANTI"	"NARESH PRASAD SAH"	"MISHRI LAL YADAV"	"SANJAY KUMAR"	"SANJEEV KUMAR JHA"	"Total Valid Votes"
"205"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"206"	"180"	"76"	"1"	"130"	"18"	"6"	"1"	"0"	"0"	"51"	"1"	"3"	"1"	"4"	"30"	"322"
"207"	"181"	"27"	"4"	"146"	"28"	"3"	"1"	"2"	"3"	"29"	"1"	"4"	"1"	"2"	"5"	"256"
"208"	"182"	"23"	"0"	"110"	"20"	"1"	"1"	"0"	"0"	"20"	"0"	"0"	"0"	"2"	"4"	"181"
"209"	"183"	"62"	"1"	"242"	"44"	"2"	"0"	"2"	"0"	"76"	"1"	"2"	"3"	"6"	"22"	"463"
"210"	"184"	"296"	"4"	"15"	"33"	"45"	"1"	"0"	"1"	"130"	"5"	"1"	"5"	"1"	"6"	"543"
"211"	"185"	"201"	"34"	"229"	"8"	"8"	"0"	"2"	"1"	"18"	"0"	"4"	"4"	"10"	"15"	"534"
"212"	"186"	"135"	"9"	"283"	"10"	"7"	"3"	"5"	"3"	"39"	"8"	"12"	"9"	"12"	"21"	"556"
"213"	"187"	"259"	"14"	"325"	"13"	"9"	"2"	"2"	"7"	"25"	"2"	"9"	"8"	"13"	"26"	"714"
"214"	"188"	"134"	"12"	"441"	"13"	"2"	"3"	"4"	"1"	"48"	"60"	"13"	"13"	"22"	"9"	"775"
"215"	"189"	"494"	"11"	"20"	"9"	"6"	"2"	"0"	"1"	"31"	"1"	"1"	"2"	"6"	"20"	"604"
"216"	"190"	"430"	"10"	"289"	"24"	"9"	"4"	"2"	"6"	"37"	"5"	"11"	"4"	"9"	"16"	"856"
"217"	"191"	"142"	"6"	"55"	"234"	"21"	"4"	"1"	"2"	"27"	"3"	"16"	"0"	"16"	"14"	"541"
"218"	"192"	"39"	"5"	"239"	"36"	"8"	"5"	"5"	"6"	"77"	"4"	"14"	"6"	"17"	"21"	"482"
"219"	"193"	"53"	"4"	"155"	"107"	"9"	"1"	"0"	"0"	"18"	"0"	"8"	"2"	"6"	"11"	"374"
"220"	"194"	"65"	"4"	"135"	"129"	"6"	"2"	"4"	"3"	"15"	"6"	"11"	"21"	"11"	"20"	"432"
"221"	"195"	"208"	"10"	"247"	"34"	"6"	"5"	"2"	"0"	"19"	"10"	"4"	"4"	"13"	"19"	"581"
"222"	"196"	"502"	"5"	"30"	"6"	"1"	"0"	"5"	"0"	"2"	"0"	"0"	"0"	"1"	"2"	"554"
"223"	"197"	"286"	"5"	"75"	"19"	"6"	"6"	"54"	"46"	"30"	"2"	"4"	"0"	"3"	"7"	"543"
"224"	"198"	"534"	"3"	"18"	"7"	"1"	"1"	"3"	"1"	"9"	"1"	"1"	"0"	"2"	"5"	"586"
"225"	"199"	"272"	"3"	"21"	"4"	"3"	"1"	"1"	"4"	"32"	"2"	"1"	"0"	"0"	"3"	"347"
"226"	"200"	"419"	"25"	"206"	"15"	"2"	"3"	"9"	"2"	"61"	"2"	"8"	"7"	"10"	"25"	"794"
"227"	"201"	"382"	"10"	"64"	"32"	"8"	"6"	"65"	"7"	"25"	"2"	"4"	"2"	"3"	"2"	"612"
"228"	"202"	"295"	"11"	"116"	"196"	"5"	"8"	"11"	"8"	"82"	"7"	"13"	"9"	"37"	"34"	"832"
"229"	"203"	"153"	"5"	"304"	"10"	"4"	"3"	"8"	"3"	"11"	"3"	"6"	"5"	"5"	"18"	"538"
"230"	"204"	"468"	"10"	"79"	"17"	"5"	"2"	"2"	"1"	"33"	"6"	"0"	"2"	"3"	"3"	"631"
"231"	"205"	"222"	"9"	"271"	"19"	"7"	"5"	"6"	"7"	"63"	"2"	"19"	"4"	"22"	"35"	"691"
"232"	"Candidates Name
BOOTH NO"	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	""	"ARUN KUMAR"	"ASHOK MAHTO"	"ALOK RANJAN"	"NIRAJ KUMAR GUPTA"	"VINOD KUMAR"	"BHUSHAN YADAV"	"ABHAY KUMAR"	"ASHOK KUMAR YADAV"	"KISHOR KUMAR"	"DAYAKANT TANTI"	"NARESH PRASAD SAH"	"MISHRI LAL YADAV"	"SANJAY KUMAR"	"SANJEEV KUMAR JHA"	"Total Valid Votes"
"234"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"235"	"206"	"184"	"13"	"175"	"95"	"6"	"7"	"13"	"5"	"78"	"6"	"15"	"6"	"27"	"23"	"653"
"236"	"207"	"356"	"15"	"108"	"6"	"0"	"0"	"0"	"1"	"11"	"0"	"1"	"0"	"3"	"11"	"512"
"237"	"208"	"231"	"4"	"82"	"5"	"2"	"1"	"8"	"2"	"9"	"2"	"2"	"6"	"6"	"13"	"373"
"238"	"209"	"356"	"20"	"196"	"12"	"10"	"1"	"4"	"1"	"112"	"3"	"8"	"4"	"10"	"9"	"746"
"239"	"210"	"332"	"19"	"242"	"20"	"9"	"3"	"7"	"5"	"148"	"13"	"11"	"4"	"6"	"16"	"835"
"240"	"211"	"350"	"9"	"125"	"4"	"10"	"1"	"0"	"1"	"39"	"4"	"4"	"1"	"5"	"6"	"559"
"241"	"212"	"461"	"9"	"58"	"1"	"5"	"2"	"2"	"4"	"40"	"9"	"3"	"0"	"6"	"7"	"607"
"242"	"213"	"329"	"6"	"150"	"14"	"4"	"1"	"4"	"6"	"37"	"12"	"9"	"3"	"7"	"16"	"598"
"243"	"214"	"15"	"2"	"263"	"4"	"1"	"4"	"0"	"0"	"58"	"3"	"7"	"2"	"16"	"16"	"391"
"244"	"215"	"163"	"5"	"192"	"13"	"3"	"4"	"4"	"4"	"46"	"0"	"19"	"7"	"16"	"34"	"510"
"245"	"216"	"225"	"13"	"105"	"19"	"2"	"4"	"5"	"3"	"99"	"2"	"9"	"1"	"4"	"24"	"515"
"246"	"217"	"370"	"7"	"65"	"8"	"3"	"0"	"9"	"5"	"18"	"1"	"4"	"0"	"8"	"12"	"510"
"247"	"218"	"600"	"17"	"189"	"9"	"5"	"4"	"5"	"3"	"3"	"2"	"4"	"6"	"16"	"15"	"878"
"248"	"219"	"482"	"16"	"91"	"17"	"13"	"4"	"3"	"0"	"24"	"6"	"1"	"4"	"10"	"13"	"684"
"249"	"220"	"360"	"25"	"242"	"22"	"5"	"3"	"6"	"5"	"36"	"4"	"2"	"7"	"20"	"11"	"748"
"250"	"221"	"479"	"23"	"128"	"22"	"8"	"2"	"2"	"1"	"74"	"3"	"8"	"1"	"5"	"9"	"765"
"251"	"222"	"250"	"12"	"288"	"10"	"5"	"1"	"4"	"3"	"51"	"2"	"7"	"2"	"1"	"2"	"638"
"252"	"223"	"40"	"8"	"304"	"25"	"5"	"7"	"3"	"1"	"95"	"0"	"13"	"10"	"4"	"54"	"569"
"253"	"224"	"43"	"15"	"441"	"18"	"3"	"8"	"1"	"3"	"11"	"0"	"3"	"8"	"14"	"13"	"581"
"254"	"225"	"98"	"18"	"460"	"45"	"7"	"6"	"6"	"4"	"12"	"9"	"9"	"8"	"17"	"12"	"711"
"255"	"226"	"280"	"21"	"269"	"104"	"20"	"8"	"2"	"3"	"43"	"6"	"20"	"22"	"41"	"50"	"889"
"256"	"227"	"111"	"7"	"633"	"54"	"7"	"6"	"4"	"1"	"43"	"5"	"11"	"19"	"10"	"13"	"924"
"257"	"228"	"154"	"13"	"269"	"70"	"4"	"7"	"0"	"3"	"21"	"2"	"13"	"2"	"8"	"10"	"576"
"258"	"229"	"414"	"11"	"239"	"12"	"9"	"4"	"5"	"3"	"22"	"3"	"10"	"5"	"8"	"7"	"752"
"259"	"230"	"488"	"11"	"101"	"13"	"7"	"3"	"5"	"2"	"7"	"6"	"2"	"2"	"2"	"12"	"661"
"260"	"231"	"471"	"7"	"155"	"41"	"5"	"5"	"15"	"3"	"31"	"2"	"5"	"3"	"8"	"18"	"769"
"261"	"Candidates Name
BOOTH NO"	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"262"	""	"ARUN KUMAR"	"ASHOK MAHTO"	"ALOK RANJAN"	"NIRAJ KUMAR GUPTA"	"VINOD KUMAR"	"BHUSHAN YADAV"	"ABHAY KUMAR"	"ASHOK KUMAR YADAV"	"KISHOR KUMAR"	"DAYAKANT TANTI"	"NARESH PRASAD SAH"	"MISHRI LAL YADAV"	"SANJAY KUMAR"	"SANJEEV KUMAR JHA"	"Total Valid Votes"
"263"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"264"	"232"	"221"	"8"	"116"	"7"	"6"	"4"	"1"	"0"	"15"	"8"	"4"	"0"	"5"	"8"	"403"
"265"	"233"	"233"	"5"	"34"	"8"	"0"	"0"	"3"	"4"	"31"	"3"	"6"	"2"	"10"	"11"	"350"
"266"	"234"	"81"	"11"	"186"	"95"	"10"	"1"	"2"	"2"	"73"	"4"	"8"	"2"	"21"	"14"	"510"
"267"	"235"	"120"	"11"	"95"	"83"	"5"	"4"	"2"	"7"	"46"	"3"	"7"	"5"	"15"	"15"	"418"
"268"	"236"	"58"	"3"	"297"	"27"	"5"	"6"	"5"	"2"	"62"	"10"	"12"	"12"	"14"	"24"	"537"
"269"	"237"	"366"	"9"	"142"	"26"	"6"	"4"	"18"	"3"	"16"	"7"	"7"	"5"	"11"	"27"	"647"
"270"	"238"	"337"	"15"	"259"	"7"	"6"	"6"	"7"	"7"	"14"	"4"	"9"	"8"	"13"	"24"	"716"
"271"	"239"	"368"	"7"	"104"	"32"	"4"	"6"	"22"	"3"	"62"	"5"	"9"	"6"	"15"	"15"	"658"
"272"	"240"	"297"	"7"	"77"	"5"	"11"	"3"	"17"	"3"	"21"	"7"	"7"	"2"	"5"	"12"	"474"
"273"	"241"	"61"	"2"	"78"	"33"	"4"	"7"	"109"	"9"	"86"	"8"	"7"	"2"	"3"	"9"	"418"
"274"	"242"	"141"	"8"	"47"	"24"	"4"	"6"	"302"	"19"	"96"	"21"	"16"	"3"	"8"	"29"	"724"
"275"	"243"	"347"	"7"	"73"	"5"	"13"	"4"	"2"	"0"	"24"	"0"	"3"	"2"	"5"	"8"	"493"
"276"	"244"	"333"	"7"	"76"	"11"	"8"	"5"	"10"	"4"	"57"	"17"	"8"	"10"	"16"	"28"	"590"
"277"	"245"	"250"	"8"	"28"	"8"	"6"	"2"	"25"	"5"	"41"	"4"	"2"	"2"	"2"	"4"	"387"
"278"	"246"	"46"	"5"	"54"	"3"	"1"	"4"	"3"	"6"	"170"	"1"	"6"	"5"	"4"	"43"	"351"
"279"	"247"	"80"	"8"	"123"	"41"	"8"	"13"	"3"	"2"	"62"	"8"	"12"	"12"	"13"	"19"	"404"
"280"	"248"	"286"	"8"	"113"	"12"	"8"	"10"	"30"	"3"	"21"	"1"	"3"	"1"	"4"	"1"	"501"
"281"	"249"	"269"	"14"	"58"	"25"	"8"	"5"	"3"	"3"	"85"	"6"	"9"	"7"	"8"	"24"	"524"
"282"	"250"	"491"	"12"	"11"	"10"	"5"	"1"	"2"	"3"	"17"	"0"	"1"	"0"	"2"	"10"	"565"
"283"	"251"	"36"	"9"	"89"	"14"	"2"	"5"	"5"	"3"	"223"	"4"	"2"	"3"	"3"	"7"	"405"
"284"	"252"	"70"	"4"	"43"	"7"	"2"	"0"	"1"	"3"	"169"	"2"	"6"	"2"	"4"	"8"	"321"
"285"	"253"	"419"	"10"	"23"	"3"	"0"	"1"	"0"	"3"	"43"	"1"	"3"	"2"	"1"	"8"	"517"
"286"	"254"	"34"	"3"	"79"	"31"	"4"	"2"	"28"	"7"	"212"	"12"	"12"	"2"	"9"	"16"	"451"
"287"	"255"	"222"	"6"	"70"	"77"	"2"	"4"	"8"	"9"	"171"	"6"	"8"	"7"	"5"	"10"	"605"
"288"	"256"	"334"	"14"	"84"	"19"	"3"	"7"	"13"	"3"	"43"	"23"	"8"	"10"	"18"	"32"	"611"
"289"	"257"	"148"	"6"	"139"	"23"	"9"	"10"	"8"	"12"	"278"	"10"	"19"	"17"	"21"	"41"	"741"
"290"	"Candidates Name
BOOTH NO"	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	""	"ARUN KUMAR"	"ASHOK MAHTO"	"ALOK RANJAN"	"NIRAJ KUMAR GUPTA"	"VINOD KUMAR"	"BHUSHAN YADAV"	"ABHAY KUMAR"	"ASHOK KUMAR YADAV"	"KISHOR KUMAR"	"DAYAKANT TANTI"	"NARESH PRASAD SAH"	"MISHRI LAL YADAV"	"SANJAY KUMAR"	"SANJEEV KUMAR JHA"	"Total Valid Votes"
"292"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"293"	"258"	"356"	"8"	"182"	"45"	"4"	"3"	"3"	"2"	"34"	"1"	"4"	"5"	"3"	"15"	"665"
"294"	"259"	"470"	"16"	"31"	"4"	"0"	"8"	"4"	"1"	"29"	"8"	"3"	"6"	"6"	"14"	"600"
"295"	"260"	"341"	"11"	"59"	"3"	"4"	"2"	"2"	"2"	"27"	"0"	"2"	"22"	"11"	"12"	"498"
"296"	"261"	"374"	"13"	"102"	"7"	"1"	"2"	"1"	"1"	"36"	"1"	"5"	"2"	"5"	"14"	"564"
"297"	"262"	"95"	"4"	"159"	"5"	"2"	"0"	"6"	"8"	"61"	"2"	"8"	"4"	"14"	"14"	"382"
"298"	"263"	"309"	"8"	"64"	"3"	"6"	"1"	"3"	"3"	"19"	"3"	"3"	"2"	"11"	"16"	"451"
"299"	"264"	"205"	"7"	"240"	"26"	"6"	"6"	"5"	"7"	"22"	"15"	"16"	"7"	"17"	"11"	"590"
"300"	"265"	"335"	"14"	"78"	"4"	"6"	"3"	"5"	"4"	"21"	"5"	"7"	"4"	"11"	"18"	"515"
"301"	"266"	"69"	"14"	"225"	"30"	"26"	"3"	"3"	"10"	"37"	"9"	"28"	"8"	"22"	"20"	"504"
"302"	"267"	"198"	"7"	"99"	"12"	"8"	"2"	"0"	"5"	"4"	"4"	"13"	"8"	"10"	"14"	"384"
"303"	"268"	"467"	"14"	"166"	"8"	"5"	"3"	"9"	"7"	"59"	"3"	"12"	"9"	"18"	"28"	"808"
"304"	"269"	"208"	"5"	"124"	"8"	"4"	"0"	"20"	"3"	"4"	"1"	"1"	"1"	"2"	"2"	"383"
"305"	"270"	"53"	"7"	"411"	"18"	"9"	"4"	"4"	"2"	"17"	"4"	"5"	"4"	"17"	"21"	"576"
"306"	"271"	"247"	"25"	"174"	"23"	"7"	"2"	"10"	"7"	"28"	"5"	"14"	"11"	"29"	"37"	"619"
"307"	"272"	"123"	"4"	"181"	"30"	"1"	"2"	"3"	"3"	"5"	"0"	"8"	"5"	"19"	"14"	"398"
"308"	"272 A"	"34"	"4"	"361"	"46"	"8"	"3"	"1"	"3"	"22"	"2"	"3"	"1"	"8"	"28"	"524"
"309"	"273"	"265"	"20"	"288"	"17"	"13"	"4"	"5"	"2"	"5"	"7"	"8"	"5"	"6"	"16"	"661"
"310"	"274"	"371"	"8"	"104"	"10"	"5"	"4"	"4"	"1"	"6"	"7"	"2"	"4"	"6"	"24"	"556"
"311"	"275"	"326"	"18"	"74"	"25"	"7"	"7"	"6"	"4"	"6"	"6"	"9"	"3"	"13"	"36"	"540"
"312"	"276"	"144"	"10"	"181"	"10"	"7"	"4"	"2"	"1"	"2"	"1"	"6"	"8"	"14"	"14"	"404"
"313"	"277"	"344"	"18"	"99"	"20"	"12"	"7"	"2"	"6"	"112"	"3"	"7"	"3"	"8"	"24"	"665"
"314"	"278"	"69"	"4"	"118"	"57"	"4"	"1"	"1"	"1"	"25"	"2"	"5"	"4"	"8"	"8"	"307"
"315"	"279"	"166"	"17"	"311"	"125"	"27"	"7"	"7"	"9"	"94"	"3"	"24"	"10"	"35"	"27"	"862"
"316"	"280"	"42"	"4"	"303"	"33"	"7"	"3"	"3"	"4"	"52"	"4"	"11"	"11"	"18"	"19"	"514"
"317"	"281"	"22"	"6"	"286"	"51"	"12"	"4"	"4"	"5"	"89"	"0"	"13"	"0"	"7"	"14"	"513"
"318"	"282"	"214"	"13"	"334"	"14"	"9"	"0"	"3"	"5"	"3"	"2"	"5"	"8"	"6"	"14"	"630"
"319"	"Candidates Name
BOOTH NO"	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"320"	""	"ARUN KUMAR"	"ASHOK MAHTO"	"ALOK RANJAN"	"NIRAJ KUMAR GUPTA"	"VINOD KUMAR"	"BHUSHAN YADAV"	"ABHAY KUMAR"	"ASHOK KUMAR YADAV"	"KISHOR KUMAR"	"DAYAKANT TANTI"	"NARESH PRASAD SAH"	"MISHRI LAL YADAV"	"SANJAY KUMAR"	"SANJEEV KUMAR JHA"	"Total Valid Votes"
"321"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"322"	"283"	"215"	"6"	"18"	"2"	"6"	"1"	"1"	"1"	"4"	"0"	"1"	"0"	"0"	"3"	"258"
"323"	"284"	"95"	"11"	"404"	"14"	"2"	"3"	"3"	"3"	"4"	"4"	"6"	"11"	"26"	"43"	"629"
"324"	"285"	"233"	"10"	"315"	"17"	"8"	"5"	"5"	"5"	"84"	"6"	"19"	"14"	"42"	"48"	"811"
"325"	"286"	"247"	"9"	"343"	"43"	"8"	"8"	"11"	"8"	"60"	"2"	"23"	"10"	"20"	"35"	"827"
"326"	"287"	"153"	"22"	"241"	"76"	"15"	"11"	"4"	"6"	"68"	"5"	"14"	"10"	"30"	"44"	"699"
"327"	"288"	"40"	"6"	"109"	"17"	"8"	"3"	"3"	"3"	"35"	"1"	"7"	"2"	"7"	"8"	"249"
"328"	"289"	"135"	"11"	"83"	"164"	"20"	"4"	"10"	"6"	"95"	"9"	"11"	"5"	"22"	"15"	"590"
"329"	"290"	"245"	"11"	"73"	"22"	"17"	"10"	"3"	"6"	"64"	"4"	"12"	"4"	"8"	"5"	"484"
"330"	"291"	"347"	"11"	"228"	"33"	"18"	"3"	"7"	"8"	"35"	"8"	"11"	"4"	"9"	"23"	"745"
"331"	"292"	"52"	"4"	"202"	"13"	"26"	"3"	"1"	"7"	"35"	"2"	"5"	"11"	"17"	"26"	"404"
"332"	"Postal Ballot"	"10"	"1"	"16"	"3"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"1"	"34"
"333"	"Total :-"	"47708"	"2016"	"55687"	"11191"	"2459"	"932"	"1659"	"976"	"14908"	"2199"	"2085"	"1354"	"2534"	"6065"	"151773"
