"FINAL.RESULT.SHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"194"	"ASSEMBLY CONSTITUENCY: 164-TARAUR"	""	""	""	""	""	""	"NO OF VOTERS: 251328"	""	""	""	""	""	""	""	""
"195"	"NO OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"196"	"CANDIDATES NAME"	"OM PRAKASH SAHNI"	"NEETA CHOUDHARY"	"SHAKUNI CHOUDHARY"	"SANJAY KUMAR"	"SANJAY KUMAR SINGH"	"DEO PRAKASH SINGH"	"DEVANAND SINGH"	"NARAYAN YADAV"	"MANOJ KUMAR MADHUKAR"	"RAMAN KUMAR"	"SHRAVAN KUMAR"	"SUMITRA DEVI"	"ASHOK KUMAR SINGH"	"RAM PRASAD SAH"	"TOTAL VALID VOTES"
"197"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"169"	"9"	"273"	"71"	"38"	"2"	"3"	"1"	"1"	"1"	"54"	"3"	"7"	"5"	"7"	"475"
"199"	"170"	"9"	"455"	"27"	"14"	"1"	"0"	"0"	"1"	"1"	"54"	"4"	"10"	"14"	"20"	"610"
"200"	"171"	"8"	"417"	"234"	"42"	"3"	"1"	"2"	"6"	"4"	"78"	"13"	"14"	"15"	"21"	"858"
"201"	"172"	"0"	"3"	"14"	"2"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"24"
"202"	"173"	"1"	"54"	"3"	"4"	"1"	"0"	"0"	"1"	"4"	"3"	"0"	"2"	"0"	"0"	"73"
"203"	"174"	"0"	"68"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"8"	"0"	"0"	"0"	"0"	"82"
"204"	"175"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"205"	"176"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"216"
"206"	"177"	"1"	"57"	"8"	"2"	"2"	"2"	"0"	"0"	"2"	"28"	"5"	"2"	"1"	"5"	"115"
"207"	"178"	"2"	"269"	"74"	"64"	"1"	"0"	"2"	"4"	"3"	"97"	"10"	"29"	"9"	"19"	"583"
"208"	"179"	"8"	"210"	"60"	"22"	"1"	"1"	"4"	"2"	"2"	"52"	"9"	"242"	"4"	"13"	"630"
"209"	"180"	"7"	"133"	"36"	"63"	"0"	"1"	"0"	"4"	"3"	"17"	"5"	"165"	"1"	"2"	"437"
"210"	"181"	"6"	"309"	"24"	"12"	"2"	"1"	"2"	"1"	"2"	"54"	"4"	"5"	"8"	"15"	"445"
"211"	"182"	"6"	"208"	"78"	"32"	"4"	"0"	"1"	"7"	"2"	"37"	"4"	"4"	"4"	"10"	"397"
"212"	"183"	"9"	"188"	"33"	"5"	"0"	"3"	"0"	"4"	"1"	"38"	"5"	"6"	"3"	"11"	"306"
"213"	"184"	"6"	"67"	"178"	"52"	"0"	"0"	"5"	"3"	"0"	"28"	"2"	"20"	"2"	"19"	"382"
"214"	"185"	"3"	"74"	"32"	"24"	"2"	"3"	"1"	"3"	"0"	"12"	"2"	"4"	"4"	"5"	"169"
"215"	"186"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"
"216"	"187"	"2"	"58"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"11"	"0"	"0"	"0"	"0"	"74"
"217"	"188"	"5"	"75"	"110"	"92"	"1"	"1"	"2"	"0"	"0"	"31"	"3"	"6"	"2"	"9"	"337"
"218"	"189"	"7"	"97"	"105"	"25"	"0"	"0"	"2"	"1"	"2"	"31"	"5"	"8"	"1"	"4"	"288"
"219"	"190"	"2"	"97"	"4"	"3"	"0"	"0"	"0"	"0"	"1"	"14"	"0"	"0"	"0"	"3"	"124"
"220"	"191"	"14"	"64"	"369"	"102"	"4"	"3"	"6"	"12"	"5"	"39"	"13"	"8"	"6"	"18"	"663"
"221"	"192"	"10"	"74"	"48"	"4"	"0"	"0"	"0"	"0"	"0"	"10"	"8"	"182"	"4"	"6"	"346"
"222"	"193"	"8"	"150"	"139"	"12"	"0"	"0"	"1"	"2"	"4"	"51"	"6"	"10"	"10"	"19"	"412"
"223"	"194"	"7"	"30"	"159"	"133"	"9"	"2"	"3"	"5"	"2"	"19"	"4"	"4"	"2"	"10"	"389"
"224"	"195"	"4"	"64"	"30"	"12"	"1"	"1"	"1"	"3"	"1"	"13"	"4"	"89"	"2"	"2"	"227"
"225"	"196"	"8"	"150"	"111"	"21"	"5"	"0"	"1"	"7"	"2"	"29"	"9"	"232"	"8"	"18"	"601"
"226"	"197"	"15"	"64"	"195"	"39"	"3"	"1"	"5"	"14"	"4"	"39"	"13"	"8"	"5"	"17"	"422"
"227"	"198"	"10"	"68"	"105"	"7"	"2"	"2"	"6"	"6"	"3"	"49"	"3"	"9"	"2"	"22"	"294"
"228"	"199"	"13"	"88"	"94"	"39"	"3"	"1"	"2"	"4"	"1"	"30"	"2"	"5"	"2"	"9"	"293"
"229"	"200"	"18"	"87"	"199"	"81"	"2"	"0"	"5"	"3"	"4"	"49"	"12"	"22"	"15"	"29"	"526"
"230"	"201"	"12"	"225"	"100"	"19"	"2"	"0"	"3"	"6"	"5"	"36"	"0"	"6"	"1"	"5"	"420"
"231"	"202"	"3"	"23"	"40"	"107"	"2"	"1"	"0"	"4"	"1"	"2"	"2"	"2"	"1"	"0"	"188"
"232"	"203"	"17"	"178"	"167"	"133"	"8"	"0"	"6"	"8"	"7"	"15"	"7"	"2"	"3"	"4"	"555"
"233"	"ASSEMBLY CONSTITUENCY: 164-TARAUR"	""	""	""	""	""	""	"NO OF VOTERS: 251328"	""	""	""	""	""	""	""	""
"234"	"NO OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"235"	"CANDIDATES NAME"	"OM PRAKASH SAHNI"	"NEETA CHOUDHARY"	"SHAKUNI CHOUDHARY"	"SANJAY KUMAR"	"SANJAY KUMAR SINGH"	"DEO PRAKASH SINGH"	"DEVANAND SINGH"	"NARAYAN YADAV"	"MANOJ KUMAR MADHUKAR"	"RAMAN KUMAR"	"SHRAVAN KUMAR"	"SUMITRA DEVI"	"ASHOK KUMAR SINGH"	"RAM PRASAD SAH"	"TOTAL VALID VOTES"
"236"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"237"	"204"	"0"	"2"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"13"
"238"	"205"	"11"	"131"	"115"	"35"	"1"	"2"	"2"	"3"	"3"	"18"	"3"	"6"	"2"	"7"	"339"
"239"	"206"	"18"	"195"	"101"	"12"	"1"	"1"	"3"	"17"	"0"	"52"	"7"	"14"	"7"	"20"	"448"
"240"	"207"	"2"	"180"	"34"	"10"	"0"	"0"	"0"	"3"	"0"	"33"	"4"	"1"	"2"	"4"	"273"
"241"	"208"	"0"	"45"	"10"	"12"	"1"	"1"	"0"	"3"	"0"	"12"	"4"	"0"	"0"	"1"	"89"
"242"	"209"	"3"	"78"	"250"	"15"	"2"	"2"	"5"	"9"	"3"	"62"	"10"	"10"	"1"	"10"	"460"
"243"	"210"	"8"	"300"	"71"	"19"	"0"	"0"	"0"	"10"	"2"	"65"	"9"	"13"	"11"	"16"	"524"
"244"	"211"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"613"
"245"	"212"	"15"	"210"	"211"	"128"	"4"	"4"	"4"	"12"	"0"	"25"	"2"	"8"	"10"	"19"	"652"
"246"	"213"	"6"	"72"	"154"	"169"	"7"	"4"	"5"	"8"	"1"	"25"	"7"	"9"	"10"	"23"	"500"
"247"	"214"	"4"	"43"	"74"	"30"	"1"	"1"	"0"	"2"	"0"	"22"	"3"	"1"	"1"	"3"	"185"
"248"	"215"	"8"	"124"	"112"	"41"	"1"	"3"	"3"	"3"	"1"	"41"	"5"	"7"	"5"	"14"	"368"
"249"	"216"	"19"	"196"	"60"	"47"	"2"	"5"	"5"	"6"	"13"	"83"	"1"	"4"	"10"	"13"	"464"
"250"	"217"	"1"	"125"	"49"	"65"	"1"	"4"	"0"	"2"	"1"	"24"	"3"	"1"	"3"	"7"	"286"
"251"	"218"	"5"	"75"	"271"	"15"	"0"	"6"	"2"	"5"	"1"	"24"	"4"	"8"	"2"	"5"	"423"
"252"	"218"	"6"	"147"	"144"	"29"	"0"	"7"	"0"	"2"	"0"	"37"	"2"	"2"	"0"	"0"	"376"
"253"	"219"	"6"	"119"	"161"	"4"	"0"	"1"	"1"	"1"	"2"	"26"	"10"	"11"	"6"	"21"	"369"
"254"	"220"	"7"	"269"	"68"	"59"	"2"	"0"	"1"	"3"	"0"	"54"	"8"	"7"	"8"	"12"	"498"
"255"	"221"	"9"	"159"	"85"	"38"	"3"	"1"	"4"	"3"	"2"	"101"	"10"	"8"	"9"	"31"	"463"
"256"	"222"	"0"	"126"	"21"	"68"	"1"	"2"	"1"	"1"	"0"	"20"	"2"	"0"	"3"	"5"	"250"
"257"	"223"	"6"	"111"	"121"	"37"	"6"	"3"	"2"	"5"	"2"	"23"	"8"	"11"	"8"	"17"	"360"
"258"	"224"	"2"	"113"	"42"	"11"	"0"	"0"	"1"	"0"	"1"	"12"	"0"	"0"	"1"	"4"	"187"
"259"	"225"	"13"	"212"	"76"	"94"	"3"	"3"	"5"	"6"	"1"	"57"	"1"	"3"	"7"	"23"	"504"
"260"	"226"	"2"	"175"	"108"	"60"	"4"	"6"	"1"	"3"	"1"	"33"	"1"	"5"	"8"	"21"	"428"
"261"	"227"	"1"	"121"	"14"	"141"	"3"	"2"	"3"	"1"	"1"	"50"	"5"	"9"	"6"	"18"	"375"
"262"	"228"	"3"	"129"	"39"	"152"	"3"	"8"	"2"	"8"	"7"	"47"	"5"	"8"	"13"	"22"	"446"
"263"	"229"	"13"	"93"	"236"	"165"	"6"	"6"	"7"	"10"	"2"	"35"	"12"	"6"	"8"	"26"	"625"
"264"	"230"	"31"	"114"	"185"	"319"	"16"	"12"	"10"	"25"	"11"	"46"	"18"	"17"	"15"	"22"	"841"
"265"	"231"	"4"	"139"	"280"	"16"	"2"	"0"	"7"	"7"	"1"	"29"	"9"	"7"	"5"	"6"	"512"
"266"	"232"	"3"	"172"	"95"	"71"	"3"	"2"	"4"	"6"	"4"	"50"	"10"	"14"	"10"	"20"	"464"
"267"	"233"	"12"	"183"	"204"	"82"	"9"	"3"	"2"	"12"	"1"	"55"	"6"	"9"	"5"	"10"	"593"
"268"	"234"	"5"	"101"	"156"	"58"	"4"	"0"	"3"	"2"	"1"	"19"	"1"	"10"	"4"	"16"	"380"
"269"	"235"	"3"	"13"	"63"	"9"	"1"	"215"	"11"	"3"	"2"	"3"	"3"	"0"	"2"	"3"	"331"
"270"	"236"	"3"	"9"	"214"	"52"	"1"	"2"	"0"	"2"	"0"	"6"	"1"	"2"	"2"	"6"	"300"
"271"	"237"	"3"	"222"	"62"	"102"	"2"	"4"	"2"	"2"	"0"	"40"	"1"	"3"	"1"	"5"	"449"
"272"	"ASSEMBLY CONSTITUENCY: 164-TARAUR"	""	""	""	""	""	""	"NO OF VOTERS: 251328"	""	""	""	""	""	""	""	""
"273"	"NO OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"CANDIDATES NAME"	"OM PRAKASH SAHNI"	"NEETA CHOUDHARY"	"SHAKUNI CHOUDHARY"	"SANJAY KUMAR"	"SANJAY KUMAR SINGH"	"DEO PRAKASH SINGH"	"DEVANAND SINGH"	"NARAYAN YADAV"	"MANOJ KUMAR MADHUKAR"	"RAMAN KUMAR"	"SHRAVAN KUMAR"	"SUMITRA DEVI"	"ASHOK KUMAR SINGH"	"RAM PRASAD SAH"	"TOTAL VALID VOTES"
"275"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"238"	"1"	"29"	"28"	"48"	"1"	"135"	"7"	"6"	"4"	"13"	"2"	"1"	"1"	"3"	"279"
"277"	"239"	"7"	"173"	"107"	"74"	"6"	"1"	"1"	"11"	"8"	"51"	"9"	"8"	"14"	"20"	"490"
"278"	"240"	"7"	"374"	"107"	"57"	"7"	"7"	"2"	"5"	"2"	"32"	"11"	"15"	"12"	"14"	"652"
"279"	"241"	"18"	"243"	"179"	"40"	"20"	"3"	"0"	"3"	"2"	"35"	"9"	"12"	"7"	"23"	"594"
"280"	"242"	"6"	"276"	"110"	"76"	"6"	"3"	"1"	"16"	"4"	"34"	"8"	"6"	"2"	"10"	"558"
"281"	"243"	"22"	"141"	"98"	"187"	"20"	"6"	"5"	"14"	"4"	"24"	"7"	"18"	"7"	"11"	"564"
"282"	"244"	"6"	"274"	"26"	"42"	"2"	"4"	"0"	"1"	"0"	"20"	"1"	"4"	"1"	"5"	"386"
"283"	"245"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"483"
"284"	"246"	"8"	"165"	"133"	"29"	"1"	"3"	"1"	"11"	"3"	"33"	"3"	"10"	"4"	"6"	"410"
"285"	"247"	"21"	"245"	"106"	"78"	"6"	"34"	"4"	"33"	"5"	"76"	"6"	"6"	"5"	"16"	"641"
"286"	"248"	"17"	"95"	"223"	"153"	"9"	"7"	"7"	"19"	"9"	"60"	"13"	"11"	"9"	"29"	"661"
"287"	"249"	"13"	"340"	"47"	"23"	"1"	"12"	"0"	"4"	"3"	"66"	"5"	"7"	"6"	"23"	"550"
"288"	"250"	"2"	"65"	"129"	"93"	"2"	"0"	"1"	"16"	"4"	"42"	"4"	"8"	"8"	"17"	"391"
"289"	"251"	"3"	"161"	"44"	"38"	"3"	"7"	"0"	"9"	"3"	"42"	"1"	"11"	"9"	"12"	"343"
"290"	"252"	"3"	"262"	"47"	"18"	"0"	"9"	"0"	"0"	"2"	"25"	"0"	"4"	"6"	"8"	"384"
"291"	"253"	"11"	"229"	"21"	"11"	"0"	"12"	"1"	"2"	"1"	"28"	"0"	"4"	"4"	"15"	"339"
"292"	"254"	"13"	"134"	"99"	"27"	"3"	"6"	"3"	"3"	"3"	"41"	"9"	"14"	"10"	"33"	"398"
"293"	"255"	"12"	"172"	"91"	"52"	"2"	"3"	"3"	"5"	"2"	"17"	"2"	"2"	"4"	"10"	"377"
"294"	"256"	"5"	"140"	"200"	"3"	"2"	"0"	"0"	"1"	"0"	"17"	"3"	"4"	"3"	"7"	"385"
"295"	"257"	"6"	"211"	"96"	"4"	"0"	"2"	"0"	"6"	"3"	"25"	"4"	"8"	"15"	"10"	"390"
"296"	"258"	"4"	"211"	"145"	"92"	"7"	"13"	"6"	"10"	"7"	"54"	"7"	"8"	"8"	"24"	"596"
"297"	"259"	"9"	"409"	"113"	"58"	"6"	"2"	"1"	"6"	"4"	"59"	"2"	"7"	"4"	"3"	"683"
"298"	"260"	"9"	"204"	"99"	"66"	"9"	"1"	"3"	"10"	"0"	"75"	"11"	"22"	"10"	"33"	"552"
"299"	"261"	"7"	"257"	"106"	"35"	"0"	"0"	"0"	"4"	"1"	"46"	"8"	"9"	"12"	"24"	"509"
"300"	"ASSEMBLY CONSTITUENCY: 164-TARAUR"	""	""	""	""	""	""	"NO OF VOTERS: 251328"	""	""	""	""	""	""	""	""
"301"	"NO OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	"CANDIDATES NAME"	"OM PRAKASH SAHNI"	"NEETA CHOUDHARY"	"SHAKUNI CHOUDHARY"	"SANJAY KUMAR"	"SANJAY KUMAR SINGH"	"DEO PRAKASH SINGH"	"DEVANAND SINGH"	"NARAYAN YADAV"	"MANOJ KUMAR MADHUKAR"	"RAMAN KUMAR"	"SHRAVAN KUMAR"	"SUMITRA DEVI"	"ASHOK KUMAR SINGH"	"RAM PRASAD SAH"	"TOTAL VALID VOTES"
"303"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"304"	"262"	"7"	"479"	"81"	"38"	"3"	"2"	"1"	"6"	"0"	"52"	"3"	"4"	"4"	"6"	"686"
"305"	"263"	"10"	"265"	"121"	"104"	"0"	"1"	"1"	"14"	"5"	"62"	"10"	"13"	"11"	"27"	"644"
"306"	"264"	"8"	"385"	"101"	"58"	"3"	"4"	"5"	"13"	"6"	"69"	"5"	"7"	"7"	"20"	"691"
"307"	"265"	"4"	"254"	"45"	"32"	"1"	"0"	"2"	"15"	"2"	"31"	"1"	"2"	"0"	"3"	"392"
"308"	"TOTAL"	"1777"	"44576"	"30705"	"18286"	"975"	"1152"	"520"	"1349"	"531"	"9178"	"1624"	"4102"	"1429"	"3034"	"119135"
"309"	"POSTAL
BALLOT"	"1"	"9"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"14"
"310"	"GRAND TOTAL"	"1778"	"44585"	"30708"	"18287"	"975"	"1152"	"520"	"1349"	"531"	"9178"	"1624"	"4102"	"1429"	"3034"	"119149"
"311"	"PLACE:MUNGER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"312"	"DATE: 24/11/2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"RETURNING OFFICER ASSEMBLY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"314"	"CONSTITUENCY 164-TARAUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
