"Assembly.Constituency..047...Raniganj..SC."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"292"	"Candidates  Name"	"KAUSHALYA DEVI"	"DHANIK LAL PASWAN"	"PARMANAND RISHIDEO"	"SHANTI DEVI"	"HARI PRASAD BAISHANTREE"	""	"KAMESHWAR PASWAN"	"RANDHEER PASWAN"	"SURESH RISHIDEO"	"Total Valid Votes"
"293"	""	""	""	""	""	""	""	""	""	""	""
"294"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""
"295"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"11"
"296"	"215"	"21"	"23"	"317"	"91"	"101"	""	"26"	"14"	"34"	"627"
"297"	"216"	"6"	"15"	"331"	"17"	"15"	""	"3"	"6"	"2"	"395"
"298"	"217"	"15"	"6"	"406"	"96"	"26"	""	"18"	"12"	"34"	"613"
"299"	"218"	"22"	"11"	"446"	"71"	"52"	""	"13"	"16"	"28"	"659"
"300"	"219"	"9"	"3"	"214"	"20"	"30"	""	"10"	"4"	"19"	"309"
"301"	"220"	"40"	"8"	"39"	"359"	"111"	""	"15"	"8"	"20"	"600"
"302"	"221"	"28"	"11"	"463"	"51"	"28"	""	"11"	"4"	"7"	"603"
"303"	"222"	"10"	"3"	"51"	"118"	"69"	""	"7"	"10"	"10"	"278"
"304"	"223"	"17"	"13"	"210"	"374"	"93"	""	"18"	"8"	"23"	"756"
"305"	"224"	"25"	"12"	"46"	"369"	"118"	""	"12"	"7"	"8"	"597"
"306"	"225"	"11"	"14"	"499"	"59"	"17"	""	"6"	"16"	"15"	"637"
"307"	"Total:"	"3883"	"2990"	"65106"	"41456"	"9955"	""	"1977"	"2125"	"3692"	"131184"
"308"	""	""	""	""	""	""	""	""	""	""	""
"309"	"Postal Ballot"	"0"	"0"	"5"	"2"	"0"	""	"0"	"0"	"0"	"7"
"310"	"Grand Total:"	"3883"	"2990"	"65111"	"41458"	"9955"	""	"1977"	"2125"	"3692"	"131191"
"311"	"Place:"	""	""	""	""	""	""	""	""	""	""
"312"	"Date: 24/11/2010"	""	""	""	""	""	""	""	""	""	""
"313"	"Printed Using RO/ARO Counting Tool Ver. 1.0 of National Informatics Centre,Bihar"	""	""	""	""	""	""	""	""	""	""
"314"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""
