"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"192"	"138"	"74"	"52"	"135"	"49"	"5"	"2"	"8"	"2"	"0"	"3"	"330"	"0"	"330"	"0"
"193"	"139"	"6"	"28"	"175"	"103"	"7"	"0"	"17"	"2"	"1"	"0"	"339"	"0"	"339"	"0"
"194"	"140"	"14"	"111"	"242"	"99"	"8"	"2"	"13"	"2"	"1"	"3"	"495"	"0"	"495"	"0"
"195"	"141"	"7"	"96"	"110"	"58"	"4"	"0"	"5"	"6"	"2"	"18"	"306"	"0"	"306"	"0"
"196"	"142"	"7"	"175"	"126"	"214"	"6"	"1"	"6"	"4"	"4"	"8"	"551"	"0"	"551"	"0"
"197"	"143"	"2"	"5"	"4"	"215"	"2"	"2"	"1"	"0"	"1"	"2"	"234"	"0"	"234"	"0"
"198"	"144"	"2"	"2"	"1"	"231"	"1"	"1"	"1"	"27"	"0"	"0"	"266"	"0"	"266"	"0"
"199"	"145"	"243"	"157"	"109"	"71"	"3"	"4"	"0"	"1"	"2"	"2"	"592"	"0"	"592"	"0"
"200"	"146"	"59"	"79"	"167"	"241"	"7"	"0"	"11"	"4"	"0"	"2"	"570"	"0"	"570"	"0"
"201"	"147"	"152"	"127"	"227"	"153"	"9"	"3"	"9"	"6"	"5"	"10"	"701"	"0"	"701"	"0"
"202"	"148"	"139"	"52"	"317"	"210"	"2"	"2"	"3"	"3"	"2"	"11"	"741"	"0"	"741"	"0"
"203"	"149"	"139"	"94"	"122"	"198"	"7"	"7"	"18"	"2"	"0"	"9"	"596"	"0"	"596"	"0"
"204"	"TOTAL"	"8907"	"8279"	"24616"	"23202"	"1308"	"359"	"1571"	"1930"	"394"	"1360"	"71926"	"0"	"71926"	"0"
"205"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"206"	""	"Aklu Ram"	"Kanhaiya Ram"	"Chhedi Paswan"	"Niranjan Ram"	"Krishna Pashi"	"Girja Paswan"	"Tetari Devi"	"Lakhan Paswan"	"Shyam Sundar Paswan"	"Brajesh Kumar"	""	""	""	""
"207"	"BF"	"8907"	"8279"	"24616"	"23202"	"1308"	"359"	"1571"	"1930"	"394"	"1360"	"71926"	"0"	"71926"	"0"
"208"	"150"	"7"	"69"	"224"	"140"	"5"	"2"	"5"	"4"	"2"	"5"	"463"	"0"	"463"	"0"
"209"	"151"	"104"	"81"	"109"	"107"	"2"	"1"	"6"	"3"	"0"	"18"	"431"	"0"	"431"	"0"
"210"	"152"	"24"	"31"	"12"	"348"	"1"	"0"	"0"	"0"	"0"	"0"	"416"	"0"	"416"	"0"
"211"	"153"	"9"	"3"	"2"	"256"	"2"	"2"	"4"	"2"	"0"	"0"	"280"	"0"	"280"	"0"
"212"	"154"	"15"	"170"	"119"	"241"	"7"	"2"	"6"	"2"	"0"	"14"	"576"	"0"	"576"	"0"
"213"	"155"	"7"	"47"	"75"	"310"	"2"	"0"	"4"	"0"	"0"	"15"	"460"	"0"	"460"	"0"
"214"	"156"	"34"	"106"	"98"	"304"	"13"	"2"	"6"	"1"	"3"	"5"	"572"	"0"	"572"	"0"
"215"	"157"	"4"	"19"	"100"	"162"	"4"	"2"	"3"	"10"	"1"	"7"	"312"	"0"	"312"	"0"
"216"	"158"	"218"	"90"	"140"	"144"	"5"	"1"	"1"	"0"	"0"	"2"	"601"	"0"	"601"	"0"
"217"	"159"	"34"	"97"	"116"	"1"	"2"	"0"	"1"	"1"	"0"	"3"	"255"	"0"	"255"	"0"
"218"	"160"	"30"	"299"	"191"	"73"	"8"	"2"	"1"	"9"	"4"	"24"	"641"	"0"	"641"	"0"
"219"	"161"	"36"	"97"	"198"	"174"	"13"	"2"	"5"	"13"	"6"	"27"	"571"	"0"	"571"	"0"
"220"	"162"	"42"	"55"	"91"	"62"	"4"	"0"	"4"	"0"	"3"	"5"	"266"	"0"	"266"	"0"
"221"	"163"	"8"	"66"	"80"	"195"	"5"	"2"	"23"	"0"	"1"	"3"	"383"	"0"	"383"	"0"
"222"	"TOTAL"	"9479"	"9509"	"26171"	"25719"	"1381"	"377"	"1640"	"1975"	"414"	"1488"	"78153"	"0"	"78153"	"0"
"223"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"224"	""	"Aklu Ram"	"Kanhaiya Ram"	"Chhedi Paswan"	"Niranjan Ram"	"Krishna Pashi"	"Girja Paswan"	"Tetari Devi"	"Lakhan Paswan"	"Shyam Sundar Paswan"	"Brajesh Kumar"	""	""	""	""
"225"	"BF"	"9479"	"9509"	"26171"	"25719"	"1381"	"377"	"1640"	"1975"	"414"	"1488"	"78153"	"0"	"78153"	"0"
"226"	"164"	"10"	"165"	"419"	"146"	"13"	"3"	"47"	"7"	"3"	"12"	"825"	"0"	"825"	"0"
"227"	"165"	"8"	"81"	"72"	"108"	"3"	"1"	"5"	"1"	"2"	"1"	"282"	"0"	"282"	"0"
"228"	"166"	"13"	"66"	"39"	"71"	"5"	"1"	"7"	"0"	"2"	"0"	"204"	"0"	"204"	"0"
"229"	"167"	"56"	"147"	"225"	"292"	"13"	"1"	"14"	"3"	"3"	"16"	"770"	"0"	"770"	"0"
"230"	"168"	"5"	"71"	"152"	"124"	"4"	"2"	"3"	"7"	"2"	"3"	"373"	"0"	"373"	"0"
"231"	"169"	"26"	"46"	"154"	"28"	"2"	"0"	"1"	"0"	"1"	"3"	"261"	"0"	"261"	"0"
"232"	"170"	"20"	"62"	"147"	"249"	"8"	"0"	"8"	"5"	"2"	"6"	"507"	"0"	"507"	"0"
"233"	"171"	"5"	"22"	"136"	"69"	"4"	"0"	"0"	"1"	"2"	"1"	"240"	"0"	"240"	"0"
"234"	"172"	"4"	"9"	"237"	"160"	"13"	"1"	"13"	"7"	"0"	"3"	"447"	"0"	"447"	"0"
"235"	"173"	"11"	"47"	"193"	"181"	"7"	"3"	"15"	"5"	"1"	"12"	"475"	"0"	"475"	"0"
"236"	"174"	"32"	"26"	"42"	"98"	"0"	"0"	"0"	"0"	"0"	"2"	"200"	"0"	"200"	"0"
"237"	"175"	"15"	"26"	"66"	"37"	"5"	"0"	"3"	"4"	"0"	"5"	"161"	"0"	"161"	"0"
"238"	"176"	"74"	"102"	"56"	"180"	"8"	"5"	"4"	"3"	"6"	"5"	"443"	"0"	"443"	"0"
"239"	"177"	"6"	"15"	"267"	"139"	"2"	"2"	"11"	"10"	"0"	"8"	"460"	"0"	"460"	"0"
"240"	"TOTAL"	"9764"	"10394"	"28376"	"27601"	"1468"	"396"	"1771"	"2028"	"438"	"1565"	"83801"	"0"	"83801"	"0"
"241"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"242"	""	"Aklu Ram"	"Kanhaiya Ram"	"Chhedi Paswan"	"Niranjan Ram"	"Krishna Pashi"	"Girja Paswan"	"Tetari Devi"	"Lakhan Paswan"	"Shyam Sundar Paswan"	"Brajesh Kumar"	""	""	""	""
"243"	"BF"	"9764"	"10394"	"28376"	"27601"	"1468"	"396"	"1771"	"2028"	"438"	"1565"	"83801"	"0"	"83801"	"0"
"244"	"178"	"219"	"23"	"91"	"131"	"5"	"0"	"16"	"2"	"2"	"10"	"499"	"0"	"499"	"0"
"245"	"179"	"8"	"136"	"116"	"198"	"9"	"2"	"6"	"2"	"1"	"5"	"483"	"0"	"483"	"0"
"246"	"180"	"17"	"26"	"137"	"222"	"9"	"6"	"36"	"6"	"7"	"8"	"474"	"0"	"474"	"0"
"247"	"181"	"73"	"89"	"67"	"450"	"9"	"2"	"9"	"2"	"4"	"8"	"713"	"0"	"713"	"0"
"248"	"182"	"8"	"65"	"114"	"56"	"9"	"1"	"2"	"2"	"1"	"7"	"265"	"0"	"265"	"0"
"249"	"183"	"14"	"69"	"384"	"311"	"14"	"2"	"48"	"8"	"3"	"6"	"859"	"0"	"859"	"0"
"250"	"184"	"91"	"99"	"38"	"154"	"2"	"2"	"6"	"1"	"0"	"1"	"394"	"0"	"394"	"0"
"251"	"185"	"76"	"168"	"149"	"92"	"4"	"0"	"8"	"4"	"0"	"3"	"504"	"0"	"504"	"0"
"252"	"186"	"3"	"103"	"169"	"127"	"4"	"3"	"9"	"11"	"3"	"5"	"437"	"0"	"437"	"0"
"253"	"187"	"19"	"207"	"242"	"207"	"16"	"0"	"11"	"10"	"10"	"8"	"730"	"0"	"730"	"0"
"254"	"188"	"88"	"65"	"154"	"170"	"8"	"1"	"7"	"4"	"4"	"25"	"526"	"0"	"526"	"0"
"255"	"189"	"1"	"32"	"163"	"25"	"1"	"0"	"0"	"1"	"1"	"1"	"225"	"0"	"225"	"0"
"256"	"190"	"54"	"102"	"135"	"110"	"12"	"4"	"10"	"10"	"1"	"29"	"467"	"0"	"467"	"0"
"257"	"191"	"25"	"123"	"140"	"185"	"14"	"6"	"10"	"11"	"4"	"19"	"537"	"0"	"537"	"0"
"258"	"TOTAL"	"10460"	"11701"	"30475"	"30039"	"1584"	"425"	"1949"	"2102"	"479"	"1700"	"90914"	"0"	"90914"	"0"
"259"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"260"	""	"Aklu Ram"	"Kanhaiya Ram"	"Chhedi Paswan"	"Niranjan Ram"	"Krishna Pashi"	"Girja Paswan"	"Tetari Devi"	"Lakhan Paswan"	"Shyam Sundar Paswan"	"Brajesh Kumar"	""	""	""	""
"261"	"BF"	"10460"	"11701"	"30475"	"30039"	"1584"	"425"	"1949"	"2102"	"479"	"1700"	"90914"	"0"	"90914"	"0"
"262"	"192"	"7"	"43"	"149"	"175"	"13"	"0"	"4"	"3"	"5"	"11"	"410"	"0"	"410"	"0"
"263"	"192 A"	"3"	"42"	"253"	"124"	"7"	"0"	"1"	"4"	"1"	"2"	"437"	"0"	"437"	"0"
"264"	"193"	"87"	"185"	"123"	"191"	"9"	"2"	"5"	"3"	"3"	"10"	"618"	"0"	"618"	"0"
"265"	"194"	"18"	"97"	"423"	"249"	"21"	"6"	"18"	"9"	"2"	"15"	"858"	"0"	"858"	"0"
"266"	"195"	"27"	"41"	"208"	"264"	"19"	"4"	"46"	"5"	"7"	"45"	"666"	"0"	"666"	"0"
"267"	"196"	"19"	"148"	"266"	"227"	"6"	"4"	"18"	"16"	"4"	"19"	"727"	"0"	"727"	"0"
"268"	"197"	"5"	"51"	"166"	"96"	"4"	"1"	"3"	"4"	"1"	"2"	"333"	"0"	"333"	"0"
"269"	"198"	"20"	"37"	"298"	"86"	"5"	"2"	"3"	"2"	"4"	"4"	"461"	"0"	"461"	"0"
"270"	"199"	"5"	"69"	"207"	"226"	"8"	"2"	"9"	"5"	"4"	"5"	"540"	"0"	"540"	"0"
"271"	"200"	"35"	"62"	"310"	"247"	"6"	"8"	"25"	"22"	"6"	"41"	"762"	"0"	"762"	"0"
"272"	"201"	"6"	"44"	"408"	"278"	"9"	"4"	"2"	"6"	"1"	"2"	"760"	"0"	"760"	"0"
"273"	"202"	"8"	"37"	"456"	"98"	"10"	"1"	"10"	"8"	"3"	"12"	"643"	"0"	"643"	"0"
"274"	"203"	"17"	"77"	"67"	"66"	"0"	"0"	"3"	"0"	"0"	"30"	"260"	"0"	"260"	"0"
"275"	"204"	"34"	"20"	"105"	"141"	"4"	"0"	"2"	"3"	"0"	"1"	"310"	"0"	"310"	"0"
"276"	"TOTAL"	"10751"	"12654"	"33914"	"32507"	"1705"	"459"	"2098"	"2192"	"520"	"1899"	"98699"	"0"	"98699"	"0"
"277"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"278"	""	"Aklu Ram"	"Kanhaiya Ram"	"Chhedi Paswan"	"Niranjan Ram"	"Krishna Pashi"	"Girja Paswan"	"Tetari Devi"	"Lakhan Paswan"	"Shyam Sundar Paswan"	"Brajesh Kumar"	""	""	""	""
"279"	"BF"	"10751"	"12654"	"33914"	"32507"	"1705"	"459"	"2098"	"2192"	"520"	"1899"	"98699"	"0"	"98699"	"0"
"280"	"205"	"23"	"66"	"250"	"43"	"6"	"4"	"20"	"14"	"2"	"8"	"436"	"0"	"436"	"0"
"281"	"206"	"122"	"79"	"106"	"260"	"6"	"2"	"23"	"5"	"3"	"1"	"607"	"0"	"607"	"0"
"282"	"207"	"10"	"73"	"291"	"125"	"4"	"1"	"2"	"2"	"0"	"1"	"509"	"0"	"509"	"0"
"283"	"208"	"106"	"158"	"136"	"91"	"10"	"3"	"21"	"6"	"3"	"11"	"545"	"0"	"545"	"0"
"284"	"209"	"41"	"104"	"144"	"325"	"15"	"9"	"58"	"13"	"6"	"27"	"742"	"0"	"742"	"0"
"285"	"210"	"9"	"20"	"249"	"280"	"9"	"3"	"48"	"6"	"0"	"4"	"628"	"0"	"628"	"0"
"286"	"211"	"23"	"54"	"252"	"255"	"20"	"4"	"75"	"10"	"3"	"15"	"711"	"0"	"711"	"0"
"287"	"212"	"3"	"128"	"196"	"45"	"6"	"0"	"3"	"11"	"2"	"7"	"401"	"0"	"401"	"0"
"288"	"213"	"4"	"115"	"487"	"158"	"20"	"7"	"6"	"7"	"3"	"15"	"822"	"0"	"822"	"0"
"289"	"214"	"2"	"108"	"265"	"117"	"6"	"2"	"4"	"7"	"2"	"5"	"518"	"0"	"518"	"0"
"290"	"215"	"4"	"119"	"184"	"93"	"4"	"2"	"2"	"1"	"0"	"7"	"416"	"0"	"416"	"0"
"291"	"216"	"12"	"54"	"111"	"107"	"2"	"9"	"1"	"1"	"2"	"4"	"303"	"0"	"303"	"0"
"292"	"217"	"25"	"166"	"59"	"88"	"6"	"1"	"19"	"2"	"4"	"2"	"372"	"0"	"372"	"0"
"293"	"218"	"17"	"58"	"275"	"170"	"21"	"7"	"98"	"13"	"5"	"7"	"671"	"0"	"671"	"0"
"294"	"TOTAL"	"11152"	"13956"	"36919"	"34664"	"1840"	"513"	"2478"	"2290"	"555"	"2013"	"106380"	"0"	"106380"	"0"
"295"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"296"	""	"Aklu Ram"	"Kanhaiya Ram"	"Chhedi Paswan"	"Niranjan Ram"	"Krishna Pashi"	"Girja Paswan"	"Tetari Devi"	"Lakhan Paswan"	"Shyam Sundar Paswan"	"Brajesh Kumar"	""	""	""	""
"297"	"BF"	"11152"	"13956"	"36919"	"34664"	"1840"	"513"	"2478"	"2290"	"555"	"2013"	"106380"	"0"	"106380"	"0"
"298"	"219"	"73"	"29"	"201"	"294"	"13"	"4"	"10"	"5"	"2"	"17"	"648"	"0"	"648"	"0"
"299"	"220"	"6"	"132"	"139"	"9"	"5"	"0"	"21"	"5"	"0"	"2"	"319"	"0"	"319"	"0"
"300"	"221"	"26"	"137"	"206"	"177"	"11"	"0"	"9"	"2"	"1"	"8"	"577"	"0"	"577"	"0"
"301"	"222"	"12"	"152"	"113"	"218"	"7"	"2"	"6"	"5"	"4"	"13"	"532"	"0"	"532"	"0"
"302"	"223"	"95"	"49"	"272"	"209"	"18"	"9"	"145"	"5"	"4"	"11"	"817"	"0"	"817"	"0"
"303"	"224"	"26"	"76"	"511"	"198"	"10"	"2"	"14"	"15"	"4"	"14"	"870"	"0"	"870"	"0"
"304"	"225"	"2"	"16"	"82"	"137"	"5"	"2"	"3"	"2"	"3"	"2"	"254"	"0"	"254"	"0"
"305"	"226"	"6"	"3"	"62"	"155"	"7"	"0"	"0"	"1"	"1"	"1"	"236"	"0"	"236"	"0"
"306"	"227"	"99"	"22"	"81"	"43"	"14"	"0"	"113"	"7"	"3"	"9"	"391"	"0"	"391"	"0"
"307"	"228"	"25"	"15"	"137"	"132"	"8"	"3"	"40"	"7"	"1"	"5"	"373"	"0"	"373"	"0"
"308"	"229"	"8"	"14"	"126"	"121"	"2"	"2"	"9"	"3"	"0"	"7"	"292"	"0"	"292"	"0"
"309"	"TOTAL"	"11530"	"14601"	"38849"	"36357"	"1940"	"537"	"2848"	"2347"	"578"	"2102"	"111689"	"0"	"111689"	"0"
"310"	"POSTAL"	"3"	"12"	"69"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"120"	"1"	"121"	"0"
"311"	"GRAND TOTAL"	"11533"	"14613"	"38918"	"36393"	"1940"	"537"	"2848"	"2347"	"578"	"2102"	"111809"	"1"	"111810"	"0"
"312"	"Returning Officer."	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"204-Mohania (SC) Assembly constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
