"FORM...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"220"	"199"	""	"237"	"215"	"9"	"7"	"3"	"7"	"5"	"0"	"1"	"1"	"5"	"490"
"221"	"200"	""	"167"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"176"
"222"	"201"	""	"54"	"316"	"8"	"3"	"3"	"4"	"1"	"5"	"0"	"1"	"2"	"397"
"223"	"202"	""	"319"	"93"	"4"	"6"	"3"	"110"	"17"	"5"	"0"	"7"	"2"	"566"
"224"	"203"	""	"459"	"62"	"10"	"1"	"1"	"2"	"6"	"3"	"2"	"5"	"12"	"563"
"225"	"204"	""	"27"	"252"	"11"	"5"	"5"	"0"	"2"	"3"	"1"	"4"	"6"	"316"
"226"	"205"	""	"378"	"112"	"5"	"0"	"3"	"3"	"7"	"0"	"1"	"2"	"11"	"522"
"227"	"206"	""	"197"	"53"	"5"	"0"	"0"	"3"	"9"	"2"	"1"	"0"	"3"	"273"
"228"	"207"	""	"135"	"59"	"5"	"4"	"0"	"4"	"4"	"0"	"1"	"1"	"5"	"218"
"229"	"208"	""	"27"	"156"	"6"	"4"	"0"	"10"	"1"	"1"	"1"	"1"	"1"	"208"
"230"	"209"	""	"157"	"78"	"1"	"1"	"1"	"1"	"3"	"0"	"1"	"2"	"7"	"252"
"231"	"210"	""	"73"	"163"	"10"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"3"	"250"
"232"	"211"	""	"143"	"148"	"5"	"2"	"0"	"13"	"6"	"2"	"4"	"2"	"16"	"341"
"233"	"212"	""	"172"	"148"	"2"	"1"	"0"	"5"	"3"	"2"	"1"	"4"	"2"	"340"
"234"	"213"	""	"202"	"67"	"14"	"15"	"1"	"11"	"2"	"1"	"1"	"1"	"3"	"318"
"235"	"214"	""	"8"	"262"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"276"
"236"	"215"	""	"174"	"262"	"6"	"1"	"3"	"5"	"7"	"0"	"0"	"4"	"10"	"472"
"237"	"216"	""	"11"	"216"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"231"
"238"	"217"	""	"113"	"154"	"15"	"25"	"3"	"4"	"7"	"2"	"5"	"3"	"3"	"334"
"239"	"218"	""	"376"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"384"
"240"	"219"	""	"52"	"191"	"9"	"6"	"1"	"3"	"5"	"3"	"2"	"3"	"8"	"283"
"241"	"220"	""	"101"	"271"	"18"	"12"	"0"	"3"	"4"	"3"	"3"	"2"	"18"	"435"
"242"	"221"	""	"344"	"142"	"8"	"3"	"2"	"6"	"8"	"5"	"0"	"9"	"9"	"536"
"243"	"222"	""	"187"	"57"	"2"	"2"	"1"	"28"	"2"	"1"	"0"	"1"	"12"	"293"
"244"	"223"	""	"184"	"63"	"7"	"2"	"0"	"14"	"8"	"0"	"1"	"3"	"10"	"292"
"245"	"224"	""	"101"	"136"	"12"	"5"	"2"	"124"	"14"	"2"	"5"	"6"	"19"	"426"
"246"	"225"	""	"415"	"155"	"7"	"4"	"3"	"9"	"10"	"4"	"3"	"0"	"15"	"625"
"247"	"226"	""	"142"	"399"	"18"	"8"	"3"	"2"	"8"	"2"	"4"	"4"	"19"	"609"
"248"	"BOOTH NO"	""	"DR. ANIL KUMAR"	"BAGI KUMAR VERMA"	"RAMNANDAN SHARMA"	"SUBHASH KUMAR KAUSHAL"	"BHOLA PASWAN"	"RITA DEVI"	"SHISHMANI KUMAR"	"KRISHAN DAS"	"JITENDRA PRASAD SINHA"	"MADHU KUMAR SHASHI"	"HIMANSHU SHEKHAR"	"Total Valid  Votes"
"249"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"250"	"227"	""	"272"	"23"	"9"	"20"	"1"	"1"	"3"	"0"	"1"	"3"	"4"	"337"
"251"	"228"	""	"180"	"68"	"7"	"3"	"0"	"0"	"1"	"0"	"1"	"0"	"3"	"263"
"252"	"229"	""	"190"	"70"	"13"	"0"	"3"	"3"	"5"	"6"	"1"	"5"	"6"	"302"
"253"	"230"	""	"150"	"170"	"10"	"1"	"3"	"5"	"2"	"2"	"0"	"1"	"4"	"348"
"254"	"231"	""	"509"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"511"
"255"	"232"	""	"162"	"273"	"18"	"4"	"5"	"5"	"17"	"1"	"4"	"6"	"14"	"509"
"256"	"233"	""	"45"	"292"	"5"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"346"
"257"	"234"	""	"402"	"206"	"7"	"11"	"1"	"3"	"5"	"3"	"1"	"3"	"6"	"648"
"258"	"235"	""	"330"	"64"	"5"	"32"	"3"	"2"	"2"	"4"	"2"	"2"	"14"	"460"
"259"	"236"	""	"339"	"98"	"9"	"7"	"1"	"7"	"4"	"3"	"1"	"2"	"7"	"478"
"260"	"237"	""	"274"	"104"	"17"	"14"	"3"	"29"	"24"	"5"	"3"	"4"	"27"	"504"
"261"	"238"	""	"123"	"273"	"16"	"27"	"1"	"5"	"4"	"3"	"3"	"1"	"5"	"461"
"262"	"239"	""	"115"	"236"	"9"	"5"	"7"	"35"	"10"	"5"	"2"	"0"	"6"	"430"
"263"	"240"	""	"224"	"30"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"265"
"264"	"241"	""	"294"	"72"	"6"	"10"	"2"	"5"	"4"	"3"	"0"	"6"	"15"	"417"
"265"	"242"	""	"250"	"92"	"3"	"4"	"2"	"4"	"10"	"3"	"2"	"4"	"16"	"390"
"266"	"243"	""	"265"	"20"	"1"	"18"	"2"	"2"	"3"	"3"	"3"	"4"	"27"	"348"
"267"	"244"	""	"282"	"114"	"5"	"0"	"0"	"6"	"4"	"0"	"0"	"5"	"5"	"421"
"268"	"244"	"A"	"149"	"185"	"10"	"6"	"1"	"4"	"7"	"1"	"0"	"1"	"6"	"370"
"269"	"245"	""	"168"	"142"	"15"	"13"	"1"	"1"	"15"	"4"	"2"	"6"	"21"	"388"
"270"	"246"	""	"304"	"148"	"2"	"1"	"0"	"0"	"3"	"3"	"2"	"1"	"7"	"471"
"271"	"247"	""	"37"	"251"	"4"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"293"
"272"	"248"	""	"348"	"12"	"7"	"7"	"0"	"1"	"6"	"0"	"1"	"0"	"6"	"388"
"273"	"249"	""	"294"	"18"	"6"	"0"	"2"	"4"	"5"	"1"	"1"	"1"	"2"	"334"
"274"	"250"	""	"257"	"54"	"10"	"6"	"2"	"1"	"3"	"0"	"0"	"1"	"8"	"342"
"275"	"251"	""	"443"	"5"	"14"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"2"	"466"
"276"	"252"	""	"194"	"74"	"26"	"1"	"0"	"3"	"11"	"1"	"2"	"1"	"3"	"316"
"277"	"253"	""	"240"	"37"	"31"	"5"	"2"	"5"	"3"	"1"	"2"	"2"	"5"	"333"
"278"	"254"	""	"202"	"14"	"154"	"4"	"2"	"0"	"4"	"5"	"5"	"2"	"10"	"402"
"279"	"BOOTH NO"	""	"DR. ANIL KUMAR"	"BAGI KUMAR VERMA"	"RAMNANDAN SHARMA"	"SUBHASH KUMAR KAUSHAL"	"BHOLA PASWAN"	"RITA DEVI"	"SHISHMANI KUMAR"	"KRISHAN DAS"	"JITENDRA PRASAD SINHA"	"MADHU KUMAR SHASHI"	"HIMANSHU SHEKHAR"	"Total Valid  Votes"
"280"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"281"	"255"	""	"92"	"109"	"194"	"11"	"3"	"3"	"18"	"5"	"4"	"1"	"11"	"451"
"282"	"256"	""	"168"	"166"	"65"	"7"	"3"	"5"	"11"	"4"	"5"	"10"	"17"	"461"
"283"	"257"	""	"211"	"77"	"14"	"0"	"3"	"4"	"1"	"2"	"3"	"2"	"8"	"325"
"284"	"258"	""	"246"	"96"	"5"	"4"	"0"	"2"	"6"	"0"	"2"	"2"	"8"	"371"
"285"	"259"	""	"200"	"101"	"8"	"6"	"2"	"12"	"21"	"5"	"3"	"6"	"10"	"374"
"286"	"260"	""	"282"	"331"	"15"	"2"	"7"	"6"	"8"	"4"	"4"	"2"	"13"	"674"
"287"	"261"	""	"93"	"189"	"35"	"16"	"7"	"6"	"7"	"3"	"1"	"4"	"7"	"368"
"288"	"262"	""	"254"	"100"	"20"	"2"	"1"	"3"	"7"	"3"	"7"	"7"	"26"	"430"
"289"	"263"	""	"78"	"103"	"46"	"4"	"5"	"2"	"0"	"3"	"2"	"3"	"7"	"253"
"290"	"264"	""	"64"	"113"	"9"	"41"	"3"	"10"	"7"	"3"	"3"	"3"	"8"	"264"
"291"	"265"	""	"163"	"175"	"13"	"15"	"1"	"7"	"17"	"3"	"2"	"3"	"21"	"420"
"292"	"266"	""	"429"	"203"	"16"	"5"	"0"	"13"	"12"	"4"	"3"	"6"	"12"	"703"
"293"	"267"	""	"237"	"127"	"12"	"17"	"5"	"6"	"15"	"6"	"4"	"6"	"14"	"449"
"294"	"268"	""	"410"	"153"	"38"	"16"	"0"	"13"	"20"	"4"	"3"	"3"	"7"	"667"
"295"	"269"	""	"249"	"235"	"32"	"3"	"1"	"5"	"9"	"5"	"3"	"2"	"9"	"553"
"296"	"270"	""	"17"	"402"	"16"	"3"	"1"	"1"	"0"	"5"	"5"	"5"	"6"	"461"
"297"	"271"	""	"178"	"254"	"10"	"5"	"2"	"16"	"7"	"8"	"6"	"2"	"8"	"496"
"298"	"272"	""	"147"	"61"	"7"	"20"	"2"	"5"	"7"	"2"	"6"	"6"	"10"	"273"
"299"	"273"	""	"477"	"61"	"7"	"5"	"0"	"5"	"7"	"4"	"1"	"0"	"3"	"570"
"300"	"274"	""	"304"	"169"	"11"	"43"	"3"	"2"	"2"	"0"	"1"	"4"	"6"	"545"
"301"	"275"	""	"49"	"216"	"12"	"1"	"0"	"1"	"2"	"3"	"0"	"1"	"7"	"292"
"302"	"276"	""	"110"	"73"	"1"	"4"	"1"	"2"	"1"	"2"	"1"	"0"	"3"	"198"
"303"	"277"	""	"473"	"250"	"21"	"22"	"2"	"4"	"18"	"4"	"4"	"10"	"16"	"824"
"304"	"278"	""	"167"	"87"	"5"	"4"	"1"	"0"	"4"	"2"	"1"	"0"	"15"	"286"
"305"	"279"	""	"83"	"112"	"1"	"1"	"0"	"0"	"4"	"0"	"2"	"1"	"10"	"214"
"306"	"280"	""	"306"	"230"	"8"	"10"	"3"	"7"	"10"	"3"	"2"	"11"	"15"	"605"
"307"	"281"	""	"263"	"246"	"7"	"1"	"2"	"4"	"6"	"1"	"0"	"1"	"8"	"539"
"308"	"282"	""	"277"	"333"	"23"	"8"	"4"	"6"	"9"	"5"	"7"	"5"	"9"	"686"
"309"	"283"	""	"177"	"147"	"26"	"2"	"2"	"4"	"4"	"3"	"4"	"7"	"15"	"391"
"310"	"BOOTH NO"	""	"DR. ANIL KUMAR"	"BAGI KUMAR VERMA"	"RAMNANDAN SHARMA"	"SUBHASH KUMAR KAUSHAL"	"BHOLA PASWAN"	"RITA DEVI"	"SHISHMANI KUMAR"	"KRISHAN DAS"	"JITENDRA PRASAD SINHA"	"MADHU KUMAR SHASHI"	"HIMANSHU SHEKHAR"	"Total Valid  Votes"
"311"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"312"	"284"	""	"168"	"194"	"14"	"5"	"3"	"3"	"4"	"1"	"0"	"4"	"5"	"401"
"313"	"285"	""	"203"	"92"	"4"	"12"	"2"	"5"	"4"	"1"	"0"	"3"	"8"	"334"
"314"	"286"	""	"142"	"140"	"11"	"4"	"3"	"7"	"6"	"1"	"1"	"6"	"10"	"331"
"315"	"287"	""	"234"	"111"	"3"	"0"	"2"	"1"	"3"	"1"	"0"	"0"	"4"	"359"
"316"	"288"	""	"317"	"194"	"3"	"3"	"1"	"0"	"1"	"1"	"0"	"3"	"8"	"531"
"317"	"289"	""	"504"	"11"	"2"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"520"
"318"	"290"	""	"460"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"470"
"319"	"291"	""	"282"	"91"	"5"	"8"	"1"	"3"	"2"	"1"	"4"	"0"	"3"	"400"
"320"	"292"	""	"60"	"434"	"28"	"3"	"3"	"2"	"5"	"4"	"4"	"3"	"5"	"551"
"321"	"293"	""	"89"	"113"	"16"	"47"	"6"	"5"	"4"	"7"	"3"	"6"	"6"	"302"
"322"	"294"	""	"449"	"2"	"28"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"480"
"323"	"295"	""	"574"	"1"	"49"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"3"	"630"
"324"	"296"	""	"359"	"2"	"20"	"0"	"0"	"1"	"3"	"1"	"0"	"1"	"5"	"392"
"325"	"297"	""	"186"	"205"	"16"	"29"	"3"	"2"	"12"	"3"	"3"	"4"	"18"	"481"
"326"	"298"	""	"174"	"150"	"15"	"2"	"0"	"0"	"2"	"0"	"1"	"0"	"4"	"348"
"327"	"299"	""	"196"	"38"	"2"	"0"	"2"	"0"	"0"	"1"	"2"	"2"	"2"	"245"
"328"	"300"	""	"109"	"194"	"13"	"101"	"2"	"0"	"1"	"1"	"4"	"0"	"8"	"433"
"329"	"301"	""	"151"	"172"	"22"	"6"	"0"	"3"	"5"	"2"	"1"	"1"	"5"	"368"
"330"	"302"	""	"413"	"206"	"23"	"32"	"3"	"6"	"23"	"7"	"11"	"6"	"17"	"747"
"331"	"303"	""	"142"	"219"	"6"	"31"	"4"	"3"	"12"	"6"	"10"	"1"	"9"	"443"
"332"	"304"	""	"240"	"157"	"9"	"9"	"1"	"2"	"5"	"1"	"4"	"2"	"17"	"447"
"333"	"305"	""	"362"	"25"	"5"	"6"	"2"	"8"	"13"	"3"	"2"	"7"	"14"	"447"
"334"	"306"	""	"196"	"241"	"9"	"12"	"2"	"6"	"11"	"4"	"5"	"4"	"11"	"501"
"335"	"307"	""	"657"	"10"	"3"	"0"	"1"	"0"	"3"	"0"	"1"	"19"	"8"	"702"
"336"	"308"	""	"275"	"239"	"11"	"3"	"3"	"4"	"4"	"0"	"2"	"13"	"16"	"570"
"337"	"309"	""	"212"	"403"	"21"	"4"	"1"	"9"	"5"	"6"	"6"	"9"	"7"	"683"
"338"	"310"	""	"125"	"177"	"11"	"9"	"2"	"6"	"12"	"1"	"5"	"4"	"19"	"371"
"339"	"311"	""	"317"	"35"	"9"	"7"	"1"	"8"	"8"	"0"	"3"	"2"	"8"	"398"
"340"	"312"	""	"92"	"310"	"24"	"5"	"3"	"8"	"10"	"2"	"1"	"8"	"1"	"464"
"341"	"BOOTH NO"	""	"DR. ANIL KUMAR"	"BAGI KUMAR VERMA"	"RAMNANDAN SHARMA"	"SUBHASH KUMAR KAUSHAL"	"BHOLA PASWAN"	"RITA DEVI"	"SHISHMANI KUMAR"	"KRISHAN DAS"	"JITENDRA PRASAD SINHA"	"MADHU KUMAR SHASHI"	"HIMANSHU SHEKHAR"	"Total Valid  Votes"
"342"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"343"	"313"	""	"130"	"476"	"20"	"14"	"2"	"46"	"5"	"5"	"6"	"11"	"22"	"737"
"344"	"314"	""	"201"	"168"	"5"	"7"	"1"	"12"	"1"	"4"	"0"	"2"	"10"	"411"
"345"	"315"	""	"80"	"103"	"4"	"4"	"3"	"2"	"2"	"1"	"1"	"2"	"7"	"209"
"346"	"316"	""	"202"	"277"	"14"	"4"	"3"	"8"	"6"	"6"	"3"	"10"	"13"	"546"
"347"	"317"	""	"66"	"164"	"9"	"3"	"1"	"2"	"4"	"2"	"4"	"7"	"17"	"279"
"348"	"Total"	""	"67647"	"49134"	"3606"	"2357"	"515"	"1859"	"1716"	"658"	"554"	"950"	"2824"	"131820"
"349"	"POSTAL
BALLOT"	""	"59"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"90"
"350"	"Grand Total"	""	"67706"	"49165"	"3606"	"2357"	"515"	"1859"	"1716"	"658"	"554"	"950"	"2824"	"131910"
