"Polling.Station.No."	"Ajai.kumar.Mandal"	"Abu.Kaishar"	"Kedar.Nath.Yadav"	"Pervez.Jamal"	"Usha.Kumari"	"Jitendra.Prasad.Yadav"	"Mumtaj"	"Sri.Niwas.Kumar"	"Anil.Mandal"	"Uttam.Kumar"	"Diwakar.Chandar.Dubey"	"Murli.Dhar.Singh"	"Rabiran.Singh"	"Shital.Mandal"	"Shailen.dra.Kumar.Ghosh"	"Total.....No..of......actual.Votes"	"Total.....No..of...rejected.Votes"	"Total"	"No.........of.Tendered.Votes"
"279"	"238"	269	41	6	12	6	6	5	4	1	1	61	0	2	3	8	425	0	425	NA
"280"	"239"	271	5	1	4	2	2	3	0	0	1	5	1	1	1	11	308	0	308	NA
"281"	"240"	109	72	2	2	9	4	4	1	1	0	0	2	1	3	13	223	0	223	NA
"282"	"241"	180	99	18	9	7	0	7	4	0	8	11	7	1	6	26	383	0	383	NA
"283"	"242"	454	90	3	12	26	4	7	2	1	4	24	3	3	8	22	663	0	663	NA
"284"	"243"	363	106	3	15	14	0	5	1	3	3	3	1	0	6	15	538	0	538	NA
"285"	"244"	453	131	6	19	42	2	3	4	0	16	43	2	5	9	38	773	0	773	NA
"286"	"245"	675	60	7	9	18	7	13	3	4	27	18	1	1	6	17	866	0	866	NA
"287"	"246"	408	140	12	13	13	4	5	6	13	6	38	10	6	14	55	743	0	743	NA
"288"	"18"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"289"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"290"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"291"	"247"	423	110	22	24	14	4	11	16	2	4	6	7	6	20	34	703	0	703	NA
"292"	"248"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
"293"	"249"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
"294"	"250"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
"295"	"251"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
"296"	"252"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
"297"	"253"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
"298"	"254"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
"299"	"255"	153	166	10	9	27	2	11	1	2	15	182	6	4	11	31	630	0	630	NA
"300"	"256"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
"301"	"257"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	NA
"302"	"Total"	41821	37183	4737	16491	2399	590	952	449	884	1511	6720	763	846	1967	4277	121590	0	121590	0
"303"	"Postal
Ballot"	273	184	20	132	4	4	2	1	8	7	18	3	0	2	3	661	6	667	NA
"304"	"G.
Total"	42094	37367	4757	16623	2403	594	954	450	892	1518	6738	766	846	1969	4280	122251	6	122257	0
"305"	"Date"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"306"	"Place"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"307"	"19                                                       Returning Officer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"308"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"309"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"310"	"158- Nathnagar Assembley Constituency"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"311"	"20"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
