"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X218929...54...218983.31.Harlakhi"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"211"	""	""	"Basant Kumar"	"Ram
Naresh Pandey"	"Ramashish Yadav"	"Md. Shabbir"	"Shaligram Yadav"	"Sanjay Paswan"	"Md.
Nezamuddi n Neshat"	"Rakseh
Kumar Pathak"	"Hiralal Sah"	""	""	""	""
"212"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"213"	"ROUND NO.-11"	"B.F."	"6452"	"14870"	"13588"	"12837"	"19895"	"1530"	"1520"	"785"	"3421"	"74898"	"0"	"74898"	"0"
"214"	""	"133"	"292"	"51"	"45"	"15"	"123"	"12"	"11"	"3"	"16"	"568"	""	"568"	""
"215"	""	"134"	"13"	"75"	"309"	"60"	"100"	"4"	"7"	"5"	"11"	"584"	""	"584"	""
"216"	""	"135"	"190"	"57"	"356"	"41"	"69"	"8"	"2"	"10"	"13"	"746"	""	"746"	""
"217"	""	"136"	"353"	"261"	"35"	"40"	"63"	"6"	"7"	"6"	"26"	"797"	""	"797"	""
"218"	""	"137"	"33"	"50"	"220"	"322"	"39"	"8"	"8"	"4"	"6"	"690"	""	"690"	""
"219"	""	"138"	"15"	"304"	"25"	"15"	"137"	"6"	"8"	"3"	"5"	"518"	""	"518"	""
"220"	""	"139"	"11"	"103"	"2"	"10"	"118"	"5"	"8"	"3"	"27"	"287"	""	"287"	""
"221"	""	"140"	"9"	"163"	"31"	"121"	"151"	"8"	"13"	"3"	"5"	"504"	""	"504"	""
"222"	""	"140A"	"8"	"183"	"28"	"48"	"38"	"13"	"4"	"4"	"13"	"339"	""	"339"	""
"223"	""	"141"	"17"	"182"	"49"	"9"	"176"	"10"	"11"	"6"	"14"	"474"	""	"474"	""
"224"	""	"141A"	"14"	"172"	"45"	"3"	"69"	"1"	"3"	"0"	"3"	"310"	""	"310"	""
"225"	""	"142"	"16"	"52"	"20"	"11"	"252"	"6"	"5"	"3"	"8"	"373"	""	"373"	""
"226"	""	"142A"	"37"	"75"	"28"	"92"	"130"	"16"	"15"	"14"	"17"	"424"	""	"424"	""
"227"	""	"143"	"21"	"147"	"32"	"138"	"64"	"17"	"4"	"6"	"10"	"439"	""	"439"	""
"228"	""	"Total RN
-11"	"1029"	"1875"	"1225"	"925"	"1529"	"120"	"106"	"70"	"174"	"7053"	"0"	"7053"	"0"
"229"	"Name of the Assembly  Segment  :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	""	""	""	""	""	""	""	"218929 + 54 = 218983
31-Harlakhi"	""	""	""	""	""	""	""
"231"	"ROUND NO."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"232"	""	""	"Basant Kumar"	"Ram
Naresh Pandey"	"Ramashish Yadav"	"Md. Shabbir"	"Shaligram Yadav"	"Sanjay Paswan"	"Md.
Nezamuddi n Neshat"	"Rakseh
Kumar Pathak"	"Hiralal Sah"	""	""	""	""
"233"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"234"	"ROUND NO.-12"	"B.F."	"7481"	"16745"	"14813"	"13762"	"21424"	"1650"	"1626"	"855"	"3595"	"81951"	"0"	"81951"	"0"
"235"	""	"144"	"101"	"126"	"72"	"37"	"129"	"7"	"9"	"4"	"16"	"501"	""	"501"	""
"236"	""	"145"	"25"	"130"	"428"	"29"	"139"	"9"	"7"	"1"	"3"	"771"	""	"771"	""
"237"	""	"146"	"18"	"111"	"27"	"8"	"270"	"19"	"8"	"5"	"58"	"524"	""	"524"	""
"238"	""	"147"	"46"	"149"	"89"	"13"	"222"	"15"	"20"	"3"	"74"	"631"	""	"631"	""
"239"	""	"148"	"2"	"140"	"25"	"63"	"83"	"10"	"3"	"3"	"5"	"334"	""	"334"	""
"240"	""	"149"	"8"	"427"	"22"	"46"	"105"	"4"	"8"	"10"	"19"	"649"	""	"649"	""
"241"	""	"150"	"31"	"565"	"48"	"14"	"90"	"12"	"10"	"9"	"32"	"811"	""	"811"	""
"242"	""	"151"	"10"	"301"	"21"	"25"	"99"	"4"	"16"	"3"	"34"	"513"	""	"513"	""
"243"	""	"152"	"30"	"478"	"38"	"59"	"153"	"11"	"21"	"4"	"13"	"807"	""	"807"	""
"244"	""	"153"	"16"	"16"	"65"	"418"	"18"	"5"	"4"	"1"	"7"	"550"	""	"550"	""
"245"	""	"154"	"11"	"33"	"8"	"13"	"173"	"5"	"11"	"5"	"7"	"266"	""	"266"	""
"246"	""	"155"	"20"	"135"	"138"	"74"	"234"	"13"	"18"	"4"	"21"	"657"	""	"657"	""
"247"	""	"156"	"19"	"237"	"38"	"29"	"216"	"16"	"20"	"8"	"23"	"606"	""	"606"	""
"248"	""	"157"	"14"	"270"	"10"	"8"	"114"	"11"	"15"	"2"	"4"	"448"	""	"448"	""
"249"	""	"Total RN
-12"	"351"	"3118"	"1029"	"836"	"2045"	"141"	"170"	"62"	"316"	"8068"	"0"	"8068"	"0"
"250"	"Name of the Assembly  Segment  :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	""	""	""	""	""	""	""	"218929 + 54 = 218983
31-Harlakhi"	""	""	""	""	""	""	""
"252"	"ROUND NO."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"253"	""	""	"Basant Kumar"	"Ram
Naresh Pandey"	"Ramashish Yadav"	"Md. Shabbir"	"Shaligram Yadav"	"Sanjay Paswan"	"Md.
Nezamuddi n Neshat"	"Rakseh
Kumar Pathak"	"Hiralal Sah"	""	""	""	""
"254"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"255"	"ROUND NO.-13"	"B.F."	"7832"	"19863"	"15842"	"14598"	"23469"	"1791"	"1796"	"917"	"3911"	"90019"	"0"	"90019"	"0"
"256"	""	"158"	"18"	"160"	"14"	"66"	"205"	"15"	"22"	"4"	"20"	"524"	""	"524"	""
"257"	""	"159"	"12"	"96"	"15"	"13"	"350"	"20"	"31"	"5"	"17"	"559"	""	"559"	""
"258"	""	"160"	"8"	"70"	"14"	"154"	"88"	"4"	"15"	"8"	"5"	"366"	""	"366"	""
"259"	""	"160A"	"14"	"120"	"91"	"47"	"179"	"9"	"7"	"5"	"3"	"475"	""	"475"	""
"260"	""	"161"	"7"	"155"	"54"	"202"	"160"	"7"	"11"	"7"	"11"	"614"	""	"614"	""
"261"	""	"162"	"18"	"137"	"25"	"60"	"158"	"13"	"16"	"8"	"18"	"453"	""	"453"	""
"262"	""	"162A"	"4"	"89"	"13"	"48"	"82"	"8"	"7"	"6"	"17"	"274"	""	"274"	""
"263"	""	"163"	"34"	"45"	"373"	"59"	"168"	"20"	"8"	"3"	"57"	"767"	""	"767"	""
"264"	""	"164"	"24"	"21"	"39"	"15"	"202"	"12"	"15"	"5"	"44"	"377"	""	"377"	""
"265"	""	"165"	"54"	"24"	"46"	"20"	"262"	"20"	"21"	"3"	"37"	"487"	""	"487"	""
"266"	""	"166"	"31"	"21"	"350"	"19"	"199"	"14"	"20"	"6"	"21"	"681"	""	"681"	""
"267"	""	"167"	"52"	"121"	"55"	"91"	"115"	"4"	"11"	"3"	"9"	"461"	""	"461"	""
"268"	""	"168"	"24"	"81"	"14"	"119"	"157"	"7"	"12"	"9"	"70"	"493"	""	"493"	""
"269"	""	"169"	"10"	"86"	"53"	"65"	"163"	"13"	"6"	"7"	"9"	"412"	""	"412"	""
"270"	""	"Total RN
-13"	"310"	"1226"	"1156"	"978"	"2488"	"166"	"202"	"79"	"338"	"6943"	"0"	"6943"	"0"
"271"	"Name of the Assembly  Segment  :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"272"	""	""	""	""	""	""	""	"218929 + 54 = 218983
31-Harlakhi"	""	""	""	""	""	""	""
"273"	"ROUND NO."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"274"	""	""	"Basant Kumar"	"Ram
Naresh Pandey"	"Ramashish Yadav"	"Md. Shabbir"	"Shaligram Yadav"	"Sanjay Paswan"	"Md.
Nezamuddi n Neshat"	"Rakseh
Kumar Pathak"	"Hiralal Sah"	""	""	""	""
"275"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"276"	"ROUND NO.-14"	"B.F."	"8142"	"21089"	"16998"	"15576"	"25957"	"1957"	"1998"	"996"	"4249"	"96962"	"0"	"96962"	"0"
"277"	""	"170"	"20"	"55"	"17"	"85"	"158"	"30"	"15"	"55"	"10"	"445"	""	"445"	""
"278"	""	"171"	"12"	"75"	"14"	"71"	"113"	"2"	"8"	"39"	"3"	"337"	""	"337"	""
"279"	""	"172"	"39"	"43"	"191"	"15"	"89"	"10"	"12"	"11"	"31"	"441"	""	"441"	""
"280"	""	"173"	"61"	"50"	"340"	"30"	"72"	"15"	"16"	"4"	"34"	"622"	""	"622"	""
"281"	""	"174"	"0"	"43"	"59"	"50"	"10"	"2"	"7"	"2"	"5"	"178"	""	"178"	""
"282"	""	"175"	"14"	"57"	"212"	"75"	"53"	"10"	"16"	"7"	"32"	"476"	""	"476"	""
"283"	""	"176"	"19"	"7"	"63"	"128"	"17"	"3"	"6"	"3"	"4"	"250"	""	"250"	""
"284"	""	"177"	"5"	"14"	"30"	"83"	"17"	"7"	"85"	"5"	"5"	"251"	""	"251"	""
"285"	""	"178"	"7"	"6"	"106"	"162"	"20"	"4"	"5"	"1"	"2"	"313"	""	"313"	""
"286"	""	"178A"	"5"	"14"	"160"	"79"	"49"	"6"	"7"	"0"	"4"	"324"	""	"324"	""
"287"	""	"179"	"10"	"51"	"143"	"41"	"77"	"7"	"11"	"5"	"19"	"364"	""	"364"	""
"288"	""	"180"	"5"	"28"	"108"	"106"	"22"	"2"	"1"	"0"	"1"	"273"	""	"273"	""
"289"	""	"181"	"6"	"115"	"36"	"38"	"192"	"12"	"13"	"3"	"14"	"429"	""	"429"	""
"290"	""	"182"	"10"	"118"	"89"	"17"	"165"	"9"	"11"	"6"	"19"	"444"	""	"444"	""
"291"	""	"Total RN
-14"	"213"	"676"	"1568"	"980"	"1054"	"119"	"213"	"141"	"183"	"5147"	"0"	"5147"	"0"
"292"	"Name of the Assembly  Segment  :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"293"	""	""	""	""	""	""	""	"218929 + 54 = 218983
31-Harlakhi"	""	""	""	""	""	""	""
"294"	"ROUND NO."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"295"	""	""	"Basant Kumar"	"Ram
Naresh Pandey"	"Ramashish Yadav"	"Md. Shabbir"	"Shaligram Yadav"	"Sanjay Paswan"	"Md.
Nezamuddi n Neshat"	"Rakseh
Kumar Pathak"	"Hiralal Sah"	""	""	""	""
"296"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"297"	"ROUND NO.-15"	"B.F."	"8355"	"21765"	"18566"	"16556"	"27011"	"2076"	"2211"	"1137"	"4432"	"102109"	"0"	"102109"	"0"
"298"	""	"183"	"21"	"84"	"78"	"30"	"535"	"28"	"46"	"20"	"35"	"877"	""	"877"	""
"299"	""	"184"	"7"	"43"	"191"	"92"	"81"	"4"	"5"	"2"	"7"	"432"	""	"432"	""
"300"	""	"185"	"31"	"50"	"146"	"155"	"134"	"13"	"19"	"15"	"26"	"589"	""	"589"	""
"301"	""	"186"	"9"	"29"	"39"	"73"	"225"	"23"	"19"	"1"	"26"	"444"	""	"444"	""
"302"	""	"187"	"131"	"107"	"42"	"29"	"252"	"7"	"11"	"6"	"26"	"611"	""	"611"	""
"303"	""	"188"	"45"	"46"	"265"	"44"	"42"	"11"	"7"	"3"	"29"	"492"	""	"492"	""
"304"	""	"189"	"13"	"97"	"238"	"35"	"87"	"6"	"9"	"3"	"27"	"515"	""	"515"	""
"305"	""	"190"	"12"	"53"	"202"	"21"	"105"	"5"	"6"	"0"	"10"	"414"	""	"414"	""
"306"	""	"191"	"12"	"208"	"15"	"59"	"44"	"5"	"7"	"1"	"10"	"361"	""	"361"	""
"307"	""	"192"	"6"	"108"	"116"	"40"	"102"	"6"	"6"	"0"	"21"	"405"	""	"405"	""
"308"	""	"193"	"24"	"122"	"16"	"76"	"159"	"8"	"19"	"6"	"12"	"442"	""	"442"	""
"309"	""	"194"	"9"	"94"	"190"	"43"	"241"	"16"	"24"	"11"	"32"	"660"	""	"660"	""
"310"	""	"195"	"11"	"126"	"26"	"201"	"96"	"13"	"9"	"1"	"5"	"488"	""	"488"	""
"311"	""	"196"	"15"	"164"	"16"	"207"	"162"	"9"	"15"	"9"	"17"	"614"	""	"614"	""
"312"	""	"Total RN
-15"	"346"	"1331"	"1580"	"1105"	"2265"	"154"	"202"	"78"	"283"	"7344"	"0"	"7344"	"0"
"313"	"Name of the Assembly  Segment  :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"314"	""	""	""	""	""	""	""	"218929 + 54 = 218983
31-Harlakhi"	""	""	""	""	""	""	""
"315"	"ROUND NO."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"316"	""	""	"Basant Kumar"	"Ram
Naresh Pandey"	"Ramashish Yadav"	"Md. Shabbir"	"Shaligram Yadav"	"Sanjay Paswan"	"Md.
Nezamuddi n Neshat"	"Rakseh
Kumar Pathak"	"Hiralal Sah"	""	""	""	""
"317"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"318"	"ROUND NO.-16"	"B.F."	"8701"	"23096"	"20146"	"17661"	"29276"	"2230"	"2413"	"1215"	"4715"	"109453"	"0"	"109453"	"0"
"319"	""	"197"	"8"	"129"	"25"	"32"	"147"	"5"	"8"	"3"	"5"	"362"	""	"362"	""
"320"	""	"198"	"2"	"74"	"19"	"81"	"95"	"4"	"2"	"1"	"5"	"283"	""	"283"	""
"321"	""	"199"	"4"	"27"	"90"	"128"	"121"	"5"	"4"	"4"	"4"	"387"	""	"387"	""
"322"	""	"199A"	"3"	"15"	"69"	"12"	"234"	"8"	"16"	"1"	"4"	"362"	""	"362"	""
"323"	""	"200"	"10"	"139"	"48"	"26"	"184"	"13"	"17"	"7"	"12"	"456"	""	"456"	""
"324"	""	"201"	"12"	"53"	"107"	"65"	"131"	"9"	"11"	"3"	"10"	"401"	""	"401"	""
"325"	""	"202"	"8"	"89"	"63"	"271"	"91"	"9"	"9"	"4"	"29"	"573"	""	"573"	""
"326"	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"327"	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"328"	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"329"	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"330"	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"331"	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"332"	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"333"	""	"Total RN
-16"	"47"	"526"	"421"	"615"	"1003"	"53"	"67"	"23"	"69"	"2824"	"0"	"2824"	"0"
"334"	"Name of the Assembly  Segment  :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"335"	""	""	""	""	""	""	""	"218929 + 54 = 218983
31-Harlakhi"	""	""	""	""	""	""	""
"336"	"ROUND NO."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"337"	""	""	"Basant Kumar"	"Ram
Naresh Pandey"	"Ramashish Yadav"	"Md. Shabbir"	"Shaligram Yadav"	"Sanjay Paswan"	"Md.
Nezamuddi n Neshat"	"Rakseh
Kumar Pathak"	"Hiralal Sah"	""	""	""	""
"338"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"339"	"Total No. of votes recorded at Polling stations"	""	"8748"	"23622"	"20567"	"18276"	"30279"	"2283"	"2480"	"1238"	"4784"	"112277"	"0"	"112277"	"0"
"340"	"No. of Votes recorded on postal ballot papers"	""	"0"	"0"	"5"	"0"	"2"	"0"	"0"	"0"	"0"	"7"	"1"	"8"	""
"341"	"TOTAL VOTES POLLED"	""	"8748"	"23622"	"20572"	"18276"	"30281"	"2283"	"2480"	"1238"	"4784"	"112284"	"1"	"112285"	"0"
"342"	"Name of the Assembly  Segment  :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"343"	""	""	""	""	""	""	""	"218929 + 54 = 218983
31-Harlakhi"	""	""	""	""	""	""	""
"344"	"ROUND NO."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"345"	""	""	"Basant Kumar"	"Ram
Naresh Pandey"	"Ramashish Yadav"	"Md. Shabbir"	"Shaligram Yadav"	"Sanjay Paswan"	"Md.
Nezamuddi n Neshat"	"Rakseh
Kumar Pathak"	"Hiralal Sah"	""	""	""	""
"346"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"347"	"ROUND WISE TOTAL VOTES POLLED"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"348"	"Total RN -1"	""	"400"	"1381"	"1076"	"2339"	"1835"	"143"	"120"	"93"	"532"	"7919"	"0"	"7919"	"0"
"349"	"Total RN -2"	""	"717"	"864"	"1980"	"1176"	"1798"	"198"	"126"	"92"	"287"	"7238"	"0"	"7238"	"0"
"350"	"Total RN -3"	""	"706"	"764"	"2031"	"1360"	"2320"	"127"	"130"	"70"	"241"	"7749"	"0"	"7749"	"0"
"351"	"Total RN -4"	""	"1650"	"1113"	"1236"	"785"	"1613"	"106"	"101"	"66"	"356"	"7026"	"0"	"7026"	"0"
"352"	"Total RN -5"	""	"328"	"1862"	"1104"	"524"	"1715"	"102"	"104"	"41"	"191"	"5971"	"0"	"5971"	"0"
"353"	"Total RN -6"	""	"346"	"2678"	"1105"	"1200"	"1784"	"167"	"152"	"82"	"282"	"7796"	"0"	"7796"	"0"
"354"	"Total RN -7"	""	"631"	"1051"	"1254"	"1585"	"2249"	"207"	"212"	"94"	"319"	"7602"	"0"	"7602"	"0"
"355"	"Total RN -8"	""	"314"	"1223"	"1699"	"1877"	"1863"	"131"	"168"	"63"	"647"	"7985"	"0"	"7985"	"0"
"356"	"Total RN -9"	""	"860"	"2212"	"685"	"1029"	"2609"	"161"	"189"	"85"	"197"	"8027"	"0"	"8027"	"0"
"357"	"Total RN -10"	""	"500"	"1722"	"1418"	"962"	"2109"	"188"	"218"	"99"	"369"	"7585"	"0"	"7585"	"0"
"358"	"Total RN -11"	""	"1029"	"1875"	"1225"	"925"	"1529"	"120"	"106"	"70"	"174"	"7053"	"0"	"7053"	"0"
"359"	"Total RN -12"	""	"351"	"3118"	"1029"	"836"	"2045"	"141"	"170"	"62"	"316"	"8068"	"0"	"8068"	"0"
"360"	"Total RN -13"	""	"310"	"1226"	"1156"	"978"	"2488"	"166"	"202"	"79"	"338"	"6943"	"0"	"6943"	"0"
"361"	"Total RN -14"	""	"213"	"676"	"1568"	"980"	"1054"	"119"	"213"	"141"	"183"	"5147"	"0"	"5147"	"0"
"362"	"Total RN -15"	""	"346"	"1331"	"1580"	"1105"	"2265"	"154"	"202"	"78"	"283"	"7344"	"0"	"7344"	"0"
"363"	"Total RN -16"	""	"47"	"526"	"421"	"615"	"1003"	"53"	"67"	"23"	"69"	"2824"	"0"	"2824"	"0"
"364"	"Name of the Assembly  Segment  :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"365"	""	""	""	""	""	""	""	"218929 + 54 = 218983
31-Harlakhi"	""	""	""	""	""	""	""
"366"	"ROUND NO."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"367"	""	""	"Basant Kumar"	"Ram
Naresh Pandey"	"Ramashish Yadav"	"Md. Shabbir"	"Shaligram Yadav"	"Sanjay Paswan"	"Md.
Nezamuddi n Neshat"	"Rakseh
Kumar Pathak"	"Hiralal Sah"	""	""	""	""
"368"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"369"	"TOTAL OF RN
NO. -1 TO 17"	""	"8748"	"23622"	"20567"	"18276"	"30279"	"2283"	"2480"	"1238"	"4784"	"112277"	"0"	"112277"	"0"
"370"	"No. of Votes recorded on postal ballot papers"	""	"0"	"0"	"5"	"0"	"2"	"0"	"0"	"0"	"0"	"7"	"1"	"8"	""
"371"	"TOTAL VOTES POLLED"	""	"8748"	"23622"	"20572"	"18276"	"30281"	"2283"	"2480"	"1238"	"4784"	"112284"	"1"	"112285"	"0"
"372"	"Name of the Assembly  Segment  :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
