"Total.No..of.Electors.in.Assembly.Constituency........199458"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"09- Sikta Legislative Assembly Constituency (Round - 1)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Station No."	"AYUB ANSARI"	"IRSHAD SHEIKH"	"KHURSHID URF FIROJ AHAMAD"	"GHANSHY AM PRASAD"	"FAIYAZUL AZAM"	"MAMOOR ALAM"	"VIRENDRA PRASAD GUPTA"	"SHAKIL AHAMAD"	"SHAMS PERWAIZ"	"SATYANIS H PANDEY"	"SURYA DEO PRASAD"	"EZAZ AHAMAD"	"KRISHNA PRASAD"	"DILIP VARMA"	"PRABHU SHARAN PRASAD URF MUNNAJI"	"BALIRAM PRASAD"	"YADAV SINGH"	"SABBIR AHAMAD"	"Total No.     of actual Votes"	"Total No.   of rejecte d Votes"	"Total"	"No.   of Tender ed Votes"	""
"133"	"70"	"2"	"0"	"91"	"27"	"4"	"0"	"8"	"1"	"1"	"3"	"6"	"0"	"4"	"431"	"6"	"7"	"0"	"1"	"592"	"0"	"592"	"0"	""
"134"	"71"	"6"	"1"	"368"	"8"	"23"	"3"	"2"	"4"	"0"	"0"	"8"	"0"	"4"	"123"	"9"	"3"	"0"	"1"	"563"	"0"	"563"	"0"	""
"135"	"72"	"6"	"5"	"263"	"18"	"13"	"1"	"9"	"2"	"3"	"1"	"6"	"2"	"5"	"226"	"35"	"7"	"2"	"0"	"604"	"0"	"604"	"0"	""
"136"	"73"	"2"	"2"	"91"	"9"	"1"	"0"	"44"	"2"	"1"	"5"	"5"	"1"	"14"	"289"	"1"	"10"	"0"	"2"	"479"	"0"	"479"	"0"	""
"137"	"74"	"10"	"5"	"140"	"61"	"7"	"5"	"136"	"5"	"5"	"4"	"10"	"4"	"13"	"427"	"12"	"15"	"13"	"6"	"878"	"0"	"878"	"0"	""
"138"	"75"	"5"	"3"	"72"	"50"	"9"	"3"	"268"	"7"	"5"	"4"	"3"	"4"	"9"	"210"	"7"	"4"	"6"	"4"	"673"	"0"	"673"	"0"	""
"139"	"76"	"9"	"1"	"88"	"147"	"6"	"2"	"10"	"1"	"0"	"2"	"15"	"2"	"13"	"253"	"5"	"2"	"1"	"0"	"557"	"0"	"557"	"0"	""
"140"	"77"	"0"	"2"	"54"	"46"	"4"	"5"	"20"	"1"	"7"	"5"	"2"	"4"	"52"	"276"	"13"	"8"	"3"	"2"	"504"	"0"	"504"	"0"	""
"141"	"78"	"7"	"1"	"149"	"22"	"1"	"6"	"61"	"8"	"6"	"4"	"4"	"5"	"20"	"384"	"1"	"9"	"1"	"2"	"691"	"0"	"691"	"0"	""
"142"	"79"	"3"	"2"	"106"	"19"	"4"	"3"	"116"	"2"	"1"	"1"	"1"	"4"	"48"	"253"	"3"	"1"	"2"	"2"	"571"	"0"	"571"	"0"	""
"143"	"80"	"1"	"1"	"146"	"76"	"21"	"4"	"12"	"0"	"3"	"3"	"1"	"5"	"14"	"262"	"6"	"5"	"0"	"0"	"560"	"0"	"560"	"0"	""
"144"	"81"	"1"	"0"	"21"	"35"	"1"	"0"	"5"	"0"	"2"	"0"	"1"	"0"	"8"	"195"	"1"	"1"	"4"	"1"	"276"	"0"	"276"	"0"	""
"145"	"82"	"2"	"2"	"20"	"31"	"6"	"1"	"27"	"0"	"1"	"0"	"0"	"1"	"5"	"198"	"1"	"4"	"0"	"1"	"300"	"0"	"300"	"0"	""
"146"	"Total"	"60"	"30"	"1795"	"593"	"105"	"37"	"892"	"35"	"40"	"34"	"67"	"33"	"214"	"3857"	"104"	"77"	"32"	"25"	"8030"	"0"	"8030"	"0"	""
"147"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"09- Sikta Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"Total No. of Electors in Assembly Constituency -      199458"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"09- Sikta Legislative Assembly Constituency (Round - 7)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"Polling Station No."	"AYUB ANSARI"	"IRSHAD SHEIKH"	"KHURSHID URF FIROJ AHAMAD"	"GHANSHY AM PRASAD"	"FAIYAZUL AZAM"	"MAMOOR ALAM"	"VIRENDRA PRASAD GUPTA"	"SHAKIL AHAMAD"	"SHAMS PERWAIZ"	"SATYANIS H PANDEY"	"SURYA DEO PRASAD"	"EZAZ AHAMAD"	"KRISHNA PRASAD"	"DILIP VARMA"	"PRABHU SHARAN PRASAD URF
MUNNAJI"	"BALIRAM PRASAD"	"YADAV SINGH"	"SABBIR AHAMAD"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"156"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"157"	"83"	"0"	"2"	"107"	"16"	"3"	"1"	"6"	"3"	"2"	"3"	"4"	"8"	"14"	"260"	"2"	"20"	"1"	"7"	"459"	"0"	"459"	"0"	""
"158"	"84"	"3"	"0"	"52"	"47"	"2"	"3"	"11"	"2"	"5"	"1"	"1"	"7"	"16"	"379"	"11"	"18"	"3"	"2"	"563"	"0"	"563"	"0"	""
"159"	"85"	"7"	"4"	"280"	"93"	"8"	"9"	"10"	"1"	"2"	"9"	"7"	"8"	"31"	"341"	"13"	"18"	"3"	"1"	"845"	"0"	"845"	"0"	""
"160"	"86"	"6"	"1"	"172"	"106"	"12"	"2"	"9"	"1"	"30"	"0"	"3"	"3"	"7"	"88"	"36"	"3"	"5"	"0"	"484"	"0"	"484"	"0"	""
"161"	"87"	"7"	"3"	"300"	"31"	"7"	"2"	"6"	"0"	"2"	"1"	"2"	"5"	"12"	"110"	"1"	"0"	"2"	"3"	"494"	"0"	"494"	"0"	""
"162"	"88"	"6"	"1"	"127"	"193"	"9"	"2"	"4"	"3"	"1"	"2"	"3"	"8"	"31"	"147"	"8"	"15"	"4"	"9"	"573"	"0"	"573"	"0"	""
"163"	"89"	"6"	"0"	"92"	"366"	"2"	"2"	"2"	"1"	"0"	"2"	"3"	"3"	"14"	"33"	"6"	"1"	"3"	"5"	"541"	"0"	"541"	"0"	""
"164"	"89 A"	"2"	"0"	"88"	"234"	"3"	"2"	"3"	"5"	"0"	"3"	"2"	"5"	"16"	"18"	"11"	"6"	"2"	"9"	"409"	"0"	"409"	"0"	""
"165"	"90"	"3"	"0"	"93"	"195"	"5"	"3"	"6"	"4"	"0"	"2"	"3"	"1"	"19"	"249"	"7"	"1"	"0"	"0"	"591"	"0"	"591"	"0"	""
"166"	"91"	"5"	"0"	"23"	"106"	"4"	"3"	"5"	"2"	"0"	"0"	"3"	"2"	"15"	"211"	"31"	"22"	"3"	"0"	"435"	"0"	"435"	"0"	""
"167"	"92"	"3"	"1"	"85"	"13"	"3"	"2"	"15"	"2"	"2"	"1"	"1"	"2"	"9"	"292"	"4"	"2"	"2"	"6"	"445"	"0"	"445"	"0"	""
"168"	"93"	"4"	"4"	"174"	"91"	"6"	"3"	"56"	"3"	"2"	"0"	"4"	"1"	"7"	"272"	"9"	"4"	"2"	"0"	"642"	"0"	"642"	"0"	""
"169"	"94"	"7"	"6"	"149"	"40"	"5"	"6"	"37"	"1"	"2"	"3"	"7"	"9"	"22"	"261"	"169"	"8"	"15"	"6"	"753"	"0"	"753"	"0"	""
"170"	"95"	"2"	"3"	"119"	"51"	"7"	"8"	"167"	"12"	"6"	"7"	"7"	"10"	"26"	"113"	"20"	"8"	"1"	"4"	"571"	"0"	"571"	"0"	""
"171"	"Total"	"61"	"25"	"1861"	"1582"	"76"	"48"	"337"	"40"	"54"	"34"	"50"	"72"	"239"	"2774"	"328"	"126"	"46"	"52"	"7805"	"0"	"7805"	"0"	""
"172"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"09- Sikta Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"Total No. of Electors in Assembly Constituency -      199458"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"09- Sikta Legislative Assembly Constituency (Round - 8)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"Polling Station No."	"AYUB ANSARI"	"IRSHAD SHEIKH"	"KHURSHID URF FIROJ AHAMAD"	"GHANSHY AM PRASAD"	"FAIYAZUL AZAM"	"MAMOOR ALAM"	"VIRENDRA PRASAD GUPTA"	"SHAKIL AHAMAD"	"SHAMS PERWAIZ"	"SATYANIS H PANDEY"	"SURYA DEO PRASAD"	"EZAZ AHAMAD"	"KRISHNA PRASAD"	"DILIP VARMA"	"PRABHU SHARAN PRASAD URF
MUNNAJI"	"BALIRAM PRASAD"	"YADAV SINGH"	"SABBIR AHAMAD"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"181"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"182"	"96"	"5"	"1"	"105"	"42"	"8"	"3"	"6"	"3"	"5"	"1"	"3"	"3"	"7"	"219"	"356"	"14"	"3"	"2"	"786"	"0"	"786"	"0"	""
"183"	"97"	"3"	"1"	"253"	"20"	"14"	"6"	"6"	"0"	"5"	"0"	"3"	"4"	"8"	"186"	"3"	"5"	"0"	"5"	"522"	"0"	"522"	"0"	""
"184"	"98"	"8"	"4"	"103"	"171"	"1"	"5"	"6"	"4"	"2"	"4"	"2"	"4"	"38"	"274"	"11"	"3"	"0"	"3"	"643"	"0"	"643"	"0"	""
"185"	"99"	"1"	"2"	"200"	"12"	"20"	"4"	"14"	"1"	"1"	"1"	"4"	"4"	"14"	"51"	"4"	"9"	"0"	"46"	"388"	"0"	"388"	"0"	""
"186"	"99 A"	"0"	"2"	"246"	"14"	"22"	"0"	"3"	"1"	"9"	"1"	"3"	"0"	"12"	"49"	"1"	"1"	"1"	"38"	"403"	"0"	"403"	"0"	""
"187"	"100"	"1"	"2"	"163"	"17"	"7"	"1"	"14"	"1"	"4"	"4"	"3"	"7"	"14"	"233"	"5"	"11"	"2"	"2"	"491"	"0"	"491"	"0"	""
"188"	"100 A"	"0"	"0"	"171"	"21"	"2"	"1"	"7"	"1"	"0"	"2"	"1"	"0"	"4"	"250"	"1"	"6"	"0"	"1"	"468"	"0"	"468"	"0"	""
"189"	"101"	"7"	"4"	"307"	"10"	"8"	"2"	"6"	"0"	"0"	"1"	"0"	"1"	"4"	"154"	"2"	"0"	"4"	"4"	"514"	"0"	"514"	"0"	""
"190"	"102"	"2"	"1"	"253"	"30"	"3"	"3"	"6"	"2"	"3"	"0"	"1"	"3"	"5"	"93"	"3"	"6"	"0"	"1"	"415"	"0"	"415"	"0"	""
"191"	"103"	"4"	"3"	"217"	"9"	"6"	"1"	"6"	"3"	"5"	"5"	"2"	"3"	"15"	"173"	"2"	"7"	"12"	"9"	"482"	"0"	"482"	"0"	""
"192"	"104"	"4"	"1"	"229"	"123"	"5"	"0"	"12"	"1"	"1"	"2"	"4"	"3"	"56"	"281"	"4"	"8"	"0"	"0"	"734"	"0"	"734"	"0"	""
"193"	"105"	"6"	"1"	"337"	"26"	"22"	"3"	"9"	"3"	"5"	"4"	"11"	"2"	"28"	"233"	"6"	"23"	"3"	"10"	"732"	"0"	"732"	"0"	""
"194"	"106"	"2"	"1"	"113"	"23"	"5"	"0"	"4"	"2"	"4"	"3"	"4"	"1"	"49"	"160"	"7"	"4"	"0"	"1"	"383"	"0"	"383"	"0"	""
"195"	"107"	"8"	"2"	"234"	"72"	"6"	"3"	"27"	"3"	"5"	"9"	"14"	"10"	"133"	"149"	"13"	"30"	"3"	"1"	"722"	"0"	"722"	"0"	""
"196"	"Total"	"51"	"25"	"2931"	"590"	"129"	"32"	"126"	"25"	"49"	"37"	"55"	"45"	"387"	"2505"	"418"	"127"	"28"	"123"	"7683"	"0"	"7683"	"0"	""
"197"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"09- Sikta Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Total No. of Electors in Assembly Constituency -      199458"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"09- Sikta Legislative Assembly Constituency (Round - 9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"Polling Station No."	"AYUB ANSARI"	"IRSHAD SHEIKH"	"KHURSHID URF FIROJ AHAMAD"	"GHANSHY AM PRASAD"	"FAIYAZUL AZAM"	"MAMOOR ALAM"	"VIRENDRA PRASAD GUPTA"	"SHAKIL AHAMAD"	"SHAMS PERWAIZ"	"SATYANIS H PANDEY"	"SURYA DEO PRASAD"	"EZAZ AHAMAD"	"KRISHNA PRASAD"	"DILIP VARMA"	"PRABHU SHARAN PRASAD URF
MUNNAJI"	"BALIRAM PRASAD"	"YADAV SINGH"	"SABBIR AHAMAD"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"206"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"207"	"108"	"8"	"2"	"200"	"46"	"16"	"8"	"19"	"0"	"2"	"2"	"3"	"3"	"18"	"203"	"1"	"2"	"3"	"2"	"538"	"0"	"538"	"0"	""
"208"	"109"	"3"	"4"	"119"	"111"	"21"	"5"	"13"	"2"	"3"	"1"	"8"	"6"	"35"	"156"	"14"	"12"	"6"	"4"	"523"	"0"	"523"	"0"	""
"209"	"110"	"7"	"2"	"140"	"135"	"151"	"9"	"7"	"1"	"5"	"9"	"20"	"1"	"23"	"103"	"3"	"2"	"4"	"1"	"623"	"0"	"623"	"0"	""
"210"	"111"	"3"	"3"	"307"	"72"	"30"	"1"	"6"	"1"	"2"	"2"	"8"	"1"	"11"	"121"	"5"	"3"	"7"	"3"	"586"	"0"	"586"	"0"	""
"211"	"112"	"3"	"2"	"376"	"6"	"8"	"0"	"2"	"1"	"3"	"0"	"1"	"1"	"2"	"28"	"2"	"0"	"4"	"1"	"440"	"0"	"440"	"0"	""
"212"	"113"	"33"	"2"	"280"	"31"	"3"	"3"	"13"	"2"	"7"	"3"	"10"	"6"	"15"	"161"	"8"	"19"	"4"	"0"	"600"	"0"	"600"	"0"	""
"213"	"114"	"7"	"3"	"199"	"9"	"6"	"6"	"14"	"3"	"0"	"5"	"4"	"8"	"42"	"384"	"4"	"7"	"8"	"2"	"711"	"0"	"711"	"0"	""
"214"	"115"	"9"	"3"	"131"	"40"	"5"	"9"	"41"	"5"	"7"	"3"	"4"	"8"	"17"	"245"	"11"	"8"	"14"	"15"	"575"	"0"	"575"	"0"	""
"215"	"116"	"1"	"0"	"110"	"47"	"6"	"3"	"11"	"1"	"0"	"2"	"4"	"5"	"41"	"433"	"14"	"20"	"1"	"7"	"706"	"0"	"706"	"0"	""
"216"	"117"	"3"	"0"	"300"	"17"	"8"	"5"	"9"	"4"	"3"	"4"	"5"	"3"	"16"	"236"	"4"	"8"	"0"	"7"	"632"	"0"	"632"	"0"	""
"217"	"118"	"4"	"4"	"548"	"17"	"5"	"2"	"3"	"1"	"2"	"1"	"2"	"0"	"2"	"38"	"4"	"2"	"0"	"2"	"637"	"0"	"637"	"0"	""
"218"	"119"	"6"	"3"	"252"	"27"	"5"	"3"	"9"	"3"	"1"	"8"	"3"	"4"	"5"	"336"	"5"	"4"	"7"	"6"	"687"	"0"	"687"	"0"	""
"219"	"120"	"4"	"2"	"95"	"27"	"3"	"4"	"24"	"3"	"5"	"24"	"10"	"7"	"72"	"402"	"6"	"11"	"2"	"1"	"702"	"0"	"702"	"0"	""
"220"	"121"	"6"	"2"	"299"	"27"	"3"	"6"	"22"	"2"	"0"	"4"	"3"	"3"	"16"	"221"	"11"	"4"	"6"	"4"	"639"	"0"	"639"	"0"	""
"221"	"Total"	"97"	"32"	"3356"	"612"	"270"	"64"	"193"	"29"	"40"	"68"	"85"	"56"	"315"	"3067"	"92"	"102"	"66"	"55"	"8599"	"0"	"8599"	"0"	""
"222"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"09- Sikta Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"Total No. of Electors in Assembly Constituency -      199458"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"09- Sikta Legislative Assembly Constituency (Round - 10)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"Polling Station No."	"AYUB ANSARI"	"IRSHAD SHEIKH"	"KHURSHID URF FIROJ AHAMAD"	"GHANSHY AM PRASAD"	"FAIYAZUL AZAM"	"MAMOOR ALAM"	"VIRENDRA PRASAD GUPTA"	"SHAKIL AHAMAD"	"SHAMS PERWAIZ"	"SATYANIS H PANDEY"	"SURYA DEO PRASAD"	"EZAZ AHAMAD"	"KRISHNA PRASAD"	"DILIP VARMA"	"PRABHU SHARAN PRASAD URF
MUNNAJI"	"BALIRAM PRASAD"	"YADAV SINGH"	"SABBIR AHAMAD"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"231"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"232"	"122"	"44"	"4"	"148"	"62"	"4"	"2"	"8"	"1"	"3"	"2"	"6"	"6"	"16"	"321"	"11"	"20"	"2"	"5"	"665"	"0"	"665"	"0"	""
"233"	"123"	"2"	"1"	"297"	"2"	"4"	"6"	"6"	"17"	"1"	"1"	"0"	"0"	"5"	"49"	"2"	"4"	"1"	"4"	"402"	"0"	"402"	"0"	""
"234"	"124"	"3"	"2"	"139"	"16"	"1"	"1"	"8"	"5"	"1"	"0"	"1"	"4"	"25"	"322"	"3"	"1"	"6"	"2"	"540"	"0"	"540"	"0"	""
"235"	"125"	"6"	"0"	"123"	"83"	"5"	"6"	"17"	"2"	"0"	"3"	"6"	"18"	"21"	"327"	"4"	"5"	"0"	"0"	"626"	"0"	"626"	"0"	""
"236"	"126"	"3"	"7"	"49"	"66"	"8"	"1"	"48"	"3"	"2"	"2"	"1"	"5"	"20"	"210"	"9"	"4"	"4"	"1"	"443"	"0"	"443"	"0"	""
"237"	"127"	"5"	"2"	"254"	"11"	"17"	"3"	"4"	"1"	"6"	"1"	"3"	"2"	"8"	"95"	"2"	"3"	"0"	"4"	"421"	"0"	"421"	"0"	""
"238"	"128"	"4"	"0"	"105"	"41"	"3"	"6"	"15"	"0"	"6"	"13"	"1"	"2"	"17"	"303"	"3"	"3"	"0"	"2"	"524"	"0"	"524"	"0"	""
"239"	"129"	"8"	"13"	"345"	"29"	"17"	"3"	"27"	"5"	"6"	"8"	"9"	"7"	"24"	"280"	"4"	"7"	"3"	"4"	"799"	"0"	"799"	"0"	""
"240"	"130"	"1"	"3"	"387"	"33"	"10"	"2"	"11"	"1"	"3"	"6"	"9"	"5"	"26"	"139"	"7"	"30"	"3"	"5"	"681"	"0"	"681"	"0"	""
"241"	"131"	"3"	"3"	"184"	"5"	"4"	"2"	"5"	"3"	"29"	"3"	"0"	"2"	"9"	"247"	"2"	"13"	"1"	"2"	"517"	"0"	"517"	"0"	""
"242"	"132"	"2"	"0"	"84"	"12"	"2"	"1"	"3"	"1"	"2"	"0"	"0"	"2"	"3"	"318"	"2"	"1"	"1"	"0"	"434"	"0"	"434"	"0"	""
"243"	"133"	"3"	"1"	"260"	"50"	"9"	"1"	"16"	"2"	"0"	"2"	"4"	"2"	"19"	"131"	"5"	"0"	"0"	"1"	"506"	"0"	"506"	"0"	""
"244"	"134"	"6"	"2"	"336"	"78"	"9"	"4"	"5"	"0"	"5"	"0"	"2"	"2"	"34"	"125"	"5"	"2"	"0"	"0"	"615"	"0"	"615"	"0"	""
"245"	"135"	"5"	"1"	"279"	"4"	"7"	"2"	"8"	"1"	"1"	"0"	"2"	"2"	"4"	"215"	"3"	"0"	"0"	"2"	"536"	"0"	"536"	"0"	""
"246"	"Total"	"95"	"39"	"2990"	"492"	"100"	"40"	"181"	"42"	"65"	"41"	"44"	"59"	"231"	"3082"	"62"	"93"	"21"	"32"	"7709"	"0"	"7709"	"0"	""
"247"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"09- Sikta Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"Total No. of Electors in Assembly Constituency -      199458"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"09- Sikta Legislative Assembly Constituency (Round - 11)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"Polling Station No."	"AYUB ANSARI"	"IRSHAD SHEIKH"	"KHURSHID URF FIROJ AHAMAD"	"GHANSHY AM PRASAD"	"FAIYAZUL AZAM"	"MAMOOR ALAM"	"VIRENDRA PRASAD GUPTA"	"SHAKIL AHAMAD"	"SHAMS PERWAIZ"	"SATYANIS H PANDEY"	"SURYA DEO PRASAD"	"EZAZ AHAMAD"	"KRISHNA PRASAD"	"DILIP VARMA"	"PRABHU SHARAN PRASAD URF
MUNNAJI"	"BALIRAM PRASAD"	"YADAV SINGH"	"SABBIR AHAMAD"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"256"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"257"	"136"	"7"	"1"	"246"	"36"	"20"	"6"	"2"	"3"	"1"	"0"	"0"	"1"	"1"	"89"	"1"	"3"	"2"	"2"	"421"	"0"	"421"	"0"	""
"258"	"136 A"	"5"	"4"	"355"	"28"	"3"	"4"	"8"	"1"	"3"	"1"	"2"	"5"	"9"	"120"	"7"	"0"	"2"	"3"	"560"	"0"	"560"	"0"	""
"259"	"137"	"14"	"2"	"272"	"75"	"20"	"4"	"27"	"4"	"1"	"6"	"4"	"6"	"40"	"342"	"6"	"4"	"4"	"2"	"833"	"0"	"833"	"0"	""
"260"	"138"	"2"	"3"	"141"	"51"	"14"	"3"	"3"	"3"	"2"	"6"	"9"	"5"	"19"	"284"	"5"	"3"	"2"	"5"	"560"	"0"	"560"	"0"	""
"261"	"139"	"2"	"3"	"153"	"7"	"1"	"8"	"9"	"3"	"1"	"2"	"5"	"2"	"15"	"333"	"5"	"10"	"8"	"1"	"568"	"0"	"568"	"0"	""
"262"	"140"	"1"	"0"	"104"	"2"	"0"	"1"	"5"	"2"	"0"	"3"	"0"	"0"	"4"	"238"	"1"	"2"	"0"	"1"	"364"	"0"	"364"	"0"	""
"263"	"141"	"4"	"3"	"188"	"16"	"8"	"1"	"6"	"0"	"0"	"0"	"0"	"1"	"18"	"255"	"0"	"0"	"1"	"2"	"503"	"0"	"503"	"0"	""
"264"	"142"	"9"	"3"	"447"	"76"	"2"	"3"	"9"	"1"	"2"	"3"	"11"	"7"	"14"	"259"	"8"	"10"	"4"	"1"	"869"	"0"	"869"	"0"	""
"265"	"143"	"26"	"7"	"221"	"34"	"6"	"7"	"21"	"2"	"4"	"1"	"4"	"2"	"24"	"436"	"6"	"6"	"6"	"3"	"816"	"0"	"816"	"0"	""
"266"	"144"	"12"	"6"	"139"	"110"	"9"	"5"	"8"	"5"	"5"	"7"	"6"	"17"	"53"	"425"	"16"	"29"	"4"	"9"	"865"	"0"	"865"	"0"	""
"267"	"145"	"4"	"2"	"149"	"17"	"2"	"2"	"8"	"1"	"1"	"0"	"4"	"4"	"16"	"246"	"4"	"8"	"2"	"1"	"471"	"0"	"471"	"0"	""
