"Assembly.Constituency...116.TARAIYA"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULTS SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 116 TARAIYA CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"No. of Voters : 213504"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No. of vailed Votes Caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	""	""	"AHAMAD ALI"	"JANAK SINGH"	"TARKESHWAR SINGH"	"PRIYANKA SINGH"	"RAM PRAVESH RAY"	"RANANJAY KUMAR"	"SHEO KUMAR MAHATO"	"SATYENDRA KR. SAHANI"	"CHHOTE LAL YADAV"	"DHARMENDRA RAI"	"PREM KR. SINGH"	"MUDRIKA PRASAD ROY"	"RAM NARAYAN PRASAD YADAV"	"VIRENDRA YADAV"	"SHIV NATH MAHTO"	"TOTAL VALID VOTES"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"136"	"104"	""	"2"	"196"	"44"	"53"	"100"	"1"	"1"	"4"	"1"	"5"	"7"	"86"	"5"	"15"	"12"	"532"	"-----"	"532"	"-----"
"137"	"105"	""	"9"	"92"	"51"	"11"	"51"	"3"	"1"	"3"	"1"	"4"	"6"	"177"	"8"	"6"	"26"	"449"	"-----"	"449"	"-----"
"138"	""	""	"AHAMAD ALI"	"JANAK SINGH"	"TARKESHWAR SINGH"	"PRIYANKA SINGH"	"RAM PRAVESH RAY"	"RANANJAY KUMAR"	"SHEO KUMAR MAHATO"	"SATYENDRA KR. SAHANI"	"CHHOTE LAL YADAV"	"DHARMENDRA RAI"	"PREM KR. SINGH"	"MUDRIKA PRASAD ROY"	"RAM NARAYAN PRASAD YADAV"	"VIRENDRA YADAV"	"SHIV NATH MAHTO"	"TOTAL VALID VOTES"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"139"	"BOOTH_NO"	"BOOTH_EXT"	"CANDI1"	"CANDI2"	"CANDI3"	"CANDI4"	"CANDI5"	"CANDI6"	"CANDI7"	"CANDI8"	"CANDI9"	"CANDI10"	"CANDI11"	"CANDI12"	"CANDI13"	"CANDI14C"	"ANDI1"	"TOTAL"	""	""	""
"140"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"141"	"106"	""	"9"	"143"	"72"	"7"	"43"	"3"	"0"	"1"	"1"	"2"	"2"	"33"	"5"	"3"	"6"	"330"	"-----"	"330"	"-----"
"142"	"107"	""	"13"	"120"	"65"	"12"	"36"	"2"	"3"	"1"	"1"	"6"	"3"	"13"	"8"	"14"	"14"	"311"	"-----"	"311"	"-----"
"143"	"108"	""	"4"	"110"	"84"	"20"	"12"	"2"	"0"	"2"	"0"	"0"	"1"	"56"	"6"	"3"	"12"	"312"	"-----"	"312"	"-----"
"144"	"109"	""	"4"	"65"	"27"	"0"	"8"	"1"	"0"	"1"	"1"	"0"	"1"	"54"	"5"	"8"	"13"	"188"	"-----"	"188"	"-----"
"145"	"110"	""	"29"	"151"	"77"	"34"	"33"	"4"	"5"	"2"	"3"	"8"	"6"	"98"	"13"	"15"	"21"	"499"	"-----"	"499"	"-----"
"146"	"Round 8"	""	"120"	"1515"	"705"	"514"	"458"	"45"	"44"	"71"	"28"	"48"	"67"	"1344"	"127"	"135"	"194"	"5415"	"-----"	"5415"	"-----"
"147"	"Cumulative Votes
after 8th Round"	""	"1684"	"11787"	"13229"	"2319"	"6539"	"594"	"365"	"921"	"347"	"467"	"716"	"7256"	"2437"	"1263"	"1680"	"51604"	"-----"	"51604"	"-----"
"148"	"111"	""	"55"	"36"	"77"	"18"	"52"	"0"	"1"	"3"	"1"	"1"	"4"	"80"	"7"	"5"	"15"	"355"	"-----"	"355"	"-----"
"149"	"112"	""	"13"	"225"	"109"	"27"	"48"	"5"	"5"	"1"	"2"	"7"	"4"	"51"	"9"	"9"	"13"	"528"	"-----"	"528"	"-----"
"150"	"113"	""	"22"	"30"	"105"	"11"	"60"	"3"	"1"	"8"	"6"	"3"	"9"	"308"	"38"	"12"	"22"	"638"	"-----"	"638"	"-----"
"151"	"114"	""	"20"	"114"	"103"	"20"	"22"	"1"	"11"	"4"	"3"	"1"	"7"	"86"	"8"	"8"	"18"	"426"	"-----"	"426"	"-----"
"152"	"115"	""	"14"	"45"	"113"	"8"	"27"	"1"	"2"	"1"	"1"	"1"	"3"	"96"	"5"	"2"	"6"	"325"	"-----"	"325"	"-----"
"153"	"116"	""	"15"	"83"	"48"	"19"	"39"	"3"	"1"	"14"	"1"	"2"	"5"	"71"	"17"	"9"	"15"	"342"	"-----"	"342"	"-----"
"154"	"117"	""	"12"	"62"	"47"	"16"	"105"	"3"	"5"	"9"	"2"	"9"	"9"	"163"	"3"	"7"	"11"	"463"	"-----"	"463"	"-----"
"155"	"118"	""	"3"	"120"	"34"	"32"	"23"	"3"	"1"	"0"	"1"	"1"	"3"	"5"	"0"	"3"	"3"	"232"	"-----"	"232"	"-----"
"156"	"119"	""	"1"	"89"	"5"	"30"	"19"	"2"	"0"	"0"	"2"	"0"	"0"	"8"	"1"	"4"	"2"	"163"	"-----"	"163"	"-----"
"157"	"120"	""	"33"	"85"	"109"	"101"	"42"	"2"	"1"	"3"	"2"	"4"	"5"	"34"	"6"	"6"	"8"	"441"	"-----"	"441"	"-----"
"158"	"121"	""	"12"	"295"	"27"	"17"	"53"	"5"	"1"	"0"	"2"	"3"	"6"	"20"	"6"	"25"	"20"	"492"	"-----"	"492"	"-----"
"159"	"122"	""	"70"	"131"	"12"	"4"	"113"	"1"	"3"	"0"	"0"	"2"	"2"	"46"	"5"	"19"	"17"	"425"	"-----"	"425"	"-----"
"160"	"123"	""	"8"	"192"	"11"	"15"	"7"	"2"	"0"	"1"	"0"	"1"	"0"	"7"	"1"	"6"	"4"	"255"	"-----"	"255"	"-----"
"161"	"124"	""	"2"	"211"	"13"	"0"	"14"	"0"	"1"	"1"	"1"	"0"	"0"	"12"	"0"	"4"	"0"	"259"	"-----"	"259"	"-----"
"162"	"Round 9"	""	"280"	"1718"	"813"	"318"	"624"	"31"	"33"	"45"	"24"	"35"	"57"	"987"	"106"	"119"	"154"	"5344"	"-----"	"5344"	"-----"
"163"	"Cumulative Votes
after 9th Round"	""	"1964"	"13505"	"14042"	"2637"	"7163"	"625"	"398"	"966"	"371"	"502"	"773"	"8243"	"2543"	"1382"	"1834"	"56948"	"-----"	"56948"	"-----"
"164"	"125"	""	"31"	"260"	"56"	"74"	"52"	"5"	"4"	"2"	"7"	"5"	"10"	"41"	"8"	"21"	"25"	"601"	"-----"	"601"	"-----"
"165"	"126"	""	"8"	"10"	"34"	"18"	"6"	"1"	"0"	"2"	"2"	"1"	"4"	"128"	"20"	"6"	"5"	"245"	"-----"	"245"	"-----"
"166"	"127"	""	"2"	"55"	"73"	"32"	"9"	"2"	"3"	"0"	"2"	"6"	"1"	"73"	"9"	"8"	"11"	"286"	"-----"	"286"	"-----"
"167"	"128"	""	"13"	"238"	"10"	"35"	"4"	"3"	"1"	"0"	"1"	"0"	"3"	"24"	"8"	"16"	"22"	"378"	"-----"	"378"	"-----"
"168"	"129"	""	"10"	"53"	"16"	"52"	"46"	"2"	"2"	"3"	"2"	"5"	"8"	"115"	"5"	"4"	"16"	"339"	"-----"	"339"	"-----"
"169"	"130"	""	"28"	"211"	"55"	"27"	"19"	"2"	"58"	"6"	"4"	"4"	"5"	"80"	"10"	"17"	"30"	"556"	"-----"	"556"	"-----"
"170"	"131"	""	"2"	"93"	"24"	"24"	"76"	"3"	"2"	"3"	"3"	"6"	"7"	"102"	"24"	"8"	"15"	"392"	"-----"	"392"	"-----"
"171"	"132"	""	"11"	"99"	"12"	"42"	"6"	"2"	"9"	"4"	"4"	"4"	"4"	"168"	"4"	"5"	"22"	"396"	"-----"	"396"	"-----"
"172"	""	""	"AHAMAD ALI"	"JANAK SINGH"	"TARKESHWAR SINGH"	"PRIYANKA SINGH"	"RAM PRAVESH RAY"	"RANANJAY KUMAR"	"SHEO KUMAR MAHATO"	"SATYENDRA KR. SAHANI"	"CHHOTE LAL YADAV"	"DHARMENDRA RAI"	"PREM KR. SINGH"	"MUDRIKA PRASAD ROY"	"RAM NARAYAN PRASAD YADAV"	"VIRENDRA YADAV"	"SHIV NATH MAHTO"	"TOTAL VALID VOTES"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"173"	"BOOTH_NO"	"BOOTH_EXT"	"CANDI1"	"CANDI2"	"CANDI3"	"CANDI4"	"CANDI5"	"CANDI6"	"CANDI7"	"CANDI8"	"CANDI9"	"CANDI10"	"CANDI11"	"CANDI12"	"CANDI13"	"CANDI14C"	"ANDI1"	"TOTAL"	""	""	""
"174"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"175"	"133"	""	"7"	"95"	"29"	"28"	"29"	"2"	"2"	"8"	"1"	"3"	"5"	"306"	"2"	"4"	"18"	"539"	"-----"	"539"	"-----"
"176"	"134"	""	"8"	"58"	"15"	"23"	"15"	"4"	"0"	"0"	"1"	"1"	"5"	"111"	"4"	"5"	"9"	"259"	"-----"	"259"	"-----"
"177"	"135"	""	"15"	"128"	"14"	"24"	"33"	"3"	"0"	"3"	"3"	"2"	"6"	"248"	"17"	"5"	"35"	"536"	"-----"	"536"	"-----"
"178"	"136"	""	"14"	"140"	"7"	"21"	"51"	"1"	"0"	"1"	"2"	"0"	"3"	"179"	"5"	"5"	"11"	"440"	"-----"	"440"	"-----"
"179"	"137"	""	"3"	"78"	"13"	"42"	"21"	"3"	"3"	"2"	"1"	"1"	"3"	"138"	"6"	"6"	"17"	"337"	"-----"	"337"	"-----"
"180"	"138"	""	"10"	"81"	"24"	"104"	"21"	"6"	"1"	"2"	"4"	"37"	"4"	"132"	"1"	"9"	"13"	"449"	"-----"	"449"	"-----"
"181"	"Round 10"	""	"162"	"1599"	"382"	"546"	"388"	"39"	"85"	"36"	"37"	"75"	"68"	"1845"	"123"	"119"	"249"	"5753"	"-----"	"5753"	"-----"
"182"	"Cumulative Votes
after 10th Round"	""	"2126"	"15104"	"14424"	"3183"	"7551"	"664"	"483"	"1002"	"408"	"577"	"841"	"10088"	"2666"	"1501"	"2083"	"62701"	"-----"	"62701"	"-----"
"183"	"139"	""	"11"	"58"	"34"	"31"	"54"	"2"	"10"	"0"	"1"	"6"	"8"	"71"	"17"	"29"	"20"	"352"	"-----"	"352"	"-----"
"184"	"140"	""	"9"	"103"	"37"	"8"	"28"	"0"	"3"	"0"	"2"	"0"	"0"	"12"	"2"	"10"	"12"	"226"	"-----"	"226"	"-----"
"185"	"141"	""	"8"	"61"	"33"	"69"	"300"	"6"	"1"	"4"	"3"	"5"	"5"	"83"	"4"	"7"	"8"	"597"	"-----"	"597"	"-----"
"186"	"142"	""	"11"	"67"	"22"	"18"	"98"	"9"	"3"	"0"	"4"	"16"	"3"	"32"	"8"	"7"	"6"	"304"	"-----"	"304"	"-----"
"187"	"143"	""	"25"	"144"	"40"	"5"	"27"	"7"	"20"	"10"	"5"	"3"	"6"	"41"	"10"	"13"	"29"	"385"	"-----"	"385"	"-----"
"188"	"143"	"A"	"17"	"118"	"17"	"18"	"32"	"8"	"38"	"4"	"1"	"5"	"5"	"52"	"7"	"10"	"16"	"348"	"-----"	"348"	"-----"
"189"	"144"	""	"5"	"53"	"74"	"81"	"27"	"3"	"0"	"1"	"0"	"0"	"2"	"37"	"2"	"2"	"39"	"326"	"-----"	"326"	"-----"
"190"	"145"	""	"2"	"140"	"5"	"21"	"59"	"1"	"0"	"0"	"0"	"1"	"5"	"1"	"1"	"2"	"1"	"239"	"-----"	"239"	"-----"
"191"	"146"	""	"6"	"160"	"105"	"37"	"60"	"3"	"6"	"3"	"3"	"8"	"10"	"58"	"9"	"11"	"11"	"490"	"-----"	"490"	"-----"
"192"	"147"	""	"22"	"215"	"70"	"43"	"140"	"11"	"7"	"5"	"4"	"2"	"9"	"141"	"8"	"3"	"11"	"691"	"-----"	"691"	"-----"
"193"	"148"	""	"11"	"76"	"62"	"15"	"63"	"3"	"2"	"19"	"9"	"9"	"8"	"314"	"17"	"14"	"34"	"656"	"-----"	"656"	"-----"
"194"	"149"	""	"5"	"20"	"14"	"9"	"162"	"2"	"1"	"3"	"5"	"5"	"14"	"272"	"18"	"5"	"11"	"546"	"-----"	"546"	"-----"
"195"	"150"	""	"7"	"85"	"14"	"30"	"10"	"0"	"1"	"0"	"0"	"4"	"0"	"241"	"4"	"10"	"14"	"420"	"-----"	"420"	"-----"
"196"	"151"	""	"16"	"67"	"94"	"9"	"55"	"5"	"5"	"4"	"3"	"8"	"9"	"164"	"7"	"5"	"22"	"473"	"-----"	"473"	"-----"
"197"	"Round 11"	""	"155"	"1367"	"621"	"394"	"1115"	"60"	"97"	"53"	"40"	"72"	"84"	"1519"	"114"	"128"	"234"	"6053"	"-----"	"6053"	"-----"
"198"	"Cumulative Votes
after 11th Round"	""	"2281"	"16471"	"15045"	"3577"	"8666"	"724"	"580"	"1055"	"448"	"649"	"925"	"11607"	"2780"	"1629"	"2317"	"68754"	"-----"	"68754"	"-----"
"199"	"152"	""	"21"	"284"	"81"	"20"	"43"	"3"	"6"	"10"	"13"	"3"	"8"	"131"	"2"	"8"	"22"	"655"	"-----"	"655"	"-----"
"200"	"153"	""	"69"	"93"	"48"	"30"	"61"	"6"	"2"	"4"	"1"	"0"	"2"	"87"	"6"	"7"	"9"	"425"	"-----"	"425"	"-----"
"201"	"154"	""	"16"	"16"	"69"	"12"	"88"	"3"	"1"	"2"	"4"	"5"	"9"	"223"	"11"	"12"	"20"	"491"	"-----"	"491"	"-----"
"202"	"155"	""	"31"	"293"	"46"	"13"	"55"	"7"	"4"	"7"	"6"	"8"	"10"	"168"	"18"	"17"	"36"	"719"	"-----"	"719"	"-----"
"203"	"156"	""	"12"	"211"	"121"	"14"	"35"	"4"	"8"	"3"	"3"	"4"	"5"	"10"	"6"	"8"	"10"	"454"	"-----"	"454"	"-----"
"204"	"157"	""	"12"	"131"	"140"	"60"	"90"	"3"	"2"	"7"	"3"	"7"	"9"	"59"	"18"	"6"	"10"	"557"	"-----"	"557"	"-----"
"205"	"158"	""	"24"	"60"	"103"	"10"	"33"	"5"	"2"	"2"	"4"	"1"	"3"	"7"	"18"	"15"	"8"	"295"	"-----"	"295"	"-----"
"206"	""	""	"AHAMAD ALI"	"JANAK SINGH"	"TARKESHWAR SINGH"	"PRIYANKA SINGH"	"RAM PRAVESH RAY"	"RANANJAY KUMAR"	"SHEO KUMAR MAHATO"	"SATYENDRA KR. SAHANI"	"CHHOTE LAL YADAV"	"DHARMENDRA RAI"	"PREM KR. SINGH"	"MUDRIKA PRASAD ROY"	"RAM NARAYAN PRASAD YADAV"	"VIRENDRA YADAV"	"SHIV NATH MAHTO"	"TOTAL VALID VOTES"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"207"	"BOOTH_NO"	"BOOTH_EXT"	"CANDI1"	"CANDI2"	"CANDI3"	"CANDI4"	"CANDI5"	"CANDI6"	"CANDI7"	"CANDI8"	"CANDI9"	"CANDI10"	"CANDI11"	"CANDI12"	"CANDI13"	"CANDI14C"	"ANDI1"	"TOTAL"	""	""	""
"208"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"209"	"159"	""	"6"	"110"	"27"	"15"	"42"	"4"	"2"	"6"	"4"	"2"	"3"	"3"	"8"	"13"	"16"	"261"	"-----"	"261"	"-----"
"210"	"160"	""	"7"	"138"	"36"	"37"	"78"	"3"	"3"	"19"	"5"	"5"	"10"	"8"	"7"	"16"	"11"	"383"	"-----"	"383"	"-----"
"211"	"161"	""	"9"	"144"	"63"	"17"	"29"	"2"	"1"	"15"	"2"	"4"	"3"	"11"	"5"	"18"	"15"	"338"	"-----"	"338"	"-----"
"212"	"162"	""	"0"	"82"	"44"	"33"	"35"	"3"	"0"	"9"	"0"	"0"	"0"	"1"	"1"	"1"	"2"	"211"	"-----"	"211"	"-----"
"213"	"163"	""	"0"	"69"	"8"	"6"	"40"	"1"	"0"	"0"	"0"	"0"	"1"	"19"	"4"	"5"	"5"	"158"	"-----"	"158"	"-----"
"214"	"164"	""	"8"	"67"	"63"	"60"	"3"	"1"	"0"	"2"	"1"	"0"	"3"	"31"	"6"	"4"	"13"	"262"	"-----"	"262"	"-----"
"215"	"165"	""	"15"	"186"	"33"	"3"	"5"	"1"	"1"	"2"	"0"	"0"	"3"	"9"	"0"	"8"	"10"	"276"	"-----"	"276"	"-----"
"216"	"Round 12"	""	"230"	"1884"	"882"	"330"	"637"	"46"	"32"	"88"	"46"	"39"	"69"	"767"	"110"	"138"	"187"	"5485"	"-----"	"5485"	"-----"
"217"	"Cumulative Votes
after 12th Round"	""	"2511"	"18355"	"15927"	"3907"	"9303"	"770"	"612"	"1143"	"494"	"688"	"994"	"12374"	"2890"	"1767"	"2504"	"74239"	"-----"	"74239"	"-----"
"218"	"166"	""	"31"	"132"	"181"	"17"	"35"	"2"	"0"	"0"	"2"	"0"	"4"	"116"	"9"	"8"	"8"	"545"	"-----"	"545"	"-----"
"219"	"167"	""	"8"	"207"	"17"	"5"	"169"	"2"	"1"	"6"	"2"	"4"	"3"	"13"	"11"	"17"	"21"	"486"	"-----"	"486"	"-----"
"220"	"168"	""	"2"	"40"	"27"	"10"	"181"	"2"	"0"	"48"	"4"	"3"	"12"	"12"	"2"	"2"	"5"	"350"	"-----"	"350"	"-----"
"221"	"169"	""	"9"	"192"	"48"	"35"	"30"	"3"	"2"	"6"	"1"	"1"	"4"	"10"	"8"	"12"	"10"	"371"	"-----"	"371"	"-----"
"222"	"170"	""	"5"	"65"	"29"	"5"	"57"	"4"	"1"	"0"	"2"	"4"	"5"	"21"	"3"	"7"	"5"	"213"	"-----"	"213"	"-----"
"223"	"171"	""	"7"	"56"	"13"	"6"	"19"	"1"	"2"	"1"	"1"	"1"	"2"	"88"	"1"	"10"	"13"	"221"	"-----"	"221"	"-----"
"224"	"172"	""	"15"	"122"	"18"	"8"	"93"	"4"	"3"	"4"	"1"	"9"	"9"	"28"	"17"	"11"	"8"	"350"	"-----"	"350"	"-----"
"225"	"173"	""	"6"	"239"	"89"	"10"	"77"	"5"	"5"	"2"	"3"	"7"	"8"	"111"	"49"	"18"	"48"	"677"	"-----"	"677"	"-----"
"226"	"174"	""	"7"	"139"	"70"	"9"	"44"	"3"	"2"	"2"	"4"	"3"	"1"	"39"	"6"	"7"	"13"	"349"	"-----"	"349"	"-----"
"227"	"175"	""	"6"	"82"	"27"	"1"	"99"	"6"	"7"	"1"	"3"	"3"	"7"	"43"	"16"	"7"	"19"	"327"	"-----"	"327"	"-----"
"228"	"176"	""	"6"	"76"	"164"	"16"	"72"	"6"	"6"	"9"	"14"	"6"	"16"	"63"	"44"	"24"	"26"	"548"	"-----"	"548"	"-----"
"229"	"177"	""	"13"	"21"	"24"	"8"	"92"	"11"	"3"	"17"	"9"	"224"	"9"	"135"	"9"	"9"	"18"	"602"	"-----"	"602"	"-----"
"230"	"178"	""	"3"	"84"	"22"	"41"	"118"	"2"	"2"	"4"	"3"	"4"	"11"	"53"	"12"	"14"	"3"	"376"	"-----"	"376"	"-----"
"231"	"179"	""	"1"	"29"	"24"	"10"	"62"	"3"	"0"	"2"	"0"	"1"	"3"	"0"	"0"	"1"	"2"	"138"	"-----"	"138"	"-----"
"232"	"Round 13"	""	"119"	"1484"	"753"	"181"	"1148"	"54"	"34"	"102"	"49"	"270"	"94"	"732"	"187"	"147"	"199"	"5553"	"-----"	"5553"	"-----"
"233"	"Cumulative Votes after 13th Round"	""	"2630"	"19839"	"16680"	"4088"	"10451"	"824"	"646"	"1245"	"543"	"958"	"1088"	"13106"	"3077"	"1914"	"2703"	"79792"	"-----"	"79792"	"-----"
"234"	"180"	""	"6"	"233"	"77"	"8"	"21"	"0"	"0"	"2"	"2"	"4"	"2"	"24"	"4"	"8"	"4"	"395"	"-----"	"395"	"-----"
"235"	"181"	""	"12"	"167"	"70"	"3"	"37"	"0"	"1"	"4"	"3"	"3"	"6"	"88"	"5"	"15"	"19"	"433"	"-----"	"433"	"-----"
"236"	"181"	"A"	"7"	"106"	"45"	"4"	"49"	"2"	"1"	"11"	"2"	"2"	"2"	"112"	"2"	"6"	"15"	"366"	"-----"	"366"	"-----"
"237"	"182"	""	"43"	"296"	"135"	"30"	"99"	"10"	"3"	"5"	"6"	"7"	"4"	"44"	"7"	"16"	"11"	"716"	"-----"	"716"	"-----"
"238"	"183"	""	"35"	"171"	"162"	"15"	"55"	"1"	"2"	"5"	"4"	"9"	"12"	"138"	"9"	"14"	"14"	"646"	"-----"	"646"	"-----"
"239"	"184"	""	"11"	"75"	"173"	"20"	"81"	"4"	"3"	"44"	"4"	"2"	"8"	"94"	"16"	"12"	"30"	"577"	"-----"	"577"	"-----"
"240"	""	""	"AHAMAD ALI"	"JANAK SINGH"	"TARKESHWAR SINGH"	"PRIYANKA SINGH"	"RAM PRAVESH RAY"	"RANANJAY KUMAR"	"SHEO KUMAR MAHATO"	"SATYENDRA KR. SAHANI"	"CHHOTE LAL YADAV"	"DHARMENDRA RAI"	"PREM KR. SINGH"	"MUDRIKA PRASAD ROY"	"RAM NARAYAN PRASAD YADAV"	"VIRENDRA YADAV"	"SHIV NATH MAHTO"	"TOTAL VALID VOTES"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"241"	"BOOTH_NO"	"BOOTH_EXT"	"CANDI1"	"CANDI2"	"CANDI3"	"CANDI4"	"CANDI5"	"CANDI6"	"CANDI7"	"CANDI8"	"CANDI9"	"CANDI10"	"CANDI11"	"CANDI12"	"CANDI13"	"CANDI14C"	"ANDI1"	"TOTAL"	""	""	""
"242"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"243"	"185"	""	"11"	"109"	"114"	"16"	"172"	"5"	"3"	"3"	"1"	"4"	"9"	"148"	"22"	"24"	"22"	"663"	"-----"	"663"	"-----"
"244"	"186"	""	"9"	"224"	"102"	"5"	"71"	"4"	"1"	"2"	"1"	"2"	"7"	"40"	"3"	"7"	"5"	"483"	"-----"	"483"	"-----"
"245"	"187"	""	"6"	"95"	"44"	"3"	"114"	"3"	"2"	"58"	"2"	"2"	"4"	"72"	"4"	"5"	"4"	"418"	"-----"	"418"	"-----"
"246"	"188"	""	"6"	"61"	"14"	"7"	"35"	"0"	"1"	"10"	"1"	"5"	"4"	"131"	"13"	"7"	"11"	"306"	"-----"	"306"	"-----"
"247"	"189"	""	"6"	"168"	"28"	"23"	"33"	"4"	"2"	"2"	"3"	"4"	"3"	"124"	"8"	"10"	"21"	"439"	"-----"	"439"	"-----"
"248"	"190"	""	"19"	"251"	"42"	"12"	"161"	"2"	"5"	"1"	"1"	"1"	"6"	"27"	"8"	"13"	"8"	"557"	"-----"	"557"	"-----"
"249"	"191"	""	"4"	"110"	"19"	"6"	"55"	"1"	"0"	"1"	"0"	"3"	"8"	"48"	"7"	"9"	"12"	"283"	"-----"	"283"	"-----"
"250"	"192"	""	"6"	"22"	"65"	"16"	"206"	"5"	"6"	"1"	"1"	"3"	"7"	"57"	"9"	"3"	"5"	"412"	"-----"	"412"	"-----"
"251"	"Round 14"	""	"181"	"2088"	"1090"	"168"	"1189"	"41"	"30"	"149"	"31"	"51"	"82"	"1147"	"117"	"149"	"181"	"6694"	"-----"	"6694"	"-----"
"252"	"Cumulative Votes
after 14th Round"	""	"2811"	"21927"	"17770"	"4256"	"11640"	"865"	"676"	"1394"	"574"	"1009"	"1170"	"14253"	"3194"	"2063"	"2884"	"86486"	"-----"	"86486"	"-----"
"253"	"193"	""	"16"	"141"	"46"	"8"	"52"	"2"	"5"	"2"	"1"	"2"	"6"	"144"	"3"	"9"	"16"	"453"	"-----"	"453"	"-----"
"254"	"194"	""	"4"	"144"	"27"	"7"	"27"	"2"	"7"	"2"	"8"	"5"	"9"	"203"	"6"	"11"	"28"	"490"	"-----"	"490"	"-----"
"255"	"195"	""	"27"	"158"	"121"	"11"	"13"	"1"	"4"	"5"	"4"	"0"	"3"	"13"	"9"	"10"	"12"	"391"	"-----"	"391"	"-----"
"256"	"196"	""	"10"	"143"	"110"	"8"	"33"	"3"	"2"	"65"	"7"	"6"	"4"	"10"	"9"	"14"	"15"	"439"	"-----"	"439"	"-----"
"257"	"197"	""	"65"	"14"	"32"	"9"	"6"	"1"	"5"	"4"	"3"	"1"	"3"	"17"	"89"	"0"	"9"	"258"	"-----"	"258"	"-----"
"258"	"198"	""	"24"	"144"	"36"	"43"	"73"	"5"	"1"	"1"	"1"	"3"	"7"	"97"	"11"	"10"	"8"	"464"	"-----"	"464"	"-----"
"259"	"199"	"A"	"11"	"88"	"41"	"3"	"111"	"7"	"2"	"7"	"3"	"3"	"8"	"42"	"7"	"10"	"21"	"364"	"-----"	"364"	"-----"
"260"	"199"	""	"3"	"173"	"64"	"3"	"73"	"3"	"2"	"1"	"6"	"0"	"0"	"16"	"0"	"3"	"2"	"349"	"-----"	"349"	"-----"
"261"	"200"	""	"17"	"146"	"61"	"7"	"50"	"6"	"3"	"19"	"6"	"5"	"8"	"21"	"20"	"11"	"29"	"409"	"-----"	"409"	"-----"
"262"	"201"	""	"18"	"148"	"90"	"9"	"135"	"5"	"2"	"1"	"6"	"3"	"2"	"9"	"5"	"8"	"6"	"447"	"-----"	"447"	"-----"
"263"	"202"	""	"31"	"147"	"134"	"15"	"25"	"0"	"2"	"4"	"3"	"1"	"0"	"18"	"7"	"6"	"8"	"401"	"-----"	"401"	"-----"
"264"	"203"	""	"17"	"152"	"32"	"4"	"50"	"2"	"0"	"1"	"3"	"4"	"4"	"42"	"1"	"3"	"1"	"316"	"-----"	"316"	"-----"
"265"	"204"	""	"19"	"135"	"79"	"41"	"51"	"3"	"7"	"2"	"12"	"8"	"4"	"40"	"11"	"13"	"21"	"446"	"-----"	"446"	"-----"
"266"	"205"	""	"3"	"114"	"128"	"7"	"50"	"2"	"3"	"1"	"21"	"5"	"0"	"7"	"12"	"4"	"3"	"360"	"-----"	"360"	"-----"
"267"	"Round 15"	""	"265"	"1847"	"1001"	"175"	"749"	"42"	"45"	"115"	"84"	"46"	"58"	"679"	"190"	"112"	"179"	"5587"	"-----"	"5587"	"-----"
"268"	"Cumulative Votes
after 15th Round"	""	"3076"	"23774"	"18771"	"4431"	"12389"	"907"	"721"	"1509"	"658"	"1055"	"1228"	"14932"	"3384"	"2175"	"3063"	"92073"	"-----"	"92073"	"-----"
"269"	"206"	""	"9"	"178"	"67"	"7"	"20"	"2"	"1"	"1"	"11"	"2"	"5"	"4"	"10"	"14"	"10"	"341"	"-----"	"341"	"-----"
"270"	"207"	""	"16"	"187"	"19"	"15"	"52"	"2"	"4"	"3"	"1"	"6"	"5"	"215"	"12"	"16"	"21"	"574"	"-----"	"574"	"-----"
