"P.S..No."	"No..of.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"Total.Valid.Votes"
"163"	"140"	"29"	"37"	"4"	"141"	"4"	"0"	"3"	"1"	"2"	"45"	"4"	"2"	"23"	"4"	"3"	"7"	"309"
"164"	"141"	"11"	"115"	"4"	"232"	"5"	"1"	"3"	"1"	"1"	"4"	"1"	"2"	"39"	"5"	"6"	"10"	"440"
"165"	"142"	"11"	"82"	"76"	"223"	"5"	"1"	"0"	"2"	"4"	"5"	"1"	"6"	"25"	"4"	"6"	"7"	"458"
"166"	"143"	"8"	"17"	"33"	"311"	"13"	"2"	"3"	"1"	"0"	"4"	"3"	"5"	"35"	"5"	"4"	"21"	"465"
"167"	"144"	"14"	"444"	"16"	"62"	"2"	"1"	"1"	"1"	"3"	"8"	"1"	"9"	"14"	"4"	"14"	"8"	"602"
"168"	"145"	"8"	"151"	"19"	"19"	"2"	"2"	"4"	"1"	"0"	"32"	"3"	"2"	"3"	"2"	"6"	"7"	"261"
"169"	"146"	"6"	"218"	"4"	"23"	"1"	"1"	"0"	"1"	"0"	"3"	"0"	"1"	"1"	"1"	"3"	"2"	"265"
"170"	"147"	"1"	"220"	"5"	"87"	"4"	"3"	"1"	"1"	"1"	"3"	"7"	"3"	"7"	"6"	"3"	"4"	"356"
"171"	"148"	"7"	"214"	"3"	"22"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"3"	"6"	"2"	"265"
"172"	"149"	"14"	"125"	"31"	"121"	"8"	"3"	"2"	"1"	"1"	"5"	"0"	"4"	"26"	"1"	"2"	"14"	"358"
"173"	"150"	"2"	"295"	"53"	"114"	"3"	"1"	"1"	"0"	"0"	"7"	"0"	"6"	"22"	"9"	"8"	"12"	"533"
"174"	"151"	"20"	"236"	"10"	"354"	"11"	"0"	"1"	"2"	"1"	"2"	"3"	"9"	"39"	"5"	"20"	"10"	"723"
"175"	"152"	"20"	"61"	"7"	"303"	"9"	"0"	"0"	"1"	"1"	"1"	"2"	"11"	"28"	"8"	"10"	"13"	"475"
"176"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"177"	""	"Arun Kumar"	"Usha Sinha"	"Ranjeet Kumar"	"Rina Devi"	"Savitri Devi"	"Arura Prasad"	"Mahesh Kumar"	"Rajkapoor Rai"	"Rajkumar Kewat"	"Shashi Yadav"	"Ajay Kumar"	"Kaushal Kumar Kaushlendra
Sinha"	"Dular Chand Prasad"	"Ramcharit Prasad Singh"	"Vijay Narayan Singh"	"Subhash Kumar"	""
"178"	"153"	"10"	"192"	"5"	"118"	"2"	"8"	"1"	"1"	"0"	"4"	"1"	"2"	"2"	"3"	"5"	"3"	"357"
"179"	"154"	"10"	"31"	"6"	"359"	"15"	"2"	"5"	"0"	"0"	"1"	"2"	"7"	"20"	"1"	"6"	"11"	"476"
"180"	"155"	"17"	"380"	"5"	"28"	"1"	"0"	"1"	"2"	"2"	"2"	"6"	"5"	"4"	"6"	"22"	"18"	"499"
"181"	"156"	"9"	"23"	"21"	"301"	"6"	"4"	"8"	"3"	"2"	"1"	"3"	"5"	"35"	"5"	"3"	"9"	"438"
"182"	"157"	"4"	"33"	"3"	"246"	"3"	"1"	"9"	"1"	"0"	"0"	"0"	"2"	"16"	"0"	"2"	"2"	"322"
"183"	"158"	"9"	"209"	"5"	"122"	"5"	"1"	"11"	"65"	"5"	"37"	"6"	"13"	"24"	"4"	"21"	"20"	"557"
"184"	"159"	"4"	"6"	"4"	"193"	"7"	"3"	"0"	"3"	"0"	"0"	"1"	"1"	"6"	"1"	"0"	"4"	"233"
"185"	"160"	"7"	"233"	"5"	"114"	"2"	"1"	"1"	"8"	"1"	"4"	"2"	"3"	"9"	"3"	"12"	"6"	"411"
"186"	"161"	"3"	"1"	"2"	"450"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"2"	"0"	"0"	"464"
"187"	"162"	"10"	"57"	"31"	"83"	"5"	"3"	"3"	"5"	"2"	"32"	"3"	"6"	"12"	"3"	"8"	"7"	"270"
"188"	"163"	"16"	"238"	"18"	"50"	"10"	"1"	"13"	"8"	"5"	"51"	"3"	"3"	"12"	"10"	"13"	"14"	"465"
"189"	"164"	"10"	"210"	"27"	"152"	"5"	"1"	"2"	"5"	"2"	"85"	"1"	"5"	"19"	"1"	"12"	"14"	"551"
"190"	"165"	"56"	"92"	"7"	"8"	"1"	"0"	"0"	"0"	"2"	"1"	"0"	"3"	"2"	"8"	"6"	"4"	"190"
"191"	"166"	"118"	"92"	"13"	"67"	"4"	"1"	"3"	"2"	"6"	"119"	"1"	"4"	"13"	"1"	"1"	"6"	"451"
"192"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"193"	""	"Arun Kumar"	"Usha Sinha"	"Ranjeet Kumar"	"Rina Devi"	"Savitri Devi"	"Arura Prasad"	"Mahesh Kumar"	"Rajkapoor Rai"	"Rajkumar Kewat"	"Shashi Yadav"	"Ajay Kumar"	"Kaushal Kumar Kaushlendra
Sinha"	"Dular Chand Prasad"	"Ramcharit Prasad Singh"	"Vijay Narayan Singh"	"Subhash Kumar"	""
"194"	"167"	"25"	"8"	"41"	"208"	"2"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"9"	"2"	"1"	"2"	"301"
"195"	"168"	"3"	"6"	"172"	"73"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"7"	"3"	"1"	"0"	"269"
"196"	"169"	"12"	"5"	"40"	"396"	"8"	"0"	"1"	"0"	"1"	"3"	"4"	"1"	"19"	"1"	"1"	"0"	"492"
"197"	"170"	"7"	"69"	"66"	"172"	"1"	"3"	"0"	"0"	"2"	"1"	"5"	"3"	"18"	"4"	"15"	"5"	"371"
"198"	"171"	"207"	"255"	"4"	"47"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"3"	"5"	"2"	"6"	"9"	"541"
"199"	"172"	"8"	"59"	"16"	"371"	"11"	"2"	"0"	"1"	"2"	"17"	"5"	"8"	"33"	"2"	"4"	"6"	"545"
"200"	"173"	"7"	"36"	"69"	"199"	"4"	"3"	"3"	"0"	"1"	"17"	"1"	"2"	"12"	"3"	"2"	"4"	"363"
"201"	"174"	"3"	"7"	"65"	"94"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"1"	"0"	"1"	"176"
"202"	"175"	"23"	"476"	"8"	"47"	"0"	"0"	"0"	"0"	"3"	"11"	"2"	"3"	"4"	"2"	"20"	"7"	"606"
"203"	"176"	"11"	"107"	"9"	"160"	"15"	"6"	"6"	"4"	"7"	"57"	"1"	"4"	"10"	"5"	"5"	"4"	"411"
"204"	"177"	"8"	"64"	"19"	"139"	"6"	"1"	"3"	"0"	"1"	"12"	"1"	"1"	"9"	"2"	"4"	"5"	"275"
"205"	"178"	"1"	"43"	"44"	"222"	"9"	"2"	"4"	"0"	"0"	"11"	"5"	"2"	"17"	"10"	"5"	"10"	"385"
"206"	"179"	"58"	"76"	"4"	"73"	"7"	"3"	"3"	"3"	"3"	"61"	"1"	"3"	"9"	"6"	"11"	"9"	"330"
"207"	"180"	"58"	"315"	"8"	"109"	"3"	"2"	"0"	"0"	"3"	"5"	"1"	"1"	"10"	"4"	"19"	"6"	"544"
"208"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"209"	""	"Arun Kumar"	"Usha Sinha"	"Ranjeet Kumar"	"Rina Devi"	"Savitri Devi"	"Arura Prasad"	"Mahesh Kumar"	"Rajkapoor Rai"	"Rajkumar Kewat"	"Shashi Yadav"	"Ajay Kumar"	"Kaushal Kumar Kaushlendra
Sinha"	"Dular Chand Prasad"	"Ramcharit Prasad Singh"	"Vijay Narayan Singh"	"Subhash Kumar"	""
"210"	"181"	"4"	"164"	"4"	"318"	"3"	"1"	"1"	"0"	"1"	"0"	"1"	"2"	"10"	"1"	"5"	"0"	"515"
"211"	"182"	"5"	"133"	"2"	"168"	"3"	"1"	"5"	"1"	"0"	"35"	"3"	"5"	"22"	"3"	"4"	"1"	"391"
"212"	"183"	"8"	"75"	"12"	"180"	"8"	"3"	"3"	"1"	"2"	"36"	"5"	"10"	"21"	"7"	"13"	"17"	"401"
"213"	"184"	"5"	"208"	"0"	"8"	"0"	"2"	"6"	"4"	"4"	"91"	"3"	"3"	"1"	"1"	"3"	"4"	"343"
"214"	"185"	"13"	"163"	"3"	"46"	"3"	"0"	"1"	"1"	"2"	"52"	"3"	"1"	"5"	"4"	"3"	"7"	"307"
"215"	"186"	"47"	"90"	"7"	"89"	"2"	"2"	"1"	"1"	"2"	"25"	"4"	"2"	"118"	"3"	"3"	"6"	"402"
"216"	"187"	"0"	"155"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"7"	"0"	"0"	"3"	"0"	"168"
"217"	"188"	"10"	"42"	"2"	"108"	"2"	"1"	"10"	"2"	"4"	"88"	"1"	"11"	"25"	"2"	"5"	"4"	"317"
"218"	"189"	"19"	"274"	"5"	"84"	"5"	"0"	"2"	"1"	"4"	"2"	"1"	"6"	"8"	"1"	"8"	"10"	"430"
"219"	"190"	"4"	"175"	"3"	"80"	"3"	"2"	"3"	"2"	"0"	"10"	"2"	"2"	"7"	"8"	"11"	"8"	"320"
"220"	"191"	"33"	"148"	"6"	"108"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"6"	"2"	"0"	"0"	"309"
"221"	"192"	"39"	"225"	"2"	"123"	"6"	"3"	"1"	"3"	"3"	"10"	"1"	"4"	"17"	"4"	"9"	"13"	"463"
"222"	"193"	"38"	"98"	"18"	"22"	"0"	"3"	"4"	"0"	"3"	"74"	"4"	"2"	"5"	"1"	"3"	"3"	"278"
"223"	"194"	"7"	"254"	"4"	"193"	"4"	"1"	"2"	"0"	"1"	"3"	"0"	"2"	"7"	"1"	"3"	"2"	"484"
"224"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"225"	""	"Arun Kumar"	"Usha Sinha"	"Ranjeet Kumar"	"Rina Devi"	"Savitri Devi"	"Arura Prasad"	"Mahesh Kumar"	"Rajkapoor Rai"	"Rajkumar Kewat"	"Shashi Yadav"	"Ajay Kumar"	"Kaushal Kumar Kaushlendra
Sinha"	"Dular Chand Prasad"	"Ramcharit Prasad Singh"	"Vijay Narayan Singh"	"Subhash Kumar"	""
"226"	"195"	"7"	"222"	"3"	"41"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"2"	"1"	"2"	"283"
"227"	"196"	"9"	"267"	"2"	"93"	"4"	"1"	"1"	"2"	"4"	"9"	"2"	"3"	"13"	"7"	"5"	"3"	"425"
"228"	"197"	"34"	"66"	"9"	"55"	"1"	"1"	"1"	"2"	"3"	"4"	"3"	"6"	"10"	"2"	"8"	"8"	"213"
"229"	"198"	"4"	"288"	"5"	"19"	"1"	"0"	"2"	"2"	"4"	"8"	"5"	"3"	"6"	"4"	"19"	"23"	"393"
"230"	"199"	"9"	"83"	"9"	"386"	"8"	"3"	"1"	"0"	"1"	"13"	"2"	"5"	"48"	"4"	"7"	"13"	"592"
"231"	"200"	"6"	"68"	"9"	"163"	"2"	"0"	"0"	"0"	"0"	"31"	"1"	"4"	"6"	"3"	"3"	"5"	"301"
"232"	"201"	"4"	"173"	"4"	"70"	"4"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"1"	"2"	"1"	"264"
"233"	"202"	"6"	"265"	"5"	"124"	"3"	"2"	"2"	"0"	"2"	"6"	"1"	"2"	"10"	"3"	"5"	"10"	"446"
"234"	"203"	"43"	"39"	"39"	"133"	"4"	"5"	"10"	"6"	"5"	"111"	"7"	"5"	"17"	"2"	"7"	"26"	"459"
"235"	"204"	"2"	"15"	"2"	"413"	"4"	"2"	"1"	"2"	"0"	"0"	"2"	"2"	"22"	"1"	"1"	"4"	"473"
"236"	"205"	"25"	"142"	"4"	"245"	"3"	"3"	"2"	"0"	"1"	"1"	"1"	"3"	"29"	"8"	"5"	"7"	"479"
"237"	"206"	"25"	"401"	"17"	"101"	"5"	"1"	"0"	"2"	"6"	"5"	"5"	"12"	"18"	"13"	"23"	"22"	"656"
"238"	"207"	"3"	"9"	"1"	"249"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"5"	"0"	"0"	"2"	"276"
"239"	"208"	"26"	"179"	"2"	"41"	"2"	"2"	"3"	"0"	"1"	"30"	"1"	"5"	"3"	"8"	"2"	"6"	"311"
"240"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"241"	""	"Arun Kumar"	"Usha Sinha"	"Ranjeet Kumar"	"Rina Devi"	"Savitri Devi"	"Arura Prasad"	"Mahesh Kumar"	"Rajkapoor Rai"	"Rajkumar Kewat"	"Shashi Yadav"	"Ajay Kumar"	"Kaushal Kumar Kaushlendra
Sinha"	"Dular Chand Prasad"	"Ramcharit Prasad Singh"	"Vijay Narayan Singh"	"Subhash Kumar"	""
"242"	"209"	"10"	"272"	"2"	"273"	"8"	"0"	"1"	"2"	"0"	"2"	"2"	"4"	"15"	"3"	"2"	"1"	"597"
"243"	"210"	"10"	"178"	"8"	"41"	"0"	"0"	"2"	"1"	"2"	"2"	"1"	"3"	"4"	"6"	"13"	"3"	"274"
"244"	"211"	"63"	"226"	"10"	"84"	"2"	"1"	"0"	"1"	"0"	"5"	"0"	"5"	"12"	"6"	"8"	"12"	"435"
"245"	"212"	"7"	"57"	"5"	"438"	"5"	"0"	"0"	"1"	"1"	"2"	"0"	"4"	"11"	"2"	"4"	"0"	"537"
"246"	"213"	"55"	"393"	"6"	"120"	"2"	"0"	"0"	"2"	"4"	"4"	"0"	"5"	"20"	"10"	"10"	"29"	"660"
"247"	"214"	"4"	"235"	"5"	"76"	"2"	"2"	"1"	"1"	"1"	"1"	"0"	"3"	"5"	"2"	"7"	"9"	"354"
"248"	"215"	"6"	"54"	"3"	"198"	"7"	"2"	"0"	"0"	"1"	"2"	"2"	"2"	"20"	"4"	"4"	"9"	"314"
"249"	"216"	"12"	"221"	"8"	"166"	"7"	"2"	"0"	"1"	"0"	"0"	"0"	"5"	"24"	"10"	"6"	"7"	"469"
"250"	"217"	"16"	"390"	"5"	"67"	"1"	"3"	"0"	"1"	"0"	"2"	"1"	"4"	"12"	"7"	"11"	"2"	"522"
"251"	"218"	"6"	"125"	"4"	"102"	"2"	"3"	"0"	"0"	"0"	"1"	"0"	"1"	"4"	"2"	"6"	"2"	"258"
"252"	"219"	"51"	"156"	"3"	"162"	"2"	"2"	"0"	"0"	"1"	"0"	"1"	"7"	"7"	"2"	"4"	"0"	"398"
"253"	"219A"	"22"	"150"	"1"	"111"	"3"	"3"	"0"	"0"	"0"	"1"	"5"	"5"	"18"	"6"	"8"	"5"	"338"
"254"	"220"	"6"	"11"	"5"	"416"	"6"	"3"	"2"	"2"	"0"	"0"	"1"	"3"	"18"	"4"	"3"	"10"	"490"
"255"	"221"	"20"	"311"	"7"	"267"	"3"	"0"	"0"	"1"	"0"	"6"	"4"	"6"	"40"	"16"	"18"	"17"	"716"
"256"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"257"	""	"Arun Kumar"	"Usha Sinha"	"Ranjeet Kumar"	"Rina Devi"	"Savitri Devi"	"Arura Prasad"	"Mahesh Kumar"	"Rajkapoor Rai"	"Rajkumar Kewat"	"Shashi Yadav"	"Ajay Kumar"	"Kaushal Kumar Kaushlendra
Sinha"	"Dular Chand Prasad"	"Ramcharit Prasad Singh"	"Vijay Narayan Singh"	"Subhash Kumar"	""
"258"	"222"	"3"	"239"	"3"	"68"	"0"	"2"	"1"	"2"	"1"	"6"	"4"	"3"	"12"	"5"	"10"	"11"	"370"
"259"	"223"	"70"	"277"	"16"	"31"	"1"	"0"	"0"	"0"	"1"	"2"	"2"	"3"	"4"	"2"	"5"	"5"	"419"
"260"	"224"	"5"	"357"	"1"	"75"	"2"	"2"	"1"	"0"	"2"	"0"	"1"	"25"	"9"	"3"	"12"	"5"	"500"
"261"	"225"	"7"	"265"	"5"	"123"	"4"	"4"	"1"	"2"	"2"	"10"	"6"	"28"	"6"	"9"	"18"	"28"	"518"
"262"	"226"	"42"	"214"	"1"	"78"	"3"	"0"	"1"	"0"	"1"	"0"	"0"	"7"	"21"	"2"	"10"	"8"	"388"
"263"	"227"	"1"	"99"	"1"	"166"	"2"	"1"	"0"	"1"	"0"	"1"	"0"	"5"	"16"	"0"	"1"	"2"	"296"
"264"	"228"	"24"	"123"	"57"	"89"	"4"	"2"	"0"	"0"	"3"	"0"	"1"	"16"	"15"	"3"	"4"	"9"	"350"
"265"	"229"	"18"	"283"	"53"	"132"	"5"	"3"	"3"	"3"	"5"	"3"	"4"	"12"	"24"	"16"	"33"	"12"	"609"
"266"	"230"	"33"	"222"	"3"	"73"	"2"	"0"	"1"	"0"	"1"	"0"	"4"	"8"	"4"	"4"	"11"	"11"	"377"
"267"	"231"	"12"	"159"	"9"	"180"	"7"	"0"	"2"	"2"	"3"	"4"	"0"	"3"	"49"	"5"	"9"	"18"	"462"
"268"	"232"	"4"	"124"	"2"	"46"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"3"	"3"	"0"	"3"	"1"	"189"
"269"	"233"	"12"	"206"	"13"	"49"	"0"	"2"	"0"	"0"	"3"	"1"	"5"	"7"	"5"	"9"	"10"	"14"	"336"
"270"	"234"	"50"	"435"	"8"	"29"	"3"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"1"	"2"	"12"	"13"	"557"
"271"	"235"	"31"	"188"	"25"	"370"	"8"	"5"	"3"	"3"	"4"	"7"	"6"	"13"	"34"	"12"	"13"	"31"	"753"
"272"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"273"	""	"Arun Kumar"	"Usha Sinha"	"Ranjeet Kumar"	"Rina Devi"	"Savitri Devi"	"Arura Prasad"	"Mahesh Kumar"	"Rajkapoor Rai"	"Rajkumar Kewat"	"Shashi Yadav"	"Ajay Kumar"	"Kaushal Kumar Kaushlendra
Sinha"	"Dular Chand Prasad"	"Ramcharit Prasad Singh"	"Vijay Narayan Singh"	"Subhash Kumar"	""
"274"	"236"	"27"	"150"	"8"	"395"	"10"	"5"	"3"	"5"	"4"	"4"	"5"	"7"	"50"	"16"	"17"	"18"	"724"
"275"	"237"	"14"	"96"	"7"	"236"	"5"	"1"	"1"	"3"	"1"	"2"	"4"	"13"	"51"	"7"	"6"	"8"	"455"
"276"	"238"	"1"	"18"	"0"	"286"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"0"	"0"	"1"	"312"
"277"	"239"	"1"	"4"	"1"	"279"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"1"	"0"	"289"
"278"	"240"	"65"	"252"	"7"	"249"	"14"	"3"	"2"	"1"	"4"	"2"	"3"	"4"	"22"	"1"	"6"	"17"	"652"
"279"	"241"	"3"	"285"	"1"	"52"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"3"	"8"	"1"	"6"	"4"	"366"
"280"	"242"	"36"	"215"	"4"	"23"	"2"	"2"	"7"	"3"	"8"	"117"	"2"	"7"	"5"	"5"	"15"	"26"	"477"
"281"	"243"	"18"	"249"	"7"	"276"	"2"	"0"	"4"	"2"	"2"	"20"	"2"	"7"	"20"	"6"	"13"	"16"	"644"
"282"	"244"	"1"	"89"	"0"	"6"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"140"	"0"	"0"	"1"	"1"	"240"
"283"	"245"	"53"	"173"	"5"	"32"	"1"	"0"	"1"	"0"	"1"	"3"	"1"	"3"	"2"	"0"	"7"	"5"	"287"
"284"	"246"	"8"	"286"	"6"	"51"	"2"	"2"	"3"	"3"	"3"	"6"	"3"	"57"	"9"	"3"	"9"	"3"	"454"
"285"	"247"	"20"	"220"	"8"	"131"	"1"	"1"	"3"	"0"	"2"	"3"	"1"	"2"	"7"	"1"	"7"	"3"	"410"
"286"	"248"	"7"	"79"	"2"	"319"	"0"	"0"	"2"	"2"	"0"	"0"	"0"	"1"	"16"	"0"	"9"	"3"	"440"
"287"	"249"	"17"	"381"	"14"	"114"	"5"	"1"	"2"	"1"	"4"	"5"	"3"	"2"	"14"	"2"	"9"	"6"	"580"
"288"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"289"	""	"Arun Kumar"	"Usha Sinha"	"Ranjeet Kumar"	"Rina Devi"	"Savitri Devi"	"Arura Prasad"	"Mahesh Kumar"	"Rajkapoor Rai"	"Rajkumar Kewat"	"Shashi Yadav"	"Ajay Kumar"	"Kaushal Kumar Kaushlendra
Sinha"	"Dular Chand Prasad"	"Ramcharit Prasad Singh"	"Vijay Narayan Singh"	"Subhash Kumar"	""
"290"	"250"	"125"	"176"	"1"	"43"	"6"	"3"	"0"	"0"	"1"	"22"	"2"	"0"	"7"	"0"	"5"	"5"	"396"
"291"	"251"	"16"	"65"	"3"	"136"	"7"	"1"	"1"	"1"	"0"	"0"	"1"	"4"	"9"	"7"	"4"	"2"	"257"
"292"	"252"	"9"	"291"	"1"	"14"	"4"	"0"	"0"	"1"	"0"	"3"	"0"	"2"	"2"	"0"	"1"	"1"	"329"
"293"	"253"	"8"	"154"	"14"	"82"	"4"	"2"	"0"	"0"	"1"	"1"	"2"	"5"	"11"	"2"	"2"	"5"	"293"
"294"	"254"	"3"	"19"	"17"	"279"	"5"	"2"	"0"	"0"	"0"	"2"	"0"	"0"	"16"	"2"	"0"	"4"	"349"
"295"	"255"	"8"	"248"	"3"	"48"	"3"	"0"	"0"	"0"	"1"	"3"	"3"	"2"	"15"	"5"	"9"	"11"	"359"
"296"	"256"	"8"	"60"	"3"	"184"	"18"	"4"	"1"	"3"	"1"	"12"	"5"	"3"	"21"	"1"	"2"	"8"	"334"
"297"	"257"	"31"	"372"	"2"	"59"	"0"	"0"	"8"	"1"	"0"	"7"	"0"	"1"	"3"	"1"	"3"	"2"	"490"
"298"	"258"	"11"	"196"	"54"	"194"	"7"	"3"	"3"	"1"	"0"	"7"	"3"	"5"	"16"	"10"	"5"	"14"	"529"
"299"	"259"	"136"	"124"	"5"	"27"	"0"	"0"	"1"	"1"	"0"	"2"	"2"	"1"	"4"	"4"	"6"	"8"	"321"
"300"	"260"	"99"	"118"	"26"	"110"	"2"	"3"	"1"	"0"	"1"	"3"	"0"	"3"	"14"	"1"	"4"	"9"	"394"
"301"	"261"	"6"	"86"	"12"	"195"	"5"	"1"	"1"	"2"	"1"	"0"	"0"	"2"	"6"	"3"	"3"	"3"	"326"
"302"	"262"	"255"	"223"	"5"	"8"	"1"	"0"	"1"	"0"	"0"	"4"	"0"	"2"	"0"	"2"	"5"	"12"	"518"
"303"	"263"	"62"	"201"	"98"	"35"	"0"	"2"	"0"	"4"	"2"	"2"	"1"	"4"	"2"	"8"	"12"	"15"	"448"
"304"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"305"	""	"Arun Kumar"	"Usha Sinha"	"Ranjeet Kumar"	"Rina Devi"	"Savitri Devi"	"Arura Prasad"	"Mahesh Kumar"	"Rajkapoor Rai"	"Rajkumar Kewat"	"Shashi Yadav"	"Ajay Kumar"	"Kaushal Kumar Kaushlendra
Sinha"	"Dular Chand Prasad"	"Ramcharit Prasad Singh"	"Vijay Narayan Singh"	"Subhash Kumar"	""
"306"	"264"	"3"	"10"	"1"	"257"	"4"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"13"	"0"	"0"	"3"	"292"
"307"	"265"	"30"	"173"	"7"	"36"	"2"	"1"	"1"	"1"	"0"	"29"	"0"	"1"	"8"	"2"	"14"	"5"	"310"
"308"	"266"	"76"	"190"	"80"	"153"	"7"	"4"	"1"	"1"	"0"	"7"	"2"	"5"	"21"	"5"	"12"	"24"	"588"
"309"	"267"	"8"	"232"	"4"	"155"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"11"	"0"	"2"	"2"	"417"
"310"	"268"	"16"	"230"	"13"	"162"	"2"	"6"	"0"	"1"	"1"	"3"	"1"	"2"	"17"	"7"	"9"	"8"	"478"
"311"	"269"	"10"	"181"	"8"	"161"	"4"	"2"	"1"	"1"	"2"	"7"	"1"	"7"	"30"	"5"	"12"	"10"	"442"
"312"	"270"	"73"	"173"	"10"	"80"	"2"	"0"	"0"	"0"	"4"	"5"	"0"	"7"	"10"	"9"	"8"	"14"	"395"
"313"	"271"	"2"	"16"	"2"	"260"	"1"	"2"	"1"	"0"	"1"	"0"	"0"	"1"	"6"	"1"	"0"	"0"	"293"
"314"	"272"	"10"	"384"	"17"	"44"	"1"	"2"	"0"	"0"	"2"	"2"	"0"	"3"	"13"	"8"	"12"	"6"	"504"
"315"	"273"	"70"	"244"	"2"	"79"	"3"	"1"	"2"	"2"	"1"	"3"	"1"	"6"	"3"	"5"	"7"	"8"	"437"
"316"	"274"	"8"	"255"	"1"	"20"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"3"	"0"	"3"	"1"	"294"
"317"	"275"	"14"	"114"	"6"	"85"	"3"	"2"	"1"	"2"	"1"	"4"	"2"	"0"	"5"	"2"	"6"	"8"	"255"
"318"	"276"	"15"	"356"	"13"	"42"	"4"	"2"	"1"	"1"	"1"	"80"	"3"	"4"	"4"	"4"	"7"	"14"	"551"
"319"	"277"	"11"	"426"	"1"	"57"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"2"	"3"	"1"	"4"	"2"	"511"
"320"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"321"	""	"Arun Kumar"	"Usha Sinha"	"Ranjeet Kumar"	"Rina Devi"	"Savitri Devi"	"Arura Prasad"	"Mahesh Kumar"	"Rajkapoor Rai"	"Rajkumar Kewat"	"Shashi Yadav"	"Ajay Kumar"	"Kaushal Kumar Kaushlendra
Sinha"	"Dular Chand Prasad"	"Ramcharit Prasad Singh"	"Vijay Narayan Singh"	"Subhash Kumar"	""
"322"	"278"	"5"	"190"	"5"	"70"	"1"	"1"	"1"	"0"	"2"	"4"	"3"	"12"	"20"	"3"	"14"	"2"	"333"
"323"	"279"	"11"	"129"	"5"	"164"	"2"	"1"	"5"	"0"	"0"	"8"	"1"	"1"	"13"	"8"	"10"	"14"	"372"
"324"	"280"	"9"	"225"	"3"	"50"	"8"	"1"	"0"	"2"	"1"	"3"	"1"	"5"	"13"	"6"	"18"	"10"	"355"
"325"	"281"	"61"	"319"	"11"	"106"	"3"	"0"	"1"	"1"	"3"	"4"	"0"	"10"	"15"	"4"	"31"	"15"	"584"
"326"	"282"	"73"	"312"	"7"	"59"	"2"	"1"	"1"	"2"	"2"	"4"	"6"	"11"	"17"	"9"	"22"	"17"	"545"
"327"	"283"	"25"	"300"	"14"	"173"	"5"	"2"	"1"	"0"	"4"	"2"	"1"	"5"	"15"	"7"	"13"	"11"	"578"
