"Serial.No..of.Polling"	"X."	"No..of.Valid.votes.cast.in.favour.of"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"Total.No..of.Valid.Votes"	"Total"	"No..of.Rejected.Votes"	"No..of.Tendered.votes"
"122"	"105"	"105"	"26"	"83"	"0"	"1"	"352"	"3"	"0"	"2"	"5"	"2"	"1"	"1"	"0"	"0"	"1"	"0"	"2"	"71"	"7"	"557"	"557"	""	""
"123"	"106"	"106"	"8"	"75"	"1"	"0"	"219"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"2"	"3"	"1"	"16"	"1"	"330"	"330"	""	""
"124"	"107"	"107"	"13"	"39"	"4"	"2"	"335"	"0"	"0"	"2"	"0"	"0"	"2"	"3"	"2"	"2"	"0"	"3"	"0"	"30"	"1"	"438"	"438"	""	""
"125"	"108"	"108"	"30"	"63"	"3"	"1"	"461"	"6"	"4"	"1"	"5"	"1"	"1"	"5"	"0"	"0"	"0"	"1"	"2"	"65"	"1"	"650"	"650"	""	""
"126"	"Serial No. of Polling"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"Total"	"No. of Rejected Votes"	"No. of Tendered votes"
"127"	"Sl.
No."	"Booth No."	"Mayank Kumar"	"Mohhammad
Jamal"	"Bindeshwari Prasad Thakur"	"Satish Kumar"	"Suresh Kumar
Sharma"	"Kishori Lal Agrawal"	"Kedar Nath
Prasad"	"Dhirendra Samsher"	"Baliram
Prasad Shrivastava"	"Vinod Kumar
Verma"	"Sanjay Kumar"	"Suraj Kumar
Singh"	"Gargi Singh"	"Jagnnth Sah"	"Deva Nand
Singh"	"Raghunath
Adig"	"Ramdhani
Mahto"	"Vivek Kumar, Mohalla-Choti Saraygang,"	"Vivek Kumar,
Mohalla- Mishra Tola
Ganipur"	""	""	""	""
"128"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"129"	"109"	"109"	"11"	"69"	"1"	"3"	"413"	"1"	"3"	"1"	"0"	"0"	"1"	"7"	"0"	"1"	"2"	"10"	"0"	"55"	"1"	"579"	"579"	""	""
"130"	"110"	"110"	"19"	"24"	"0"	"1"	"525"	"3"	"1"	"1"	"2"	"1"	"1"	"7"	"1"	"1"	"1"	"5"	"1"	"66"	"0"	"660"	"660"	""	""
"131"	"111"	"111"	"8"	"188"	"1"	"0"	"199"	"0"	"1"	"1"	"5"	"1"	"0"	"3"	"0"	"1"	"2"	"4"	"0"	"32"	"1"	"447"	"447"	""	""
"132"	"112"	"112"	"11"	"63"	"3"	"2"	"237"	"2"	"2"	"1"	"3"	"0"	"1"	"17"	"1"	"0"	"3"	"2"	"1"	"100"	"2"	"451"	"451"	""	""
"133"	"113"	"113"	"21"	"19"	"0"	"4"	"242"	"0"	"0"	"0"	"1"	"1"	"0"	"3"	"0"	"0"	"4"	"1"	"1"	"34"	"1"	"332"	"332"	""	""
"134"	"114"	"114"	"11"	"398"	"9"	"3"	"59"	"0"	"2"	"7"	"1"	"2"	"1"	"2"	"1"	"4"	"10"	"4"	"0"	"8"	"1"	"523"	"523"	""	""
"135"	"115"	"115"	"12"	"76"	"6"	"1"	"184"	"0"	"0"	"0"	"1"	"1"	"1"	"9"	"2"	"1"	"6"	"2"	"0"	"23"	"0"	"325"	"325"	""	""
"136"	"116"	"116"	"17"	"19"	"2"	"2"	"276"	"0"	"1"	"0"	"0"	"1"	"3"	"17"	"2"	"2"	"4"	"3"	"1"	"12"	"1"	"363"	"363"	""	""
"137"	"117"	"117"	"23"	"44"	"1"	"0"	"223"	"1"	"1"	"1"	"0"	"1"	"2"	"1"	"0"	"0"	"1"	"1"	"0"	"13"	"1"	"314"	"314"	""	""
"138"	"118"	"118"	"13"	"23"	"2"	"1"	"334"	"2"	"0"	"0"	"0"	"1"	"0"	"3"	"0"	"0"	"0"	"1"	"0"	"18"	"0"	"398"	"398"	""	""
"139"	"119"	"119"	"22"	"44"	"0"	"1"	"218"	"0"	"1"	"0"	"0"	"1"	"1"	"4"	"0"	"0"	"2"	"0"	"0"	"12"	"1"	"307"	"307"	""	""
"140"	"120"	"120"	"8"	"182"	"0"	"0"	"185"	"2"	"1"	"14"	"0"	"2"	"0"	"4"	"0"	"0"	"1"	"1"	"2"	"41"	"1"	"444"	"444"	""	""
"141"	"121"	"121"	"28"	"7"	"2"	"0"	"531"	"5"	"0"	"0"	"1"	"0"	"1"	"2"	"1"	"0"	"1"	"2"	"1"	"16"	"2"	"600"	"600"	""	""
"142"	"122"	"122"	"14"	"35"	"0"	"0"	"272"	"1"	"2"	"0"	"3"	"0"	"2"	"7"	"1"	"0"	"1"	"2"	"0"	"13"	"3"	"356"	"356"	""	""
"143"	"123"	"123"	"12"	"31"	"0"	"7"	"278"	"2"	"1"	"1"	"3"	"1"	"1"	"3"	"0"	"0"	"0"	"2"	"0"	"22"	"8"	"372"	"372"	""	""
"144"	"124"	"124"	"33"	"3"	"2"	"3"	"500"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"1"	"0"	"9"	"3"	"560"	"560"	""	""
"145"	"125"	"125"	"20"	"10"	"1"	"3"	"323"	"0"	"0"	"0"	"1"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"1"	"9"	"0"	"372"	"372"	""	""
"146"	"126"	"126"	"37"	"26"	"0"	"0"	"160"	"2"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"9"	"0"	"239"	"239"	""	""
"147"	"Serial No. of Polling"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"Total"	"No. of Rejected Votes"	"No. of Tendered votes"
"148"	"Sl.
No."	"Booth No."	"Mayank Kumar"	"Mohhammad
Jamal"	"Bindeshwari Prasad Thakur"	"Satish Kumar"	"Suresh Kumar
Sharma"	"Kishori Lal Agrawal"	"Kedar Nath
Prasad"	"Dhirendra Samsher"	"Baliram
Prasad Shrivastava"	"Vinod Kumar
Verma"	"Sanjay Kumar"	"Suraj Kumar
Singh"	"Gargi Singh"	"Jagnnth Sah"	"Deva Nand
Singh"	"Raghunath
Adig"	"Ramdhani
Mahto"	"Vivek Kumar, Mohalla-Choti Saraygang,"	"Vivek Kumar,
Mohalla- Mishra Tola
Ganipur"	""	""	""	""
"149"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"150"	"127"	"127"	"15"	"30"	"0"	"3"	"324"	"3"	"0"	"1"	"2"	"1"	"0"	"6"	"3"	"3"	"1"	"6"	"0"	"39"	"0"	"437"	"437"	""	""
"151"	"128"	"128"	"14"	"8"	"2"	"2"	"309"	"1"	"0"	"3"	"0"	"1"	"5"	"2"	"0"	"0"	"0"	"1"	"0"	"65"	"4"	"417"	"417"	""	""
"152"	"129"	"129"	"4"	"71"	"1"	"1"	"163"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"12"	"0"	"255"	"255"	""	""
"153"	"130"	"130"	"17"	"27"	"1"	"2"	"425"	"0"	"0"	"1"	"0"	"0"	"5"	"7"	"3"	"1"	"3"	"6"	"0"	"34"	"4"	"536"	"536"	""	""
"154"	"131"	"131"	"15"	"109"	"2"	"2"	"191"	"0"	"2"	"2"	"3"	"0"	"2"	"2"	"1"	"0"	"1"	"4"	"0"	"52"	"1"	"389"	"389"	""	""
"155"	"132"	"132"	"13"	"76"	"2"	"1"	"351"	"1"	"0"	"0"	"2"	"5"	"2"	"1"	"1"	"1"	"1"	"1"	"2"	"31"	"3"	"494"	"494"	""	""
"156"	"133"	"133"	"8"	"55"	"1"	"0"	"152"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"2"	"34"	"0"	"254"	"254"	""	""
"157"	"134"	"134"	"36"	"36"	"0"	"11"	"360"	"0"	"1"	"1"	"1"	"2"	"1"	"3"	"1"	"2"	"3"	"6"	"6"	"73"	"10"	"553"	"553"	""	""
"158"	"135"	"135"	"29"	"108"	"5"	"2"	"278"	"1"	"1"	"2"	"2"	"3"	"0"	"5"	"1"	"0"	"5"	"1"	"1"	"67"	"2"	"513"	"513"	""	""
"159"	"136"	"136"	"18"	"10"	"2"	"5"	"266"	"2"	"0"	"1"	"1"	"3"	"0"	"1"	"2"	"0"	"0"	"1"	"0"	"38"	"1"	"351"	"351"	""	""
"160"	"137"	"137"	"38"	"23"	"1"	"4"	"339"	"1"	"0"	"0"	"13"	"2"	"1"	"3"	"2"	"2"	"2"	"2"	"0"	"40"	"4"	"477"	"477"	""	""
"161"	"138"	"138"	"0"	"137"	"2"	"0"	"4"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"2"	"5"	"0"	"2"	"1"	"156"	"156"	""	""
"162"	"139"	"139"	"24"	"252"	"3"	"7"	"275"	"0"	"0"	"1"	"4"	"0"	"0"	"5"	"3"	"1"	"7"	"1"	"0"	"62"	"5"	"650"	"650"	""	""
"163"	"140"	"140"	"23"	"47"	"0"	"2"	"407"	"3"	"1"	"0"	"2"	"3"	"2"	"8"	"1"	"1"	"1"	"5"	"2"	"57"	"0"	"565"	"565"	""	""
"164"	"141"	"141"	"114"	"8"	"0"	"1"	"240"	"3"	"1"	"1"	"1"	"0"	"1"	"2"	"1"	"1"	"1"	"3"	"4"	"33"	"1"	"416"	"416"	""	""
"165"	"142"	"142"	"16"	"4"	"0"	"2"	"299"	"2"	"4"	"1"	"0"	"3"	"0"	"1"	"2"	"0"	"0"	"1"	"1"	"16"	"0"	"352"	"352"	""	""
"166"	"143"	"143"	"19"	"34"	"1"	"1"	"422"	"1"	"2"	"1"	"2"	"1"	"2"	"7"	"0"	"0"	"1"	"2"	"2"	"100"	"3"	"601"	"601"	""	""
"167"	"144"	"144"	"24"	"129"	"2"	"10"	"298"	"2"	"1"	"2"	"5"	"1"	"1"	"2"	"0"	"3"	"5"	"4"	"5"	"45"	"4"	"543"	"543"	""	""
"168"	"Serial No. of Polling"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"Total"	"No. of Rejected Votes"	"No. of Tendered votes"
"169"	"Sl.
No."	"Booth No."	"Mayank Kumar"	"Mohhammad
Jamal"	"Bindeshwari Prasad Thakur"	"Satish Kumar"	"Suresh Kumar
Sharma"	"Kishori Lal Agrawal"	"Kedar Nath
Prasad"	"Dhirendra Samsher"	"Baliram
Prasad Shrivastava"	"Vinod Kumar
Verma"	"Sanjay Kumar"	"Suraj Kumar
Singh"	"Gargi Singh"	"Jagnnth Sah"	"Deva Nand
Singh"	"Raghunath
Adig"	"Ramdhani
Mahto"	"Vivek Kumar, Mohalla-Choti Saraygang,"	"Vivek Kumar,
Mohalla- Mishra Tola
Ganipur"	""	""	""	""
"170"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"171"	"145"	"145"	"18"	"170"	"0"	"1"	"184"	"2"	"1"	"4"	"2"	"1"	"0"	"1"	"1"	"2"	"5"	"6"	"0"	"24"	"3"	"425"	"425"	""	""
"172"	"146"	"146"	"17"	"16"	"1"	"2"	"190"	"0"	"3"	"1"	"0"	"2"	"0"	"4"	"0"	"0"	"0"	"3"	"0"	"18"	"0"	"257"	"257"	""	""
"173"	"147"	"147"	"13"	"65"	"2"	"7"	"313"	"4"	"2"	"5"	"3"	"8"	"4"	"9"	"6"	"1"	"4"	"3"	"4"	"53"	"3"	"509"	"509"	""	""
"174"	"148"	"148"	"10"	"77"	"2"	"6"	"296"	"2"	"1"	"1"	"0"	"0"	"4"	"6"	"2"	"3"	"2"	"7"	"3"	"17"	"2"	"441"	"441"	""	""
"175"	"149"	"149"	"12"	"7"	"2"	"4"	"303"	"0"	"4"	"3"	"0"	"0"	"1"	"3"	"2"	"0"	"1"	"2"	"27"	"37"	"4"	"412"	"412"	""	""
"176"	"150"	"150"	"6"	"35"	"0"	"1"	"326"	"6"	"2"	"0"	"0"	"1"	"1"	"2"	"0"	"0"	"1"	"2"	"0"	"28"	"1"	"412"	"412"	""	""
"177"	"151"	"151"	"11"	"259"	"3"	"2"	"37"	"0"	"0"	"0"	"1"	"1"	"0"	"2"	"0"	"0"	"8"	"4"	"1"	"8"	"1"	"338"	"338"	""	""
"178"	"152"	"152"	"15"	"104"	"2"	"2"	"377"	"3"	"1"	"0"	"0"	"2"	"0"	"4"	"0"	"1"	"3"	"3"	"2"	"51"	"4"	"574"	"574"	""	""
"179"	"153"	"153"	"21"	"198"	"4"	"2"	"108"	"0"	"2"	"1"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"2"	"1"	"37"	"2"	"381"	"381"	""	""
"180"	"154"	"154"	"12"	"211"	"5"	"1"	"148"	"0"	"3"	"0"	"0"	"1"	"2"	"2"	"0"	"1"	"3"	"5"	"1"	"17"	"0"	"412"	"412"	""	""
"181"	"155"	"155"	"8"	"190"	"1"	"1"	"48"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"2"	"1"	"1"	"3"	"1"	"10"	"0"	"269"	"269"	""	""
"182"	"156"	"156"	"8"	"161"	"1"	"0"	"141"	"1"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"3"	"4"	"0"	"47"	"1"	"371"	"371"	""	""
"183"	"157"	"157"	"7"	"221"	"0"	"1"	"52"	"2"	"4"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"2"	"2"	"0"	"34"	"1"	"330"	"330"	""	""
"184"	"158"	"158"	"15"	"155"	"2"	"3"	"186"	"3"	"2"	"2"	"0"	"1"	"0"	"2"	"1"	"0"	"0"	"1"	"1"	"24"	"2"	"400"	"400"	""	""
"185"	"159"	"159"	"13"	"103"	"2"	"0"	"277"	"0"	"7"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"26"	"0"	"429"	"429"	""	""
"186"	"160"	"160"	"5"	"268"	"1"	"0"	"135"	"1"	"0"	"1"	"1"	"2"	"4"	"2"	"0"	"0"	"3"	"6"	"1"	"15"	"0"	"445"	"445"	""	""
"187"	"161"	"161"	"17"	"314"	"3"	"2"	"166"	"1"	"1"	"3"	"2"	"1"	"2"	"0"	"0"	"1"	"7"	"3"	"1"	"83"	"2"	"609"	"609"	""	""
"188"	"162"	"162"	"8"	"352"	"6"	"1"	"36"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"4"	"0"	"9"	"2"	"425"	"425"	""	""
"189"	"Serial No. of Polling"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"Total"	"No. of Rejected Votes"	"No. of Tendered votes"
"190"	"Sl.
No."	"Booth No."	"Mayank Kumar"	"Mohhammad
Jamal"	"Bindeshwari Prasad Thakur"	"Satish Kumar"	"Suresh Kumar
Sharma"	"Kishori Lal Agrawal"	"Kedar Nath
Prasad"	"Dhirendra Samsher"	"Baliram
Prasad Shrivastava"	"Vinod Kumar
Verma"	"Sanjay Kumar"	"Suraj Kumar
Singh"	"Gargi Singh"	"Jagnnth Sah"	"Deva Nand
Singh"	"Raghunath
Adig"	"Ramdhani
Mahto"	"Vivek Kumar, Mohalla-Choti Saraygang,"	"Vivek Kumar,
Mohalla- Mishra Tola
Ganipur"	""	""	""	""
"191"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"192"	"163"	"163"	"28"	"273"	"2"	"5"	"177"	"0"	"0"	"1"	"0"	"2"	"0"	"2"	"0"	"0"	"2"	"2"	"0"	"12"	"0"	"506"	"506"	""	""
"193"	"164"	"164"	"12"	"36"	"5"	"2"	"280"	"3"	"1"	"1"	"1"	"5"	"3"	"0"	"0"	"2"	"2"	"8"	"0"	"22"	"5"	"388"	"388"	""	""
"194"	"165"	"165"	"12"	"54"	"0"	"0"	"119"	"2"	"0"	"3"	"1"	"1"	"5"	"1"	"2"	"0"	"4"	"3"	"2"	"13"	"3"	"225"	"225"	""	""
"195"	"166"	"166"	"12"	"105"	"1"	"0"	"179"	"1"	"1"	"1"	"2"	"0"	"0"	"2"	"0"	"0"	"1"	"2"	"2"	"17"	"1"	"327"	"327"	""	""
"196"	"167"	"167"	"6"	"74"	"2"	"4"	"182"	"1"	"0"	"2"	"0"	"0"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"20"	"1"	"298"	"298"	""	""
"197"	"168"	"168"	"34"	"115"	"3"	"4"	"414"	"4"	"0"	"3"	"2"	"1"	"2"	"13"	"3"	"8"	"3"	"1"	"2"	"45"	"5"	"662"	"662"	""	""
"198"	"169"	"169"	"17"	"66"	"7"	"5"	"445"	"5"	"0"	"1"	"1"	"2"	"2"	"19"	"2"	"3"	"3"	"6"	"0"	"70"	"1"	"655"	"655"	""	""
"199"	"170"	"170"	"23"	"203"	"5"	"2"	"150"	"5"	"1"	"3"	"0"	"2"	"2"	"8"	"2"	"2"	"6"	"5"	"2"	"23"	"2"	"446"	"446"	""	""
"200"	"171"	"171"	"9"	"216"	"4"	"3"	"125"	"0"	"1"	"3"	"2"	"3"	"1"	"4"	"1"	"0"	"5"	"3"	"1"	"30"	"3"	"414"	"414"	""	""
"201"	"172"	"172"	"13"	"167"	"5"	"2"	"280"	"3"	"2"	"4"	"1"	"2"	"6"	"15"	"4"	"0"	"9"	"5"	"2"	"51"	"1"	"572"	"572"	""	""
"202"	"173"	"173"	"13"	"33"	"3"	"1"	"355"	"2"	"2"	"1"	"0"	"1"	"1"	"7"	"0"	"0"	"0"	"2"	"1"	"65"	"0"	"487"	"487"	""	""
"203"	"174"	"174"	"17"	"40"	"0"	"7"	"340"	"1"	"1"	"1"	"1"	"0"	"1"	"7"	"2"	"1"	"0"	"1"	"4"	"56"	"2"	"482"	"482"	""	""
"204"	"175"	"175"	"12"	"65"	"0"	"3"	"402"	"5"	"2"	"2"	"1"	"0"	"1"	"4"	"1"	"0"	"0"	"4"	"2"	"47"	"0"	"551"	"551"	""	""
"205"	"176"	"176"	"7"	"273"	"2"	"1"	"76"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"3"	"0"	"10"	"0"	"376"	"376"	""	""
"206"	"177"	"177"	"11"	"404"	"7"	"0"	"90"	"1"	"3"	"0"	"0"	"3"	"1"	"1"	"0"	"2"	"7"	"5"	"6"	"38"	"11"	"590"	"590"	""	""
"207"	"178"	"178"	"5"	"22"	"1"	"2"	"291"	"0"	"1"	"0"	"1"	"3"	"4"	"2"	"3"	"0"	"1"	"3"	"3"	"11"	"3"	"356"	"356"	""	""
"208"	"179"	"179"	"23"	"67"	"1"	"1"	"384"	"1"	"1"	"2"	"3"	"1"	"4"	"3"	"0"	"1"	"1"	"2"	"1"	"43"	"2"	"541"	"541"	""	""
"209"	"180"	"180"	"42"	"194"	"1"	"1"	"225"	"3"	"0"	"2"	"2"	"7"	"2"	"4"	"1"	"2"	"3"	"4"	"4"	"68"	"4"	"569"	"569"	""	""
"210"	"Serial No. of Polling"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"Total"	"No. of Rejected Votes"	"No. of Tendered votes"
"211"	"Sl.
No."	"Booth No."	"Mayank Kumar"	"Mohhammad
Jamal"	"Bindeshwari Prasad Thakur"	"Satish Kumar"	"Suresh Kumar
Sharma"	"Kishori Lal Agrawal"	"Kedar Nath
Prasad"	"Dhirendra Samsher"	"Baliram
Prasad Shrivastava"	"Vinod Kumar
Verma"	"Sanjay Kumar"	"Suraj Kumar
Singh"	"Gargi Singh"	"Jagnnth Sah"	"Deva Nand
Singh"	"Raghunath
Adig"	"Ramdhani
Mahto"	"Vivek Kumar, Mohalla-Choti Saraygang,"	"Vivek Kumar,
Mohalla- Mishra Tola
Ganipur"	""	""	""	""
"212"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"213"	"181"	"181"	"22"	"17"	"0"	"0"	"256"	"4"	"0"	"0"	"0"	"1"	"1"	"3"	"1"	"0"	"1"	"1"	"1"	"45"	"0"	"353"	"353"	""	""
"214"	"182"	"182"	"8"	"1"	"0"	"1"	"423"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"4"	"0"	"1"	"0"	"5"	"0"	"447"	"447"	""	""
"215"	"183"	"183"	"15"	"77"	"6"	"2"	"262"	"1"	"4"	"0"	"3"	"1"	"3"	"6"	"33"	"2"	"4"	"1"	"0"	"26"	"1"	"447"	"447"	""	""
"216"	"184"	"184"	"10"	"6"	"1"	"2"	"180"	"2"	"0"	"1"	"1"	"1"	"1"	"2"	"32"	"0"	"1"	"1"	"0"	"9"	"0"	"250"	"250"	""	""
"217"	"185"	"185"	"16"	"84"	"8"	"0"	"437"	"5"	"1"	"2"	"4"	"7"	"4"	"7"	"7"	"3"	"3"	"3"	"0"	"35"	"0"	"626"	"626"	""	""
"218"	"186"	"186"	"21"	"125"	"17"	"1"	"279"	"0"	"0"	"1"	"1"	"2"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"29"	"1"	"480"	"480"	""	""
"219"	"187"	"187"	"13"	"63"	"1"	"1"	"296"	"3"	"2"	"5"	"0"	"1"	"3"	"6"	"1"	"0"	"2"	"2"	"0"	"25"	"1"	"425"	"425"	""	""
"220"	"188"	"188"	"23"	"173"	"6"	"1"	"306"	"0"	"1"	"1"	"1"	"5"	"2"	"8"	"0"	"3"	"4"	"8"	"0"	"29"	"2"	"573"	"573"	""	""
"221"	"189"	"189"	"5"	"132"	"1"	"2"	"167"	"2"	"2"	"4"	"1"	"2"	"1"	"3"	"1"	"0"	"4"	"3"	"0"	"18"	"0"	"348"	"348"	""	""
"222"	"190"	"190"	"22"	"243"	"7"	"1"	"247"	"1"	"0"	"0"	"0"	"0"	"1"	"3"	"0"	"0"	"4"	"0"	"0"	"12"	"0"	"541"	"541"	""	""
"223"	"191"	"191"	"6"	"98"	"4"	"1"	"203"	"1"	"2"	"3"	"3"	"6"	"3"	"0"	"0"	"2"	"1"	"1"	"2"	"14"	"0"	"350"	"350"	""	""
"224"	"192"	"192"	"22"	"14"	"2"	"3"	"363"	"2"	"1"	"1"	"0"	"1"	"0"	"5"	"1"	"1"	"2"	"1"	"0"	"33"	"2"	"454"	"454"	""	""
"225"	"193"	"193"	"7"	"64"	"2"	"2"	"418"	"5"	"4"	"3"	"0"	"5"	"2"	"7"	"5"	"2"	"6"	"5"	"6"	"42"	"11"	"596"	"596"	""	""
"226"	"194"	"194"	"7"	"152"	"10"	"2"	"234"	"1"	"0"	"1"	"4"	"4"	"3"	"13"	"5"	"1"	"13"	"10"	"7"	"73"	"6"	"546"	"546"	""	""
"227"	"195"	"195"	"9"	"159"	"1"	"4"	"158"	"3"	"2"	"1"	"1"	"3"	"4"	"18"	"2"	"1"	"14"	"16"	"1"	"67"	"6"	"470"	"470"	""	""
"228"	"196"	"196"	"34"	"17"	"1"	"1"	"514"	"3"	"1"	"1"	"2"	"3"	"2"	"12"	"4"	"0"	"1"	"1"	"1"	"37"	"3"	"638"	"638"	""	""
"229"	"197"	"197"	"12"	"9"	"3"	"1"	"215"	"2"	"0"	"1"	"1"	"0"	"1"	"7"	"3"	"2"	"1"	"1"	"0"	"13"	"0"	"272"	"272"	""	""
"230"	"198"	"198"	"10"	"50"	"2"	"4"	"348"	"5"	"0"	"2"	"2"	"2"	"3"	"18"	"4"	"7"	"4"	"20"	"3"	"27"	"1"	"512"	"512"	""	""
"231"	"Serial No. of Polling"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"Total"	"No. of Rejected Votes"	"No. of Tendered votes"
"232"	"Sl.
No."	"Booth No."	"Mayank Kumar"	"Mohhammad
Jamal"	"Bindeshwari Prasad Thakur"	"Satish Kumar"	"Suresh Kumar
Sharma"	"Kishori Lal Agrawal"	"Kedar Nath
Prasad"	"Dhirendra Samsher"	"Baliram
Prasad Shrivastava"	"Vinod Kumar
Verma"	"Sanjay Kumar"	"Suraj Kumar
Singh"	"Gargi Singh"	"Jagnnth Sah"	"Deva Nand
Singh"	"Raghunath
Adig"	"Ramdhani
Mahto"	"Vivek Kumar, Mohalla-Choti Saraygang,"	"Vivek Kumar,
Mohalla- Mishra Tola
Ganipur"	""	""	""	""
"233"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"234"	"199"	"199"	"13"	"26"	"0"	"4"	"421"	"2"	"3"	"1"	"4"	"7"	"6"	"31"	"5"	"0"	"3"	"4"	"0"	"42"	"3"	"575"	"575"	""	""
"235"	"200"	"-200"	"10"	"42"	"4"	"2"	"344"	"3"	"0"	"1"	"0"	"3"	"5"	"7"	"2"	"2"	"3"	"4"	"9"	"28"	"0"	"469"	"469"	""	""
"236"	"201"	"200A"	"10"	"86"	"9"	"0"	"242"	"1"	"4"	"0"	"2"	"1"	"0"	"2"	"2"	"2"	"2"	"2"	"1"	"15"	"1"	"382"	"382"	""	""
"237"	"202"	"201"	"12"	"39"	"0"	"3"	"241"	"2"	"2"	"0"	"2"	"0"	"0"	"4"	"2"	"0"	"0"	"0"	"0"	"6"	"2"	"315"	"315"	""	""
"238"	"203"	"202"	"36"	"64"	"2"	"3"	"497"	"3"	"0"	"2"	"2"	"1"	"1"	"5"	"4"	"0"	"2"	"2"	"0"	"17"	"1"	"642"	"642"	""	""
"239"	"204"	"203"	"11"	"130"	"5"	"1"	"249"	"2"	"2"	"0"	"0"	"0"	"0"	"3"	"3"	"0"	"2"	"2"	"0"	"13"	"0"	"423"	"423"	""	""
"240"	"205"	"204"	"21"	"159"	"2"	"3"	"324"	"4"	"1"	"4"	"2"	"2"	"2"	"3"	"0"	"3"	"3"	"10"	"0"	"48"	"2"	"593"	"593"	""	""
"241"	"206"	"205"	"19"	"476"	"8"	"0"	"82"	"2"	"1"	"2"	"1"	"4"	"1"	"3"	"2"	"2"	"16"	"12"	"3"	"39"	"7"	"680"	"680"	""	""
"242"	"207"	"206"	"3"	"318"	"7"	"1"	"11"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"3"	"2"	"0"	"15"	"0"	"364"	"364"	""	""
"243"	"208"	"207"	"4"	"293"	"4"	"2"	"41"	"0"	"1"	"1"	"0"	"1"	"3"	"2"	"0"	"0"	"6"	"5"	"0"	"22"	"1"	"386"	"386"	""	""
"244"	"209"	"208"	"10"	"22"	"0"	"2"	"294"	"2"	"2"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"2"	"0"	"40"	"1"	"379"	"379"	""	""
