"FORM...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[See Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election to the Bihar Legislative Assembly Constituency - 2010 Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of Electers in Assembly Constituency :- 205137"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No. & Name of Assembly Constituency - 221 Nabinagar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"SEGI D"	"BOOTH
_NO"	"BOOTH_ EXT"	"Archana chandra"	"Dinesh Kumar"	"Mritunjal Singh"	"Ram chandra singh"	"Vijay kumar singh"	"Virendra Kumar Singh"	"Ram prakash ram"	"Kumar Rajendra"	"Janesh war Ram"	"Baijnath singh"	"Bhim kumar"	"Ram bhajan Paswan"	"shiv shankar singh"	"sant Lal Ram"	"Hari shankar Tiwari"	"TOTAL"	"SLNO"
"155"	"221"	"145"	""	"8"	"1"	"1"	"1"	"15"	"133"	"8"	"186"	"11"	"8"	"19"	"8"	"7"	"4"	"10"	"786"	"146"
"156"	"221"	"146"	""	"4"	"0"	"4"	"24"	"241"	"44"	"6"	"72"	"4"	"1"	"8"	"5"	"3"	"5"	"12"	"800"	"147"
"157"	"221"	"147"	""	"59"	"0"	"4"	"1"	"231"	"57"	"5"	"162"	"3"	"8"	"28"	"6"	"8"	"11"	"8"	"959"	"148"
"158"	"221"	"148"	""	"13"	"1"	"2"	"12"	"63"	"128"	"13"	"151"	"9"	"12"	"28"	"14"	"4"	"8"	"13"	"840"	"149"
"159"	"221"	"149"	""	"20"	"0"	"18"	"12"	"112"	"258"	"4"	"19"	"5"	"4"	"12"	"0"	"4"	"6"	"4"	"848"	"150"
"160"	"221"	"150"	""	"98"	"6"	"4"	"17"	"89"	"87"	"6"	"45"	"4"	"6"	"14"	"7"	"2"	"11"	"15"	"782"	"151"
"161"	"221"	"151"	""	"12"	"2"	"1"	"6"	"33"	"160"	"8"	"78"	"7"	"5"	"21"	"6"	"3"	"4"	"11"	"729"	"152"
"162"	"221"	"152"	""	"3"	"0"	"16"	"1"	"41"	"42"	"2"	"141"	"2"	"2"	"4"	"5"	"1"	"0"	"5"	"638"	"153"
"163"	"221"	"153"	""	"3"	"1"	"1"	"1"	"70"	"51"	"0"	"28"	"2"	"2"	"5"	"4"	"2"	"2"	"3"	"549"	"154"
"164"	"221"	"154"	""	"7"	"1"	"1"	"24"	"69"	"72"	"6"	"187"	"3"	"8"	"11"	"2"	"3"	"5"	"10"	"784"	"155"
"165"	"221"	"155"	""	"8"	"1"	"7"	"85"	"29"	"158"	"10"	"68"	"7"	"18"	"32"	"16"	"13"	"14"	"14"	"856"	"156"
"166"	"221"	"156"	""	"6"	"1"	"6"	"5"	"252"	"51"	"11"	"16"	"2"	"12"	"27"	"14"	"3"	"6"	"14"	"803"	"157"
"167"	"221"	"157"	""	"9"	"3"	"4"	"33"	"56"	"193"	"6"	"37"	"3"	"8"	"16"	"12"	"4"	"6"	"13"	"781"	"158"
"168"	"221"	"158"	""	"21"	"3"	"14"	"10"	"266"	"129"	"6"	"12"	"4"	"3"	"11"	"1"	"7"	"2"	"18"	"886"	"159"
"169"	"221"	"159"	""	"30"	"0"	"1"	"7"	"64"	"72"	"2"	"4"	"0"	"6"	"9"	"5"	"2"	"3"	"7"	"592"	"160"
"170"	"221"	"160"	""	"0"	"0"	"2"	"9"	"287"	"46"	"0"	"9"	"0"	"0"	"4"	"1"	"0"	"4"	"1"	"744"	"161"
"171"	"221"	"161"	""	"20"	"2"	"5"	"25"	"161"	"43"	"3"	"7"	"2"	"4"	"14"	"8"	"5"	"3"	"12"	"696"	"162"
"172"	"221"	"162"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"383"	"163"
"173"	"221"	"163"	""	"9"	"1"	"59"	"43"	"94"	"144"	"4"	"14"	"3"	"3"	"8"	"2"	"3"	"5"	"14"	"790"	"164"
"174"	"221"	"164"	""	"7"	"0"	"6"	"4"	"77"	"132"	"5"	"48"	"6"	"12"	"19"	"3"	"0"	"1"	"6"	"711"	"165"
"175"	"221"	"165"	""	"8"	"2"	"4"	"15"	"260"	"262"	"3"	"25"	"8"	"13"	"19"	"9"	"6"	"6"	"14"	"1040"	"166"
"176"	"221"	"166"	""	"54"	"1"	"0"	"3"	"14"	"209"	"6"	"10"	"2"	"8"	"4"	"1"	"2"	"1"	"6"	"708"	"167"
"177"	"221"	"167"	""	"21"	"1"	"3"	"2"	"150"	"74"	"5"	"13"	"2"	"4"	"5"	"0"	"4"	"2"	"8"	"682"	"168"
"178"	"221"	"168"	""	"9"	"2"	"7"	"4"	"118"	"132"	"3"	"7"	"2"	"5"	"15"	"6"	"1"	"6"	"9"	"715"	"169"
"179"	"221"	"169"	""	"8"	"2"	"7"	"8"	"89"	"89"	"8"	"17"	"2"	"4"	"15"	"4"	"1"	"3"	"5"	"652"	"170"
"180"	"221"	"170"	""	"12"	"0"	"2"	"4"	"203"	"124"	"10"	"10"	"3"	"6"	"13"	"9"	"5"	"5"	"16"	"813"	"171"
"181"	"SEGI D"	"BOOTH
_NO"	"BOOTH_ EXT"	"Archana chandra"	"Dinesh Kumar"	"Mritunjal Singh"	"Ram chandra singh"	"Vijay kumar singh"	"Virendra Kumar Singh"	"Ram prakash ram"	"Kumar Rajendra"	"Janesh war Ram"	"Baijnath singh"	"Bhim kumar"	"Ram bhajan Paswan"	"shiv shankar singh"	"sant Lal Ram"	"Hari shankar Tiwari"	"TOTAL"	"SLNO"
"182"	"221"	"171"	""	"14"	"2"	"3"	"7"	"198"	"31"	"6"	"3"	"1"	"3"	"15"	"11"	"1"	"7"	"9"	"703"	"172"
"183"	"221"	"172"	""	"54"	"1"	"2"	"19"	"76"	"61"	"5"	"5"	"1"	"2"	"12"	"9"	"9"	"3"	"13"	"665"	"173"
"184"	"221"	"173"	""	"2"	"0"	"7"	"2"	"56"	"29"	"1"	"40"	"2"	"4"	"3"	"2"	"0"	"2"	"5"	"549"	"174"
"185"	"221"	"174"	""	"64"	"1"	"4"	"6"	"119"	"25"	"5"	"11"	"2"	"0"	"4"	"1"	"0"	"4"	"4"	"645"	"175"
"186"	"221"	"175"	""	"14"	"2"	"10"	"5"	"70"	"191"	"1"	"6"	"3"	"2"	"4"	"0"	"1"	"2"	"6"	"713"	"176"
"187"	"221"	"176"	""	"7"	"0"	"1"	"4"	"67"	"38"	"4"	"5"	"0"	"0"	"0"	"1"	"2"	"3"	"4"	"533"	"177"
"188"	"221"	"177"	""	"59"	"2"	"2"	"3"	"86"	"55"	"4"	"15"	"0"	"1"	"4"	"0"	"0"	"0"	"9"	"638"	"178"
"189"	"221"	"178"	""	"99"	"5"	"1"	"0"	"128"	"32"	"2"	"4"	"0"	"3"	"4"	"4"	"1"	"5"	"12"	"699"	"179"
"190"	"221"	"179"	""	"15"	"0"	"2"	"61"	"185"	"49"	"8"	"13"	"2"	"6"	"20"	"11"	"6"	"3"	"20"	"801"	"180"
"191"	"221"	"180"	""	"13"	"1"	"10"	"28"	"71"	"315"	"1"	"10"	"1"	"7"	"7"	"3"	"4"	"2"	"4"	"878"	"181"
"192"	"221"	"181"	""	"50"	"2"	"6"	"102"	"38"	"65"	"4"	"7"	"2"	"1"	"2"	"3"	"1"	"2"	"3"	"690"	"182"
"193"	"221"	"182"	""	"1"	"1"	"0"	"4"	"28"	"19"	"2"	"5"	"0"	"0"	"3"	"0"	"1"	"0"	"4"	"471"	"183"
"194"	"221"	"183"	""	"183"	"9"	"1"	"6"	"236"	"90"	"15"	"6"	"1"	"7"	"13"	"9"	"3"	"8"	"19"	"1010"	"184"
"195"	"221"	"184"	""	"31"	"20"	"23"	"13"	"27"	"311"	"5"	"17"	"3"	"7"	"7"	"2"	"1"	"2"	"9"	"883"	"185"
"196"	"221"	"185"	""	"33"	"31"	"11"	"13"	"42"	"325"	"5"	"18"	"4"	"6"	"7"	"2"	"2"	"0"	"3"	"908"	"186"
"197"	"221"	"186"	""	"49"	"2"	"13"	"13"	"32"	"186"	"1"	"16"	"1"	"5"	"6"	"2"	"1"	"5"	"11"	"750"	"187"
"198"	"221"	"187"	""	"156"	"7"	"6"	"14"	"43"	"57"	"5"	"92"	"2"	"2"	"5"	"3"	"2"	"3"	"3"	"808"	"188"
"199"	"221"	"188"	""	"55"	"3"	"23"	"28"	"55"	"201"	"5"	"28"	"3"	"7"	"10"	"8"	"1"	"4"	"8"	"848"	"189"
"200"	"221"	"189"	""	"36"	"8"	"17"	"13"	"57"	"147"	"5"	"13"	"3"	"3"	"0"	"2"	"1"	"3"	"3"	"721"	"190"
"201"	"221"	"190"	""	"34"	"0"	"6"	"6"	"102"	"78"	"4"	"11"	"4"	"1"	"12"	"1"	"1"	"4"	"13"	"688"	"191"
"202"	"221"	"191"	""	"61"	"5"	"14"	"25"	"22"	"208"	"9"	"15"	"9"	"7"	"10"	"2"	"4"	"2"	"10"	"815"	"192"
"203"	"221"	"192"	""	"71"	"1"	"3"	"7"	"24"	"82"	"1"	"2"	"1"	"1"	"3"	"1"	"1"	"4"	"10"	"625"	"193"
"204"	"221"	"193"	""	"19"	"8"	"29"	"3"	"84"	"405"	"5"	"28"	"4"	"8"	"12"	"3"	"4"	"0"	"4"	"1030"	"194"
"205"	"221"	"194"	""	"31"	"1"	"12"	"16"	"33"	"110"	"4"	"65"	"4"	"16"	"4"	"2"	"1"	"2"	"2"	"718"	"195"
"206"	"221"	"195"	""	"139"	"0"	"2"	"10"	"78"	"248"	"8"	"13"	"5"	"11"	"17"	"6"	"5"	"5"	"25"	"988"	"196"
"207"	"221"	"196"	""	"92"	"2"	"2"	"9"	"37"	"184"	"6"	"37"	"6"	"16"	"6"	"3"	"1"	"5"	"8"	"831"	"197"
"208"	"221"	"197"	""	"55"	"3"	"5"	"6"	"87"	"269"	"8"	"20"	"5"	"6"	"19"	"1"	"0"	"6"	"9"	"917"	"198"
"209"	"221"	"198"	""	"71"	"1"	"2"	"13"	"177"	"181"	"8"	"18"	"5"	"9"	"24"	"13"	"6"	"13"	"24"	"984"	"199"
"210"	"221"	"199"	""	"245"	"6"	"7"	"4"	"46"	"75"	"1"	"11"	"0"	"2"	"5"	"3"	"0"	"12"	"27"	"864"	"200"
"211"	"221"	"200"	""	"90"	"5"	"2"	"2"	"96"	"106"	"6"	"5"	"0"	"0"	"4"	"1"	"1"	"12"	"12"	"763"	"201"
"212"	"221"	"201"	""	"43"	"1"	"9"	"5"	"122"	"105"	"9"	"13"	"2"	"5"	"26"	"6"	"9"	"11"	"19"	"807"	"202"
"213"	"221"	"202"	""	"65"	"3"	"4"	"3"	"127"	"177"	"3"	"13"	"2"	"3"	"6"	"5"	"5"	"4"	"4"	"847"	"203"
"214"	"221"	"203"	""	"45"	"0"	"2"	"2"	"71"	"175"	"2"	"19"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"743"	"204"
"215"	"221"	"204"	""	"21"	"6"	"4"	"2"	"20"	"120"	"3"	"36"	"1"	"1"	"6"	"1"	"4"	"2"	"4"	"656"	"205"
"216"	"221"	"205"	""	"28"	"1"	"8"	"1"	"102"	"164"	"2"	"39"	"2"	"2"	"5"	"1"	"1"	"4"	"4"	"790"	"206"
"217"	"221"	"206"	""	"78"	"4"	"7"	"30"	"60"	"192"	"8"	"9"	"2"	"5"	"10"	"1"	"2"	"4"	"16"	"855"	"207"
"218"	"221"	"207"	""	"91"	"3"	"15"	"6"	"77"	"102"	"5"	"43"	"7"	"6"	"12"	"2"	"3"	"6"	"13"	"819"	"208"
"219"	"221"	"208"	""	"6"	"0"	"13"	"0"	"18"	"102"	"0"	"22"	"2"	"1"	"3"	"1"	"1"	"1"	"2"	"601"	"209"
"220"	"221"	"209"	""	"35"	"5"	"10"	"28"	"81"	"282"	"4"	"72"	"5"	"18"	"20"	"5"	"3"	"7"	"16"	"1021"	"210"
"221"	"221"	"210"	""	"77"	"0"	"5"	"3"	"69"	"123"	"6"	"30"	"0"	"2"	"4"	"3"	"0"	"2"	"16"	"771"	"211"
"222"	"221"	"211"	""	"30"	"2"	"30"	"23"	"160"	"59"	"10"	"5"	"2"	"12"	"23"	"16"	"4"	"9"	"17"	"834"	"212"
"223"	"221"	"212"	""	"98"	"2"	"48"	"16"	"26"	"36"	"4"	"8"	"2"	"1"	"6"	"3"	"4"	"7"	"11"	"705"	"213"
"224"	"221"	"213"	""	"53"	"0"	"13"	"7"	"153"	"215"	"7"	"6"	"2"	"4"	"13"	"4"	"1"	"2"	"5"	"919"	"214"
"225"	"221"	"214"	""	"33"	"1"	"1"	"6"	"82"	"89"	"8"	"7"	"4"	"4"	"7"	"5"	"3"	"9"	"17"	"711"	"215"
"226"	"221"	"215"	""	"110"	"7"	"6"	"25"	"131"	"145"	"6"	"13"	"1"	"8"	"14"	"5"	"1"	"11"	"16"	"935"	"216"
"227"	"221"	"216"	""	"50"	"3"	"5"	"9"	"162"	"77"	"6"	"6"	"2"	"0"	"10"	"2"	"7"	"3"	"8"	"787"	"217"
"228"	"SEGI D"	"BOOTH
_NO"	"BOOTH_ EXT"	"Archana chandra"	"Dinesh Kumar"	"Mritunjal Singh"	"Ram chandra singh"	"Vijay kumar singh"	"Virendra Kumar Singh"	"Ram prakash ram"	"Kumar Rajendra"	"Janesh war Ram"	"Baijnath singh"	"Bhim kumar"	"Ram bhajan Paswan"	"shiv shankar singh"	"sant Lal Ram"	"Hari shankar Tiwari"	"TOTAL"	"SLNO"
"229"	"221"	"217"	""	"148"	"6"	"9"	"9"	"80"	"172"	"6"	"15"	"2"	"7"	"8"	"2"	"1"	"5"	"12"	"920"	"218"
"230"	"221"	"218"	""	"70"	"5"	"16"	"16"	"133"	"265"	"9"	"22"	"6"	"6"	"10"	"10"	"2"	"8"	"17"	"1034"	"219"
"231"	"221"	"219"	""	"0"	"0"	"0"	"0"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"445"	"220"
"232"	"221"	"220"	""	"25"	"0"	"1"	"4"	"176"	"143"	"13"	"4"	"1"	"5"	"16"	"3"	"1"	"2"	"9"	"844"	"221"
"233"	"221"	"220"	"A"	"70"	"1"	"6"	"23"	"146"	"136"	"6"	"13"	"5"	"3"	"11"	"3"	"0"	"3"	"11"	"878"	"222"
"234"	"221"	"221"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"442"	"223"
"235"	"221"	"222"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"443"	"224"
"236"	"221"	"223"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"444"	"225"
"237"	"221"	"224"	""	"0"	"0"	"0"	"0"	"0"	"7"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"453"	"226"
"238"	"221"	"225"	""	"79"	"18"	"8"	"52"	"103"	"259"	"11"	"13"	"4"	"8"	"8"	"5"	"2"	"4"	"10"	"1030"	"227"
"239"	"221"	"226"	""	"122"	"6"	"9"	"13"	"57"	"259"	"3"	"16"	"7"	"5"	"9"	"6"	"5"	"4"	"22"	"990"	"228"
"240"	"221"	"227"	""	"24"	"0"	"47"	"6"	"38"	"81"	"2"	"2"	"0"	"1"	"1"	"2"	"0"	"0"	"3"	"655"	"229"
"241"	"221"	"228"	""	"321"	"12"	"92"	"20"	"35"	"99"	"7"	"5"	"5"	"10"	"8"	"11"	"11"	"9"	"52"	"1146"	"230"
"242"	"221"	"229"	""	"41"	"4"	"6"	"47"	"75"	"82"	"5"	"4"	"6"	"2"	"4"	"2"	"1"	"1"	"2"	"732"	"231"
"243"	"221"	"230"	""	"54"	"4"	"15"	"4"	"86"	"175"	"10"	"11"	"3"	"4"	"9"	"0"	"3"	"2"	"4"	"835"	"232"
"244"	"221"	"231"	""	"18"	"0"	"5"	"6"	"58"	"315"	"5"	"13"	"12"	"10"	"12"	"9"	"5"	"2"	"12"	"934"	"233"
"245"	"221"	"232"	""	"17"	"1"	"6"	"2"	"59"	"177"	"5"	"8"	"1"	"3"	"4"	"4"	"0"	"5"	"12"	"757"	"234"
"246"	"221"	"233"	""	"122"	"1"	"5"	"3"	"21"	"190"	"1"	"16"	"2"	"1"	"2"	"0"	"0"	"1"	"5"	"824"	"235"
"247"	"221"	"234"	""	"38"	"1"	"5"	"23"	"46"	"397"	"4"	"18"	"4"	"14"	"15"	"2"	"1"	"5"	"13"	"1041"	"236"
"248"	"221"	"235"	""	"32"	"3"	"1"	"6"	"69"	"239"	"11"	"8"	"2"	"5"	"13"	"6"	"1"	"5"	"10"	"867"	"237"
"249"	"221"	"236"	""	"4"	"0"	"2"	"0"	"95"	"96"	"2"	"53"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"713"	"238"
"250"	"221"	"237"	""	"92"	"7"	"8"	"2"	"164"	"205"	"13"	"9"	"0"	"5"	"4"	"4"	"8"	"3"	"14"	"996"	"239"
"251"	"221"	"238"	""	"127"	"12"	"23"	"12"	"180"	"192"	"11"	"11"	"5"	"15"	"24"	"8"	"8"	"20"	"31"	"1138"	"240"
"252"	"221"	"239"	""	"50"	"4"	"11"	"2"	"78"	"262"	"13"	"13"	"3"	"7"	"5"	"4"	"3"	"7"	"25"	"947"	"241"
"253"	"221"	"240"	""	"53"	"4"	"7"	"7"	"76"	"88"	"3"	"3"	"7"	"10"	"12"	"2"	"7"	"11"	"14"	"765"	"242"
"254"	"221"	"241"	""	"149"	"2"	"4"	"9"	"76"	"228"	"5"	"13"	"2"	"5"	"9"	"5"	"6"	"10"	"29"	"1014"	"243"
"255"	"221"	"242"	""	"113"	"6"	"10"	"10"	"26"	"174"	"2"	"12"	"5"	"2"	"8"	"4"	"0"	"4"	"14"	"853"	"244"
"256"	"221"	"242"	"A"	"137"	"5"	"7"	"3"	"29"	"133"	"4"	"4"	"3"	"4"	"6"	"1"	"3"	"2"	"10"	"814"	"245"
"257"	"221"	"243"	""	"68"	"2"	"83"	"12"	"178"	"170"	"6"	"8"	"13"	"12"	"12"	"10"	"13"	"14"	"14"	"1079"	"246"
"258"	"221"	"244"	""	"24"	"4"	"4"	"6"	"76"	"308"	"4"	"5"	"0"	"1"	"5"	"5"	"1"	"1"	"8"	"917"	"247"
"259"	"221"	"245"	""	"70"	"4"	"6"	"8"	"41"	"330"	"1"	"6"	"2"	"11"	"10"	"2"	"3"	"2"	"4"	"966"	"248"
"260"	"221"	"246"	""	"9"	"2"	"8"	"8"	"42"	"402"	"2"	"18"	"8"	"16"	"16"	"3"	"2"	"5"	"7"	"1015"	"249"
"261"	"221"	"247"	""	"75"	"4"	"38"	"5"	"163"	"131"	"13"	"10"	"2"	"7"	"13"	"2"	"5"	"5"	"12"	"953"	"250"
"262"	"221"	"248"	""	"99"	"15"	"10"	"15"	"79"	"392"	"10"	"22"	"9"	"9"	"22"	"13"	"3"	"7"	"17"	"1191"	"251"
"263"	"221"	"249"	""	"64"	"1"	"3"	"4"	"9"	"133"	"1"	"6"	"2"	"2"	"2"	"0"	"0"	"0"	"3"	"700"	"252"
"264"	"221"	"250"	""	"96"	"2"	"19"	"9"	"118"	"291"	"11"	"9"	"5"	"12"	"16"	"3"	"3"	"7"	"14"	"1086"	"253"
"265"	"221"	"251"	""	"14"	"2"	"5"	"2"	"22"	"104"	"5"	"14"	"4"	"10"	"4"	"2"	"4"	"6"	"14"	"684"	"254"
"266"	"221"	"252"	""	"35"	"1"	"0"	"4"	"25"	"160"	"7"	"13"	"5"	"10"	"12"	"2"	"5"	"5"	"16"	"773"	"255"
"267"	"221"	"253"	""	"47"	"1"	"6"	"5"	"79"	"134"	"7"	"11"	"6"	"3"	"8"	"3"	"2"	"3"	"5"	"794"	"256"
"268"	"221"	"254"	""	"7"	"0"	"13"	"2"	"136"	"164"	"4"	"22"	"2"	"6"	"6"	"3"	"3"	"2"	"5"	"850"	"257"
"269"	""	""	""	"2"	"0"	"0"	"0"	"4"	"8"	"0"	"3"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"18"	""
"270"	""	"Total"	""	"11850"	"847"	"1868"	"7415"	"25026"	"36860"	"1359"	"5705"	"837"	"1424"	"2649"	"1152"	"763"	"1162"	"2898"	"101815"	""
