"X1.i.z..i..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"[fu; e 56¼7½ nsf[ k, ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"v fUr e  i fj . kkei ="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"¼vf/kl wfpr  er nku dsUnzksa l s fHkUu er nku dsUnzksa i j  er nku dk i fj .kke vfHkfyf[ kr  dj us ds fy ,  mi ; ksx esa yk; k t k, ½ 27& ckadk fuokZpu {ks= esa   161 ckadk fo| ku l Hkk {k= ds fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Hkkx 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"l Hkk [ k.M dk uke ¼l al nh;  fuokZpu {ks= l s fuokZpu dh l Hkk esa ½ --161 ckdk fo/kku l Hkk fuokZpu {ks= [k.M esa fuokZpdksa dh dqy  l a[ ; k ---203931---"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"er nku
d sUnz  dh Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa  dh l a[ ; k"
"142"	"126"	"134"	"15"	"9"	"41"	"2"	"3"	"3"	"3"	"8"	"93"	"20"	"29"	"2"	"31"	"3"	"396"	"0"	"396"	"0"
"143"	"127"	"97"	"10"	"4"	"180"	"5"	"4"	"2"	"3"	"2"	"43"	"11"	"18"	"1"	"15"	"7"	"402"	"0"	"402"	"0"
"144"	"128"	"22"	"3"	"17"	"202"	"6"	"10"	"2"	"2"	"7"	"61"	"7"	"38"	"0"	"26"	"3"	"406"	"0"	"406"	"0"
"145"	"129"	"100"	"19"	"8"	"46"	"7"	"3"	"8"	"7"	"3"	"38"	"3"	"19"	"8"	"138"	"8"	"415"	"0"	"415"	"0"
"146"	"130"	"168"	"20"	"13"	"20"	"5"	"7"	"4"	"3"	"15"	"58"	"7"	"38"	"5"	"58"	"15"	"436"	"0"	"436"	"0"
"147"	"131"	"193"	"30"	"11"	"23"	"5"	"4"	"5"	"6"	"12"	"51"	"8"	"28"	"7"	"35"	"12"	"430"	"0"	"430"	"0"
"148"	"132"	"117"	"10"	"43"	"73"	"5"	"7"	"3"	"4"	"6"	"149"	"5"	"55"	"1"	"33"	"7"	"518"	"0"	"518"	"0"
"149"	"133"	"206"	"12"	"3"	"86"	"1"	"6"	"1"	"1"	"2"	"19"	"2"	"17"	"3"	"13"	"5"	"377"	"0"	"377"	"0"
"150"	"134"	"99"	"10"	"34"	"194"	"7"	"8"	"3"	"3"	"1"	"45"	"7"	"15"	"3"	"9"	"10"	"448"	"0"	"448"	"0"
"151"	"135"	"16"	"4"	"26"	"250"	"0"	"5"	"1"	"4"	"9"	"60"	"11"	"38"	"12"	"20"	"18"	"474"	"0"	"474"	"0"
"152"	"136"	"47"	"1"	"4"	"78"	"1"	"7"	"1"	"4"	"1"	"26"	"44"	"15"	"3"	"49"	"1"	"282"	"0"	"282"	"0"
"153"	"137"	"33"	"6"	"42"	"42"	"2"	"2"	"1"	"4"	"3"	"67"	"4"	"29"	"3"	"42"	"5"	"285"	"0"	"285"	"0"
"154"	"138"	"555"	"40"	"14"	"2"	"3"	"3"	"2"	"2"	"3"	"36"	"1"	"17"	"0"	"1"	"5"	"684"	"0"	"684"	"0"
"155"	"139"	"546"	"17"	"4"	"13"	"1"	"5"	"0"	"0"	"1"	"27"	"0"	"7"	"3"	"23"	"15"	"662"	"0"	"662"	"0"
"156"	"140"	"52"	"7"	"8"	"302"	"11"	"8"	"1"	"3"	"3"	"48"	"10"	"18"	"6"	"37"	"12"	"526"	"0"	"526"	"0"
"157"	"141"	"37"	"7"	"9"	"322"	"8"	"7"	"3"	"2"	"6"	"52"	"20"	"26"	"7"	"30"	"14"	"550"	"0"	"550"	"0"
"158"	"142"	"512"	"30"	"8"	"16"	"3"	"2"	"5"	"1"	"1"	"2"	"1"	"2"	"0"	"30"	"13"	"626"	"0"	"626"	"0"
"159"	"143"	"58"	"10"	"14"	"56"	"1"	"6"	"3"	"0"	"5"	"25"	"6"	"26"	"2"	"93"	"20"	"325"	"0"	"325"	"0"
"160"	"144"	"106"	"20"	"170"	"194"	"0"	"11"	"1"	"8"	"6"	"55"	"13"	"30"	"4"	"30"	"10"	"658"	"0"	"658"	"0"
"161"	"145"	"19"	"4"	"28"	"188"	"3"	"2"	"2"	"4"	"3"	"52"	"80"	"35"	"3"	"13"	"6"	"442"	"0"	"442"	"0"
"162"	"146"	"51"	"9"	"36"	"186"	"7"	"11"	"2"	"7"	"5"	"37"	"35"	"23"	"0"	"10"	"9"	"428"	"0"	"428"	"0"
"163"	"147"	"61"	"15"	"6"	"304"	"0"	"2"	"1"	"0"	"2"	"51"	"3"	"19"	"2"	"79"	"3"	"548"	"0"	"548"	"0"
"164"	"148"	"58"	"8"	"7"	"286"	"4"	"5"	"0"	"0"	"1"	"68"	"2"	"15"	"1"	"15"	"6"	"476"	"0"	"476"	"0"
"165"	"149"	"305"	"38"	"5"	"20"	"1"	"3"	"3"	"1"	"1"	"39"	"3"	"16"	"1"	"2"	"6"	"444"	"0"	"444"	"0"
"166"	"150"	"247"	"23"	"0"	"18"	"0"	"6"	"2"	"0"	"4"	"27"	"0"	"12"	"0"	"3"	"0"	"342"	"0"	"342"	"0"
"167"	"151"	"29"	"13"	"69"	"213"	"8"	"8"	"3"	"9"	"1"	"37"	"7"	"47"	"2"	"11"	"13"	"470"	"0"	"470"	"0"
"168"	"152"	"59"	"5"	"9"	"295"	"3"	"2"	"1"	"0"	"1"	"26"	"2"	"13"	"1"	"6"	"1"	"424"	"0"	"424"	"0"
"169"	"er nku
d sUnz  dh Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa  dh l a[ ; k"
"170"	""	"t kosn
bdcky v al kj h"	"uhy wQj
ukfgn"	"eukst
fl ag"	"j ke
ukj k; . k eaMYk"	"mekdkUr
; kno"	"?ku' ; ke
eaMy"	"t Q: y
gksnk"	"t ;
i zd k' k pkS/kj h"	"egs' k
j kmr"	"vft r
d qekj fl ag"	"uj s' k
fi z; n' khZ"	"i zr hHkk
i zd k' k"	"l r h' k
pUnz fl Ugk"	"fl Ei y
nsoh"	"l hr kj ke
i kl oku"	""	""	""	""
"171"	"153"	"125"	"7"	"9"	"145"	"6"	"2"	"2"	"6"	"3"	"29"	"6"	"20"	"2"	"8"	"5"	"375"	"0"	"375"	"0"
"172"	"154"	"27"	"2"	"2"	"213"	"1"	"18"	"0"	"2"	"4"	"28"	"14"	"15"	"0"	"1"	"2"	"329"	"0"	"329"	"0"
"173"	"155"	"209"	"19"	"33"	"116"	"5"	"8"	"3"	"2"	"6"	"166"	"11"	"44"	"11"	"34"	"16"	"683"	"0"	"683"	"0"
"174"	"156"	"31"	"2"	"18"	"33"	"0"	"1"	"0"	"0"	"0"	"47"	"7"	"24"	"2"	"6"	"1"	"172"	"0"	"172"	"0"
"175"	"157"	"34"	"3"	"1"	"131"	"12"	"3"	"2"	"3"	"0"	"19"	"5"	"18"	"6"	"52"	"3"	"292"	"0"	"292"	"0"
"176"	"158"	"212"	"10"	"21"	"72"	"0"	"2"	"1"	"2"	"3"	"15"	"0"	"18"	"5"	"134"	"9"	"504"	"0"	"504"	"0"
"177"	"159"	"8"	"5"	"2"	"95"	"3"	"4"	"2"	"0"	"2"	"28"	"4"	"11"	"2"	"22"	"1"	"189"	"0"	"189"	"0"
"178"	"160"	"4"	"6"	"9"	"22"	"0"	"3"	"3"	"0"	"1"	"48"	"5"	"26"	"4"	"129"	"0"	"260"	"0"	"260"	"0"
"179"	"161"	"24"	"2"	"5"	"42"	"3"	"9"	"0"	"1"	"3"	"42"	"7"	"13"	"1"	"44"	"6"	"202"	"0"	"202"	"0"
"180"	"162"	"38"	"9"	"1"	"197"	"0"	"19"	"1"	"1"	"1"	"33"	"1"	"15"	"1"	"83"	"0"	"400"	"0"	"400"	"0"
"181"	"163"	"58"	"6"	"10"	"288"	"6"	"28"	"3"	"3"	"3"	"50"	"3"	"33"	"10"	"133"	"8"	"642"	"0"	"642"	"0"
"182"	"164"	"62"	"8"	"0"	"120"	"1"	"4"	"1"	"3"	"0"	"81"	"56"	"42"	"3"	"175"	"6"	"562"	"0"	"562"	"0"
"183"	"165"	"59"	"6"	"17"	"113"	"5"	"17"	"3"	"3"	"1"	"43"	"130"	"30"	"4"	"101"	"10"	"542"	"0"	"542"	"0"
"184"	"166"	"120"	"6"	"135"	"208"	"14"	"15"	"6"	"8"	"10"	"51"	"14"	"35"	"6"	"75"	"9"	"712"	"0"	"712"	"0"
"185"	"167"	"109"	"13"	"83"	"122"	"3"	"4"	"2"	"0"	"7"	"36"	"14"	"15"	"5"	"80"	"8"	"501"	"0"	"501"	"0"
"186"	"168"	"363"	"6"	"20"	"46"	"0"	"0"	"1"	"2"	"3"	"25"	"4"	"4"	"0"	"26"	"2"	"502"	"0"	"502"	"0"
"187"	"169"	"166"	"7"	"108"	"116"	"4"	"6"	"3"	"1"	"0"	"36"	"7"	"19"	"2"	"3"	"4"	"482"	"0"	"482"	"0"
"188"	"170"	"269"	"39"	"10"	"197"	"9"	"36"	"3"	"5"	"2"	"45"	"12"	"21"	"3"	"39"	"7"	"697"	"0"	"697"	"0"
"189"	"171"	"257"	"22"	"4"	"145"	"5"	"2"	"2"	"3"	"9"	"43"	"10"	"45"	"4"	"61"	"31"	"643"	"0"	"643"	"0"
"190"	"172"	"165"	"18"	"75"	"119"	"1"	"1"	"2"	"0"	"2"	"30"	"2"	"11"	"2"	"48"	"5"	"481"	"0"	"481"	"0"
"191"	"173"	"6"	"4"	"4"	"71"	"2"	"1"	"0"	"2"	"0"	"66"	"53"	"22"	"4"	"9"	"3"	"247"	"0"	"247"	"0"
"192"	"174"	"87"	"16"	"8"	"428"	"4"	"4"	"3"	"1"	"2"	"35"	"11"	"17"	"2"	"14"	"3"	"635"	"0"	"635"	"0"
"193"	"175"	"62"	"18"	"2"	"403"	"2"	"6"	"0"	"2"	"4"	"29"	"3"	"10"	"2"	"20"	"1"	"564"	"0"	"564"	"0"
"194"	"176"	"74"	"7"	"8"	"354"	"5"	"2"	"0"	"4"	"2"	"21"	"4"	"19"	"1"	"25"	"1"	"527"	"0"	"527"	"0"
"195"	"177"	"169"	"13"	"1"	"72"	"2"	"0"	"1"	"0"	"0"	"98"	"13"	"21"	"1"	"10"	"5"	"406"	"0"	"406"	"0"
"196"	"178"	"211"	"24"	"1"	"17"	"3"	"2"	"3"	"0"	"3"	"58"	"1"	"9"	"0"	"10"	"6"	"348"	"0"	"348"	"0"
"197"	"179"	"419"	"35"	"6"	"32"	"2"	"5"	"3"	"1"	"4"	"86"	"3"	"36"	"9"	"27"	"16"	"684"	"0"	"684"	"0"
"198"	"180"	"45"	"3"	"3"	"150"	"2"	"1"	"1"	"1"	"1"	"15"	"1"	"11"	"3"	"14"	"5"	"256"	"0"	"256"	"0"
"199"	"181"	"254"	"11"	"2"	"48"	"2"	"0"	"2"	"0"	"0"	"18"	"4"	"4"	"0"	"20"	"3"	"368"	"0"	"368"	"0"
"200"	"182"	"115"	"15"	"55"	"164"	"5"	"9"	"2"	"3"	"11"	"110"	"15"	"59"	"2"	"46"	"12"	"623"	"0"	"623"	"0"
"201"	"183"	"154"	"11"	"1"	"106"	"5"	"3"	"0"	"0"	"7"	"41"	"6"	"21"	"2"	"21"	"5"	"383"	"0"	"383"	"0"
"202"	"184"	"140"	"17"	"3"	"40"	"2"	"3"	"1"	"1"	"1"	"68"	"10"	"15"	"1"	"12"	"3"	"317"	"0"	"317"	"0"
"203"	"185"	"117"	"15"	"19"	"12"	"4"	"2"	"1"	"0"	"2"	"90"	"6"	"24"	"0"	"15"	"2"	"309"	"0"	"309"	"0"
"204"	"186"	"57"	"8"	"4"	"81"	"3"	"1"	"2"	"1"	"8"	"309"	"4"	"34"	"1"	"5"	"6"	"524"	"0"	"524"	"0"
"205"	"187"	"300"	"30"	"57"	"18"	"4"	"7"	"5"	"9"	"4"	"51"	"16"	"16"	"5"	"105"	"9"	"636"	"0"	"636"	"0"
"206"	"188"	"17"	"0"	"1"	"67"	"2"	"0"	"1"	"2"	"2"	"53"	"4"	"11"	"1"	"2"	"3"	"166"	"0"	"166"	"0"
"207"	"189"	"5"	"1"	"15"	"167"	"5"	"0"	"0"	"2"	"2"	"11"	"2"	"7"	"2"	"8"	"0"	"227"	"0"	"227"	"0"
"208"	"190"	"253"	"9"	"2"	"52"	"0"	"0"	"1"	"2"	"1"	"28"	"0"	"13"	"1"	"7"	"6"	"375"	"0"	"375"	"0"
"209"	"190A"	"320"	"23"	"2"	"27"	"0"	"1"	"0"	"1"	"2"	"27"	"0"	"13"	"1"	"10"	"6"	"433"	"0"	"433"	"0"
"210"	"191"	"138"	"13"	"8"	"116"	"4"	"11"	"4"	"1"	"3"	"41"	"37"	"17"	"3"	"44"	"2"	"442"	"0"	"442"	"0"
"211"	"192"	"452"	"34"	"6"	"110"	"2"	"4"	"8"	"3"	"6"	"91"	"13"	"39"	"2"	"13"	"5"	"788"	"0"	"788"	"0"
"212"	"193"	"163"	"12"	"11"	"81"	"4"	"4"	"4"	"5"	"6"	"34"	"39"	"28"	"3"	"6"	"6"	"406"	"0"	"406"	"0"
"213"	"er nku
d sUnz  dh Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa  dh l a[ ; k"
"214"	""	"t kosn
bdcky v al kj h"	"uhy wQj
ukfgn"	"eukst
fl ag"	"j ke
ukj k; . k eaMYk"	"mekdkUr
; kno"	"?ku' ; ke
eaMy"	"t Q: y
gksnk"	"t ;
i zd k' k pkS/kj h"	"egs' k
j kmr"	"vft r
d qekj fl ag"	"uj s' k
fi z; n' khZ"	"i zr hHkk
i zd k' k"	"l r h' k
pUnz fl Ugk"	"fl Ei y
nsoh"	"l hr kj ke
i kl oku"	""	""	""	""
"215"	"194"	"39"	"16"	"4"	"389"	"9"	"26"	"2"	"4"	"5"	"82"	"18"	"33"	"3"	"88"	"3"	"721"	"0"	"721"	"0"
"216"	"195"	"259"	"13"	"3"	"140"	"5"	"5"	"0"	"2"	"0"	"12"	"0"	"12"	"0"	"14"	"5"	"470"	"0"	"470"	"0"
"217"	"196"	"118"	"14"	"4"	"168"	"2"	"119"	"2"	"1"	"3"	"26"	"5"	"14"	"2"	"34"	"1"	"513"	"0"	"513"	"0"
"218"	"197"	"28"	"3"	"25"	"156"	"2"	"121"	"11"	"2"	"5"	"32"	"15"	"16"	"4"	"119"	"6"	"545"	"0"	"545"	"0"
"219"	"198"	"373"	"58"	"9"	"100"	"1"	"6"	"2"	"0"	"1"	"14"	"3"	"10"	"3"	"58"	"7"	"645"	"0"	"645"	"0"
"220"	"198A"	"39"	"3"	"8"	"50"	"0"	"9"	"1"	"1"	"5"	"38"	"8"	"23"	"1"	"32"	"5"	"223"	"0"	"223"	"0"
"221"	"199"	"75"	"7"	"14"	"343"	"10"	"15"	"6"	"4"	"12"	"50"	"133"	"19"	"7"	"70"	"5"	"770"	"0"	"770"	"0"
"222"	"200"	"267"	"36"	"14"	"80"	"9"	"13"	"6"	"6"	"4"	"129"	"60"	"64"	"12"	"81"	"11"	"792"	"0"	"792"	"0"
"223"	"201"	"15"	"4"	"2"	"162"	"6"	"15"	"2"	"2"	"1"	"25"	"64"	"10"	"4"	"37"	"3"	"352"	"0"	"352"	"0"
"224"	"202"	"476"	"26"	"7"	"62"	"1"	"1"	"1"	"4"	"2"	"2"	"3"	"5"	"4"	"93"	"3"	"690"	"0"	"690"	"0"
"225"	"203"	"117"	"5"	"4"	"28"	"0"	"0"	"1"	"0"	"0"	"83"	"2"	"19"	"1"	"155"	"2"	"417"	"0"	"417"	"0"
"226"	"204"	"45"	"10"	"5"	"174"	"5"	"2"	"0"	"2"	"3"	"108"	"27"	"19"	"3"	"34"	"1"	"438"	"0"	"438"	"0"
"227"	"205"	"4"	"2"	"2"	"64"	"2"	"7"	"1"	"2"	"1"	"83"	"20"	"13"	"3"	"30"	"2"	"236"	"0"	"236"	"0"
"228"	"206"	"7"	"2"	"14"	"44"	"1"	"1"	"0"	"1"	"1"	"78"	"0"	"14"	"0"	"109"	"2"	"274"	"0"	"274"	"0"
"229"	"207"	"11"	"8"	"0"	"102"	"3"	"4"	"2"	"3"	"7"	"190"	"7"	"58"	"1"	"28"	"0"	"424"	"0"	"424"	"0"
"230"	"208"	"116"	"23"	"144"	"128"	"6"	"1"	"1"	"4"	"7"	"35"	"97"	"24"	"5"	"61"	"6"	"658"	"0"	"658"	"0"
"231"	"209"	"121"	"10"	"14"	"110"	"3"	"0"	"1"	"0"	"5"	"126"	"17"	"58"	"3"	"25"	"14"	"507"	"0"	"507"	"0"
"232"	"210"	"28"	"0"	"3"	"82"	"2"	"6"	"3"	"0"	"3"	"52"	"2"	"19"	"1"	"6"	"3"	"210"	"0"	"210"	"0"
"233"	"211"	"28"	"6"	"6"	"200"	"3"	"12"	"0"	"3"	"2"	"53"	"2"	"25"	"0"	"66"	"1"	"407"	"0"	"407"	"0"
"234"	"212"	"8"	"1"	"3"	"181"	"3"	"2"	"0"	"0"	"0"	"72"	"4"	"46"	"3"	"11"	"6"	"340"	"0"	"340"	"0"
"235"	"213"	"96"	"9"	"42"	"129"	"4"	"3"	"9"	"1"	"1"	"101"	"14"	"28"	"4"	"44"	"1"	"486"	"0"	"486"	"0"
"236"	"214"	"81"	"3"	"3"	"99"	"0"	"1"	"0"	"0"	"0"	"17"	"3"	"5"	"0"	"33"	"0"	"245"	"0"	"245"	"0"
"237"	"215"	"25"	"2"	"3"	"79"	"0"	"5"	"0"	"0"	"1"	"18"	"2"	"13"	"1"	"38"	"4"	"191"	"0"	"191"	"0"
"238"	"216"	"83"	"18"	"97"	"167"	"4"	"5"	"3"	"3"	"4"	"36"	"6"	"26"	"3"	"21"	"8"	"484"	"0"	"484"	"0"
"239"	"217"	"106"	"9"	"10"	"257"	"3"	"7"	"4"	"1"	"6"	"95"	"24"	"58"	"4"	"60"	"11"	"655"	"0"	"655"	"0"
"240"	"218"	"94"	"8"	"2"	"386"	"1"	"6"	"2"	"2"	"2"	"26"	"1"	"19"	"1"	"56"	"5"	"611"	"0"	"611"	"0"
"241"	"219"	"210"	"15"	"34"	"102"	"5"	"1"	"0"	"1"	"4"	"22"	"6"	"11"	"4"	"141"	"11"	"567"	"0"	"567"	"0"
"242"	"220"	"80"	"7"	"5"	"129"	"5"	"4"	"1"	"3"	"2"	"23"	"5"	"14"	"2"	"157"	"0"	"437"	"0"	"437"	"0"
"243"	"221"	"88"	"10"	"10"	"146"	"5"	"5"	"2"	"1"	"2"	"30"	"12"	"13"	"8"	"33"	"6"	"371"	"0"	"371"	"0"
"244"	"222"	"112"	"9"	"18"	"144"	"2"	"4"	"0"	"1"	"6"	"66"	"6"	"40"	"4"	"76"	"11"	"499"	"0"	"499"	"0"
"245"	"223"	"63"	"14"	"36"	"98"	"6"	"7"	"11"	"5"	"12"	"125"	"8"	"38"	"9"	"71"	"12"	"515"	"0"	"515"	"0"
"246"	"224"	"119"	"7"	"1"	"3"	"0"	"0"	"2"	"1"	"1"	"17"	"3"	"11"	"0"	"99"	"2"	"266"	"0"	"266"	"0"
"247"	"225"	"14"	"5"	"5"	"153"	"3"	"4"	"1"	"2"	"2"	"63"	"5"	"26"	"3"	"28"	"0"	"314"	"0"	"314"	"0"
"248"	"226"	"37"	"10"	"39"	"75"	"4"	"8"	"1"	"2"	"7"	"195"	"12"	"59"	"8"	"134"	"15"	"606"	"0"	"606"	"0"
"249"	"227"	"20"	"4"	"8"	"68"	"1"	"2"	"4"	"2"	"1"	"107"	"3"	"49"	"2"	"68"	"6"	"345"	"0"	"345"	"0"
"250"	"228"	"107"	"14"	"1"	"54"	"2"	"2"	"1"	"0"	"2"	"39"	"2"	"16"	"2"	"44"	"4"	"290"	"0"	"290"	"0"
"251"	"229"	"298"	"64"	"9"	"4"	"1"	"0"	"6"	"3"	"1"	"21"	"1"	"15"	"1"	"14"	"3"	"441"	"0"	"441"	"0"
"252"	"er nku dsUnzksa
i j  vfHkfyf[ kr er ksa dh dqy
l a[ ; k"	"29019"	"2826"	"5168"	"26625"	"815"	"1520"	"620"	"541"	"882"	"17896"	"2805"	"6762"	"921"	"8610"	"1630"	"106640"	"0"	"106640"	"0"
"253"	"er nku
d sUnz  dh Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa  dh l a[ ; k"
"254"	""	"t kosn
bdcky v al kj h"	"uhy wQj
ukfgn"	"eukst
fl ag"	"j ke
ukj k; . k eaMYk"	"mekdkUr
; kno"	"?ku' ; ke
eaMy"	"t Q: y
gksnk"	"t ;
i zd k' k pkS/kj h"	"egs' k
j kmr"	"vft r
d qekj fl ag"	"uj s' k
fi z; n' khZ"	"i zr hHkk
i zd k' k"	"l r h' k
pUnz fl Ugk"	"fl Ei y
nsoh"	"l hr kj ke
i kl oku"	""	""	""	""
"255"	"Mkd  er i =ksa i j
vfHkfyf[ kr  er ksa dh l a[ ; k"	"28"	"1"	"1"	"12"	"0"	"0"	"0"	"1"	"0"	"6"	"1"	"0"	"0"	"0"	"1"	"51"	"11"	"62"	"0"
"256"	"Mky s  x,  d qy
er"	"29047"	"2827"	"5169"	"26637"	"815"	"1520"	"620"	"542"	"882"	"17902"	"2806"	"6762"	"921"	"8610"	"1631"	"106691"	"11"	"106702"	"0"
"257"	"LFkku   %     i h0 ch0 , l 0 dkWy st   ckadk"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"r kj h[ k %     #####                                                                                                                                                                       fj VfuZax vkWfQl j"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
