"ANNEXURE..XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"181"	"155"	"0"	"41"	"27"	"35"	"1"	"265"	"1"	"4"	"18"	"6"	"0"	"2"	"400"	"0"	"400"	"0"
"182"	"156"	"7"	"130"	"114"	"22"	"11"	"259"	"4"	"2"	"12"	"3"	"4"	"4"	"572"	"0"	"572"	"0"
"183"	"157"	"1"	"63"	"18"	"30"	"2"	"204"	"7"	"3"	"7"	"0"	"2"	"2"	"339"	"0"	"339"	"0"
"184"	"157A"	"1"	"82"	"16"	"24"	"3"	"139"	"0"	"0"	"5"	"0"	"1"	"0"	"271"	"0"	"271"	"0"
"185"	"158"	"3"	"112"	"20"	"38"	"10"	"404"	"11"	"2"	"17"	"3"	"4"	"4"	"628"	"0"	"628"	"0"
"186"	"159"	"4"	"186"	"36"	"57"	"24"	"441"	"10"	"6"	"22"	"7"	"9"	"6"	"808"	"0"	"808"	"0"
"187"	"160"	"7"	"163"	"19"	"29"	"12"	"248"	"5"	"3"	"5"	"2"	"7"	"2"	"502"	"0"	"502"	"0"
"188"	"161"	"2"	"120"	"24"	"34"	"6"	"213"	"1"	"3"	"2"	"2"	"1"	"2"	"410"	"0"	"410"	"0"
"189"	"162"	"6"	"137"	"47"	"47"	"25"	"288"	"3"	"6"	"19"	"1"	"1"	"2"	"582"	"0"	"582"	"0"
"190"	"163"	"18"	"227"	"8"	"31"	"1"	"132"	"4"	"3"	"11"	"8"	"16"	"48"	"507"	"0"	"507"	"0"
"191"	"163A"	"4"	"130"	"25"	"21"	"3"	"151"	"4"	"3"	"5"	"2"	"0"	"5"	"353"	"0"	"353"	"0"
"192"	"164"	"5"	"104"	"12"	"34"	"3"	"172"	"2"	"2"	"7"	"3"	"8"	"3"	"355"	"0"	"355"	"0"
"193"	"Sl.No of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"194"	""	"Arun Kumar Paswan"	"Upendra Prasad Singh"	"Md. Usman"	"Shanti Swami"	"Surendra Kumar Sahni"	"Surendra Mehta"	"Amarjit Kumar"	"Dinesh Prasad Singh Alias Dineshanand Ji Maharaj"	"Dilip Kumar"	"Dilip Kesri"	"Kusheshwar Paswan Alias Kundan"	"Rajeev Kumar Amar"	""	""	""	""
"195"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"196"	"164A"	"11"	"101"	"8"	"34"	"3"	"323"	"5"	"5"	"17"	"5"	"4"	"5"	"521"	"0"	"521"	"0"
"197"	"165"	"5"	"49"	"12"	"30"	"2"	"266"	"1"	"2"	"6"	"1"	"2"	"6"	"382"	"0"	"382"	"0"
"198"	"166"	"3"	"132"	"14"	"30"	"2"	"154"	"3"	"3"	"20"	"1"	"2"	"3"	"367"	"0"	"367"	"0"
"199"	"167"	"5"	"302"	"16"	"49"	"5"	"129"	"2"	"5"	"6"	"2"	"10"	"9"	"540"	"0"	"540"	"0"
"200"	"168"	"2"	"32"	"15"	"104"	"3"	"357"	"2"	"1"	"13"	"0"	"2"	"2"	"533"	"0"	"533"	"0"
"201"	"169"	"2"	"28"	"72"	"53"	"7"	"194"	"3"	"2"	"8"	"1"	"1"	"0"	"371"	"0"	"371"	"0"
"202"	"169A"	"1"	"25"	"34"	"42"	"2"	"333"	"3"	"1"	"11"	"1"	"2"	"5"	"460"	"0"	"460"	"0"
"203"	"170"	"0"	"60"	"24"	"81"	"1"	"283"	"3"	"3"	"10"	"0"	"4"	"1"	"470"	"0"	"470"	"0"
"204"	"171"	"4"	"136"	"20"	"31"	"5"	"347"	"5"	"1"	"17"	"3"	"8"	"7"	"584"	"0"	"584"	"0"
"205"	"172"	"1"	"54"	"62"	"36"	"2"	"269"	"3"	"6"	"16"	"5"	"2"	"1"	"457"	"0"	"457"	"0"
"206"	"172A"	"1"	"23"	"28"	"18"	"2"	"197"	"2"	"4"	"6"	"3"	"2"	"3"	"289"	"0"	"289"	"0"
"207"	"173"	"2"	"209"	"16"	"6"	"4"	"68"	"1"	"1"	"6"	"1"	"10"	"4"	"328"	"0"	"328"	"0"
"208"	"174"	"8"	"141"	"281"	"46"	"8"	"156"	"5"	"8"	"22"	"15"	"15"	"18"	"723"	"0"	"723"	"0"
"209"	"175"	"6"	"222"	"108"	"69"	"10"	"284"	"8"	"10"	"30"	"5"	"14"	"18"	"784"	"0"	"784"	"0"
"210"	"176"	"5"	"310"	"88"	"32"	"4"	"276"	"3"	"3"	"27"	"4"	"10"	"16"	"778"	"0"	"778"	"0"
"211"	"177"	"5"	"191"	"36"	"53"	"6"	"379"	"9"	"2"	"20"	"5"	"12"	"14"	"732"	"0"	"732"	"0"
"212"	"178"	"8"	"104"	"23"	"47"	"9"	"348"	"5"	"8"	"22"	"7"	"8"	"12"	"601"	"0"	"601"	"0"
"213"	"179"	"1"	"38"	"111"	"42"	"1"	"444"	"4"	"2"	"12"	"5"	"2"	"4"	"666"	"0"	"666"	"0"
"214"	"180"	"6"	"104"	"25"	"36"	"9"	"401"	"4"	"4"	"10"	"1"	"9"	"8"	"617"	"0"	"617"	"0"
"215"	"181"	"21"	"446"	"12"	"15"	"3"	"126"	"2"	"4"	"8"	"10"	"33"	"32"	"712"	"0"	"712"	"0"
"216"	"182"	"9"	"180"	"42"	"40"	"9"	"265"	"4"	"3"	"10"	"1"	"8"	"9"	"580"	"0"	"580"	"0"
"217"	"183"	"6"	"124"	"48"	"42"	"9"	"372"	"13"	"13"	"19"	"3"	"6"	"8"	"663"	"0"	"663"	"0"
"218"	"184"	"2"	"144"	"20"	"39"	"3"	"180"	"0"	"2"	"26"	"2"	"3"	"4"	"425"	"0"	"425"	"0"
"219"	"185"	"1"	"89"	"10"	"22"	"4"	"227"	"0"	"3"	"9"	"1"	"1"	"3"	"370"	"0"	"370"	"0"
"220"	"186"	"2"	"131"	"23"	"44"	"1"	"145"	"1"	"1"	"15"	"1"	"5"	"2"	"371"	"0"	"371"	"0"
"221"	"187"	"4"	"69"	"16"	"8"	"1"	"269"	"6"	"0"	"14"	"2"	"5"	"3"	"397"	"0"	"397"	"0"
"222"	"187A"	"1"	"61"	"25"	"9"	"6"	"308"	"6"	"3"	"17"	"3"	"6"	"6"	"451"	"0"	"451"	"0"
"223"	"188"	"2"	"35"	"3"	"12"	"2"	"268"	"7"	"2"	"8"	"2"	"2"	"3"	"346"	"0"	"346"	"0"
"224"	"188A"	"4"	"79"	"7"	"6"	"0"	"309"	"8"	"7"	"17"	"9"	"19"	"10"	"475"	"0"	"475"	"0"
"225"	"Sl.No of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"226"	""	"Arun Kumar Paswan"	"Upendra Prasad Singh"	"Md. Usman"	"Shanti Swami"	"Surendra Kumar Sahni"	"Surendra Mehta"	"Amarjit Kumar"	"Dinesh Prasad Singh Alias Dineshanand Ji Maharaj"	"Dilip Kumar"	"Dilip Kesri"	"Kusheshwar Paswan Alias Kundan"	"Rajeev Kumar Amar"	""	""	""	""
"227"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"228"	"189"	"6"	"187"	"28"	"58"	"7"	"359"	"2"	"4"	"13"	"7"	"6"	"16"	"693"	"0"	"693"	"0"
"229"	"190"	"0"	"65"	"18"	"82"	"7"	"584"	"2"	"3"	"15"	"4"	"10"	"7"	"797"	"0"	"797"	"0"
"230"	"191"	"6"	"152"	"41"	"80"	"8"	"355"	"5"	"4"	"22"	"0"	"4"	"7"	"684"	"0"	"684"	"0"
"231"	"192"	"3"	"90"	"155"	"45"	"3"	"301"	"5"	"6"	"13"	"4"	"4"	"6"	"635"	"0"	"635"	"0"
"232"	"193"	"1"	"101"	"48"	"33"	"2"	"111"	"1"	"0"	"9"	"1"	"1"	"1"	"309"	"0"	"309"	"0"
"233"	"194"	"5"	"133"	"137"	"33"	"4"	"124"	"3"	"5"	"11"	"3"	"7"	"9"	"474"	"0"	"474"	"0"
"234"	"195"	"1"	"16"	"193"	"11"	"0"	"37"	"0"	"0"	"2"	"1"	"1"	"1"	"263"	"0"	"263"	"0"
"235"	"195A"	"2"	"40"	"324"	"13"	"3"	"39"	"2"	"0"	"1"	"0"	"1"	"3"	"428"	"0"	"428"	"0"
"236"	"196"	"3"	"26"	"44"	"56"	"5"	"425"	"5"	"5"	"12"	"4"	"5"	"4"	"594"	"0"	"594"	"0"
"237"	"197"	"3"	"13"	"36"	"11"	"2"	"208"	"1"	"2"	"6"	"0"	"1"	"0"	"283"	"0"	"283"	"0"
"238"	"198"	"7"	"50"	"75"	"48"	"11"	"273"	"4"	"6"	"17"	"5"	"10"	"8"	"514"	"0"	"514"	"0"
"239"	"198A"	"3"	"103"	"85"	"43"	"5"	"191"	"1"	"3"	"14"	"3"	"3"	"11"	"465"	"0"	"465"	"0"
"240"	"199"	"2"	"60"	"43"	"22"	"2"	"190"	"1"	"5"	"4"	"3"	"1"	"0"	"333"	"0"	"333"	"0"
"241"	"199A"	"1"	"45"	"49"	"22"	"1"	"334"	"3"	"2"	"20"	"4"	"4"	"17"	"502"	"0"	"502"	"0"
"242"	"200"	"3"	"76"	"45"	"33"	"4"	"413"	"7"	"5"	"18"	"7"	"3"	"5"	"619"	"0"	"619"	"0"
"243"	"201"	"1"	"89"	"110"	"18"	"1"	"93"	"0"	"1"	"9"	"0"	"4"	"9"	"335"	"0"	"335"	"0"
"244"	"202"	"1"	"90"	"23"	"85"	"52"	"263"	"10"	"7"	"26"	"4"	"12"	"6"	"579"	"0"	"579"	"0"
"245"	"203"	"7"	"170"	"27"	"40"	"10"	"183"	"3"	"4"	"16"	"1"	"11"	"7"	"479"	"0"	"479"	"0"
"246"	"203A"	"2"	"84"	"14"	"39"	"4"	"227"	"5"	"6"	"13"	"2"	"5"	"13"	"414"	"0"	"414"	"0"
"247"	"204"	"11"	"274"	"76"	"81"	"24"	"203"	"7"	"12"	"21"	"9"	"21"	"31"	"770"	"0"	"770"	"0"
"248"	"205"	"0"	"44"	"52"	"39"	"3"	"362"	"4"	"2"	"10"	"0"	"3"	"2"	"521"	"0"	"521"	"0"
"249"	"206"	"3"	"67"	"34"	"38"	"4"	"439"	"7"	"8"	"11"	"2"	"5"	"7"	"625"	"0"	"625"	"0"
"250"	"207"	"1"	"45"	"17"	"35"	"1"	"471"	"5"	"2"	"12"	"6"	"5"	"10"	"610"	"0"	"610"	"0"
"251"	"208"	"1"	"77"	"65"	"21"	"5"	"424"	"6"	"7"	"30"	"6"	"6"	"14"	"662"	"0"	"662"	"0"
"252"	"209"	"6"	"183"	"22"	"30"	"7"	"251"	"2"	"3"	"12"	"7"	"11"	"5"	"539"	"0"	"539"	"0"
"253"	"210"	"8"	"136"	"10"	"15"	"16"	"408"	"4"	"5"	"7"	"3"	"10"	"2"	"624"	"0"	"624"	"0"
"254"	"Postal Ballot"	"2"	"106"	"56"	"35"	"15"	"113"	"0"	"5"	"0"	"0"	"0"	"1"	"333"	"0"	"333"	"0"
"255"	"Sl.No of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"256"	""	"Arun Kumar Paswan"	"Upendra Prasad Singh"	"Md. Usman"	"Shanti Swami"	"Surendra Kumar Sahni"	"Surendra Mehta"	"Amarjit Kumar"	"Dinesh Prasad Singh Alias Dineshanand Ji Maharaj"	"Dilip Kumar"	"Dilip Kesri"	"Kusheshwar Paswan Alias Kundan"	"Rajeev Kumar Amar"	""	""	""	""
"257"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"258"	"Total Votes Polled"	"2228"	"30984"	"19929"	"8309"	"4809"	"50602"	"1548"	"1430"	"2539"	"1158"	"2564"	"2970"	"129070"	"0"	"129070"	"0"
"259"	"Place :  Bazar Samitee Begusarai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"Date :    24-11-2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"261"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
