"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"Name of the Assembly  - 141 Cheriya Bariyarpur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"189"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"190"	""	"Anil Kumar Choudhary"	"Usha Sahani"	"Kumari Manju Verma"	"Ram Pravesh Mahto"	"Hare Krishna Mahto"	"Upendra Mahto"	"Chunchun Kumar"	"Ramashray a Mahto"	"Shahid Akhtar"	"Radha Krishna Singh"	"Sudarshan Singh"	""	""	""	""
"191"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"192"	"147"	"280"	"14"	"10"	"4"	"1"	"11"	"7"	"0"	"2"	"5"	"24"	"358"	"0"	"358"	"0"
"193"	"148"	"131"	"11"	"83"	"4"	"2"	"2"	"16"	"1"	"1"	"5"	"155"	"411"	"0"	"411"	"0"
"194"	"148A"	"60"	"17"	"66"	"2"	"4"	"0"	"6"	"3"	"4"	"6"	"173"	"341"	"0"	"341"	"0"
"195"	"149"	"290"	"69"	"217"	"6"	"3"	"12"	"20"	"6"	"7"	"11"	"75"	"716"	"0"	"716"	"0"
"196"	"150"	"279"	"14"	"10"	"3"	"1"	"8"	"5"	"2"	"0"	"4"	"32"	"358"	"0"	"358"	"0"
"197"	"151"	"142"	"18"	"97"	"6"	"2"	"2"	"10"	"3"	"2"	"4"	"168"	"454"	"0"	"454"	"0"
"198"	"152"	"270"	"25"	"32"	"4"	"3"	"10"	"3"	"3"	"4"	"8"	"46"	"408"	"0"	"408"	"0"
"199"	"153"	"285"	"16"	"60"	"5"	"0"	"6"	"10"	"5"	"6"	"15"	"31"	"439"	"0"	"439"	"0"
"200"	"154"	"148"	"48"	"163"	"15"	"4"	"11"	"25"	"9"	"13"	"10"	"33"	"479"	"0"	"479"	"0"
"201"	"155"	"167"	"28"	"172"	"11"	"1"	"7"	"36"	"2"	"4"	"6"	"25"	"459"	"0"	"459"	"0"
"202"	"156"	"219"	"46"	"153"	"17"	"1"	"5"	"42"	"9"	"10"	"21"	"161"	"684"	"0"	"684"	"0"
"203"	"157"	"256"	"92"	"127"	"32"	"4"	"16"	"35"	"7"	"6"	"6"	"141"	"722"	"0"	"722"	"0"
"204"	"158"	"49"	"49"	"156"	"5"	"1"	"3"	"28"	"1"	"1"	"3"	"71"	"367"	"0"	"367"	"0"
"205"	"158A"	"87"	"56"	"192"	"7"	"2"	"4"	"32"	"2"	"1"	"5"	"112"	"500"	"0"	"500"	"0"
"206"	"159"	"172"	"58"	"202"	"20"	"6"	"14"	"47"	"9"	"3"	"14"	"148"	"693"	"0"	"693"	"0"
"207"	"160"	"126"	"96"	"280"	"21"	"3"	"4"	"56"	"8"	"3"	"6"	"158"	"761"	"0"	"761"	"0"
"208"	"161"	"109"	"159"	"284"	"12"	"2"	"9"	"105"	"26"	"21"	"25"	"70"	"822"	"0"	"822"	"0"
"209"	"162"	"103"	"52"	"210"	"10"	"3"	"8"	"49"	"8"	"19"	"16"	"105"	"583"	"0"	"583"	"0"
"210"	"163"	"90"	"58"	"69"	"2"	"1"	"9"	"23"	"3"	"9"	"8"	"76"	"348"	"0"	"348"	"0"
"211"	"164"	"79"	"242"	"162"	"10"	"6"	"4"	"25"	"8"	"6"	"9"	"105"	"656"	"0"	"656"	"0"
"212"	"165"	"202"	"144"	"167"	"22"	"6"	"13"	"33"	"9"	"1"	"5"	"35"	"637"	"0"	"637"	"0"
"213"	"166"	"119"	"130"	"263"	"12"	"1"	"5"	"45"	"1"	"0"	"10"	"191"	"777"	"0"	"777"	"0"
"214"	"167"	"37"	"36"	"247"	"5"	"7"	"10"	"53"	"4"	"8"	"12"	"89"	"508"	"0"	"508"	"0"
"215"	"168"	"129"	"21"	"186"	"8"	"1"	"5"	"56"	"9"	"8"	"6"	"135"	"564"	"0"	"564"	"0"
"216"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"217"	""	"Anil Kumar Choudhary"	"Usha Sahani"	"Kumari Manju Verma"	"Ram Pravesh Mahto"	"Hare Krishna Mahto"	"Upendra Mahto"	"Chunchun Kumar"	"Ramashray a Mahto"	"Shahid Akhtar"	"Radha Krishna Singh"	"Sudarshan Singh"	""	""	""	""
"218"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"219"	"169"	"34"	"250"	"67"	"5"	"2"	"4"	"38"	"8"	"8"	"9"	"88"	"513"	"0"	"513"	"0"
"220"	"170"	"70"	"125"	"97"	"6"	"5"	"3"	"29"	"11"	"9"	"11"	"123"	"489"	"0"	"489"	"0"
"221"	"171"	"61"	"145"	"55"	"8"	"0"	"2"	"38"	"6"	"3"	"10"	"422"	"750"	"0"	"750"	"0"
"222"	"172"	"162"	"65"	"107"	"13"	"2"	"7"	"57"	"4"	"4"	"6"	"266"	"693"	"0"	"693"	"0"
"223"	"173"	"65"	"41"	"31"	"4"	"1"	"3"	"7"	"1"	"0"	"10"	"521"	"684"	"0"	"684"	"0"
"224"	"174"	"95"	"30"	"28"	"3"	"1"	"7"	"4"	"6"	"3"	"11"	"763"	"951"	"0"	"951"	"0"
"225"	"175"	"149"	"99"	"37"	"1"	"2"	"8"	"11"	"1"	"3"	"10"	"476"	"797"	"0"	"797"	"0"
"226"	"176"	"53"	"30"	"35"	"2"	"1"	"3"	"3"	"3"	"5"	"11"	"766"	"912"	"0"	"912"	"0"
"227"	"177"	"71"	"114"	"32"	"10"	"2"	"4"	"20"	"7"	"2"	"11"	"510"	"783"	"0"	"783"	"0"
"228"	"Total No. of Votes Recorded at Polling station"	"31618"	"13428"	"32701"	"6104"	"808"	"1368"	"7071"	"1111"	"1635"	"3501"	"14506"	"113851"	"0"	"113851"	"0"
"229"	"No Of Votes Recoreded on Postal Ballot Paper"	"128"	"22"	"106"	"12"	"1"	"0"	"0"	"0"	"0"	"7"	"75"	"351"	"2"	"353"	"0"
"230"	"Total Votes Pollod"	"31746"	"13450"	"32807"	"6116"	"809"	"1368"	"7071"	"1111"	"1635"	"3508"	"14581"	"114202"	"2"	"114204"	"0"
"231"	"Place :          Bazar Samitee Begusarai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"Date :            24-11-2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"Returning Officer,"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"234"	"141- Cheriya Bariyarpur. Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
