"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 088---Gaighat CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Assembly Constituency :088---Gaighat"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No of Voters :230514"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Candidates Name ----->
BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"Total No Of Rejected Votes"	"Total No Of Tender Votes"
"153"	"127"	"20"	"3"	"241"	"96"	"3"	"2"	"0"	"0"	"1"	"2"	"2"	"3"	"13"	"7"	"1"	"5"	"399"	""	""
"154"	"128"	"12"	"3"	"72"	"166"	"6"	"0"	"0"	"1"	"0"	"1"	"2"	"4"	"8"	"5"	"8"	"3"	"291"	""	""
"155"	"129"	"10"	"0"	"68"	"285"	"3"	"0"	"1"	"0"	"2"	"0"	"0"	"2"	"3"	"1"	"2"	"2"	"379"	""	""
"156"	"130"	"9"	"1"	"135"	"262"	"2"	"0"	"0"	"1"	"1"	"0"	"3"	"4"	"6"	"7"	"2"	"5"	"438"	""	""
"157"	"131"	"6"	"3"	"248"	"286"	"3"	"2"	"1"	"0"	"7"	"3"	"2"	"16"	"7"	"13"	"2"	"11"	"610"	""	""
"158"	"132"	"4"	"5"	"156"	"180"	"7"	"2"	"1"	"3"	"6"	"3"	"3"	"23"	"26"	"10"	"3"	"10"	"442"	""	""
"159"	"133"	"52"	"2"	"37"	"217"	"6"	"2"	"1"	"1"	"0"	"3"	"0"	"4"	"5"	"1"	"3"	"9"	"343"	""	""
"160"	"134"	"50"	"5"	"274"	"295"	"15"	"2"	"3"	"3"	"1"	"4"	"5"	"12"	"11"	"11"	"12"	"50"	"753"	""	""
"161"	"135"	"38"	"3"	"274"	"314"	"7"	"2"	"7"	"1"	"6"	"3"	"7"	"15"	"14"	"8"	"6"	"9"	"714"	""	""
"162"	"136"	"13"	"1"	"60"	"206"	"20"	"4"	"2"	"3"	"3"	"3"	"4"	"86"	"23"	"9"	"3"	"16"	"456"	""	""
"163"	"137"	"33"	"9"	"233"	"201"	"6"	"1"	"5"	"6"	"3"	"5"	"3"	"10"	"7"	"9"	"3"	"11"	"545"	""	""
"164"	"138"	"27"	"7"	"128"	"154"	"11"	"0"	"2"	"2"	"4"	"3"	"1"	"10"	"6"	"6"	"3"	"5"	"369"	""	""
"165"	"139"	"28"	"6"	"139"	"253"	"7"	"2"	"7"	"3"	"3"	"7"	"6"	"11"	"16"	"6"	"5"	"13"	"512"	""	""
"166"	"140"	"18"	"1"	"86"	"156"	"8"	"5"	"2"	"0"	"1"	"3"	"5"	"7"	"12"	"8"	"6"	"17"	"335"	""	""
"167"	"141"	"22"	"6"	"260"	"302"	"7"	"1"	"12"	"3"	"10"	"5"	"0"	"12"	"12"	"13"	"2"	"7"	"674"	""	""
"168"	"Candidates Name ----->
BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"Total No Of Rejected Votes"	"Total No Of Tender Votes"
"169"	""	"ARTI DEVI"	"JAGANNATH SAHANI"	"MAHESHWAR PD. YADAV"	"VEENA DEVI"	"SUMAN KUMAR TIWARY"	"AMRESH KUMAR"	"UMESH PRASAD SINGH"	"GANNI HAIDER"	"JITENDRA YADAV"	"RAMANAND SAHNI"	"KAPILDEO SINGH"	"KRISHNA KUMAR SAHNI"	"GHULAM AHMAD RAZA"	"JITENDRA KUMAR MAJHI"	"RAGHUNANDAN PD. SINGH"	"SURAJ SAHNI"	""	""	""
"170"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"171"	"142"	"53"	"4"	"166"	"215"	"9"	"1"	"3"	"0"	"1"	"1"	"0"	"5"	"7"	"7"	"2"	"10"	"484"	""	""
"172"	"143"	"8"	"6"	"138"	"108"	"2"	"2"	"0"	"1"	"1"	"1"	"3"	"3"	"5"	"5"	"0"	"3"	"286"	""	""
"173"	"144"	"37"	"0"	"28"	"161"	"6"	"4"	"1"	"0"	"4"	"2"	"4"	"8"	"20"	"2"	"1"	"6"	"284"	""	""
"174"	"145"	"60"	"8"	"231"	"334"	"19"	"6"	"1"	"3"	"6"	"4"	"5"	"35"	"41"	"25"	"6"	"21"	"805"	""	""
"175"	"146"	"162"	"4"	"23"	"414"	"12"	"14"	"1"	"4"	"3"	"6"	"4"	"15"	"48"	"10"	"15"	"33"	"768"	""	""
"176"	"147"	"14"	"6"	"253"	"158"	"6"	"4"	"1"	"2"	"1"	"0"	"2"	"6"	"6"	"7"	"2"	"2"	"470"	""	""
"177"	"148"	"10"	"0"	"153"	"266"	"4"	"0"	"1"	"2"	"1"	"2"	"2"	"9"	"12"	"9"	"3"	"3"	"477"	""	""
"178"	"149"	"15"	"4"	"171"	"175"	"2"	"0"	"1"	"3"	"3"	"2"	"4"	"7"	"12"	"14"	"4"	"10"	"427"	""	""
"179"	"150"	"22"	"3"	"89"	"147"	"3"	"2"	"0"	"0"	"2"	"1"	"1"	"8"	"16"	"6"	"17"	"8"	"325"	""	""
"180"	"151"	"26"	"2"	"65"	"487"	"4"	"3"	"1"	"4"	"2"	"1"	"2"	"5"	"5"	"8"	"2"	"0"	"617"	""	""
"181"	"152"	"52"	"2"	"25"	"253"	"3"	"66"	"2"	"2"	"1"	"2"	"2"	"6"	"15"	"8"	"1"	"6"	"446"	""	""
"182"	"153"	"23"	"10"	"86"	"283"	"16"	"4"	"5"	"2"	"4"	"1"	"1"	"17"	"25"	"6"	"2"	"3"	"488"	""	""
"183"	"154"	"17"	"12"	"112"	"296"	"8"	"95"	"9"	"6"	"5"	"7"	"14"	"15"	"17"	"14"	"30"	"28"	"685"	""	""
"184"	"155"	"12"	"10"	"427"	"205"	"14"	"16"	"9"	"6"	"8"	"5"	"6"	"12"	"19"	"28"	"11"	"26"	"814"	""	""
"185"	"156"	"17"	"10"	"75"	"198"	"13"	"38"	"2"	"3"	"3"	"6"	"5"	"12"	"16"	"17"	"9"	"19"	"443"	""	""
"186"	"157"	"36"	"4"	"191"	"301"	"17"	"41"	"7"	"10"	"18"	"8"	"10"	"14"	"30"	"17"	"15"	"23"	"742"	""	""
"187"	"158"	"17"	"2"	"37"	"255"	"8"	"10"	"1"	"2"	"3"	"6"	"3"	"16"	"20"	"9"	"6"	"8"	"403"	""	""
"188"	"159"	"25"	"3"	"101"	"253"	"8"	"9"	"6"	"1"	"1"	"3"	"4"	"8"	"4"	"6"	"3"	"3"	"438"	""	""
"189"	"160"	"5"	"0"	"85"	"120"	"5"	"6"	"0"	"1"	"1"	"1"	"1"	"7"	"4"	"3"	"3"	"6"	"248"	""	""
"190"	"161"	"4"	"3"	"124"	"105"	"3"	"6"	"1"	"1"	"2"	"0"	"4"	"33"	"10"	"11"	"3"	"15"	"325"	""	""
"191"	"162"	"8"	"1"	"104"	"83"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"3"	"4"	"6"	"5"	"9"	"226"	""	""
"192"	"163"	"14"	"4"	"240"	"183"	"8"	"59"	"4"	"1"	"0"	"0"	"7"	"17"	"6"	"14"	"3"	"11"	"571"	""	""
"193"	"164"	"10"	"1"	"93"	"65"	"15"	"1"	"3"	"5"	"5"	"3"	"15"	"372"	"14"	"11"	"10"	"45"	"668"	""	""
"194"	"165"	"4"	"2"	"112"	"151"	"8"	"2"	"3"	"2"	"1"	"1"	"0"	"124"	"8"	"3"	"8"	"4"	"433"	""	""
"195"	"166"	"3"	"1"	"263"	"134"	"1"	"1"	"1"	"1"	"4"	"0"	"1"	"56"	"2"	"6"	"2"	"4"	"480"	""	""
"196"	"Candidates Name ----->
BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"Total No Of Rejected Votes"	"Total No Of Tender Votes"
"197"	""	"ARTI DEVI"	"JAGANNATH SAHANI"	"MAHESHWAR PD. YADAV"	"VEENA DEVI"	"SUMAN KUMAR TIWARY"	"AMRESH KUMAR"	"UMESH PRASAD SINGH"	"GANNI HAIDER"	"JITENDRA YADAV"	"RAMANAND SAHNI"	"KAPILDEO SINGH"	"KRISHNA KUMAR SAHNI"	"GHULAM AHMAD RAZA"	"JITENDRA KUMAR MAJHI"	"RAGHUNANDAN PD. SINGH"	"SURAJ SAHNI"	""	""	""
"198"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"199"	"167"	"2"	"1"	"94"	"97"	"14"	"2"	"3"	"3"	"1"	"3"	"1"	"68"	"13"	"7"	"2"	"15"	"326"	""	""
"200"	"168"	"7"	"7"	"214"	"72"	"4"	"1"	"0"	"2"	"3"	"1"	"2"	"11"	"6"	"26"	"8"	"12"	"376"	""	""
"201"	"169"	"15"	"9"	"30"	"217"	"12"	"2"	"4"	"3"	"5"	"1"	"4"	"76"	"8"	"6"	"8"	"4"	"404"	""	""
"202"	"170"	"19"	"3"	"472"	"71"	"1"	"1"	"4"	"2"	"4"	"2"	"0"	"8"	"9"	"25"	"6"	"8"	"635"	""	""
"203"	"171"	"9"	"3"	"85"	"168"	"6"	"3"	"2"	"4"	"8"	"0"	"4"	"46"	"8"	"13"	"5"	"11"	"375"	""	""
"204"	"172"	"13"	"7"	"226"	"301"	"14"	"1"	"3"	"3"	"1"	"5"	"7"	"17"	"12"	"8"	"5"	"12"	"635"	""	""
"205"	"173"	"8"	"3"	"381"	"134"	"6"	"0"	"2"	"4"	"11"	"1"	"3"	"7"	"18"	"26"	"4"	"13"	"621"	""	""
"206"	"174"	"10"	"4"	"191"	"158"	"5"	"0"	"3"	"3"	"3"	"4"	"2"	"13"	"13"	"15"	"3"	"13"	"440"	""	""
"207"	"174A"	"3"	"5"	"154"	"193"	"3"	"1"	"4"	"2"	"7"	"0"	"2"	"10"	"18"	"7"	"6"	"13"	"428"	""	""
"208"	"175"	"9"	"1"	"88"	"354"	"20"	"1"	"1"	"0"	"1"	"4"	"3"	"9"	"12"	"7"	"5"	"5"	"520"	""	""
"209"	"176"	"12"	"3"	"58"	"347"	"5"	"1"	"2"	"0"	"3"	"0"	"1"	"7"	"5"	"1"	"1"	"2"	"448"	""	""
"210"	"177"	"7"	"7"	"165"	"176"	"5"	"4"	"5"	"8"	"26"	"4"	"2"	"22"	"9"	"11"	"5"	"12"	"468"	""	""
"211"	"178"	"1"	"0"	"66"	"142"	"14"	"3"	"2"	"16"	"33"	"2"	"5"	"46"	"21"	"14"	"4"	"25"	"394"	""	""
"212"	"179"	"8"	"3"	"122"	"36"	"1"	"2"	"1"	"1"	"15"	"1"	"0"	"2"	"2"	"6"	"1"	"2"	"203"	""	""
"213"	"180"	"20"	"15"	"327"	"173"	"13"	"2"	"4"	"5"	"3"	"2"	"6"	"14"	"8"	"15"	"2"	"7"	"616"	""	""
"214"	"181"	"4"	"6"	"403"	"55"	"3"	"2"	"3"	"0"	"3"	"2"	"5"	"5"	"10"	"26"	"1"	"23"	"551"	""	""
"215"	"182"	"18"	"7"	"196"	"308"	"19"	"6"	"8"	"4"	"1"	"3"	"1"	"6"	"19"	"10"	"2"	"12"	"620"	""	""
"216"	"183"	"11"	"3"	"368"	"35"	"4"	"1"	"1"	"1"	"32"	"2"	"3"	"3"	"3"	"6"	"4"	"4"	"481"	""	""
"217"	"184"	"1"	"0"	"231"	"35"	"1"	"0"	"0"	"3"	"60"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"333"	""	""
"218"	"185"	"15"	"8"	"303"	"235"	"13"	"2"	"4"	"0"	"4"	"2"	"4"	"12"	"5"	"22"	"16"	"17"	"662"	""	""
"219"	"186"	"8"	"1"	"163"	"40"	"5"	"0"	"3"	"5"	"2"	"0"	"2"	"3"	"8"	"9"	"6"	"11"	"266"	""	""
"220"	"187"	"25"	"23"	"243"	"315"	"12"	"10"	"5"	"4"	"9"	"5"	"9"	"17"	"21"	"26"	"21"	"67"	"812"	""	""
"221"	"188"	"66"	"7"	"139"	"350"	"11"	"3"	"3"	"4"	"1"	"1"	"0"	"7"	"9"	"25"	"17"	"8"	"651"	""	""
"222"	"189"	"37"	"3"	"65"	"181"	"4"	"1"	"0"	"1"	"1"	"0"	"1"	"3"	"8"	"5"	"70"	"7"	"387"	""	""
"223"	"190"	"14"	"9"	"295"	"255"	"7"	"2"	"5"	"6"	"7"	"10"	"8"	"20"	"41"	"26"	"21"	"19"	"745"	""	""
"224"	"Candidates Name ----->
BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"Total No Of Rejected Votes"	"Total No Of Tender Votes"
"225"	""	"ARTI DEVI"	"JAGANNATH SAHANI"	"MAHESHWAR PD. YADAV"	"VEENA DEVI"	"SUMAN KUMAR TIWARY"	"AMRESH KUMAR"	"UMESH PRASAD SINGH"	"GANNI HAIDER"	"JITENDRA YADAV"	"RAMANAND SAHNI"	"KAPILDEO SINGH"	"KRISHNA KUMAR SAHNI"	"GHULAM AHMAD RAZA"	"JITENDRA KUMAR MAJHI"	"RAGHUNANDAN PD. SINGH"	"SURAJ SAHNI"	""	""	""
"226"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"227"	"191"	"16"	"7"	"195"	"374"	"13"	"2"	"1"	"4"	"2"	"3"	"1"	"23"	"25"	"11"	"6"	"18"	"701"	""	""
"228"	"192"	"36"	"1"	"64"	"447"	"6"	"2"	"1"	"1"	"1"	"1"	"3"	"11"	"33"	"3"	"8"	"5"	"623"	""	""
"229"	"193"	"15"	"7"	"18"	"531"	"19"	"2"	"3"	"4"	"9"	"1"	"6"	"31"	"29"	"12"	"7"	"13"	"707"	""	""
"230"	"194"	"21"	"8"	"107"	"344"	"13"	"3"	"3"	"5"	"4"	"2"	"7"	"40"	"38"	"16"	"57"	"11"	"679"	""	""
"231"	"195"	"6"	"3"	"134"	"366"	"13"	"1"	"5"	"2"	"7"	"3"	"2"	"20"	"15"	"8"	"8"	"15"	"608"	""	""
"232"	"196"	"29"	"8"	"140"	"353"	"10"	"6"	"9"	"10"	"19"	"1"	"6"	"13"	"36"	"11"	"4"	"4"	"659"	""	""
"233"	"197"	"18"	"7"	"78"	"282"	"7"	"1"	"2"	"1"	"5"	"3"	"6"	"14"	"13"	"15"	"8"	"10"	"470"	""	""
"234"	"198"	"5"	"3"	"114"	"499"	"9"	"1"	"7"	"5"	"24"	"7"	"4"	"20"	"98"	"11"	"9"	"2"	"818"	""	""
"235"	"199"	"10"	"2"	"59"	"376"	"12"	"0"	"3"	"4"	"38"	"2"	"2"	"14"	"24"	"10"	"4"	"5"	"565"	""	""
"236"	"200"	"5"	"2"	"115"	"362"	"9"	"2"	"1"	"3"	"32"	"4"	"5"	"4"	"11"	"6"	"3"	"1"	"565"	""	""
"237"	"201"	"18"	"6"	"202"	"513"	"10"	"3"	"3"	"5"	"54"	"8"	"1"	"9"	"11"	"6"	"2"	"13"	"864"	""	""
"238"	"202"	"12"	"4"	"286"	"184"	"5"	"4"	"3"	"4"	"4"	"6"	"2"	"8"	"17"	"10"	"8"	"19"	"576"	""	""
"239"	"203"	"38"	"12"	"129"	"222"	"19"	"8"	"8"	"4"	"67"	"9"	"6"	"82"	"5"	"16"	"18"	"24"	"667"	""	""
"240"	"204"	"34"	"1"	"88"	"182"	"6"	"3"	"1"	"3"	"11"	"3"	"1"	"5"	"8"	"1"	"4"	"7"	"358"	""	""
"241"	"205"	"8"	"1"	"86"	"95"	"5"	"2"	"0"	"1"	"3"	"2"	"7"	"12"	"5"	"7"	"5"	"9"	"248"	""	""
"242"	"206"	"33"	"4"	"165"	"233"	"8"	"3"	"1"	"4"	"5"	"8"	"9"	"19"	"26"	"22"	"5"	"16"	"561"	""	""
"243"	"207"	"49"	"14"	"188"	"172"	"13"	"6"	"3"	"2"	"1"	"5"	"7"	"3"	"11"	"5"	"2"	"9"	"490"	""	""
"244"	"208"	"6"	"3"	"171"	"187"	"8"	"3"	"1"	"2"	"2"	"4"	"3"	"17"	"6"	"11"	"13"	"12"	"449"	""	""
"245"	"209"	"9"	"3"	"252"	"91"	"0"	"1"	"2"	"2"	"3"	"5"	"4"	"12"	"13"	"23"	"3"	"18"	"441"	""	""
"246"	"210"	"59"	"6"	"114"	"204"	"7"	"1"	"4"	"2"	"4"	"4"	"2"	"13"	"9"	"8"	"9"	"9"	"455"	""	""
"247"	"211"	"63"	"1"	"98"	"214"	"5"	"2"	"1"	"6"	"2"	"2"	"1"	"14"	"12"	"7"	"5"	"11"	"444"	""	""
"248"	"212"	"24"	"10"	"337"	"264"	"14"	"2"	"2"	"2"	"9"	"3"	"2"	"9"	"10"	"4"	"11"	"4"	"707"	""	""
"249"	"213"	"19"	"8"	"441"	"148"	"7"	"3"	"5"	"5"	"7"	"7"	"4"	"11"	"20"	"27"	"7"	"13"	"732"	""	""
"250"	"214"	"11"	"8"	"258"	"88"	"8"	"0"	"1"	"1"	"1"	"1"	"2"	"6"	"8"	"14"	"2"	"9"	"418"	""	""
"251"	"215"	"15"	"4"	"124"	"246"	"7"	"1"	"1"	"2"	"2"	"0"	"1"	"48"	"16"	"15"	"11"	"10"	"503"	""	""
"252"	"Candidates Name ----->
BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"Total No Of Rejected Votes"	"Total No Of Tender Votes"
"253"	""	"ARTI DEVI"	"JAGANNATH SAHANI"	"MAHESHWAR PD. YADAV"	"VEENA DEVI"	"SUMAN KUMAR TIWARY"	"AMRESH KUMAR"	"UMESH PRASAD SINGH"	"GANNI HAIDER"	"JITENDRA YADAV"	"RAMANAND SAHNI"	"KAPILDEO SINGH"	"KRISHNA KUMAR SAHNI"	"GHULAM AHMAD RAZA"	"JITENDRA KUMAR MAJHI"	"RAGHUNANDAN PD. SINGH"	"SURAJ SAHNI"	""	""	""
"254"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"255"	"216"	"11"	"5"	"326"	"111"	"4"	"3"	"7"	"1"	"2"	"4"	"5"	"5"	"5"	"13"	"5"	"8"	"515"	""	""
"256"	"217"	"7"	"5"	"142"	"261"	"11"	"7"	"6"	"2"	"5"	"4"	"3"	"3"	"15"	"11"	"3"	"6"	"491"	""	""
"257"	"218"	"17"	"10"	"182"	"386"	"11"	"6"	"5"	"2"	"5"	"7"	"2"	"14"	"17"	"11"	"7"	"9"	"691"	""	""
"258"	"219"	"5"	"5"	"232"	"115"	"4"	"3"	"5"	"3"	"4"	"4"	"5"	"12"	"17"	"22"	"2"	"17"	"455"	""	""
"259"	"220"	"30"	"3"	"118"	"355"	"9"	"2"	"2"	"4"	"1"	"2"	"4"	"42"	"24"	"20"	"13"	"11"	"640"	""	""
"260"	"221"	"19"	"4"	"170"	"225"	"21"	"8"	"5"	"9"	"4"	"6"	"15"	"152"	"18"	"18"	"12"	"39"	"725"	""	""
"261"	"222"	"24"	"8"	"224"	"226"	"18"	"5"	"12"	"8"	"5"	"4"	"6"	"95"	"8"	"8"	"6"	"11"	"668"	""	""
"262"	"223"	"60"	"13"	"218"	"145"	"4"	"3"	"7"	"6"	"0"	"4"	"7"	"6"	"14"	"5"	"5"	"10"	"507"	""	""
"263"	"224"	"23"	"9"	"301"	"188"	"6"	"4"	"25"	"3"	"17"	"5"	"4"	"14"	"19"	"12"	"9"	"15"	"654"	""	""
"264"	"225"	"15"	"6"	"359"	"239"	"6"	"3"	"3"	"2"	"1"	"1"	"4"	"11"	"10"	"16"	"37"	"17"	"730"	""	""
"265"	"226"	"13"	"4"	"232"	"344"	"4"	"4"	"4"	"2"	"1"	"2"	"9"	"30"	"20"	"23"	"20"	"23"	"735"	""	""
"266"	"227"	"12"	"6"	"62"	"277"	"4"	"0"	"0"	"1"	"1"	"1"	"0"	"7"	"15"	"5"	"3"	"3"	"397"	""	""
"267"	"228"	"10"	"3"	"78"	"179"	"9"	"2"	"1"	"4"	"3"	"4"	"10"	"20"	"25"	"6"	"9"	"8"	"371"	""	""
"268"	"229"	"44"	"10"	"293"	"205"	"11"	"5"	"2"	"3"	"9"	"5"	"19"	"40"	"28"	"41"	"15"	"33"	"763"	""	""
"269"	"230"	"34"	"2"	"155"	"256"	"11"	"2"	"6"	"6"	"33"	"5"	"3"	"14"	"20"	"32"	"22"	"24"	"625"	""	""
"270"	"231"	"44"	"6"	"55"	"327"	"19"	"5"	"4"	"4"	"102"	"6"	"4"	"7"	"9"	"8"	"9"	"9"	"618"	""	""
"271"	"232"	"51"	"9"	"223"	"230"	"12"	"1"	"4"	"2"	"6"	"4"	"2"	"2"	"7"	"4"	"3"	"6"	"566"	""	""
"272"	"233"	"6"	"3"	"128"	"250"	"6"	"3"	"0"	"3"	"0"	"5"	"2"	"9"	"13"	"7"	"40"	"15"	"490"	""	""
"273"	"234"	"16"	"4"	"65"	"315"	"13"	"1"	"0"	"2"	"1"	"3"	"3"	"6"	"7"	"11"	"15"	"7"	"469"	""	""
"274"	"235"	"24"	"12"	"257"	"391"	"11"	"3"	"7"	"6"	"2"	"3"	"4"	"20"	"13"	"9"	"10"	"7"	"779"	""	""
"275"	"236"	"16"	"2"	"60"	"460"	"10"	"3"	"1"	"1"	"1"	"2"	"3"	"14"	"18"	"10"	"10"	"5"	"616"	""	""
"276"	"237"	"14"	"6"	"49"	"297"	"5"	"6"	"0"	"1"	"3"	"2"	"6"	"23"	"9"	"4"	"17"	"12"	"454"	""	""
"277"	"238"	"9"	"3"	"83"	"320"	"18"	"1"	"4"	"1"	"5"	"3"	"1"	"29"	"15"	"5"	"5"	"4"	"506"	""	""
"278"	"239"	"38"	"2"	"64"	"503"	"12"	"4"	"1"	"1"	"1"	"2"	"5"	"7"	"23"	"5"	"74"	"5"	"747"	""	""
"279"	"240"	"103"	"9"	"94"	"324"	"12"	"3"	"5"	"6"	"5"	"6"	"3"	"43"	"21"	"15"	"24"	"20"	"693"	""	""
"280"	"Candidates Name ----->
BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"Total No Of Rejected Votes"	"Total No Of Tender Votes"
"281"	""	"ARTI DEVI"	"JAGANNATH SAHANI"	"MAHESHWAR PD. YADAV"	"VEENA DEVI"	"SUMAN KUMAR TIWARY"	"AMRESH KUMAR"	"UMESH PRASAD SINGH"	"GANNI HAIDER"	"JITENDRA YADAV"	"RAMANAND SAHNI"	"KAPILDEO SINGH"	"KRISHNA KUMAR SAHNI"	"GHULAM AHMAD RAZA"	"JITENDRA KUMAR MAJHI"	"RAGHUNANDAN PD. SINGH"	"SURAJ SAHNI"	""	""	""
"282"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"283"	"241"	"9"	"4"	"107"	"227"	"15"	"5"	"0"	"3"	"4"	"4"	"7"	"51"	"33"	"16"	"36"	"8"	"529"	""	""
"284"	"242"	"24"	"2"	"73"	"194"	"14"	"5"	"1"	"3"	"1"	"2"	"3"	"19"	"20"	"10"	"197"	"15"	"583"	""	""
"285"	"243"	"27"	"9"	"92"	"368"	"7"	"2"	"3"	"9"	"4"	"2"	"5"	"15"	"30"	"16"	"183"	"24"	"796"	""	""
"286"	"244"	"28"	"12"	"156"	"300"	"7"	"4"	"2"	"6"	"4"	"3"	"3"	"14"	"29"	"31"	"144"	"19"	"762"	""	""
"287"	"245"	"16"	"4"	"104"	"408"	"8"	"3"	"1"	"2"	"4"	"5"	"4"	"14"	"13"	"9"	"6"	"16"	"617"	""	""
"288"	"246"	"15"	"7"	"235"	"259"	"12"	"3"	"1"	"13"	"1"	"0"	"1"	"10"	"23"	"14"	"9"	"13"	"616"	""	""
"289"	"247"	"11"	"4"	"156"	"231"	"10"	"1"	"3"	"5"	"0"	"3"	"6"	"11"	"7"	"4"	"3"	"3"	"458"	""	""
"290"	"248"	"13"	"5"	"266"	"268"	"15"	"2"	"1"	"4"	"2"	"6"	"4"	"12"	"13"	"19"	"8"	"14"	"652"	""	""
"291"	"249"	"31"	"4"	"128"	"506"	"5"	"1"	"2"	"1"	"2"	"1"	"3"	"5"	"15"	"13"	"57"	"7"	"781"	""	""
"292"	"250"	"14"	"4"	"134"	"268"	"7"	"1"	"3"	"8"	"1"	"3"	"1"	"16"	"11"	"7"	"8"	"5"	"491"	""	""
"293"	"251"	"24"	"2"	"54"	"298"	"12"	"4"	"4"	"2"	"5"	"6"	"6"	"25"	"12"	"13"	"7"	"11"	"485"	""	""
"294"	"Total:"	"6737"	"1105"	"40322"	"56322"	"2403"	"955"	"983"	"759"	"2200"	"668"	"919"	"4147"	"3434"	"2979"	"2740"	"2936"	"129609"	""	""
"295"	"Postal Ballot"	"5"	"0"	"77"	"64"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"147"	"4"	""
"296"	"Grand Total:"	"6742"	"1105"	"40399"	"56386"	"2403"	"955"	"983"	"759"	"2200"	"668"	"919"	"4148"	"3434"	"2979"	"2740"	"2936"	"129756"	"4"	""
"297"	"Place:"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"298"	"Date: 11/27/2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"300"	"Assembly Constituency :088---Gaighat"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"Printed Using RO/ARO Counting Tool Ver. 1.0 of National Informatics Centre,Bihar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
