"No.of.Valid.Votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"224"	"203"	""	"197"	"53"	"4"	"69"	"3"	"2"	"2"	"0"	"3"	"5"	"6"	"344"
"225"	"204"	""	"96"	"15"	"1"	"113"	"5"	"3"	"4"	"3"	"0"	"3"	"6"	"249"
"226"	"205"	""	"247"	"4"	"9"	"156"	"1"	"1"	"2"	"2"	"4"	"0"	"12"	"438"
"227"	"206"	""	"252"	"28"	"2"	"98"	"4"	"1"	"6"	"2"	"2"	"3"	"14"	"412"
"228"	"207"	""	"175"	"45"	"1"	"109"	"2"	"2"	"3"	"5"	"2"	"9"	"17"	"370"
"229"	"208"	""	"278"	"42"	"1"	"189"	"4"	"1"	"10"	"6"	"3"	"8"	"18"	"560"
"230"	"209"	""	"407"	"4"	"3"	"50"	"3"	"1"	"2"	"3"	"3"	"4"	"20"	"500"
"231"	"210"	""	"175"	"75"	"8"	"162"	"9"	"3"	"11"	"7"	"6"	"5"	"6"	"467"
"232"	"210"	"A"	"83"	"218"	"7"	"99"	"6"	"1"	"2"	"4"	"2"	"10"	"19"	"451"
"233"	"211"	""	"80"	"95"	"12"	"53"	"6"	"4"	"2"	"3"	"5"	"16"	"30"	"306"
"234"	"212"	""	"188"	"31"	"8"	"144"	"5"	"0"	"6"	"3"	"8"	"14"	"32"	"439"
"235"	"213"	""	"54"	"467"	"13"	"20"	"5"	"0"	"0"	"2"	"1"	"14"	"17"	"593"
"236"	"214"	""	"169"	"9"	"1"	"38"	"0"	"0"	"2"	"1"	"0"	"0"	"9"	"229"
"237"	"215"	""	"279"	"9"	"0"	"92"	"11"	"2"	"2"	"5"	"5"	"9"	"27"	"441"
"238"	"216"	""	"277"	"83"	"12"	"170"	"19"	"10"	"9"	"7"	"8"	"5"	"45"	"645"
"239"	"217"	""	"217"	"17"	"8"	"328"	"16"	"11"	"8"	"11"	"8"	"11"	"28"	"663"
"240"	"218"	""	"104"	"3"	"4"	"86"	"2"	"0"	"3"	"3"	"1"	"2"	"19"	"227"
"241"	"219"	""	"502"	"18"	"2"	"17"	"1"	"0"	"2"	"1"	"0"	"3"	"9"	"555"
"242"	"220"	""	"240"	"34"	"9"	"95"	"6"	"2"	"8"	"7"	"11"	"14"	"46"	"472"
"243"	"221"	""	"170"	"38"	"2"	"305"	"18"	"3"	"9"	"2"	"9"	"6"	"13"	"575"
"244"	"222"	""	"314"	"31"	"6"	"153"	"6"	"3"	"18"	"8"	"9"	"10"	"58"	"616"
"245"	"No of Valid Votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	"Booth No"	"Booth Ext"	"AJAY PRATAP"	"ARJUN MANDAL"	"POONAM KUMARI"	"VIJAY PRAKASH"	"NISHANT PARTHSART HI"	"SHIV SHANKAR SAW"	"SAGAR SAW"	"ASHOK KUMAR"	"NAVIN KUMAR"	"PRAKASH KUMAR BHAGAT"	"MAHAVIR YADAV"	"Total valid Votes"
"247"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""
"248"	"223"	""	"219"	"38"	"5"	"135"	"14"	"1"	"15"	"4"	"7"	"12"	"60"	"510"
"249"	"224"	""	"222"	"87"	"9"	"103"	"10"	"3"	"11"	"1"	"10"	"4"	"44"	"504"
"250"	"225"	""	"451"	"39"	"8"	"149"	"9"	"2"	"13"	"12"	"11"	"40"	"42"	"776"
"251"	"226"	""	"341"	"16"	"1"	"31"	"4"	"0"	"20"	"1"	"5"	"1"	"13"	"433"
"252"	"227"	""	"323"	"164"	"8"	"29"	"0"	"1"	"2"	"2"	"4"	"2"	"10"	"545"
"253"	"228"	""	"453"	"42"	"3"	"41"	"2"	"2"	"4"	"2"	"1"	"6"	"10"	"566"
"254"	"229"	""	"228"	"21"	"9"	"321"	"7"	"2"	"9"	"2"	"9"	"2"	"10"	"620"
"255"	"230"	""	"165"	"20"	"10"	"172"	"9"	"4"	"2"	"10"	"9"	"8"	"32"	"441"
"256"	"231"	""	"155"	"38"	"6"	"117"	"14"	"5"	"14"	"5"	"4"	"9"	"37"	"404"
"257"	"232"	""	"134"	"11"	"7"	"287"	"17"	"3"	"3"	"6"	"5"	"7"	"24"	"504"
"258"	"233"	""	"290"	"22"	"4"	"85"	"1"	"6"	"4"	"6"	"1"	"5"	"32"	"456"
"259"	"234"	""	"184"	"184"	"23"	"68"	"6"	"0"	"4"	"2"	"2"	"4"	"12"	"489"
"260"	"235"	""	"465"	"21"	"2"	"24"	"4"	"2"	"4"	"1"	"2"	"3"	"18"	"546"
"261"	"236"	""	"196"	"34"	"10"	"279"	"14"	"8"	"13"	"14"	"17"	"28"	"53"	"666"
"262"	"237"	""	"254"	"86"	"5"	"122"	"6"	"1"	"16"	"4"	"3"	"5"	"10"	"512"
"263"	"238"	""	"131"	"15"	"6"	"126"	"9"	"2"	"2"	"2"	"4"	"2"	"14"	"313"
"264"	"239"	""	"110"	"69"	"7"	"70"	"4"	"1"	"5"	"3"	"4"	"3"	"9"	"285"
"265"	"240"	""	"229"	"35"	"7"	"182"	"10"	"2"	"6"	"3"	"9"	"2"	"9"	"494"
"266"	"241"	""	"440"	"38"	"6"	"106"	"7"	"3"	"0"	"3"	"1"	"4"	"10"	"618"
"267"	"242"	""	"390"	"23"	"0"	"65"	"5"	"1"	"2"	"0"	"1"	"4"	"11"	"502"
"268"	"243"	""	"125"	"5"	"5"	"311"	"16"	"7"	"7"	"11"	"5"	"8"	"29"	"529"
"269"	"244"	""	"286"	"26"	"16"	"138"	"10"	"11"	"5"	"5"	"5"	"10"	"24"	"536"
"270"	"245"	""	"367"	"13"	"5"	"27"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"414"
"271"	"246"	""	"463"	"33"	"4"	"56"	"1"	"0"	"5"	"3"	"3"	"7"	"14"	"589"
"272"	"247"	""	"217"	"102"	"10"	"156"	"9"	"5"	"9"	"3"	"9"	"15"	"36"	"571"
"273"	"248"	""	"273"	"14"	"2"	"56"	"3"	"2"	"2"	"2"	"3"	"3"	"5"	"365"
"274"	"249"	""	"268"	"7"	"2"	"33"	"1"	"1"	"3"	"1"	"5"	"5"	"38"	"364"
"275"	"250"	""	"240"	"4"	"4"	"181"	"5"	"2"	"2"	"2"	"0"	"6"	"6"	"452"
"276"	"251"	""	"93"	"128"	"7"	"9"	"1"	"0"	"4"	"0"	"0"	"0"	"9"	"251"
"277"	"Postal"	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"278"	"No of Valid Votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	"Booth No"	"Booth Ext"	"AJAY PRATAP"	"ARJUN MANDAL"	"POONAM KUMARI"	"VIJAY PRAKASH"	"NISHANT PARTHSART HI"	"SHIV SHANKAR SAW"	"SAGAR SAW"	"ASHOK KUMAR"	"NAVIN KUMAR"	"PRAKASH KUMAR BHAGAT"	"MAHAVIR YADAV"	"Total valid Votes"
"280"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""
"281"	"Total Votes"	""	"60130"	"11687"	"1718"	"35663"	"1624"	"558"	"1242"	"852"	"1168"	"2502"	"4639"	"121783"
