"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"FINAL RESULTS SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 120 AMNOUR CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Assembly Constituency : 120 Amnou                                                                                                                                                                                                                      No. of Voters: 192748"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"No. of vailed Votes Caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"CANDIDATES NAME"	""	"KRISHNA KUMAR"	"JITENDRA KUMAR SINGH"	"RAHUL KUMAR SINGH"	"VIDYACHAND RAY"	"SHAILENDRA PRATAP"	"DHANA DEVI"	"RAMNATH BHAGAT"	"AWADHESH SINGH"	"ASHRAF ALI KHAN"	"GINNI LAL SINGH"	"NAGENDRA RAM"	"YOGENDRA PRASAD YADAV"	"RAM KRISHNA SINGH"	"SHATRUDHAN TIWARY"	"SUNIL KUMAR"	"TOTAL VALID VOTES"
"176"	"164"	""	"267"	"3"	"3"	"3"	"13"	"3"	"0"	"3"	"1"	"3"	"0"	"0"	"0"	"3"	"5"	"307"
"177"	"165"	""	"139"	"6"	"69"	"5"	"7"	"5"	"22"	"6"	"5"	"30"	"3"	"4"	"17"	"144"	"61"	"523"
"178"	"166"	""	"76"	"7"	"32"	"3"	"51"	"2"	"9"	"9"	"1"	"0"	"3"	"4"	"5"	"3"	"68"	"273"
"179"	"167"	""	"246"	"10"	"21"	"3"	"32"	"4"	"10"	"6"	"1"	"14"	"5"	"1"	"5"	"61"	"51"	"470"
"180"	"168"	""	"185"	"0"	"6"	"7"	"30"	"0"	"0"	"2"	"1"	"26"	"1"	"0"	"5"	"14"	"59"	"336"
"181"	"169"	""	"176"	"6"	"50"	"4"	"9"	"1"	"2"	"5"	"0"	"7"	"7"	"4"	"11"	"19"	"129"	"430"
"182"	"170"	""	"166"	"5"	"3"	"3"	"15"	"12"	"8"	"1"	"0"	"7"	"0"	"2"	"4"	"18"	"154"	"398"
"183"	"171"	""	"82"	"2"	"65"	"4"	"37"	"1"	"0"	"1"	"0"	"0"	"2"	"0"	"3"	"4"	"4"	"205"
"184"	"172"	""	"232"	"14"	"12"	"25"	"113"	"10"	"7"	"12"	"2"	"2"	"10"	"14"	"11"	"14"	"39"	"517"
"185"	"173"	""	"110"	"5"	"78"	"7"	"15"	"4"	"1"	"2"	"2"	"11"	"8"	"5"	"6"	"74"	"42"	"370"
"186"	"174"	""	"236"	"5"	"64"	"29"	"30"	"8"	"23"	"6"	"0"	"3"	"6"	"6"	"5"	"91"	"97"	"609"
"187"	"175"	""	"132"	"8"	"16"	"16"	"70"	"1"	"7"	"4"	"1"	"3"	"8"	"6"	"8"	"46"	"34"	"360"
"188"	"176"	""	"266"	"27"	"9"	"5"	"47"	"5"	"9"	"2"	"2"	"6"	"8"	"1"	"7"	"9"	"18"	"421"
"189"	"177"	""	"29"	"21"	"10"	"4"	"51"	"6"	"4"	"2"	"1"	"41"	"7"	"6"	"1"	"8"	"15"	"206"
"190"	"178"	""	"22"	"3"	"6"	"10"	"93"	"5"	"4"	"9"	"3"	"2"	"18"	"11"	"8"	"10"	"173"	"377"
"191"	"179"	""	"32"	"17"	"33"	"15"	"121"	"4"	"0"	"4"	"1"	"5"	"4"	"6"	"2"	"11"	"163"	"418"
"192"	"180"	""	"212"	"4"	"24"	"2"	"37"	"3"	"3"	"5"	"1"	"3"	"10"	"4"	"5"	"24"	"39"	"376"
"193"	"181"	""	"208"	"7"	"3"	"67"	"128"	"10"	"13"	"8"	"3"	"3"	"8"	"6"	"8"	"5"	"129"	"606"
"194"	"182"	""	"264"	"7"	"5"	"5"	"49"	"4"	"0"	"2"	"0"	"3"	"2"	"1"	"5"	"9"	"257"	"613"
"195"	"183"	""	"219"	"31"	"14"	"11"	"58"	"6"	"6"	"4"	"2"	"6"	"13"	"14"	"6"	"22"	"66"	"478"
"196"	"184"	""	"17"	"5"	"125"	"4"	"68"	"5"	"3"	"3"	"1"	"6"	"10"	"14"	"11"	"7"	"33"	"312"
"197"	"185"	""	"87"	"6"	"99"	"10"	"65"	"10"	"8"	"10"	"5"	"16"	"10"	"8"	"7"	"24"	"64"	"429"
"198"	"186"	""	"52"	"6"	"285"	"7"	"3"	"1"	"3"	"0"	"2"	"8"	"1"	"1"	"8"	"9"	"14"	"400"
"199"	"187"	""	"133"	"6"	"16"	"5"	"37"	"0"	"3"	"1"	"1"	"10"	"3"	"2"	"1"	"15"	"60"	"293"
"200"	"188"	""	"146"	"5"	"277"	"4"	"2"	"0"	"3"	"1"	"0"	"10"	"2"	"0"	"4"	"15"	"17"	"486"
"201"	"189"	""	"105"	"7"	"204"	"20"	"10"	"8"	"5"	"7"	"5"	"79"	"6"	"7"	"16"	"11"	"107"	"597"
"202"	"190"	""	"138"	"6"	"304"	"8"	"0"	"0"	"6"	"3"	"2"	"13"	"4"	"3"	"24"	"14"	"16"	"541"
"203"	"191"	""	"71"	"6"	"97"	"18"	"10"	"6"	"17"	"4"	"3"	"4"	"5"	"2"	"12"	"203"	"80"	"538"
"204"	"192"	""	"157"	"2"	"2"	"11"	"42"	"6"	"6"	"6"	"5"	"5"	"9"	"6"	"10"	"106"	"90"	"463"
"205"	"193"	""	"87"	"2"	"14"	"36"	"72"	"11"	"5"	"13"	"7"	"6"	"20"	"26"	"13"	"39"	"140"	"491"
"206"	"194"	""	"113"	"6"	"39"	"7"	"10"	"4"	"9"	"2"	"2"	"11"	"9"	"7"	"9"	"135"	"297"	"660"
"207"	"195"	""	"27"	"8"	"3"	"9"	"15"	"4"	"7"	"3"	"0"	"5"	"7"	"3"	"5"	"56"	"246"	"398"
"208"	"196"	""	"42"	"5"	"4"	"6"	"23"	"6"	"58"	"2"	"0"	"5"	"2"	"1"	"8"	"109"	"111"	"382"
"209"	"197"	""	"277"	"3"	"7"	"5"	"19"	"3"	"5"	"1"	"1"	"37"	"9"	"2"	"7"	"96"	"45"	"517"
"210"	"198"	""	"119"	"5"	"8"	"6"	"25"	"5"	"11"	"7"	"2"	"10"	"5"	"4"	"5"	"9"	"15"	"236"
"211"	"199"	""	"186"	"2"	"2"	"2"	"5"	"1"	"15"	"1"	"0"	"32"	"1"	"2"	"5"	"68"	"26"	"348"
"212"	"200"	""	"217"	"5"	"3"	"1"	"7"	"0"	"16"	"2"	"1"	"12"	"4"	"2"	"7"	"49"	"40"	"366"
"213"	"201"	""	"104"	"3"	"39"	"4"	"93"	"0"	"5"	"19"	"2"	"4"	"7"	"3"	"6"	"13"	"36"	"338"
"214"	"202"	""	"152"	"7"	"67"	"6"	"56"	"1"	"5"	"8"	"1"	"3"	"13"	"6"	"9"	"5"	"41"	"380"
"215"	"203"	""	"413"	"10"	"10"	"10"	"35"	"7"	"20"	"58"	"6"	"7"	"8"	"9"	"7"	"7"	"29"	"636"
"216"	"204"	""	"102"	"22"	"4"	"55"	"300"	"5"	"1"	"6"	"1"	"53"	"14"	"5"	"0"	"4"	"17"	"589"
"217"	"Total"	""	"29438"	"2728"	"4300"	"2120"	"10962"	"1068"	"3090"	"1748"	"660"	"1216"	"1630"	"1254"	"1737"	"15523"	"18934"	"96408"
"218"	"Postal
Ballot"	""	"70"	"4"	"6"	"9"	"38"	"0"	"1"	"3"	"0"	"3"	"1"	"0"	"0"	"24"	"57"	"216"
"219"	"Grand Total"	""	"29508"	"2732"	"4306"	"2129"	"11000"	"1068"	"3091"	"1751"	"660"	"1219"	"1631"	"1254"	"1737"	"15547"	"18991"	"96624"
"220"	"Place :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"Date:                                                                                                                                                                                                                                                                        Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"Assembly Constituency: 120-- Amnour"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
