"Serial.No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"225"	"180"	"195"	"11"	"4"	"125"	"16"	"3"	"5"	"4"	"8"	"371"	"0"	"371"	"0"
"226"	"181"	"149"	"11"	"10"	"155"	"142"	"11"	"8"	"3"	"11"	"500"	"0"	"500"	"0"
"227"	"182"	"128"	"7"	"6"	"196"	"78"	"9"	"8"	"90"	"28"	"550"	"0"	"550"	"0"
"228"	"183"	"193"	"9"	"4"	"37"	"5"	"5"	"10"	"351"	"30"	"644"	"0"	"644"	"0"
"229"	"184"	"60"	"20"	"22"	"449"	"166"	"8"	"11"	"5"	"10"	"751"	"0"	"751"	"0"
"230"	"185"	"102"	"10"	"16"	"295"	"47"	"10"	"10"	"5"	"12"	"507"	"0"	"507"	"0"
"231"	"185 A"	"65"	"10"	"7"	"224"	"57"	"6"	"1"	"3"	"9"	"382"	"0"	"382"	"0"
"232"	"186"	"39"	"5"	"5"	"454"	"7"	"2"	"3"	"3"	"6"	"524"	"0"	"524"	"0"
"233"	"187"	"46"	"19"	"12"	"297"	"19"	"7"	"3"	"4"	"10"	"417"	"0"	"417"	"0"
"234"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"235"	""	"ANIRUDDH"	"BRIJNAND"	"RAMAYAN"	"VINODE"	"SUBODH"	"PUSHPA"	"RAM"	"SHASHI"	"SUJEET"	""	""	""	""
"236"	""	""	""	""	""	""	""	"JATAN"	""	""	""	""	""	""
"237"	""	"KUMAR"	"AN SINGH"	"PRASAD"	"YADAV"	"KUMAR"	"DEVI"	"CHOUDHA"	"YADAV"	"KUMAR"	""	""	""	""
"238"	""	""	""	""	""	""	""	"RY"	""	""	""	""	""	""
"239"	"188"	"17"	"13"	"26"	"188"	"54"	"3"	"1"	"0"	"3"	"305"	"0"	"305"	"0"
"240"	"189"	"219"	"39"	"17"	"334"	"11"	"20"	"41"	"90"	"60"	"831"	"0"	"831"	"0"
"241"	"190"	"104"	"5"	"4"	"143"	"24"	"4"	"2"	"2"	"2"	"290"	"0"	"290"	"0"
"242"	"191"	"33"	"2"	"19"	"288"	"61"	"1"	"3"	"3"	"0"	"410"	"0"	"410"	"0"
"243"	"192"	"65"	"13"	"15"	"244"	"220"	"19"	"8"	"10"	"10"	"604"	"0"	"604"	"0"
"244"	"193"	"298"	"10"	"4"	"81"	"0"	"2"	"2"	"5"	"6"	"408"	"0"	"408"	"0"
"245"	"194"	"112"	"6"	"10"	"272"	"8"	"0"	"6"	"1"	"8"	"423"	"0"	"423"	"0"
"246"	"195"	"68"	"9"	"4"	"374"	"10"	"2"	"4"	"6"	"5"	"482"	"0"	"482"	"0"
"247"	"196"	"63"	"9"	"10"	"466"	"8"	"3"	"2"	"3"	"7"	"571"	"0"	"571"	"0"
"248"	"197"	"84"	"8"	"6"	"271"	"6"	"6"	"4"	"12"	"6"	"403"	"0"	"403"	"0"
"249"	"197A"	"88"	"14"	"7"	"197"	"5"	"7"	"3"	"8"	"5"	"334"	"0"	"334"	"0"
"250"	"198"	"353"	"11"	"12"	"93"	"2"	"1"	"6"	"14"	"31"	"523"	"0"	"523"	"0"
"251"	"199"	"206"	"4"	"7"	"117"	"2"	"1"	"2"	"19"	"2"	"360"	"0"	"360"	"0"
"252"	"200"	"89"	"41"	"11"	"381"	"17"	"8"	"5"	"11"	"10"	"573"	"0"	"573"	"0"
"253"	"201"	"69"	"5"	"7"	"174"	"1"	"1"	"1"	"6"	"2"	"266"	"0"	"266"	"0"
"254"	"202"	"169"	"19"	"12"	"308"	"12"	"10"	"11"	"8"	"16"	"565"	"0"	"565"	"0"
"255"	"203"	"341"	"19"	"16"	"289"	"4"	"9"	"7"	"17"	"26"	"728"	"0"	"728"	"0"
"256"	"204"	"65"	"23"	"7"	"277"	"6"	"3"	"10"	"14"	"14"	"419"	"0"	"419"	"0"
"257"	"205"	"437"	"34"	"5"	"161"	"6"	"2"	"6"	"27"	"13"	"691"	"0"	"691"	"0"
"258"	"206"	"321"	"18"	"12"	"206"	"3"	"3"	"3"	"8"	"13"	"587"	"0"	"587"	"0"
"259"	"207"	"477"	"9"	"1"	"10"	"1"	"3"	"3"	"14"	"13"	"531"	"0"	"531"	"0"
"260"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"261"	""	"ANIRUDDH"	"BRIJNAND"	"RAMAYAN"	"VINODE"	"SUBODH"	"PUSHPA"	"RAM"	"SHASHI"	"SUJEET"	""	""	""	""
"262"	""	""	""	""	""	""	""	"JATAN"	""	""	""	""	""	""
"263"	""	"KUMAR"	"AN SINGH"	"PRASAD"	"YADAV"	"KUMAR"	"DEVI"	"CHOUDHA"	"YADAV"	"KUMAR"	""	""	""	""
"264"	""	""	""	""	""	""	""	"RY"	""	""	""	""	""	""
"265"	"208"	"201"	"6"	"2"	"46"	"2"	"2"	"4"	"2"	"3"	"268"	"0"	"268"	"0"
"266"	"209"	"101"	"13"	"23"	"153"	"72"	"8"	"7"	"10"	"25"	"412"	"0"	"412"	"0"
"267"	"210"	"173"	"17"	"8"	"153"	"20"	"2"	"8"	"1"	"8"	"390"	"0"	"390"	"0"
"268"	"211"	"157"	"8"	"11"	"126"	"13"	"7"	"3"	"3"	"23"	"351"	"0"	"351"	"0"
"269"	"212"	"229"	"26"	"9"	"303"	"13"	"14"	"7"	"6"	"11"	"618"	"0"	"618"	"0"
"270"	"213"	"118"	"18"	"12"	"141"	"142"	"9"	"4"	"4"	"11"	"459"	"0"	"459"	"0"
"271"	"214"	"119"	"14"	"24"	"382"	"52"	"2"	"3"	"0"	"4"	"600"	"0"	"600"	"0"
"272"	"215"	"80"	"16"	"8"	"93"	"162"	"13"	"7"	"12"	"21"	"412"	"0"	"412"	"0"
"273"	"216"	"17"	"7"	"6"	"92"	"7"	"0"	"1"	"3"	"4"	"137"	"0"	"137"	"0"
"274"	"217"	"287"	"3"	"1"	"9"	"1"	"0"	"1"	"2"	"1"	"305"	"0"	"305"	"0"
"275"	"218"	"431"	"17"	"2"	"13"	"2"	"1"	"2"	"8"	"0"	"476"	"0"	"476"	"0"
"276"	"219"	"95"	"5"	"24"	"127"	"4"	"5"	"1"	"4"	"3"	"268"	"0"	"268"	"0"
"277"	"220"	"81"	"2"	"5"	"60"	"13"	"6"	"4"	"3"	"4"	"178"	"0"	"178"	"0"
"278"	"221"	"162"	"19"	"8"	"60"	"12"	"9"	"9"	"117"	"23"	"419"	"0"	"419"	"0"
"279"	"222"	"201"	"19"	"6"	"56"	"5"	"7"	"7"	"190"	"18"	"509"	"0"	"509"	"0"
"280"	"223"	"178"	"12"	"9"	"43"	"40"	"3"	"5"	"76"	"18"	"384"	"0"	"384"	"0"
"281"	"224"	"109"	"26"	"14"	"143"	"30"	"11"	"13"	"104"	"16"	"466"	"0"	"466"	"0"
"282"	"225"	"183"	"7"	"5"	"56"	"9"	"9"	"11"	"87"	"7"	"374"	"0"	"374"	"0"
"283"	"226"	"310"	"12"	"5"	"152"	"29"	"11"	"6"	"10"	"6"	"541"	"0"	"541"	"0"
"284"	"227"	"78"	"6"	"3"	"111"	"72"	"9"	"6"	"13"	"12"	"310"	"0"	"310"	"0"
"285"	"228"	"76"	"16"	"5"	"110"	"5"	"6"	"8"	"56"	"2"	"284"	"0"	"284"	"0"
"286"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"287"	""	"ANIRUDDH"	"BRIJNAND"	"RAMAYAN"	"VINODE"	"SUBODH"	"PUSHPA"	"RAM"	"SHASHI"	"SUJEET"	""	""	""	""
"288"	""	""	""	""	""	""	""	"JATAN"	""	""	""	""	""	""
"289"	""	"KUMAR"	"AN SINGH"	"PRASAD"	"YADAV"	"KUMAR"	"DEVI"	"CHOUDHA"	"YADAV"	"KUMAR"	""	""	""	""
"290"	""	""	""	""	""	""	""	"RY"	""	""	""	""	""	""
"291"	"229"	"15"	"3"	"4"	"132"	"6"	"1"	"4"	"52"	"2"	"219"	"0"	"219"	"0"
"292"	"230"	"33"	"3"	"6"	"176"	"3"	"6"	"3"	"7"	"3"	"240"	"0"	"240"	"0"
"293"	"No. of votes recorded on postal ballot
papers"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"
"294"	"Total"	"52782"	"3250"	"2652"	"38037"	"7834"	"1289"	"1354"	"3384"	"2692"	"113274"	"0"	"113274"	"0"
"295"	"Place : A. N. College, Patna"	""	""	""	""	""	""	""	""	""	""	""	""	""
"296"	"Date : 24th November 2010                                                        Assistant Returning Officer                                                      Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""
