"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"
"144"	"127"	""	"59"	"116"	""	"108"	""	"4"	""	""	"64"	""	"3"	""	"34"	""	"6"	""	"3"	""	"4"	""	"6"	""	"5"	""	"10"	""	"422"	""
"145"	"128"	""	"45"	"137"	""	"28"	""	"3"	""	""	"309"	""	"7"	""	"51"	""	"5"	""	"2"	""	"4"	""	"1"	""	"1"	""	"5"	""	"598"	""
"146"	"129"	""	"51"	"90"	""	"49"	""	"6"	""	""	"174"	""	"1"	""	"55"	""	"11"	""	"4"	""	"4"	""	"7"	""	"10"	""	"11"	""	"473"	""
"147"	"130"	""	"142"	"169"	""	"24"	""	"9"	""	""	"259"	""	"3"	""	"69"	""	"5"	""	"4"	""	"9"	""	"2"	""	"10"	""	"7"	""	"712"	""
"148"	"131"	""	"48"	"195"	""	"50"	""	"11"	""	""	"124"	""	"3"	""	"32"	""	"6"	""	"6"	""	"2"	""	"0"	""	"9"	""	"10"	""	"496"	""
"149"	"132"	""	"52"	"266"	""	"142"	""	"8"	""	""	"146"	""	"2"	""	"28"	""	"5"	""	"0"	""	"0"	""	"3"	""	"0"	""	"2"	""	"654"	""
"150"	"133"	""	"19"	"110"	""	"125"	""	"5"	""	""	"131"	""	"1"	""	"27"	""	"1"	""	"4"	""	"5"	""	"3"	""	"3"	""	"4"	""	"438"	""
"151"	"134"	""	"34"	"258"	""	"28"	""	"2"	""	""	"33"	""	"3"	""	"21"	""	"7"	""	"4"	""	"14"	""	"5"	""	"13"	""	"16"	""	"438"	""
"152"	"135"	""	"48"	"209"	""	"23"	""	"3"	""	""	"103"	""	"2"	""	"23"	""	"6"	""	"1"	""	"3"	""	"5"	""	"5"	""	"5"	""	"436"	""
"153"	"136"	""	"40"	"154"	""	"14"	""	"2"	""	""	"426"	""	"3"	""	"37"	""	"12"	""	"6"	""	"5"	""	"3"	""	"5"	""	"11"	""	"718"	""
"154"	"137"	""	"13"	"84"	""	"41"	""	"7"	""	""	"136"	""	"5"	""	"49"	""	"11"	""	"1"	""	"5"	""	"14"	""	"7"	""	"12"	""	"385"	""
"155"	"137A"	""	"17"	"65"	""	"11"	""	"1"	""	""	"182"	""	"8"	""	"62"	""	"9"	""	"2"	""	"8"	""	"7"	""	"6"	""	"20"	""	"398"	""
"156"	"138"	""	"33"	"159"	""	"34"	""	"5"	""	""	"187"	""	"5"	""	"35"	""	"15"	""	"0"	""	"0"	""	"2"	""	"5"	""	"5"	""	"485"	""
"157"	"139"	""	"31"	"248"	""	"54"	""	"6"	""	""	"195"	""	"3"	""	"44"	""	"7"	""	"5"	""	"7"	""	"12"	""	"10"	""	"34"	""	"656"	""
"158"	"140"	""	"75"	"266"	""	"27"	""	"3"	""	""	"208"	""	"8"	""	"51"	""	"6"	""	"5"	""	"10"	""	"2"	""	"4"	""	"3"	""	"668"	""
"159"	"141"	""	"24"	"55"	""	"198"	""	"2"	""	""	"142"	""	"3"	""	"30"	""	"6"	""	"5"	""	"2"	""	"4"	""	"1"	""	"4"	""	"476"	""
"160"	"142"	""	"40"	"265"	""	"96"	""	"4"	""	""	"229"	""	"12"	""	"70"	""	"14"	""	"5"	""	"9"	""	"1"	""	"4"	""	"7"	""	"756"	""
"161"	"143"	""	"31"	"186"	""	"106"	""	"11"	""	""	"115"	""	"9"	""	"67"	""	"19"	""	"9"	""	"13"	""	"14"	""	"18"	""	"37"	""	"635"	""
"162"	"144"	""	"17"	"227"	""	"30"	""	"5"	""	""	"134"	""	"9"	""	"57"	""	"9"	""	"6"	""	"5"	""	"5"	""	"10"	""	"17"	""	"531"	""
"163"	"145"	""	"31"	"146"	""	"187"	""	"7"	""	""	"173"	""	"4"	""	"61"	""	"10"	""	"5"	""	"11"	""	"6"	""	"9"	""	"11"	""	"661"	""
"164"	"146"	""	"10"	"174"	""	"35"	""	"1"	""	""	"15"	""	"1"	""	"5"	""	"5"	""	"3"	""	"7"	""	"5"	""	"4"	""	"15"	""	"280"	""
"165"	"147"	""	"28"	"175"	""	"98"	""	"3"	""	""	"89"	""	"1"	""	"17"	""	"6"	""	"2"	""	"3"	""	"10"	""	"0"	""	"4"	""	"436"	""
"166"	"148"	""	"11"	"53"	""	"44"	""	"3"	""	""	"142"	""	"8"	""	"57"	""	"7"	""	"2"	""	"5"	""	"7"	""	"6"	""	"9"	""	"354"	""
"167"	"149"	""	"35"	"325"	""	"81"	""	"10"	""	""	"118"	""	"4"	""	"25"	""	"19"	""	"6"	""	"2"	""	"3"	""	"5"	""	"6"	""	"639"	""
"168"	"150"	""	"99"	"237"	""	"104"	""	"11"	""	""	"124"	""	"4"	""	"34"	""	"7"	""	"1"	""	"4"	""	"1"	""	"6"	""	"6"	""	"638"	""
"169"	"151"	""	"88"	"202"	""	"19"	""	"5"	""	""	"151"	""	"6"	""	"43"	""	"9"	""	"5"	""	"5"	""	"4"	""	"8"	""	"11"	""	"556"	""
"170"	"152"	""	"117"	"254"	""	"15"	""	"4"	""	""	"152"	""	"4"	""	"15"	""	"6"	""	"0"	""	"3"	""	"0"	""	"8"	""	"2"	""	"580"	""
"171"	"153"	""	"125"	"229"	""	"28"	""	"2"	""	""	"108"	""	"1"	""	"24"	""	"9"	""	"1"	""	"4"	""	"5"	""	"4"	""	"3"	""	"543"	""
"172"	"154"	""	"35"	"191"	""	"12"	""	"1"	""	""	"136"	""	"4"	""	"35"	""	"3"	""	"4"	""	"4"	""	"6"	""	"8"	""	"7"	""	"446"	""
"173"	"155"	""	"418"	"87"	""	"21"	""	"3"	""	""	"116"	""	"4"	""	"59"	""	"4"	""	"3"	""	"1"	""	"5"	""	"3"	""	"7"	""	"731"	""
"174"	"156"	""	"7"	"57"	""	"35"	""	"3"	""	""	"129"	""	"0"	""	"27"	""	"2"	""	"0"	""	"1"	""	"2"	""	"1"	""	"1"	""	"265"	""
"175"	"157"	""	"228"	"88"	""	"59"	""	"8"	""	""	"232"	""	"7"	""	"65"	""	"12"	""	"11"	""	"8"	""	"10"	""	"9"	""	"23"	""	"760"	""
"176"	"158"	""	"185"	"286"	""	"110"	""	"6"	""	""	"139"	""	"3"	""	"18"	""	"12"	""	"2"	""	"8"	""	"3"	""	"9"	""	"13"	""	"794"	""
"177"	"159"	""	"92"	"363"	""	"44"	""	"2"	""	""	"96"	""	"2"	""	"8"	""	"4"	""	"1"	""	"3"	""	"1"	""	"4"	""	"4"	""	"624"	""
"178"	"160"	""	"68"	"261"	""	"22"	""	"2"	""	""	"149"	""	"3"	""	"32"	""	"11"	""	"4"	""	"8"	""	"1"	""	"6"	""	"10"	""	"577"	""
"179"	"161"	""	"134"	"239"	""	"104"	""	"9"	""	""	"95"	""	"5"	""	"15"	""	"10"	""	"5"	""	"10"	""	"6"	""	"12"	""	"36"	""	"680"	""
"180"	"162"	""	"127"	"134"	""	"205"	""	"7"	""	""	"19"	""	"2"	""	"12"	""	"3"	""	"2"	""	"3"	""	"5"	""	"7"	""	"17"	""	"543"	""
"181"	"163"	""	"193"	"256"	""	"9"	""	"3"	""	""	"58"	""	"8"	""	"16"	""	"13"	""	"0"	""	"9"	""	"1"	""	"5"	""	"8"	""	"579"	""
"182"	"164"	""	"145"	"164"	""	"23"	""	"3"	""	""	"79"	""	"1"	""	"41"	""	"11"	""	"2"	""	"13"	""	"9"	""	"15"	""	"22"	""	"528"	""
"183"	"165"	""	"159"	"142"	""	"100"	""	"3"	""	""	"131"	""	"6"	""	"42"	""	"85"	""	"11"	""	"11"	""	"13"	""	"16"	""	"36"	""	"755"	""
"184"	"166"	""	"13"	"223"	""	"13"	""	"2"	""	""	"21"	""	"2"	""	"3"	""	"8"	""	"0"	""	"3"	""	"2"	""	"6"	""	"4"	""	"300"	""
"185"	"167"	""	"43"	"251"	""	"135"	""	"2"	""	""	"124"	""	"2"	""	"53"	""	"5"	""	"1"	""	"6"	""	"8"	""	"10"	""	"22"	""	"662"	""
"186"	"168"	""	"135"	"272"	""	"8"	""	"2"	""	""	"164"	""	"3"	""	"22"	""	"7"	""	"2"	""	"13"	""	"8"	""	"6"	""	"9"	""	"651"	""
"187"	"169"	""	"118"	"366"	""	"33"	""	"1"	""	""	"23"	""	"2"	""	"15"	""	"4"	""	"2"	""	"6"	""	"4"	""	"10"	""	"16"	""	"600"	""
"188"	"170"	""	"23"	"203"	""	"51"	""	"2"	""	""	"295"	""	"6"	""	"76"	""	"11"	""	"5"	""	"12"	""	"8"	""	"8"	""	"10"	""	"710"	""
"189"	"171"	""	"14"	"144"	""	"145"	""	"12"	""	""	"430"	""	"1"	""	"71"	""	"10"	""	"7"	""	"6"	""	"10"	""	"12"	""	"14"	""	"876"	""
"190"	"172"	""	"10"	"45"	""	"110"	""	"3"	""	""	"260"	""	"1"	""	"60"	""	"5"	""	"2"	""	"5"	""	"1"	""	"3"	""	"8"	""	"513"	""
"191"	"173"	""	"7"	"14"	""	"109"	""	"1"	""	""	"309"	""	"0"	""	"38"	""	"2"	""	"4"	""	"1"	""	"1"	""	"0"	""	"5"	""	"491"	""
"192"	"173A"	""	"5"	"28"	""	"130"	""	"1"	""	""	"271"	""	"1"	""	"44"	""	"1"	""	"0"	""	"2"	""	"1"	""	"0"	""	"1"	""	"485"	""
"193"	"174"	""	"19"	"112"	""	"118"	""	"5"	""	""	"402"	""	"8"	""	"79"	""	"3"	""	"4"	""	"3"	""	"4"	""	"5"	""	"3"	""	"765"	""
"194"	"175"	""	"18"	"85"	""	"133"	""	"1"	""	""	"435"	""	"1"	""	"59"	""	"4"	""	"3"	""	"2"	""	"3"	""	"2"	""	"5"	""	"751"	""
"195"	"176"	""	"21"	"135"	""	"87"	""	"2"	""	""	"287"	""	"1"	""	"37"	""	"5"	""	"2"	""	"4"	""	"14"	""	"4"	""	"0"	""	"599"	""
"196"	"177"	""	"20"	"301"	""	"70"	""	"4"	""	""	"100"	""	"2"	""	"30"	""	"7"	""	"6"	""	"16"	""	"18"	""	"9"	""	"20"	""	"603"	""
"197"	"178"	""	"19"	"310"	""	"172"	""	"8"	""	""	"206"	""	"5"	""	"37"	""	"10"	""	"3"	""	"8"	""	"4"	""	"4"	""	"4"	""	"790"	""
"198"	"179"	""	"25"	"254"	""	"62"	""	"3"	""	""	"260"	""	"0"	""	"45"	""	"15"	""	"7"	""	"13"	""	"17"	""	"8"	""	"11"	""	"720"	""
"199"	"180"	""	"28"	"301"	""	"104"	""	"3"	""	""	"127"	""	"4"	""	"25"	""	"7"	""	"0"	""	"2"	""	"13"	""	"1"	""	"5"	""	"620"	""
"200"	"181"	""	"70"	"302"	""	"153"	""	"2"	""	""	"58"	""	"0"	""	"6"	""	"4"	""	"2"	""	"2"	""	"2"	""	"4"	""	"5"	""	"610"	""
"201"	"182"	""	"172"	"286"	""	"30"	""	"6"	""	""	"128"	""	"3"	""	"48"	""	"12"	""	"5"	""	"4"	""	"3"	""	"9"	""	"35"	""	"741"	""
"202"	"183"	""	"13"	"129"	""	"31"	""	"3"	""	""	"24"	""	"0"	""	"10"	""	"2"	""	"0"	""	"0"	""	"6"	""	"1"	""	"5"	""	"224"	""
"203"	"184"	""	"74"	"206"	""	"113"	""	"7"	""	""	"229"	""	"3"	""	"56"	""	"4"	""	"4"	""	"8"	""	"8"	""	"6"	""	"9"	""	"727"	""
"204"	"185"	""	"108"	"169"	""	"52"	""	"4"	""	""	"245"	""	"8"	""	"59"	""	"4"	""	"4"	""	"8"	""	"6"	""	"8"	""	"23"	""	"698"	""
"205"	"186"	""	"62"	"464"	""	"47"	""	"7"	""	""	"97"	""	"3"	""	"20"	""	"9"	""	"6"	""	"8"	""	"13"	""	"10"	""	"31"	""	"777"	""
"206"	"187"	""	"59"	"262"	""	"85"	""	"4"	""	""	"89"	""	"3"	""	"21"	""	"22"	""	"1"	""	"2"	""	"3"	""	"3"	""	"4"	""	"558"	""
"207"	"188"	""	"129"	"255"	""	"17"	""	"5"	""	""	"248"	""	"9"	""	"52"	""	"10"	""	"4"	""	"7"	""	"7"	""	"13"	""	"28"	""	"784"	""
"208"	"189"	""	"73"	"325"	""	"25"	""	"7"	""	""	"146"	""	"10"	""	"28"	""	"10"	""	"5"	""	"10"	""	"8"	""	"9"	""	"25"	""	"681"	""
"209"	"190"	""	"164"	"146"	""	"18"	""	"2"	""	""	"119"	""	"3"	""	"22"	""	"2"	""	"4"	""	"8"	""	"5"	""	"9"	""	"15"	""	"517"	""
"210"	"191"	""	"142"	"48"	""	"71"	""	"9"	""	""	"190"	""	"1"	""	"54"	""	"5"	""	"8"	""	"0"	""	"2"	""	"7"	""	"34"	""	"571"	""
"211"	"192"	""	"26"	"52"	""	"35"	""	"2"	""	""	"111"	""	"7"	""	"40"	""	"4"	""	"4"	""	"6"	""	"4"	""	"7"	""	"8"	""	"306"	""
"212"	"193"	""	"102"	"77"	""	"33"	""	"5"	""	""	"121"	""	"10"	""	"12"	""	"6"	""	"7"	""	"4"	""	"4"	""	"4"	""	"21"	""	"406"	""
"213"	"193A"	""	"47"	"138"	""	"106"	""	"6"	""	""	"44"	""	"3"	""	"14"	""	"4"	""	"0"	""	"4"	""	"3"	""	"2"	""	"6"	""	"377"	""
"214"	"194"	""	"73"	"136"	""	"113"	""	"5"	""	""	"202"	""	"2"	""	"57"	""	"10"	""	"1"	""	"6"	""	"18"	""	"7"	""	"11"	""	"641"	""
"215"	"195"	""	"36"	"372"	""	"61"	""	"6"	""	""	"206"	""	"9"	""	"32"	""	"9"	""	"6"	""	"9"	""	"7"	""	"8"	""	"22"	""	"783"	""
"216"	"196"	""	"44"	"35"	""	"43"	""	"3"	""	""	"181"	""	"3"	""	"33"	""	"7"	""	"6"	""	"4"	""	"23"	""	"10"	""	"23"	""	"415"	""
"217"	"196A"	""	"84"	"101"	""	"33"	""	"2"	""	""	"185"	""	"4"	""	"28"	""	"16"	""	"3"	""	"8"	""	"6"	""	"0"	""	"8"	""	"478"	""
"218"	"197"	""	"127"	"502"	""	"40"	""	"6"	""	""	"87"	""	"5"	""	"16"	""	"6"	""	"9"	""	"14"	""	"13"	""	"20"	""	"32"	""	"877"	""
"219"	"198"	""	"29"	"100"	""	"186"	""	"6"	""	""	"133"	""	"9"	""	"56"	""	"10"	""	"1"	""	"10"	""	"44"	""	"6"	""	"19"	""	"609"	""
"220"	"199"	""	"108"	"36"	""	"54"	""	"5"	""	""	"190"	""	"7"	""	"30"	""	"3"	""	"3"	""	"2"	""	"2"	""	"0"	""	"6"	""	"446"	""
"221"	"200"	""	"59"	"220"	""	"84"	""	"8"	""	""	"175"	""	"1"	""	"14"	""	"13"	""	"5"	""	"8"	""	"37"	""	"3"	""	"3"	""	"630"	""
"222"	"201"	""	"20"	"4"	""	"76"	""	"2"	""	""	"87"	""	"2"	""	"15"	""	"2"	""	"3"	""	"4"	""	"14"	""	"1"	""	"1"	""	"231"	""
"223"	"202"	""	"71"	"20"	""	"56"	""	"6"	""	""	"320"	""	"8"	""	"56"	""	"8"	""	"6"	""	"34"	""	"10"	""	"6"	""	"32"	""	"633"	""
"224"	"203"	""	"121"	"443"	""	"28"	""	"2"	""	""	"88"	""	"3"	""	"27"	""	"10"	""	"3"	""	"7"	""	"3"	""	"11"	""	"30"	""	"776"	""
"225"	"204"	""	"98"	"179"	""	"72"	""	"3"	""	""	"170"	""	"5"	""	"36"	""	"4"	""	"4"	""	"7"	""	"4"	""	"8"	""	"21"	""	"611"	""
"226"	"205"	""	"87"	"299"	""	"55"	""	"4"	""	""	"135"	""	"5"	""	"29"	""	"1"	""	"4"	""	"4"	""	"6"	""	"13"	""	"24"	""	"666"	""
"227"	"206"	""	"178"	"262"	""	"43"	""	"5"	""	""	"104"	""	"4"	""	"44"	""	"11"	""	"3"	""	"11"	""	"2"	""	"4"	""	"9"	""	"680"	""
"228"	"207"	""	"204"	"413"	""	"41"	""	"6"	""	""	"155"	""	"6"	""	"61"	""	"15"	""	"3"	""	"11"	""	"7"	""	"10"	""	"26"	""	"958"	""
"229"	"208"	""	"31"	"31"	""	"20"	""	"6"	""	""	"266"	""	"3"	""	"31"	""	"3"	""	"2"	""	"2"	""	"9"	""	"0"	""	"1"	""	"405"	""
"230"	"208A"	""	"78"	"100"	""	"22"	""	"0"	""	""	"147"	""	"3"	""	"25"	""	"7"	""	"4"	""	"3"	""	"4"	""	"6"	""	"13"	""	"412"	""
"231"	"209"	""	"296"	"208"	""	"33"	""	"4"	""	""	"130"	""	"3"	""	"42"	""	"15"	""	"8"	""	"14"	""	"7"	""	"11"	""	"36"	""	"807"	""
"232"	"210"	""	"284"	"326"	""	"40"	""	"2"	""	""	"77"	""	"2"	""	"27"	""	"20"	""	"6"	""	"9"	""	"6"	""	"13"	""	"23"	""	"835"	""
"233"	"Total:"	""	"19142"	"42784"	""	"11159"	""	"1257"	""	""	"29758"	""	"3624"	""	"8777"	""	"2183"	""	"892"	""	"1222"	""	"5131"	""	"1713"	""	"3142"	""	"130784"	""
"234"	"Postal Ballot"	"3"	""	""	"7"	""	"1"	""	""	"0"	""	"2"	""	"0"	""	"0"	""	"0"	""	"0"	""	"1"	""	"2"	""	"0"	""	"0"	""	"16"
"235"	"Grand Total:"	"19145"	""	""	"42791"	""	"11160"	""	"1257"	""	""	"29760"	""	"3624"	""	"8777"	""	"2183"	""	"892"	""	"1223"	""	"5133"	""	"1713"	""	"3142"	""	"130800"
"236"	"Place:"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"237"	"Date: 24/11/2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"238"	"Printed Using RO/ARO Counting Tool Ver. 1.0 of National Informatics Centre,Bihar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
