"Total.No..of.Electors.in.Assembly.Constituency........190826"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"05- Lauria Legislative Assembly Constituency (Round - 1)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Station No."	"UMESH YADAV"	"DAKTAR MAHTO"	"PRADEEP SINGH"	"VISHWAM OHAN SHARMA"	"SHAMBHU TIWARI"	"SANTOSH KUMAR RAO ALLIAS BABLOO SINGH"	"IRSHAD ALAM"	"NARAYANI DEVI"	"VIJAY KUMAR"	"SANJAY THAKUR"	"VINAY BIHARI"	"SAJJAD ANSARI"	"Total No.     of actual Votes"	"Total No.   of rejecte d Votes"	"Total"	"No.   of Tender ed Votes"	""
"180"	"Polling Station No."	"UMESH YADAV"	"DAKTAR MAHTO"	"PRADEEP SINGH"	"VISHWAM OHAN SHARMA"	"SHAMBHU TIWARI"	"SANTOSH KUMAR RAO ALLIAS
BABLOO"	"IRSHAD ALAM"	"NARAYANI DEVI"	"VIJAY KUMAR"	"SANJAY THAKUR"	"VINAY BIHARI"	"SAJJAD ANSARI"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"181"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""
"182"	"96"	"10"	"8"	"114"	"25"	"33"	"6"	"9"	"10"	"5"	"9"	"307"	"8"	"544"	"0"	"544"	"0"	""
"183"	"97"	"13"	"2"	"59"	"63"	"115"	"15"	"8"	"9"	"2"	"7"	"112"	"10"	"415"	"0"	"415"	"0"	""
"184"	"98"	"13"	"7"	"17"	"126"	"16"	"13"	"12"	"14"	"6"	"8"	"356"	"7"	"595"	"0"	"595"	"0"	""
"185"	"99"	"8"	"2"	"74"	"4"	"57"	"3"	"2"	"4"	"3"	"5"	"214"	"9"	"385"	"0"	"385"	"0"	""
"186"	"100"	"19"	"12"	"28"	"17"	"63"	"7"	"13"	"11"	"7"	"15"	"506"	"21"	"719"	"0"	"719"	"0"	""
"187"	"101"	"6"	"7"	"33"	"65"	"43"	"2"	"3"	"7"	"10"	"13"	"580"	"12"	"781"	"0"	"781"	"0"	""
"188"	"102"	"8"	"5"	"39"	"47"	"19"	"5"	"5"	"2"	"5"	"4"	"518"	"3"	"660"	"0"	"660"	"0"	""
"189"	"103"	"6"	"4"	"21"	"31"	"37"	"7"	"3"	"3"	"1"	"6"	"560"	"11"	"690"	"0"	"690"	"0"	""
"190"	"104"	"7"	"8"	"12"	"13"	"48"	"9"	"4"	"5"	"1"	"7"	"479"	"9"	"602"	"0"	"602"	"0"	""
"191"	"105"	"11"	"9"	"35"	"55"	"98"	"9"	"12"	"8"	"6"	"25"	"524"	"23"	"815"	"0"	"815"	"0"	""
"192"	"106"	"4"	"1"	"18"	"10"	"72"	"2"	"3"	"1"	"1"	"1"	"522"	"3"	"638"	"0"	"638"	"0"	""
"193"	"107"	"5"	"8"	"21"	"5"	"67"	"5"	"5"	"2"	"1"	"11"	"503"	"15"	"648"	"0"	"648"	"0"	""
"194"	"108"	"11"	"8"	"64"	"115"	"157"	"11"	"5"	"18"	"3"	"5"	"260"	"18"	"675"	"0"	"675"	"0"	""
"195"	"109"	"12"	"7"	"59"	"53"	"190"	"16"	"4"	"14"	"3"	"19"	"221"	"12"	"610"	"0"	"610"	"0"	""
"196"	"Total"	"133"	"88"	"594"	"629"	"1015"	"110"	"88"	"108"	"54"	"135"	"5662"	"161"	"8777"	"0"	"8777"	"0"	""
"197"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"05- Lauria Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Total No. of Electors in Assembly Constituency -      190826"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"05- Lauria Legislative Assembly Constituency (Round - 9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"Polling Station No."	"UMESH YADAV"	"DAKTAR MAHTO"	"PRADEEP SINGH"	"VISHWAM OHAN SHARMA"	"SHAMBHU TIWARI"	"SANTOSH KUMAR RAO ALLIAS
BABLOO"	"IRSHAD ALAM"	"NARAYANI DEVI"	"VIJAY KUMAR"	"SANJAY THAKUR"	"VINAY BIHARI"	"SAJJAD ANSARI"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"206"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""
"207"	"110"	"11"	"10"	"19"	"19"	"167"	"12"	"7"	"4"	"3"	"11"	"484"	"14"	"761"	"0"	"761"	"0"	""
"208"	"111"	"10"	"11"	"21"	"16"	"82"	"3"	"6"	"5"	"9"	"17"	"417"	"10"	"607"	"0"	"607"	"0"	""
"209"	"112"	"17"	"12"	"91"	"17"	"80"	"10"	"4"	"7"	"6"	"17"	"498"	"22"	"781"	"0"	"781"	"0"	""
"210"	"113"	"13"	"9"	"189"	"14"	"86"	"53"	"8"	"13"	"6"	"8"	"291"	"8"	"698"	"0"	"698"	"0"	""
"211"	"114"	"11"	"6"	"112"	"23"	"107"	"16"	"1"	"8"	"5"	"14"	"99"	"15"	"417"	"0"	"417"	"0"	""
"212"	"115"	"6"	"1"	"111"	"11"	"67"	"5"	"7"	"5"	"3"	"4"	"163"	"8"	"391"	"0"	"391"	"0"	""
"213"	"116"	"10"	"4"	"179"	"32"	"46"	"4"	"2"	"6"	"3"	"3"	"217"	"15"	"521"	"0"	"521"	"0"	""
"214"	"117"	"26"	"6"	"390"	"91"	"19"	"3"	"5"	"18"	"4"	"22"	"119"	"25"	"728"	"0"	"728"	"0"	""
"215"	"118"	"18"	"116"	"132"	"31"	"116"	"1"	"3"	"9"	"10"	"8"	"183"	"10"	"637"	"0"	"637"	"0"	""
"216"	"119"	"7"	"12"	"188"	"5"	"161"	"6"	"1"	"7"	"3"	"3"	"36"	"6"	"435"	"0"	"435"	"0"	""
"217"	"120"	"11"	"10"	"249"	"32"	"64"	"3"	"2"	"14"	"4"	"12"	"255"	"15"	"671"	"0"	"671"	"0"	""
"218"	"121"	"10"	"3"	"150"	"51"	"31"	"6"	"1"	"2"	"1"	"2"	"27"	"9"	"293"	"0"	"293"	"0"	""
"219"	"122"	"25"	"6"	"374"	"59"	"154"	"2"	"3"	"8"	"0"	"3"	"61"	"12"	"707"	"0"	"707"	"0"	""
"220"	"123"	"25"	"7"	"352"	"12"	"156"	"5"	"1"	"8"	"4"	"2"	"31"	"8"	"611"	"0"	"611"	"0"	""
"221"	"Total"	"200"	"213"	"2557"	"413"	"1336"	"129"	"51"	"114"	"61"	"126"	"2881"	"177"	"8258"	"0"	"8258"	"0"	""
"222"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"05- Lauria Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"Total No. of Electors in Assembly Constituency -      190826"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"05- Lauria Legislative Assembly Constituency (Round - 10)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"Polling Station No."	"UMESH YADAV"	"DAKTAR MAHTO"	"PRADEEP SINGH"	"VISHWAM OHAN SHARMA"	"SHAMBHU TIWARI"	"SANTOSH KUMAR RAO ALLIAS
BABLOO"	"IRSHAD ALAM"	"NARAYANI DEVI"	"VIJAY KUMAR"	"SANJAY THAKUR"	"VINAY BIHARI"	"SAJJAD ANSARI"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"231"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""
"232"	"124"	"15"	"6"	"155"	"46"	"11"	"5"	"5"	"3"	"1"	"6"	"143"	"7"	"403"	"0"	"403"	"0"	""
"233"	"125"	"5"	"4"	"11"	"12"	"42"	"6"	"2"	"2"	"1"	"6"	"120"	"3"	"214"	"0"	"214"	"0"	""
"234"	"126"	"16"	"12"	"273"	"64"	"103"	"48"	"4"	"9"	"3"	"10"	"114"	"16"	"672"	"0"	"672"	"0"	""
"235"	"127"	"10"	"25"	"105"	"115"	"50"	"4"	"4"	"9"	"3"	"7"	"63"	"14"	"409"	"0"	"409"	"0"	""
"236"	"128"	"13"	"9"	"76"	"35"	"66"	"56"	"4"	"7"	"3"	"5"	"80"	"7"	"361"	"0"	"361"	"0"	""
"237"	"129"	"14"	"38"	"211"	"45"	"55"	"13"	"1"	"3"	"1"	"5"	"210"	"12"	"608"	"0"	"608"	"0"	""
"238"	"130"	"15"	"239"	"38"	"19"	"186"	"30"	"0"	"11"	"6"	"2"	"110"	"10"	"666"	"0"	"666"	"0"	""
"239"	"131"	"11"	"185"	"95"	"35"	"89"	"1"	"1"	"1"	"5"	"6"	"53"	"6"	"488"	"0"	"488"	"0"	""
"240"	"132"	"6"	"4"	"95"	"12"	"5"	"47"	"3"	"4"	"3"	"1"	"224"	"1"	"405"	"0"	"405"	"0"	""
"241"	"133"	"14"	"12"	"104"	"16"	"212"	"62"	"2"	"7"	"8"	"9"	"101"	"18"	"565"	"0"	"565"	"0"	""
"242"	"134"	"0"	"2"	"22"	"6"	"129"	"102"	"2"	"1"	"2"	"0"	"13"	"3"	"282"	"0"	"282"	"0"	""
"243"	"135"	"16"	"6"	"134"	"18"	"269"	"84"	"4"	"28"	"6"	"20"	"101"	"8"	"694"	"0"	"694"	"0"	""
"244"	"136"	"14"	"20"	"62"	"29"	"420"	"35"	"11"	"19"	"6"	"7"	"103"	"20"	"746"	"0"	"746"	"0"	""
"245"	"137"	"20"	"9"	"204"	"85"	"82"	"78"	"10"	"15"	"3"	"13"	"234"	"10"	"763"	"0"	"763"	"0"	""
"246"	"Total"	"169"	"571"	"1585"	"537"	"1719"	"571"	"53"	"119"	"51"	"97"	"1669"	"135"	"7276"	"0"	"7276"	"0"	""
"247"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"05- Lauria Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"Total No. of Electors in Assembly Constituency -      190826"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"05- Lauria Legislative Assembly Constituency (Round - 11)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"Polling Station No."	"UMESH YADAV"	"DAKTAR MAHTO"	"PRADEEP SINGH"	"VISHWAM OHAN SHARMA"	"SHAMBHU TIWARI"	"SANTOSH KUMAR RAO ALLIAS
BABLOO"	"IRSHAD ALAM"	"NARAYANI DEVI"	"VIJAY KUMAR"	"SANJAY THAKUR"	"VINAY BIHARI"	"SAJJAD ANSARI"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"256"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""
"257"	"138"	"17"	"2"	"110"	"135"	"62"	"49"	"8"	"15"	"9"	"6"	"330"	"11"	"754"	"0"	"754"	"0"	""
"258"	"139"	"18"	"5"	"160"	"61"	"156"	"136"	"11"	"18"	"7"	"10"	"212"	"24"	"818"	"0"	"818"	"0"	""
"259"	"140"	"16"	"3"	"412"	"46"	"40"	"10"	"7"	"4"	"4"	"9"	"92"	"8"	"651"	"0"	"651"	"0"	""
"260"	"141"	"10"	"3"	"93"	"9"	"31"	"365"	"8"	"10"	"5"	"3"	"85"	"33"	"655"	"0"	"655"	"0"	""
"261"	"142"	"15"	"9"	"155"	"70"	"13"	"64"	"4"	"4"	"4"	"3"	"204"	"6"	"551"	"0"	"551"	"0"	""
"262"	"143"	"11"	"9"	"83"	"31"	"71"	"159"	"13"	"16"	"6"	"17"	"201"	"23"	"640"	"0"	"640"	"0"	""
"263"	"144"	"28"	"4"	"29"	"35"	"155"	"111"	"8"	"9"	"6"	"6"	"74"	"11"	"476"	"0"	"476"	"0"	""
"264"	"145"	"12"	"4"	"25"	"6"	"34"	"19"	"4"	"12"	"3"	"3"	"99"	"3"	"224"	"0"	"224"	"0"	""
"265"	"146"	"27"	"6"	"122"	"70"	"50"	"68"	"8"	"5"	"2"	"6"	"107"	"11"	"482"	"0"	"482"	"0"	""
"266"	"147"	"24"	"9"	"66"	"15"	"123"	"68"	"5"	"20"	"3"	"10"	"71"	"2"	"416"	"0"	"416"	"0"	""
"267"	"148"	"9"	"9"	"15"	"6"	"17"	"112"	"3"	"3"	"4"	"10"	"184"	"9"	"381"	"0"	"381"	"0"	""
"268"	"148 A"	"10"	"17"	"27"	"30"	"7"	"29"	"6"	"9"	"3"	"8"	"358"	"5"	"509"	"0"	"509"	"0"	""
"269"	"149"	"14"	"17"	"38"	"35"	"10"	"17"	"6"	"3"	"1"	"9"	"460"	"24"	"634"	"0"	"634"	"0"	""
"270"	"150"	"36"	"22"	"57"	"47"	"26"	"114"	"6"	"17"	"10"	"15"	"342"	"24"	"716"	"0"	"716"	"0"	""
"271"	"Total"	"247"	"119"	"1392"	"596"	"795"	"1321"	"97"	"145"	"67"	"115"	"2819"	"194"	"7907"	"0"	"7907"	"0"	""
"272"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"05- Lauria Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"Total No. of Electors in Assembly Constituency -      190826"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"05- Lauria Legislative Assembly Constituency (Round - 12)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"Polling Station No."	"UMESH YADAV"	"DAKTAR MAHTO"	"PRADEEP SINGH"	"VISHWAM OHAN SHARMA"	"SHAMBHU TIWARI"	"SANTOSH KUMAR RAO ALLIAS
BABLOO"	"IRSHAD ALAM"	"NARAYANI DEVI"	"VIJAY KUMAR"	"SANJAY THAKUR"	"VINAY BIHARI"	"SAJJAD ANSARI"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"281"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""
"282"	"151"	"22"	"17"	"64"	"34"	"33"	"27"	"8"	"13"	"12"	"16"	"384"	"17"	"647"	"0"	"647"	"0"	""
"283"	"152"	"12"	"14"	"18"	"11"	"59"	"9"	"7"	"18"	"7"	"16"	"467"	"9"	"647"	"0"	"647"	"0"	""
"284"	"153"	"8"	"8"	"30"	"27"	"136"	"6"	"2"	"12"	"10"	"15"	"353"	"29"	"636"	"0"	"636"	"0"	""
"285"	"154"	"8"	"17"	"39"	"12"	"25"	"10"	"11"	"14"	"2"	"21"	"447"	"27"	"633"	"0"	"633"	"0"	""
"286"	"155"	"8"	"1"	"11"	"27"	"25"	"4"	"6"	"5"	"0"	"6"	"148"	"8"	"249"	"0"	"249"	"0"	""
"287"	"156"	"24"	"18"	"36"	"50"	"48"	"33"	"16"	"14"	"5"	"13"	"426"	"24"	"707"	"0"	"707"	"0"	""
"288"	"157"	"4"	"4"	"38"	"46"	"11"	"4"	"4"	"4"	"0"	"6"	"332"	"7"	"460"	"0"	"460"	"0"	""
"289"	"158"	"14"	"4"	"152"	"78"	"30"	"4"	"7"	"8"	"5"	"14"	"244"	"16"	"576"	"0"	"576"	"0"	""
"290"	"159"	"3"	"10"	"60"	"17"	"116"	"6"	"3"	"5"	"0"	"1"	"538"	"2"	"761"	"0"	"761"	"0"	""
"291"	"160"	"16"	"8"	"39"	"12"	"205"	"13"	"11"	"29"	"9"	"19"	"517"	"15"	"893"	"0"	"893"	"0"	""
"292"	"161"	"12"	"6"	"113"	"19"	"17"	"11"	"4"	"7"	"3"	"12"	"330"	"12"	"546"	"0"	"546"	"0"	""
"293"	"162"	"2"	"5"	"6"	"4"	"14"	"0"	"2"	"1"	"3"	"1"	"119"	"5"	"162"	"0"	"162"	"0"	""
"294"	"163"	"9"	"18"	"49"	"68"	"108"	"8"	"13"	"16"	"7"	"13"	"612"	"22"	"943"	"0"	"943"	"0"	""
"295"	"164"	"10"	"7"	"11"	"42"	"117"	"4"	"5"	"14"	"8"	"21"	"199"	"20"	"458"	"0"	"458"	"0"	""
"296"	"Total"	"152"	"137"	"666"	"447"	"944"	"139"	"99"	"160"	"71"	"174"	"5116"	"213"	"8318"	"0"	"8318"	"0"	""
"297"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"298"	"05- Lauria Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"300"	"Total No. of Electors in Assembly Constituency -      190826"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"303"	"05- Lauria Legislative Assembly Constituency (Round - 13)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"304"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"305"	"Polling Station No."	"UMESH YADAV"	"DAKTAR MAHTO"	"PRADEEP SINGH"	"VISHWAM OHAN SHARMA"	"SHAMBHU TIWARI"	"SANTOSH KUMAR RAO ALLIAS
BABLOO"	"IRSHAD ALAM"	"NARAYANI DEVI"	"VIJAY KUMAR"	"SANJAY THAKUR"	"VINAY BIHARI"	"SAJJAD ANSARI"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"306"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""
"307"	"165"	"9"	"9"	"19"	"11"	"29"	"10"	"9"	"10"	"8"	"12"	"341"	"13"	"480"	"0"	"480"	"0"	""
"308"	"166"	"9"	"4"	"14"	"4"	"71"	"11"	"2"	"5"	"8"	"14"	"329"	"10"	"481"	"0"	"481"	"0"	""
"309"	"166 A"	"14"	"7"	"49"	"7"	"70"	"11"	"4"	"13"	"6"	"9"	"237"	"5"	"432"	"0"	"432"	"0"	""
"310"	"167"	"11"	"6"	"7"	"10"	"74"	"3"	"17"	"12"	"4"	"5"	"364"	"17"	"530"	"0"	"530"	"0"	""
"311"	"168"	"15"	"48"	"22"	"17"	"177"	"16"	"4"	"7"	"3"	"17"	"316"	"53"	"695"	"0"	"695"	"0"	""
"312"	"169"	"9"	"15"	"5"	"10"	"150"	"2"	"2"	"5"	"1"	"1"	"125"	"196"	"521"	"0"	"521"	"0"	""
"313"	"170"	"18"	"6"	"43"	"14"	"80"	"90"	"6"	"17"	"7"	"14"	"208"	"46"	"549"	"0"	"549"	"0"	""
"314"	"171"	"14"	"6"	"162"	"11"	"51"	"40"	"7"	"20"	"17"	"20"	"240"	"48"	"636"	"0"	"636"	"0"	""
"315"	"172"	"5"	"5"	"55"	"77"	"26"	"5"	"7"	"8"	"6"	"7"	"376"	"42"	"619"	"0"	"619"	"0"	""
"316"	"173"	"5"	"3"	"36"	"12"	"54"	"10"	"5"	"7"	"2"	"4"	"176"	"41"	"355"	"0"	"355"	"0"	""
"317"	"174"	"12"	"4"	"34"	"16"	"35"	"32"	"6"	"8"	"5"	"21"	"261"	"20"	"454"	"0"	"454"	"0"	""
"318"	"175"	"20"	"0"	"73"	"5"	"17"	"12"	"4"	"6"	"4"	"1"	"116"	"7"	"265"	"0"	"265"	"0"	""
"319"	"176"	"13"	"5"	"132"	"8"	"29"	"8"	"7"	"3"	"3"	"7"	"199"	"25"	"439"	"0"	"439"	"0"	""
"320"	"177"	"34"	"8"	"104"	"54"	"93"	"15"	"15"	"33"	"10"	"17"	"286"	"27"	"696"	"0"	"696"	"0"	""
"321"	"Total"	"188"	"126"	"755"	"256"	"956"	"265"	"95"	"154"	"84"	"149"	"3574"	"550"	"7152"	"0"	"7152"	"0"	""
"322"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"323"	"05- Lauria Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"324"	"13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"325"	"Total No. of Electors in Assembly Constituency -      190826"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"326"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"327"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"328"	"05- Lauria Legislative Assembly Constituency (Round - 14)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"329"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"330"	"Polling Station No."	"UMESH YADAV"	"DAKTAR MAHTO"	"PRADEEP SINGH"	"VISHWAM OHAN SHARMA"	"SHAMBHU TIWARI"	"SANTOSH KUMAR RAO ALLIAS
BABLOO"	"IRSHAD ALAM"	"NARAYANI DEVI"	"VIJAY KUMAR"	"SANJAY THAKUR"	"VINAY BIHARI"	"SAJJAD ANSARI"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"331"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""
"332"	"178"	"1"	"4"	"58"	"70"	"25"	"2"	"4"	"13"	"4"	"2"	"363"	"26"	"572"	"0"	"572"	"0"	""
"333"	"179"	"8"	"8"	"72"	"12"	"128"	"10"	"5"	"12"	"5"	"19"	"522"	"8"	"809"	"0"	"809"	"0"	""
"334"	"180"	"13"	"7"	"22"	"13"	"59"	"7"	"8"	"11"	"8"	"15"	"639"	"17"	"819"	"0"	"819"	"0"	""
"335"	"181"	"28"	"16"	"30"	"78"	"129"	"6"	"9"	"15"	"3"	"11"	"332"	"16"	"673"	"0"	"673"	"0"	""
"336"	"182"	"12"	"3"	"14"	"5"	"50"	"3"	"7"	"8"	"6"	"10"	"317"	"21"	"456"	"0"	"456"	"0"	""
"337"	"183"	"17"	"12"	"18"	"42"	"31"	"17"	"4"	"8"	"5"	"13"	"407"	"9"	"583"	"0"	"583"	"0"	""
"338"	"184"	"13"	"6"	"20"	"19"	"16"	"14"	"6"	"10"	"9"	"21"	"469"	"21"	"624"	"0"	"624"	"0"	""
"339"	"185"	"17"	"1"	"28"	"94"	"103"	"8"	"4"	"8"	"6"	"7"	"120"	"8"	"404"	"0"	"404"	"0"	""
"340"	"186"	"27"	"6"	"96"	"42"	"67"	"5"	"5"	"6"	"6"	"7"	"292"	"7"	"566"	"0"	"566"	"0"	""
"341"	"187"	"19"	"11"	"96"	"6"	"25"	"5"	"8"	"5"	"2"	"10"	"344"	"16"	"547"	"0"	"547"	"0"	""
"342"	"188"	"17"	"11"	"92"	"37"	"18"	"2"	"5"	"8"	"8"	"16"	"275"	"13"	"502"	"0"	"502"	"0"	""
"343"	"188 A"	"19"	"17"	"74"	"43"	"14"	"11"	"8"	"10"	"8"	"6"	"280"	"27"	"517"	"0"	"517"	"0"	""
"344"	"189"	"8"	"1"	"31"	"11"	"23"	"1"	"4"	"2"	"4"	"6"	"331"	"11"	"433"	"0"	"433"	"0"	""
"345"	"190"	"7"	"1"	"52"	"77"	"49"	"7"	"5"	"10"	"3"	"6"	"332"	"8"	"557"	"0"	"557"	"0"	""
"346"	"Total"	"206"	"104"	"703"	"549"	"737"	"98"	"82"	"126"	"77"	"149"	"5023"	"208"	"8062"	"0"	"8062"	"0"	""
"347"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"348"	"05- Lauria Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"349"	"14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"350"	"Total No. of Electors in Assembly Constituency -      190826"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"351"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"352"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"353"	"05- Lauria Legislative Assembly Constituency (Round - 15)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"354"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"355"	"Polling Station No."	"UMESH YADAV"	"DAKTAR MAHTO"	"PRADEEP SINGH"	"VISHWAM OHAN SHARMA"	"SHAMBHU TIWARI"	"SANTOSH KUMAR RAO ALLIAS
BABLOO"	"IRSHAD ALAM"	"NARAYANI DEVI"	"VIJAY KUMAR"	"SANJAY THAKUR"	"VINAY BIHARI"	"SAJJAD ANSARI"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"356"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""
"357"	"191"	"7"	"9"	"84"	"37"	"63"	"10"	"1"	"1"	"0"	"11"	"312"	"9"	"544"	"0"	"544"	"0"	""
