"ANNEXURE...XLII"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"(CHAPTER XIV, PARA 25.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"                                                                                           [ SEE RULE 56C(2) (c)]                                                                                            "	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 028- SITAMARHI CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used both for Parliamentary and Assembly Election) Total No. of Electors in Assembly Constituency/Segment - 223975"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly/ Segment 28- Sitamarhi Assembly Constituency (in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Sr.
No."	"Sr. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"	""
"198"	"162"	"157"	"54"	"20"	"9"	"178"	"93"	"22"	"8"	"32"	"416"	"0"	"416"	"0"	""
"199"	"163"	"158"	"65"	"6"	"3"	"169"	"251"	"17"	"7"	"18"	"536"	"0"	"536"	"0"	""
"200"	"164"	"159"	"46"	"18"	"10"	"310"	"53"	"3"	"2"	"10"	"452"	"0"	"452"	"0"	""
"201"	"165"	"160"	"38"	"12"	"4"	"254"	"61"	"5"	"4"	"25"	"403"	"0"	"403"	"0"	""
"202"	"166"	"161"	"23"	"15"	"2"	"133"	"396"	"13"	"8"	"13"	"603"	"0"	"603"	"0"	""
"203"	"167"	"162"	"111"	"21"	"12"	"126"	"213"	"19"	"9"	"32"	"543"	"0"	"543"	"0"	""
"204"	"168"	"163"	"50"	"50"	"9"	"177"	"270"	"12"	"2"	"20"	"590"	"0"	"590"	"0"	""
"205"	"169"	"164"	"182"	"13"	"1"	"100"	"86"	"4"	"1"	"6"	"393"	"0"	"393"	"0"	""
"206"	"170"	"165"	"10"	"26"	"6"	"490"	"43"	"12"	"6"	"24"	"617"	"0"	"617"	"0"	""
"207"	"171"	"166"	"26"	"10"	"9"	"439"	"67"	"6"	"3"	"25"	"585"	"0"	"585"	"0"	""
"208"	"172"	"167"	"26"	"16"	"5"	"297"	"266"	"11"	"5"	"23"	"649"	"0"	"649"	"0"	""
"209"	"173"	"168"	"16"	"3"	"16"	"124"	"292"	"8"	"1"	"9"	"469"	"0"	"469"	"0"	""
"210"	"174"	"169"	"16"	"15"	"2"	"203"	"213"	"3"	"0"	"4"	"456"	"0"	"456"	"0"	""
"211"	"Sr.
No."	"Sr. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"	""
"212"	""	""	"Amarnath Gupta"	"Kumari Rupam"	"Madhup Kumar Singh"	"Raghwendra Kumar Singh"	"Sunil Kumar Alias Pintu"	"Madhur endra Thakur"	"Ratan kumar"	"Ganesh Prasad"	""	""	""	""	""
"213"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"214"	"175"	"170"	"12"	"4"	"3"	"203"	"258"	"7"	"3"	"17"	"507"	"0"	"507"	"0"	""
"215"	"176"	"171"	"3"	"4"	"15"	"74"	"115"	"5"	"2"	"3"	"221"	"0"	"221"	"0"	""
"216"	"177"	"172"	"8"	"19"	"6"	"290"	"163"	"17"	"7"	"14"	"524"	"0"	"524"	"0"	""
"217"	"178"	"173"	"16"	"16"	"4"	"196"	"106"	"14"	"0"	"15"	"367"	"0"	"367"	"0"	""
"218"	"179"	"174"	"43"	"16"	"4"	"284"	"240"	"22"	"15"	"31"	"655"	"0"	"655"	"0"	""
"219"	"180"	"175"	"14"	"19"	"9"	"173"	"180"	"10"	"3"	"25"	"433"	"0"	"433"	"0"	""
"220"	"181"	"176"	"26"	"16"	"15"	"221"	"161"	"8"	"6"	"13"	"466"	"0"	"466"	"0"	""
"221"	"182"	"176 d"	"8"	"5"	"1"	"257"	"146"	"6"	"8"	"27"	"458"	"0"	"458"	"0"	""
"222"	"183"	"177"	"76"	"26"	"5"	"101"	"246"	"11"	"1"	"15"	"481"	"0"	"481"	"0"	""
"223"	"184"	"178"	"42"	"38"	"23"	"138"	"292"	"25"	"8"	"35"	"601"	"0"	"601"	"0"	""
"224"	"185"	"179"	"28"	"12"	"6"	"149"	"242"	"9"	"10"	"23"	"479"	"0"	"479"	"0"	""
"225"	"186"	"180"	"12"	"12"	"9"	"98"	"302"	"14"	"0"	"15"	"462"	"0"	"462"	"0"	""
"226"	"187"	"181"	"30"	"12"	"5"	"251"	"155"	"13"	"4"	"38"	"508"	"0"	"508"	"0"	""
"227"	"188"	"182"	"32"	"3"	"0"	"96"	"127"	"4"	"6"	"18"	"286"	"0"	"286"	"0"	""
"228"	"189"	"183"	"73"	"35"	"13"	"59"	"311"	"15"	"3"	"9"	"518"	"0"	"518"	"0"	""
"229"	"190"	"184"	"8"	"5"	"2"	"202"	"153"	"8"	"6"	"18"	"402"	"0"	"402"	"0"	""
"230"	"191"	"185"	"22"	"3"	"2"	"153"	"240"	"7"	"7"	"15"	"449"	"0"	"449"	"0"	""
"231"	"192"	"185 d"	"39"	"6"	"1"	"202"	"257"	"9"	"6"	"17"	"537"	"0"	"537"	"0"	""
"232"	"193"	"186"	"20"	"22"	"10"	"65"	"319"	"11"	"2"	"11"	"460"	"0"	"460"	"0"	""
"233"	"Sr.
No."	"Sr. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"	""
"234"	""	""	"Amarnath Gupta"	"Kumari Rupam"	"Madhup Kumar Singh"	"Raghwendra Kumar Singh"	"Sunil Kumar Alias Pintu"	"Madhur endra Thakur"	"Ratan kumar"	"Ganesh Prasad"	""	""	""	""	""
"235"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"236"	"194"	"186 d"	"16"	"18"	"8"	"75"	"246"	"7"	"12"	"12"	"394"	"0"	"394"	"0"	""
"237"	"195"	"187"	"4"	"13"	"5"	"365"	"74"	"8"	"6"	"13"	"488"	"0"	"488"	"0"	""
"238"	"196"	"188"	"18"	"23"	"6"	"327"	"102"	"14"	"4"	"13"	"507"	"0"	"507"	"0"	""
"239"	"197"	"189"	"115"	"10"	"12"	"121"	"345"	"8"	"7"	"20"	"638"	"0"	"638"	"0"	""
"240"	"198"	"190"	"14"	"8"	"12"	"146"	"233"	"10"	"2"	"6"	"431"	"0"	"431"	"0"	""
"241"	"199"	"191"	"24"	"23"	"13"	"343"	"311"	"18"	"9"	"50"	"791"	"0"	"791"	"0"	""
"242"	"200"	"192"	"26"	"28"	"3"	"385"	"322"	"18"	"3"	"55"	"840"	"0"	"840"	"0"	""
"243"	"201"	"193"	"19"	"18"	"0"	"424"	"151"	"8"	"2"	"14"	"636"	"0"	"636"	"0"	""
"244"	"202"	"194"	"14"	"35"	"11"	"460"	"137"	"8"	"10"	"33"	"708"	"0"	"708"	"0"	""
"245"	"203"	"195"	"30"	"39"	"4"	"252"	"260"	"15"	"10"	"25"	"635"	"0"	"635"	"0"	""
"246"	"204"	"196"	"66"	"39"	"6"	"160"	"212"	"23"	"9"	"13"	"528"	"0"	"528"	"0"	""
"247"	"205"	"197"	"34"	"6"	"4"	"70"	"308"	"5"	"2"	"9"	"438"	"0"	"438"	"0"	""
"248"	"206"	"198"	"37"	"44"	"31"	"71"	"419"	"8"	"4"	"14"	"628"	"0"	"628"	"0"	""
"249"	"207"	"199"	"137"	"17"	"32"	"42"	"318"	"11"	"5"	"15"	"577"	"0"	"577"	"0"	""
"250"	"208"	"200"	"114"	"25"	"7"	"3"	"184"	"16"	"7"	"16"	"372"	"0"	"372"	"0"	""
"251"	"209"	"201"	"67"	"7"	"4"	"62"	"231"	"9"	"6"	"14"	"400"	"0"	"400"	"0"	""
"252"	"210"	"202"	"43"	"11"	"9"	"217"	"130"	"15"	"18"	"32"	"475"	"0"	"475"	"0"	""
"253"	"211"	"203"	"118"	"11"	"12"	"242"	"127"	"7"	"6"	"10"	"533"	"0"	"533"	"0"	""
"254"	"212"	"204"	"30"	"5"	"16"	"127"	"246"	"7"	"3"	"16"	"450"	"0"	"450"	"0"	""
"255"	"Sr.
No."	"Sr. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"	""
"256"	""	""	"Amarnath Gupta"	"Kumari Rupam"	"Madhup Kumar Singh"	"Raghwendra Kumar Singh"	"Sunil Kumar Alias Pintu"	"Madhur endra Thakur"	"Ratan kumar"	"Ganesh Prasad"	""	""	""	""	""
"257"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"258"	"213"	"205"	"29"	"11"	"105"	"107"	"198"	"12"	"7"	"29"	"498"	"0"	"498"	"0"	""
"259"	"214"	"206"	"48"	"9"	"3"	"463"	"95"	"5"	"5"	"14"	"642"	"0"	"642"	"0"	""
"260"	"215"	"207"	"13"	"5"	"26"	"63"	"98"	"4"	"3"	"4"	"216"	"0"	"216"	"0"	""
"261"	"216"	"208"	"8"	"3"	"12"	"31"	"173"	"12"	"7"	"17"	"263"	"0"	"263"	"0"	""
"262"	"217"	"209"	"27"	"11"	"6"	"209"	"231"	"6"	"1"	"17"	"508"	"0"	"508"	"0"	""
"263"	"218"	"210"	"21"	"8"	"22"	"9"	"234"	"11"	"4"	"5"	"314"	"0"	"314"	"0"	""
"264"	"219"	"211"	"35"	"3"	"0"	"87"	"216"	"1"	"2"	"9"	"353"	"0"	"353"	"0"	""
"265"	"220"	"212"	"22"	"9"	"1"	"409"	"211"	"2"	"1"	"6"	"661"	"0"	"661"	"0"	""
"266"	"221"	"213"	"13"	"2"	"3"	"42"	"541"	"10"	"4"	"4"	"619"	"0"	"619"	"0"	""
"267"	"222"	"214"	"18"	"2"	"2"	"135"	"414"	"7"	"3"	"10"	"591"	"0"	"591"	"0"	""
"268"	"223"	"215"	"42"	"10"	"5"	"146"	"156"	"6"	"6"	"17"	"388"	"0"	"388"	"0"	""
"269"	"224"	"216"	"14"	"14"	"1"	"203"	"82"	"7"	"2"	"7"	"330"	"0"	"330"	"0"	""
"270"	"225"	"217"	"59"	"13"	"6"	"256"	"143"	"9"	"8"	"24"	"518"	"0"	"518"	"0"	""
"271"	"226"	"218"	"47"	"8"	"0"	"17"	"188"	"11"	"4"	"5"	"280"	"0"	"280"	"0"	""
"272"	"227"	"219"	"440"	"20"	"7"	"46"	"152"	"20"	"9"	"19"	"713"	"0"	"713"	"0"	""
"273"	"228"	"220"	"18"	"7"	"7"	"343"	"41"	"16"	"7"	"35"	"474"	"0"	"474"	"0"	""
"274"	"229"	"221"	"76"	"4"	"4"	"181"	"71"	"3"	"0"	"6"	"345"	"0"	"345"	"0"	""
"275"	"230"	"222"	"19"	"14"	"4"	"228"	"9"	"1"	"2"	"23"	"300"	"0"	"300"	"0"	""
"276"	"Sr.
No."	"Sr. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"	""
"277"	""	""	"Amarnath Gupta"	"Kumari Rupam"	"Madhup Kumar Singh"	"Raghwendra Kumar Singh"	"Sunil Kumar Alias Pintu"	"Madhur endra Thakur"	"Ratan kumar"	"Ganesh Prasad"	""	""	""	""	""
"278"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"279"	"231"	"223"	"125"	"9"	"6"	"70"	"87"	"9"	"4"	"9"	"319"	"0"	"319"	"0"	""
"280"	"232"	"224"	"85"	"21"	"8"	"124"	"303"	"23"	"2"	"3"	"569"	"0"	"569"	"0"	""
"281"	"233"	"225"	"44"	"45"	"7"	"45"	"214"	"11"	"2"	"5"	"373"	"0"	"373"	"0"	""
"282"	"234"	"226"	"14"	"26"	"26"	"248"	"99"	"1"	"1"	"5"	"420"	"0"	"420"	"0"	""
"283"	"235"	"227"	"54"	"19"	"5"	"178"	"102"	"10"	"4"	"10"	"382"	"0"	"382"	"0"	""
"284"	"Total No. of votes recorded at Polling stations"	""	"8054"	"3867"	"1700"	""	"51622"	"2139"	"997"	"3658"	"118457"	"0"	"118457"	"0"	""
"285"	"No. of votes recorded on Postal ballot papers"	""	"1"	"3"	"1"	"23"	"42"	"0"	"0"	"0"	"70"	"8"	"78"	"0"	""
"286"	"Total votes polled"	""	"8055"	"3870"	"1701"	"23"	"51664"	"2139"	"997"	"3658"	"118527"	"8"	"118535"	"0"	""
"287"	"Place : M.P.High School,Dumra, Sitamarhi."	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"Date : 24th November, 2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"Returning Officer,"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"28- Sitamarhi Assembly Constituency-cum-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"Sub Divisional Officer, Sitamarhi Sadar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
