"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 236-Hisua CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Assembly Constituency :236---Hisua_No of Voters :271062"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	""	"No of val votes c e in favour <;"	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"6"	"Candidates Name -----
> BOOTH NO"	"ANIL MEHTA"	"ANIL SINGH"	"JAINANDAN PRASAD SINGH"	"NITU KUMARI"	"RAJEEV KUMAR"	"RAMSWA ROOP YADAV"	"DR. INDRAD EV YADAV"	"UMAKAN T RAHI"	"KAULES H KUMAR"	"DINESH RAJWAN SHI"	"MANZOOR ALAM"	"MD MQANZOO R ALM RAYEEN"	"RANJEET PATEL"	""
"198"	"138"	"9"	"27"	"6"	"101"	"3"	"1"	"0"	"0"	"1"	"3"	"3"	"1"	"3"	"247"
"199"	"138A"	"166"	"135"	"15"	"41"	"1"	"3"	"0"	"3"	"16"	"1"	"10"	"21"	"22"	"434"
"200"	"139"	"4"	"134"	"13"	"80"	"5"	"1"	"1"	"1"	"1"	"1"	"1"	"5"	"4"	"291"
"201"	"140"	"101"	"180"	"25"	"75"	"6"	"4"	"4"	"1"	"6"	"2"	"11"	"19"	"25"	"459"
"202"	"141"	"5"	"110"	"14"	"32"	"4"	"2"	"0"	"0"	"15"	"1"	"4"	"5"	"12"	"250"
"203"	"142"	"251"	"72"	"4"	"9"	"0"	"1"	"0"	"1"	"0"	"1"	"2"	"4"	"6"	"351"
"204"	"142A"	"4"	"168"	"11"	"12"	"0"	"0"	"0"	"0"	"1"	"0"	"7"	"7"	"5"	"259"
"205"	"143"	"253"	"132"	"26"	"59"	"2"	"1"	"1"	"4"	"2"	"6"	"4"	"6"	"27"	"523"
"206"	"144"	"133"	"110"	"5"	"14"	"2"	"2"	"1"	"0"	"0"	"1"	"2"	"3"	"8"	"281"
"207"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"208"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"209"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 236-Hisua CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"211"	"Assembly Constituency :236---Hisua_No of Voters :271062"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"212"	"Candidates Name -----
> BOOTH NO"	"No of val votes c e in favour <;"	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"213"	""	"ANIL MEHTA"	"ANIL SINGH"	"JAINANDAN PRASAD SINGH"	"NITU KUMARI"	"RAJEEV KUMAR"	"RAMSWA ROOP YADAV"	"DR. INDRAD EV YADAV"	"UMAKAN T RAHI"	"KAULES H KUMAR"	"DINESH RAJWAN SHI"	"MANZOOR ALAM"	"MD MQANZOO R ALM RAYEEN"	"RANJEET PATEL"	""
"214"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"33"
"215"	"145"	"167"	"273"	"27"	"15"	"0"	"2"	"0"	"3"	"0"	"3"	"3"	"2"	"6"	"501"
"216"	"146"	"135"	"94"	"2"	"2"	"1"	"3"	"0"	"2"	"2"	"0"	"3"	"3"	"11"	"258"
"217"	"147"	"203"	"149"	"22"	"3"	"1"	"1"	"0"	"2"	"54"	"1"	"5"	"11"	"8"	"460"
"218"	"148"	"259"	"169"	"22"	"25"	"1"	"1"	"3"	"0"	"1"	"2"	"5"	"12"	"19"	"519"
"219"	"149"	"61"	"168"	"14"	"47"	"3"	"2"	"0"	"4"	"4"	"2"	"6"	"4"	"24"	"339"
"220"	"150"	"108"	"149"	"6"	"13"	"0"	"1"	"2"	"3"	"2"	"4"	"4"	"5"	"16"	"313"
"221"	"151"	"105"	"213"	"13"	"58"	"2"	"6"	"2"	"3"	"39"	"3"	"7"	"13"	"26"	"490"
"222"	"152"	"188"	"69"	"10"	"178"	"3"	"3"	"1"	"5"	"10"	"5"	"2"	"11"	"22"	"507"
"223"	"153"	"152"	"187"	"14"	"83"	"3"	"8"	"2"	"4"	"4"	"2"	"5"	"5"	"9"	"478"
"224"	"154"	"165"	"201"	"11"	"18"	"0"	"1"	"0"	"0"	"1"	"0"	"10"	"1"	"18"	"426"
"225"	"155"	"182"	"213"	"14"	"86"	"4"	"0"	"2"	"3"	"26"	"3"	"10"	"8"	"7"	"558"
"226"	"156"	"65"	"171"	"15"	"92"	"8"	"3"	"1"	"0"	"4"	"2"	"9"	"9"	"6"	"385"
"227"	"157"	"2"	"64"	"7"	"13"	"1"	"1"	"1"	"1"	"37"	"1"	"8"	"10"	"11"	"157"
"228"	"158"	"149"	"156"	"12"	"45"	"5"	"4"	"5"	"1"	"22"	"1"	"6"	"8"	"18"	"432"
"229"	"159"	"53"	"62"	"2"	"51"	"1"	"0"	"1"	"0"	"2"	"2"	"2"	"6"	"18"	"200"
"230"	"160"	"75"	"86"	"7"	"237"	"1"	"0"	"0"	"1"	"3"	"4"	"4"	"5"	"8"	"431"
"231"	"161"	"186"	"65"	"6"	"9"	"0"	"42"	"1"	"3"	"1"	"3"	"3"	"3"	"10"	"332"
"232"	"162"	"86"	"112"	"16"	"90"	"4"	"6"	"1"	"1"	"4"	"5"	"11"	"5"	"15"	"356"
"233"	"163"	"184"	"156"	"14"	"19"	"3"	"59"	"5"	"1"	"5"	"3"	"6"	"8"	"22"	"485"
"234"	"164"	"79"	"304"	"20"	"6"	"3"	"1"	"1"	"3"	"0"	"2"	"2"	"6"	"6"	"433"
"235"	"165"	"115"	"110"	"6"	"147"	"3"	"0"	"0"	"0"	"0"	"2"	"1"	"2"	"1"	"387"
"236"	"166"	"191"	"116"	"7"	"47"	"1"	"1"	"0"	"1"	"16"	"1"	"3"	"8"	"8"	"400"
"237"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"238"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 236-Hisua CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"Assembly Constituency :236---Hisua_No of Voters :271062"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"Candidates Name -----
> BOOTH NO"	"No of val votes c e in favour <;"	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"243"	""	"ANIL MEHTA"	"ANIL SINGH"	"JAINANDAN PRASAD SINGH"	"NITU KUMARI"	"RAJEEV KUMAR"	"RAMSWA ROOP YADAV"	"DR. INDRAD EV YADAV"	"UMAKAN T RAHI"	"KAULES H KUMAR"	"DINESH RAJWAN SHI"	"MANZOOR ALAM"	"MD MQANZOO R ALM RAYEEN"	"RANJEET PATEL"	""
"244"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"33"
"245"	"166A"	"157"	"131"	"10"	"60"	"1"	"1"	"0"	"1"	"4"	"2"	"2"	"6"	"7"	"382"
"246"	"167"	"247"	"54"	"24"	"128"	"7"	"5"	"6"	"9"	"6"	"10"	"16"	"109"	"35"	"656"
"247"	"168"	"274"	"115"	"11"	"18"	"36"	"2"	"4"	"0"	"1"	"5"	"6"	"13"	"17"	"502"
"248"	"169"	"141"	"49"	"3"	"4"	"2"	"0"	"2"	"0"	"2"	"2"	"1"	"2"	"10"	"218"
"249"	"170"	"222"	"42"	"5"	"9"	"2"	"4"	"90"	"6"	"0"	"2"	"1"	"9"	"13"	"405"
"250"	"171"	"293"	"82"	"3"	"10"	"0"	"0"	"60"	"1"	"5"	"5"	"2"	"9"	"10"	"480"
"251"	"172"	"37"	"153"	"10"	"48"	"2"	"1"	"3"	"0"	"1"	"5"	"2"	"7"	"9"	"278"
"252"	"173"	"265"	"18"	"1"	"8"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"5"	"7"	"306"
"253"	"174"	"6"	"92"	"8"	"124"	"1"	"3"	"3"	"0"	"19"	"0"	"6"	"5"	"14"	"281"
"254"	"175"	"73"	"204"	"5"	"51"	"3"	"0"	"6"	"0"	"3"	"3"	"5"	"11"	"14"	"378"
"255"	"176"	"268"	"177"	"4"	"13"	"1"	"4"	"10"	"0"	"9"	"5"	"10"	"7"	"27"	"535"
"256"	"177"	"80"	"260"	"16"	"50"	"1"	"0"	"2"	"1"	"47"	"3"	"5"	"9"	"8"	"482"
"257"	"178"	"84"	"175"	"12"	"29"	"0"	"2"	"2"	"3"	"3"	"6"	"8"	"10"	"16"	"350"
"258"	"179"	"157"	"122"	"5"	"6"	"1"	"1"	"0"	"0"	"1"	"0"	"3"	"5"	"5"	"306"
"259"	"180"	"23"	"160"	"7"	"140"	"1"	"5"	"0"	"0"	"3"	"1"	"1"	"6"	"3"	"350"
"260"	"181"	"185"	"161"	"19"	"61"	"4"	"3"	"1"	"10"	"0"	"3"	"9"	"5"	"24"	"485"
"261"	"182"	"10"	"46"	"7"	"187"	"3"	"4"	"1"	"0"	"4"	"1"	"2"	"1"	"1"	"267"
"262"	"183"	"372"	"186"	"20"	"48"	"1"	"2"	"2"	"4"	"10"	"6"	"8"	"7"	"39"	"705"
"263"	"184"	"332"	"9"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"350"
"264"	"185"	"70"	"135"	"14"	"96"	"3"	"4"	"1"	"1"	"2"	"6"	"5"	"8"	"23"	"368"
"265"	"186"	"62"	"305"	"15"	"109"	"4"	"4"	"0"	"1"	"5"	"2"	"11"	"13"	"23"	"554"
"266"	"187"	"92"	"219"	"6"	"5"	"0"	"6"	"4"	"0"	"7"	"3"	"1"	"4"	"4"	"351"
"267"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"268"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"269"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 236-Hisua CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"270"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"271"	"Assembly Constituency :236---Hisua_No of Voters :271062"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"272"	"Candidates Name -----
> BOOTH NO"	"No of val votes c e in favour <;"	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"273"	""	"ANIL MEHTA"	"ANIL SINGH"	"JAINANDAN PRASAD SINGH"	"NITU KUMARI"	"RAJEEV KUMAR"	"RAMSWA ROOP YADAV"	"DR. INDRAD EV YADAV"	"UMAKAN T RAHI"	"KAULES H KUMAR"	"DINESH RAJWAN SHI"	"MANZOOR ALAM"	"MD MQANZOO R ALM RAYEEN"	"RANJEET PATEL"	""
"274"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"33"
"275"	"188"	"163"	"185"	"18"	"91"	"2"	"11"	"3"	"1"	"9"	"1"	"4"	"7"	"16"	"511"
"276"	"189"	"186"	"169"	"11"	"6"	"2"	"73"	"4"	"1"	"2"	"2"	"6"	"16"	"12"	"490"
"277"	"190"	"201"	"119"	"8"	"12"	"0"	"7"	"0"	"1"	"3"	"2"	"3"	"8"	"6"	"370"
"278"	"191"	"194"	"49"	"3"	"4"	"1"	"2"	"0"	"0"	"3"	"0"	"5"	"5"	"27"	"293"
"279"	"192"	"7"	"182"	"16"	"136"	"7"	"5"	"4"	"2"	"21"	"8"	"15"	"16"	"53"	"539"
"280"	"193"	"335"	"125"	"2"	"3"	"0"	"1"	"0"	"0"	"2"	"1"	"1"	"2"	"5"	"477"
"281"	"194"	"243"	"270"	"9"	"9"	"8"	"28"	"0"	"0"	"2"	"6"	"7"	"20"	"29"	"631"
"282"	"195"	"6"	"118"	"1"	"13"	"6"	"0"	"3"	"0"	"0"	"1"	"2"	"1"	"6"	"219"
"283"	"196"	"282"	"168"	"13"	"6"	"2"	"4"	"4"	"0"	"2"	"5"	"4"	"9"	"16"	"515"
"284"	"197"	"8"	"215"	"9"	"25"	"18"	"2"	"4"	"4"	"6"	"9"	"5"	"14"	"17"	"417"
"285"	"198"	"6"	"251"	"7"	"6"	"4"	"0"	"0"	"0"	"1"	"0"	"2"	"1"	"3"	"335"
"286"	"199"	"104"	"181"	"5"	"15"	"2"	"1"	"0"	"2"	"9"	"0"	"1"	"2"	"9"	"331"
"287"	"200"	"105"	"166"	"10"	"109"	"3"	"2"	"1"	"0"	"13"	"3"	"3"	"4"	"14"	"433"
"288"	"201"	"447"	"108"	"5"	"5"	"2"	"0"	"0"	"0"	"14"	"1"	"4"	"4"	"31"	"621"
"289"	"202"	"5"	"277"	"12"	"1"	"1"	"0"	"0"	"1"	"4"	"3"	"10"	"11"	"20"	"397"
"290"	"203"	"309"	"68"	"30"	"15"	"2"	"6"	"3"	"6"	"5"	"1"	"10"	"19"	"8"	"482"
"291"	"204"	"235"	"59"	"7"	"11"	"1"	"1"	"0"	"2"	"4"	"7"	"3"	"11"	"17"	"358"
"292"	"205"	"2"	"207"	"13"	"223"	"6"	"4"	"1"	"1"	"12"	"2"	"4"	"15"	"9"	"520"
"293"	"206"	"133"	"27"	"2"	"12"	"1"	"1"	"0"	"0"	"3"	"0"	"2"	"3"	"6"	"190"
"294"	"207"	"114"	"65"	"4"	"6"	"0"	"6"	"0"	"2"	"14"	"1"	"3"	"6"	"9"	"230"
"295"	"208"	"2"	"68"	"9"	"163"	"6"	"1"	"3"	"3"	"4"	"2"	"4"	"5"	"14"	"307"
"296"	"209"	"1"	"131"	"8"	"126"	"4"	"0"	"0"	"0"	"1"	"2"	"2"	"1"	"4"	"291"
"297"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"298"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 236-Hisua CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"300"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"Assembly Constituency :236---Hisua_No of Voters :271062"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	"Candidates Name -----
> BOOTH NO"	"No of val votes c e in favour <;"	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"303"	""	"ANIL MEHTA"	"ANIL SINGH"	"JAINANDAN PRASAD SINGH"	"NITU KUMARI"	"RAJEEV KUMAR"	"RAMSWA ROOP YADAV"	"DR. INDRAD EV YADAV"	"UMAKAN T RAHI"	"KAULES H KUMAR"	"DINESH RAJWAN SHI"	"MANZOOR ALAM"	"MD MQANZOO R ALM RAYEEN"	"RANJEET PATEL"	""
"304"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"33"
"305"	"210"	"5"	"518"	"7"	"6"	"0"	"3"	"1"	"0"	"14"	"0"	"1"	"3"	"3"	"561"
"306"	"211"	"158"	"105"	"12"	"38"	"2"	"1"	"3"	"2"	"17"	"2"	"11"	"11"	"13"	"375"
"307"	"212"	"27"	"152"	"7"	"98"	"6"	"1"	"3"	"2"	"21"	"3"	"8"	"6"	"11"	"345"
"308"	"213"	"47"	"172"	"13"	"121"	"1"	"2"	"1"	"3"	"4"	"4"	"2"	"3"	"2"	"375"
"309"	"214"	"27"	"154"	"24"	"203"	"5"	"2"	"4"	"2"	"4"	"4"	"6"	"3"	"6"	"444"
"310"	"215"	"28"	"77"	"9"	"38"	"1"	"1"	"0"	"2"	"2"	"4"	"2"	"17"	"10"	"191"
"311"	"216"	"30"	"129"	"10"	"69"	"0"	"3"	"1"	"0"	"15"	"1"	"10"	"4"	"12"	"284"
"312"	"217"	"69"	"113"	"8"	"203"	"10"	"6"	"1"	"2"	"10"	"12"	"4"	"10"	"16"	"464"
"313"	"218"	"286"	"35"	"3"	"1"	"1"	"10"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"340"
"314"	"219"	"176"	"124"	"12"	"64"	"2"	"2"	"1"	"3"	"3"	"2"	"8"	"6"	"13"	"416"
"315"	"220"	"113"	"142"	"6"	"3"	"2"	"1"	"1"	"1"	"3"	"4"	"15"	"8"	"14"	"313"
"316"	"221"	"169"	"295"	"20"	"42"	"4"	"6"	"1"	"3"	"10"	"5"	"18"	"16"	"32"	"621"
"317"	"222"	"23"	"25"	"1"	"175"	"1"	"0"	"0"	"0"	"3"	"0"	"1"	"0"	"0"	"229"
"318"	"223"	"216"	"110"	"7"	"95"	"1"	"1"	"3"	"0"	"7"	"6"	"8"	"8"	"26"	"488"
"319"	"224"	"210"	"68"	"11"	"69"	"4"	"12"	"2"	"1"	"3"	"3"	"0"	"4"	"11"	"398"
"320"	"225"	"231"	"56"	"4"	"40"	"2"	"0"	"0"	"3"	"4"	"3"	"2"	"4"	"8"	"357"
"321"	"226"	"65"	"12"	"3"	"107"	"1"	"2"	"0"	"2"	"0"	"6"	"1"	"6"	"18"	"223"
"322"	"227"	"57"	"4"	"9"	"115"	"4"	"2"	"2"	"0"	"2"	"1"	"2"	"7"	"10"	"215"
"323"	"228"	"240"	"87"	"9"	"33"	"2"	"36"	"4"	"0"	"3"	"5"	"4"	"6"	"23"	"452"
"324"	"229"	"219"	"148"	"11"	"17"	"1"	"4"	"0"	"2"	"14"	"1"	"3"	"7"	"19"	"446"
"325"	"230"	"160"	"191"	"6"	"18"	"0"	"19"	"2"	"0"	"3"	"4"	"17"	"12"	"45"	"477"
"326"	"231"	"125"	"189"	"16"	"28"	"0"	"3"	"0"	"2"	"15"	"2"	"14"	"11"	"10"	"415"
"327"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"328"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"329"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 236-Hisua CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"330"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"331"	"Assembly Constituency :236---Hisua_No of Voters :271062"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"332"	"Candidates Name -----
> BOOTH NO"	"No of val votes c e in favour <;"	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"333"	""	"ANIL MEHTA"	"ANIL SINGH"	"JAINANDAN PRASAD SINGH"	"NITU KUMARI"	"RAJEEV KUMAR"	"RAMSWA ROOP YADAV"	"DR. INDRAD EV YADAV"	"UMAKAN T RAHI"	"KAULES H KUMAR"	"DINESH RAJWAN SHI"	"MANZOOR ALAM"	"MD MQANZOO R ALM RAYEEN"	"RANJEET PATEL"	""
"334"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"33"
"335"	"232"	"21"	"203"	"13"	"155"	"3"	"3"	"0"	"1"	"24"	"4"	"2"	"6"	"2"	"437"
"336"	"233"	"95"	"190"	"13"	"10"	"2"	"7"	"0"	"0"	"5"	"3"	"5"	"5"	"23"	"358"
"337"	"234"	"6"	"57"	"7"	"6"	"0"	"0"	"0"	"0"	"1"	"2"	"2"	"2"	"6"	"89"
"338"	"235"	"57"	"119"	"6"	"28"	"2"	"22"	"0"	"1"	"5"	"3"	"4"	"7"	"16"	"270"
"339"	"236"	"208"	"98"	"5"	"3"	"2"	"3"	"0"	"6"	"96"	"5"	"9"	"10"	"22"	"467"
"340"	"237"	"428"	"102"	"3"	"1"	"0"	"0"	"0"	"0"	"3"	"1"	"2"	"2"	"18"	"560"
"341"	"238"	"538"	"117"	"1"	"4"	"1"	"3"	"0"	"1"	"2"	"0"	"1"	"5"	"14"	"687"
"342"	"239"	"163"	"138"	"20"	"66"	"9"	"7"	"6"	"12"	"94"	"9"	"15"	"23"	"15"	"577"
"343"	"240"	"131"	"155"	"3"	"1"	"1"	"1"	"0"	"0"	"6"	"1"	"1"	"7"	"6"	"313"
"344"	"241"	"176"	"23"	"1"	"17"	"13"	"11"	"0"	"2"	"52"	"8"	"3"	"5"	"11"	"322"
"345"	"242"	"137"	"275"	"8"	"7"	"3"	"2"	"0"	"5"	"36"	"2"	"8"	"14"	"22"	"519"
"346"	"243"	"38"	"21"	"1"	"13"	"0"	"5"	"2"	"7"	"612"	"5"	"2"	"9"	"7"	"722"
"347"	"244"	"96"	"98"	"11"	"9"	"10"	"30"	"7"	"4"	"263"	"5"	"9"	"27"	"32"	"601"
"348"	"245"	"146"	"205"	"19"	"65"	"3"	"2"	"2"	"3"	"49"	"1"	"6"	"10"	"11"	"522"
"349"	"246"	"153"	"23"	"4"	"116"	"2"	"1"	"0"	"1"	"0"	"4"	"2"	"2"	"9"	"317"
"350"	"247"	"42"	"73"	"9"	"12"	"1"	"13"	"0"	"0"	"17"	"1"	"2"	"4"	"12"	"186"
"351"	"248"	"148"	"17"	"4"	"89"	"3"	"2"	"1"	"3"	"8"	"3"	"2"	"8"	"13"	"301"
"352"	"249"	"24"	"73"	"2"	"4"	"6"	"0"	"1"	"1"	"85"	"3"	"1"	"9"	"13"	"222"
"353"	"250"	"203"	"251"	"12"	"5"	"2"	"4"	"2"	"3"	"7"	"3"	"11"	"12"	"38"	"553"
"354"	"251"	"104"	"104"	"3"	"8"	"4"	"0"	"4"	"4"	"65"	"0"	"6"	"9"	"14"	"325"
"355"	"252"	"67"	"167"	"18"	"180"	"1"	"0"	"2"	"1"	"9"	"3"	"7"	"12"	"15"	"482"
"356"	"253"	"57"	"205"	"7"	"83"	"4"	"3"	"3"	"2"	"6"	"7"	"9"	"17"	"15"	"418"
"357"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"358"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"359"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 236-Hisua CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"360"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"361"	"Assembly Constituency :236---Hisua_No of Voters :271062"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"362"	"Candidates Name -----
> BOOTH NO"	"No of val votes c e in favour <;"	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"363"	""	"ANIL MEHTA"	"ANIL SINGH"	"JAINANDAN PRASAD SINGH"	"NITU KUMARI"	"RAJEEV KUMAR"	"RAMSWA ROOP YADAV"	"DR. INDRAD EV YADAV"	"UMAKAN T RAHI"	"KAULES H KUMAR"	"DINESH RAJWAN SHI"	"MANZOOR ALAM"	"MD MQANZOO R ALM RAYEEN"	"RANJEET PATEL"	""
"364"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"33"
"365"	"254"	"4"	"108"	"32"	"75"	"4"	"2"	"1"	"1"	"2"	"0"	"4"	"3"	"8"	"284"
"366"	"255"	"183"	"14"	"2"	"17"	"0"	"9"	"0"	"0"	"1"	"0"	"1"	"4"	"5"	"236"
"367"	"256"	"354"	"10"	"2"	"35"	"0"	"22"	"1"	"1"	"2"	"2"	"0"	"4"	"8"	"441"
"368"	"257"	"8"	"126"	"14"	"28"	"2"	"3"	"1"	"0"	"2"	"1"	"2"	"1"	"6"	"270"
"369"	"258"	"6"	"114"	"7"	"54"	"1"	"3"	"3"	"6"	"10"	"1"	"7"	"13"	"25"	"310"
"370"	"259"	"8"	"128"	"8"	"25"	"6"	"0"	"1"	"2"	"1"	"1"	"2"	"6"	"9"	"272"
"371"	"260"	"241"	"72"	"5"	"6"	"0"	"3"	"0"	"3"	"1"	"0"	"1"	"5"	"24"	"361"
"372"	"260A"	"166"	"119"	"11"	"56"	"4"	"2"	"1"	"0"	"11"	"2"	"5"	"8"	"10"	"395"
"373"	"261"	"242"	"214"	"16"	"68"	"10"	"7"	"3"	"3"	"27"	"1"	"17"	"30"	"56"	"694"
"374"	"262"	"260"	"86"	"10"	"24"	"8"	"1"	"1"	"0"	"3"	"1"	"2"	"6"	"11"	"413"
"375"	"263"	"108"	"258"	"27"	"124"	"6"	"2"	"1"	"1"	"14"	"8"	"10"	"18"	"10"	"587"
"376"	"264"	"2"	"191"	"6"	"130"	"2"	"0"	"0"	"1"	"49"	"0"	"4"	"5"	"2"	"411"
"377"	"265"	"1"	"252"	"6"	"107"	"5"	"0"	"0"	"0"	"16"	"0"	"2"	"5"	"9"	"421"
"378"	"266"	"187"	"105"	"10"	"60"	"6"	"1"	"3"	"3"	"52"	"4"	"9"	"8"	"21"	"469"
"379"	"267"	"345"	"77"	"8"	"6"	"1"	"4"	"2"	"1"	"15"	"3"	"1"	"2"	"10"	"475"
"380"	"268"	"104"	"88"	"14"	"127"	"4"	"5"	"2"	"2"	"26"	"4"	"4"	"8"	"18"	"406"
"381"	"269"	"182"	"139"	"8"	"20"	"4"	"9"	"1"	"3"	"20"	"2"	"4"	"10"	"40"	"442"
"382"	"270"	"9"	"145"	"7"	"93"	"1"	"2"	"0"	"0"	"6"	"5"	"6"	"12"	"19"	"386"
"383"	"271"	"1"	"43"	"8"	"259"	"2"	"1"	"0"	"0"	"18"	"0"	"0"	"1"	"1"	"350"
"384"	"272"	"190"	"223"	"17"	"101"	"5"	"71"	"3"	"3"	"11"	"5"	"10"	"10"	"96"	"745"
"385"	"273"	"1"	"108"	"13"	"227"	"0"	"4"	"1"	"1"	"36"	"1"	"3"	"2"	"3"	"412"
"386"	"274"	"6"	"130"	"12"	"47"	"8"	"7"	"2"	"6"	"81"	"5"	"11"	"11"	"16"	"399"
"387"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"388"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"389"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 236-Hisua CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"390"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"391"	"Assembly Constituency :236---Hisua_No of Voters :271062"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"392"	"Candidates Name -----
> BOOTH NO"	"No of val votes c e in favour <;"	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"393"	""	"ANIL MEHTA"	"ANIL SINGH"	"JAINANDAN PRASAD SINGH"	"NITU KUMARI"	"RAJEEV KUMAR"	"RAMSWA ROOP YADAV"	"DR. INDRAD EV YADAV"	"UMAKAN T RAHI"	"KAULES H KUMAR"	"DINESH RAJWAN SHI"	"MANZOOR ALAM"	"MD MQANZOO R ALM RAYEEN"	"RANJEET PATEL"	""
"394"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"33"
"395"	"275"	"328"	"57"	"4"	"4"	"1"	"0"	"2"	"0"	"11"	"0"	"0"	"3"	"85"	"495"
"396"	"275A"	"227"	"146"	"6"	"11"	"1"	"11"	"1"	"1"	"10"	"4"	"1"	"5"	"47"	"471"
