"Candidates.Name"	"AJIT.CHAUD.HARY"	"ARVIND.SINGH"	"KEDAR.SINGH"	"DILMA.RNI.DEVI"	"BINODH.AR.OJHA"	"SATYEN.DRA.KUMAR"	"ANIL.KUM.AR.PRAS.AD"	"GOPA.L.YADA.V"	"DADAN.YADAV"	"PRAMOD.SINGH"	"MANOJ.KUMAR.SINGH"	"SHIV.NARAYAN.SINGH"	"SAYEEDU.L.AZAM"	"INDU.DEVI"	"KIRAN.MISHRA"	"KRISHN.A.MURARI.THAKU.R"	"DHARM.ENDRA.KUMAR.SINGH"	"PARASUR.AM.PRASAD.TATAWA"	"RAJU.MISHRA"	"SHAMB.HU.PRASAD.SHARM.A"	"SHIVNATH.RAM"	"SHIV.SHANKA.R.DAS"	"SARVESH.KUMAR.SINI"	"HAREN.DRA.PRASA.D.RAM"	"ASHOK.KUMAR.OJHA"	"Total"
"114"	"100"	"111"	"8"	"14"	"106"	"5"	"100"	"1"	"2"	"19"	"6"	"3"	"1"	"4"	"0"	"2"	"3"	"4"	"4"	"2"	"2"	"2"	"0"	"3"	"0"	"5"	"407"
"115"	"101"	"104"	"10"	"9"	"126"	"3"	"3"	"0"	"5"	"173"	"2"	"9"	"0"	"12"	"5"	"2"	"7"	"6"	"5"	"0"	"1"	"3"	"2"	"0"	"0"	"27"	"514"
"116"	"101A"	"107"	"24"	"7"	"70"	"1"	"1"	"3"	"4"	"97"	"5"	"11"	"4"	"3"	"9"	"3"	"7"	"5"	"4"	"1"	"0"	"1"	"1"	"1"	"3"	"38"	"410"
"117"	"102"	"240"	"12"	"13"	"224"	"3"	"7"	"2"	"2"	"51"	"3"	"8"	"2"	"6"	"1"	"4"	"3"	"39"	"11"	"14"	"7"	"17"	"10"	"3"	"6"	"87"	"775"
"118"	"103"	"156"	"14"	"10"	"241"	"6"	"9"	"0"	"3"	"12"	"0"	"26"	"0"	"1"	"2"	"4"	"6"	"2"	"3"	"0"	"0"	"0"	"0"	"1"	"2"	"78"	"576"
"119"	"104"	"66"	"20"	"18"	"255"	"8"	"84"	"4"	"1"	"88"	"9"	"18"	"3"	"7"	"2"	"1"	"6"	"8"	"5"	"1"	"1"	"1"	"3"	"2"	"7"	"72"	"690"
"120"	"105"	"332"	"11"	"14"	"61"	"1"	"3"	"3"	"2"	"81"	"3"	"2"	"0"	"2"	"1"	"1"	"6"	"4"	"3"	"0"	"0"	"3"	"1"	"1"	"0"	"12"	"547"
"121"	"106"	"60"	"4"	"10"	"281"	"5"	"13"	"3"	"0"	"6"	"2"	"3"	"1"	"2"	"2"	"2"	"2"	"2"	"0"	"3"	"2"	"1"	"0"	"0"	"1"	"10"	"415"
"122"	"107"	"20"	"1"	"3"	"348"	"3"	"28"	"1"	"1"	"7"	"0"	"2"	"2"	"4"	"0"	"1"	"19"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"443"
"123"	"108"	"23"	"3"	"2"	"477"	"1"	"18"	"0"	"0"	"7"	"0"	"1"	"1"	"0"	"0"	"0"	"9"	"0"	"0"	"2"	"2"	"4"	"3"	"1"	"2"	"9"	"565"
"124"	"109"	"74"	"65"	"9"	"210"	"6"	"13"	"1"	"0"	"2"	"1"	"1"	"2"	"7"	"0"	"2"	"11"	"9"	"1"	"5"	"3"	"1"	"2"	"0"	"2"	"8"	"435"
"125"	"110"	"22"	"5"	"14"	"217"	"3"	"17"	"4"	"2"	"2"	"1"	"2"	"1"	"1"	"12"	"0"	"2"	"3"	"1"	"3"	"3"	"2"	"2"	"1"	"0"	"3"	"323"
"126"	"111"	"124"	"3"	"9"	"131"	"8"	"1"	"0"	"2"	"8"	"3"	"10"	"21"	"2"	"2"	"4"	"11"	"19"	"3"	"2"	"4"	"6"	"0"	"0"	"3"	"95"	"471"
"127"	"112"	"52"	"4"	"16"	"303"	"7"	"102"	"3"	"0"	"18"	"0"	"0"	"0"	"2"	"4"	"0"	"0"	"8"	"0"	"1"	"3"	"4"	"0"	"0"	"0"	"1"	"528"
"128"	"Candidates Name"	"AJIT CHAUD HARY"	"ARVIND SINGH"	"KEDAR SINGH"	"DILMA RNI DEVI"	"BINODH AR OJHA"	"SATYEN DRA KUMAR"	"ANIL KUM AR PRAS AD"	"GOPA L YADA V"	"DADAN YADAV"	"PRAMOD SINGH"	"MANOJ KUMAR SINGH"	"SHIV NARAYAN SINGH"	"SAYEEDU L AZAM"	"INDU DEVI"	"KIRAN MISHRA"	"KRISHN A MURARI THAKU R"	"DHARM ENDRA KUMAR SINGH"	"PARASUR AM PRASAD TATAWA"	"RAJU MISHRA"	"SHAMB HU PRASAD SHARM A"	"SHIVNATH RAM"	"SHIV SHANKA R DAS"	"SARVESH KUMAR SINI"	"HAREN DRA PRASA D RAM"	"ASHOK KUMAR OJHA"	"Total"
"129"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"27"	""
"131"	"113"	"95"	"46"	"15"	"224"	"2"	"21"	"0"	"1"	"5"	"2"	"0"	"0"	"4"	"0"	"2"	"3"	"7"	"2"	"1"	"1"	"2"	"1"	"0"	"0"	"3"	"437"
"132"	"114"	"156"	"9"	"7"	"214"	"3"	"12"	"0"	"1"	"10"	"1"	"0"	"0"	"1"	"3"	"1"	"3"	"5"	"0"	"1"	"0"	"2"	"1"	"1"	"1"	"10"	"442"
"133"	"115"	"190"	"39"	"13"	"189"	"7"	"7"	"1"	"3"	"17"	"22"	"17"	"13"	"19"	"6"	"6"	"14"	"12"	"4"	"3"	"3"	"9"	"5"	"2"	"6"	"16"	"623"
"134"	"116"	"28"	"15"	"3"	"143"	"2"	"5"	"0"	"0"	"2"	"4"	"0"	"0"	"1"	"0"	"0"	"2"	"1"	"1"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"210"
"135"	"117"	"58"	"12"	"11"	"403"	"11"	"7"	"2"	"5"	"1"	"3"	"13"	"33"	"7"	"3"	"3"	"10"	"7"	"4"	"4"	"4"	"6"	"8"	"2"	"1"	"16"	"634"
"136"	"118"	"160"	"87"	"11"	"138"	"4"	"14"	"6"	"5"	"112"	"26"	"137"	"2"	"1"	"30"	"2"	"11"	"8"	"8"	"2"	"5"	"4"	"1"	"2"	"1"	"11"	"788"
"137"	"119"	"60"	"8"	"15"	"47"	"0"	"18"	"1"	"1"	"159"	"0"	"1"	"1"	"3"	"1"	"0"	"1"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"321"
"138"	"120"	"72"	"58"	"44"	"88"	"5"	"9"	"1"	"6"	"150"	"2"	"1"	"2"	"2"	"5"	"0"	"1"	"2"	"3"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"454"
"139"	"121"	"54"	"31"	"15"	"44"	"1"	"1"	"0"	"4"	"127"	"3"	"0"	"0"	"1"	"0"	"2"	"0"	"3"	"9"	"0"	"1"	"6"	"2"	"1"	"0"	"2"	"307"
"140"	"121A"	"67"	"3"	"12"	"22"	"1"	"2"	"1"	"4"	"126"	"2"	"2"	"1"	"2"	"1"	"1"	"0"	"8"	"11"	"0"	"0"	"3"	"1"	"0"	"0"	"3"	"273"
"141"	"122"	"297"	"36"	"26"	"22"	"5"	"10"	"5"	"6"	"138"	"6"	"7"	"3"	"5"	"5"	"8"	"9"	"14"	"10"	"5"	"4"	"5"	"1"	"0"	"2"	"5"	"634"
"142"	"123"	"99"	"1"	"14"	"58"	"3"	"0"	"0"	"2"	"377"	"4"	"6"	"1"	"2"	"0"	"0"	"4"	"1"	"5"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"580"
"143"	"124"	"33"	"21"	"9"	"44"	"0"	"1"	"0"	"3"	"127"	"6"	"1"	"0"	"1"	"0"	"0"	"1"	"6"	"2"	"1"	"0"	"3"	"1"	"2"	"0"	"14"	"276"
"144"	"125"	"54"	"13"	"15"	"45"	"3"	"1"	"1"	"13"	"199"	"2"	"0"	"0"	"4"	"2"	"3"	"3"	"8"	"15"	"4"	"4"	"2"	"4"	"2"	"4"	"15"	"416"
"145"	"126"	"38"	"24"	"8"	"52"	"2"	"4"	"3"	"19"	"449"	"8"	"2"	"0"	"4"	"4"	"0"	"10"	"5"	"4"	"2"	"1"	"0"	"0"	"0"	"5"	"11"	"655"
"146"	"127"	"149"	"5"	"12"	"64"	"2"	"3"	"2"	"8"	"247"	"2"	"1"	"2"	"2"	"3"	"0"	"4"	"5"	"16"	"3"	"0"	"4"	"1"	"1"	"3"	"1"	"540"
"147"	"128"	"130"	"27"	"17"	"21"	"2"	"4"	"7"	"8"	"157"	"6"	"20"	"5"	"7"	"4"	"6"	"26"	"8"	"6"	"2"	"2"	"6"	"0"	"0"	"5"	"17"	"493"
"148"	"129"	"208"	"13"	"16"	"19"	"2"	"2"	"1"	"4"	"218"	"3"	"1"	"0"	"2"	"0"	"4"	"3"	"1"	"6"	"2"	"2"	"2"	"0"	"1"	"0"	"2"	"512"
"149"	"130"	"61"	"54"	"14"	"314"	"4"	"26"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"4"	"0"	"0"	"1"	"6"	"3"	"2"	"2"	"3"	"502"
"150"	"131"	"190"	"42"	"13"	"261"	"4"	"4"	"1"	"1"	"6"	"1"	"7"	"1"	"0"	"0"	"2"	"0"	"3"	"1"	"1"	"5"	"1"	"1"	"2"	"1"	"4"	"552"
"151"	"132"	"81"	"33"	"6"	"146"	"3"	"1"	"1"	"0"	"1"	"2"	"3"	"1"	"1"	"1"	"1"	"1"	"4"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"2"	"292"
"152"	"133"	"66"	"88"	"6"	"270"	"3"	"18"	"0"	"1"	"2"	"5"	"3"	"1"	"6"	"0"	"5"	"6"	"8"	"5"	"1"	"5"	"2"	"3"	"0"	"1"	"5"	"510"
"153"	"134"	"95"	"9"	"5"	"178"	"3"	"2"	"1"	"0"	"5"	"0"	"1"	"0"	"4"	"1"	"0"	"2"	"8"	"4"	"3"	"4"	"5"	"3"	"1"	"0"	"2"	"336"
"154"	"135"	"4"	"48"	"4"	"198"	"3"	"7"	"2"	"2"	"2"	"0"	"12"	"4"	"5"	"2"	"4"	"4"	"4"	"1"	"0"	"2"	"2"	"1"	"1"	"2"	"63"	"377"
"155"	"136"	"38"	"66"	"18"	"349"	"7"	"8"	"2"	"5"	"64"	"2"	"4"	"2"	"7"	"5"	"1"	"21"	"4"	"4"	"2"	"0"	"3"	"1"	"1"	"2"	"7"	"623"
"156"	"137"	"170"	"81"	"37"	"313"	"8"	"13"	"2"	"1"	"14"	"0"	"4"	"1"	"10"	"0"	"3"	"4"	"31"	"15"	"14"	"13"	"11"	"6"	"3"	"7"	"29"	"790"
"157"	"138"	"181"	"39"	"14"	"181"	"2"	"2"	"1"	"2"	"23"	"4"	"12"	"3"	"1"	"1"	"4"	"4"	"8"	"3"	"1"	"9"	"3"	"1"	"1"	"2"	"4"	"506"
"158"	"138A"	"85"	"26"	"19"	"166"	"8"	"10"	"4"	"1"	"6"	"2"	"9"	"3"	"11"	"10"	"3"	"4"	"6"	"3"	"1"	"1"	"3"	"2"	"1"	"1"	"16"	"401"
"159"	"139"	"106"	"6"	"50"	"198"	"1"	"10"	"0"	"3"	"37"	"3"	"0"	"2"	"4"	"2"	"0"	"10"	"1"	"3"	"1"	"0"	"0"	"3"	"0"	"2"	"4"	"446"
"160"	"140"	"16"	"91"	"12"	"157"	"5"	"1"	"0"	"0"	"10"	"2"	"4"	"0"	"0"	"2"	"0"	"1"	"2"	"3"	"1"	"0"	"2"	"4"	"0"	"2"	"11"	"326"
"161"	"141"	"110"	"8"	"20"	"77"	"7"	"11"	"10"	"22"	"316"	"15"	"2"	"7"	"5"	"2"	"8"	"32"	"16"	"8"	"2"	"1"	"2"	"1"	"2"	"3"	"19"	"706"
"162"	"142"	"309"	"11"	"5"	"67"	"2"	"6"	"2"	"9"	"312"	"4"	"0"	"0"	"1"	"0"	"0"	"2"	"13"	"8"	"3"	"1"	"4"	"2"	"0"	"5"	"4"	"770"
"163"	"143"	"77"	"17"	"86"	"142"	"7"	"32"	"2"	"5"	"43"	"2"	"2"	"2"	"5"	"5"	"3"	"7"	"11"	"3"	"2"	"2"	"3"	"2"	"1"	"0"	"1"	"462"
"164"	"144"	"8"	"23"	"15"	"264"	"4"	"59"	"1"	"2"	"45"	"0"	"2"	"2"	"11"	"1"	"4"	"24"	"2"	"5"	"2"	"4"	"1"	"2"	"0"	"1"	"3"	"485"
"165"	"145"	"6"	"24"	"17"	"265"	"7"	"82"	"3"	"5"	"110"	"0"	"3"	"1"	"3"	"6"	"1"	"11"	"1"	"5"	"1"	"1"	"2"	"1"	"0"	"1"	"10"	"566"
"166"	"146"	"19"	"27"	"12"	"307"	"9"	"17"	"1"	"4"	"16"	"1"	"4"	"1"	"3"	"3"	"0"	"1"	"4"	"1"	"0"	"3"	"3"	"1"	"3"	"0"	"1"	"441"
"167"	"147"	"25"	"26"	"16"	"264"	"2"	"19"	"1"	"1"	"25"	"2"	"2"	"1"	"3"	"6"	"0"	"1"	"2"	"3"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"405"
"168"	"147A"	"1"	"1"	"0"	"228"	"2"	"8"	"1"	"0"	"6"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"4"	"0"	"1"	"0"	"0"	"0"	"255"
"169"	"148"	"27"	"4"	"9"	"247"	"3"	"4"	"3"	"3"	"63"	"1"	"3"	"7"	"15"	"7"	"2"	"19"	"0"	"1"	"0"	"3"	"2"	"1"	"2"	"0"	"6"	"432"
"170"	"149"	"24"	"13"	"11"	"347"	"11"	"13"	"3"	"7"	"32"	"4"	"5"	"7"	"14"	"34"	"6"	"30"	"1"	"2"	"1"	"3"	"3"	"5"	"3"	"0"	"5"	"584"
"171"	"150"	"173"	"125"	"31"	"92"	"6"	"12"	"17"	"2"	"30"	"5"	"10"	"1"	"7"	"86"	"8"	"6"	"26"	"12"	"3"	"2"	"13"	"2"	"2"	"4"	"12"	"687"
"172"	"151"	"67"	"49"	"10"	"240"	"2"	"8"	"2"	"3"	"88"	"0"	"3"	"0"	"8"	"1"	"2"	"3"	"3"	"6"	"3"	"5"	"1"	"1"	"2"	"3"	"3"	"513"
"173"	"152"	"65"	"108"	"20"	"121"	"6"	"12"	"5"	"10"	"164"	"10"	"2"	"4"	"8"	"3"	"5"	"15"	"3"	"6"	"2"	"3"	"1"	"0"	"1"	"0"	"2"	"576"
"174"	"153"	"24"	"87"	"20"	"152"	"6"	"6"	"2"	"20"	"150"	"7"	"1"	"1"	"4"	"4"	"0"	"9"	"3"	"12"	"10"	"13"	"3"	"3"	"3"	"9"	"16"	"565"
"175"	"154"	"128"	"152"	"14"	"81"	"4"	"1"	"0"	"0"	"31"	"2"	"1"	"4"	"8"	"1"	"4"	"25"	"12"	"11"	"3"	"4"	"6"	"4"	"1"	"2"	"6"	"505"
"176"	"155"	"28"	"130"	"12"	"51"	"3"	"4"	"2"	"0"	"73"	"0"	"3"	"0"	"0"	"2"	"2"	"3"	"5"	"6"	"1"	"1"	"2"	"0"	"0"	"1"	"5"	"334"
"177"	"156"	"48"	"56"	"9"	"103"	"2"	"14"	"3"	"13"	"182"	"1"	"2"	"0"	"7"	"2"	"2"	"7"	"6"	"11"	"3"	"4"	"1"	"1"	"0"	"2"	"8"	"487"
"178"	"Candidates Name"	"AJIT CHAUD HARY"	"ARVIND SINGH"	"KEDAR SINGH"	"DILMA RNI DEVI"	"BINODH AR OJHA"	"SATYEN DRA KUMAR"	"ANIL KUM AR PRAS AD"	"GOPA L YADA V"	"DADAN YADAV"	"PRAMOD SINGH"	"MANOJ KUMAR SINGH"	"SHIV NARAYAN SINGH"	"SAYEEDU L AZAM"	"INDU DEVI"	"KIRAN MISHRA"	"KRISHN A MURARI THAKU R"	"DHARM ENDRA KUMAR SINGH"	"PARASUR AM PRASAD TATAWA"	"RAJU MISHRA"	"SHAMB HU PRASAD SHARM A"	"SHIVNATH RAM"	"SHIV SHANKA R DAS"	"SARVESH KUMAR SINI"	"HAREN DRA PRASA D RAM"	"ASHOK KUMAR OJHA"	"Total"
"179"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"27"	""
"181"	"157"	"7"	"34"	"10"	"154"	"0"	"7"	"1"	"1"	"53"	"1"	"0"	"2"	"0"	"0"	"1"	"5"	"0"	"1"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"282"
"182"	"158"	"43"	"18"	"4"	"231"	"5"	"23"	"1"	"0"	"3"	"0"	"1"	"0"	"2"	"1"	"1"	"1"	"8"	"2"	"1"	"22"	"5"	"5"	"1"	"0"	"4"	"382"
"183"	"158A"	"20"	"9"	"1"	"163"	"4"	"20"	"1"	"0"	"0"	"1"	"5"	"0"	"2"	"1"	"0"	"5"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"1"	"40"	"276"
"184"	"159"	"27"	"95"	"9"	"308"	"3"	"10"	"2"	"1"	"6"	"0"	"3"	"1"	"1"	"2"	"0"	"3"	"4"	"2"	"2"	"3"	"2"	"4"	"0"	"1"	"6"	"495"
"185"	"160"	"10"	"9"	"2"	"180"	"2"	"24"	"1"	"0"	"47"	"2"	"0"	"0"	"6"	"11"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"2"	"7"	"310"
"186"	"161"	"33"	"60"	"11"	"89"	"1"	"10"	"2"	"12"	"146"	"1"	"2"	"3"	"4"	"9"	"2"	"9"	"16"	"16"	"7"	"1"	"7"	"2"	"1"	"3"	"17"	"464"
"187"	"162"	"97"	"167"	"16"	"170"	"3"	"11"	"1"	"3"	"57"	"3"	"3"	"1"	"3"	"1"	"3"	"7"	"9"	"12"	"4"	"10"	"4"	"2"	"1"	"2"	"21"	"611"
"188"	"163"	"190"	"42"	"7"	"83"	"2"	"2"	"0"	"0"	"27"	"1"	"2"	"1"	"2"	"1"	"0"	"3"	"5"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"370"
"189"	"164"	"118"	"137"	"18"	"98"	"3"	"7"	"3"	"5"	"46"	"50"	"12"	"3"	"8"	"4"	"8"	"26"	"12"	"7"	"3"	"7"	"3"	"1"	"3"	"2"	"32"	"616"
"190"	"165"	"119"	"79"	"15"	"148"	"1"	"4"	"2"	"7"	"23"	"9"	"2"	"0"	"7"	"4"	"1"	"9"	"27"	"17"	"9"	"14"	"10"	"6"	"6"	"5"	"31"	"555"
"191"	"166"	"63"	"86"	"16"	"261"	"6"	"9"	"3"	"4"	"22"	"2"	"14"	"1"	"6"	"0"	"0"	"3"	"2"	"1"	"0"	"4"	"1"	"2"	"2"	"7"	"20"	"535"
"192"	"167"	"81"	"44"	"27"	"136"	"4"	"5"	"0"	"0"	"59"	"3"	"3"	"0"	"2"	"1"	"0"	"3"	"5"	"10"	"2"	"6"	"0"	"0"	"0"	"2"	"17"	"410"
"193"	"167A"	"58"	"16"	"12"	"152"	"3"	"3"	"1"	"3"	"78"	"1"	"0"	"2"	"2"	"1"	"3"	"3"	"9"	"2"	"2"	"1"	"5"	"2"	"1"	"1"	"8"	"369"
"194"	"168"	"83"	"18"	"8"	"190"	"4"	"24"	"4"	"4"	"18"	"0"	"10"	"2"	"13"	"37"	"6"	"19"	"13"	"5"	"3"	"1"	"0"	"1"	"3"	"1"	"34"	"501"
"195"	"169"	"69"	"105"	"28"	"196"	"11"	"1"	"4"	"5"	"20"	"6"	"14"	"4"	"7"	"7"	"9"	"12"	"16"	"15"	"6"	"6"	"6"	"8"	"8"	"7"	"13"	"583"
"196"	"170"	"24"	"78"	"12"	"249"	"7"	"7"	"4"	"2"	"46"	"4"	"4"	"2"	"4"	"2"	"3"	"10"	"7"	"6"	"2"	"7"	"1"	"0"	"0"	"5"	"11"	"497"
"197"	"171"	"151"	"56"	"14"	"129"	"1"	"13"	"0"	"5"	"89"	"2"	"5"	"2"	"4"	"3"	"5"	"9"	"13"	"5"	"3"	"4"	"8"	"0"	"0"	"5"	"51"	"577"
"198"	"172"	"41"	"66"	"14"	"271"	"2"	"4"	"1"	"4"	"52"	"3"	"5"	"2"	"2"	"2"	"1"	"3"	"1"	"1"	"0"	"3"	"0"	"0"	"1"	"0"	"4"	"483"
"199"	"173"	"7"	"16"	"24"	"239"	"8"	"6"	"1"	"2"	"55"	"4"	"3"	"2"	"4"	"1"	"0"	"3"	"4"	"5"	"0"	"3"	"1"	"3"	"1"	"0"	"3"	"395"
"200"	"173A"	"10"	"93"	"18"	"115"	"1"	"6"	"1"	"1"	"113"	"1"	"3"	"0"	"0"	"0"	"1"	"1"	"3"	"5"	"0"	"0"	"1"	"1"	"1"	"0"	"29"	"404"
"201"	"174"	"152"	"37"	"7"	"134"	"1"	"13"	"0"	"0"	"8"	"0"	"0"	"0"	"1"	"3"	"0"	"3"	"191"	"5"	"2"	"1"	"7"	"7"	"0"	"7"	"7"	"586"
"202"	"175"	"208"	"1"	"11"	"210"	"0"	"5"	"3"	"2"	"14"	"1"	"2"	"0"	"3"	"0"	"4"	"1"	"35"	"5"	"0"	"2"	"5"	"0"	"4"	"3"	"9"	"528"
"203"	"176"	"6"	"591"	"1"	"3"	"1"	"4"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"611"
"204"	"177"	"37"	"251"	"11"	"119"	"1"	"6"	"4"	"3"	"34"	"1"	"1"	"2"	"1"	"17"	"13"	"6"	"9"	"6"	"4"	"0"	"1"	"2"	"1"	"4"	"10"	"544"
"205"	"178"	"32"	"358"	"4"	"19"	"0"	"1"	"1"	"1"	"50"	"2"	"0"	"0"	"1"	"3"	"2"	"1"	"0"	"5"	"0"	"1"	"0"	"1"	"0"	"0"	"2"	"484"
"206"	"179"	"118"	"29"	"6"	"136"	"4"	"9"	"4"	"3"	"75"	"1"	"13"	"6"	"6"	"22"	"3"	"21"	"7"	"0"	"1"	"1"	"6"	"2"	"0"	"7"	"49"	"529"
"207"	"180"	"114"	"7"	"5"	"30"	"1"	"1"	"0"	"0"	"39"	"0"	"3"	"0"	"4"	"1"	"3"	"9"	"5"	"5"	"0"	"1"	"0"	"0"	"0"	"1"	"23"	"252"
"208"	"181"	"43"	"43"	"5"	"177"	"12"	"8"	"4"	"1"	"13"	"0"	"1"	"1"	"4"	"46"	"3"	"6"	"20"	"7"	"1"	"7"	"4"	"2"	"2"	"3"	"25"	"438"
"209"	"182"	"25"	"95"	"6"	"161"	"1"	"16"	"5"	"3"	"20"	"1"	"2"	"0"	"2"	"26"	"1"	"4"	"2"	"5"	"1"	"0"	"1"	"4"	"2"	"0"	"5"	"388"
"210"	"182A"	"86"	"24"	"9"	"195"	"7"	"12"	"2"	"4"	"56"	"0"	"1"	"0"	"3"	"4"	"3"	"3"	"4"	"4"	"0"	"1"	"0"	"1"	"0"	"2"	"6"	"427"
"211"	"183"	"131"	"183"	"10"	"219"	"3"	"2"	"1"	"3"	"64"	"2"	"1"	"2"	"3"	"6"	"4"	"7"	"3"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"648"
"212"	"184"	"117"	"114"	"16"	"159"	"2"	"15"	"3"	"10"	"109"	"1"	"5"	"4"	"2"	"3"	"3"	"16"	"11"	"4"	"3"	"1"	"2"	"2"	"1"	"3"	"6"	"612"
"213"	"185"	"41"	"38"	"8"	"184"	"3"	"13"	"1"	"7"	"39"	"3"	"3"	"1"	"4"	"3"	"2"	"9"	"10"	"2"	"1"	"1"	"1"	"2"	"0"	"0"	"7"	"383"
"214"	"186"	"81"	"299"	"8"	"150"	"5"	"21"	"3"	"0"	"2"	"1"	"1"	"0"	"6"	"2"	"2"	"3"	"7"	"2"	"4"	"0"	"0"	"0"	"0"	"1"	"2"	"600"
"215"	"187"	"53"	"54"	"10"	"249"	"23"	"22"	"3"	"1"	"14"	"3"	"1"	"1"	"1"	"1"	"3"	"1"	"4"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"449"
"216"	"188"	"143"	"20"	"24"	"99"	"5"	"5"	"2"	"4"	"118"	"6"	"3"	"0"	"10"	"3"	"0"	"15"	"7"	"15"	"4"	"2"	"6"	"0"	"5"	"7"	"8"	"511"
"217"	"189"	"62"	"188"	"17"	"81"	"1"	"1"	"1"	"3"	"11"	"1"	"1"	"1"	"2"	"2"	"3"	"3"	"7"	"5"	"5"	"1"	"6"	"1"	"1"	"0"	"2"	"406"
"218"	"190"	"296"	"43"	"21"	"253"	"7"	"11"	"3"	"0"	"57"	"6"	"6"	"2"	"6"	"3"	"2"	"7"	"21"	"6"	"3"	"6"	"2"	"2"	"0"	"0"	"9"	"772"
"219"	"191"	"176"	"107"	"15"	"261"	"5"	"3"	"5"	"3"	"27"	"5"	"6"	"0"	"1"	"2"	"2"	"3"	"13"	"7"	"0"	"2"	"3"	"2"	"1"	"0"	"2"	"651"
"220"	"192"	"166"	"45"	"18"	"160"	"2"	"6"	"0"	"15"	"97"	"3"	"5"	"5"	"8"	"9"	"5"	"13"	"3"	"4"	"2"	"1"	"7"	"1"	"1"	"3"	"9"	"588"
"221"	"193"	"45"	"14"	"12"	"328"	"9"	"15"	"4"	"3"	"25"	"2"	"6"	"0"	"3"	"7"	"2"	"3"	"5"	"1"	"1"	"5"	"0"	"1"	"1"	"1"	"5"	"498"
"222"	"194"	"62"	"48"	"3"	"128"	"1"	"2"	"1"	"1"	"9"	"1"	"1"	"0"	"4"	"3"	"1"	"13"	"4"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"7"	"292"
"223"	"195"	"178"	"13"	"13"	"241"	"11"	"18"	"6"	"1"	"5"	"4"	"7"	"0"	"9"	"17"	"3"	"15"	"7"	"1"	"1"	"2"	"6"	"1"	"2"	"1"	"2"	"564"
"224"	"196"	"72"	"8"	"10"	"373"	"6"	"15"	"3"	"1"	"9"	"4"	"1"	"0"	"2"	"57"	"4"	"10"	"5"	"2"	"4"	"4"	"1"	"3"	"1"	"0"	"5"	"600"
"225"	"197"	"51"	"21"	"4"	"399"	"3"	"6"	"0"	"3"	"37"	"3"	"0"	"1"	"3"	"2"	"1"	"5"	"2"	"2"	"2"	"3"	"2"	"1"	"2"	"0"	"1"	"554"
"226"	"198"	"42"	"15"	"1"	"280"	"2"	"1"	"0"	"0"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"3"	"0"	"0"	"9"	"0"	"0"	"0"	"0"	"4"	"362"
"227"	"199"	"135"	"40"	"13"	"259"	"11"	"14"	"3"	"4"	"83"	"1"	"1"	"0"	"4"	"5"	"1"	"2"	"5"	"3"	"2"	"8"	"1"	"1"	"1"	"3"	"1"	"601"
