"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Parliamentary and Assembly elections)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…78 - Kusheshwar Asthan (SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total No. of electors in Assembly constituency / Segment .. 198420"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"159"	"140"	"133"	"76"	"99"	"5"	"18"	"2"	""	"1"	"3"	"3"	"1"	"3"	"6"	"21"	""	"238"	"-"	"238"	""	""
"160"	"141"	"134"	"102"	"194"	"12"	"85"	"36"	""	"5"	"1"	"3"	"3"	"3"	"8"	"24"	""	"476"	"-"	"476"	""	""
"161"	"142"	"135"	"113"	"131"	"7"	"84"	"40"	""	"5"	"3"	"2"	"5"	"2"	"16"	"31"	""	"439"	"-"	"439"	""	""
"162"	"143"	"136"	"41"	"3"	"1"	"38"	"48"	""	"12"	"2"	"7"	"5"	"188"	"15"	"37"	""	"397"	"-"	"397"	""	""
"163"	"144"	"137"	"50"	"10"	"1"	"43"	"36"	""	"7"	"1"	"2"	"4"	"100"	"18"	"130"	""	"402"	"-"	"402"	""	""
"164"	"145"	"138"	"253"	"39"	"4"	"48"	"27"	""	"5"	"2"	"2"	"1"	"37"	"1"	"22"	""	"441"	"-"	"441"	""	""
"165"	"146"	"139"	"84"	"81"	"7"	"135"	"8"	""	"3"	"4"	"3"	"5"	"8"	"17"	"24"	""	"379"	"-"	"379"	""	""
"166"	"147"	"140"	"113"	"46"	"4"	"322"	"16"	""	"5"	"3"	"10"	"16"	"7"	"19"	"49"	""	"610"	"-"	"610"	""	""
"167"	"148"	"141"	"70"	"7"	"2"	"116"	"29"	""	"6"	"1"	"5"	"3"	"39"	"4"	"8"	""	"290"	"-"	"290"	""	""
"168"	"149"	"142"	"77"	"147"	"12"	"113"	"36"	""	"6"	"5"	"3"	"5"	"6"	"8"	"245"	""	"663"	"-"	"663"	""	""
"169"	"150"	"143"	"33"	"62"	"5"	"215"	"13"	""	"0"	"4"	"0"	"4"	"4"	"1"	"63"	""	"404"	"-"	"404"	""	""
"170"	"151"	"144"	"54"	"86"	"1"	"146"	"6"	""	"0"	"1"	"1"	"1"	"5"	"2"	"82"	""	"385"	"-"	"385"	""	""
"171"	"152"	"145"	"52"	"189"	"2"	"129"	"20"	""	"5"	"2"	"5"	"4"	"3"	"11"	"218"	""	"640"	"-"	"640"	""	""
"172"	"153"	"146"	"91"	"239"	"11"	"164"	"24"	""	"1"	"7"	"4"	"5"	"9"	"9"	"133"	""	"697"	"-"	"697"	""	""
"173"	"154"	"147"	"61"	"123"	"13"	"150"	"11"	""	"11"	"6"	"18"	"10"	"39"	"20"	"86"	""	"548"	"-"	"548"	""	""
"174"	"155"	"148"	"20"	"20"	"7"	"312"	"17"	""	"4"	"2"	"2"	"7"	"8"	"20"	"41"	""	"460"	"-"	"460"	""	""
"175"	"156"	"149"	"23"	"46"	"9"	"247"	"13"	""	"3"	"5"	"3"	"4"	"2"	"10"	"9"	""	"374"	"-"	"374"	""	""
"176"	"157"	"150"	"10"	"78"	"5"	"219"	"19"	""	"5"	"3"	"6"	"9"	"2"	"16"	"15"	""	"387"	"-"	"387"	""	""
"177"	"158"	"151"	"36"	"41"	"8"	"156"	"12"	""	"1"	"3"	"7"	"5"	"2"	"28"	"16"	""	"315"	"-"	"315"	""	""
"178"	"159"	"151A"	"64"	"17"	"16"	"225"	"12"	""	"6"	"6"	"7"	"7"	"5"	"21"	"12"	""	"398"	"-"	"398"	""	""
"179"	"160"	"152"	"152"	"14"	"9"	"275"	"21"	""	"16"	"12"	"8"	"8"	"13"	"59"	"26"	""	"613"	"-"	"613"	""	""
"180"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"181"	""	""	"Dr. Ashok Kumar"	"Ram Chandra Paswan"	"Ram Sudhari
Sada"	"Shashi Bhushan
Hajari"	"Sangeeta Bharti"	""	"Amr endra Kumar Sada"	"Ganesh Kumar"	"Mahendra Kumar Paswan"	"Lal Bahadur
Sada"	"Krishna Kant Ram"	"Ram Bahadur Bharti"	"Ramottar Paswan"	""	""	""	""	""	""
"182"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	"15"	"16"	"17"	"18"	""
"183"	"161"	"153"	"55"	"24"	"7"	"428"	"24"	""	"10"	"4"	"9"	"10"	"6"	"22"	"22"	""	"621"	"-"	"621"	""	""
"184"	"162"	"154"	"52"	"42"	"5"	"57"	"8"	""	"0"	"2"	"1"	"0"	"2"	"1"	"5"	""	"175"	"-"	"175"	""	""
"185"	"163"	"155"	"19"	"131"	"8"	"115"	"6"	""	"5"	"7"	"7"	"10"	"6"	"20"	"37"	""	"371"	"-"	"371"	""	""
"186"	"164"	"155A"	"50"	"26"	"6"	"143"	"9"	""	"8"	"6"	"6"	"8"	"9"	"13"	"31"	""	"315"	"-"	"315"	""	""
"187"	"165"	"156"	"34"	"182"	"46"	"128"	"12"	""	"6"	"1"	"9"	"5"	"13"	"28"	"69"	""	"533"	"-"	"533"	""	""
"188"	"166"	"157"	"38"	"33"	"7"	"321"	"5"	""	"3"	"4"	"3"	"2"	"9"	"8"	"5"	""	"438"	"-"	"438"	""	""
"189"	"167"	"157A"	"36"	"69"	"11"	"118"	"5"	""	"4"	"1"	"7"	"15"	"50"	"16"	"27"	""	"359"	"-"	"359"	""	""
"190"	"168"	"158"	"320"	"123"	"16"	"219"	"12"	""	"6"	"4"	"6"	"11"	"7"	"25"	"59"	""	"808"	"-"	"808"	""	""
"191"	"169"	"159"	"268"	"82"	"7"	"129"	"8"	""	"9"	"7"	"6"	"10"	"15"	"28"	"48"	""	"617"	"-"	"617"	""	""
"192"	"170"	"160"	"73"	"127"	"5"	"194"	"7"	""	"6"	"4"	"7"	"1"	"6"	"6"	"11"	""	"447"	"-"	"447"	""	""
"193"	"171"	"161"	"16"	"84"	"9"	"42"	"3"	""	"1"	"3"	"2"	"3"	"1"	"9"	"22"	""	"195"	"-"	"195"	""	""
"194"	"172"	"162"	"108"	"47"	"3"	"86"	"3"	""	"2"	"1"	"2"	"7"	"3"	"17"	"23"	""	"302"	"-"	"302"	""	""
"195"	"173"	"163"	"91"	"93"	"11"	"184"	"6"	""	"4"	"3"	"2"	"6"	"3"	"11"	"15"	""	"429"	"-"	"429"	""	""
"196"	"174"	"164"	"32"	"106"	"3"	"197"	"5"	""	"0"	"3"	"2"	"8"	"1"	"6"	"15"	""	"378"	"-"	"378"	""	""
"197"	"175"	"165"	"179"	"71"	"5"	"96"	"8"	""	"1"	"5"	"3"	"5"	"18"	"9"	"13"	""	"413"	"-"	"413"	""	""
"198"	"176"	"166"	"60"	"349"	"11"	"17"	"14"	""	"2"	"2"	"1"	"2"	"3"	"7"	"16"	""	"484"	"-"	"484"	""	""
"199"	"177"	"167"	"12"	"286"	"7"	"20"	"2"	""	"1"	"1"	"2"	"0"	"3"	"11"	"35"	""	"380"	"-"	"380"	""	""
"200"	"178"	"168"	"53"	"118"	"6"	"45"	"4"	""	"5"	"1"	"1"	"1"	"5"	"12"	"182"	""	"433"	"-"	"433"	""	""
"201"	"179"	"169"	"13"	"56"	"3"	"42"	"3"	""	"0"	"2"	"0"	"2"	"0"	"2"	"19"	""	"142"	"-"	"142"	""	""
"202"	"180"	"170"	"32"	"66"	"9"	"406"	"18"	""	"26"	"7"	"4"	"16"	"4"	"16"	"26"	""	"630"	"-"	"630"	""	""
"203"	"181"	"171"	"43"	"60"	"8"	"225"	"14"	""	"3"	"5"	"2"	"5"	"7"	"11"	"55"	""	"438"	"-"	"438"	""	""
"204"	"182"	"172"	"30"	"62"	"8"	"179"	"15"	""	"5"	"5"	"6"	"19"	"5"	"17"	"59"	""	"410"	"-"	"410"	""	""
"205"	"183"	"173"	"70"	"195"	"5"	"41"	"2"	""	"2"	"5"	"2"	"3"	"2"	"8"	"53"	""	"388"	"-"	"388"	""	""
"206"	"184"	"174"	"125"	"89"	"5"	"127"	"6"	""	"1"	"3"	"4"	"5"	"10"	"10"	"102"	""	"487"	"-"	"487"	""	""
"207"	"185"	"175"	"25"	"26"	"7"	"160"	"4"	""	"3"	"2"	"1"	"7"	"6"	"10"	"23"	""	"274"	"-"	"274"	""	""
"208"	"186"	"176"	"87"	"130"	"2"	"143"	"5"	""	"5"	"1"	"4"	"7"	"4"	"22"	"36"	""	"446"	"-"	"446"	""	""
"209"	"187"	"177"	"89"	"66"	"4"	"131"	"5"	""	"4"	"0"	"1"	"6"	"6"	"8"	"25"	""	"345"	"-"	"345"	""	""
"210"	"188"	"178"	"89"	"73"	"10"	"123"	"5"	""	"8"	"6"	"3"	"10"	"6"	"9"	"30"	""	"372"	"-"	"372"	""	""
"211"	"189"	"179"	"43"	"125"	"8"	"106"	"3"	""	"3"	"5"	"1"	"5"	"2"	"4"	"16"	""	"321"	"-"	"321"	""	""
"212"	"190"	"180"	"151"	"183"	"14"	"61"	"8"	""	"1"	"2"	"11"	"11"	"8"	"12"	"29"	""	"491"	"-"	"491"	""	""
"213"	"191"	"181"	"27"	"262"	"8"	"32"	"4"	""	"0"	"2"	"1"	"3"	"1"	"3"	"11"	""	"354"	"-"	"354"	""	""
"214"	"192"	"182"	"188"	"208"	"6"	"27"	"3"	""	"4"	"2"	"3"	"0"	"1"	"3"	"21"	""	"466"	"-"	"466"	""	""
"215"	"193"	"183"	"71"	"116"	"5"	"15"	"3"	""	"1"	"1"	"2"	"4"	"4"	"9"	"40"	""	"271"	"-"	"271"	""	""
"216"	"194"	"184"	"106"	"181"	"3"	"23"	"3"	""	"2"	"0"	"1"	"0"	"0"	"1"	"14"	""	"334"	"-"	"334"	""	""
"217"	"195"	"185"	"347"	"229"	"9"	"22"	"8"	""	"4"	"5"	"6"	"7"	"12"	"11"	"41"	""	"701"	"-"	"701"	""	""
"218"	"196"	"186"	"82"	"253"	"15"	"137"	"45"	""	"10"	"3"	"6"	"10"	"5"	"34"	"49"	""	"649"	"-"	"649"	""	""
"219"	"197"	"187"	"331"	"252"	"21"	"54"	"14"	""	"4"	"2"	"7"	"10"	"10"	"34"	"91"	""	"830"	"-"	"830"	""	""
"220"	"198"	"188"	"78"	"16"	"5"	"183"	"14"	""	"4"	"3"	"4"	"1"	"6"	"7"	"20"	""	"341"	"-"	"341"	""	""
"221"	"199"	"188A"	"15"	"3"	"2"	"223"	"20"	""	"1"	"2"	"2"	"3"	"1"	"2"	"2"	""	"276"	"-"	"276"	""	""
"222"	"200"	"189"	"111"	"15"	"5"	"476"	"17"	""	"4"	"0"	"7"	"4"	"1"	"8"	"19"	""	"667"	"-"	"667"	""	""
"223"	"201"	"190"	"156"	"5"	"10"	"307"	"9"	""	"5"	"1"	"5"	"11"	"5"	"11"	"17"	""	"542"	"-"	"542"	""	""
"224"	"202"	"191"	"22"	"52"	"1"	"56"	"1"	""	"0"	"0"	"0"	"1"	"1"	"2"	"11"	""	"147"	"-"	"147"	""	""
"225"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"226"	""	""	"Dr. Ashok Kumar"	"Ram Chandra Paswan"	"Ram Sudhari
Sada"	"Shashi Bhushan
Hajari"	"Sangeeta Bharti"	""	"Amr endra Kumar Sada"	"Ganesh Kumar"	"Mahendra Kumar Paswan"	"Lal Bahadur
Sada"	"Krishna Kant Ram"	"Ram Bahadur Bharti"	"Ramottar Paswan"	""	""	""	""	""	""
"227"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	"15"	"16"	"17"	"18"	""
"228"	"203"	"192"	"16"	"43"	"1"	"106"	"2"	""	"4"	"5"	"6"	"13"	"4"	"11"	"9"	""	"220"	"-"	"220"	""	""
"229"	"204"	"193"	"37"	"182"	"19"	"122"	"21"	""	"8"	"11"	"11"	"15"	"26"	"34"	"70"	""	"556"	"-"	"556"	""	""
"230"	"205"	"194"	"70"	"191"	"7"	"18"	"4"	""	"1"	"4"	"3"	"2"	"8"	"18"	"61"	""	"387"	"-"	"387"	""	""
"231"	"206"	"195"	"85"	"190"	"14"	"28"	"9"	""	"4"	"5"	"0"	"1"	"0"	"5"	"11"	""	"352"	"-"	"352"	""	""
"232"	"207"	"196"	"22"	"270"	"8"	"22"	"7"	""	"3"	"2"	"3"	"0"	"3"	"9"	"22"	""	"371"	"-"	"371"	""	""
"233"	"208"	"197"	"60"	"25"	"7"	"244"	"5"	""	"14"	"3"	"10"	"17"	"8"	"87"	"26"	""	"506"	"-"	"506"	""	""
"234"	"209"	"198"	"26"	"120"	"11"	"254"	"20"	""	"3"	"8"	"11"	"14"	"9"	"21"	"29"	""	"526"	"-"	"526"	""	""
"235"	"210"	"199"	"21"	"52"	"6"	"230"	"8"	""	"5"	"3"	"6"	"3"	"4"	"78"	"12"	""	"428"	"-"	"428"	""	""
"236"	"211"	"200"	"18"	"32"	"2"	"316"	"7"	""	"4"	"0"	"1"	"2"	"1"	"19"	"4"	""	"406"	"-"	"406"	""	""
"237"	"212"	"201"	"16"	"76"	"3"	"140"	"10"	""	"2"	"2"	"2"	"6"	"7"	"7"	"7"	""	"278"	"-"	"278"	""	""
"238"	"Tot al  No.  of
vot es recording at  polling
St at ions"	""	"17142"	"23063"	"1940"	"28576"	"2185"	""	"853"	"1744"	"886"	"1678"	"1774"	"3084"	"7549"	""	"90474"	"-"	"90474"	""	""
"239"	"No.  of vot es recorded on post al  ballot
papers (To be elect ion  from  an assembly
const it uency)"	""	"0"	"1"	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"1"	"-"	"1"	""	""
"240"	"Total Votes polled"	""	"17142"	"23064"	"1940"	"28576"	"2185"	""	"853"	"1744"	"886"	"1678"	"1774"	"3084"	"7549"	""	"90475"	"-"	"90475"	""	""
"241"	"Place :    DARBHANGA"	""	""	""	""	""	""	"Assistant  Returning Officer"	""	""	""	""	""	""	""	"Returning Officer"	""	""	""	""	""
"242"	"Date  :    24/ 11/ 2010"	""	""	""	""	""	""	"78 - Kusheshwar  Ast han  (SC)"	""	""	""	""	""	""	""	"78 - Kusheshwar  Ast han  (SC)"	""	""	""	""	""
