"Booth.No."	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"Total.of.valid.votes"
"193"	"170"	"56"	"269"	"9"	"92"	"6"	"1"	"36"	"2"	"10"	"4"	"28"	"18"	"9"	"22"	"562"
"194"	"171"	"284"	"198"	"7"	"82"	"6"	"9"	"94"	"7"	"4"	"3"	"3"	"49"	"25"	"9"	"780"
"195"	"172"	"459"	"19"	"6"	"60"	"4"	"3"	"27"	"6"	"12"	"3"	"8"	"40"	"9"	"23"	"679"
"196"	"173"	"226"	"179"	"7"	"69"	"1"	"1"	"41"	"4"	"4"	"0"	"0"	"19"	"2"	"11"	"564"
"197"	"174"	"152"	"127"	"7"	"56"	"5"	"12"	"288"	"9"	"9"	"8"	"16"	"21"	"10"	"29"	"749"
"198"	"175"	"216"	"342"	"12"	"11"	"4"	"4"	"132"	"7"	"3"	"4"	"4"	"11"	"4"	"19"	"773"
"199"	"176"	"490"	"123"	"6"	"30"	"0"	"2"	"29"	"3"	"1"	"1"	"5"	"11"	"4"	"38"	"743"
"200"	"177"	"264"	"80"	"8"	"160"	"6"	"3"	"46"	"7"	"10"	"4"	"10"	"10"	"42"	"46"	"696"
"201"	"178"	"214"	"20"	"9"	"22"	"0"	"12"	"179"	"7"	"3"	"3"	"4"	"2"	"13"	"3"	"491"
"202"	"179"	"178"	"64"	"5"	"31"	"1"	"3"	"58"	"5"	"2"	"4"	"0"	"16"	"10"	"9"	"386"
"203"	"180"	"139"	"268"	"8"	"20"	"19"	"8"	"121"	"14"	"8"	"4"	"6"	"3"	"12"	"32"	"662"
"204"	"181"	"165"	"44"	"6"	"231"	"6"	"2"	"4"	"2"	"3"	"2"	"3"	"9"	"2"	"8"	"487"
"205"	"181A"	"247"	"10"	"2"	"182"	"3"	"1"	"2"	"4"	"2"	"1"	"5"	"1"	"2"	"8"	"470"
"206"	"182"	"294"	"14"	"2"	"109"	"5"	"1"	"8"	"6"	"10"	"2"	"13"	"6"	"13"	"26"	"509"
"207"	"183"	"502"	"38"	"8"	"10"	"0"	"1"	"7"	"1"	"6"	"2"	"7"	"19"	"4"	"16"	"621"
"208"	"184"	"32"	"289"	"1"	"3"	"2"	"10"	"215"	"5"	"5"	"1"	"4"	"1"	"8"	"8"	"584"
"209"	"185"	"125"	"221"	"6"	"8"	"2"	"3"	"19"	"3"	"8"	"2"	"8"	"6"	"5"	"14"	"430"
"210"	"186"	"398"	"215"	"14"	"104"	"10"	"3"	"20"	"6"	"11"	"3"	"10"	"26"	"24"	"17"	"861"
"211"	"187"	"275"	"291"	"12"	"32"	"14"	"9"	"56"	"6"	"15"	"3"	"12"	"15"	"9"	"21"	"770"
"212"	"188"	"373"	"110"	"6"	"79"	"8"	"17"	"186"	"14"	"14"	"5"	"12"	"6"	"10"	"17"	"857"
"213"	"189"	"195"	"155"	"7"	"43"	"6"	"10"	"99"	"7"	"8"	"1"	"5"	"1"	"5"	"8"	"550"
"214"	"190"	"418"	"11"	"6"	"25"	"1"	"3"	"0"	"1"	"1"	"0"	"1"	"2"	"20"	"5"	"494"
"215"	"191"	"181"	"15"	"3"	"159"	"4"	"2"	"1"	"4"	"13"	"0"	"5"	"32"	"5"	"41"	"465"
"216"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"
"217"	""	"Zakir Hussain Khan"	"Narayan Kumar Jha"	"Mahboob Alam"	"Moidur Rahman"	"Shiv Shankar Das"	"Sushil Kumar Biswas"	"Ajay Kumar Jha"	"Anil Kumar"	"Gagan Kumar Jha"	"Nasim"	"Pramod Singh Yadav"	"Manzoor Alam"	"Mohammad Haider Yasin"	"Sita Ram Bishwas"	""
"218"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"9"
"219"	"192"	"280"	"208"	"9"	"31"	"2"	"14"	"139"	"12"	"15"	"3"	"7"	"12"	"11"	"34"	"777"
"220"	"193"	"48"	"143"	"2"	"16"	"2"	"4"	"34"	"2"	"14"	"1"	"90"	"9"	"7"	"11"	"383"
"221"	"194"	"390"	"308"	"5"	"53"	"3"	"7"	"77"	"13"	"15"	"3"	"9"	"7"	"10"	"18"	"918"
"222"	"195"	"117"	"253"	"9"	"6"	"1"	"14"	"183"	"5"	"7"	"3"	"4"	"4"	"9"	"7"	"622"
"223"	"196"	"160"	"128"	"5"	"4"	"1"	"9"	"208"	"6"	"12"	"8"	"9"	"4"	"12"	"33"	"599"
"224"	"197"	"15"	"122"	"3"	"4"	"2"	"11"	"203"	"12"	"3"	"1"	"6"	"5"	"9"	"10"	"406"
"225"	"198"	"240"	"236"	"6"	"160"	"4"	"1"	"28"	"4"	"6"	"5"	"7"	"5"	"8"	"30"	"740"
"226"	"199"	"285"	"75"	"8"	"224"	"5"	"6"	"64"	"10"	"10"	"6"	"20"	"8"	"15"	"26"	"762"
"227"	"200"	"415"	"105"	"11"	"258"	"8"	"5"	"34"	"7"	"5"	"2"	"8"	"2"	"1"	"4"	"865"
"228"	"201"	"316"	"127"	"2"	"17"	"0"	"6"	"146"	"7"	"4"	"3"	"13"	"0"	"4"	"11"	"656"
"229"	"202"	"317"	"9"	"4"	"141"	"5"	"0"	"1"	"6"	"6"	"2"	"2"	"0"	"15"	"7"	"515"
"230"	"203"	"126"	"188"	"13"	"204"	"12"	"4"	"51"	"8"	"5"	"5"	"4"	"6"	"9"	"9"	"644"
"231"	"204"	"244"	"162"	"15"	"77"	"6"	"6"	"62"	"9"	"10"	"2"	"6"	"5"	"22"	"4"	"630"
"232"	"205"	"84"	"22"	"9"	"301"	"4"	"0"	"3"	"6"	"5"	"7"	"10"	"11"	"4"	"7"	"473"
"233"	"206"	"40"	"7"	"8"	"346"	"6"	"2"	"5"	"6"	"1"	"2"	"1"	"5"	"2"	"2"	"433"
"234"	"207"	"710"	"25"	"11"	"75"	"9"	"2"	"4"	"9"	"17"	"10"	"14"	"47"	"9"	"44"	"986"
"235"	"208"	"293"	"164"	"10"	"89"	"10"	"6"	"59"	"12"	"11"	"4"	"9"	"44"	"13"	"40"	"764"
"236"	"Total:-"	"49524"	"31458"	"1374"	"18338"	"704"	"1170"	"11846"	"1223"	"1204"	"575"	"1151"	"2220"	"4611"	"3123"	"128521"
"237"	"Postal Ballot:-"	"8"	"13"	"0"	"6"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"2"	"1"	"0"	"33"
"238"	"Grand Total:-"	"49532"	"31471"	"1374"	"18344"	"704"	"1170"	"11846"	"1226"	"1204"	"575"	"1151"	"2222"	"4612"	"3123"	"128554"
