"i.z..Ik.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"[ fu; e 56 ¼7½ nsf[ k,  ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"100&  cj kSy h  fo/kku  l Hkk fuokZpu {ks= esa fcgkj  fo/kku l Hkk ds fy ; s fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"144"	""	"vkfl Q xQwj"	"ft r sUnz
i zl kn"	"/kzqoukFk
pkS/kj h"	"eks0
user qYy kg"	"j ke i zos' k
j k;"	"dYi ukFk
egr kss"	"t ; ukFk i z0
; kno"	"t sM0 j geku"	"f' ko' kad j
i zl kn xqIr k"	"l j kt qí hu
vgen"	", dj keqy  gd"	"eSuqí hu
vgen"	"j s.kq nsoh"	"l qesj  i zl kn"	""	""	""	""
"145"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"146"	"99"	"16"	"10"	"1"	"83"	"308"	"4"	"4"	"2"	"5"	"4"	"1"	"3"	"58"	"19"	"518"	"0"	"518"	""
"147"	"100"	"14"	"6"	"1"	"104"	"262"	"2"	"1"	"0"	"0"	"1"	"10"	"0"	"1"	"3"	"405"	"0"	"405"	""
"148"	"101"	"70"	"35"	"19"	"221"	"85"	"11"	"9"	"4"	"8"	"8"	"8"	"3"	"8"	"12"	"501"	"0"	"501"	""
"149"	"102"	"47"	"103"	"4"	"102"	"78"	"2"	"2"	"0"	"0"	"2"	"2"	"1"	"3"	"5"	"351"	"0"	"351"	""
"150"	"103"	"22"	"55"	"10"	"162"	"193"	"0"	"6"	"4"	"4"	"6"	"10"	"3"	"13"	"18"	"506"	"0"	"506"	""
"151"	"104"	"45"	"21"	"3"	"36"	"146"	"28"	"2"	"5"	"3"	"2"	"1"	"1"	"2"	"4"	"299"	"0"	"299"	""
"152"	"105"	"290"	"4"	"1"	"32"	"75"	"5"	"1"	"1"	"0"	"3"	"4"	"0"	"3"	"17"	"436"	"0"	"436"	""
"153"	"106"	"17"	"24"	"12"	"211"	"123"	"13"	"4"	"6"	"2"	"3"	"3"	"4"	"5"	"9"	"436"	"0"	"436"	""
"154"	"107"	"16"	"38"	"2"	"171"	"207"	"20"	"0"	"2"	"3"	"3"	"3"	"1"	"2"	"12"	"480"	"0"	"480"	""
"155"	"108"	"3"	"5"	"135"	"6"	"8"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"2"	"162"	"0"	"162"	""
"156"	"109"	"19"	"53"	"98"	"60"	"296"	"4"	"5"	"4"	"1"	"8"	"5"	"4"	"2"	"49"	"608"	"0"	"608"	""
"157"	"110"	"15"	"10"	"97"	"126"	"227"	"15"	"3"	"11"	"6"	"6"	"8"	"12"	"6"	"61"	"603"	"0"	"603"	""
"158"	"111"	"9"	"79"	"181"	"51"	"338"	"20"	"8"	"8"	"14"	"15"	"7"	"14"	"13"	"45"	"802"	"0"	"802"	""
"159"	"112"	"16"	"17"	"18"	"129"	"452"	"6"	"1"	"4"	"6"	"11"	"10"	"14"	"11"	"17"	"712"	"0"	"712"	""
"160"	"; ksx"	"599"	"460"	"582"	"1494"	"2798"	"130"	"46"	"51"	"53"	"73"	"73"	"60"	"127"	"273"	"6819"	"0"	"6819"	""
"161"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"2345"	"3889"	"761"	"16653"	"22426"	"1069"	"675"	"365"	"459"	"674"	"525"	"756"	"1229"	"3248"	"55074"	"0"	"55074"	"0"
"162"	"d qy  ; ksx"	"2944"	"4349"	"1343"	"18147"	"25224"	"1199"	"721"	"416"	"512"	"747"	"598"	"816"	"1356"	"3521"	"61893"	"0"	"61893"	""
"163"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"164"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"165"	""	"vkfl Q xQwj"	"ft r sUnz
i zl kn"	"/kzqoukFk
pkS/kj h"	"eks0
user qYy kg"	"j ke i zos' k
j k;"	"dYi ukFk
egr kss"	"t ; ukFk i z0
; kno"	"t sM0 j geku"	"f' ko' kad j
i zl kn xqIr k"	"l j kt qí hu
vgen"	", dj keqy  gd"	"eSuqí hu
vgen"	"j s.kq nsoh"	"l qesj  i zl kn"	""	""	""	""
"166"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"167"	"113"	"12"	"124"	"7"	"209"	"246"	"9"	"8"	"6"	"9"	"13"	"13"	"8"	"16"	"24"	"704"	"0"	"704"	""
"168"	"114"	"7"	"16"	"11"	"162"	"184"	"5"	"2"	"0"	"2"	"6"	"5"	"3"	"21"	"10"	"434"	"0"	"434"	""
"169"	"115"	"9"	"32"	"27"	"150"	"300"	"8"	"3"	"3"	"11"	"12"	"3"	"7"	"10"	"13"	"588"	"0"	"588"	""
"170"	"116"	"32"	"105"	"197"	"141"	"272"	"7"	"7"	"3"	"6"	"6"	"1"	"5"	"5"	"73"	"860"	"0"	"860"	""
"171"	"117"	"21"	"117"	"170"	"112"	"281"	"10"	"4"	"7"	"6"	"4"	"4"	"1"	"7"	"22"	"766"	"0"	"766"	""
"172"	"118"	"14"	"94"	"63"	"56"	"255"	"7"	"1"	"3"	"10"	"14"	"4"	"7"	"5"	"11"	"544"	"0"	"544"	""
"173"	"118  ¼d½"	"7"	"60"	"75"	"60"	"180"	"8"	"4"	"1"	"5"	"8"	"3"	"6"	"10"	"20"	"447"	"0"	"447"	""
"174"	"119"	"5"	"19"	"30"	"50"	"343"	"4"	"0"	"3"	"4"	"5"	"4"	"3"	"3"	"27"	"500"	"0"	"500"	""
"175"	"120"	"18"	"27"	"6"	"18"	"343"	"3"	"1"	"3"	"3"	"5"	"2"	"0"	"2"	"17"	"448"	"0"	"448"	""
"176"	"121"	"7"	"25"	"86"	"112"	"201"	"2"	"0"	"11"	"6"	"10"	"10"	"7"	"9"	"25"	"511"	"0"	"511"	""
"177"	"122"	"17"	"63"	"14"	"94"	"383"	"78"	"6"	"4"	"6"	"12"	"10"	"7"	"9"	"14"	"717"	"0"	"717"	""
"178"	"123"	"17"	"49"	"12"	"92"	"312"	"6"	"2"	"8"	"5"	"12"	"6"	"8"	"10"	"34"	"573"	"0"	"573"	""
"179"	"124"	"10"	"14"	"10"	"64"	"131"	"7"	"3"	"2"	"5"	"3"	"2"	"2"	"5"	"13"	"271"	"0"	"271"	""
"180"	"125"	"44"	"28"	"43"	"23"	"343"	"25"	"2"	"7"	"2"	"4"	"1"	"5"	"7"	"54"	"588"	"0"	"588"	""
"181"	"; ksx"	"220"	"773"	"751"	"1343"	"3774"	"179"	"43"	"61"	"80"	"114"	"68"	"69"	"119"	"357"	"7951"	"0"	"7951"	""
"182"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"2944"	"4349"	"1343"	"18147"	"25224"	"1199"	"721"	"416"	"512"	"747"	"598"	"816"	"1356"	"3521"	"61893"	"0"	"61893"	"0"
"183"	"d qy  ; ksx"	"3164"	"5122"	"2094"	"19490"	"28998"	"1378"	"764"	"477"	"592"	"861"	"666"	"885"	"1475"	"3878"	"69844"	"0"	"69844"	"0"
"184"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"185"	""	"vkfl Q xQwj"	"ft r sUnz
i zl kn"	"/kzqoukFk
pkS/kj h"	"eks0
user qYy kg"	"j ke i zos' k
j k;"	"dYi ukFk
egr kss"	"t ; ukFk i z0
; kno"	"t sM0 j geku"	"f' ko' kad j
i zl kn xqIr k"	"l j kt qí hu
vgen"	", dj keqy  gd"	"eSuqí hu
vgen"	"j s.kq nsoh"	"l qesj  i zl kn"	""	""	""	""
"186"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"187"	"126"	"25"	"64"	"9"	"185"	"363"	"10"	"6"	"3"	"6"	"3"	"6"	"0"	"23"	"47"	"750"	"0"	"750"	""
"188"	"127"	"19"	"65"	"7"	"241"	"153"	"5"	"4"	"8"	"7"	"2"	"9"	"7"	"9"	"23"	"559"	"0"	"559"	""
"189"	"128"	"22"	"12"	"9"	"126"	"202"	"8"	"4"	"5"	"5"	"8"	"7"	"5"	"19"	"64"	"496"	"0"	"496"	""
"190"	"129"	"34"	"35"	"14"	"72"	"510"	"50"	"7"	"11"	"16"	"12"	"12"	"7"	"13"	"17"	"810"	"0"	"810"	""
"191"	"130"	"24"	"31"	"8"	"162"	"338"	"57"	"3"	"6"	"10"	"17"	"7"	"12"	"16"	"49"	"740"	"0"	"740"	""
"192"	"131"	"17"	"251"	"10"	"20"	"133"	"4"	"1"	"3"	"5"	"8"	"5"	"2"	"5"	"14"	"478"	"0"	"478"	""
"193"	"132"	"13"	"227"	"1"	"9"	"55"	"2"	"0"	"1"	"2"	"2"	"6"	"3"	"7"	"5"	"333"	"0"	"333"	""
"194"	"133"	"16"	"68"	"20"	"225"	"289"	"9"	"11"	"2"	"11"	"3"	"9"	"4"	"15"	"7"	"689"	"0"	"689"	""
"195"	"134"	"0"	"108"	"6"	"77"	"267"	"2"	"0"	"1"	"1"	"14"	"0"	"1"	"4"	"5"	"486"	"0"	"486"	""
"196"	"135"	"14"	"163"	"23"	"274"	"290"	"5"	"10"	"3"	"1"	"9"	"3"	"1"	"3"	"30"	"829"	"0"	"829"	""
"197"	"136"	"18"	"57"	"14"	"214"	"160"	"5"	"3"	"4"	"7"	"3"	"4"	"7"	"10"	"11"	"517"	"0"	"517"	""
"198"	"137"	"16"	"159"	"12"	"92"	"292"	"10"	"3"	"0"	"3"	"10"	"9"	"8"	"9"	"23"	"646"	"0"	"646"	""
"199"	"138"	"11"	"36"	"10"	"69"	"202"	"4"	"1"	"1"	"1"	"4"	"4"	"2"	"11"	"13"	"369"	"0"	"369"	""
"200"	"139"	"11"	"100"	"8"	"133"	"255"	"5"	"4"	"3"	"3"	"16"	"5"	"5"	"22"	"24"	"594"	"0"	"594"	""
"201"	"; ksx"	"240"	"1376"	"151"	"1899"	"3509"	"176"	"57"	"51"	"78"	"111"	"86"	"64"	"166"	"332"	"8296"	"0"	"8296"	""
"202"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"3164"	"5122"	"2094"	"19490"	"28998"	"1378"	"764"	"477"	"592"	"861"	"666"	"885"	"1475"	"3878"	"69844"	"0"	"69844"	"0"
"203"	"d qy  ; ksx"	"3404"	"6498"	"2245"	"21389"	"32507"	"1554"	"821"	"528"	"670"	"972"	"752"	"949"	"1641"	"4210"	"78140"	"0"	"78140"	""
"204"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"206"	""	"vkfl Q xQwj"	"ft r sUnz
i zl kn"	"/kzqoukFk
pkS/kj h"	"eks0
user qYy kg"	"j ke i zos' k
j k;"	"dYi ukFk
egr kss"	"t ; ukFk i z0
; kno"	"t sM0 j geku"	"f' ko' kad j
i zl kn xqIr k"	"l j kt qí hu
vgen"	", dj keqy  gd"	"eSuqí hu
vgen"	"j s.kq nsoh"	"l qesj  i zl kn"	""	""	""	""
"207"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"208"	"140"	"6"	"169"	"3"	"64"	"254"	"4"	"2"	"0"	"2"	"8"	"3"	"2"	"5"	"10"	"532"	"0"	"532"	""
"209"	"141"	"17"	"96"	"23"	"105"	"402"	"9"	"4"	"2"	"7"	"16"	"4"	"5"	"10"	"42"	"742"	"0"	"742"	""
"210"	"142"	"17"	"184"	"8"	"128"	"263"	"5"	"0"	"2"	"5"	"8"	"2"	"4"	"11"	"12"	"649"	"0"	"649"	""
"211"	"143"	"11"	"61"	"6"	"349"	"140"	"18"	"2"	"4"	"1"	"6"	"18"	"3"	"4"	"15"	"638"	"0"	"638"	""
"212"	"144"	"44"	"232"	"8"	"173"	"290"	"10"	"1"	"9"	"9"	"27"	"7"	"5"	"10"	"19"	"844"	"0"	"844"	""
"213"	"145"	"16"	"77"	"81"	"255"	"188"	"5"	"4"	"2"	"6"	"26"	"5"	"9"	"15"	"21"	"710"	"0"	"710"	""
"214"	"146"	"12"	"46"	"7"	"154"	"273"	"10"	"5"	"1"	"8"	"22"	"8"	"1"	"17"	"14"	"578"	"0"	"578"	""
"215"	"147"	"16"	"21"	"5"	"291"	"140"	"6"	"3"	"2"	"4"	"10"	"6"	"6"	"4"	"20"	"534"	"0"	"534"	""
"216"	"148"	"26"	"142"	"12"	"121"	"430"	"14"	"3"	"5"	"5"	"10"	"3"	"6"	"10"	"49"	"836"	"0"	"836"	""
"217"	"149"	"11"	"49"	"1"	"280"	"65"	"0"	"1"	"1"	"4"	"2"	"6"	"6"	"4"	"25"	"455"	"0"	"455"	""
"218"	"150"	"26"	"83"	"5"	"224"	"219"	"7"	"6"	"3"	"0"	"8"	"7"	"2"	"10"	"14"	"614"	"0"	"614"	""
"219"	"151"	"17"	"142"	"6"	"346"	"181"	"2"	"2"	"5"	"4"	"5"	"4"	"14"	"7"	"9"	"744"	"0"	"744"	""
"220"	"152"	"18"	"50"	"10"	"288"	"255"	"12"	"7"	"6"	"8"	"10"	"6"	"7"	"4"	"23"	"704"	"0"	"704"	""
"221"	"153"	"18"	"102"	"8"	"178"	"376"	"8"	"5"	"6"	"6"	"12"	"11"	"7"	"7"	"18"	"762"	"0"	"762"	""
"222"	"; ksx"	"255"	"1454"	"183"	"2956"	"3476"	"110"	"45"	"48"	"69"	"170"	"90"	"77"	"118"	"291"	"9342"	"0"	"9342"	""
"223"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"3404"	"6498"	"2245"	"21389"	"32507"	"1554"	"821"	"528"	"670"	"972"	"752"	"949"	"1641"	"4210"	"78140"	"0"	"78140"	"0"
"224"	"d qy  ; ksx"	"3659"	"7952"	"2428"	"24345"	"35983"	"1664"	"866"	"576"	"739"	"1142"	"842"	"1026"	"1759"	"4501"	"87482"	"0"	"87482"	""
"225"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"226"	""	"vkfl Q xQwj"	"ft r sUnz
i zl kn"	"/kzqoukFk
pkS/kj h"	"eks0
user qYy kg"	"j ke i zos' k
j k;"	"dYi ukFk
egr kss"	"t ; ukFk i z0
; kno"	"t sM0 j geku"	"f' ko' kad j
i zl kn xqIr k"	"l j kt qí hu
vgen"	", dj keqy  gd"	"eSuqí hu
vgen"	"j s.kq nsoh"	"l qesj  i zl kn"	""	""	""	""
"227"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"228"	"154"	"12"	"50"	"16"	"305"	"252"	"3"	"2"	"4"	"5"	"5"	"6"	"4"	"2"	"8"	"674"	"0"	"674"	""
"229"	"155"	"12"	"38"	"5"	"236"	"94"	"3"	"3"	"4"	"1"	"5"	"3"	"5"	"6"	"13"	"428"	"0"	"428"	""
"230"	"156"	"19"	"27"	"7"	"273"	"153"	"6"	"1"	"2"	"1"	"7"	"2"	"5"	"5"	"12"	"520"	"0"	"520"	""
"231"	"157"	"22"	"46"	"24"	"200"	"110"	"2"	"1"	"3"	"4"	"8"	"8"	"4"	"10"	"28"	"470"	"0"	"470"	""
"232"	"158"	"21"	"143"	"9"	"270"	"196"	"14"	"9"	"3"	"10"	"5"	"11"	"9"	"19"	"53"	"772"	"0"	"772"	""
"233"	"159"	"29"	"38"	"8"	"193"	"113"	"4"	"5"	"2"	"1"	"1"	"2"	"2"	"1"	"6"	"405"	"0"	"405"	""
"234"	"160"	"28"	"82"	"5"	"160"	"154"	"8"	"3"	"2"	"3"	"5"	"5"	"4"	"11"	"21"	"491"	"0"	"491"	""
"235"	"161"	"79"	"46"	"16"	"268"	"170"	"8"	"7"	"6"	"6"	"3"	"1"	"2"	"4"	"9"	"625"	"0"	"625"	""
"236"	"162"	"26"	"73"	"3"	"115"	"103"	"2"	"4"	"8"	"3"	"4"	"2"	"1"	"4"	"6"	"354"	"0"	"354"	""
"237"	"163"	"20"	"109"	"3"	"149"	"175"	"21"	"1"	"0"	"0"	"3"	"3"	"1"	"1"	"11"	"497"	"0"	"497"	""
"238"	"164"	"24"	"85"	"8"	"209"	"190"	"38"	"3"	"3"	"7"	"1"	"5"	"5"	"8"	"11"	"597"	"0"	"597"	""
"239"	"165"	"20"	"18"	"3"	"416"	"155"	"15"	"3"	"2"	"3"	"5"	"4"	"7"	"9"	"7"	"667"	"0"	"667"	""
"240"	"166"	"32"	"86"	"4"	"123"	"148"	"2"	"2"	"1"	"3"	"6"	"3"	"1"	"2"	"12"	"425"	"0"	"425"	""
"241"	"167"	"10"	"7"	"3"	"273"	"218"	"4"	"3"	"0"	"4"	"6"	"4"	"3"	"1"	"24"	"560"	"0"	"560"	""
"242"	"; ksx"	"354"	"848"	"114"	"3190"	"2231"	"130"	"47"	"40"	"51"	"64"	"59"	"53"	"83"	"221"	"7485"	"0"	"7485"	""
"243"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"3659"	"7952"	"2428"	"24345"	"35983"	"1664"	"866"	"576"	"739"	"1142"	"842"	"1026"	"1759"	"4501"	"87482"	"0"	"87482"	""
"244"	"d qy  ; ksx"	"4013"	"8800"	"2542"	"27535"	"38214"	"1794"	"913"	"616"	"790"	"1206"	"901"	"1079"	"1842"	"4722"	"94967"	"0"	"94967"	""
"245"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"246"	""	"vkfl Q xQwj"	"ft r sUnz
i zl kn"	"/kzqoukFk
pkS/kj h"	"eks0
user qYy kg"	"j ke i zos' k
j k;"	"dYi ukFk
egr kss"	"t ; ukFk i z0
; kno"	"t sM0 j geku"	"f' ko' kad j
i zl kn xqIr k"	"l j kt qí hu
vgen"	", dj keqy  gd"	"eSuqí hu
vgen"	"j s.kq nsoh"	"l qesj  i zl kn"	""	""	""	""
"247"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"248"	"168"	"14"	"28"	"7"	"151"	"189"	"5"	"2"	"5"	"2"	"3"	"2"	"2"	"1"	"13"	"424"	"0"	"424"	""
"249"	"169"	"40"	"90"	"12"	"223"	"419"	"10"	"6"	"5"	"11"	"18"	"15"	"7"	"13"	"18"	"887"	"0"	"887"	""
"250"	"170"	"36"	"16"	"4"	"201"	"104"	"9"	"2"	"2"	"1"	"2"	"3"	"1"	"0"	"5"	"386"	"0"	"386"	""
"251"	"171"	"15"	"20"	"6"	"131"	"219"	"2"	"2"	"1"	"3"	"4"	"0"	"3"	"5"	"13"	"424"	"0"	"424"	""
"252"	"172"	"2"	"78"	"4"	"146"	"210"	"7"	"1"	"1"	"1"	"0"	"1"	"3"	"4"	"13"	"471"	"0"	"471"	""
"253"	"173"	"21"	"165"	"8"	"87"	"301"	"5"	"15"	"8"	"9"	"7"	"4"	"6"	"11"	"13"	"660"	"0"	"660"	""
"254"	"174"	"11"	"93"	"3"	"133"	"283"	"4"	"12"	"6"	"6"	"4"	"7"	"0"	"6"	"7"	"575"	"0"	"575"	""
"255"	"175"	"27"	"46"	"6"	"118"	"230"	"9"	"4"	"4"	"4"	"7"	"9"	"5"	"9"	"42"	"520"	"0"	"520"	""
"256"	"176"	"20"	"76"	"10"	"315"	"147"	"11"	"2"	"1"	"7"	"5"	"2"	"2"	"5"	"14"	"617"	"0"	"617"	""
"257"	"177"	"13"	"24"	"2"	"29"	"260"	"3"	"3"	"3"	"1"	"4"	"0"	"0"	"1"	"23"	"366"	"0"	"366"	""
"258"	"178"	"38"	"57"	"11"	"189"	"290"	"11"	"5"	"7"	"5"	"3"	"4"	"2"	"6"	"7"	"635"	"0"	"635"	""
"259"	"179"	"16"	"8"	"27"	"248"	"266"	"7"	"5"	"2"	"5"	"6"	"2"	"3"	"8"	"8"	"611"	"0"	"611"	""
"260"	"180"	"9"	"7"	"17"	"365"	"136"	"6"	"3"	"4"	"1"	"2"	"13"	"3"	"6"	"8"	"580"	"0"	"580"	""
"261"	"181"	"6"	"17"	"14"	"375"	"22"	"2"	"9"	"1"	"1"	"0"	"11"	"9"	"10"	"8"	"485"	"0"	"485"	""
"262"	"; ksx"	"268"	"725"	"131"	"2711"	"3076"	"91"	"71"	"50"	"57"	"65"	"73"	"46"	"85"	"192"	"7641"	"0"	"7641"	""
"263"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"4013"	"8800"	"2542"	"27535"	"38214"	"1794"	"913"	"616"	"790"	"1206"	"901"	"1079"	"1842"	"4722"	"94967"	"0"	"94967"	"0"
"264"	"d qy  ; ksx"	"4281"	"9525"	"2673"	"30246"	"41290"	"1885"	"984"	"666"	"847"	"1271"	"974"	"1125"	"1927"	"4914"	"102608"	"0"	"102608"	""
"265"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"267"	""	"vkfl Q xQwj"	"ft r sUnz
i zl kn"	"/kzqoukFk
pkS/kj h"	"eks0
user qYy kg"	"j ke i zos' k
j k;"	"dYi ukFk
egr kss"	"t ; ukFk i z0
; kno"	"t sM0 j geku"	"f' ko' kad j
i zl kn xqIr k"	"l j kt qí hu
vgen"	", dj keqy  gd"	"eSuqí hu
vgen"	"j s.kq nsoh"	"l qesj  i zl kn"	""	""	""	""
"268"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"269"	"182"	"6"	"58"	"0"	"139"	"195"	"3"	"2"	"1"	"1"	"4"	"6"	"3"	"8"	"7"	"433"	"0"	"433"	""
"270"	"183"	"19"	"63"	"3"	"182"	"111"	"6"	"1"	"0"	"3"	"6"	"5"	"3"	"8"	"11"	"421"	"0"	"421"	""
"271"	"184"	"10"	"106"	"5"	"203"	"38"	"5"	"4"	"2"	"0"	"4"	"9"	"6"	"9"	"8"	"409"	"0"	"409"	""
"272"	"185"	"61"	"75"	"5"	"208"	"38"	"4"	"4"	"0"	"1"	"1"	"3"	"4"	"6"	"6"	"416"	"0"	"416"	""
"273"	"186"	"11"	"93"	"3"	"214"	"157"	"9"	"5"	"5"	"5"	"41"	"0"	"7"	"9"	"109"	"668"	"0"	"668"	""
"274"	"187"	"9"	"12"	"6"	"203"	"90"	"2"	"2"	"6"	"2"	"17"	"7"	"1"	"7"	"82"	"446"	"0"	"446"	""
"275"	"188"	"18"	"22"	"6"	"228"	"84"	"6"	"4"	"4"	"2"	"3"	"1"	"4"	"4"	"20"	"406"	"0"	"406"	""
"276"	"189"	"24"	"52"	"19"	"60"	"313"	"28"	"3"	"10"	"4"	"2"	"2"	"0"	"4"	"8"	"529"	"0"	"529"	""
"277"	"190"	"8"	"7"	"16"	"170"	"35"	"2"	"3"	"5"	"1"	"4"	"6"	"1"	"13"	"32"	"303"	"0"	"303"	""
"278"	"191"	"67"	"23"	"3"	"397"	"100"	"5"	"6"	"32"	"6"	"8"	"7"	"9"	"16"	"24"	"703"	"0"	"703"	""
"279"	"192"	"15"	"11"	"23"	"177"	"186"	"37"	"0"	"6"	"5"	"11"	"5"	"4"	"9"	"29"	"518"	"0"	"518"	""
"280"	"193"	"18"	"92"	"9"	"267"	"154"	"10"	"4"	"6"	"8"	"10"	"14"	"18"	"20"	"14"	"644"	"0"	"644"	""
"281"	"194"	"24"	"111"	"5"	"90"	"256"	"25"	"2"	"8"	"4"	"8"	"6"	"8"	"24"	"28"	"599"	"0"	"599"	""
"282"	"195"	"15"	"82"	"6"	"154"	"135"	"1"	"4"	"7"	"4"	"3"	"3"	"4"	"6"	"11"	"435"	"0"	"435"	""
"283"	"; ksx"	"305"	"807"	"109"	"2692"	"1892"	"143"	"44"	"92"	"46"	"122"	"74"	"72"	"143"	"389"	"6930"	"0"	"6930"	""
"284"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"4281"	"9525"	"2673"	"30246"	"41290"	"1885"	"984"	"666"	"847"	"1271"	"974"	"1125"	"1927"	"4914"	"102608"	"0"	"102608"	"0"
"285"	"d qy  ; ksx"	"4586"	"10332"	"2782"	"32938"	"43182"	"2028"	"1028"	"758"	"893"	"1393"	"1048"	"1197"	"2070"	"5303"	"109538"	"0"	"109538"	""
"286"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"287"	""	"vkfl Q xQwj"	"ft r sUnz
i zl kn"	"/kzqoukFk
pkS/kj h"	"eks0
user qYy kg"	"j ke i zos' k
j k;"	"dYi ukFk
egr kss"	"t ; ukFk i z0
; kno"	"t sM0 j geku"	"f' ko' kad j
i zl kn xqIr k"	"l j kt qí hu
vgen"	", dj keqy  gd"	"eSuqí hu
vgen"	"j s.kq nsoh"	"l qesj  i zl kn"	""	""	""	""
"288"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"289"	"196"	"2"	"4"	"12"	"233"	"54"	"5"	"1"	"1"	"0"	"1"	"4"	"2"	"6"	"4"	"329"	"0"	"329"	""
"290"	"197"	"36"	"9"	"14"	"443"	"46"	"7"	"6"	"5"	"4"	"3"	"2"	"2"	"5"	"3"	"585"	"0"	"585"	""
