"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"
"1"	"[See Rule 56  (7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"                                                                                      final result sheet                                                                                       "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election to the Bihar Legislative Assmebly from the 208-SASARAM A.C."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Constituency-275379"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	""	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"tes"	""	""	""	""
"7"	"Table Number"	""	"Sl. No. of Polling Station"	"ATENDRA KUMAR SINGH"	"DR. ASHOK KUMAR"	"JAWAHAR PRASAD"	""	"BABU RAM SINGH"	"RAJ SHEKHAR"	"SARWAR ALI KHAN"	"KALINDRA SINGH"	"JYOTI RASHMI"	"DEEPAK KUMAR SRIVASTVA"	"PARMANAND SINGH KUSHWAHA"	"FUL MAN SINGH"	"BHOLA SINGH"	"MUNSHI CHANDRABANSHI"	"RAJ KISHOR MISHRA"	"RAJNATH MAHTO"	"SATENDRA SAH"	"AJAY KUMAR"	"KEDAR RAM"	"GOPAL PRASAD ALIAS GOPAL SAH"	"NAND KISHOR SINGH"	"VINOD KUMAR PANDEY"	"BIHARI KUMAR"	"BHARAT RAM"	"YAMUNA CHAUDHARY"	"RAM ADHIN BHARTI"	"SHASHI BHUSHAN CHOUDHARY"	"SANGRAM SINGH"	"SANJAY KUMAR (KARAN SARAI)"	"SANJAY KUMAR (BRAHMANTOLI)"	"SATYENDRA KUMAR"	"SALAMAT ANSARI"	"otal No. of valid vo"	""	"Total"	"Total No. of tend
votes"	""
"80"	"12"	""	"53"	"3"	"120"	"226"	""	"4"	"12"	"1"	"0"	"5"	"0"	"1"	"1"	"3"	"0"	"6"	"2"	"11"	"0"	"2"	"7"	"1"	"0"	"0"	"1"	"2"	"16"	"1"	"1"	"3"	"1"	"1"	"4"	"435"	""	"435"	""	""
"81"	"13"	""	"54"	"1"	"112"	"299"	""	"9"	"7"	"10"	"1"	"6"	"1"	"1"	"4"	"2"	"3"	"6"	"1"	"21"	"0"	"2"	"2"	"1"	"0"	"6"	"0"	"0"	"0"	"4"	"0"	"2"	"1"	"0"	"4"	"506"	""	"506"	""	""
"82"	"14"	""	"55"	"3"	"55"	"254"	""	"5"	"2"	"2"	"0"	"5"	"1"	"0"	"0"	"0"	"0"	"2"	"1"	"156"	"2"	"2"	"6"	"1"	"0"	"3"	"1"	"0"	"1"	"0"	"0"	"3"	"1"	"3"	"9"	"518"	""	"518"	""	""
"83"	"1"	""	"56"	"2"	"115"	"229"	""	"1"	"12"	"22"	"2"	"5"	"1"	"4"	"1"	"2"	"4"	"2"	"5"	"12"	"18"	"5"	"9"	"4"	"0"	"12"	"2"	"1"	"8"	"3"	"1"	"6"	"3"	"4"	"88"	"583"	""	"583"	""	""
"84"	"2"	""	"56d"	"10"	"43"	"137"	""	"2"	"4"	"7"	"0"	"2"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"7"	"6"	"2"	"2"	"1"	"1"	"3"	"2"	"1"	"1"	"1"	"0"	"2"	"1"	"4"	"59"	"300"	""	"300"	""	""
"85"	"3"	""	"57"	"2"	"165"	"235"	""	"3"	"7"	"1"	"1"	"4"	"2"	"0"	"1"	"0"	"0"	"4"	"3"	"43"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"1"	"2"	"3"	"482"	""	"482"	""	""
"86"	"4"	""	"58"	"4"	"155"	"221"	""	"2"	"8"	"29"	"1"	"5"	"0"	"1"	"3"	"2"	"3"	"2"	"2"	"35"	"6"	"4"	"10"	"1"	"3"	"3"	"0"	"3"	"0"	"4"	"7"	"12"	"9"	"6"	"27"	"568"	""	"568"	""	""
"87"	"5"	""	"59"	"6"	"375"	"87"	""	"3"	"12"	"14"	"1"	"1"	"3"	"0"	"2"	"5"	"3"	"4"	"8"	"20"	"2"	"6"	"2"	"0"	"1"	"1"	"1"	"1"	"11"	"0"	"1"	"3"	"2"	"3"	"37"	"615"	""	"615"	""	""
"88"	"6"	""	"60"	"4"	"56"	"249"	""	"0"	"25"	"0"	"0"	"7"	"0"	"1"	"3"	"0"	"2"	"1"	"2"	"25"	"5"	"6"	"16"	"8"	"5"	"4"	"3"	"4"	"20"	"5"	"5"	"14"	"12"	"17"	"35"	"534"	""	"534"	""	""
"89"	"7"	""	"61"	"4"	"330"	"89"	""	"2"	"27"	"155"	"4"	"1"	"0"	"2"	"5"	"7"	"7"	"8"	"14"	"20"	"2"	"5"	"1"	"2"	"2"	"2"	"0"	"1"	"4"	"2"	"1"	"7"	"2"	"13"	"114"	"833"	""	"833"	""	""
"90"	"8"	""	"62"	"3"	"288"	"106"	""	"2"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"6"	"3"	"9"	"1"	"3"	"5"	"0"	"1"	"3"	"0"	"1"	"20"	"2"	"1"	"2"	"3"	"10"	"100"	"573"	""	"573"	""	""
"91"	"9"	""	"63"	"2"	"306"	"82"	""	"0"	"2"	"3"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"3"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"3"	"8"	"419"	""	"419"	""	""
"92"	"10"	""	"64"	"14"	"150"	"328"	""	"10"	"11"	"70"	"1"	"7"	"10"	"3"	"2"	"3"	"5"	"0"	"2"	"22"	"8"	"5"	"3"	"1"	"1"	"7"	"1"	"3"	"34"	"2"	"2"	"3"	"5"	"5"	"37"	"755"	""	"755"	""	""
"93"	"11"	""	"65"	"2"	"141"	"150"	""	"3"	"9"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"7"	"0"	"4"	"7"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"16"	"0"	"2"	"11"	"360"	""	"360"	""	""
"94"	"12"	""	"66"	"4"	"103"	"113"	""	"2"	"0"	"20"	"2"	"4"	"0"	"0"	"2"	"0"	"0"	"4"	"1"	"1"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"10"	"0"	"0"	"9"	"1"	"8"	"69"	"359"	""	"359"	""	""
"95"	"13"	""	"67"	"7"	"282"	"179"	""	"0"	"53"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"10"	"0"	"0"	"1"	"0"	"0"	"2"	"541"	""	"541"	""	""
"96"	"FORM-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"[See Rule 56  (7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"                                                                                      final result sheet                                                                                       "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"Election to the Bihar Legislative Assmebly from the 208-SASARAM A.C."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"Total No. of Electors in Assembly Constituency-275379"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	""	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"tes"	""	""	""	""
"103"	"Table Number"	""	"Sl. No. of Polling Station"	"ATENDRA KUMAR SINGH"	"DR. ASHOK KUMAR"	"JAWAHAR PRASAD"	""	"BABU RAM SINGH"	"RAJ SHEKHAR"	"SARWAR ALI KHAN"	"KALINDRA SINGH"	"JYOTI RASHMI"	"DEEPAK KUMAR SRIVASTVA"	"PARMANAND SINGH KUSHWAHA"	"FUL MAN SINGH"	"BHOLA SINGH"	"MUNSHI CHANDRABANSHI"	"RAJ KISHOR MISHRA"	"RAJNATH MAHTO"	"SATENDRA SAH"	"AJAY KUMAR"	"KEDAR RAM"	"GOPAL PRASAD ALIAS GOPAL SAH"	"NAND KISHOR SINGH"	"VINOD KUMAR PANDEY"	"BIHARI KUMAR"	"BHARAT RAM"	"YAMUNA CHAUDHARY"	"RAM ADHIN BHARTI"	"SHASHI BHUSHAN CHOUDHARY"	"SANGRAM SINGH"	"SANJAY KUMAR (KARAN SARAI)"	"SANJAY KUMAR (BRAHMANTOLI)"	"SATYENDRA KUMAR"	"SALAMAT ANSARI"	"otal No. of valid vo"	""	"Total"	"Total No. of tend
votes"	""
"104"	""	""	""	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"T"	""	""	""	""
"105"	"14"	""	"68"	"4"	"197"	"124"	""	"3"	"59"	"75"	"2"	"1"	"0"	"2"	"0"	"0"	"1"	"4"	"4"	"3"	"5"	"3"	"3"	"2"	"0"	"7"	"2"	"2"	"1"	"4"	"2"	"9"	"5"	"22"	"19"	"565"	""	"565"	""	""
"106"	"1"	""	"69"	"0"	"88"	"114"	""	"3"	"6"	"10"	"0"	"0"	"0"	"27"	"1"	"2"	"0"	"3"	"4"	"5"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"2"	"2"	"271"	""	"271"	""	""
"107"	"2"	""	"70"	"10"	"414"	"165"	""	"5"	"6"	"3"	"4"	"3"	"0"	"3"	"0"	"3"	"8"	"9"	"26"	"19"	"8"	"16"	"3"	"0"	"2"	"0"	"0"	"2"	"6"	"2"	"2"	"3"	"1"	"15"	"8"	"746"	""	"746"	""	""
"108"	"3"	""	"71"	"2"	"182"	"444"	""	"3"	"13"	"3"	"1"	"1"	"1"	"0"	"4"	"0"	"1"	"2"	"1"	"5"	"2"	"1"	"2"	"5"	"2"	"7"	"0"	"0"	"12"	"0"	"0"	"11"	"1"	"13"	"2"	"721"	""	"721"	""	""
"109"	"4"	""	"72"	"1"	"342"	"205"	""	"6"	"12"	"0"	"0"	"3"	"1"	"1"	"1"	"0"	"1"	"2"	"2"	"11"	"1"	"6"	"5"	"0"	"2"	"4"	"2"	"0"	"0"	"1"	"0"	"1"	"5"	"0"	"4"	"619"	""	"619"	""	""
"110"	"5"	""	"73"	"3"	"162"	"277"	""	"6"	"16"	"56"	"1"	"8"	"1"	"1"	"3"	"0"	"1"	"4"	"1"	"22"	"2"	"0"	"3"	"3"	"0"	"4"	"0"	"0"	"1"	"0"	"1"	"5"	"4"	"2"	"8"	"595"	""	"595"	""	""
"111"	"6"	""	"74"	"3"	"178"	"291"	""	"11"	"14"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"11"	"0"	"2"	"3"	"1"	"3"	"4"	"0"	"1"	"4"	"1"	"1"	"6"	"2"	"7"	"4"	"550"	""	"550"	""	""
"112"	"7"	""	"75"	"7"	"208"	"134"	""	"2"	"12"	"3"	"0"	"5"	"1"	"1"	"0"	"0"	"0"	"10"	"0"	"6"	"1"	"2"	"1"	"1"	"0"	"2"	"1"	"0"	"0"	"1"	"0"	"2"	"3"	"4"	"20"	"427"	""	"427"	""	""
"113"	"8"	""	"76"	"4"	"74"	"341"	""	"5"	"5"	"4"	"1"	"3"	"0"	"1"	"0"	"2"	"6"	"7"	"3"	"3"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"7"	"475"	""	"475"	""	""
"114"	"9"	""	"77"	"2"	"105"	"128"	""	"3"	"4"	"22"	"0"	"0"	"0"	"1"	"2"	"2"	"8"	"6"	"3"	"8"	"3"	"5"	"2"	"0"	"1"	"1"	"2"	"0"	"2"	"1"	"2"	"4"	"3"	"11"	"302"	"633"	""	"633"	""	""
"115"	"10"	""	"78"	"12"	"62"	"172"	""	"8"	"11"	"118"	"3"	"3"	"0"	"7"	"1"	"0"	"0"	"5"	"3"	"32"	"0"	"1"	"3"	"0"	"0"	"6"	"2"	"0"	"2"	"0"	"1"	"38"	"4"	"6"	"8"	"508"	""	"508"	""	""
"116"	"11"	""	"79"	"3"	"159"	"336"	""	"5"	"28"	"97"	"4"	"2"	"2"	"2"	"0"	"3"	"1"	"1"	"9"	"8"	"1"	"12"	"4"	"1"	"2"	"5"	"3"	"4"	"2"	"1"	"0"	"9"	"1"	"5"	"70"	"780"	""	"780"	""	""
"117"	"12"	""	"80"	"6"	"183"	"245"	""	"4"	"4"	"31"	"1"	"1"	"0"	"0"	"5"	"1"	"1"	"1"	"2"	"15"	"2"	"3"	"2"	"0"	"3"	"2"	"1"	"1"	"0"	"4"	"3"	"26"	"3"	"6"	"27"	"583"	""	"583"	""	""
"118"	"13"	""	"81"	"1"	"92"	"4"	""	"0"	"10"	"200"	"2"	"2"	"2"	"3"	"3"	"2"	"2"	"2"	"2"	"12"	"1"	"2"	"0"	"1"	"3"	"3"	"1"	"1"	"2"	"0"	"3"	"2"	"1"	"7"	"104"	"470"	""	"470"	""	""
"119"	"14"	""	"82"	"0"	"41"	"1"	""	"0"	"9"	"200"	"4"	"1"	"1"	"5"	"0"	"0"	"0"	"2"	"2"	"5"	"1"	"3"	"0"	"0"	"1"	"3"	"2"	"2"	"1"	"1"	"1"	"0"	"0"	"0"	"31"	"317"	""	"317"	""	""
"120"	"1"	""	"83"	"3"	"118"	"241"	""	"2"	"45"	"129"	"3"	"4"	"0"	"51"	"2"	"0"	"1"	"0"	"2"	"23"	"3"	"2"	"4"	"3"	"1"	"2"	"1"	"0"	"1"	"8"	"0"	"10"	"2"	"2"	"2"	"665"	""	"665"	""	""
"121"	"2"	""	"84"	"6"	"325"	"78"	""	"3"	"14"	"67"	"3"	"2"	"2"	"2"	"2"	"0"	"2"	"0"	"3"	"78"	"3"	"2"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"46"	"4"	"7"	"36"	"688"	""	"688"	""	""
"122"	"3"	""	"85"	"5"	"75"	"370"	""	"4"	"33"	"39"	"2"	"1"	"6"	"66"	"3"	"0"	"0"	"1"	"2"	"47"	"1"	"1"	"1"	"1"	"0"	"1"	"2"	"0"	"1"	"2"	"0"	"1"	"0"	"1"	"8"	"674"	""	"674"	""	""
"123"	"4"	""	"86"	"2"	"302"	"10"	""	"0"	"26"	"156"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"6"	"0"	"2"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"5"	"6"	"523"	""	"523"	""	""
"124"	"5"	""	"87"	"4"	"102"	"195"	""	"3"	"14"	"1"	"1"	"1"	"1"	"0"	"0"	"3"	"0"	"4"	"0"	"10"	"2"	"0"	"1"	"0"	"1"	"2"	"1"	"0"	"3"	"1"	"0"	"1"	"3"	"3"	"8"	"365"	""	"365"	""	""
"125"	"6"	""	"88"	"20"	"46"	"230"	""	"1"	"14"	"12"	"2"	"0"	"3"	"1"	"1"	"0"	"1"	"0"	"0"	"73"	"0"	"3"	"0"	"1"	"2"	"1"	"1"	"0"	"0"	"0"	"2"	"1"	"1"	"1"	"6"	"423"	""	"423"	""	""
"126"	"7"	""	"89"	"3"	"3"	"140"	""	"3"	"28"	"8"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"2"	"0"	"3"	"1"	"0"	"2"	"1"	"1"	"0"	"0"	"2"	"5"	"3"	"0"	"9"	"218"	""	"218"	""	""
"127"	"8"	""	"90"	"1"	"54"	"221"	""	"3"	"20"	"1"	"1"	"3"	"2"	"1"	"1"	"2"	"0"	"0"	"0"	"25"	"2"	"1"	"4"	"0"	"1"	"3"	"2"	"1"	"0"	"1"	"0"	"5"	"0"	"3"	"5"	"363"	""	"363"	""	""
"128"	"FORM-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	"[See Rule 56  (7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"                                                                                      final result sheet                                                                                       "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"Election to the Bihar Legislative Assmebly from the 208-SASARAM A.C."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"132"	"part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"Total No. of Electors in Assembly Constituency-275379"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	""	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"tes"	""	""	""	""
"135"	"Table Number"	""	"Sl. No. of Polling Station"	"ATENDRA KUMAR SINGH"	"DR. ASHOK KUMAR"	"JAWAHAR PRASAD"	""	"BABU RAM SINGH"	"RAJ SHEKHAR"	"SARWAR ALI KHAN"	"KALINDRA SINGH"	"JYOTI RASHMI"	"DEEPAK KUMAR SRIVASTVA"	"PARMANAND SINGH KUSHWAHA"	"FUL MAN SINGH"	"BHOLA SINGH"	"MUNSHI CHANDRABANSHI"	"RAJ KISHOR MISHRA"	"RAJNATH MAHTO"	"SATENDRA SAH"	"AJAY KUMAR"	"KEDAR RAM"	"GOPAL PRASAD ALIAS GOPAL SAH"	"NAND KISHOR SINGH"	"VINOD KUMAR PANDEY"	"BIHARI KUMAR"	"BHARAT RAM"	"YAMUNA CHAUDHARY"	"RAM ADHIN BHARTI"	"SHASHI BHUSHAN CHOUDHARY"	"SANGRAM SINGH"	"SANJAY KUMAR (KARAN SARAI)"	"SANJAY KUMAR (BRAHMANTOLI)"	"SATYENDRA KUMAR"	"SALAMAT ANSARI"	"otal No. of valid vo"	""	"Total"	"Total No. of tend
votes"	""
"136"	""	""	""	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"T"	""	""	""	""
"137"	"9"	""	"90d"	"1"	"72"	"204"	""	"3"	"5"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"11"	"3"	"2"	"3"	"1"	"1"	"2"	"1"	"0"	"0"	"2"	"1"	"3"	"2"	"1"	"3"	"322"	""	"322"	""	""
"138"	"10"	""	"91"	"0"	"29"	"190"	""	"0"	"1"	"29"	"1"	"0"	"0"	"0"	"1"	"0"	"3"	"0"	"0"	"14"	"1"	"0"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"5"	"1"	"0"	"3"	"282"	""	"282"	""	""
"139"	"11"	""	"92"	"1"	"68"	"122"	""	"2"	"6"	"18"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"6"	"33"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"8"	"2"	"1"	"2"	"278"	""	"278"	""	""
"140"	"12"	""	"93"	"10"	"56"	"221"	""	"5"	"15"	"19"	"2"	"2"	"2"	"1"	"1"	"1"	"3"	"1"	"3"	"126"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"1"	"8"	"485"	""	"485"	""	""
"141"	"13"	""	"94"	"5"	"102"	"211"	""	"7"	"6"	"32"	"1"	"1"	"4"	"1"	"19"	"2"	"4"	"2"	"4"	"60"	"4"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"1"	"4"	"6"	"482"	""	"482"	""	""
"142"	"14"	""	"95"	"2"	"86"	"440"	""	"4"	"27"	"4"	"0"	"1"	"0"	"1"	"1"	"1"	"2"	"3"	"3"	"26"	"2"	"0"	"22"	"1"	"0"	"5"	"2"	"0"	"1"	"1"	"1"	"8"	"1"	"1"	"4"	"650"	""	"650"	""	""
"143"	"1"	""	"96"	"6"	"50"	"200"	""	"6"	"7"	"2"	"0"	"2"	"0"	"0"	"3"	"3"	"1"	"0"	"2"	"125"	"0"	"2"	"7"	"0"	"0"	"2"	"4"	"2"	"1"	"0"	"1"	"4"	"0"	"3"	"8"	"441"	""	"441"	""	""
"144"	"2"	""	"97"	"3"	"147"	"199"	""	"4"	"3"	"1"	"1"	"2"	"0"	"1"	"1"	"2"	"5"	"5"	"1"	"53"	"2"	"5"	"3"	"3"	"2"	"4"	"0"	"4"	"5"	"0"	"3"	"8"	"7"	"5"	"12"	"491"	""	"491"	""	""
"145"	"3"	""	"98"	"1"	"67"	"259"	""	"1"	"3"	"0"	"0"	"1"	"1"	"0"	"1"	"2"	"0"	"3"	"1"	"81"	"0"	"1"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"3"	"0"	"3"	"3"	"435"	""	"435"	""	""
"146"	"4"	""	"99"	"2"	"200"	"130"	""	"4"	"12"	"1"	"2"	"0"	"0"	"1"	"1"	"2"	"1"	"1"	"1"	"116"	"9"	"7"	"12"	"3"	"3"	"8"	"2"	"2"	"3"	"1"	"1"	"5"	"8"	"15"	"64"	"617"	""	"617"	""	""
"147"	"5"	""	"100"	"3"	"12"	"229"	""	"1"	"6"	"2"	"0"	"0"	"54"	"0"	"0"	"0"	"0"	"10"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"3"	"322"	""	"322"	""	""
"148"	"6"	""	"101"	"0"	"36"	"312"	""	"2"	"34"	"1"	"0"	"1"	"33"	"0"	"0"	"1"	"2"	"0"	"0"	"4"	"0"	"0"	"2"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"434"	""	"434"	""	""
"149"	"7"	""	"102"	"1"	"59"	"342"	""	"5"	"16"	"3"	"0"	"0"	"3"	"1"	"2"	"1"	"0"	"0"	"1"	"14"	"0"	"0"	"1"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"0"	"0"	"456"	""	"456"	""	""
"150"	"8"	""	"103"	"4"	"82"	"251"	""	"3"	"22"	"2"	"3"	"2"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"10"	"0"	"3"	"0"	"1"	"1"	"5"	"1"	"1"	"0"	"0"	"1"	"2"	"1"	"0"	"1"	"399"	""	"399"	""	""
"151"	"9"	""	"104"	"1"	"96"	"215"	""	"3"	"20"	"1"	"2"	"0"	"8"	"0"	"1"	"0"	"0"	"0"	"1"	"7"	"3"	"2"	"1"	"0"	"0"	"2"	"1"	"0"	"1"	"1"	"0"	"6"	"2"	"14"	"13"	"401"	""	"401"	""	""
"152"	"10"	""	"105"	"3"	"126"	"248"	""	"0"	"15"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"1"	"0"	"12"	"2"	"4"	"2"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"2"	"7"	"6"	"440"	""	"440"	""	""
"153"	"11"	""	"106"	"0"	"74"	"319"	""	"3"	"31"	"0"	"0"	"0"	"21"	"0"	"0"	"0"	"0"	"0"	"2"	"6"	"0"	"1"	"4"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"9"	"473"	""	"473"	""	""
"154"	"12"	""	"107"	"0"	"122"	"98"	""	"0"	"19"	"0"	"1"	"0"	"20"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"12"	"0"	"273"	""	"273"	""	""
"155"	"13"	""	"108"	"7"	"68"	"266"	""	"2"	"35"	"2"	"0"	"0"	"16"	"0"	"1"	"0"	"0"	"0"	"0"	"3"	"3"	"1"	"1"	"0"	"4"	"0"	"0"	"1"	"0"	"1"	"0"	"3"	"0"	"0"	"4"	"418"	""	"418"	""	""
"156"	"14"	""	"109"	"1"	"39"	"253"	""	"1"	"24"	"2"	"0"	"1"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"1"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"2"	"374"	""	"374"	""	""
"157"	"1"	""	"110"	"8"	"50"	"166"	""	"3"	"22"	"0"	"4"	"0"	"4"	"0"	"2"	"0"	"0"	"4"	"0"	"4"	"3"	"4"	"2"	"3"	"0"	"3"	"1"	"0"	"2"	"2"	"3"	"4"	"6"	"1"	"0"	"301"	""	"301"	""	""
"158"	"2"	""	"111"	"0"	"41"	"181"	""	"1"	"10"	"6"	"0"	"0"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"3"	"268"	""	"268"	""	""
"159"	"3"	""	"112"	"0"	"37"	"183"	""	"0"	"16"	"0"	"0"	"0"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"2"	"1"	"265"	""	"265"	""	""
"160"	"FORM-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"[See Rule 56  (7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
