"Candidate.s..Name"	"ANANT.KUMAR.SATYARTHY"	"PRITAM.SINGH"	"RAKESH.KUMAR"	"RAJEEV.RANJAN.SINGH"	"SHABNAM.PERWIN"	"KAILASH.SINGH.NISHAD"	"CHHAVI.KUMAR"	"ZAFAR.AHMAD"	"TRIDEO.SINGH"	"MANOJ.KUMAR.YADAY"	"RAMDEO.SINGH.YADAV"	"RAMBILASH.NISHAD"	"VIRENDRA.BHARTI"	"SUNIL.SOLANKI..SAHA."	"UCHIT.KUMAR"	"DASRATH.DAS"	"DEVAN.YADAV"	"NACHI.KETA"	"MUKESH.KUMAR.SINGH"	"SUNIL.KUMAR"	"Total"
"1"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"-----
>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"69"	"267"	"35"	"2"	"1"	"372"	"3"	"5"	"3"	"2"	"1"	"0"	"3"	"44"	"8"	"2"	"13"	"4"	"1"	"0"	"1"	"767"
"178"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"70"	"120"	"21"	"0"	"1"	"199"	"0"	"1"	"1"	"0"	"0"	"0"	"3"	"12"	"0"	"0"	"6"	"2"	"1"	"1"	"0"	"368"
"180"	"Candidate s  Name"	"ANANT KUMAR SATYARTHY"	"PRITAM SINGH"	"RAKESH KUMAR"	"RAJEEV RANJAN SINGH"	"SHABNAM PERWIN"	"KAILASH SINGH NISHAD"	"CHHAVI KUMAR"	"ZAFAR AHMAD"	"TRIDEO SINGH"	"MANOJ KUMAR YADAY"	"RAMDEO SINGH YADAV"	"RAMBILASH NISHAD"	"VIRENDRA BHARTI"	"SUNIL SOLANKI (SAHA)"	"UCHIT KUMAR"	"DASRATH DAS"	"DEVAN YADAV"	"NACHI KETA"	"MUKESH KUMAR SINGH"	"SUNIL KUMAR"	"Total"
"181"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"182"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"183"	"-----
>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"184"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"185"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"186"	"71"	"300"	"6"	"0"	"1"	"202"	"2"	"1"	"1"	"1"	"0"	"1"	"1"	"32"	"3"	"1"	"3"	"15"	"4"	"1"	"5"	"580"
"187"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"188"	"72"	"96"	"15"	"1"	"0"	"236"	"0"	"2"	"2"	"0"	"0"	"3"	"0"	"13"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"369"
"189"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"190"	"73"	"235"	"14"	"2"	"0"	"147"	"2"	"2"	"0"	"0"	"0"	"2"	"2"	"50"	"3"	"3"	"4"	"0"	"13"	"0"	"2"	"481"
"191"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"192"	"74"	"65"	"4"	"0"	"1"	"161"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"15"	"1"	"0"	"2"	"2"	"0"	"0"	"1"	"254"
"193"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"194"	"75"	"253"	"18"	"0"	"0"	"192"	"1"	"2"	"0"	"0"	"0"	"0"	"3"	"30"	"5"	"0"	"2"	"4"	"3"	"0"	"2"	"515"
"195"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"196"	"76"	"50"	"9"	"1"	"2"	"348"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"4"	"0"	"0"	"0"	"1"	"0"	"0"	"3"	"422"
"197"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"77"	"90"	"60"	"0"	"1"	"194"	"1"	"3"	"0"	"1"	"0"	"2"	"0"	"17"	"1"	"2"	"2"	"1"	"1"	"0"	"0"	"376"
"199"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"78"	"404"	"19"	"1"	"2"	"132"	"2"	"3"	"1"	"1"	"1"	"4"	"3"	"85"	"1"	"2"	"13"	"9"	"6"	"0"	"6"	"695"
"201"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"79"	"471"	"12"	"1"	"1"	"34"	"0"	"2"	"0"	"2"	"0"	"0"	"1"	"50"	"5"	"0"	"8"	"1"	"1"	"3"	"1"	"593"
"203"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"80"	"454"	"16"	"0"	"1"	"73"	"1"	"6"	"1"	"1"	"0"	"2"	"0"	"43"	"3"	"1"	"10"	"12"	"1"	"0"	"5"	"630"
"205"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"206"	"81"	"223"	"22"	"0"	"1"	"129"	"2"	"1"	"1"	"1"	"0"	"1"	"1"	"49"	"6"	"1"	"4"	"11"	"1"	"0"	"1"	"455"
"207"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"208"	"82"	"171"	"20"	"0"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"16"	"1"	"1"	"6"	"0"	"0"	"0"	"0"	"226"
"209"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"83"	"442"	"23"	"1"	"1"	"17"	"0"	"0"	"1"	"1"	"1"	"1"	"2"	"38"	"1"	"0"	"4"	"2"	"10"	"6"	"0"	"551"
"211"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"212"	"84"	"285"	"20"	"0"	"2"	"74"	"0"	"2"	"1"	"1"	"1"	"0"	"2"	"50"	"2"	"0"	"7"	"1"	"0"	"0"	"0"	"448"
"213"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"214"	"85"	"399"	"24"	"0"	"0"	"41"	"1"	"3"	"2"	"0"	"0"	"0"	"1"	"51"	"3"	"0"	"3"	"5"	"0"	"4"	"5"	"542"
"215"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"216"	"Candidate s  Name"	"ANANT KUMAR SATYARTHY"	"PRITAM SINGH"	"RAKESH KUMAR"	"RAJEEV RANJAN SINGH"	"SHABNAM PERWIN"	"KAILASH SINGH NISHAD"	"CHHAVI KUMAR"	"ZAFAR AHMAD"	"TRIDEO SINGH"	"MANOJ KUMAR YADAY"	"RAMDEO SINGH YADAV"	"RAMBILASH NISHAD"	"VIRENDRA BHARTI"	"SUNIL SOLANKI (SAHA)"	"UCHIT KUMAR"	"DASRATH DAS"	"DEVAN YADAV"	"NACHI KETA"	"MUKESH KUMAR SINGH"	"SUNIL KUMAR"	"Total"
"217"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"218"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"-----
>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"221"	"86"	"303"	"20"	"0"	"1"	"37"	"1"	"3"	"8"	"0"	"1"	"1"	"1"	"72"	"4"	"2"	"10"	"3"	"0"	"0"	"0"	"467"
"222"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"87"	"347"	"12"	"0"	"0"	"40"	"0"	"2"	"0"	"1"	"0"	"0"	"2"	"42"	"1"	"1"	"1"	"4"	"2"	"1"	"5"	"461"
"224"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"88"	"211"	"4"	"1"	"1"	"123"	"2"	"1"	"1"	"1"	"0"	"0"	"2"	"30"	"2"	"1"	"2"	"1"	"0"	"0"	"1"	"384"
"226"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"89"	"111"	"11"	"0"	"1"	"93"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"12"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"232"
"228"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"90"	"238"	"20"	"1"	"0"	"180"	"0"	"0"	"0"	"1"	"0"	"2"	"1"	"47"	"5"	"1"	"9"	"7"	"2"	"1"	"5"	"520"
"230"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"91"	"396"	"6"	"0"	"1"	"50"	"0"	"0"	"1"	"1"	"0"	"1"	"5"	"47"	"1"	"0"	"11"	"0"	"0"	"0"	"1"	"521"
"232"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"92"	"334"	"14"	"0"	"1"	"90"	"0"	"4"	"0"	"0"	"0"	"1"	"2"	"94"	"3"	"2"	"2"	"11"	"3"	"2"	"1"	"564"
"234"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"235"	"93"	"231"	"36"	"0"	"2"	"104"	"2"	"4"	"1"	"0"	"0"	"1"	"2"	"54"	"3"	"0"	"7"	"8"	"1"	"1"	"1"	"458"
"236"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"237"	"94"	"323"	"25"	"0"	"3"	"112"	"4"	"4"	"0"	"2"	"0"	"1"	"3"	"66"	"2"	"0"	"6"	"2"	"4"	"0"	"0"	"557"
"238"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"95"	"186"	"19"	"0"	"0"	"68"	"1"	"3"	"1"	"0"	"2"	"3"	"23"	"76"	"6"	"2"	"2"	"3"	"3"	"1"	"8"	"407"
"240"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"95A"	"191"	"18"	"1"	"3"	"78"	"1"	"3"	"3"	"1"	"0"	"0"	"32"	"62"	"5"	"1"	"4"	"5"	"0"	"2"	"6"	"416"
"242"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"96"	"290"	"13"	"1"	"2"	"41"	"0"	"3"	"1"	"0"	"1"	"1"	"2"	"87"	"4"	"2"	"9"	"5"	"0"	"0"	"0"	"462"
"244"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"97"	"300"	"13"	"2"	"3"	"226"	"1"	"4"	"1"	"2"	"1"	"0"	"2"	"73"	"6"	"6"	"11"	"4"	"0"	"0"	"0"	"655"
"246"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	"98"	"269"	"7"	"0"	"2"	"194"	"2"	"3"	"2"	"1"	"1"	"4"	"4"	"79"	"2"	"4"	"10"	"5"	"1"	"1"	"0"	"591"
"248"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"99"	"339"	"15"	"1"	"0"	"49"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"60"	"3"	"3"	"7"	"1"	"0"	"0"	"0"	"480"
"250"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"100"	"339"	"9"	"1"	"0"	"46"	"0"	"1"	"2"	"2"	"2"	"0"	"3"	"68"	"4"	"2"	"12"	"3"	"1"	"1"	"4"	"500"
"252"	"Candidate s  Name"	"ANANT KUMAR SATYARTHY"	"PRITAM SINGH"	"RAKESH KUMAR"	"RAJEEV RANJAN SINGH"	"SHABNAM PERWIN"	"KAILASH SINGH NISHAD"	"CHHAVI KUMAR"	"ZAFAR AHMAD"	"TRIDEO SINGH"	"MANOJ KUMAR YADAY"	"RAMDEO SINGH YADAV"	"RAMBILASH NISHAD"	"VIRENDRA BHARTI"	"SUNIL SOLANKI (SAHA)"	"UCHIT KUMAR"	"DASRATH DAS"	"DEVAN YADAV"	"NACHI KETA"	"MUKESH KUMAR SINGH"	"SUNIL KUMAR"	"Total"
"253"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"-----
>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"256"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"257"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"101"	"384"	"24"	"0"	"0"	"76"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"61"	"2"	"0"	"7"	"4"	"0"	"0"	"1"	"562"
"259"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"102"	"405"	"10"	"0"	"0"	"53"	"2"	"0"	"0"	"0"	"0"	"0"	"4"	"51"	"3"	"0"	"3"	"3"	"0"	"4"	"0"	"538"
"261"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"262"	"103"	"271"	"31"	"2"	"0"	"74"	"1"	"2"	"1"	"0"	"0"	"1"	"2"	"90"	"5"	"0"	"2"	"1"	"1"	"0"	"2"	"486"
"263"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"264"	"104"	"168"	"7"	"0"	"2"	"88"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"55"	"3"	"0"	"5"	"2"	"0"	"1"	"0"	"334"
"265"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"105"	"225"	"12"	"1"	"0"	"87"	"1"	"4"	"1"	"0"	"0"	"1"	"2"	"54"	"2"	"4"	"18"	"7"	"0"	"1"	"0"	"420"
"267"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"268"	"106"	"119"	"7"	"1"	"1"	"436"	"8"	"1"	"0"	"1"	"1"	"2"	"6"	"49"	"9"	"4"	"3"	"5"	"1"	"1"	"2"	"657"
"269"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"270"	"107"	"370"	"14"	"0"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"60"	"7"	"0"	"5"	"5"	"4"	"1"	"0"	"477"
"271"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"272"	"108"	"247"	"10"	"0"	"1"	"11"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"51"	"2"	"1"	"3"	"6"	"0"	"0"	"1"	"335"
"273"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"109"	"306"	"4"	"0"	"2"	"21"	"1"	"2"	"0"	"0"	"1"	"18"	"2"	"59"	"4"	"1"	"3"	"1"	"1"	"1"	"1"	"428"
"275"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"110"	"328"	"21"	"1"	"0"	"38"	"1"	"2"	"0"	"0"	"0"	"0"	"2"	"25"	"1"	"2"	"3"	"1"	"0"	"4"	"0"	"429"
"277"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"111"	"350"	"15"	"0"	"0"	"30"	"2"	"2"	"0"	"1"	"0"	"1"	"6"	"79"	"0"	"0"	"6"	"2"	"0"	"4"	"0"	"498"
"279"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"112"	"286"	"14"	"0"	"4"	"41"	"1"	"0"	"0"	"0"	"0"	"1"	"5"	"57"	"4"	"1"	"6"	"5"	"3"	"0"	"2"	"430"
"281"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"282"	"112A"	"268"	"7"	"0"	"0"	"19"	"0"	"1"	"1"	"2"	"0"	"0"	"0"	"43"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"345"
"283"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"284"	"113"	"90"	"8"	"1"	"1"	"257"	"5"	"1"	"0"	"3"	"0"	"13"	"2"	"16"	"1"	"1"	"8"	"2"	"2"	"1"	"4"	"416"
"285"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"114"	"419"	"7"	"1"	"1"	"19"	"1"	"1"	"0"	"1"	"1"	"1"	"2"	"111"	"7"	"0"	"16"	"21"	"3"	"0"	"2"	"614"
"287"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"Candidate s  Name"	"ANANT KUMAR SATYARTHY"	"PRITAM SINGH"	"RAKESH KUMAR"	"RAJEEV RANJAN SINGH"	"SHABNAM PERWIN"	"KAILASH SINGH NISHAD"	"CHHAVI KUMAR"	"ZAFAR AHMAD"	"TRIDEO SINGH"	"MANOJ KUMAR YADAY"	"RAMDEO SINGH YADAV"	"RAMBILASH NISHAD"	"VIRENDRA BHARTI"	"SUNIL SOLANKI (SAHA)"	"UCHIT KUMAR"	"DASRATH DAS"	"DEVAN YADAV"	"NACHI KETA"	"MUKESH KUMAR SINGH"	"SUNIL KUMAR"	"Total"
"289"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"-----
>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"292"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"293"	"115"	"461"	"7"	"0"	"1"	"60"	"2"	"3"	"0"	"0"	"1"	"1"	"3"	"82"	"8"	"1"	"10"	"7"	"0"	"1"	"2"	"650"
"294"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"295"	"116"	"536"	"11"	"2"	"2"	"44"	"1"	"0"	"1"	"1"	"1"	"2"	"5"	"95"	"3"	"2"	"14"	"9"	"0"	"1"	"1"	"731"
"296"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"297"	"117"	"245"	"10"	"2"	"2"	"5"	"1"	"2"	"0"	"0"	"0"	"2"	"1"	"64"	"2"	"0"	"2"	"8"	"2"	"6"	"7"	"361"
"298"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"118"	"347"	"8"	"0"	"0"	"12"	"2"	"3"	"2"	"0"	"0"	"1"	"4"	"81"	"7"	"8"	"19"	"8"	"0"	"1"	"6"	"509"
"300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"119"	"188"	"25"	"2"	"1"	"90"	"2"	"7"	"2"	"2"	"5"	"4"	"10"	"78"	"7"	"3"	"19"	"15"	"5"	"4"	"126"	"595"
"302"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"303"	"120"	"309"	"19"	"2"	"1"	"77"	"2"	"2"	"1"	"1"	"1"	"2"	"3"	"59"	"3"	"3"	"4"	"8"	"4"	"2"	"1"	"504"
"304"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"305"	"120A"	"229"	"6"	"0"	"3"	"37"	"1"	"2"	"1"	"1"	"0"	"0"	"2"	"51"	"4"	"4"	"11"	"7"	"2"	"0"	"5"	"366"
"306"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"307"	"121"	"217"	"113"	"1"	"0"	"9"	"0"	"1"	"1"	"2"	"1"	"5"	"0"	"26"	"1"	"1"	"0"	"2"	"4"	"0"	"0"	"384"
"308"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"309"	"122"	"44"	"2"	"2"	"4"	"334"	"6"	"4"	"2"	"2"	"3"	"1"	"8"	"2"	"1"	"0"	"1"	"2"	"1"	"2"	"7"	"428"
"310"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"311"	"123"	"281"	"16"	"0"	"3"	"381"	"6"	"6"	"2"	"0"	"1"	"7"	"7"	"30"	"2"	"2"	"19"	"4"	"1"	"2"	"2"	"772"
"312"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"124"	"328"	"7"	"0"	"6"	"226"	"7"	"3"	"2"	"1"	"0"	"2"	"6"	"35"	"5"	"3"	"8"	"8"	"1"	"1"	"1"	"650"
"314"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"315"	"125"	"16"	"3"	"2"	"1"	"456"	"7"	"1"	"0"	"0"	"0"	"0"	"4"	"6"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"497"
"316"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"317"	"126"	"182"	"6"	"0"	"3"	"339"	"1"	"0"	"2"	"3"	"0"	"1"	"6"	"33"	"3"	"1"	"4"	"0"	"0"	"1"	"2"	"587"
"318"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"319"	"127"	"16"	"12"	"0"	"1"	"253"	"4"	"0"	"0"	"0"	"0"	"0"	"2"	"4"	"0"	"2"	"6"	"0"	"0"	"0"	"0"	"300"
"320"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"321"	"128"	"377"	"52"	"0"	"2"	"48"	"1"	"8"	"2"	"0"	"1"	"1"	"0"	"60"	"3"	"0"	"4"	"8"	"3"	"10"	"0"	"580"
"322"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"323"	"129"	"341"	"64"	"1"	"0"	"12"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"59"	"5"	"2"	"5"	"3"	"4"	"2"	"0"	"502"
"324"	"Candidate s  Name"	"ANANT KUMAR SATYARTHY"	"PRITAM SINGH"	"RAKESH KUMAR"	"RAJEEV RANJAN SINGH"	"SHABNAM PERWIN"	"KAILASH SINGH NISHAD"	"CHHAVI KUMAR"	"ZAFAR AHMAD"	"TRIDEO SINGH"	"MANOJ KUMAR YADAY"	"RAMDEO SINGH YADAV"	"RAMBILASH NISHAD"	"VIRENDRA BHARTI"	"SUNIL SOLANKI (SAHA)"	"UCHIT KUMAR"	"DASRATH DAS"	"DEVAN YADAV"	"NACHI KETA"	"MUKESH KUMAR SINGH"	"SUNIL KUMAR"	"Total"
"325"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"326"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"327"	"-----
>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"328"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"329"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"330"	"130"	"50"	"8"	"2"	"1"	"740"	"10"	"2"	"0"	"0"	"0"	"3"	"7"	"14"	"0"	"1"	"5"	"0"	"0"	"0"	"1"	"844"
"331"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"332"	"131"	"87"	"10"	"0"	"1"	"399"	"5"	"1"	"0"	"0"	"0"	"1"	"0"	"29"	"2"	"0"	"6"	"0"	"0"	"0"	"1"	"542"
"333"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"334"	"132"	"224"	"12"	"2"	"3"	"203"	"4"	"4"	"1"	"3"	"0"	"3"	"6"	"58"	"5"	"1"	"12"	"13"	"2"	"1"	"3"	"560"
"335"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"336"	"133"	"232"	"36"	"4"	"0"	"133"	"4"	"4"	"1"	"0"	"0"	"0"	"0"	"38"	"4"	"0"	"4"	"2"	"2"	"1"	"0"	"465"
"337"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"338"	"134"	"59"	"56"	"1"	"2"	"232"	"1"	"2"	"1"	"1"	"0"	"1"	"0"	"25"	"3"	"3"	"4"	"4"	"3"	"1"	"1"	"400"
"339"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"340"	"135"	"122"	"65"	"2"	"4"	"273"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"25"	"5"	"1"	"2"	"1"	"0"	"2"	"2"	"507"
"341"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"342"	"136"	"127"	"14"	"1"	"0"	"168"	"1"	"3"	"0"	"0"	"1"	"0"	"3"	"24"	"1"	"0"	"3"	"2"	"0"	"1"	"0"	"349"
"343"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"344"	"137"	"125"	"66"	"0"	"2"	"255"	"5"	"8"	"1"	"5"	"0"	"1"	"2"	"19"	"4"	"5"	"14"	"4"	"0"	"2"	"1"	"519"
"345"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"346"	"138"	"191"	"20"	"0"	"1"	"32"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"35"	"0"	"0"	"2"	"2"	"0"	"0"	"0"	"287"
"347"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"348"	"139"	"479"	"21"	"2"	"2"	"5"	"0"	"0"	"1"	"0"	"0"	"2"	"2"	"34"	"6"	"1"	"12"	"12"	"26"	"6"	"1"	"612"
"349"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"350"	"140"	"339"	"35"	"2"	"3"	"5"	"1"	"2"	"0"	"3"	"2"	"2"	"14"	"78"	"3"	"2"	"18"	"10"	"7"	"0"	"1"	"527"
"351"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"352"	"141"	"448"	"54"	"5"	"1"	"20"	"2"	"1"	"0"	"2"	"1"	"0"	"6"	"33"	"4"	"5"	"44"	"36"	"5"	"2"	"1"	"670"
"353"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
