"Serial.No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"146"	"137"	"45"	"4"	"2"	"1"	"2"	"36"	"0"	"0"	"2"	"0"	"0"	"3"	"1"	"39"	"1"	"22"	"158"	"0"	"158"	"0"
"147"	"138"	"122"	"4"	"4"	"3"	"5"	"125"	"5"	"3"	"8"	"9"	"9"	"22"	"3"	"16"	"53"	"32"	"423"	"0"	"423"	"0"
"148"	"139"	"189"	"11"	"22"	"3"	"1"	"110"	"6"	"3"	"2"	"4"	"10"	"7"	"0"	"2"	"7"	"9"	"386"	"0"	"386"	"0"
"149"	"140"	"235"	"1"	"0"	"0"	"1"	"222"	"1"	"0"	"3"	"1"	"3"	"2"	"0"	"7"	"35"	"30"	"541"	"0"	"541"	"0"
"150"	"141"	"106"	"1"	"0"	"2"	"0"	"91"	"1"	"0"	"1"	"0"	"0"	"2"	"1"	"6"	"39"	"54"	"304"	"0"	"304"	"0"
"151"	"142"	"18"	"1"	"8"	"2"	"2"	"402"	"2"	"1"	"13"	"7"	"32"	"3"	"9"	"26"	"3"	"102"	"631"	"0"	"631"	"0"
"152"	"143"	"8"	"2"	"0"	"0"	"3"	"194"	"2"	"1"	"4"	"2"	"2"	"0"	"0"	"2"	"1"	"34"	"255"	"0"	"255"	"0"
"153"	"144"	"305"	"15"	"26"	"8"	"3"	"84"	"3"	"1"	"5"	"8"	"6"	"14"	"5"	"45"	"88"	"29"	"645"	"0"	"645"	"0"
"154"	"145"	"31"	"2"	"0"	"5"	"0"	"57"	"0"	"0"	"2"	"3"	"3"	"1"	"0"	"41"	"2"	"3"	"150"	"0"	"150"	"0"
"155"	"146"	"22"	"0"	"0"	"1"	"1"	"344"	"1"	"0"	"1"	"0"	"9"	"1"	"1"	"0"	"10"	"11"	"402"	"0"	"402"	"0"
"156"	"147"	"96"	"9"	"3"	"4"	"1"	"208"	"2"	"2"	"6"	"6"	"15"	"6"	"6"	"14"	"99"	"31"	"508"	"0"	"508"	"0"
"157"	"148"	"4"	"2"	"1"	"0"	"1"	"90"	"6"	"1"	"4"	"1"	"7"	"0"	"0"	"1"	"1"	"4"	"123"	"0"	"123"	"0"
"158"	"149"	"96"	"8"	"32"	"9"	"8"	"235"	"4"	"5"	"2"	"5"	"4"	"1"	"2"	"8"	"87"	"75"	"581"	"0"	"581"	"0"
"159"	"150"	"251"	"14"	"113"	"2"	"3"	"76"	"1"	"3"	"7"	"10"	"4"	"6"	"1"	"33"	"7"	"11"	"542"	"0"	"542"	"0"
"160"	"151"	"243"	"9"	"175"	"14"	"3"	"37"	"2"	"5"	"4"	"8"	"1"	"3"	"8"	"25"	"38"	"27"	"602"	"0"	"602"	"0"
"161"	"152"	"177"	"9"	"33"	"3"	"7"	"166"	"2"	"0"	"8"	"31"	"15"	"58"	"4"	"13"	"8"	"211"	"745"	"0"	"745"	"0"
"162"	"153"	"61"	"5"	"3"	"2"	"1"	"179"	"7"	"2"	"3"	"73"	"37"	"22"	"3"	"4"	"2"	"139"	"543"	"0"	"543"	"0"
"163"	"154"	"88"	"1"	"1"	"4"	"1"	"60"	"1"	"1"	"2"	"0"	"7"	"0"	"0"	"54"	"4"	"6"	"230"	"0"	"230"	"0"
"164"	"155"	"19"	"8"	"44"	"0"	"1"	"78"	"3"	"0"	"4"	"18"	"29"	"3"	"1"	"1"	"3"	"111"	"323"	"0"	"323"	"0"
"165"	"156"	"149"	"7"	"4"	"6"	"2"	"105"	"3"	"3"	"8"	"91"	"16"	"27"	"7"	"29"	"10"	"60"	"527"	"0"	"527"	"0"
"166"	"157"	"53"	"9"	"104"	"3"	"1"	"99"	"2"	"1"	"8"	"5"	"8"	"7"	"5"	"12"	"1"	"122"	"440"	"0"	"440"	"0"
"167"	"158"	"18"	"1"	"0"	"0"	"0"	"93"	"5"	"1"	"5"	"6"	"9"	"18"	"2"	"3"	"4"	"89"	"254"	"0"	"254"	"0"
"168"	"159"	"85"	"1"	"31"	"4"	"5"	"49"	"0"	"1"	"5"	"24"	"7"	"29"	"1"	"4"	"1"	"32"	"279"	"0"	"279"	"0"
"169"	"160"	"47"	"5"	"12"	"4"	"4"	"74"	"1"	"0"	"4"	"6"	"18"	"12"	"1"	"10"	"4"	"42"	"244"	"0"	"244"	"0"
"170"	"161"	"150"	"10"	"24"	"9"	"3"	"455"	"8"	"1"	"6"	"2"	"8"	"3"	"1"	"16"	"0"	"22"	"718"	"0"	"718"	"0"
"171"	"162"	"66"	"2"	"0"	"1"	"0"	"132"	"4"	"0"	"4"	"2"	"14"	"2"	"2"	"9"	"5"	"6"	"249"	"0"	"249"	"0"
"172"	"163"	"212"	"10"	"5"	"1"	"3"	"51"	"1"	"2"	"3"	"12"	"8"	"7"	"2"	"131"	"8"	"18"	"474"	"0"	"474"	"0"
"173"	"164"	"56"	"3"	"0"	"4"	"5"	"412"	"6"	"3"	"7"	"5"	"10"	"2"	"0"	"7"	"1"	"21"	"542"	"0"	"542"	"0"
"174"	"165"	"127"	"7"	"2"	"1"	"3"	"252"	"3"	"3"	"9"	"4"	"6"	"1"	"3"	"4"	"1"	"27"	"453"	"0"	"453"	"0"
"175"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"176"	""	"ANIL KUMAR"	"MD. IBRAHIM"	"PANCHAM KUMAR"	"SANJEEV SINGH"	"SATISH KUMAR URF RAJU"	"SIDDHARTH"	"ARJUN PRASAD"	"RANDHIR KUMAR"	"RANA RAJU PRATAP SINGH"	"LEELA VERMA"	"BIRENDRA PRASAD"	"AJAY KUMAR"	"RAGHWEN DRA PRASAD"	"RAM JANAMA SHARMA"	"VAIKUNTHA MANJHI"	"SUBHASH PRASAD YADAV"	""	""	""	""
"177"	"166"	"46"	"3"	"0"	"3"	"2"	"358"	"8"	"1"	"15"	"33"	"21"	"3"	"1"	"11"	"2"	"50"	"557"	"0"	"557"	"0"
"178"	"167"	"227"	"5"	"4"	"7"	"3"	"141"	"4"	"2"	"10"	"8"	"8"	"5"	"4"	"11"	"6"	"68"	"513"	"0"	"513"	"0"
"179"	"168"	"22"	"0"	"3"	"1"	"2"	"211"	"2"	"1"	"4"	"1"	"6"	"1"	"1"	"1"	"2"	"25"	"283"	"0"	"283"	"0"
"180"	"169"	"27"	"3"	"2"	"1"	"0"	"208"	"3"	"1"	"7"	"7"	"6"	"2"	"2"	"4"	"3"	"35"	"311"	"0"	"311"	"0"
"181"	"170"	"142"	"0"	"1"	"1"	"2"	"273"	"3"	"0"	"10"	"1"	"8"	"1"	"0"	"14"	"4"	"73"	"533"	"0"	"533"	"0"
"182"	"171"	"230"	"6"	"1"	"5"	"1"	"44"	"1"	"1"	"0"	"1"	"3"	"4"	"3"	"45"	"3"	"19"	"367"	"0"	"367"	"0"
"183"	"172"	"33"	"1"	"0"	"3"	"3"	"186"	"3"	"2"	"5"	"4"	"5"	"1"	"2"	"4"	"5"	"137"	"394"	"0"	"394"	"0"
"184"	"173"	"289"	"8"	"37"	"10"	"0"	"52"	"1"	"0"	"4"	"1"	"3"	"33"	"2"	"13"	"3"	"26"	"482"	"0"	"482"	"0"
"185"	"174"	"81"	"0"	"42"	"4"	"1"	"170"	"10"	"2"	"9"	"2"	"4"	"6"	"5"	"7"	"2"	"68"	"413"	"0"	"413"	"0"
"186"	"175"	"230"	"4"	"66"	"7"	"0"	"101"	"1"	"2"	"7"	"3"	"5"	"7"	"5"	"27"	"14"	"28"	"507"	"0"	"507"	"0"
"187"	"176"	"153"	"8"	"34"	"7"	"14"	"56"	"2"	"0"	"7"	"1"	"1"	"27"	"4"	"21"	"3"	"22"	"360"	"0"	"360"	"0"
"188"	"177"	"45"	"10"	"4"	"0"	"4"	"132"	"1"	"1"	"3"	"1"	"1"	"0"	"1"	"11"	"2"	"72"	"288"	"0"	"288"	"0"
"189"	"178"	"144"	"29"	"14"	"11"	"14"	"306"	"7"	"2"	"9"	"3"	"13"	"14"	"0"	"32"	"5"	"11"	"614"	"0"	"614"	"0"
"190"	"179"	"114"	"41"	"82"	"9"	"4"	"147"	"2"	"2"	"4"	"0"	"3"	"2"	"4"	"31"	"2"	"16"	"463"	"0"	"463"	"0"
"191"	"180"	"114"	"24"	"160"	"14"	"1"	"167"	"3"	"4"	"4"	"6"	"6"	"3"	"2"	"41"	"4"	"34"	"587"	"0"	"587"	"0"
"192"	"181"	"185"	"10"	"75"	"18"	"6"	"106"	"3"	"2"	"5"	"3"	"12"	"13"	"7"	"12"	"2"	"18"	"477"	"0"	"477"	"0"
"193"	"182"	"76"	"2"	"18"	"5"	"5"	"104"	"2"	"2"	"8"	"2"	"29"	"3"	"3"	"4"	"3"	"63"	"329"	"0"	"329"	"0"
"194"	"183"	"401"	"6"	"3"	"75"	"1"	"45"	"2"	"4"	"2"	"4"	"1"	"10"	"3"	"33"	"4"	"11"	"605"	"0"	"605"	"0"
"195"	"184"	"211"	"7"	"40"	"7"	"3"	"38"	"1"	"1"	"5"	"8"	"5"	"5"	"7"	"15"	"8"	"56"	"417"	"0"	"417"	"0"
"196"	"185"	"217"	"3"	"1"	"6"	"1"	"24"	"0"	"0"	"0"	"50"	"1"	"0"	"0"	"43"	"0"	"6"	"352"	"0"	"352"	"0"
"197"	"186"	"183"	"4"	"0"	"11"	"1"	"35"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"18"	"1"	"3"	"261"	"0"	"261"	"0"
"198"	"187"	"130"	"13"	"64"	"7"	"4"	"155"	"5"	"4"	"26"	"106"	"15"	"9"	"6"	"17"	"18"	"49"	"628"	"0"	"628"	"0"
"199"	"188"	"298"	"8"	"49"	"14"	"0"	"53"	"0"	"1"	"4"	"7"	"3"	"12"	"0"	"4"	"9"	"54"	"516"	"0"	"516"	"0"
"200"	"189"	"77"	"10"	"67"	"5"	"2"	"44"	"3"	"2"	"5"	"28"	"17"	"5"	"3"	"4"	"7"	"14"	"293"	"0"	"293"	"0"
"201"	"190"	"192"	"12"	"10"	"14"	"4"	"137"	"4"	"5"	"8"	"102"	"6"	"5"	"10"	"7"	"8"	"49"	"573"	"0"	"573"	"0"
"202"	"191"	"109"	"4"	"56"	"5"	"1"	"27"	"2"	"1"	"5"	"1"	"1"	"0"	"4"	"3"	"4"	"15"	"238"	"0"	"238"	"0"
"203"	"192"	"199"	"8"	"5"	"6"	"3"	"37"	"2"	"6"	"5"	"120"	"6"	"5"	"5"	"2"	"6"	"26"	"441"	"0"	"441"	"0"
"204"	"193"	"109"	"8"	"10"	"2"	"0"	"12"	"2"	"3"	"3"	"145"	"7"	"3"	"1"	"3"	"4"	"13"	"325"	"0"	"325"	"0"
"205"	"194"	"202"	"41"	"98"	"9"	"4"	"56"	"2"	"1"	"9"	"15"	"11"	"22"	"2"	"59"	"4"	"24"	"559"	"0"	"559"	"0"
"206"	"195"	"258"	"1"	"0"	"5"	"3"	"131"	"4"	"1"	"9"	"8"	"6"	"7"	"4"	"111"	"1"	"12"	"561"	"0"	"561"	"0"
"207"	"196"	"39"	"0"	"8"	"9"	"2"	"22"	"4"	"0"	"2"	"2"	"2"	"3"	"3"	"421"	"2"	"5"	"524"	"0"	"524"	"0"
"208"	"197"	"201"	"4"	"74"	"14"	"14"	"56"	"3"	"1"	"9"	"60"	"11"	"3"	"1"	"28"	"4"	"22"	"505"	"0"	"505"	"0"
"209"	"198"	"17"	"7"	"11"	"4"	"1"	"228"	"7"	"3"	"7"	"4"	"16"	"4"	"1"	"9"	"3"	"148"	"470"	"0"	"470"	"0"
"210"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"211"	""	"ANIL KUMAR"	"MD. IBRAHIM"	"PANCHAM KUMAR"	"SANJEEV SINGH"	"SATISH KUMAR URF RAJU"	"SIDDHARTH"	"ARJUN PRASAD"	"RANDHIR KUMAR"	"RANA RAJU PRATAP SINGH"	"LEELA VERMA"	"BIRENDRA PRASAD"	"AJAY KUMAR"	"RAGHWEN DRA PRASAD"	"RAM JANAMA SHARMA"	"VAIKUNTHA MANJHI"	"SUBHASH PRASAD YADAV"	""	""	""	""
"212"	"199"	"107"	"3"	"107"	"8"	"1"	"23"	"0"	"0"	"3"	"3"	"1"	"22"	"9"	"18"	"4"	"132"	"441"	"0"	"441"	"0"
"213"	"200"	"201"	"18"	"170"	"5"	"3"	"64"	"0"	"1"	"12"	"15"	"5"	"3"	"5"	"15"	"6"	"35"	"558"	"0"	"558"	"0"
"214"	"201"	"203"	"32"	"47"	"14"	"1"	"100"	"4"	"4"	"5"	"4"	"4"	"2"	"4"	"110"	"8"	"20"	"562"	"0"	"562"	"0"
"215"	"202"	"231"	"31"	"8"	"7"	"2"	"40"	"1"	"0"	"2"	"5"	"1"	"1"	"2"	"60"	"3"	"51"	"445"	"0"	"445"	"0"
"216"	"203"	"279"	"27"	"54"	"12"	"0"	"66"	"3"	"1"	"6"	"3"	"2"	"2"	"5"	"33"	"2"	"10"	"505"	"0"	"505"	"0"
"217"	"204"	"318"	"12"	"31"	"21"	"2"	"79"	"0"	"3"	"5"	"4"	"15"	"18"	"5"	"28"	"6"	"51"	"598"	"0"	"598"	"0"
"218"	"205"	"83"	"8"	"4"	"9"	"3"	"127"	"0"	"0"	"6"	"2"	"11"	"1"	"4"	"133"	"4"	"7"	"402"	"0"	"402"	"0"
"219"	"206"	"18"	"0"	"59"	"4"	"3"	"48"	"0"	"0"	"9"	"6"	"0"	"3"	"2"	"12"	"4"	"8"	"176"	"0"	"176"	"0"
"220"	"207"	"153"	"5"	"40"	"8"	"1"	"88"	"2"	"2"	"2"	"52"	"7"	"2"	"4"	"62"	"2"	"57"	"487"	"0"	"487"	"0"
"221"	"208"	"55"	"2"	"12"	"4"	"1"	"122"	"4"	"3"	"2"	"2"	"6"	"1"	"4"	"11"	"4"	"194"	"427"	"0"	"427"	"0"
"222"	"209"	"174"	"7"	"54"	"4"	"0"	"75"	"2"	"0"	"7"	"4"	"6"	"2"	"4"	"15"	"5"	"30"	"389"	"0"	"389"	"0"
"223"	"210"	"194"	"9"	"1"	"7"	"0"	"81"	"7"	"0"	"4"	"6"	"9"	"39"	"6"	"18"	"6"	"49"	"436"	"0"	"436"	"0"
"224"	"211"	"249"	"6"	"2"	"7"	"1"	"72"	"0"	"0"	"6"	"0"	"8"	"2"	"6"	"93"	"3"	"25"	"480"	"0"	"480"	"0"
"225"	"212"	"131"	"73"	"51"	"11"	"3"	"170"	"4"	"1"	"9"	"6"	"52"	"7"	"8"	"30"	"5"	"53"	"614"	"0"	"614"	"0"
"226"	"213"	"225"	"27"	"24"	"33"	"10"	"193"	"4"	"2"	"21"	"6"	"9"	"6"	"4"	"48"	"20"	"48"	"680"	"0"	"680"	"0"
"227"	"214"	"381"	"12"	"3"	"14"	"1"	"95"	"0"	"2"	"6"	"1"	"2"	"0"	"3"	"69"	"4"	"15"	"608"	"0"	"608"	"0"
"228"	"215"	"150"	"8"	"19"	"7"	"1"	"166"	"5"	"2"	"10"	"4"	"17"	"10"	"10"	"12"	"1"	"14"	"436"	"0"	"436"	"0"
"229"	"216"	"85"	"8"	"81"	"7"	"3"	"136"	"4"	"3"	"11"	"6"	"5"	"5"	"5"	"6"	"3"	"90"	"458"	"0"	"458"	"0"
"230"	"217"	"215"	"12"	"9"	"5"	"5"	"107"	"0"	"2"	"9"	"2"	"12"	"1"	"2"	"99"	"4"	"36"	"520"	"0"	"520"	"0"
"231"	"218"	"31"	"4"	"244"	"7"	"2"	"21"	"0"	"0"	"1"	"9"	"1"	"1"	"3"	"83"	"0"	"1"	"408"	"0"	"408"	"0"
"232"	"219"	"68"	"4"	"92"	"13"	"0"	"81"	"3"	"1"	"4"	"4"	"8"	"3"	"5"	"64"	"4"	"10"	"364"	"0"	"364"	"0"
"233"	"220"	"57"	"5"	"27"	"6"	"1"	"45"	"1"	"1"	"5"	"2"	"2"	"11"	"7"	"84"	"3"	"26"	"283"	"0"	"283"	"0"
"234"	"221"	"150"	"1"	"20"	"5"	"0"	"29"	"3"	"0"	"2"	"0"	"0"	"1"	"4"	"18"	"1"	"42"	"276"	"0"	"276"	"0"
"235"	"222"	"55"	"4"	"108"	"4"	"2"	"65"	"2"	"1"	"6"	"1"	"4"	"5"	"0"	"5"	"1"	"17"	"280"	"0"	"280"	"0"
"236"	"223"	"159"	"13"	"77"	"5"	"3"	"121"	"2"	"3"	"4"	"5"	"6"	"3"	"6"	"11"	"5"	"110"	"533"	"0"	"533"	"0"
"237"	"224"	"122"	"9"	"117"	"6"	"5"	"87"	"1"	"1"	"8"	"5"	"8"	"9"	"6"	"19"	"5"	"42"	"450"	"0"	"450"	"0"
"238"	"225"	"53"	"5"	"20"	"3"	"3"	"113"	"3"	"2"	"2"	"5"	"13"	"1"	"3"	"15"	"6"	"38"	"285"	"0"	"285"	"0"
"239"	"226"	"129"	"3"	"46"	"11"	"0"	"32"	"0"	"3"	"2"	"2"	"5"	"2"	"1"	"33"	"1"	"21"	"291"	"0"	"291"	"0"
"240"	"227"	"311"	"5"	"110"	"11"	"3"	"174"	"2"	"1"	"13"	"6"	"4"	"11"	"3"	"70"	"6"	"25"	"755"	"0"	"755"	"0"
"241"	"228"	"125"	"7"	"16"	"6"	"0"	"69"	"1"	"0"	"3"	"14"	"6"	"0"	"2"	"38"	"3"	"27"	"317"	"0"	"317"	"0"
"242"	"229"	"184"	"4"	"8"	"6"	"1"	"22"	"0"	"1"	"0"	"1"	"1"	"0"	"5"	"110"	"1"	"20"	"364"	"0"	"364"	"0"
"243"	"230"	"187"	"5"	"28"	"2"	"2"	"56"	"2"	"1"	"5"	"3"	"4"	"2"	"4"	"65"	"7"	"29"	"402"	"0"	"402"	"0"
"244"	"231"	"71"	"12"	"141"	"7"	"1"	"168"	"5"	"1"	"25"	"4"	"4"	"8"	"11"	"20"	"3"	"57"	"538"	"0"	"538"	"0"
"245"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"246"	""	"ANIL KUMAR"	"MD. IBRAHIM"	"PANCHAM KUMAR"	"SANJEEV SINGH"	"SATISH KUMAR URF RAJU"	"SIDDHARTH"	"ARJUN PRASAD"	"RANDHIR KUMAR"	"RANA RAJU PRATAP SINGH"	"LEELA VERMA"	"BIRENDRA PRASAD"	"AJAY KUMAR"	"RAGHWEN DRA PRASAD"	"RAM JANAMA SHARMA"	"VAIKUNTHA MANJHI"	"SUBHASH PRASAD YADAV"	""	""	""	""
"247"	"232"	"231"	"3"	"70"	"5"	"4"	"217"	"4"	"0"	"3"	"0"	"8"	"1"	"3"	"36"	"1"	"10"	"596"	"0"	"596"	"0"
"248"	"233"	"255"	"3"	"36"	"6"	"3"	"82"	"2"	"2"	"8"	"1"	"4"	"49"	"2"	"133"	"4"	"11"	"601"	"0"	"601"	"0"
"249"	"234"	"144"	"2"	"38"	"5"	"13"	"65"	"1"	"0"	"5"	"0"	"2"	"1"	"0"	"34"	"0"	"0"	"310"	"0"	"310"	"0"
"250"	"235"	"19"	"8"	"79"	"10"	"45"	"199"	"2"	"0"	"10"	"0"	"10"	"5"	"2"	"8"	"3"	"14"	"414"	"0"	"414"	"0"
"251"	"236"	"97"	"5"	"124"	"3"	"8"	"62"	"1"	"0"	"2"	"3"	"6"	"4"	"7"	"15"	"7"	"31"	"375"	"0"	"375"	"0"
"252"	"237"	"63"	"1"	"28"	"4"	"8"	"132"	"2"	"3"	"2"	"4"	"4"	"81"	"4"	"8"	"0"	"39"	"383"	"0"	"383"	"0"
"253"	"238"	"117"	"6"	"156"	"6"	"11"	"61"	"1"	"1"	"1"	"2"	"3"	"1"	"0"	"13"	"1"	"17"	"397"	"0"	"397"	"0"
"254"	"239"	"136"	"7"	"100"	"6"	"145"	"84"	"2"	"2"	"6"	"2"	"11"	"8"	"4"	"10"	"4"	"12"	"539"	"0"	"539"	"0"
"255"	"240"	"195"	"9"	"59"	"35"	"3"	"196"	"3"	"2"	"12"	"8"	"4"	"3"	"3"	"35"	"2"	"28"	"597"	"0"	"597"	"0"
"256"	"241"	"9"	"4"	"6"	"210"	"2"	"122"	"2"	"2"	"6"	"22"	"5"	"1"	"2"	"6"	"0"	"13"	"412"	"0"	"412"	"0"
"257"	"242"	"188"	"5"	"4"	"3"	"3"	"181"	"6"	"5"	"8"	"16"	"15"	"2"	"6"	"194"	"3"	"12"	"651"	"0"	"651"	"0"
"258"	"243"	"33"	"1"	"2"	"4"	"0"	"294"	"2"	"0"	"3"	"17"	"4"	"2"	"0"	"4"	"2"	"15"	"383"	"0"	"383"	"0"
"259"	"244"	"61"	"14"	"52"	"5"	"7"	"152"	"2"	"1"	"11"	"50"	"62"	"24"	"0"	"17"	"13"	"24"	"495"	"0"	"495"	"0"
"260"	"245"	"130"	"2"	"58"	"8"	"3"	"172"	"3"	"1"	"1"	"10"	"7"	"0"	"2"	"36"	"1"	"13"	"447"	"0"	"447"	"0"
"261"	"246"	"151"	"8"	"3"	"5"	"4"	"117"	"2"	"0"	"9"	"8"	"24"	"30"	"5"	"26"	"2"	"8"	"402"	"0"	"402"	"0"
"262"	"247"	"89"	"10"	"136"	"5"	"4"	"81"	"0"	"1"	"5"	"1"	"6"	"5"	"0"	"48"	"5"	"10"	"406"	"0"	"406"	"0"
"263"	"248"	"82"	"10"	"77"	"9"	"1"	"131"	"4"	"3"	"7"	"5"	"2"	"8"	"4"	"79"	"3"	"11"	"436"	"0"	"436"	"0"
"264"	"249"	"64"	"8"	"175"	"11"	"4"	"85"	"0"	"2"	"11"	"0"	"1"	"2"	"4"	"43"	"1"	"14"	"425"	"0"	"425"	"0"
"265"	"250"	"13"	"0"	"64"	"6"	"0"	"14"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"4"	"105"	"0"	"105"	"0"
"266"	"251"	"181"	"1"	"11"	"31"	"2"	"89"	"4"	"1"	"7"	"3"	"3"	"13"	"6"	"200"	"1"	"7"	"560"	"0"	"560"	"0"
"267"	"252"	"33"	"4"	"40"	"5"	"1"	"369"	"2"	"6"	"7"	"15"	"7"	"2"	"5"	"22"	"2"	"27"	"547"	"0"	"547"	"0"
"268"	"253"	"97"	"3"	"49"	"10"	"4"	"109"	"4"	"1"	"8"	"2"	"4"	"16"	"5"	"110"	"6"	"8"	"436"	"0"	"436"	"0"
"269"	"254"	"54"	"6"	"81"	"27"	"1"	"37"	"3"	"1"	"1"	"1"	"1"	"37"	"9"	"35"	"3"	"4"	"301"	"0"	"301"	"0"
"270"	"255"	"44"	"5"	"45"	"8"	"3"	"179"	"1"	"3"	"19"	"5"	"32"	"1"	"8"	"62"	"3"	"80"	"498"	"0"	"498"	"0"
"271"	"256"	"134"	"15"	"30"	"11"	"1"	"98"	"4"	"4"	"9"	"34"	"17"	"44"	"16"	"142"	"9"	"23"	"591"	"0"	"591"	"0"
"272"	"257"	"100"	"6"	"35"	"8"	"1"	"132"	"3"	"2"	"12"	"57"	"9"	"44"	"8"	"23"	"4"	"72"	"516"	"0"	"516"	"0"
"273"	"258"	"284"	"10"	"17"	"5"	"0"	"40"	"0"	"2"	"1"	"1"	"1"	"0"	"1"	"14"	"2"	"4"	"382"	"0"	"382"	"0"
"274"	"259"	"241"	"27"	"21"	"3"	"2"	"53"	"2"	"3"	"18"	"38"	"8"	"9"	"5"	"15"	"12"	"32"	"489"	"0"	"489"	"0"
"275"	"260"	"103"	"9"	"36"	"20"	"7"	"106"	"10"	"5"	"17"	"158"	"9"	"7"	"14"	"14"	"17"	"32"	"564"	"0"	"564"	"0"
"276"	"261"	"157"	"2"	"11"	"16"	"0"	"35"	"0"	"0"	"3"	"26"	"0"	"13"	"1"	"104"	"2"	"1"	"371"	"0"	"371"	"0"
"277"	"262"	"242"	"2"	"17"	"2"	"0"	"13"	"0"	"0"	"2"	"9"	"0"	"2"	"1"	"1"	"4"	"12"	"307"	"0"	"307"	"0"
"278"	"263"	"3"	"0"	"3"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"11"	"0"	"11"	"0"
"279"	"264"	"70"	"20"	"45"	"52"	"0"	"105"	"2"	"3"	"9"	"17"	"21"	"61"	"6"	"9"	"3"	"84"	"507"	"0"	"507"	"0"
"280"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"281"	""	"ANIL KUMAR"	"MD. IBRAHIM"	"PANCHAM KUMAR"	"SANJEEV SINGH"	"SATISH KUMAR URF RAJU"	"SIDDHARTH"	"ARJUN PRASAD"	"RANDHIR KUMAR"	"RANA RAJU PRATAP SINGH"	"LEELA VERMA"	"BIRENDRA PRASAD"	"AJAY KUMAR"	"RAGHWEN DRA PRASAD"	"RAM JANAMA SHARMA"	"VAIKUNTHA MANJHI"	"SUBHASH PRASAD YADAV"	""	""	""	""
"282"	"265"	"90"	"4"	"11"	"3"	"8"	"79"	"0"	"2"	"2"	"3"	"4"	"17"	"0"	"5"	"9"	"27"	"264"	"0"	"264"	"0"
"283"	"266"	"102"	"9"	"4"	"8"	"3"	"29"	"5"	"6"	"5"	"36"	"5"	"75"	"3"	"16"	"33"	"28"	"367"	"0"	"367"	"0"
"284"	"267"	"137"	"30"	"8"	"42"	"7"	"120"	"4"	"2"	"9"	"8"	"5"	"75"	"10"	"29"	"9"	"73"	"568"	"0"	"568"	"0"
"285"	"268"	"309"	"17"	"47"	"10"	"6"	"88"	"4"	"3"	"5"	"4"	"6"	"48"	"5"	"25"	"4"	"23"	"604"	"0"	"604"	"0"
"286"	"269"	"88"	"6"	"40"	"34"	"3"	"136"	"3"	"1"	"22"	"3"	"6"	"5"	"6"	"82"	"4"	"11"	"450"	"0"	"450"	"0"
"287"	"270"	"137"	"3"	"76"	"26"	"0"	"79"	"1"	"1"	"5"	"3"	"2"	"2"	"3"	"127"	"1"	"11"	"477"	"0"	"477"	"0"
"288"	"271"	"43"	"6"	"130"	"42"	"4"	"187"	"3"	"0"	"12"	"3"	"5"	"4"	"5"	"84"	"6"	"35"	"569"	"0"	"569"	"0"
"289"	"272"	"106"	"7"	"66"	"129"	"0"	"66"	"1"	"1"	"0"	"1"	"2"	"0"	"2"	"111"	"6"	"5"	"503"	"0"	"503"	"0"
"290"	"273"	"118"	"2"	"22"	"13"	"0"	"20"	"0"	"0"	"1"	"0"	"2"	"5"	"2"	"71"	"1"	"7"	"264"	"0"	"264"	"0"
"291"	"274"	"146"	"11"	"26"	"26"	"0"	"71"	"5"	"0"	"1"	"3"	"4"	"6"	"2"	"26"	"17"	"17"	"361"	"0"	"361"	"0"
"292"	"275"	"223"	"3"	"161"	"5"	"2"	"50"	"0"	"0"	"3"	"1"	"0"	"11"	"3"	"161"	"3"	"17"	"643"	"0"	"643"	"0"
"293"	"276"	"90"	"3"	"25"	"5"	"2"	"36"	"1"	"0"	"7"	"5"	"1"	"0"	"1"	"148"	"5"	"12"	"341"	"0"	"341"	"0"
"294"	"277"	"116"	"9"	"103"	"11"	"9"	"170"	"1"	"0"	"8"	"14"	"6"	"65"	"4"	"31"	"2"	"39"	"588"	"0"	"588"	"0"
