"Candidates.Name.....Booth.No......"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"127"	""	"Amit Kumar"	"Ajam Hussain Anwar"	"Nagina Devi"	"Moti Lal Prasad"	"Ram Sakal Sahani"	"Gonaur Das"	"Dropati Devi"	"Pushkar Jha"	"Lalan Paswan"	"Sikandar Mahto"	"Sunil Kumar"	"Gopal Paswan"	"Chandrika Prasad"	"Jalandhar Sah"	"Dhukharan Jha"	"Niranjan Rai"	"Yugal Jha"	"Ramesh Sah"	"Ram Pukar Ram"	"Shiv Shankar Bhagat"	"Sikendar Paswan"	"Total of valid votes"
"128"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"129"	"98"	"41"	"42"	"187"	"38"	"10"	"4"	"1"	"4"	"2"	"1"	"2"	"0"	"5"	"8"	"3"	"6"	"6"	"6"	"11"	"4"	"0"	"381"
"130"	"99"	"35"	"45"	"213"	"88"	"4"	"1"	"0"	"1"	"2"	"0"	"3"	"0"	"0"	"0"	"1"	"2"	"1"	"2"	"2"	"4"	"2"	"406"
"131"	"100"	"16"	"129"	"122"	"17"	"47"	"5"	"0"	"2"	"1"	"0"	"0"	"5"	"1"	"8"	"0"	"2"	"2"	"8"	"4"	"4"	"5"	"378"
"132"	"101"	"227"	"7"	"27"	"54"	"98"	"2"	"3"	"2"	"1"	"3"	"3"	"3"	"2"	"1"	"5"	"18"	"14"	"3"	"2"	"1"	"7"	"483"
"133"	"102"	"67"	"5"	"167"	"108"	"9"	"0"	"5"	"3"	"5"	"5"	"2"	"5"	"12"	"32"	"5"	"23"	"3"	"1"	"5"	"6"	"2"	"470"
"134"	"103"	"157"	"6"	"105"	"253"	"52"	"4"	"4"	"5"	"3"	"6"	"3"	"10"	"12"	"10"	"5"	"24"	"1"	"3"	"7"	"9"	"2"	"681"
"135"	"104"	"142"	"11"	"119"	"166"	"29"	"4"	"1"	"9"	"3"	"5"	"3"	"2"	"2"	"4"	"8"	"5"	"13"	"8"	"8"	"18"	"16"	"576"
"136"	"105"	"121"	"8"	"36"	"134"	"24"	"2"	"4"	"7"	"0"	"9"	"5"	"4"	"1"	"6"	"10"	"27"	"5"	"2"	"2"	"3"	"1"	"411"
"137"	"106"	"124"	"1"	"10"	"190"	"5"	"1"	"1"	"2"	"0"	"17"	"2"	"1"	"5"	"1"	"0"	"3"	"4"	"2"	"2"	"5"	"6"	"382"
"138"	"107"	"69"	"4"	"157"	"82"	"18"	"2"	"2"	"6"	"1"	"1"	"1"	"1"	"1"	"12"	"4"	"5"	"5"	"4"	"23"	"8"	"4"	"410"
"139"	"108"	"376"	"0"	"3"	"23"	"44"	"0"	"0"	"0"	"0"	"1"	"5"	"6"	"1"	"2"	"0"	"6"	"6"	"1"	"1"	"0"	"0"	"475"
"140"	"Candidates Name--->
Booth No '
'
'"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"141"	""	"Amit Kumar"	"Ajam Hussain Anwar"	"Nagina Devi"	"Moti Lal Prasad"	"Ram Sakal Sahani"	"Gonaur Das"	"Dropati Devi"	"Pushkar Jha"	"Lalan Paswan"	"Sikandar Mahto"	"Sunil Kumar"	"Gopal Paswan"	"Chandrika Prasad"	"Jalandhar Sah"	"Dhukharan Jha"	"Niranjan Rai"	"Yugal Jha"	"Ramesh Sah"	"Ram Pukar Ram"	"Shiv Shankar Bhagat"	"Sikendar Paswan"	"Total of valid votes"
"142"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"143"	"109"	"139"	"9"	"56"	"71"	"6"	"2"	"1"	"2"	"1"	"3"	"1"	"3"	"12"	"7"	"6"	"10"	"1"	"1"	"4"	"3"	"2"	"340"
"144"	"110"	"303"	"4"	"36"	"54"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"2"	"1"	"2"	"1"	"0"	"1"	"1"	"0"	"409"
"145"	"111"	"53"	"4"	"174"	"61"	"21"	"0"	"3"	"0"	"0"	"1"	"1"	"1"	"1"	"5"	"1"	"7"	"1"	"3"	"12"	"5"	"3"	"357"
"146"	"112"	"402"	"1"	"2"	"18"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"1"	"0"	"0"	"429"
"147"	"113"	"166"	"19"	"19"	"56"	"2"	"2"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"11"	"1"	"3"	"0"	"0"	"0"	"0"	"282"
"148"	"114"	"198"	"9"	"100"	"216"	"5"	"1"	"5"	"2"	"0"	"2"	"4"	"4"	"4"	"9"	"2"	"6"	"0"	"1"	"2"	"1"	"0"	"571"
"149"	"115"	"100"	"17"	"65"	"137"	"11"	"0"	"1"	"2"	"1"	"2"	"0"	"2"	"2"	"0"	"2"	"1"	"6"	"4"	"5"	"5"	"3"	"366"
"150"	"116"	"31"	"21"	"110"	"199"	"9"	"4"	"1"	"3"	"0"	"2"	"3"	"3"	"2"	"12"	"4"	"2"	"7"	"3"	"7"	"5"	"2"	"430"
"151"	"116A"	"39"	"9"	"11"	"348"	"9"	"3"	"4"	"2"	"0"	"1"	"2"	"3"	"2"	"2"	"2"	"7"	"8"	"4"	"2"	"20"	"4"	"482"
"152"	"117"	"159"	"5"	"11"	"207"	"7"	"2"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"3"	"0"	"0"	"4"	"1"	"405"
"153"	"118"	"109"	"16"	"96"	"136"	"80"	"2"	"4"	"6"	"2"	"2"	"1"	"4"	"1"	"4"	"2"	"8"	"11"	"8"	"19"	"6"	"5"	"522"
"154"	"Candidates Name--->
Booth No '
'
'"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	""	"Amit Kumar"	"Ajam Hussain Anwar"	"Nagina Devi"	"Moti Lal Prasad"	"Ram Sakal Sahani"	"Gonaur Das"	"Dropati Devi"	"Pushkar Jha"	"Lalan Paswan"	"Sikandar Mahto"	"Sunil Kumar"	"Gopal Paswan"	"Chandrika Prasad"	"Jalandhar Sah"	"Dhukharan Jha"	"Niranjan Rai"	"Yugal Jha"	"Ramesh Sah"	"Ram Pukar Ram"	"Shiv Shankar Bhagat"	"Sikendar Paswan"	"Total of valid votes"
"156"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"157"	"119"	"242"	"38"	"26"	"36"	"6"	"2"	"3"	"2"	"1"	"2"	"1"	"7"	"2"	"3"	"3"	"17"	"5"	"1"	"0"	"1"	"5"	"403"
"158"	"120"	"86"	"57"	"60"	"255"	"7"	"4"	"8"	"0"	"1"	"1"	"3"	"5"	"0"	"3"	"2"	"4"	"8"	"3"	"1"	"7"	"5"	"520"
"159"	"121"	"119"	"5"	"69"	"34"	"10"	"1"	"1"	"0"	"1"	"0"	"0"	"2"	"0"	"3"	"0"	"6"	"1"	"0"	"4"	"0"	"0"	"256"
"160"	"122"	"384"	"8"	"21"	"35"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"3"	"8"	"5"	"1"	"0"	"1"	"1"	"472"
"161"	"123"	"227"	"6"	"39"	"143"	"32"	"1"	"2"	"1"	"2"	"1"	"0"	"5"	"4"	"3"	"0"	"17"	"8"	"1"	"0"	"5"	"1"	"498"
"162"	"124"	"121"	"1"	"54"	"153"	"12"	"1"	"24"	"4"	"2"	"24"	"5"	"9"	"13"	"17"	"4"	"31"	"13"	"3"	"2"	"9"	"6"	"508"
"163"	"125"	"110"	"6"	"17"	"114"	"7"	"1"	"1"	"3"	"4"	"2"	"2"	"1"	"0"	"3"	"1"	"7"	"2"	"2"	"0"	"0"	"0"	"283"
"164"	"126"	"244"	"6"	"59"	"73"	"6"	"2"	"0"	"1"	"3"	"1"	"1"	"3"	"2"	"8"	"0"	"3"	"9"	"0"	"3"	"0"	"1"	"425"
"165"	"127"	"84"	"3"	"2"	"68"	"6"	"0"	"0"	"2"	"1"	"1"	"0"	"3"	"4"	"0"	"2"	"5"	"0"	"0"	"2"	"3"	"0"	"186"
"166"	"128"	"290"	"1"	"11"	"112"	"7"	"1"	"2"	"0"	"0"	"1"	"8"	"2"	"3"	"1"	"1"	"6"	"5"	"0"	"1"	"3"	"0"	"455"
"167"	"129"	"32"	"4"	"75"	"148"	"30"	"3"	"3"	"4"	"3"	"0"	"0"	"1"	"1"	"1"	"0"	"3"	"0"	"1"	"2"	"0"	"0"	"311"
"168"	"Candidates Name--->
Booth No '
'
'"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"169"	""	"Amit Kumar"	"Ajam Hussain Anwar"	"Nagina Devi"	"Moti Lal Prasad"	"Ram Sakal Sahani"	"Gonaur Das"	"Dropati Devi"	"Pushkar Jha"	"Lalan Paswan"	"Sikandar Mahto"	"Sunil Kumar"	"Gopal Paswan"	"Chandrika Prasad"	"Jalandhar Sah"	"Dhukharan Jha"	"Niranjan Rai"	"Yugal Jha"	"Ramesh Sah"	"Ram Pukar Ram"	"Shiv Shankar Bhagat"	"Sikendar Paswan"	"Total of valid votes"
"170"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"171"	"130"	"116"	"135"	"60"	"101"	"6"	"3"	"2"	"2"	"2"	"0"	"1"	"2"	"3"	"1"	"6"	"4"	"9"	"5"	"4"	"3"	"4"	"469"
"172"	"131"	"177"	"8"	"49"	"165"	"15"	"3"	"3"	"6"	"3"	"1"	"12"	"8"	"10"	"10"	"6"	"10"	"4"	"4"	"1"	"6"	"1"	"502"
"173"	"132"	"117"	"0"	"9"	"109"	"24"	"2"	"4"	"1"	"1"	"19"	"28"	"5"	"2"	"2"	"1"	"11"	"1"	"1"	"1"	"4"	"4"	"346"
"174"	"133"	"266"	"7"	"65"	"107"	"64"	"2"	"3"	"6"	"1"	"2"	"6"	"1"	"2"	"3"	"3"	"5"	"11"	"4"	"7"	"7"	"7"	"579"
"175"	"134"	"100"	"15"	"34"	"20"	"6"	"1"	"1"	"1"	"0"	"1"	"2"	"1"	"0"	"5"	"0"	"1"	"0"	"0"	"2"	"0"	"0"	"190"
"176"	"135"	"197"	"2"	"15"	"165"	"8"	"39"	"2"	"2"	"4"	"2"	"2"	"0"	"1"	"0"	"0"	"3"	"4"	"2"	"1"	"1"	"1"	"451"
"177"	"136"	"343"	"4"	"15"	"98"	"3"	"0"	"2"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"3"	"3"	"0"	"0"	"1"	"3"	"478"
"178"	"137"	"698"	"8"	"27"	"56"	"6"	"0"	"1"	"1"	"0"	"0"	"0"	"2"	"1"	"1"	"1"	"7"	"2"	"1"	"0"	"0"	"5"	"817"
"179"	"138"	"225"	"6"	"26"	"12"	"3"	"0"	"0"	"1"	"1"	"1"	"2"	"1"	"2"	"3"	"3"	"23"	"9"	"1"	"1"	"0"	"2"	"322"
"180"	"139"	"93"	"11"	"43"	"173"	"14"	"3"	"1"	"2"	"6"	"2"	"3"	"12"	"5"	"3"	"9"	"11"	"4"	"1"	"3"	"6"	"4"	"409"
"181"	"140"	"119"	"14"	"25"	"116"	"16"	"1"	"0"	"0"	"2"	"2"	"2"	"5"	"1"	"2"	"0"	"6"	"2"	"2"	"1"	"3"	"5"	"324"
"182"	"Candidates Name--->
Booth No '
'
'"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"183"	""	"Amit Kumar"	"Ajam Hussain Anwar"	"Nagina Devi"	"Moti Lal Prasad"	"Ram Sakal Sahani"	"Gonaur Das"	"Dropati Devi"	"Pushkar Jha"	"Lalan Paswan"	"Sikandar Mahto"	"Sunil Kumar"	"Gopal Paswan"	"Chandrika Prasad"	"Jalandhar Sah"	"Dhukharan Jha"	"Niranjan Rai"	"Yugal Jha"	"Ramesh Sah"	"Ram Pukar Ram"	"Shiv Shankar Bhagat"	"Sikendar Paswan"	"Total of valid votes"
"184"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"185"	"141"	"107"	"54"	"36"	"225"	"22"	"5"	"2"	"4"	"2"	"5"	"6"	"9"	"8"	"9"	"12"	"9"	"2"	"0"	"0"	"2"	"3"	"522"
"186"	"142"	"363"	"8"	"56"	"52"	"10"	"2"	"0"	"4"	"0"	"0"	"0"	"2"	"2"	"2"	"3"	"6"	"6"	"4"	"3"	"0"	"0"	"523"
"187"	"143"	"67"	"33"	"164"	"254"	"18"	"3"	"3"	"3"	"1"	"1"	"3"	"2"	"2"	"10"	"6"	"13"	"2"	"1"	"2"	"4"	"2"	"594"
"188"	"144"	"267"	"52"	"185"	"21"	"3"	"1"	"0"	"0"	"0"	"2"	"1"	"1"	"5"	"6"	"7"	"12"	"9"	"3"	"2"	"1"	"5"	"583"
"189"	"145"	"100"	"321"	"93"	"43"	"1"	"2"	"0"	"2"	"1"	"1"	"1"	"0"	"0"	"0"	"4"	"2"	"3"	"4"	"3"	"1"	"0"	"582"
"190"	"146"	"48"	"23"	"200"	"54"	"87"	"4"	"4"	"6"	"1"	"1"	"0"	"1"	"0"	"3"	"1"	"7"	"9"	"6"	"8"	"8"	"5"	"476"
"191"	"147"	"60"	"62"	"242"	"34"	"6"	"2"	"2"	"4"	"3"	"2"	"4"	"1"	"3"	"3"	"1"	"2"	"8"	"5"	"16"	"5"	"2"	"467"
"192"	"148"	"104"	"3"	"18"	"389"	"88"	"1"	"4"	"1"	"4"	"13"	"4"	"11"	"4"	"2"	"4"	"15"	"5"	"2"	"5"	"11"	"14"	"702"
"193"	"149"	"47"	"1"	"12"	"156"	"20"	"1"	"0"	"0"	"2"	"14"	"0"	"2"	"1"	"0"	"0"	"3"	"4"	"1"	"4"	"8"	"5"	"281"
"194"	"150"	"142"	"21"	"14"	"317"	"22"	"3"	"4"	"1"	"2"	"7"	"1"	"5"	"4"	"2"	"3"	"9"	"1"	"0"	"0"	"0"	"3"	"561"
"195"	"151"	"70"	"23"	"24"	"370"	"56"	"2"	"3"	"0"	"3"	"2"	"1"	"1"	"6"	"0"	"0"	"10"	"5"	"0"	"0"	"1"	"2"	"579"
"196"	"Candidates Name--->
Booth No '
'
'"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"197"	""	"Amit Kumar"	"Ajam Hussain Anwar"	"Nagina Devi"	"Moti Lal Prasad"	"Ram Sakal Sahani"	"Gonaur Das"	"Dropati Devi"	"Pushkar Jha"	"Lalan Paswan"	"Sikandar Mahto"	"Sunil Kumar"	"Gopal Paswan"	"Chandrika Prasad"	"Jalandhar Sah"	"Dhukharan Jha"	"Niranjan Rai"	"Yugal Jha"	"Ramesh Sah"	"Ram Pukar Ram"	"Shiv Shankar Bhagat"	"Sikendar Paswan"	"Total of valid votes"
"198"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"199"	"152"	"246"	"19"	"191"	"221"	"78"	"7"	"6"	"9"	"2"	"2"	"0"	"10"	"10"	"12"	"4"	"21"	"11"	"2"	"5"	"9"	"5"	"870"
"200"	"153"	"87"	"5"	"113"	"160"	"12"	"7"	"2"	"3"	"2"	"2"	"3"	"6"	"7"	"9"	"5"	"17"	"2"	"4"	"1"	"4"	"2"	"453"
"201"	"153A"	"52"	"3"	"35"	"242"	"13"	"3"	"1"	"5"	"0"	"1"	"2"	"3"	"1"	"6"	"2"	"4"	"0"	"0"	"0"	"0"	"2"	"375"
"202"	"154"	"64"	"8"	"106"	"599"	"16"	"1"	"6"	"1"	"1"	"1"	"3"	"2"	"4"	"2"	"4"	"7"	"2"	"0"	"1"	"7"	"6"	"841"
"203"	"155"	"159"	"3"	"12"	"320"	"24"	"3"	"5"	"2"	"4"	"18"	"7"	"15"	"16"	"1"	"3"	"4"	"2"	"4"	"0"	"2"	"1"	"605"
"204"	"156"	"28"	"36"	"151"	"52"	"33"	"2"	"1"	"1"	"1"	"2"	"1"	"4"	"2"	"6"	"2"	"3"	"5"	"5"	"8"	"3"	"2"	"348"
"205"	"157"	"172"	"6"	"124"	"119"	"55"	"11"	"3"	"3"	"2"	"1"	"5"	"5"	"7"	"10"	"1"	"21"	"17"	"1"	"7"	"6"	"4"	"580"
"206"	"158"	"156"	"5"	"71"	"461"	"24"	"2"	"1"	"2"	"2"	"1"	"1"	"4"	"8"	"2"	"3"	"19"	"4"	"0"	"1"	"11"	"4"	"782"
"207"	"159"	"121"	"7"	"76"	"188"	"8"	"1"	"1"	"1"	"4"	"1"	"2"	"1"	"4"	"3"	"6"	"15"	"2"	"2"	"2"	"2"	"6"	"453"
"208"	"159A"	"144"	"1"	"162"	"61"	"6"	"2"	"0"	"2"	"0"	"2"	"0"	"3"	"5"	"22"	"1"	"15"	"8"	"1"	"8"	"7"	"3"	"453"
"209"	"160"	"9"	"2"	"139"	"270"	"9"	"2"	"2"	"1"	"0"	"0"	"0"	"6"	"5"	"4"	"3"	"2"	"5"	"8"	"7"	"16"	"4"	"494"
"210"	"Candidates Name--->
Booth No '
'
'"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"211"	""	"Amit Kumar"	"Ajam Hussain Anwar"	"Nagina Devi"	"Moti Lal Prasad"	"Ram Sakal Sahani"	"Gonaur Das"	"Dropati Devi"	"Pushkar Jha"	"Lalan Paswan"	"Sikandar Mahto"	"Sunil Kumar"	"Gopal Paswan"	"Chandrika Prasad"	"Jalandhar Sah"	"Dhukharan Jha"	"Niranjan Rai"	"Yugal Jha"	"Ramesh Sah"	"Ram Pukar Ram"	"Shiv Shankar Bhagat"	"Sikendar Paswan"	"Total of valid votes"
"212"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"213"	"161"	"43"	"14"	"58"	"314"	"14"	"1"	"0"	"4"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"2"	"1"	"0"	"1"	"0"	"455"
"214"	"162"	"74"	"5"	"16"	"286"	"11"	"2"	"0"	"2"	"0"	"0"	"1"	"4"	"0"	"1"	"1"	"3"	"5"	"1"	"2"	"4"	"4"	"422"
"215"	"163"	"54"	"3"	"37"	"294"	"12"	"3"	"3"	"0"	"0"	"2"	"1"	"4"	"2"	"7"	"1"	"7"	"0"	"2"	"3"	"6"	"2"	"443"
"216"	"164"	"162"	"21"	"55"	"291"	"6"	"1"	"0"	"3"	"0"	"2"	"0"	"7"	"8"	"3"	"4"	"13"	"6"	"3"	"3"	"10"	"3"	"601"
"217"	"165"	"198"	"11"	"196"	"270"	"26"	"4"	"4"	"6"	"2"	"3"	"0"	"12"	"20"	"30"	"8"	"34"	"9"	"2"	"5"	"6"	"11"	"857"
"218"	"166"	"133"	"27"	"65"	"202"	"19"	"1"	"0"	"2"	"0"	"0"	"2"	"1"	"6"	"3"	"4"	"7"	"1"	"0"	"3"	"1"	"3"	"480"
"219"	"167"	"146"	"25"	"85"	"298"	"11"	"4"	"1"	"3"	"2"	"2"	"1"	"2"	"3"	"6"	"4"	"12"	"5"	"0"	"2"	"3"	"4"	"619"
"220"	"168"	"53"	"3"	"14"	"521"	"23"	"12"	"7"	"4"	"4"	"3"	"1"	"13"	"25"	"2"	"0"	"6"	"4"	"2"	"0"	"6"	"5"	"708"
"221"	"169"	"121"	"10"	"112"	"344"	"18"	"5"	"13"	"13"	"7"	"8"	"2"	"6"	"2"	"4"	"3"	"15"	"6"	"3"	"3"	"10"	"5"	"710"
"222"	"170"	"93"	"13"	"158"	"250"	"12"	"5"	"7"	"8"	"1"	"16"	"3"	"5"	"12"	"19"	"8"	"22"	"12"	"15"	"10"	"10"	"9"	"688"
"223"	"171"	"126"	"6"	"7"	"237"	"9"	"2"	"0"	"2"	"0"	"19"	"0"	"1"	"1"	"0"	"1"	"0"	"2"	"1"	"0"	"5"	"0"	"419"
"224"	"Candidates Name--->
Booth No '
'
'"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	""	"Amit Kumar"	"Ajam Hussain Anwar"	"Nagina Devi"	"Moti Lal Prasad"	"Ram Sakal Sahani"	"Gonaur Das"	"Dropati Devi"	"Pushkar Jha"	"Lalan Paswan"	"Sikandar Mahto"	"Sunil Kumar"	"Gopal Paswan"	"Chandrika Prasad"	"Jalandhar Sah"	"Dhukharan Jha"	"Niranjan Rai"	"Yugal Jha"	"Ramesh Sah"	"Ram Pukar Ram"	"Shiv Shankar Bhagat"	"Sikendar Paswan"	"Total of valid votes"
"226"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"227"	"171A"	"124"	"8"	"40"	"163"	"3"	"1"	"0"	"0"	"1"	"2"	"0"	"0"	"1"	"1"	"2"	"2"	"1"	"0"	"0"	"1"	"2"	"352"
"228"	"172"	"366"	"2"	"11"	"201"	"8"	"1"	"1"	"0"	"0"	"1"	"1"	"4"	"2"	"1"	"2"	"4"	"4"	"0"	"1"	"3"	"0"	"613"
"229"	"173"	"147"	"14"	"40"	"156"	"5"	"0"	"0"	"0"	"1"	"1"	"2"	"5"	"3"	"2"	"4"	"8"	"3"	"3"	"1"	"5"	"4"	"404"
"230"	"174"	"41"	"7"	"30"	"116"	"110"	"6"	"5"	"8"	"3"	"6"	"2"	"3"	"3"	"2"	"12"	"23"	"6"	"1"	"2"	"5"	"0"	"391"
"231"	"175"	"42"	"28"	"79"	"223"	"16"	"1"	"2"	"16"	"1"	"0"	"1"	"1"	"7"	"9"	"2"	"6"	"0"	"2"	"1"	"4"	"3"	"444"
"232"	"176"	"63"	"8"	"9"	"156"	"46"	"5"	"2"	"41"	"2"	"1"	"3"	"5"	"3"	"3"	"1"	"12"	"2"	"0"	"2"	"1"	"2"	"367"
"233"	"177"	"64"	"37"	"38"	"346"	"44"	"4"	"3"	"4"	"8"	"6"	"4"	"14"	"5"	"6"	"4"	"15"	"1"	"1"	"0"	"7"	"4"	"615"
"234"	"178"	"236"	"1"	"50"	"118"	"9"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"8"	"1"	"0"	"0"	"1"	"0"	"430"
"235"	"179"	"238"	"12"	"127"	"242"	"43"	"6"	"7"	"9"	"3"	"63"	"7"	"4"	"6"	"13"	"7"	"18"	"10"	"6"	"2"	"3"	"4"	"830"
"236"	"180"	"96"	"3"	"128"	"175"	"20"	"2"	"11"	"7"	"2"	"13"	"5"	"10"	"10"	"16"	"10"	"21"	"4"	"3"	"2"	"7"	"1"	"546"
"237"	"181"	"117"	"95"	"142"	"163"	"21"	"2"	"4"	"5"	"3"	"1"	"4"	"2"	"4"	"13"	"8"	"25"	"6"	"8"	"2"	"4"	"2"	"631"
"238"	"Candidates Name--->
Booth No '
'
'"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	""	"Amit Kumar"	"Ajam Hussain Anwar"	"Nagina Devi"	"Moti Lal Prasad"	"Ram Sakal Sahani"	"Gonaur Das"	"Dropati Devi"	"Pushkar Jha"	"Lalan Paswan"	"Sikandar Mahto"	"Sunil Kumar"	"Gopal Paswan"	"Chandrika Prasad"	"Jalandhar Sah"	"Dhukharan Jha"	"Niranjan Rai"	"Yugal Jha"	"Ramesh Sah"	"Ram Pukar Ram"	"Shiv Shankar Bhagat"	"Sikendar Paswan"	"Total of valid votes"
"240"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"241"	"182"	"76"	"55"	"97"	"168"	"19"	"38"	"11"	"1"	"3"	"12"	"4"	"13"	"25"	"13"	"12"	"37"	"8"	"9"	"13"	"7"	"9"	"630"
"242"	"183"	"86"	"64"	"65"	"228"	"46"	"27"	"5"	"10"	"4"	"4"	"7"	"10"	"1"	"10"	"11"	"5"	"2"	"6"	"1"	"6"	"3"	"601"
"243"	"184"	"121"	"8"	"25"	"427"	"89"	"7"	"10"	"2"	"2"	"9"	"4"	"6"	"7"	"2"	"5"	"14"	"14"	"5"	"2"	"25"	"9"	"793"
"244"	"185"	"9"	"4"	"71"	"107"	"4"	"1"	"3"	"2"	"1"	"0"	"2"	"1"	"5"	"2"	"1"	"6"	"2"	"2"	"1"	"4"	"0"	"228"
"245"	"186"	"58"	"46"	"104"	"57"	"8"	"1"	"1"	"6"	"2"	"36"	"0"	"4"	"2"	"6"	"0"	"12"	"6"	"8"	"4"	"8"	"4"	"373"
"246"	"186A"	"26"	"36"	"95"	"80"	"15"	"0"	"2"	"3"	"1"	"3"	"3"	"1"	"3"	"4"	"0"	"5"	"1"	"2"	"3"	"1"	"1"	"285"
"247"	"187"	"40"	"4"	"26"	"193"	"60"	"2"	"0"	"5"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"4"	"1"	"2"	"1"	"6"	"2"	"349"
"248"	"188"	"61"	"10"	"84"	"62"	"17"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"5"	"1"	"5"	"0"	"4"	"1"	"1"	"0"	"254"
"249"	"189"	"56"	"2"	"43"	"112"	"352"	"3"	"4"	"4"	"1"	"11"	"4"	"18"	"3"	"3"	"5"	"18"	"3"	"4"	"2"	"7"	"9"	"664"
"250"	"190"	"20"	"5"	"35"	"123"	"188"	"2"	"3"	"1"	"3"	"2"	"4"	"7"	"1"	"3"	"3"	"6"	"1"	"3"	"4"	"3"	"4"	"421"
"251"	"191"	"107"	"1"	"7"	"251"	"38"	"2"	"1"	"0"	"0"	"1"	"2"	"0"	"1"	"1"	"0"	"1"	"4"	"1"	"1"	"2"	"0"	"421"
"252"	"Candidates Name--->
Booth No '
'
'"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	""	"Amit Kumar"	"Ajam Hussain Anwar"	"Nagina Devi"	"Moti Lal Prasad"	"Ram Sakal Sahani"	"Gonaur Das"	"Dropati Devi"	"Pushkar Jha"	"Lalan Paswan"	"Sikandar Mahto"	"Sunil Kumar"	"Gopal Paswan"	"Chandrika Prasad"	"Jalandhar Sah"	"Dhukharan Jha"	"Niranjan Rai"	"Yugal Jha"	"Ramesh Sah"	"Ram Pukar Ram"	"Shiv Shankar Bhagat"	"Sikendar Paswan"	"Total of valid votes"
