"Total.No..of.Electors.in.Assembly.Constituency........230072"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"04- Bagaha Legislative Assembly Constituency (Round - 1)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Station No."	"UMESH PRASAD"	"MD.KAMR AN"	"PRABHAT RANJAN SINGH"	"RANJEET RAO"	"RAM PRASAD YADAV"	"BECHU YADAV"	"BHIKHARI SAH"	"BHISAM SAHNI"	"RAJAT KUMAR SRIVASTV A"	"SHAILEND RA  SINGH, ALIES S.K.SINGH"	"ABHISHEK H       NATH TIWARI"	"GAJENDR A       DHAR MISHRA"	"VISHNU PRAKASH"	"SHIV KUMAR MISHRA"	"SATYANA RAYAN PRASAD YADAV"	"Total No.     of actual Votes"	"Total No.   of rejecte d Votes"	"Total"	"No.   of Tender ed Votes"	""
"153"	"04- Bagaha Legislative Assembly Constituency (Round - 7)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"Polling Station No."	"UMESH PRASAD"	"MD.KAMR AN"	"PRABHAT RANJAN SINGH"	"RANJEET RAO"	"RAM PRASAD YADAV"	"BECHU YADAV"	"BHIKHARI SAH"	"BHISAM SAHNI"	"RAJAT KUMAR SRIVASTV A"	"SHAILEND RA  SINGH, ALIES S.K.SINGH"	"ABHISHEK H       NATH TIWARI"	"GAJENDR A       DHAR MISHRA"	"VISHNU PRAKASH"	"SHIV KUMAR MISHRA"	"SATYANA RAYAN PRASAD YADAV"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"156"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"157"	"85"	"3"	"42"	"118"	"4"	"46"	"3"	"25"	"286"	"12"	"8"	"3"	"21"	"7"	"12"	"8"	"598"	"0"	"598"	"0"	""
"158"	"86"	"4"	"112"	"290"	"21"	"60"	"1"	"3"	"4"	"3"	"1"	"1"	"6"	"10"	"1"	"5"	"522"	"0"	"522"	"0"	""
"159"	"87"	"6"	"185"	"139"	"161"	"126"	"1"	"4"	"4"	"10"	"2"	"3"	"9"	"6"	"3"	"3"	"662"	"0"	"662"	"0"	""
"160"	"88"	"6"	"146"	"143"	"15"	"4"	"2"	"1"	"13"	"3"	"3"	"1"	"1"	"2"	"1"	"1"	"342"	"0"	"342"	"0"	""
"161"	"89"	"7"	"167"	"265"	"17"	"112"	"6"	"0"	"4"	"9"	"5"	"1"	"4"	"5"	"4"	"7"	"613"	"0"	"613"	"0"	""
"162"	"90"	"8"	"221"	"288"	"96"	"104"	"5"	"4"	"7"	"5"	"14"	"2"	"39"	"4"	"5"	"2"	"804"	"0"	"804"	"0"	""
"163"	"91"	"9"	"94"	"328"	"16"	"91"	"3"	"8"	"135"	"5"	"1"	"1"	"7"	"4"	"9"	"2"	"713"	"0"	"713"	"0"	""
"164"	"92"	"6"	"97"	"343"	"20"	"160"	"7"	"6"	"27"	"3"	"5"	"3"	"15"	"6"	"5"	"5"	"708"	"0"	"708"	"0"	""
"165"	"93"	"10"	"35"	"475"	"18"	"254"	"5"	"12"	"36"	"13"	"2"	"3"	"12"	"9"	"9"	"3"	"896"	"0"	"896"	"0"	""
"166"	"94"	"4"	"20"	"396"	"12"	"16"	"1"	"1"	"3"	"2"	"0"	"5"	"5"	"9"	"8"	"7"	"489"	"0"	"489"	"0"	""
"167"	"95"	"3"	"21"	"618"	"20"	"81"	"5"	"1"	"4"	"9"	"2"	"1"	"4"	"2"	"5"	"3"	"779"	"0"	"779"	"0"	""
"168"	"96"	"3"	"51"	"249"	"15"	"116"	"7"	"11"	"164"	"19"	"9"	"15"	"8"	"15"	"19"	"14"	"715"	"0"	"715"	"0"	""
"169"	"97"	"3"	"1"	"453"	"36"	"17"	"1"	"12"	"168"	"8"	"4"	"1"	"7"	"5"	"9"	"11"	"736"	"0"	"736"	"0"	""
"170"	"98"	"4"	"4"	"588"	"0"	"57"	"3"	"8"	"45"	"4"	"2"	"3"	"6"	"3"	"6"	"5"	"738"	"0"	"738"	"0"	""
"171"	"Total"	"76"	"1196"	"4693"	"451"	"1244"	"50"	"96"	"900"	"105"	"58"	"43"	"144"	"87"	"96"	"76"	"9315"	"0"	"9315"	"0"	""
"172"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"04- Bagaha Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"Total No. of Electors in Assembly Constituency -      230072"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"04- Bagaha Legislative Assembly Constituency (Round - 8)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"Polling Station No."	"UMESH PRASAD"	"MD.KAMR AN"	"PRABHAT RANJAN SINGH"	"RANJEET RAO"	"RAM PRASAD YADAV"	"BECHU YADAV"	"BHIKHARI SAH"	"BHISAM SAHNI"	"RAJAT KUMAR SRIVASTV A"	"SHAILEND RA  SINGH, ALIES S.K.SINGH"	"ABHISHEK H       NATH TIWARI"	"GAJENDR A       DHAR MISHRA"	"VISHNU PRAKASH"	"SHIV KUMAR MISHRA"	"SATYANA RAYAN PRASAD YADAV"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"181"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"182"	"99"	"4"	"31"	"433"	"90"	"54"	"4"	"8"	"69"	"13"	"6"	"5"	"5"	"15"	"27"	"33"	"797"	"0"	"797"	"0"	""
"183"	"100"	"1"	"12"	"474"	"29"	"46"	"4"	"6"	"27"	"2"	"1"	"0"	"8"	"3"	"2"	"5"	"620"	"0"	"620"	"0"	""
"184"	"101"	"2"	"63"	"118"	"5"	"7"	"2"	"3"	"73"	"2"	"1"	"1"	"4"	"3"	"3"	"2"	"289"	"0"	"289"	"0"	""
"185"	"102"	"9"	"178"	"531"	"35"	"67"	"1"	"3"	"28"	"5"	"0"	"0"	"5"	"12"	"7"	"3"	"884"	"0"	"884"	"0"	""
"186"	"103"	"16"	"95"	"434"	"55"	"37"	"1"	"7"	"28"	"4"	"9"	"1"	"10"	"2"	"3"	"9"	"711"	"0"	"711"	"0"	""
"187"	"104"	"3"	"71"	"271"	"58"	"24"	"2"	"4"	"18"	"4"	"8"	"1"	"22"	"3"	"0"	"3"	"492"	"0"	"492"	"0"	""
"188"	"105"	"5"	"52"	"214"	"17"	"98"	"6"	"5"	"86"	"7"	"6"	"7"	"40"	"9"	"9"	"13"	"574"	"0"	"574"	"0"	""
"189"	"106"	"3"	"36"	"260"	"17"	"34"	"4"	"3"	"0"	"3"	"2"	"2"	"7"	"6"	"5"	"10"	"392"	"0"	"392"	"0"	""
"190"	"107"	"0"	"43"	"118"	"55"	"110"	"0"	"3"	"1"	"1"	"3"	"0"	"48"	"2"	"4"	"4"	"392"	"0"	"392"	"0"	""
"191"	"108"	"5"	"125"	"173"	"39"	"4"	"1"	"6"	"2"	"10"	"6"	"3"	"9"	"8"	"10"	"9"	"410"	"0"	"410"	"0"	""
"192"	"109"	"4"	"48"	"453"	"21"	"54"	"0"	"9"	"7"	"4"	"4"	"3"	"6"	"10"	"9"	"7"	"639"	"0"	"639"	"0"	""
"193"	"110"	"10"	"78"	"264"	"14"	"100"	"1"	"4"	"5"	"7"	"146"	"4"	"36"	"3"	"4"	"12"	"688"	"0"	"688"	"0"	""
"194"	"111"	"1"	"59"	"264"	"24"	"97"	"4"	"6"	"1"	"3"	"7"	"1"	"6"	"8"	"6"	"2"	"489"	"0"	"489"	"0"	""
"195"	"112"	"10"	"49"	"352"	"52"	"150"	"8"	"10"	"17"	"6"	"0"	"1"	"15"	"20"	"7"	"4"	"701"	"0"	"701"	"0"	""
"196"	"Total"	"73"	"940"	"4359"	"511"	"882"	"38"	"77"	"362"	"71"	"199"	"29"	"221"	"104"	"96"	"116"	"8078"	"0"	"8078"	"0"	""
"197"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"04- Bagaha Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Total No. of Electors in Assembly Constituency -      230072"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"04- Bagaha Legislative Assembly Constituency (Round - 9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"Polling Station No."	"UMESH PRASAD"	"MD.KAMR AN"	"PRABHAT RANJAN SINGH"	"RANJEET RAO"	"RAM PRASAD YADAV"	"BECHU YADAV"	"BHIKHARI SAH"	"BHISAM SAHNI"	"RAJAT KUMAR SRIVASTV A"	"SHAILEND RA  SINGH, ALIES S.K.SINGH"	"ABHISHEK H       NATH TIWARI"	"GAJENDR A       DHAR MISHRA"	"VISHNU PRAKASH"	"SHIV KUMAR MISHRA"	"SATYANA RAYAN PRASAD YADAV"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"206"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"207"	"113"	"5"	"156"	"335"	"36"	"20"	"1"	"2"	"14"	"8"	"22"	"1"	"10"	"4"	"5"	"7"	"626"	"0"	"626"	"0"	""
"208"	"114"	"2"	"97"	"172"	"26"	"1"	"0"	"5"	"1"	"3"	"4"	"0"	"24"	"0"	"0"	"2"	"337"	"0"	"337"	"0"	""
"209"	"115"	"3"	"101"	"554"	"49"	"25"	"0"	"0"	"45"	"4"	"2"	"1"	"2"	"13"	"2"	"1"	"802"	"0"	"802"	"0"	""
"210"	"116"	"3"	"59"	"505"	"7"	"63"	"0"	"2"	"4"	"2"	"2"	"6"	"18"	"15"	"4"	"6"	"696"	"0"	"696"	"0"	""
"211"	"117"	"14"	"50"	"310"	"14"	"115"	"7"	"6"	"33"	"5"	"3"	"3"	"25"	"16"	"16"	"16"	"633"	"0"	"633"	"0"	""
"212"	"118"	"12"	"86"	"300"	"3"	"114"	"4"	"10"	"85"	"13"	"3"	"2"	"18"	"12"	"21"	"13"	"696"	"0"	"696"	"0"	""
"213"	"119"	"5"	"3"	"21"	"3"	"181"	"9"	"1"	"18"	"9"	"3"	"5"	"6"	"5"	"6"	"12"	"287"	"0"	"287"	"0"	""
"214"	"120"	"11"	"72"	"404"	"13"	"8"	"2"	"9"	"79"	"6"	"14"	"4"	"19"	"8"	"6"	"4"	"659"	"0"	"659"	"0"	""
"215"	"121"	"3"	"19"	"151"	"17"	"14"	"0"	"4"	"300"	"13"	"6"	"4"	"11"	"9"	"11"	"16"	"578"	"0"	"578"	"0"	""
"216"	"122"	"4"	"36"	"403"	"4"	"35"	"2"	"8"	"36"	"10"	"8"	"3"	"13"	"17"	"13"	"12"	"604"	"0"	"604"	"0"	""
"217"	"123"	"7"	"95"	"311"	"14"	"30"	"3"	"4"	"83"	"3"	"0"	"0"	"3"	"4"	"6"	"2"	"565"	"0"	"565"	"0"	""
"218"	"124"	"4"	"36"	"328"	"24"	"138"	"2"	"5"	"14"	"14"	"6"	"0"	"8"	"6"	"6"	"10"	"601"	"0"	"601"	"0"	""
"219"	"125"	"6"	"28"	"143"	"147"	"73"	"5"	"10"	"160"	"8"	"10"	"2"	"7"	"7"	"6"	"8"	"620"	"0"	"620"	"0"	""
"220"	"126"	"4"	"18"	"370"	"7"	"96"	"0"	"3"	"2"	"5"	"1"	"1"	"7"	"7"	"7"	"7"	"535"	"0"	"535"	"0"	""
"221"	"Total"	"83"	"856"	"4307"	"364"	"913"	"35"	"69"	"874"	"103"	"84"	"32"	"171"	"123"	"109"	"116"	"8239"	"0"	"8239"	"0"	""
"222"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"04- Bagaha Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"Total No. of Electors in Assembly Constituency -      230072"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"04- Bagaha Legislative Assembly Constituency (Round - 10)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"Polling Station No."	"UMESH PRASAD"	"MD.KAMR AN"	"PRABHAT RANJAN SINGH"	"RANJEET RAO"	"RAM PRASAD YADAV"	"BECHU YADAV"	"BHIKHARI SAH"	"BHISAM SAHNI"	"RAJAT KUMAR SRIVASTV A"	"SHAILEND RA  SINGH, ALIES S.K.SINGH"	"ABHISHEK H       NATH TIWARI"	"GAJENDR A       DHAR MISHRA"	"VISHNU PRAKASH"	"SHIV KUMAR MISHRA"	"SATYANA RAYAN PRASAD YADAV"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"231"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"232"	"127"	"4"	"7"	"179"	"27"	"207"	"5"	"6"	"25"	"8"	"6"	"6"	"13"	"3"	"7"	"4"	"507"	"0"	"507"	"0"	""
"233"	"128"	"5"	"7"	"340"	"4"	"122"	"5"	"5"	"3"	"7"	"2"	"9"	"18"	"5"	"13"	"10"	"555"	"0"	"555"	"0"	""
"234"	"129"	"12"	"62"	"455"	"13"	"57"	"2"	"4"	"82"	"8"	"6"	"1"	"17"	"7"	"12"	"6"	"744"	"0"	"744"	"0"	""
"235"	"130"	"2"	"193"	"123"	"14"	"47"	"0"	"10"	"42"	"1"	"0"	"0"	"4"	"2"	"4"	"3"	"445"	"0"	"445"	"0"	""
"236"	"131"	"7"	"41"	"480"	"14"	"17"	"4"	"7"	"33"	"5"	"1"	"1"	"14"	"1"	"5"	"3"	"633"	"0"	"633"	"0"	""
"237"	"132"	"6"	"403"	"105"	"11"	"117"	"1"	"2"	"3"	"2"	"4"	"1"	"4"	"13"	"5"	"3"	"680"	"0"	"680"	"0"	""
"238"	"133"	"10"	"420"	"100"	"12"	"14"	"2"	"7"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"2"	"572"	"0"	"572"	"0"	""
"239"	"134"	"12"	"93"	"265"	"4"	"25"	"1"	"5"	"3"	"1"	"1"	"1"	"4"	"4"	"6"	"5"	"430"	"0"	"430"	"0"	""
"240"	"135"	"9"	"4"	"316"	"9"	"147"	"7"	"9"	"31"	"5"	"2"	"2"	"3"	"9"	"5"	"2"	"560"	"0"	"560"	"0"	""
"241"	"136"	"1"	"67"	"168"	"15"	"103"	"6"	"10"	"170"	"11"	"8"	"0"	"3"	"6"	"12"	"14"	"594"	"0"	"594"	"0"	""
"242"	"137"	"6"	"218"	"230"	"5"	"7"	"0"	"1"	"4"	"2"	"3"	"0"	"6"	"3"	"1"	"1"	"487"	"0"	"487"	"0"	""
"243"	"138"	"0"	"1"	"389"	"11"	"13"	"0"	"0"	"12"	"1"	"0"	"1"	"8"	"1"	"0"	"0"	"437"	"0"	"437"	"0"	""
"244"	"139"	"3"	"2"	"296"	"18"	"86"	"1"	"4"	"18"	"2"	"2"	"3"	"105"	"3"	"9"	"20"	"572"	"0"	"572"	"0"	""
"245"	"140"	"4"	"78"	"226"	"4"	"146"	"2"	"4"	"4"	"9"	"1"	"4"	"61"	"1"	"2"	"1"	"547"	"0"	"547"	"0"	""
"246"	"Total"	"81"	"1596"	"3672"	"161"	"1108"	"36"	"74"	"431"	"62"	"37"	"30"	"260"	"59"	"82"	"74"	"7763"	"0"	"7763"	"0"	""
"247"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"04- Bagaha Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"Total No. of Electors in Assembly Constituency -      230072"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"04- Bagaha Legislative Assembly Constituency (Round - 11)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"Polling Station No."	"UMESH PRASAD"	"MD.KAMR AN"	"PRABHAT RANJAN SINGH"	"RANJEET RAO"	"RAM PRASAD YADAV"	"BECHU YADAV"	"BHIKHARI SAH"	"BHISAM SAHNI"	"RAJAT KUMAR SRIVASTV A"	"SHAILEND RA  SINGH, ALIES S.K.SINGH"	"ABHISHEK H       NATH TIWARI"	"GAJENDR A       DHAR MISHRA"	"VISHNU PRAKASH"	"SHIV KUMAR MISHRA"	"SATYANA RAYAN PRASAD YADAV"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"256"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"257"	"141"	"1"	"15"	"372"	"36"	"40"	"2"	"2"	"5"	"1"	"3"	"3"	"56"	"1"	"6"	"7"	"550"	"0"	"550"	"0"	""
"258"	"142"	"4"	"13"	"403"	"3"	"22"	"4"	"5"	"14"	"14"	"2"	"5"	"10"	"6"	"20"	"21"	"546"	"0"	"546"	"0"	""
"259"	"143"	"11"	"104"	"287"	"56"	"72"	"3"	"8"	"25"	"6"	"2"	"5"	"72"	"4"	"4"	"6"	"665"	"0"	"665"	"0"	""
"260"	"144"	"14"	"27"	"297"	"19"	"95"	"0"	"7"	"3"	"4"	"9"	"2"	"78"	"4"	"3"	"6"	"568"	"0"	"568"	"0"	""
"261"	"145"	"1"	"14"	"185"	"2"	"32"	"0"	"8"	"123"	"3"	"3"	"2"	"4"	"5"	"5"	"7"	"394"	"0"	"394"	"0"	""
"262"	"146"	"3"	"151"	"34"	"31"	"113"	"4"	"5"	"43"	"4"	"4"	"1"	"9"	"5"	"13"	"18"	"438"	"0"	"438"	"0"	""
"263"	"147"	"1"	"204"	"46"	"28"	"8"	"2"	"3"	"56"	"2"	"5"	"1"	"3"	"4"	"4"	"5"	"372"	"0"	"372"	"0"	""
"264"	"148"	"6"	"213"	"163"	"14"	"12"	"1"	"6"	"2"	"1"	"20"	"0"	"18"	"5"	"0"	"2"	"463"	"0"	"463"	"0"	""
"265"	"149"	"6"	"214"	"113"	"32"	"43"	"2"	"3"	"3"	"4"	"11"	"1"	"2"	"3"	"5"	"11"	"453"	"0"	"453"	"0"	""
"266"	"150"	"4"	"227"	"112"	"4"	"67"	"4"	"6"	"3"	"7"	"3"	"1"	"2"	"3"	"4"	"11"	"458"	"0"	"458"	"0"	""
"267"	"151"	"3"	"275"	"76"	"4"	"10"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"4"	"373"	"0"	"373"	"0"	""
"268"	"152"	"5"	"129"	"44"	"5"	"3"	"0"	"0"	"3"	"1"	"0"	"0"	"2"	"0"	"0"	"2"	"194"	"0"	"194"	"0"	""
"269"	"153"	"8"	"242"	"112"	"6"	"41"	"4"	"6"	"2"	"5"	"1"	"2"	"2"	"8"	"5"	"10"	"454"	"0"	"454"	"0"	""
"270"	"154"	"4"	"266"	"54"	"3"	"55"	"0"	"5"	"6"	"1"	"3"	"2"	"0"	"0"	"1"	"3"	"403"	"0"	"403"	"0"	""
"271"	"Total"	"71"	"2094"	"2298"	"243"	"613"	"26"	"64"	"288"	"53"	"66"	"26"	"258"	"48"	"70"	"113"	"6331"	"0"	"6331"	"0"	""
"272"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"04- Bagaha Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"Total No. of Electors in Assembly Constituency -      230072"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"04- Bagaha Legislative Assembly Constituency (Round - 12)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"Polling Station No."	"UMESH PRASAD"	"MD.KAMR AN"	"PRABHAT RANJAN SINGH"	"RANJEET RAO"	"RAM PRASAD YADAV"	"BECHU YADAV"	"BHIKHARI SAH"	"BHISAM SAHNI"	"RAJAT KUMAR SRIVASTV A"	"SHAILEND RA  SINGH, ALIES S.K.SINGH"	"ABHISHEK H       NATH TIWARI"	"GAJENDR A       DHAR MISHRA"	"VISHNU PRAKASH"	"SHIV KUMAR MISHRA"	"SATYANA RAYAN PRASAD YADAV"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"281"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"282"	"155"	"6"	"14"	"241"	"7"	"209"	"10"	"8"	"43"	"16"	"5"	"7"	"16"	"23"	"12"	"24"	"641"	"0"	"641"	"0"	""
"283"	"156"	"13"	"248"	"408"	"7"	"107"	"1"	"4"	"37"	"3"	"1"	"0"	"11"	"2"	"5"	"2"	"849"	"0"	"849"	"0"	""
"284"	"157"	"4"	"2"	"97"	"2"	"63"	"7"	"2"	"22"	"3"	"1"	"1"	"2"	"2"	"2"	"3"	"213"	"0"	"213"	"0"	""
"285"	"158"	"4"	"2"	"265"	"19"	"144"	"6"	"22"	"102"	"8"	"2"	"2"	"5"	"3"	"4"	"4"	"592"	"0"	"592"	"0"	""
"286"	"159"	"3"	"61"	"245"	"36"	"55"	"2"	"4"	"18"	"5"	"2"	"3"	"2"	"7"	"8"	"6"	"457"	"0"	"457"	"0"	""
"287"	"159 A"	"7"	"6"	"164"	"7"	"57"	"1"	"7"	"145"	"10"	"0"	"1"	"0"	"3"	"4"	"1"	"413"	"0"	"413"	"0"	""
"288"	"160"	"8"	"212"	"188"	"21"	"110"	"3"	"4"	"27"	"17"	"2"	"4"	"6"	"9"	"5"	"13"	"629"	"0"	"629"	"0"	""
"289"	"161"	"7"	"113"	"115"	"24"	"148"	"3"	"3"	"19"	"4"	"2"	"2"	"3"	"7"	"6"	"7"	"463"	"0"	"463"	"0"	""
"290"	"162"	"5"	"77"	"434"	"37"	"49"	"1"	"6"	"7"	"6"	"4"	"3"	"50"	"4"	"15"	"11"	"709"	"0"	"709"	"0"	""
"291"	"163"	"3"	"12"	"297"	"7"	"37"	"1"	"0"	"2"	"1"	"0"	"0"	"9"	"1"	"5"	"5"	"380"	"0"	"380"	"0"	""
"292"	"164"	"3"	"158"	"294"	"16"	"186"	"2"	"3"	"2"	"3"	"1"	"2"	"6"	"5"	"3"	"5"	"689"	"0"	"689"	"0"	""
"293"	"165"	"5"	"75"	"486"	"11"	"67"	"6"	"7"	"17"	"8"	"2"	"0"	"10"	"4"	"3"	"3"	"704"	"0"	"704"	"0"	""
"294"	"166"	"8"	"40"	"390"	"15"	"245"	"5"	"13"	"28"	"12"	"3"	"11"	"17"	"13"	"8"	"6"	"814"	"0"	"814"	"0"	""
"295"	"167"	"9"	"6"	"164"	"18"	"278"	"4"	"4"	"5"	"8"	"5"	"2"	"7"	"1"	"4"	"3"	"518"	"0"	"518"	"0"	""
"296"	"Total"	"85"	"1026"	"3788"	"227"	"1755"	"52"	"87"	"474"	"104"	"30"	"38"	"144"	"84"	"84"	"93"	"8071"	"0"	"8071"	"0"	""
"297"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"298"	"04- Bagaha Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"300"	"Total No. of Electors in Assembly Constituency -      230072"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"303"	"04- Bagaha Legislative Assembly Constituency (Round - 13)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"304"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
