"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"
"90"	"78"	"124"	""	"18"	""	"1"	""	"110"	""	""	"4"	""	"3"	""	"1"	""	"0"	""	"3"	""	"2"	""	"1"	""	"2"	""	"4"	""	"7"	""	"3"	""	"43"	""	"15"	""	"6"	""	"2"	""	"2"	""	"140"	""	"1"	""	"492"	""
"91"	"79"	"192"	""	"43"	""	"1"	""	"36"	""	""	"2"	""	"2"	""	"1"	""	"1"	""	"1"	""	"8"	""	"1"	""	"0"	""	"3"	""	"0"	""	"3"	""	"18"	""	"20"	""	"0"	""	"1"	""	"3"	""	"88"	""	"4"	""	"428"	""
"92"	"80"	"356"	""	"20"	""	"0"	""	"225"	""	""	"2"	""	"31"	""	"3"	""	"2"	""	"8"	""	"12"	""	"5"	""	"0"	""	"8"	""	"3"	""	"2"	""	"73"	""	"33"	""	"1"	""	"1"	""	"0"	""	"18"	""	"0"	""	"803"	""
"93"	"81"	"298"	""	"191"	""	"5"	""	"63"	""	""	"9"	""	"53"	""	"3"	""	"8"	""	"10"	""	"8"	""	"12"	""	"6"	""	"11"	""	"7"	""	"10"	""	"25"	""	"100"	""	"1"	""	"0"	""	"2"	""	"15"	""	"3"	""	"840"	""
"94"	"82"	"252"	""	"100"	""	"4"	""	"24"	""	""	"4"	""	"53"	""	"5"	""	"6"	""	"6"	""	"21"	""	"6"	""	"9"	""	"15"	""	"10"	""	"19"	""	"31"	""	"41"	""	"7"	""	"2"	""	"9"	""	"45"	""	"15"	""	"684"	""
"95"	"83"	"307"	""	"122"	""	"3"	""	"10"	""	""	"2"	""	"6"	""	"1"	""	"4"	""	"1"	""	"2"	""	"1"	""	"2"	""	"2"	""	"2"	""	"2"	""	"27"	""	"5"	""	"2"	""	"1"	""	"0"	""	"9"	""	"0"	""	"511"	""
"96"	"84"	"25"	""	"298"	""	"4"	""	"8"	""	""	"0"	""	"17"	""	"0"	""	"4"	""	"2"	""	"6"	""	"3"	""	"7"	""	"3"	""	"9"	""	"13"	""	"13"	""	"56"	""	"18"	""	"5"	""	"0"	""	"5"	""	"4"	""	"500"	""
"97"	"85"	"219"	""	"295"	""	"8"	""	"30"	""	""	"1"	""	"25"	""	"5"	""	"1"	""	"1"	""	"3"	""	"3"	""	"5"	""	"3"	""	"4"	""	"10"	""	"14"	""	"15"	""	"14"	""	"7"	""	"0"	""	"12"	""	"5"	""	"680"	""
"98"	"86"	"71"	""	"343"	""	"8"	""	"21"	""	""	"6"	""	"54"	""	"7"	""	"7"	""	"5"	""	"16"	""	"5"	""	"9"	""	"8"	""	"11"	""	"37"	""	"9"	""	"145"	""	"10"	""	"2"	""	"1"	""	"16"	""	"9"	""	"800"	""
"99"	"87"	"60"	""	"19"	""	"1"	""	"5"	""	""	"0"	""	"1"	""	"3"	""	"1"	""	"1"	""	"3"	""	"0"	""	"0"	""	"0"	""	"1"	""	"19"	""	"5"	""	"11"	""	"5"	""	"1"	""	"5"	""	"293"	""	"6"	""	"440"	""
"100"	"88"	"51"	""	"137"	""	"5"	""	"16"	""	""	"1"	""	"4"	""	"3"	""	"4"	""	"5"	""	"11"	""	"3"	""	"2"	""	"3"	""	"0"	""	"8"	""	"9"	""	"28"	""	"7"	""	"4"	""	"4"	""	"291"	""	"8"	""	"604"	""
"101"	"89"	"443"	""	"34"	""	"5"	""	"118"	""	""	"5"	""	"5"	""	"5"	""	"2"	""	"8"	""	"10"	""	"5"	""	"3"	""	"9"	""	"6"	""	"13"	""	"38"	""	"17"	""	"2"	""	"2"	""	"4"	""	"38"	""	"5"	""	"777"	""
"102"	"90"	"144"	""	"6"	""	"3"	""	"9"	""	""	"0"	""	"41"	""	"0"	""	"2"	""	"2"	""	"3"	""	"1"	""	"0"	""	"0"	""	"0"	""	"1"	""	"2"	""	"8"	""	"3"	""	"1"	""	"2"	""	"126"	""	"4"	""	"358"	""
"103"	"91"	"171"	""	"1"	""	"2"	""	"8"	""	""	"5"	""	"33"	""	"0"	""	"2"	""	"3"	""	"7"	""	"0"	""	"0"	""	"1"	""	"2"	""	"3"	""	"8"	""	"6"	""	"4"	""	"2"	""	"3"	""	"140"	""	"3"	""	"404"	""
"104"	"92"	"23"	""	"258"	""	"10"	""	"6"	""	""	"3"	""	"72"	""	"0"	""	"1"	""	"0"	""	"2"	""	"6"	""	"0"	""	"3"	""	"0"	""	"5"	""	"2"	""	"10"	""	"8"	""	"0"	""	"2"	""	"93"	""	"4"	""	"508"	""
"105"	"93"	"50"	""	"75"	""	"11"	""	"13"	""	""	"6"	""	"26"	""	"12"	""	"3"	""	"6"	""	"15"	""	"7"	""	"4"	""	"2"	""	"5"	""	"50"	""	"4"	""	"50"	""	"3"	""	"12"	""	"1"	""	"80"	""	"6"	""	"441"	""
"106"	"94"	"36"	""	"138"	""	"2"	""	"7"	""	""	"4"	""	"26"	""	"2"	""	"7"	""	"4"	""	"8"	""	"6"	""	"7"	""	"7"	""	"7"	""	"35"	""	"15"	""	"18"	""	"5"	""	"3"	""	"3"	""	"158"	""	"9"	""	"507"	""
"107"	"95"	"58"	""	"228"	""	"7"	""	"11"	""	""	"4"	""	"33"	""	"1"	""	"22"	""	"8"	""	"14"	""	"5"	""	"6"	""	"4"	""	"6"	""	"11"	""	"26"	""	"12"	""	"10"	""	"1"	""	"5"	""	"98"	""	"11"	""	"581"	""
"108"	"96"	"35"	""	"159"	""	"3"	""	"5"	""	""	"3"	""	"45"	""	"1"	""	"3"	""	"1"	""	"5"	""	"6"	""	"3"	""	"3"	""	"6"	""	"13"	""	"8"	""	"3"	""	"3"	""	"1"	""	"2"	""	"73"	""	"7"	""	"388"	""
"109"	"97"	"58"	""	"60"	""	"4"	""	"24"	""	""	"5"	""	"22"	""	"8"	""	"3"	""	"6"	""	"17"	""	"2"	""	"5"	""	"7"	""	"16"	""	"20"	""	"25"	""	"7"	""	"7"	""	"3"	""	"2"	""	"114"	""	"4"	""	"419"	""
"110"	"98"	"66"	""	"58"	""	"3"	""	"6"	""	""	"2"	""	"16"	""	"1"	""	"3"	""	"20"	""	"5"	""	"1"	""	"3"	""	"5"	""	"3"	""	"7"	""	"22"	""	"6"	""	"3"	""	"1"	""	"1"	""	"88"	""	"5"	""	"325"	""
"111"	"99"	"34"	""	"5"	""	"0"	""	"1"	""	""	"0"	""	"2"	""	"0"	""	"0"	""	"1"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"1"	""	"2"	""	"4"	""	"0"	""	"0"	""	"4"	""	"215"	""	"2"	""	"271"	""
"112"	"99A"	"91"	""	"18"	""	"4"	""	"1"	""	""	"0"	""	"10"	""	"1"	""	"1"	""	"4"	""	"2"	""	"0"	""	"2"	""	"1"	""	"1"	""	"3"	""	"10"	""	"11"	""	"1"	""	"1"	""	"4"	""	"170"	""	"5"	""	"341"	""
"113"	"100"	"52"	""	"2"	""	"1"	""	"0"	""	""	"0"	""	"2"	""	"0"	""	"1"	""	"3"	""	"3"	""	"0"	""	"0"	""	"1"	""	"1"	""	"0"	""	"12"	""	"29"	""	"4"	""	"1"	""	"4"	""	"200"	""	"10"	""	"326"	""
"114"	"101"	"32"	""	"47"	""	"4"	""	"13"	""	""	"3"	""	"60"	""	"3"	""	"3"	""	"35"	""	"8"	""	"7"	""	"3"	""	"7"	""	"3"	""	"12"	""	"14"	""	"16"	""	"4"	""	"3"	""	"2"	""	"164"	""	"11"	""	"454"	""
"115"	"102"	"278"	""	"27"	""	"9"	""	"6"	""	""	"2"	""	"9"	""	"3"	""	"1"	""	"5"	""	"11"	""	"2"	""	"2"	""	"2"	""	"3"	""	"1"	""	"13"	""	"13"	""	"0"	""	"2"	""	"1"	""	"91"	""	"3"	""	"484"	""
"116"	"103"	"208"	""	"121"	""	"7"	""	"11"	""	""	"3"	""	"72"	""	"6"	""	"1"	""	"4"	""	"4"	""	"6"	""	"0"	""	"5"	""	"1"	""	"5"	""	"21"	""	"25"	""	"10"	""	"9"	""	"11"	""	"80"	""	"6"	""	"616"	""
"117"	"104"	"244"	""	"82"	""	"6"	""	"9"	""	""	"3"	""	"36"	""	"1"	""	"1"	""	"3"	""	"6"	""	"5"	""	"2"	""	"4"	""	"4"	""	"7"	""	"59"	""	"15"	""	"6"	""	"1"	""	"2"	""	"48"	""	"3"	""	"547"	""
"118"	"105"	"160"	""	"42"	""	"5"	""	"7"	""	""	"0"	""	"2"	""	"1"	""	"1"	""	"1"	""	"6"	""	"2"	""	"4"	""	"7"	""	"4"	""	"5"	""	"76"	""	"9"	""	"2"	""	"2"	""	"1"	""	"7"	""	"2"	""	"346"	""
"119"	"106"	"378"	""	"25"	""	"6"	""	"23"	""	""	"2"	""	"63"	""	"3"	""	"1"	""	"8"	""	"6"	""	"1"	""	"2"	""	"4"	""	"1"	""	"8"	""	"20"	""	"7"	""	"0"	""	"1"	""	"1"	""	"37"	""	"0"	""	"597"	""
"120"	"106A"	"201"	""	"27"	""	"0"	""	"7"	""	""	"0"	""	"12"	""	"1"	""	"0"	""	"27"	""	"1"	""	"0"	""	"0"	""	"1"	""	"0"	""	"0"	""	"6"	""	"2"	""	"0"	""	"0"	""	"0"	""	"8"	""	"1"	""	"294"	""
"121"	"107"	"192"	""	"148"	""	"1"	""	"13"	""	""	"5"	""	"30"	""	"5"	""	"4"	""	"3"	""	"8"	""	"3"	""	"1"	""	"4"	""	"2"	""	"29"	""	"23"	""	"11"	""	"1"	""	"3"	""	"3"	""	"69"	""	"5"	""	"563"	""
"122"	"108"	"85"	""	"202"	""	"6"	""	"19"	""	""	"3"	""	"13"	""	"0"	""	"1"	""	"3"	""	"3"	""	"1"	""	"0"	""	"2"	""	"1"	""	"10"	""	"5"	""	"53"	""	"39"	""	"12"	""	"9"	""	"199"	""	"23"	""	"689"	""
"123"	"109"	"371"	""	"137"	""	"10"	""	"2"	""	""	"0"	""	"9"	""	"1"	""	"1"	""	"2"	""	"0"	""	"0"	""	"0"	""	"1"	""	"1"	""	"0"	""	"8"	""	"11"	""	"2"	""	"1"	""	"0"	""	"3"	""	"4"	""	"564"	""
"124"	"110"	"209"	""	"47"	""	"0"	""	"3"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"1"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"1"	""	"5"	""	"1"	""	"0"	""	"0"	""	"0"	""	"0"	""	"267"	""
"125"	"111"	"362"	""	"174"	""	"4"	""	"6"	""	""	"2"	""	"6"	""	"0"	""	"0"	""	"1"	""	"2"	""	"0"	""	"4"	""	"5"	""	"1"	""	"15"	""	"64"	""	"17"	""	"11"	""	"0"	""	"3"	""	"2"	""	"5"	""	"684"	""
"126"	"112"	"262"	""	"86"	""	"3"	""	"1"	""	""	"1"	""	"0"	""	"0"	""	"1"	""	"3"	""	"2"	""	"0"	""	"2"	""	"2"	""	"0"	""	"7"	""	"15"	""	"11"	""	"2"	""	"1"	""	"1"	""	"1"	""	"1"	""	"402"	""
"127"	"113"	"355"	""	"20"	""	"0"	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"1"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"1"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"377"	""
"128"	"114"	"619"	""	"50"	""	"1"	""	"4"	""	""	"0"	""	"2"	""	"0"	""	"3"	""	"0"	""	"1"	""	"1"	""	"0"	""	"2"	""	"3"	""	"1"	""	"21"	""	"44"	""	"2"	""	"0"	""	"0"	""	"3"	""	"4"	""	"761"	""
"129"	"115"	"509"	""	"109"	""	"6"	""	"8"	""	""	"1"	""	"6"	""	"0"	""	"0"	""	"0"	""	"1"	""	"0"	""	"1"	""	"1"	""	"0"	""	"1"	""	"11"	""	"2"	""	"2"	""	"0"	""	"0"	""	"0"	""	"0"	""	"658"	""
"130"	"116"	"248"	""	"50"	""	"1"	""	"0"	""	""	"0"	""	"37"	""	"2"	""	"0"	""	"2"	""	"3"	""	"0"	""	"0"	""	"0"	""	"0"	""	"2"	""	"4"	""	"9"	""	"2"	""	"0"	""	"0"	""	"50"	""	"5"	""	"415"	""
"131"	"117"	"462"	""	"237"	""	"8"	""	"5"	""	""	"5"	""	"2"	""	"0"	""	"1"	""	"2"	""	"2"	""	"2"	""	"3"	""	"4"	""	"0"	""	"7"	""	"14"	""	"7"	""	"1"	""	"0"	""	"0"	""	"3"	""	"0"	""	"765"	""
"132"	"118"	"419"	""	"27"	""	"4"	""	"6"	""	""	"1"	""	"5"	""	"0"	""	"0"	""	"3"	""	"1"	""	"0"	""	"1"	""	"0"	""	"1"	""	"1"	""	"5"	""	"5"	""	"0"	""	"1"	""	"0"	""	"2"	""	"1"	""	"483"	""
"133"	"119"	"311"	""	"46"	""	"3"	""	"3"	""	""	"1"	""	"10"	""	"0"	""	"0"	""	"0"	""	"2"	""	"0"	""	"0"	""	"1"	""	"0"	""	"0"	""	"4"	""	"17"	""	"6"	""	"3"	""	"5"	""	"9"	""	"2"	""	"423"	""
"134"	"120"	"383"	""	"89"	""	"3"	""	"1"	""	""	"0"	""	"4"	""	"2"	""	"1"	""	"1"	""	"2"	""	"1"	""	"1"	""	"3"	""	"3"	""	"2"	""	"13"	""	"14"	""	"2"	""	"1"	""	"0"	""	"3"	""	"1"	""	"530"	""
"135"	"121"	"267"	""	"109"	""	"3"	""	"11"	""	""	"2"	""	"23"	""	"3"	""	"2"	""	"2"	""	"0"	""	"3"	""	"3"	""	"6"	""	"4"	""	"8"	""	"13"	""	"5"	""	"5"	""	"1"	""	"0"	""	"0"	""	"0"	""	"470"	""
"136"	"122"	"423"	""	"155"	""	"2"	""	"2"	""	""	"2"	""	"7"	""	"0"	""	"1"	""	"1"	""	"2"	""	"4"	""	"4"	""	"1"	""	"3"	""	"6"	""	"31"	""	"53"	""	"3"	""	"8"	""	"1"	""	"0"	""	"3"	""	"712"	""
"137"	"123"	"236"	""	"64"	""	"2"	""	"0"	""	""	"1"	""	"1"	""	"0"	""	"0"	""	"2"	""	"1"	""	"1"	""	"1"	""	"3"	""	"1"	""	"2"	""	"12"	""	"11"	""	"3"	""	"0"	""	"0"	""	"0"	""	"3"	""	"344"	""
"138"	"124"	"337"	""	"225"	""	"10"	""	"7"	""	""	"3"	""	"4"	""	"4"	""	"3"	""	"3"	""	"4"	""	"0"	""	"0"	""	"2"	""	"2"	""	"2"	""	"10"	""	"2"	""	"0"	""	"1"	""	"1"	""	"0"	""	"16"	""	"636"	""
"139"	"125"	"98"	""	"300"	""	"7"	""	"8"	""	""	"3"	""	"25"	""	"2"	""	"2"	""	"2"	""	"3"	""	"2"	""	"0"	""	"1"	""	"3"	""	"2"	""	"7"	""	"8"	""	"4"	""	"1"	""	"1"	""	"2"	""	"2"	""	"483"	""
"140"	"126"	"243"	""	"225"	""	"5"	""	"6"	""	""	"2"	""	"9"	""	"1"	""	"0"	""	"2"	""	"0"	""	"1"	""	"1"	""	"3"	""	"1"	""	"4"	""	"10"	""	"18"	""	"18"	""	"0"	""	"3"	""	"1"	""	"2"	""	"555"	""
"141"	"127"	"342"	""	"243"	""	"8"	""	"7"	""	""	"1"	""	"9"	""	"2"	""	"2"	""	"1"	""	"4"	""	"0"	""	"2"	""	"1"	""	"2"	""	"6"	""	"28"	""	"3"	""	"2"	""	"0"	""	"0"	""	"2"	""	"4"	""	"669"	""
"142"	"128"	"187"	""	"88"	""	"4"	""	"6"	""	""	"4"	""	"14"	""	"1"	""	"1"	""	"0"	""	"1"	""	"2"	""	"2"	""	"6"	""	"1"	""	"10"	""	"8"	""	"0"	""	"4"	""	"0"	""	"1"	""	"0"	""	"3"	""	"343"	""
"143"	"129"	"285"	""	"130"	""	"4"	""	"8"	""	""	"2"	""	"45"	""	"1"	""	"3"	""	"3"	""	"1"	""	"3"	""	"5"	""	"3"	""	"4"	""	"5"	""	"24"	""	"6"	""	"1"	""	"1"	""	"1"	""	"10"	""	"3"	""	"548"	""
"144"	"130"	"359"	""	"135"	""	"4"	""	"3"	""	""	"1"	""	"25"	""	"2"	""	"0"	""	"2"	""	"1"	""	"1"	""	"3"	""	"4"	""	"1"	""	"8"	""	"31"	""	"10"	""	"3"	""	"2"	""	"2"	""	"2"	""	"7"	""	"606"	""
"145"	"131"	"136"	""	"45"	""	"1"	""	"0"	""	""	"0"	""	"22"	""	"0"	""	"0"	""	"1"	""	"4"	""	"0"	""	"0"	""	"3"	""	"3"	""	"2"	""	"11"	""	"12"	""	"4"	""	"0"	""	"2"	""	"100"	""	"6"	""	"352"	""
"146"	"132"	"222"	""	"197"	""	"11"	""	"8"	""	""	"2"	""	"12"	""	"1"	""	"3"	""	"3"	""	"2"	""	"7"	""	"2"	""	"9"	""	"13"	""	"14"	""	"33"	""	"12"	""	"6"	""	"2"	""	"0"	""	"9"	""	"2"	""	"570"	""
"147"	"133"	"380"	""	"130"	""	"6"	""	"2"	""	""	"2"	""	"9"	""	"0"	""	"0"	""	"0"	""	"1"	""	"1"	""	"0"	""	"1"	""	"1"	""	"4"	""	"10"	""	"25"	""	"4"	""	"5"	""	"0"	""	"5"	""	"7"	""	"593"	""
"148"	"134"	"534"	""	"337"	""	"5"	""	"5"	""	""	"1"	""	"4"	""	"0"	""	"2"	""	"0"	""	"5"	""	"2"	""	"3"	""	"2"	""	"8"	""	"18"	""	"28"	""	"9"	""	"0"	""	"1"	""	"3"	""	"3"	""	"1"	""	"971"	""
"149"	"135"	"470"	""	"198"	""	"2"	""	"2"	""	""	"0"	""	"3"	""	"0"	""	"1"	""	"1"	""	"0"	""	"2"	""	"2"	""	"3"	""	"0"	""	"5"	""	"13"	""	"25"	""	"8"	""	"4"	""	"3"	""	"4"	""	"5"	""	"751"	""
"150"	"136"	"377"	""	"65"	""	"2"	""	"6"	""	""	"0"	""	"16"	""	"0"	""	"0"	""	"2"	""	"1"	""	"2"	""	"1"	""	"3"	""	"4"	""	"5"	""	"19"	""	"25"	""	"6"	""	"2"	""	"2"	""	"6"	""	"14"	""	"558"	""
"151"	"137"	"196"	""	"12"	""	"2"	""	"0"	""	""	"0"	""	"8"	""	"0"	""	"0"	""	"0"	""	"3"	""	"0"	""	"1"	""	"1"	""	"0"	""	"0"	""	"5"	""	"7"	""	"0"	""	"0"	""	"0"	""	"6"	""	"9"	""	"250"	""
"152"	"138"	"404"	""	"38"	""	"2"	""	"1"	""	""	"3"	""	"10"	""	"0"	""	"1"	""	"2"	""	"2"	""	"1"	""	"1"	""	"2"	""	"3"	""	"7"	""	"23"	""	"15"	""	"6"	""	"0"	""	"1"	""	"15"	""	"10"	""	"547"	""
"153"	"139"	"129"	""	"151"	""	"16"	""	"14"	""	""	"2"	""	"90"	""	"2"	""	"9"	""	"7"	""	"7"	""	"4"	""	"1"	""	"3"	""	"0"	""	"5"	""	"15"	""	"6"	""	"4"	""	"3"	""	"2"	""	"42"	""	"17"	""	"529"	""
"154"	"140"	"93"	""	"134"	""	"8"	""	"10"	""	""	"2"	""	"62"	""	"7"	""	"91"	""	"4"	""	"4"	""	"2"	""	"2"	""	"4"	""	"2"	""	"38"	""	"19"	""	"50"	""	"5"	""	"6"	""	"3"	""	"17"	""	"6"	""	"569"	""
"155"	"141"	"176"	""	"101"	""	"7"	""	"4"	""	""	"1"	""	"46"	""	"3"	""	"3"	""	"2"	""	"2"	""	"3"	""	"2"	""	"3"	""	"3"	""	"11"	""	"32"	""	"14"	""	"4"	""	"0"	""	"0"	""	"4"	""	"6"	""	"427"	""
"156"	"142"	"181"	""	"166"	""	"5"	""	"100"	""	""	"5"	""	"35"	""	"6"	""	"2"	""	"3"	""	"9"	""	"5"	""	"5"	""	"8"	""	"4"	""	"15"	""	"54"	""	"53"	""	"7"	""	"0"	""	"3"	""	"4"	""	"30"	""	"700"	""
"157"	"143"	"160"	""	"90"	""	"1"	""	"4"	""	""	"2"	""	"4"	""	"12"	""	"3"	""	"1"	""	"2"	""	"1"	""	"2"	""	"2"	""	"1"	""	"5"	""	"15"	""	"16"	""	"5"	""	"4"	""	"2"	""	"6"	""	"81"	""	"419"	""
"158"	"143A"	"252"	""	"43"	""	"0"	""	"5"	""	""	"4"	""	"18"	""	"5"	""	"1"	""	"1"	""	"2"	""	"0"	""	"0"	""	"1"	""	"1"	""	"5"	""	"17"	""	"12"	""	"3"	""	"2"	""	"2"	""	"5"	""	"21"	""	"400"	""
"159"	"144"	"216"	""	"23"	""	"2"	""	"11"	""	""	"0"	""	"26"	""	"1"	""	"1"	""	"4"	""	"4"	""	"1"	""	"0"	""	"2"	""	"2"	""	"2"	""	"35"	""	"29"	""	"6"	""	"0"	""	"2"	""	"34"	""	"4"	""	"405"	""
"160"	"145"	"261"	""	"267"	""	"7"	""	"10"	""	""	"3"	""	"24"	""	"2"	""	"6"	""	"5"	""	"2"	""	"3"	""	"3"	""	"4"	""	"8"	""	"18"	""	"47"	""	"25"	""	"18"	""	"2"	""	"3"	""	"3"	""	"9"	""	"730"	""
"161"	"146"	"263"	""	"53"	""	"3"	""	"9"	""	""	"2"	""	"15"	""	"0"	""	"1"	""	"2"	""	"4"	""	"2"	""	"2"	""	"0"	""	"0"	""	"1"	""	"31"	""	"8"	""	"0"	""	"2"	""	"0"	""	"4"	""	"3"	""	"405"	""
"162"	"147"	"92"	""	"293"	""	"9"	""	"28"	""	""	"1"	""	"11"	""	"2"	""	"4"	""	"5"	""	"7"	""	"6"	""	"12"	""	"6"	""	"11"	""	"19"	""	"28"	""	"18"	""	"13"	""	"5"	""	"2"	""	"19"	""	"9"	""	"600"	""
"163"	"148"	"42"	""	"257"	""	"11"	""	"16"	""	""	"1"	""	"9"	""	"3"	""	"0"	""	"1"	""	"2"	""	"0"	""	"4"	""	"1"	""	"2"	""	"3"	""	"9"	""	"34"	""	"22"	""	"3"	""	"4"	""	"3"	""	"2"	""	"429"	""
"164"	"149"	"200"	""	"60"	""	"7"	""	"13"	""	""	"2"	""	"23"	""	"6"	""	"2"	""	"6"	""	"11"	""	"2"	""	"1"	""	"5"	""	"5"	""	"9"	""	"51"	""	"29"	""	"4"	""	"1"	""	"1"	""	"15"	""	"2"	""	"455"	""
"165"	"150"	"133"	""	"208"	""	"5"	""	"11"	""	""	"1"	""	"9"	""	"4"	""	"1"	""	"5"	""	"16"	""	"3"	""	"3"	""	"7"	""	"4"	""	"14"	""	"29"	""	"157"	""	"17"	""	"2"	""	"5"	""	"26"	""	"8"	""	"668"	""
"166"	"151"	"73"	""	"52"	""	"1"	""	"8"	""	""	"8"	""	"11"	""	"2"	""	"0"	""	"2"	""	"6"	""	"1"	""	"4"	""	"6"	""	"2"	""	"6"	""	"4"	""	"12"	""	"8"	""	"0"	""	"5"	""	"117"	""	"2"	""	"330"	""
"167"	"152"	"53"	""	"2"	""	"1"	""	"1"	""	""	"1"	""	"3"	""	"0"	""	"0"	""	"1"	""	"2"	""	"3"	""	"3"	""	"4"	""	"5"	""	"9"	""	"15"	""	"12"	""	"5"	""	"2"	""	"9"	""	"396"	""	"9"	""	"536"	""
"168"	"153"	"85"	""	"79"	""	"3"	""	"2"	""	""	"1"	""	"18"	""	"2"	""	"0"	""	"3"	""	"5"	""	"1"	""	"0"	""	"0"	""	"0"	""	"6"	""	"4"	""	"9"	""	"8"	""	"0"	""	"1"	""	"282"	""	"8"	""	"517"	""
"169"	"154"	"218"	""	"175"	""	"8"	""	"11"	""	""	"3"	""	"25"	""	"3"	""	"3"	""	"4"	""	"10"	""	"3"	""	"5"	""	"4"	""	"5"	""	"11"	""	"57"	""	"38"	""	"9"	""	"3"	""	"9"	""	"105"	""	"8"	""	"717"	""
"170"	"155"	"244"	""	"28"	""	"4"	""	"14"	""	""	"1"	""	"63"	""	"2"	""	"1"	""	"1"	""	"3"	""	"0"	""	"1"	""	"0"	""	"2"	""	"2"	""	"53"	""	"30"	""	"1"	""	"3"	""	"9"	""	"155"	""	"16"	""	"633"	""
"171"	"156"	"174"	""	"34"	""	"4"	""	"5"	""	""	"1"	""	"37"	""	"1"	""	"0"	""	"1"	""	"10"	""	"5"	""	"0"	""	"3"	""	"1"	""	"6"	""	"7"	""	"17"	""	"3"	""	"0"	""	"1"	""	"135"	""	"4"	""	"449"	""
"172"	"157"	"99"	""	"63"	""	"2"	""	"4"	""	""	"5"	""	"42"	""	"4"	""	"2"	""	"2"	""	"5"	""	"1"	""	"3"	""	"1"	""	"7"	""	"10"	""	"21"	""	"23"	""	"12"	""	"0"	""	"3"	""	"96"	""	"4"	""	"409"	""
"173"	"158"	"54"	""	"42"	""	"8"	""	"7"	""	""	"2"	""	"10"	""	"4"	""	"4"	""	"7"	""	"21"	""	"4"	""	"2"	""	"6"	""	"16"	""	"24"	""	"26"	""	"187"	""	"8"	""	"4"	""	"5"	""	"108"	""	"10"	""	"559"	""
"174"	"159"	"103"	""	"80"	""	"3"	""	"9"	""	""	"4"	""	"14"	""	"2"	""	"1"	""	"2"	""	"7"	""	"1"	""	"2"	""	"2"	""	"6"	""	"13"	""	"201"	""	"7"	""	"2"	""	"0"	""	"3"	""	"87"	""	"2"	""	"551"	""
"175"	"160"	"427"	""	"20"	""	"5"	""	"28"	""	""	"1"	""	"15"	""	"0"	""	"3"	""	"9"	""	"4"	""	"1"	""	"2"	""	"6"	""	"0"	""	"6"	""	"91"	""	"59"	""	"1"	""	"3"	""	"2"	""	"147"	""	"4"	""	"834"	""
"176"	"161"	"218"	""	"20"	""	"2"	""	"61"	""	""	"7"	""	"15"	""	"4"	""	"3"	""	"8"	""	"7"	""	"3"	""	"2"	""	"8"	""	"6"	""	"7"	""	"152"	""	"32"	""	"2"	""	"2"	""	"0"	""	"81"	""	"5"	""	"645"	""
"177"	"162"	"138"	""	"223"	""	"4"	""	"50"	""	""	"5"	""	"21"	""	"4"	""	"4"	""	"3"	""	"5"	""	"1"	""	"6"	""	"2"	""	"5"	""	"11"	""	"16"	""	"115"	""	"21"	""	"7"	""	"4"	""	"104"	""	"16"	""	"765"	""
"178"	"163"	"180"	""	"44"	""	"6"	""	"4"	""	""	"0"	""	"8"	""	"0"	""	"0"	""	"1"	""	"1"	""	"2"	""	"1"	""	"4"	""	"0"	""	"5"	""	"15"	""	"31"	""	"8"	""	"5"	""	"7"	""	"374"	""	"14"	""	"710"	""
"179"	"164"	"123"	""	"31"	""	"6"	""	"210"	""	""	"3"	""	"6"	""	"3"	""	"1"	""	"1"	""	"12"	""	"0"	""	"4"	""	"7"	""	"6"	""	"5"	""	"21"	""	"18"	""	"2"	""	"0"	""	"0"	""	"20"	""	"3"	""	"482"	""
"180"	"165"	"163"	""	"99"	""	"0"	""	"94"	""	""	"2"	""	"21"	""	"0"	""	"2"	""	"2"	""	"2"	""	"2"	""	"2"	""	"2"	""	"2"	""	"4"	""	"27"	""	"21"	""	"10"	""	"1"	""	"1"	""	"38"	""	"10"	""	"505"	""
"181"	"166"	"290"	""	"31"	""	"3"	""	"120"	""	""	"4"	""	"16"	""	"3"	""	"4"	""	"6"	""	"3"	""	"3"	""	"1"	""	"52"	""	"5"	""	"4"	""	"40"	""	"14"	""	"3"	""	"0"	""	"5"	""	"5"	""	"3"	""	"615"	""
