"fo.kku.l.Hkk.fuokZpu..ks..dh.l.a....k...oa.uke...210.fnukj.k..........................................fuokZpdksa.dh.dyq"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"123"	"14"	"81"	"298"	"17"	"165"	"9"	"5"	"261"	"10"	"5"	"4"	"10"	"8"	"1"	"6"	"37"	"4"	"15"	"11"	"866"	"0"	"866"	"0"
"124"	"; ksx"	""	"16108"	"672"	"3272"	"2950"	"1029"	"8665"	"222"	"451"	"157"	"311"	"455"	"164"	"1723"	"2931"	"228"	"1578"	"558"	"41474"	"0"	"41474"	"0"
"125"	"fo/kku l Hkk fuokZpu {ks= dh l a[ ; k , oa uke % 210 fnukj k                                          fuokZpdksa dh dyq"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"l a[ ; k%&237760"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"Vscqy  l a[ ; k"	"er nku  d sUnz  dh  l a[ ; k"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/kekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"dqy  er ksa dh l a[ ; k"	"fufonÙk er ksa dh l a[ ; k"
"128"	""	""	"t ;   d qekj  fl ag"	"j ?kqukFk  fl ag"	"' khy k  fl ag"	"l R; sUnz  ukj k; . k fl ag"	"l fj r k  fl ag"	"l hr k  l qanj h  nsoh"	"v j foan  d qekj i kl oku"	"dey  fd ' kksj  esgr k"	"d `\". k  eqj kj h  j k;"	"i q\"i k  fl Ugk"	"eukst   d qekj mt ky k"	"egsaUnz  fl ag"	"j ke  cpu  d sl j h"	"v t hr  d qekj"	"vkse  i zd k' k  pkS/kj h"	"eku  fl ag"	"j ek' kad j  i k. Ms;"	""	""	""	""
"129"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"130"	"fi Ny s  dk  ; ksx"	""	"16108"	"672"	"3272"	"2950"	"1029"	"8665"	"222"	"451"	"157"	"311"	"455"	"164"	"1723"	"2931"	"228"	"1578"	"558"	"41474"	"0"	"41474"	"0"
"131"	"1"	"82"	"138"	"1"	"73"	"6"	"0"	"63"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"13"	"3"	"19"	"3"	"323"	"0"	"323"	"0"
"132"	"2"	"83"	"146"	"16"	"258"	"5"	"2"	"77"	"2"	"1"	"2"	"7"	"10"	"2"	"4"	"90"	"0"	"11"	"2"	"635"	"0"	"635"	"0"
"133"	"3"	"84"	"304"	"5"	"26"	"111"	"2"	"1"	"1"	"1"	"0"	"4"	"1"	"2"	"5"	"23"	"0"	"12"	"12"	"510"	"0"	"510"	"0"
"134"	"4"	"85"	"385"	"11"	"59"	"41"	"3"	"159"	"4"	"4"	"1"	"3"	"9"	"1"	"4"	"31"	"1"	"19"	"16"	"751"	"0"	"751"	"0"
"135"	"5"	"86"	"72"	"4"	"148"	"61"	"4"	"37"	"1"	"0"	"4"	"1"	"2"	"5"	"28"	"57"	"4"	"46"	"1"	"475"	"0"	"475"	"0"
"136"	"6"	"87"	"357"	"8"	"34"	"72"	"3"	"124"	"2"	"1"	"2"	"5"	"5"	"3"	"28"	"4"	"2"	"11"	"50"	"711"	"0"	"711"	"0"
"137"	"7"	"88"	"167"	"1"	"24"	"32"	"3"	"349"	"6"	"3"	"0"	"4"	"22"	"4"	"47"	"7"	"1"	"24"	"20"	"714"	"0"	"714"	"0"
"138"	"8"	"89"	"185"	"5"	"64"	"43"	"5"	"336"	"8"	"3"	"7"	"6"	"24"	"2"	"14"	"12"	"5"	"9"	"20"	"748"	"0"	"748"	"0"
"139"	"9"	"90"	"265"	"9"	"40"	"159"	"2"	"93"	"1"	"3"	"1"	"2"	"11"	"2"	"25"	"4"	"1"	"2"	"2"	"622"	"0"	"622"	"0"
"140"	"10"	"91"	"207"	"4"	"10"	"16"	"1"	"110"	"3"	"5"	"1"	"0"	"6"	"0"	"12"	"6"	"2"	"2"	"10"	"395"	"0"	"395"	"0"
"141"	"11"	"92"	"212"	"5"	"33"	"104"	"1"	"29"	"1"	"1"	"4"	"4"	"2"	"1"	"5"	"61"	"9"	"15"	"23"	"510"	"0"	"510"	"0"
"142"	"12"	"93"	"239"	"1"	"25"	"117"	"2"	"12"	"0"	"1"	"0"	"2"	"3"	"0"	"3"	"31"	"1"	"19"	"27"	"483"	"0"	"483"	"0"
"143"	"13"	"94"	"234"	"4"	"19"	"79"	"23"	"118"	"4"	"1"	"0"	"0"	"10"	"4"	"1"	"3"	"4"	"15"	"5"	"524"	"0"	"524"	"0"
"144"	"14"	"95"	"245"	"3"	"70"	"4"	"3"	"79"	"1"	"0"	"1"	"1"	"3"	"0"	"0"	"33"	"5"	"6"	"1"	"455"	"0"	"455"	"0"
"145"	"; ksx"	""	"19264"	"749"	"4155"	"3800"	"1083"	"10252"	"258"	"476"	"180"	"351"	"563"	"190"	"1899"	"3306"	"266"	"1788"	"750"	"49330"	"0"	"49330"	"0"
"146"	"fo/kku l Hkk fuokZpu {ks= dh l a[ ; k , oa uke % 210 fnukj k                                          fuokZpdksa dh dyq"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"l a[ ; k%&237760"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"Vscqy  l a[ ; k"	"er nku  d sUnz  dh  l a[ ; k"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/kekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"dqy  er ksa dh l a[ ; k"	"fufonÙk er ksa dh l a[ ; k"
"149"	""	""	"t ;   d qekj  fl ag"	"j ?kqukFk  fl ag"	"' khy k  fl ag"	"l R; sUnz  ukj k; . k fl ag"	"l fj r k  fl ag"	"l hr k  l qanj h  nsoh"	"v j foan  d qekj i kl oku"	"dey  fd ' kksj  esgr k"	"d `\". k  eqj kj h  j k;"	"i q\"i k  fl Ugk"	"eukst   d qekj mt ky k"	"egsaUnz  fl ag"	"j ke  cpu  d sl j h"	"v t hr  d qekj"	"vkse  i zd k' k  pkS/kj h"	"eku  fl ag"	"j ek' kad j  i k. Ms;"	""	""	""	""
"150"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"151"	"fi Ny s  dk  ; ksx"	""	"19264"	"749"	"4155"	"3800"	"1083"	"10252"	"258"	"476"	"180"	"351"	"563"	"190"	"1899"	"3306"	"266"	"1788"	"750"	"49330"	"0"	"49330"	"0"
"152"	"1"	"96"	"26"	"3"	"1"	"7"	"2"	"244"	"1"	"1"	"0"	"1"	"4"	"0"	"1"	"19"	"1"	"5"	"3"	"319"	"0"	"319"	"0"
"153"	"2"	"97"	"70"	"2"	"60"	"8"	"6"	"256"	"31"	"2"	"1"	"1"	"51"	"0"	"2"	"1"	"1"	"3"	"0"	"495"	"0"	"495"	"0"
"154"	"3"	"98"	"84"	"2"	"62"	"2"	"2"	"165"	"6"	"3"	"5"	"8"	"6"	"1"	"4"	"10"	"2"	"22"	"6"	"390"	"0"	"390"	"0"
"155"	"4"	"99"	"220"	"11"	"223"	"53"	"1"	"39"	"3"	"2"	"1"	"17"	"6"	"2"	"5"	"20"	"5"	"14"	"6"	"628"	"0"	"628"	"0"
"156"	"5"	"100"	"194"	"2"	"7"	"149"	"3"	"52"	"0"	"7"	"2"	"1"	"7"	"3"	"10"	"2"	"4"	"21"	"17"	"481"	"0"	"481"	"0"
"157"	"6"	"101"	"174"	"2"	"7"	"49"	"1"	"112"	"1"	"0"	"3"	"1"	"9"	"0"	"2"	"9"	"2"	"9"	"4"	"385"	"0"	"385"	"0"
"158"	"7"	"102"	"290"	"4"	"26"	"4"	"4"	"158"	"6"	"1"	"0"	"1"	"41"	"0"	"2"	"4"	"0"	"4"	"3"	"548"	"0"	"548"	"0"
"159"	"8"	"103"	"269"	"10"	"54"	"35"	"5"	"101"	"19"	"5"	"6"	"5"	"6"	"3"	"5"	"127"	"3"	"29"	"10"	"692"	"0"	"692"	"0"
"160"	"9"	"104"	"260"	"1"	"3"	"3"	"0"	"75"	"0"	"0"	"1"	"1"	"19"	"0"	"2"	"5"	"0"	"1"	"11"	"382"	"0"	"382"	"0"
"161"	"10"	"105"	"159"	"3"	"3"	"28"	"1"	"89"	"0"	"0"	"0"	"1"	"12"	"0"	"2"	"5"	"0"	"7"	"3"	"313"	"0"	"313"	"0"
"162"	"11"	"106"	"140"	"2"	"3"	"27"	"0"	"13"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"6"	"0"	"3"	"2"	"199"	"0"	"199"	"0"
"163"	"12"	"107"	"33"	"1"	"45"	"65"	"2"	"42"	"0"	"0"	"1"	"1"	"9"	"1"	"4"	"43"	"4"	"5"	"1"	"257"	"0"	"257"	"0"
"164"	"13"	"108"	"112"	"11"	"12"	"9"	"3"	"85"	"2"	"6"	"3"	"0"	"18"	"2"	"2"	"73"	"5"	"7"	"2"	"352"	"0"	"352"	"0"
"165"	"14"	"109"	"290"	"12"	"25"	"59"	"2"	"104"	"0"	"0"	"5"	"0"	"8"	"1"	"0"	"41"	"2"	"8"	"5"	"562"	"0"	"562"	"0"
"166"	"; ksx"	""	"21585"	"815"	"4686"	"4298"	"1115"	"11787"	"327"	"503"	"208"	"389"	"760"	"204"	"1941"	"3671"	"295"	"1926"	"823"	"55333"	"0"	"55333"	"0"
"167"	"fo/kku l Hkk fuokZpu {ks= dh l a[ ; k , oa uke % 210 fnukj k                                          fuokZpdksa dh dyq"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"168"	"l a[ ; k%&237760"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"Vscqy  l a[ ; k"	"er nku  d sUnz  dh  l a[ ; k"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/kekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"dqy  er ksa dh l a[ ; k"	"fufonÙk er ksa dh l a[ ; k"
"170"	""	""	"t ;   d qekj  fl ag"	"j ?kqukFk  fl ag"	"' khy k  fl ag"	"l R; sUnz  ukj k; . k fl ag"	"l fj r k  fl ag"	"l hr k  l qanj h  nsoh"	"v j foan  d qekj i kl oku"	"dey  fd ' kksj  esgr k"	"d `\". k  eqj kj h  j k;"	"i q\"i k  fl Ugk"	"eukst   d qekj mt ky k"	"egsaUnz  fl ag"	"j ke  cpu  d sl j h"	"v t hr  d qekj"	"vkse  i zd k' k  pkS/kj h"	"eku  fl ag"	"j ek' kad j  i k. Ms;"	""	""	""	""
"171"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"172"	"fi Ny s  dk  ; ksx"	""	"21585"	"815"	"4686"	"4298"	"1115"	"11787"	"327"	"503"	"208"	"389"	"760"	"204"	"1941"	"3671"	"295"	"1926"	"823"	"55333"	"0"	"55333"	"0"
"173"	"1"	"110"	"173"	"0"	"22"	"3"	"2"	"18"	"0"	"2"	"2"	"4"	"2"	"1"	"6"	"106"	"0"	"15"	"7"	"363"	"0"	"363"	"0"
"174"	"2"	"111"	"96"	"4"	"99"	"93"	"8"	"274"	"8"	"1"	"1"	"4"	"8"	"9"	"3"	"11"	"1"	"5"	"3"	"628"	"0"	"628"	"0"
"175"	"3"	"112"	"197"	"4"	"27"	"28"	"1"	"87"	"1"	"0"	"0"	"3"	"0"	"1"	"3"	"2"	"1"	"3"	"12"	"370"	"0"	"370"	"0"
"176"	"4"	"113"	"329"	"10"	"9"	"36"	"2"	"97"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"1"	"1"	"4"	"1"	"494"	"0"	"494"	"0"
"177"	"5"	"114"	"418"	"5"	"48"	"49"	"4"	"213"	"7"	"5"	"2"	"5"	"4"	"1"	"5"	"12"	"3"	"11"	"8"	"800"	"0"	"800"	"0"
"178"	"6"	"115"	"303"	"7"	"92"	"44"	"4"	"279"	"4"	"4"	"4"	"3"	"4"	"1"	"7"	"80"	"1"	"5"	"3"	"845"	"0"	"845"	"0"
"179"	"7"	"116"	"221"	"1"	"0"	"0"	"1"	"107"	"0"	"0"	"1"	"0"	"0"	"1"	"21"	"3"	"3"	"0"	"2"	"361"	"0"	"361"	"0"
"180"	"8"	"117"	"246"	"6"	"8"	"55"	"3"	"115"	"8"	"1"	"0"	"0"	"2"	"1"	"2"	"26"	"0"	"12"	"4"	"489"	"0"	"489"	"0"
"181"	"9"	"118"	"284"	"10"	"13"	"10"	"1"	"44"	"3"	"3"	"4"	"8"	"4"	"4"	"41"	"185"	"8"	"17"	"19"	"658"	"0"	"658"	"0"
"182"	"10"	"119"	"164"	"5"	"91"	"125"	"2"	"2"	"1"	"0"	"1"	"1"	"1"	"3"	"3"	"42"	"2"	"10"	"10"	"463"	"0"	"463"	"0"
"183"	"11"	"120"	"154"	"1"	"2"	"10"	"1"	"38"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"14"	"0"	"6"	"3"	"230"	"0"	"230"	"0"
"184"	"12"	"121"	"270"	"6"	"10"	"16"	"1"	"81"	"1"	"3"	"0"	"6"	"3"	"4"	"27"	"50"	"5"	"10"	"14"	"507"	"0"	"507"	"0"
"185"	"13"	"122"	"135"	"7"	"14"	"25"	"3"	"243"	"5"	"1"	"1"	"7"	"3"	"2"	"3"	"69"	"2"	"2"	"0"	"522"	"0"	"522"	"0"
"186"	"14"	"123"	"264"	"9"	"59"	"59"	"6"	"68"	"3"	"11"	"2"	"1"	"1"	"2"	"9"	"182"	"3"	"10"	"1"	"690"	"0"	"690"	"0"
"187"	"; ksx"	""	"24839"	"890"	"5180"	"4851"	"1154"	"13453"	"368"	"535"	"226"	"431"	"793"	"235"	"2073"	"4454"	"325"	"2036"	"910"	"62753"	"0"	"62753"	"0"
"188"	"fo/kku l Hkk fuokZpu {ks= dh l a[ ; k , oa uke % 210 fnukj k                                          fuokZpdksa dh dyq"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"189"	"l a[ ; k%&237760"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"190"	"Vscqy  l a[ ; k"	"er nku  d sUnz  dh  l a[ ; k"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/kekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"dqy  er ksa dh l a[ ; k"	"fufonÙk er ksa dh l a[ ; k"
"191"	""	""	"t ;   d qekj  fl ag"	"j ?kqukFk  fl ag"	"' khy k  fl ag"	"l R; sUnz  ukj k; . k fl ag"	"l fj r k  fl ag"	"l hr k  l qanj h  nsoh"	"v j foan  d qekj i kl oku"	"dey  fd ' kksj  esgr k"	"d `\". k  eqj kj h  j k;"	"i q\"i k  fl Ugk"	"eukst   d qekj mt ky k"	"egsaUnz  fl ag"	"j ke  cpu  d sl j h"	"v t hr  d qekj"	"vkse  i zd k' k  pkS/kj h"	"eku  fl ag"	"j ek' kad j  i k. Ms;"	""	""	""	""
"192"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"193"	"fi Ny s  dk  ; ksx"	""	"24839"	"890"	"5180"	"4851"	"1154"	"13453"	"368"	"535"	"226"	"431"	"793"	"235"	"2073"	"4454"	"325"	"2036"	"910"	"62753"	"0"	"62753"	"0"
"194"	"1"	"124"	"226"	"3"	"6"	"25"	"2"	"127"	"3"	"1"	"1"	"3"	"7"	"1"	"0"	"36"	"1"	"14"	"5"	"461"	"0"	"461"	"0"
"195"	"2"	"125"	"114"	"12"	"230"	"6"	"2"	"137"	"2"	"0"	"1"	"2"	"1"	"1"	"0"	"11"	"1"	"10"	"3"	"533"	"0"	"533"	"0"
"196"	"3"	"126"	"203"	"2"	"45"	"4"	"1"	"53"	"0"	"6"	"0"	"2"	"6"	"0"	"2"	"34"	"1"	"6"	"1"	"366"	"0"	"366"	"0"
"197"	"4"	"126A"	"214"	"12"	"39"	"24"	"3"	"24"	"7"	"50"	"1"	"4"	"1"	"0"	"2"	"17"	"0"	"8"	"14"	"420"	"0"	"420"	"0"
"198"	"5"	"127"	"233"	"7"	"34"	"11"	"3"	"278"	"4"	"2"	"0"	"5"	"8"	"1"	"0"	"4"	"1"	"12"	"7"	"610"	"0"	"610"	"0"
"199"	"6"	"128"	"2"	"1"	"1"	"14"	"1"	"390"	"0"	"0"	"0"	"0"	"15"	"0"	"0"	"3"	"0"	"0"	"0"	"427"	"0"	"427"	"0"
"200"	"7"	"129"	"291"	"2"	"3"	"81"	"0"	"51"	"1"	"1"	"1"	"1"	"4"	"0"	"2"	"6"	"5"	"10"	"13"	"472"	"0"	"472"	"0"
"201"	"8"	"130"	"125"	"4"	"17"	"56"	"5"	"93"	"3"	"2"	"1"	"2"	"6"	"3"	"3"	"4"	"2"	"9"	"1"	"336"	"0"	"336"	"0"
"202"	"9"	"131"	"378"	"7"	"5"	"62"	"2"	"98"	"12"	"10"	"6"	"10"	"9"	"6"	"7"	"55"	"5"	"21"	"18"	"711"	"0"	"711"	"0"
"203"	"10"	"132"	"184"	"2"	"244"	"13"	"0"	"90"	"3"	"0"	"2"	"2"	"3"	"1"	"3"	"4"	"0"	"2"	"6"	"559"	"0"	"559"	"0"
"204"	"11"	"133"	"126"	"11"	"140"	"41"	"3"	"98"	"6"	"3"	"1"	"2"	"5"	"0"	"3"	"1"	"1"	"5"	"1"	"447"	"0"	"447"	"0"
"205"	"12"	"134"	"220"	"2"	"27"	"22"	"0"	"18"	"2"	"2"	"0"	"0"	"1"	"0"	"2"	"97"	"2"	"13"	"8"	"416"	"0"	"416"	"0"
"206"	"13"	"135"	"123"	"16"	"31"	"10"	"2"	"275"	"3"	"18"	"2"	"3"	"2"	"1"	"1"	"21"	"0"	"1"	"1"	"510"	"0"	"510"	"0"
"207"	"14"	"136"	"246"	"8"	"63"	"24"	"4"	"166"	"0"	"1"	"2"	"3"	"3"	"7"	"6"	"31"	"1"	"4"	"0"	"569"	"0"	"569"	"0"
"208"	"; ksx"	""	"27524"	"979"	"6065"	"5244"	"1182"	"15351"	"414"	"631"	"244"	"470"	"864"	"256"	"2104"	"4778"	"345"	"2151"	"988"	"69590"	"0"	"69590"	"0"
"209"	"fo/kku l Hkk fuokZpu {ks= dh l a[ ; k , oa uke % 210 fnukj k                                          fuokZpdksa dh dyq"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"l a[ ; k%&237760"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"211"	"Vscqy  l a[ ; k"	"er nku  d sUnz  dh  l a[ ; k"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/kekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"dqy  er ksa dh l a[ ; k"	"fufonÙk er ksa dh l a[ ; k"
"212"	""	""	"t ;   d qekj  fl ag"	"j ?kqukFk  fl ag"	"' khy k  fl ag"	"l R; sUnz  ukj k; . k fl ag"	"l fj r k  fl ag"	"l hr k  l qanj h  nsoh"	"v j foan  d qekj i kl oku"	"dey  fd ' kksj  esgr k"	"d `\". k  eqj kj h  j k;"	"i q\"i k  fl Ugk"	"eukst   d qekj mt ky k"	"egsaUnz  fl ag"	"j ke  cpu  d sl j h"	"v t hr  d qekj"	"vkse  i zd k' k  pkS/kj h"	"eku  fl ag"	"j ek' kad j  i k. Ms;"	""	""	""	""
"213"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"214"	"fi Ny s  dk  ; ksx"	""	"27524"	"979"	"6065"	"5244"	"1182"	"15351"	"414"	"631"	"244"	"470"	"864"	"256"	"2104"	"4778"	"345"	"2151"	"988"	"69590"	"0"	"69590"	"0"
"215"	"1"	"137"	"150"	"0"	"2"	"2"	"0"	"31"	"0"	"1"	"2"	"0"	"0"	"0"	"2"	"49"	"2"	"4"	"1"	"246"	"0"	"246"	"0"
"216"	"2"	"138"	"130"	"3"	"17"	"242"	"11"	"43"	"1"	"1"	"0"	"2"	"3"	"3"	"2"	"134"	"1"	"11"	"3"	"607"	"0"	"607"	"0"
"217"	"3"	"139"	"315"	"6"	"4"	"6"	"2"	"25"	"1"	"1"	"3"	"1"	"0"	"1"	"1"	"23"	"0"	"29"	"1"	"419"	"0"	"419"	"0"
"218"	"4"	"140"	"78"	"4"	"19"	"2"	"5"	"355"	"4"	"3"	"0"	"4"	"37"	"2"	"0"	"2"	"3"	"10"	"6"	"534"	"0"	"534"	"0"
"219"	"5"	"141"	"137"	"3"	"2"	"0"	"9"	"188"	"2"	"2"	"0"	"3"	"2"	"20"	"3"	"4"	"1"	"8"	"2"	"386"	"0"	"386"	"0"
"220"	"6"	"142"	"202"	"15"	"9"	"27"	"2"	"87"	"0"	"0"	"0"	"2"	"4"	"0"	"1"	"0"	"1"	"10"	"2"	"362"	"0"	"362"	"0"
"221"	"7"	"143"	"111"	"55"	"4"	"9"	"4"	"64"	"0"	"1"	"1"	"3"	"0"	"2"	"43"	"1"	"3"	"19"	"8"	"328"	"0"	"328"	"0"
"222"	"8"	"144"	"82"	"158"	"6"	"25"	"4"	"21"	"0"	"2"	"3"	"0"	"0"	"1"	"0"	"1"	"2"	"4"	"1"	"310"	"0"	"310"	"0"
"223"	"9"	"145"	"211"	"4"	"3"	"79"	"2"	"48"	"1"	"0"	"0"	"3"	"4"	"20"	"15"	"25"	"2"	"28"	"13"	"458"	"0"	"458"	"0"
"224"	"10"	"146"	"119"	"7"	"16"	"36"	"2"	"38"	"2"	"1"	"5"	"6"	"5"	"4"	"111"	"41"	"1"	"15"	"2"	"411"	"0"	"411"	"0"
"225"	"11"	"147"	"316"	"22"	"13"	"66"	"2"	"140"	"1"	"7"	"3"	"6"	"3"	"3"	"7"	"8"	"3"	"11"	"6"	"617"	"0"	"617"	"0"
"226"	"12"	"148"	"223"	"17"	"20"	"13"	"2"	"21"	"1"	"0"	"0"	"2"	"0"	"2"	"2"	"12"	"4"	"8"	"8"	"335"	"0"	"335"	"0"
"227"	"13"	"149"	"185"	"14"	"55"	"13"	"2"	"143"	"6"	"1"	"4"	"4"	"4"	"1"	"3"	"8"	"2"	"16"	"9"	"470"	"0"	"470"	"0"
"228"	"14"	"150"	"314"	"11"	"17"	"88"	"40"	"110"	"2"	"1"	"1"	"4"	"4"	"0"	"9"	"7"	"2"	"28"	"5"	"643"	"0"	"643"	"0"
"229"	"; ksx"	""	"30097"	"1298"	"6252"	"5852"	"1269"	"16665"	"435"	"652"	"266"	"510"	"930"	"315"	"2303"	"5093"	"372"	"2352"	"1055"	"75716"	"0"	"75716"	"0"
"230"	"fo/kku l Hkk fuokZpu {ks= dh l a[ ; k , oa uke % 210 fnukj k                                          fuokZpdksa dh dyq"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"l a[ ; k%&237760"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"Vscqy  l a[ ; k"	"er nku  d sUnz  dh  l a[ ; k"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/kekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"dqy  er ksa dh l a[ ; k"	"fufonÙk er ksa dh l a[ ; k"
"233"	""	""	"t ;   d qekj  fl ag"	"j ?kqukFk  fl ag"	"' khy k  fl ag"	"l R; sUnz  ukj k; . k fl ag"	"l fj r k  fl ag"	"l hr k  l qanj h  nsoh"	"v j foan  d qekj i kl oku"	"dey  fd ' kksj  esgr k"	"d `\". k  eqj kj h  j k;"	"i q\"i k  fl Ugk"	"eukst   d qekj mt ky k"	"egsaUnz  fl ag"	"j ke  cpu  d sl j h"	"v t hr  d qekj"	"vkse  i zd k' k  pkS/kj h"	"eku  fl ag"	"j ek' kad j  i k. Ms;"	""	""	""	""
"234"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"235"	"fi Ny s  dk  ; ksx"	""	"30097"	"1298"	"6252"	"5852"	"1269"	"16665"	"435"	"652"	"266"	"510"	"930"	"315"	"2303"	"5093"	"372"	"2352"	"1055"	"75716"	"0"	"75716"	"0"
"236"	"1"	"151"	"251"	"6"	"69"	"12"	"2"	"34"	"2"	"4"	"1"	"4"	"0"	"3"	"7"	"4"	"5"	"18"	"5"	"427"	"0"	"427"	"0"
"237"	"2"	"152"	"149"	"5"	"74"	"100"	"1"	"1"	"2"	"1"	"0"	"3"	"1"	"1"	"7"	"68"	"3"	"12"	"3"	"431"	"0"	"431"	"0"
"238"	"3"	"153"	"109"	"11"	"96"	"20"	"2"	"33"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"10"	"7"	"5"	"9"	"306"	"0"	"306"	"0"
"239"	"4"	"154"	"218"	"8"	"68"	"58"	"0"	"85"	"3"	"13"	"0"	"1"	"4"	"0"	"12"	"19"	"2"	"19"	"14"	"524"	"0"	"524"	"0"
"240"	"5"	"155"	"171"	"8"	"69"	"35"	"1"	"105"	"2"	"0"	"1"	"1"	"1"	"3"	"3"	"4"	"2"	"5"	"2"	"413"	"0"	"413"	"0"
"241"	"6"	"156"	"85"	"6"	"182"	"18"	"6"	"83"	"4"	"2"	"1"	"7"	"3"	"1"	"4"	"6"	"4"	"11"	"14"	"437"	"0"	"437"	"0"
"242"	"7"	"157"	"191"	"5"	"7"	"15"	"0"	"64"	"3"	"2"	"0"	"0"	"2"	"1"	"1"	"5"	"3"	"8"	"11"	"318"	"0"	"318"	"0"
"243"	"8"	"158"	"250"	"4"	"16"	"56"	"0"	"44"	"1"	"1"	"0"	"1"	"2"	"1"	"0"	"27"	"2"	"10"	"0"	"415"	"0"	"415"	"0"
"244"	"9"	"159"	"170"	"11"	"77"	"55"	"5"	"93"	"6"	"4"	"13"	"4"	"6"	"11"	"6"	"17"	"7"	"22"	"9"	"516"	"0"	"516"	"0"
"245"	"10"	"160"	"69"	"7"	"21"	"4"	"3"	"117"	"2"	"4"	"2"	"1"	"2"	"3"	"3"	"7"	"2"	"1"	"9"	"257"	"0"	"257"	"0"
