"Candidates"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"155"	"137"	"19"	"256"	"3"	"9"	"6"	"1"	"7"	"1"	"2"	"4"	"8"	"161"	"6"	"20"	"14"	"517"	"0"	"517"	"0"
"156"	"Candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"Booths"	"Prahlad Yadav"	"Prem Ranjan Patel"	"Manoj Kumar"	"Sujit Kumar"	"Sunil Kumar"	"Chandra Deo Yadav"	"Jitendra Kumar"	"Shyam Kishore Singh"	"Arun Kumar Paswan"	"Janardan Singh"	"Pankaj Kumar Singh"	"Manoj Kumar"	"Ram Naresh Panday"	"Sireesh Kumar Sandilya"	"Sita Ram Singh"	"Total Polled Votes"	"Rejected Votes"	"Total Votes"	"Tender Votes"
"158"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"159"	"138"	"250"	"115"	"1"	"4"	"8"	"3"	"0"	"1"	"1"	"0"	"2"	"3"	"2"	"3"	"19"	"412"	"0"	"412"	"0"
"160"	"139"	"151"	"175"	"5"	"3"	"31"	"6"	"6"	"13"	"1"	"1"	"3"	"2"	"0"	"8"	"4"	"409"	"0"	"409"	"0"
"161"	"140"	"116"	"219"	"3"	"15"	"13"	"2"	"4"	"3"	"0"	"0"	"3"	"4"	"2"	"6"	"5"	"395"	"0"	"395"	"0"
"162"	"141"	"187"	"160"	"5"	"4"	"35"	"1"	"5"	"1"	"0"	"2"	"3"	"5"	"0"	"3"	"11"	"422"	"0"	"422"	"0"
"163"	"142"	"145"	"84"	"2"	"6"	"24"	"1"	"13"	"16"	"0"	"1"	"2"	"4"	"4"	"4"	"11"	"317"	"0"	"317"	"0"
"164"	"143"	"290"	"366"	"13"	"5"	"6"	"3"	"8"	"4"	"0"	"1"	"7"	"0"	"0"	"5"	"11"	"719"	"0"	"719"	"0"
"165"	"144"	"180"	"139"	"4"	"2"	"7"	"6"	"16"	"159"	"5"	"2"	"7"	"20"	"1"	"7"	"26"	"581"	"0"	"581"	"0"
"166"	"145"	"86"	"224"	"3"	"3"	"3"	"1"	"3"	"0"	"0"	"5"	"9"	"1"	"0"	"1"	"13"	"352"	"0"	"352"	"0"
"167"	"146"	"147"	"154"	"2"	"5"	"16"	"1"	"3"	"2"	"0"	"2"	"1"	"0"	"3"	"6"	"19"	"361"	"0"	"361"	"0"
"168"	"147"	"111"	"429"	"8"	"2"	"5"	"1"	"2"	"0"	"0"	"1"	"2"	"3"	"7"	"22"	"13"	"606"	"0"	"606"	"0"
"169"	"148"	"130"	"129"	"3"	"0"	"5"	"3"	"2"	"1"	"1"	"4"	"5"	"3"	"12"	"14"	"28"	"340"	"0"	"340"	"0"
"170"	"149"	"158"	"292"	"2"	"8"	"34"	"5"	"10"	"4"	"2"	"18"	"6"	"1"	"4"	"23"	"23"	"590"	"0"	"590"	"0"
"171"	"150"	"232"	"67"	"2"	"0"	"10"	"1"	"2"	"1"	"0"	"0"	"2"	"2"	"3"	"8"	"32"	"362"	"0"	"362"	"0"
"172"	"151"	"175"	"105"	"3"	"3"	"46"	"3"	"2"	"26"	"3"	"2"	"4"	"2"	"2"	"4"	"9"	"389"	"0"	"389"	"0"
"173"	"152"	"151"	"382"	"5"	"2"	"21"	"1"	"5"	"1"	"1"	"2"	"5"	"0"	"2"	"18"	"25"	"621"	"0"	"621"	"0"
"174"	"153"	"72"	"41"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"2"	"2"	"2"	"3"	"10"	"137"	"0"	"137"	"0"
"175"	"154"	"126"	"122"	"5"	"4"	"46"	"1"	"7"	"0"	"1"	"6"	"10"	"1"	"0"	"1"	"14"	"344"	"0"	"344"	"0"
"176"	"155"	"96"	"143"	"7"	"1"	"5"	"1"	"3"	"10"	"1"	"2"	"3"	"6"	"5"	"13"	"23"	"319"	"0"	"319"	"0"
"177"	"156"	"356"	"57"	"7"	"6"	"3"	"3"	"6"	"56"	"6"	"1"	"1"	"2"	"4"	"7"	"20"	"535"	"0"	"535"	"0"
"178"	"157"	"227"	"117"	"0"	"1"	"10"	"0"	"6"	"7"	"1"	"0"	"3"	"9"	"0"	"2"	"4"	"387"	"0"	"387"	"0"
"179"	"158"	"58"	"191"	"6"	"21"	"17"	"2"	"3"	"1"	"1"	"2"	"4"	"10"	"2"	"10"	"10"	"338"	"0"	"338"	"0"
"180"	"159"	"126"	"162"	"10"	"1"	"5"	"0"	"4"	"9"	"1"	"1"	"3"	"16"	"4"	"17"	"13"	"372"	"0"	"372"	"0"
"181"	"160"	"57"	"256"	"6"	"3"	"7"	"0"	"4"	"0"	"0"	"0"	"3"	"5"	"6"	"14"	"14"	"375"	"0"	"375"	"0"
"182"	"Candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"183"	"Booths"	"Prahlad Yadav"	"Prem Ranjan Patel"	"Manoj Kumar"	"Sujit Kumar"	"Sunil Kumar"	"Chandra Deo Yadav"	"Jitendra Kumar"	"Shyam Kishore Singh"	"Arun Kumar Paswan"	"Janardan Singh"	"Pankaj Kumar Singh"	"Manoj Kumar"	"Ram Naresh Panday"	"Sireesh Kumar Sandilya"	"Sita Ram Singh"	"Total Polled Votes"	"Rejected Votes"	"Total Votes"	"Tender Votes"
"184"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"185"	"161"	"199"	"75"	"5"	"1"	"0"	"0"	"7"	"12"	"2"	"1"	"5"	"9"	"2"	"7"	"38"	"363"	"0"	"363"	"0"
"186"	"162"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"3"	"0"	"3"	"0"
"187"	"163"	"196"	"13"	"2"	"1"	"5"	"0"	"2"	"3"	"2"	"1"	"5"	"22"	"3"	"1"	"6"	"262"	"0"	"262"	"0"
"188"	"164"	"222"	"89"	"0"	"2"	"0"	"3"	"4"	"9"	"2"	"2"	"1"	"9"	"6"	"12"	"24"	"385"	"0"	"385"	"0"
"189"	"165"	"134"	"91"	"2"	"1"	"10"	"1"	"1"	"0"	"1"	"0"	"1"	"16"	"0"	"5"	"10"	"273"	"0"	"273"	"0"
"190"	"166"	"93"	"143"	"0"	"0"	"14"	"0"	"1"	"1"	"1"	"2"	"0"	"27"	"1"	"2"	"41"	"326"	"0"	"326"	"0"
"191"	"167"	"125"	"211"	"1"	"1"	"14"	"1"	"5"	"0"	"1"	"1"	"4"	"20"	"0"	"6"	"20"	"410"	"0"	"410"	"0"
"192"	"168"	"242"	"99"	"4"	"1"	"16"	"5"	"9"	"2"	"1"	"1"	"1"	"21"	"4"	"5"	"38"	"449"	"0"	"449"	"0"
"193"	"169"	"566"	"12"	"21"	"3"	"3"	"2"	"1"	"0"	"0"	"0"	"0"	"4"	"0"	"1"	"4"	"617"	"0"	"617"	"0"
"194"	"170"	"262"	"27"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"298"	"0"	"298"	"0"
"195"	"171"	"162"	"60"	"4"	"1"	"10"	"0"	"8"	"1"	"1"	"1"	"2"	"2"	"0"	"3"	"11"	"266"	"0"	"266"	"0"
"196"	"172"	"183"	"181"	"3"	"2"	"15"	"1"	"11"	"11"	"2"	"2"	"2"	"6"	"3"	"9"	"19"	"450"	"0"	"450"	"0"
"197"	"173"	"172"	"103"	"3"	"7"	"11"	"2"	"4"	"1"	"1"	"0"	"0"	"1"	"1"	"4"	"18"	"328"	"0"	"328"	"0"
"198"	"173A"	"64"	"269"	"2"	"1"	"5"	"0"	"13"	"4"	"0"	"2"	"2"	"2"	"0"	"2"	"8"	"374"	"0"	"374"	"0"
"199"	"174"	"146"	"41"	"0"	"4"	"11"	"0"	"12"	"32"	"3"	"0"	"1"	"1"	"1"	"2"	"13"	"267"	"0"	"267"	"0"
"200"	"175"	"144"	"110"	"4"	"7"	"6"	"1"	"8"	"19"	"2"	"1"	"2"	"3"	"0"	"11"	"7"	"325"	"0"	"325"	"0"
"201"	"176"	"169"	"88"	"5"	"3"	"64"	"1"	"7"	"1"	"4"	"1"	"4"	"8"	"3"	"2"	"13"	"373"	"0"	"373"	"0"
"202"	"177"	"124"	"119"	"11"	"17"	"26"	"5"	"8"	"10"	"4"	"1"	"2"	"2"	"0"	"2"	"3"	"334"	"0"	"334"	"0"
"203"	"178"	"2"	"3"	"0"	"2"	"0"	"4"	"5"	"64"	"3"	"0"	"0"	"0"	"1"	"0"	"3"	"87"	"0"	"87"	"0"
"204"	"179"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"0"
"205"	"180"	"342"	"127"	"11"	"13"	"1"	"6"	"4"	"16"	"0"	"2"	"2"	"4"	"5"	"7"	"12"	"552"	"0"	"552"	"0"
"206"	"181"	"319"	"19"	"0"	"6"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"4"	"354"	"0"	"354"	"0"
"207"	"182"	"69"	"23"	"2"	"22"	"7"	"4"	"179"	"12"	"11"	"4"	"3"	"4"	"3"	"7"	"14"	"364"	"0"	"364"	"0"
"208"	"Candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"209"	"Booths"	"Prahlad Yadav"	"Prem Ranjan Patel"	"Manoj Kumar"	"Sujit Kumar"	"Sunil Kumar"	"Chandra Deo Yadav"	"Jitendra Kumar"	"Shyam Kishore Singh"	"Arun Kumar Paswan"	"Janardan Singh"	"Pankaj Kumar Singh"	"Manoj Kumar"	"Ram Naresh Panday"	"Sireesh Kumar Sandilya"	"Sita Ram Singh"	"Total Polled Votes"	"Rejected Votes"	"Total Votes"	"Tender Votes"
"210"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"211"	"183"	"48"	"155"	"9"	"327"	"8"	"1"	"8"	"1"	"1"	"0"	"2"	"19"	"8"	"12"	"21"	"620"	"0"	"620"	"0"
"212"	"184"	"252"	"197"	"2"	"5"	"4"	"2"	"7"	"8"	"4"	"1"	"5"	"0"	"3"	"12"	"21"	"523"	"0"	"523"	"0"
"213"	"185"	"30"	"95"	"3"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"18"	"12"	"164"	"0"	"164"	"0"
"214"	"186"	"19"	"235"	"7"	"18"	"5"	"2"	"3"	"8"	"0"	"4"	"1"	"2"	"3"	"4"	"4"	"315"	"0"	"315"	"0"
"215"	"187"	"21"	"267"	"5"	"24"	"5"	"0"	"1"	"3"	"1"	"5"	"10"	"0"	"6"	"6"	"8"	"362"	"0"	"362"	"0"
"216"	"188"	"18"	"197"	"1"	"13"	"37"	"0"	"3"	"1"	"0"	"6"	"2"	"2"	"7"	"6"	"18"	"311"	"0"	"311"	"0"
"217"	"189"	"57"	"232"	"3"	"10"	"8"	"0"	"0"	"2"	"0"	"1"	"2"	"2"	"1"	"3"	"8"	"329"	"0"	"329"	"0"
"218"	"190"	"178"	"41"	"1"	"3"	"0"	"0"	"1"	"0"	"1"	"7"	"0"	"0"	"2"	"2"	"22"	"258"	"0"	"258"	"0"
"219"	"191"	"55"	"233"	"1"	"6"	"3"	"0"	"1"	"3"	"0"	"8"	"3"	"0"	"36"	"7"	"7"	"363"	"0"	"363"	"0"
"220"	"191A"	"81"	"183"	"1"	"27"	"7"	"0"	"1"	"2"	"1"	"18"	"19"	"0"	"10"	"5"	"17"	"372"	"0"	"372"	"0"
"221"	"192"	"266"	"146"	"2"	"8"	"25"	"18"	"19"	"11"	"4"	"3"	"7"	"4"	"4"	"10"	"31"	"558"	"0"	"558"	"0"
"222"	"193"	"5"	"150"	"1"	"1"	"8"	"1"	"5"	"169"	"3"	"4"	"1"	"2"	"1"	"5"	"10"	"366"	"0"	"366"	"0"
"223"	"194"	"66"	"175"	"3"	"4"	"18"	"0"	"10"	"66"	"3"	"11"	"8"	"4"	"5"	"9"	"22"	"404"	"0"	"404"	"0"
"224"	"195"	"15"	"152"	"0"	"2"	"11"	"2"	"4"	"163"	"0"	"13"	"2"	"1"	"1"	"2"	"4"	"372"	"0"	"372"	"0"
"225"	"196"	"206"	"53"	"3"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"3"	"7"	"277"	"0"	"277"	"0"
"226"	"197"	"183"	"106"	"1"	"0"	"7"	"6"	"8"	"30"	"3"	"2"	"5"	"0"	"3"	"6"	"14"	"374"	"0"	"374"	"0"
"227"	"198"	"227"	"37"	"2"	"0"	"2"	"2"	"3"	"12"	"1"	"2"	"14"	"1"	"8"	"4"	"23"	"338"	"0"	"338"	"0"
"228"	"199"	"381"	"193"	"6"	"1"	"5"	"4"	"6"	"4"	"2"	"3"	"7"	"1"	"3"	"15"	"38"	"669"	"0"	"669"	"0"
"229"	"200"	"71"	"95"	"0"	"9"	"4"	"0"	"4"	"2"	"1"	"10"	"4"	"1"	"3"	"12"	"9"	"225"	"0"	"225"	"0"
"230"	"201"	"33"	"222"	"1"	"47"	"2"	"84"	"8"	"65"	"11"	"13"	"6"	"2"	"4"	"10"	"18"	"526"	"0"	"526"	"0"
"231"	"202"	"53"	"259"	"1"	"44"	"1"	"6"	"0"	"38"	"2"	"4"	"3"	"2"	"1"	"7"	"16"	"437"	"0"	"437"	"0"
"232"	"203"	"123"	"158"	"2"	"1"	"1"	"1"	"2"	"9"	"1"	"8"	"5"	"0"	"0"	"1"	"9"	"321"	"0"	"321"	"0"
"233"	"204"	"108"	"302"	"3"	"2"	"10"	"1"	"4"	"7"	"1"	"14"	"16"	"1"	"2"	"14"	"22"	"507"	"0"	"507"	"0"
"234"	"Candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"235"	"Booths"	"Prahlad Yadav"	"Prem Ranjan Patel"	"Manoj Kumar"	"Sujit Kumar"	"Sunil Kumar"	"Chandra Deo Yadav"	"Jitendra Kumar"	"Shyam Kishore Singh"	"Arun Kumar Paswan"	"Janardan Singh"	"Pankaj Kumar Singh"	"Manoj Kumar"	"Ram Naresh Panday"	"Sireesh Kumar Sandilya"	"Sita Ram Singh"	"Total Polled Votes"	"Rejected Votes"	"Total Votes"	"Tender Votes"
"236"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"237"	"205"	"45"	"290"	"2"	"16"	"7"	"0"	"1"	"11"	"0"	"17"	"3"	"2"	"4"	"14"	"25"	"437"	"0"	"437"	"0"
"238"	"206"	"169"	"149"	"1"	"1"	"3"	"0"	"3"	"2"	"0"	"3"	"4"	"2"	"4"	"7"	"14"	"362"	"0"	"362"	"0"
"239"	"207"	"14"	"10"	"1"	"1"	"12"	"4"	"1"	"3"	"5"	"48"	"437"	"2"	"0"	"4"	"11"	"553"	"0"	"553"	"0"
"240"	"208"	"177"	"24"	"2"	"2"	"4"	"7"	"4"	"2"	"7"	"27"	"264"	"8"	"4"	"9"	"56"	"597"	"0"	"597"	"0"
"241"	"209"	"24"	"93"	"1"	"4"	"10"	"0"	"1"	"4"	"1"	"172"	"12"	"2"	"0"	"4"	"9"	"337"	"0"	"337"	"0"
"242"	"210"	"34"	"37"	"1"	"1"	"2"	"0"	"4"	"0"	"2"	"184"	"10"	"1"	"1"	"2"	"8"	"287"	"0"	"287"	"0"
"243"	"211"	"40"	"114"	"4"	"4"	"2"	"2"	"5"	"2"	"2"	"50"	"15"	"1"	"4"	"10"	"27"	"282"	"0"	"282"	"0"
"244"	"212"	"659"	"91"	"1"	"0"	"0"	"0"	"4"	"0"	"0"	"1"	"0"	"1"	"1"	"3"	"12"	"773"	"0"	"773"	"0"
"245"	"213"	"354"	"163"	"7"	"1"	"11"	"2"	"10"	"3"	"0"	"0"	"5"	"2"	"5"	"7"	"42"	"612"	"0"	"612"	"0"
"246"	"214"	"322"	"102"	"3"	"1"	"9"	"1"	"26"	"6"	"1"	"1"	"4"	"3"	"7"	"14"	"30"	"530"	"0"	"530"	"0"
"247"	"215"	"124"	"156"	"2"	"1"	"13"	"2"	"15"	"2"	"1"	"1"	"6"	"1"	"6"	"4"	"14"	"348"	"0"	"348"	"0"
"248"	"216"	"179"	"204"	"6"	"3"	"23"	"11"	"18"	"3"	"2"	"4"	"6"	"5"	"10"	"10"	"21"	"505"	"0"	"505"	"0"
"249"	"217"	"242"	"141"	"3"	"0"	"15"	"13"	"14"	"3"	"1"	"6"	"7"	"6"	"7"	"4"	"32"	"494"	"0"	"494"	"0"
"250"	"218"	"200"	"175"	"1"	"1"	"9"	"1"	"15"	"1"	"1"	"3"	"3"	"1"	"5"	"3"	"17"	"436"	"0"	"436"	"0"
"251"	"219"	"481"	"184"	"4"	"2"	"21"	"16"	"19"	"2"	"5"	"1"	"2"	"1"	"4"	"6"	"19"	"767"	"0"	"767"	"0"
"252"	"220"	"488"	"83"	"6"	"0"	"9"	"7"	"21"	"0"	"2"	"1"	"4"	"2"	"2"	"5"	"27"	"657"	"0"	"657"	"0"
"253"	"221"	"388"	"77"	"2"	"2"	"26"	"1"	"23"	"2"	"2"	"3"	"1"	"0"	"3"	"4"	"15"	"549"	"0"	"549"	"0"
"254"	"222"	"419"	"185"	"1"	"0"	"25"	"11"	"12"	"1"	"1"	"1"	"0"	"0"	"3"	"3"	"7"	"669"	"0"	"669"	"0"
"255"	"223"	"92"	"291"	"7"	"11"	"14"	"1"	"11"	"0"	"0"	"1"	"2"	"4"	"2"	"8"	"7"	"451"	"0"	"451"	"0"
"256"	"224"	"275"	"126"	"6"	"5"	"14"	"2"	"7"	"1"	"0"	"1"	"9"	"5"	"6"	"11"	"36"	"504"	"0"	"504"	"0"
"257"	"225"	"102"	"373"	"8"	"15"	"70"	"3"	"13"	"8"	"1"	"4"	"15"	"3"	"6"	"13"	"18"	"652"	"0"	"652"	"0"
"258"	"226"	"49"	"185"	"4"	"4"	"132"	"7"	"13"	"2"	"4"	"4"	"6"	"2"	"7"	"9"	"22"	"450"	"0"	"450"	"0"
"259"	"227"	"48"	"201"	"9"	"5"	"107"	"38"	"16"	"5"	"6"	"2"	"8"	"4"	"5"	"8"	"15"	"477"	"0"	"477"	"0"
"260"	"Candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"261"	"Booths"	"Prahlad Yadav"	"Prem Ranjan Patel"	"Manoj Kumar"	"Sujit Kumar"	"Sunil Kumar"	"Chandra Deo Yadav"	"Jitendra Kumar"	"Shyam Kishore Singh"	"Arun Kumar Paswan"	"Janardan Singh"	"Pankaj Kumar Singh"	"Manoj Kumar"	"Ram Naresh Panday"	"Sireesh Kumar Sandilya"	"Sita Ram Singh"	"Total Polled Votes"	"Rejected Votes"	"Total Votes"	"Tender Votes"
"262"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"263"	"228"	"206"	"205"	"5"	"8"	"30"	"2"	"9"	"1"	"0"	"7"	"6"	"1"	"1"	"4"	"7"	"492"	"0"	"492"	"0"
"264"	"229"	"79"	"196"	"2"	"2"	"13"	"1"	"2"	"0"	"0"	"2"	"5"	"2"	"7"	"7"	"15"	"333"	"0"	"333"	"0"
"265"	"230"	"215"	"144"	"3"	"0"	"15"	"1"	"7"	"3"	"1"	"2"	"6"	"1"	"7"	"11"	"15"	"431"	"0"	"431"	"0"
"266"	"231"	"280"	"91"	"2"	"2"	"18"	"2"	"6"	"1"	"1"	"0"	"2"	"2"	"1"	"6"	"24"	"438"	"0"	"438"	"0"
"267"	"232"	"255"	"162"	"1"	"1"	"12"	"0"	"29"	"3"	"2"	"3"	"6"	"0"	"4"	"5"	"24"	"507"	"0"	"507"	"0"
"268"	"233"	"124"	"325"	"6"	"0"	"4"	"1"	"1"	"2"	"0"	"1"	"1"	"19"	"9"	"15"	"33"	"541"	"0"	"541"	"0"
"269"	"234"	"325"	"22"	"0"	"1"	"1"	"0"	"2"	"0"	"0"	"1"	"5"	"2"	"0"	"4"	"13"	"376"	"0"	"376"	"0"
"270"	"235"	"89"	"55"	"2"	"6"	"10"	"0"	"1"	"1"	"0"	"8"	"0"	"1"	"2"	"7"	"6"	"188"	"0"	"188"	"0"
"271"	"236"	"441"	"61"	"3"	"1"	"8"	"1"	"7"	"0"	"0"	"0"	"0"	"1"	"3"	"10"	"56"	"592"	"0"	"592"	"0"
"272"	"237"	"485"	"58"	"3"	"4"	"12"	"0"	"1"	"1"	"1"	"1"	"2"	"1"	"0"	"6"	"14"	"589"	"0"	"589"	"0"
"273"	"238"	"150"	"179"	"7"	"4"	"7"	"20"	"6"	"1"	"5"	"3"	"2"	"5"	"7"	"11"	"7"	"414"	"0"	"414"	"0"
"274"	"239"	"194"	"151"	"8"	"4"	"47"	"4"	"27"	"1"	"3"	"8"	"13"	"8"	"10"	"21"	"27"	"526"	"0"	"526"	"0"
"275"	"240"	"230"	"41"	"4"	"0"	"2"	"0"	"2"	"4"	"0"	"1"	"2"	"2"	"0"	"5"	"17"	"310"	"0"	"310"	"0"
"276"	"240A"	"210"	"38"	"1"	"0"	"2"	"3"	"14"	"1"	"1"	"0"	"0"	"2"	"3"	"4"	"20"	"299"	"0"	"299"	"0"
"277"	"241"	"356"	"25"	"6"	"1"	"2"	"1"	"3"	"3"	"1"	"1"	"0"	"0"	"3"	"6"	"31"	"439"	"0"	"439"	"0"
"278"	"242"	"96"	"151"	"2"	"4"	"5"	"9"	"3"	"5"	"1"	"0"	"3"	"3"	"5"	"12"	"13"	"312"	"0"	"312"	"0"
"279"	"243"	"280"	"94"	"4"	"3"	"1"	"3"	"7"	"1"	"1"	"1"	"2"	"0"	"1"	"7"	"9"	"414"	"0"	"414"	"0"
"280"	"244"	"303"	"57"	"1"	"1"	"20"	"2"	"2"	"1"	"0"	"10"	"4"	"10"	"1"	"5"	"27"	"444"	"0"	"444"	"0"
"281"	"245"	"230"	"48"	"2"	"1"	"4"	"1"	"4"	"0"	"1"	"1"	"0"	"1"	"1"	"7"	"14"	"315"	"0"	"315"	"0"
"282"	"246"	"320"	"56"	"1"	"3"	"7"	"1"	"3"	"1"	"1"	"0"	"3"	"0"	"0"	"3"	"7"	"406"	"0"	"406"	"0"
"283"	"247"	"431"	"70"	"8"	"2"	"19"	"1"	"1"	"2"	"2"	"1"	"6"	"2"	"5"	"9"	"32"	"591"	"0"	"591"	"0"
"284"	"248"	"181"	"82"	"1"	"1"	"5"	"0"	"3"	"1"	"0"	"1"	"1"	"0"	"0"	"2"	"9"	"287"	"0"	"287"	"0"
"285"	"249"	"61"	"177"	"1"	"6"	"3"	"0"	"0"	"3"	"0"	"1"	"0"	"1"	"0"	"1"	"8"	"262"	"0"	"262"	"0"
"286"	"Candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"Booths"	"Prahlad Yadav"	"Prem Ranjan Patel"	"Manoj Kumar"	"Sujit Kumar"	"Sunil Kumar"	"Chandra Deo Yadav"	"Jitendra Kumar"	"Shyam Kishore Singh"	"Arun Kumar Paswan"	"Janardan Singh"	"Pankaj Kumar Singh"	"Manoj Kumar"	"Ram Naresh Panday"	"Sireesh Kumar Sandilya"	"Sita Ram Singh"	"Total Polled Votes"	"Rejected Votes"	"Total Votes"	"Tender Votes"
"288"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"289"	"250"	"93"	"186"	"7"	"2"	"9"	"0"	"5"	"3"	"1"	"0"	"7"	"0"	"1"	"19"	"31"	"364"	"0"	"364"	"0"
"290"	"251"	"58"	"253"	"4"	"0"	"12"	"1"	"2"	"23"	"0"	"1"	"2"	"1"	"10"	"23"	"13"	"403"	"0"	"403"	"0"
"291"	"252"	"273"	"117"	"7"	"4"	"1"	"32"	"6"	"1"	"2"	"1"	"1"	"2"	"3"	"8"	"33"	"491"	"0"	"491"	"0"
"292"	"253"	"304"	"88"	"2"	"0"	"4"	"17"	"3"	"0"	"0"	"1"	"1"	"1"	"0"	"3"	"10"	"434"	"0"	"434"	"0"
"293"	"254"	"402"	"72"	"4"	"2"	"20"	"1"	"6"	"2"	"0"	"1"	"2"	"3"	"2"	"11"	"41"	"569"	"0"	"569"	"0"
"294"	"255"	"391"	"10"	"2"	"0"	"1"	"1"	"0"	"0"	"2"	"2"	"0"	"0"	"0"	"1"	"9"	"419"	"0"	"419"	"0"
"295"	"256"	"121"	"19"	"1"	"0"	"2"	"0"	"2"	"0"	"0"	"3"	"0"	"1"	"2"	"2"	"18"	"171"	"0"	"171"	"0"
"296"	"257"	"177"	"73"	"1"	"1"	"18"	"6"	"1"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"2"	"283"	"0"	"283"	"0"
"297"	"258"	"187"	"73"	"2"	"0"	"34"	"9"	"2"	"0"	"0"	"2"	"7"	"0"	"3"	"2"	"4"	"325"	"0"	"325"	"0"
"298"	"259"	"66"	"36"	"2"	"1"	"9"	"36"	"5"	"3"	"5"	"6"	"3"	"2"	"3"	"1"	"11"	"189"	"0"	"189"	"0"
"299"	"260"	"190"	"198"	"5"	"4"	"1"	"0"	"3"	"1"	"0"	"1"	"3"	"0"	"4"	"11"	"5"	"426"	"0"	"426"	"0"
"300"	"261"	"65"	"84"	"5"	"1"	"21"	"1"	"3"	"4"	"3"	"1"	"6"	"7"	"4"	"15"	"17"	"237"	"0"	"237"	"0"
"301"	"262"	"107"	"151"	"7"	"0"	"35"	"10"	"7"	"13"	"3"	"0"	"2"	"43"	"0"	"4"	"5"	"387"	"0"	"387"	"0"
"302"	"263"	"124"	"132"	"1"	"0"	"4"	"1"	"1"	"0"	"3"	"0"	"2"	"2"	"0"	"7"	"18"	"295"	"0"	"295"	"0"
"303"	"264"	"167"	"138"	"2"	"1"	"2"	"0"	"4"	"2"	"0"	"0"	"3"	"2"	"1"	"7"	"9"	"338"	"0"	"338"	"0"
"304"	"265"	"205"	"67"	"1"	"3"	"19"	"3"	"3"	"1"	"8"	"3"	"2"	"36"	"6"	"6"	"19"	"382"	"0"	"382"	"0"
"305"	"266"	"376"	"76"	"10"	"8"	"14"	"2"	"5"	"2"	"5"	"3"	"4"	"4"	"8"	"3"	"25"	"545"	"0"	"545"	"0"
"306"	"267"	"159"	"61"	"7"	"8"	"17"	"1"	"15"	"5"	"10"	"1"	"3"	"24"	"7"	"7"	"29"	"354"	"0"	"354"	"0"
"307"	"268"	"312"	"98"	"9"	"0"	"6"	"1"	"6"	"2"	"1"	"0"	"1"	"2"	"6"	"9"	"17"	"470"	"0"	"470"	"0"
"308"	"269"	"101"	"197"	"6"	"3"	"33"	"5"	"2"	"0"	"0"	"0"	"4"	"4"	"3"	"18"	"19"	"395"	"0"	"395"	"0"
"309"	"270"	"101"	"161"	"9"	"2"	"31"	"1"	"2"	"0"	"1"	"0"	"3"	"1"	"6"	"18"	"25"	"361"	"0"	"361"	"0"
"310"	"271"	"183"	"84"	"6"	"2"	"10"	"3"	"24"	"5"	"0"	"2"	"5"	"1"	"8"	"6"	"19"	"358"	"0"	"358"	"0"
