"Tabulation.of.Result.by.Additional.Counting.Staff"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"1"	"ENTRY FORM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Name of the Assembly  :  142 Bachhwara"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"135"	"106"	"321"	"8"	"1"	"175"	"12"	"30"	"3"	"6"	"3"	"13"	"6"	"177"	"42"	"5"	"2"	"18"	"5"	"0"	"827"	"0"	"827"	"0"
"136"	"107"	"393"	"10"	"6"	"115"	"32"	"12"	"8"	"2"	"2"	"12"	"5"	"79"	"7"	"2"	"15"	"10"	"8"	"1"	"719"	"0"	"719"	"0"
"137"	"108"	"193"	"10"	"4"	"56"	"155"	"11"	"3"	"5"	"0"	"5"	"4"	"25"	"9"	"4"	"2"	"5"	"11"	"4"	"506"	"0"	"506"	"0"
"138"	"109"	"62"	"2"	"0"	"50"	"57"	"158"	"3"	"2"	"0"	"1"	"2"	"24"	"3"	"3"	"0"	"4"	"2"	"1"	"374"	"0"	"374"	"0"
"139"	"110"	"373"	"10"	"5"	"38"	"23"	"200"	"6"	"5"	"1"	"7"	"4"	"17"	"11"	"4"	"3"	"25"	"17"	"4"	"753"	"0"	"753"	"0"
"140"	"111"	"280"	"8"	"7"	"61"	"30"	"197"	"10"	"8"	"2"	"8"	"5"	"79"	"8"	"5"	"10"	"15"	"6"	"4"	"743"	"0"	"743"	"0"
"141"	"112"	"824"	"20"	"2"	"38"	"50"	"45"	"1"	"2"	"3"	"3"	"2"	"11"	"1"	"1"	"0"	"17"	"4"	"1"	"1025"	"0"	"1025"	"0"
"142"	"113"	"195"	"2"	"2"	"57"	"15"	"128"	"2"	"4"	"2"	"3"	"3"	"30"	"1"	"3"	"0"	"4"	"5"	"0"	"456"	"0"	"456"	"0"
"143"	"114"	"82"	"1"	"0"	"36"	"24"	"225"	"5"	"2"	"1"	"5"	"11"	"84"	"11"	"3"	"4"	"13"	"0"	"2"	"509"	"0"	"509"	"0"
"144"	"114A"	"33"	"0"	"0"	"23"	"10"	"102"	"1"	"1"	"0"	"1"	"3"	"27"	"1"	"3"	"0"	"0"	"8"	"1"	"214"	"0"	"214"	"0"
"145"	"115"	"133"	"4"	"4"	"38"	"144"	"55"	"3"	"3"	"1"	"4"	"5"	"13"	"10"	"6"	"9"	"23"	"10"	"3"	"468"	"0"	"468"	"0"
"146"	"116"	"406"	"12"	"6"	"40"	"6"	"137"	"8"	"5"	"7"	"15"	"17"	"30"	"15"	"13"	"21"	"61"	"6"	"4"	"809"	"0"	"809"	"0"
"147"	"117"	"274"	"6"	"3"	"6"	"9"	"136"	"7"	"3"	"1"	"7"	"10"	"21"	"4"	"4"	"5"	"15"	"3"	"3"	"517"	"0"	"517"	"0"
"148"	"118"	"151"	"9"	"0"	"100"	"112"	"19"	"7"	"5"	"6"	"10"	"9"	"35"	"36"	"10"	"5"	"31"	"5"	"2"	"552"	"0"	"552"	"0"
"149"	"119"	"170"	"12"	"5"	"84"	"66"	"12"	"43"	"1"	"1"	"2"	"4"	"9"	"20"	"7"	"3"	"10"	"4"	"2"	"455"	"0"	"455"	"0"
"150"	"120"	"239"	"20"	"9"	"122"	"39"	"60"	"69"	"4"	"2"	"2"	"7"	"40"	"12"	"4"	"7"	"10"	"4"	"0"	"650"	"0"	"650"	"0"
"151"	"121"	"203"	"9"	"5"	"75"	"87"	"16"	"4"	"1"	"4"	"6"	"7"	"34"	"11"	"5"	"7"	"29"	"1"	"3"	"507"	"0"	"507"	"0"
"152"	"122"	"239"	"9"	"5"	"80"	"31"	"11"	"5"	"3"	"4"	"4"	"1"	"12"	"12"	"3"	"5"	"16"	"31"	"0"	"471"	"0"	"471"	"0"
"153"	"123"	"151"	"3"	"4"	"57"	"28"	"32"	"1"	"0"	"3"	"13"	"3"	"262"	"10"	"7"	"1"	"5"	"8"	"8"	"596"	"0"	"596"	"0"
"154"	"124"	"227"	"11"	"4"	"20"	"22"	"12"	"4"	"1"	"2"	"6"	"2"	"131"	"3"	"1"	"3"	"3"	"8"	"1"	"542"	"0"	"542"	"0"
"155"	"125"	"100"	"1"	"2"	"42"	"26"	"60"	"0"	"3"	"7"	"22"	"4"	"461"	"10"	"7"	"2"	"11"	"0"	"1"	"759"	"0"	"759"	"0"
"156"	"126"	"26"	"5"	"2"	"164"	"9"	"0"	"2"	"3"	"1"	"6"	"2"	"92"	"10"	"0"	"0"	"2"	"6"	"1"	"331"	"0"	"331"	"0"
"157"	"127"	"66"	"3"	"1"	"59"	"122"	"25"	"2"	"1"	"1"	"3"	"0"	"12"	"3"	"1"	"0"	"4"	"4"	"3"	"310"	"0"	"310"	"0"
"158"	"128"	"184"	"2"	"4"	"81"	"70"	"127"	"9"	"8"	"3"	"9"	"1"	"155"	"16"	"7"	"0"	"13"	"3"	"1"	"693"	"0"	"693"	"0"
"159"	"129"	"69"	"6"	"1"	"118"	"49"	"235"	"11"	"7"	"1"	"10"	"16"	"131"	"23"	"10"	"7"	"21"	"8"	"2"	"725"	"0"	"725"	"0"
"160"	"130"	"83"	"40"	"1"	"88"	"201"	"52"	"4"	"3"	"0"	"4"	"4"	"100"	"15"	"4"	"3"	"11"	"1"	"1"	"615"	"0"	"615"	"0"
"161"	"131"	"152"	"2"	"4"	"24"	"139"	"68"	"2"	"10"	"2"	"10"	"4"	"62"	"8"	"56"	"4"	"9"	"5"	"3"	"564"	"0"	"564"	"0"
"162"	"132"	"195"	"6"	"5"	"96"	"155"	"49"	"8"	"4"	"1"	"11"	"1"	"120"	"9"	"6"	"5"	"5"	"14"	"1"	"691"	"0"	"691"	"0"
"163"	"133"	"160"	"4"	"3"	"73"	"314"	"15"	"4"	"3"	"0"	"6"	"4"	"104"	"14"	"4"	"3"	"8"	"13"	"4"	"736"	"0"	"736"	"0"
"164"	"134"	"162"	"25"	"4"	"54"	"172"	"65"	"2"	"6"	"1"	"5"	"2"	"82"	"4"	"4"	"2"	"5"	"8"	"3"	"606"	"0"	"606"	"0"
"165"	"135"	"149"	"4"	"2"	"120"	"29"	"16"	"1"	"2"	"0"	"13"	"3"	"224"	"9"	"3"	"0"	"6"	"7"	"4"	"592"	"0"	"592"	"0"
"166"	"136"	"154"	"2"	"1"	"73"	"31"	"24"	"0"	"3"	"3"	"10"	"1"	"154"	"4"	"2"	"1"	"4"	"3"	"1"	"471"	"0"	"471"	"0"
"167"	"137"	"97"	"8"	"3"	"166"	"28"	"111"	"1"	"5"	"1"	"7"	"3"	"87"	"5"	"0"	"2"	"4"	"0"	"0"	"528"	"0"	"528"	"0"
"168"	"138"	"27"	"31"	"0"	"60"	"88"	"25"	"0"	"4"	"1"	"8"	"0"	"45"	"4"	"5"	"0"	"0"	"4"	"3"	"305"	"0"	"305"	"0"
"169"	"139"	"11"	"0"	"1"	"107"	"18"	"56"	"5"	"1"	"3"	"8"	"10"	"175"	"29"	"5"	"2"	"7"	"1"	"2"	"441"	"0"	"441"	"0"
"170"	"140"	"157"	"7"	"3"	"140"	"21"	"21"	"1"	"7"	"4"	"6"	"7"	"58"	"15"	"8"	"5"	"18"	"7"	"5"	"490"	"0"	"490"	"0"
"171"	"141"	"27"	"6"	"0"	"63"	"41"	"41"	"4"	"6"	"1"	"11"	"2"	"116"	"5"	"3"	"1"	"6"	"14"	"6"	"353"	"0"	"353"	"0"
"172"	"142"	"45"	"5"	"3"	"242"	"107"	"107"	"7"	"10"	"7"	"11"	"11"	"43"	"30"	"10"	"5"	"21"	"3"	"5"	"672"	"0"	"672"	"0"
"173"	"143"	"102"	"12"	"6"	"80"	"88"	"88"	"9"	"4"	"5"	"22"	"6"	"67"	"11"	"16"	"0"	"11"	"14"	"1"	"542"	"0"	"542"	"0"
"174"	"144"	"40"	"2"	"3"	"341"	"26"	"26"	"2"	"2"	"1"	"3"	"2"	"59"	"33"	"3"	"3"	"16"	"2"	"3"	"567"	"0"	"567"	"0"
"175"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"176"	""	"Abdesh Kumar Rai"	"Asharphi Prasad Mehta"	"Orsheel Paswan"	"Meena Devi"	"Ramdeo Rai"	"Vandana Singh"	"Amresh Kumar Rai"	"Mohamma d Moein Ansari"	"Rajneesh Kumar Mukhiya"	"Rajesh Priyam"	"Sunil Kumar Sashant"	"Arvind Kumar Singh"	"Kundan Singh"	"Jagjit Jha"	"Punit Singh"	"Parphul Kumar"	"Ranjit Paswan"	"Ramshan kar Singh"	""	""	""	""
"177"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"178"	"145"	"69"	"2"	"5"	"505"	"50"	"50"	"3"	"4"	"2"	"4"	"4"	"33"	"60"	"6"	"3"	"10"	"9"	"8"	"827"	"0"	"827"	"0"
"179"	"146"	"40"	"4"	"2"	"175"	"16"	"16"	"2"	"1"	"6"	"8"	"8"	"128"	"39"	"11"	"2"	"15"	"0"	"0"	"473"	"0"	"473"	"0"
"180"	"147"	"60"	"3"	"0"	"26"	"272"	"272"	"4"	"1"	"2"	"4"	"8"	"102"	"5"	"4"	"3"	"4"	"5"	"3"	"778"	"0"	"778"	"0"
"181"	"148"	"37"	"1"	"1"	"22"	"458"	"458"	"3"	"2"	"2"	"2"	"3"	"46"	"0"	"5"	"1"	"1"	"1"	"1"	"1044"	"0"	"1044"	"0"
"182"	"149"	"102"	"6"	"3"	"25"	"531"	"531"	"9"	"7"	"2"	"11"	"6"	"57"	"6"	"6"	"5"	"9"	"9"	"6"	"1331"	"0"	"1331"	"0"
"183"	"150"	"97"	"5"	"88"	"69"	"288"	"288"	"10"	"6"	"2"	"6"	"8"	"48"	"13"	"16"	"7"	"21"	"2"	"1"	"975"	"0"	"975"	"0"
"184"	"151"	"64"	"3"	"1"	"6"	"325"	"325"	"2"	"4"	"1"	"4"	"3"	"19"	"0"	"0"	"1"	"4"	"1"	"1"	"764"	"0"	"764"	"0"
"185"	"152"	"185"	"2"	"2"	"41"	"205"	"205"	"1"	"3"	"2"	"9"	"2"	"105"	"7"	"8"	"1"	"10"	"3"	"1"	"792"	"0"	"792"	"0"
"186"	"153"	"255"	"10"	"0"	"18"	"103"	"30"	"3"	"4"	"1"	"10"	"7"	"50"	"4"	"2"	"6"	"19"	"18"	"10"	"550"	"0"	"550"	"0"
"187"	"154"	"379"	"6"	"6"	"44"	"89"	"38"	"2"	"2"	"2"	"11"	"4"	"45"	"3"	"7"	"5"	"11"	"9"	"1"	"664"	"0"	"664"	"0"
"188"	"155"	"218"	"7"	"1"	"41"	"98"	"50"	"3"	"3"	"1"	"11"	"4"	"137"	"5"	"8"	"2"	"10"	"12"	"1"	"612"	"0"	"612"	"0"
"189"	"156"	"188"	"5"	"4"	"151"	"32"	"100"	"4"	"4"	"6"	"4"	"2"	"6"	"13"	"30"	"1"	"5"	"1"	"1"	"557"	"0"	"557"	"0"
"190"	"157"	"67"	"6"	"2"	"157"	"47"	"134"	"6"	"3"	"27"	"6"	"0"	"19"	"22"	"15"	"0"	"6"	"1"	"0"	"518"	"0"	"518"	"0"
"191"	"158"	"136"	"3"	"2"	"10"	"266"	"77"	"2"	"3"	"4"	"4"	"2"	"75"	"2"	"4"	"4"	"16"	"4"	"4"	"618"	"0"	"618"	"0"
"192"	"159"	"101"	"3"	"2"	"15"	"295"	"20"	"2"	"1"	"0"	"2"	"1"	"15"	"1"	"1"	"6"	"5"	"0"	"1"	"471"	"0"	"471"	"0"
"193"	"160"	"123"	"1"	"2"	"11"	"333"	"8"	"1"	"1"	"0"	"1"	"2"	"7"	"1"	"0"	"1"	"8"	"3"	"0"	"503"	"0"	"503"	"0"
"194"	"161"	"288"	"6"	"0"	"16"	"213"	"22"	"3"	"1"	"2"	"4"	"4"	"34"	"3"	"2"	"3"	"15"	"21"	"6"	"643"	"0"	"643"	"0"
"195"	"162"	"20"	"1"	"3"	"11"	"393"	"14"	"4"	"1"	"1"	"0"	"2"	"9"	"3"	"7"	"1"	"6"	"1"	"1"	"478"	"0"	"478"	"0"
"196"	"163"	"23"	"0"	"1"	"9"	"305"	"15"	"0"	"2"	"0"	"2"	"2"	"18"	"1"	"3"	"0"	"6"	"1"	"1"	"389"	"0"	"389"	"0"
"197"	"164"	"38"	"1"	"1"	"16"	"237"	"8"	"4"	"1"	"0"	"0"	"0"	"4"	"0"	"0"	"1"	"2"	"1"	"1"	"315"	"0"	"315"	"0"
"198"	"165"	"15"	"0"	"0"	"2"	"273"	"9"	"2"	"1"	"0"	"0"	"0"	"6"	"1"	"0"	"1"	"1"	"1"	"1"	"313"	"0"	"313"	"0"
"199"	"166"	"289"	"7"	"2"	"244"	"153"	"34"	"5"	"1"	"2"	"4"	"5"	"78"	"28"	"7"	"6"	"13"	"13"	"13"	"904"	"0"	"904"	"0"
"200"	"167"	"74"	"6"	"2"	"21"	"156"	"90"	"9"	"1"	"3"	"12"	"11"	"155"	"3"	"4"	"3"	"9"	"3"	"2"	"564"	"0"	"564"	"0"
"201"	"168"	"96"	"3"	"1"	"54"	"323"	"66"	"9"	"8"	"1"	"8"	"11"	"69"	"13"	"5"	"6"	"21"	"13"	"2"	"709"	"0"	"709"	"0"
"202"	"169"	"133"	"4"	"8"	"29"	"259"	"50"	"11"	"3"	"8"	"9"	"10"	"102"	"9"	"1"	"1"	"8"	"1"	"0"	"646"	"0"	"646"	"0"
"203"	"170"	"33"	"22"	"1"	"56"	"111"	"222"	"0"	"6"	"6"	"13"	"2"	"48"	"6"	"5"	"4"	"7"	"8"	"5"	"555"	"0"	"555"	"0"
"204"	"171"	"35"	"9"	"2"	"38"	"132"	"141"	"4"	"7"	"2"	"5"	"6"	"80"	"7"	"10"	"5"	"5"	"7"	"6"	"501"	"0"	"501"	"0"
"205"	"172"	"152"	"18"	"1"	"148"	"70"	"42"	"2"	"0"	"0"	"1"	"1"	"19"	"17"	"2"	"5"	"7"	"7"	"2"	"494"	"0"	"494"	"0"
"206"	"173"	"33"	"11"	"2"	"76"	"86"	"38"	"0"	"1"	"0"	"2"	"2"	"77"	"17"	"3"	"2"	"2"	"0"	"1"	"353"	"0"	"353"	"0"
"207"	"174"	"336"	"21"	"0"	"149"	"132"	"41"	"1"	"2"	"2"	"7"	"0"	"23"	"10"	"2"	"3"	"5"	"1"	"0"	"735"	"0"	"735"	"0"
"208"	"175"	"45"	"6"	"7"	"139"	"134"	"82"	"6"	"9"	"2"	"14"	"8"	"105"	"18"	"20"	"3"	"16"	"2"	"3"	"619"	"0"	"619"	"0"
"209"	"176"	"26"	"2"	"2"	"28"	"49"	"26"	"1"	"1"	"2"	"3"	"2"	"44"	"5"	"2"	"1"	"5"	"3"	"1"	"203"	"0"	"203"	"0"
"210"	"177"	"55"	"3"	"6"	"101"	"156"	"108"	"13"	"15"	"9"	"13"	"18"	"96"	"30"	"14"	"5"	"25"	"19"	"15"	"701"	"0"	"701"	"0"
"211"	"178"	"161"	"9"	"5"	"98"	"79"	"101"	"4"	"2"	"1"	"9"	"6"	"108"	"11"	"8"	"1"	"11"	"24"	"6"	"644"	"0"	"644"	"0"
"212"	"179"	"57"	"10"	"3"	"38"	"54"	"63"	"5"	"7"	"5"	"5"	"4"	"113"	"6"	"9"	"2"	"11"	"22"	"21"	"435"	"0"	"435"	"0"
"213"	"180"	"188"	"3"	"7"	"149"	"30"	"48"	"4"	"16"	"3"	"19"	"12"	"162"	"32"	"13"	"3"	"13"	"17"	"9"	"728"	"0"	"728"	"0"
"214"	"181"	"18"	"3"	"2"	"46"	"25"	"55"	"6"	"1"	"2"	"15"	"4"	"220"	"8"	"8"	"4"	"7"	"1"	"1"	"426"	"0"	"426"	"0"
"215"	"182"	"52"	"8"	"2"	"140"	"26"	"54"	"1"	"1"	"2"	"7"	"9"	"140"	"29"	"10"	"8"	"8"	"22"	"10"	"529"	"0"	"529"	"0"
"216"	"183"	"145"	"1"	"0"	"33"	"13"	"32"	"4"	"1"	"2"	"9"	"3"	"284"	"4"	"4"	"2"	"4"	"3"	"1"	"545"	"0"	"545"	"0"
"217"	"184"	"19"	"8"	"2"	"245"	"31"	"38"	"0"	"7"	"4"	"8"	"3"	"70"	"28"	"5"	"1"	"6"	"2"	"1"	"478"	"0"	"478"	"0"
"218"	"185"	"47"	"13"	"2"	"93"	"42"	"11"	"1"	"1"	"1"	"5"	"2"	"120"	"16"	"7"	"0"	"12"	"5"	"1"	"379"	"0"	"379"	"0"
"219"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"220"	""	"Abdesh Kumar Rai"	"Asharphi Prasad Mehta"	"Orsheel Paswan"	"Meena Devi"	"Ramdeo Rai"	"Vandana Singh"	"Amresh Kumar Rai"	"Mohamma d Moein Ansari"	"Rajneesh Kumar Mukhiya"	"Rajesh Priyam"	"Sunil Kumar Sashant"	"Arvind Kumar Singh"	"Kundan Singh"	"Jagjit Jha"	"Punit Singh"	"Parphul Kumar"	"Ranjit Paswan"	"Ramshan kar Singh"	""	""	""	""
"221"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"222"	"186"	"61"	"7"	"1"	"162"	"49"	"42"	"1"	"1"	"1"	"15"	"6"	"227"	"15"	"10"	"2"	"4"	"2"	"0"	"606"	"0"	"606"	"0"
"223"	"186A"	"21"	"3"	"0"	"89"	"26"	"13"	"4"	"0"	"0"	"2"	"0"	"60"	"9"	"0"	"0"	"3"	"1"	"0"	"231"	"0"	"231"	"0"
"224"	"187"	"58"	"3"	"1"	"152"	"50"	"55"	"1"	"7"	"2"	"26"	"7"	"398"	"19"	"8"	"2"	"6"	"6"	"3"	"804"	"0"	"804"	"0"
"225"	"188"	"27"	"6"	"0"	"90"	"70"	"3"	"1"	"3"	"1"	"10"	"2"	"112"	"20"	"5"	"0"	"7"	"1"	"2"	"360"	"0"	"360"	"0"
"226"	"189"	"22"	"11"	"6"	"19"	"21"	"22"	"2"	"2"	"0"	"13"	"4"	"184"	"4"	"7"	"0"	"11"	"1"	"0"	"329"	"0"	"329"	"0"
"227"	"190"	"86"	"3"	"14"	"51"	"27"	"42"	"5"	"4"	"3"	"8"	"1"	"122"	"3"	"3"	"1"	"4"	"5"	"3"	"385"	"0"	"385"	"0"
"228"	"191"	"22"	"6"	"5"	"203"	"26"	"204"	"7"	"5"	"4"	"11"	"11"	"47"	"52"	"8"	"5"	"22"	"3"	"3"	"644"	"0"	"644"	"0"
"229"	"192"	"5"	"2"	"1"	"50"	"21"	"11"	"3"	"0"	"1"	"6"	"3"	"184"	"23"	"3"	"1"	"5"	"7"	"5"	"331"	"0"	"331"	"0"
"230"	"193"	"104"	"7"	"0"	"38"	"40"	"193"	"9"	"4"	"5"	"10"	"9"	"81"	"9"	"5"	"2"	"3"	"7"	"4"	"530"	"0"	"530"	"0"
"231"	"194"	"21"	"3"	"0"	"131"	"54"	"63"	"2"	"2"	"3"	"10"	"4"	"142"	"22"	"15"	"1"	"5"	"2"	"1"	"481"	"0"	"481"	"0"
"232"	"195"	"12"	"1"	"0"	"49"	"23"	"48"	"1"	"3"	"0"	"10"	"4"	"126"	"14"	"32"	"2"	"5"	"1"	"0"	"331"	"0"	"331"	"0"
"233"	"196"	"32"	"5"	"0"	"89"	"128"	"109"	"8"	"3"	"3"	"9"	"7"	"138"	"21"	"2"	"3"	"10"	"1"	"0"	"568"	"0"	"568"	"0"
"234"	"197"	"231"	"5"	"4"	"56"	"79"	"105"	"3"	"6"	"2"	"7"	"2"	"148"	"9"	"3"	"2"	"12"	"0"	"1"	"675"	"0"	"675"	"0"
"235"	"198"	"220"	"3"	"0"	"30"	"66"	"9"	"1"	"1"	"0"	"22"	"3"	"277"	"12"	"5"	"2"	"11"	"10"	"11"	"683"	"0"	"683"	"0"
"236"	"199"	"90"	"4"	"3"	"37"	"25"	"87"	"5"	"0"	"2"	"46"	"5"	"378"	"7"	"6"	"6"	"3"	"6"	"9"	"719"	"0"	"719"	"0"
"237"	"200"	"142"	"4"	"0"	"22"	"14"	"44"	"3"	"3"	"4"	"12"	"6"	"324"	"2"	"17"	"2"	"13"	"4"	"5"	"621"	"0"	"621"	"0"
"238"	"200A"	"142"	"4"	"2"	"47"	"7"	"26"	"1"	"2"	"0"	"3"	"2"	"80"	"4"	"7"	"2"	"10"	"3"	"1"	"343"	"0"	"343"	"0"
"239"	"201"	"35"	"9"	"3"	"210"	"64"	"70"	"5"	"2"	"3"	"16"	"2"	"128"	"53"	"8"	"4"	"14"	"3"	"7"	"636"	"0"	"636"	"0"
"240"	"202"	"46"	"8"	"2"	"79"	"58"	"33"	"5"	"1"	"12"	"18"	"3"	"132"	"11"	"5"	"1"	"4"	"6"	"4"	"428"	"0"	"428"	"0"
"241"	"203"	"93"	"10"	"4"	"207"	"13"	"42"	"2"	"5"	"1"	"9"	"2"	"87"	"24"	"6"	"1"	"8"	"0"	"0"	"514"	"0"	"514"	"0"
"242"	"204"	"35"	"1"	"7"	"266"	"124"	"78"	"5"	"2"	"2"	"8"	"2"	"74"	"34"	"2"	"2"	"13"	"1"	"1"	"657"	"0"	"657"	"0"
"243"	"205"	"99"	"2"	"4"	"190"	"90"	"79"	"5"	"3"	"2"	"11"	"10"	"226"	"65"	"15"	"10"	"11"	"6"	"4"	"832"	"0"	"832"	"0"
"244"	"206"	"97"	"2"	"3"	"55"	"38"	"152"	"2"	"1"	"1"	"18"	"1"	"312"	"5"	"7"	"1"	"2"	"11"	"10"	"718"	"0"	"718"	"0"
"245"	"207"	"145"	"4"	"2"	"27"	"89"	"30"	"2"	"4"	"0"	"17"	"4"	"276"	"8"	"5"	"2"	"15"	"17"	"5"	"652"	"0"	"652"	"0"
"246"	"208"	"88"	"8"	"2"	"133"	"124"	"97"	"6"	"9"	"2"	"21"	"10"	"189"	"32"	"26"	"8"	"21"	"3"	"5"	"784"	"0"	"784"	"0"
"247"	"209"	"69"	"2"	"1"	"64"	"71"	"323"	"5"	"4"	"3"	"6"	"5"	"97"	"6"	"4"	"0"	"5"	"1"	"0"	"666"	"0"	"666"	"0"
"248"	"210"	"131"	"9"	"5"	"79"	"51"	"195"	"5"	"8"	"6"	"19"	"13"	"156"	"25"	"5"	"2"	"13"	"6"	"5"	"733"	"0"	"733"	"0"
"249"	"211"	"105"	"2"	"2"	"119"	"254"	"63"	"7"	"2"	"4"	"9"	"11"	"110"	"18"	"9"	"1"	"4"	"5"	"5"	"730"	"0"	"730"	"0"
"250"	"Total No. of Votes Recorded at Polling
station"	"33705"	"1709"	"783"	"19226"	"19033"	"16585"	"931"	"802"	"511"	"2050"	"1104"	"21622"	"3014"	"4627"	"743"	"2166"	"1423"	"897"	"131012"	"0"	"131012"	"0"
"251"	"No Of Votes Recoreded on Postal Ballot
Paper"	"65"	"3"	"0"	"75"	"77"	"44"	"0"	"0"	"0"	"0"	"0"	"61"	"0"	"26"	"0"	"0"	"0"	"1"	"261705"	"0"	"261705"	"0"
"252"	"Total Votes Pollod"	"33770"	"1712"	"783"	"19301"	"19110"	"16629"	"931"	"802"	"511"	"2050"	"1104"	"21683"	"3014"	"4653"	"743"	"2166"	"1423"	"898"	"392717"	"0"	"392717"	"0"
"253"	"Place :          Bazar Samitee Begusarai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"Date :            24-11-2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"256"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
