"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 029---Runnisaidpur CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Assembly Constituency :029---Runnisaidpur"	""	""	""	""	""	""	""	""	"No of Voters : 216175"	""	""	""	""	""	""	""
"4"	"SLNO"	"BOOTH_N O"	"Guddi Devi"	"Devendra Pd. Yadav"	"Nawal
Kishore Shahi"	"Moni Gupta"	"Ram Shatrughan Rai"	"Sushma Narayan"	"Sone Lal Sah"	"Ira Devi"	"Mangeeta Devi"	"Mandakani Kumari"	"Mohammad
Salahuddin Ansari"	"Total
Valid"	"No. of
Rejecte"	"Total"	"No. of
Tendered"
"181"	"153"	"146"	"408"	"19"	"6"	"115"	"100"	"18"	"2"	"13"	"8"	"6"	"24"	"719"	"0"	"719"	"0"
"182"	"154"	"147"	"92"	"14"	"8"	"101"	"320"	"90"	"16"	"17"	"60"	"11"	"41"	"770"	"0"	"770"	"0"
"183"	"155"	"148"	"313"	"6"	"6"	"5"	"19"	"14"	"0"	"2"	"1"	"0"	"6"	"372"	"0"	"372"	"0"
"184"	"Page 5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"185"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"186"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"187"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 029---Runnisaidpur CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"188"	"Assembly Constituency :029---Runnisaidpur"	""	""	""	""	""	""	""	""	"No of Voters : 216175"	""	""	""	""	""	""	""
"189"	"SLNO"	"BOOTH_N O"	"Guddi Devi"	"Devendra Pd. Yadav"	"Nawal
Kishore Shahi"	"Moni Gupta"	"Ram Shatrughan Rai"	"Sushma Narayan"	"Sone Lal Sah"	"Ira Devi"	"Mangeeta Devi"	"Mandakani Kumari"	"Mohammad
Salahuddin Ansari"	"Total
Valid"	"No. of
Rejecte"	"Total"	"No. of
Tendered"
"190"	"156"	"149"	"327"	"16"	"14"	"22"	"411"	"32"	"7"	"16"	"8"	"4"	"25"	"882"	"0"	"882"	"0"
"191"	"157"	"150"	"208"	"19"	"4"	"83"	"238"	"9"	"7"	"15"	"16"	"9"	"31"	"639"	"0"	"639"	"0"
"192"	"158"	"151"	"290"	"14"	"15"	"7"	"83"	"14"	"5"	"14"	"109"	"6"	"20"	"577"	"0"	"577"	"0"
"193"	"159"	"152"	"209"	"8"	"3"	"4"	"5"	"2"	"3"	"3"	"88"	"4"	"6"	"335"	"0"	"335"	"0"
"194"	"160"	"153"	"202"	"8"	"7"	"21"	"129"	"9"	"5"	"5"	"84"	"5"	"30"	"505"	"0"	"505"	"0"
"195"	"161"	"154"	"170"	"7"	"10"	"24"	"424"	"19"	"2"	"7"	"36"	"5"	"14"	"718"	"0"	"718"	"0"
"196"	"162"	"155"	"200"	"11"	"7"	"11"	"300"	"4"	"5"	"7"	"68"	"7"	"12"	"632"	"0"	"632"	"0"
"197"	"163"	"156"	"175"	"13"	"3"	"6"	"104"	"2"	"3"	"10"	"14"	"3"	"15"	"348"	"0"	"348"	"0"
"198"	"164"	"157"	"224"	"8"	"1"	"36"	"13"	"8"	"0"	"19"	"4"	"0"	"6"	"319"	"0"	"319"	"0"
"199"	"165"	"158"	"169"	"12"	"2"	"88"	"227"	"8"	"6"	"11"	"20"	"13"	"38"	"594"	"0"	"594"	"0"
"200"	"166"	"159"	"58"	"1"	"12"	"12"	"7"	"66"	"3"	"2"	"2"	"3"	"2"	"168"	"0"	"168"	"0"
"201"	"167"	"160"	"132"	"7"	"28"	"5"	"21"	"161"	"4"	"6"	"4"	"3"	"10"	"381"	"0"	"381"	"0"
"202"	"168"	"160 A"	"84"	"2"	"10"	"2"	"51"	"101"	"1"	"3"	"5"	"3"	"13"	"275"	"0"	"275"	"0"
"203"	"169"	"161"	"40"	"3"	"101"	"6"	"174"	"11"	"6"	"16"	"124"	"3"	"10"	"494"	"0"	"494"	"0"
"204"	"170"	"162"	"88"	"11"	"11"	"8"	"230"	"92"	"6"	"9"	"39"	"8"	"24"	"526"	"0"	"526"	"0"
"205"	"171"	"163"	"168"	"10"	"85"	"8"	"4"	"7"	"3"	"2"	"1"	"7"	"20"	"315"	"0"	"315"	"0"
"206"	"172"	"164"	"137"	"15"	"241"	"53"	"18"	"43"	"4"	"4"	"6"	"3"	"6"	"530"	"0"	"530"	"0"
"207"	"173"	"165"	"101"	"3"	"57"	"26"	"59"	"4"	"3"	"3"	"2"	"5"	"11"	"274"	"0"	"274"	"0"
"208"	"174"	"166"	"99"	"7"	"14"	"63"	"84"	"20"	"2"	"6"	"60"	"9"	"21"	"385"	"0"	"385"	"0"
"209"	"175"	"167"	"263"	"19"	"9"	"161"	"38"	"31"	"8"	"29"	"95"	"13"	"54"	"720"	"0"	"720"	"0"
"210"	"176"	"168"	"92"	"8"	"13"	"172"	"68"	"25"	"10"	"10"	"35"	"8"	"26"	"467"	"0"	"467"	"0"
"211"	"177"	"169"	"14"	"4"	"0"	"15"	"102"	"2"	"3"	"10"	"6"	"0"	"5"	"161"	"0"	"161"	"0"
"212"	"178"	"170"	"307"	"32"	"14"	"27"	"178"	"6"	"3"	"25"	"200"	"12"	"10"	"814"	"0"	"814"	"0"
"213"	"179"	"171"	"46"	"276"	"12"	"16"	"153"	"4"	"1"	"4"	"43"	"4"	"4"	"563"	"0"	"563"	"0"
"214"	"180"	"172"	"184"	"18"	"4"	"207"	"321"	"18"	"7"	"23"	"114"	"4"	"12"	"912"	"0"	"912"	"0"
"215"	"181"	"173"	"53"	"14"	"0"	"157"	"486"	"14"	"6"	"21"	"43"	"11"	"23"	"828"	"0"	"828"	"0"
"216"	"182"	"174"	"75"	"6"	"3"	"27"	"194"	"4"	"2"	"3"	"44"	"2"	"11"	"371"	"0"	"371"	"0"
"217"	"183"	"175"	"238"	"19"	"7"	"119"	"116"	"11"	"4"	"7"	"21"	"5"	"41"	"588"	"0"	"588"	"0"
"218"	"184"	"176"	"172"	"40"	"6"	"77"	"96"	"2"	"6"	"19"	"84"	"8"	"27"	"537"	"0"	"537"	"0"
"219"	"185"	"177"	"59"	"73"	"11"	"67"	"134"	"28"	"10"	"18"	"110"	"19"	"29"	"558"	"0"	"558"	"0"
"220"	"186"	"178"	"97"	"48"	"24"	"252"	"139"	"23"	"9"	"22"	"81"	"10"	"46"	"751"	"0"	"751"	"0"
"221"	"Page 6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 029---Runnisaidpur CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"Assembly Constituency :029---Runnisaidpur"	""	""	""	""	""	""	""	""	"No of Voters : 216175"	""	""	""	""	""	""	""
"226"	"SLNO"	"BOOTH_N O"	"Guddi Devi"	"Devendra Pd. Yadav"	"Nawal
Kishore Shahi"	"Moni Gupta"	"Ram Shatrughan Rai"	"Sushma Narayan"	"Sone Lal Sah"	"Ira Devi"	"Mangeeta Devi"	"Mandakani Kumari"	"Mohammad
Salahuddin Ansari"	"Total
Valid"	"No. of
Rejecte"	"Total"	"No. of
Tendered"
"227"	"187"	"179"	"206"	"9"	"3"	"33"	"92"	"9"	"3"	"15"	"24"	"4"	"16"	"414"	"0"	"414"	"0"
"228"	"188"	"180"	"202"	"14"	"3"	"22"	"92"	"14"	"3"	"7"	"8"	"6"	"16"	"387"	"0"	"387"	"0"
"229"	"189"	"181"	"170"	"13"	"9"	"33"	"121"	"35"	"3"	"11"	"38"	"11"	"55"	"499"	"0"	"499"	"0"
"230"	"190"	"182"	"166"	"14"	"2"	"18"	"233"	"26"	"5"	"9"	"16"	"6"	"16"	"511"	"0"	"511"	"0"
"231"	"191"	"183"	"268"	"14"	"13"	"23"	"123"	"31"	"13"	"33"	"60"	"9"	"57"	"644"	"0"	"644"	"0"
"232"	"192"	"184"	"123"	"7"	"109"	"9"	"138"	"42"	"3"	"32"	"28"	"6"	"15"	"512"	"0"	"512"	"0"
"233"	"193"	"185"	"173"	"29"	"17"	"42"	"198"	"25"	"10"	"13"	"130"	"12"	"14"	"663"	"0"	"663"	"0"
"234"	"194"	"186"	"203"	"5"	"3"	"19"	"349"	"30"	"8"	"13"	"44"	"3"	"27"	"704"	"0"	"704"	"0"
"235"	"195"	"187"	"118"	"4"	"12"	"16"	"333"	"18"	"4"	"4"	"21"	"3"	"20"	"553"	"0"	"553"	"0"
"236"	"196"	"188"	"207"	"20"	"79"	"70"	"215"	"28"	"6"	"36"	"50"	"3"	"15"	"729"	"0"	"729"	"0"
"237"	"197"	"189"	"346"	"19"	"12"	"35"	"275"	"35"	"5"	"15"	"24"	"8"	"27"	"801"	"0"	"801"	"0"
"238"	"198"	"190"	"244"	"16"	"5"	"14"	"117"	"9"	"1"	"7"	"14"	"0"	"11"	"438"	"0"	"438"	"0"
"239"	"199"	"191"	"35"	"2"	"1"	"15"	"284"	"8"	"3"	"2"	"14"	"3"	"20"	"387"	"0"	"387"	"0"
"240"	"200"	"192"	"104"	"7"	"2"	"18"	"247"	"10"	"2"	"5"	"36"	"6"	"12"	"449"	"0"	"449"	"0"
"241"	"201"	"193"	"90"	"9"	"2"	"9"	"245"	"7"	"6"	"2"	"43"	"5"	"16"	"434"	"0"	"434"	"0"
"242"	"202"	"194"	"122"	"7"	"4"	"29"	"149"	"4"	"7"	"8"	"154"	"14"	"43"	"541"	"0"	"541"	"0"
"243"	"203"	"195"	"196"	"13"	"2"	"21"	"174"	"14"	"9"	"19"	"162"	"15"	"21"	"646"	"0"	"646"	"0"
"244"	"204"	"196"	"168"	"11"	"12"	"6"	"193"	"21"	"8"	"11"	"78"	"6"	"20"	"534"	"0"	"534"	"0"
"245"	"205"	"197"	"269"	"12"	"2"	"12"	"59"	"8"	"3"	"4"	"27"	"2"	"20"	"418"	"0"	"418"	"0"
"246"	"206"	"198"	"408"	"19"	"18"	"26"	"33"	"33"	"6"	"9"	"27"	"5"	"30"	"614"	"0"	"614"	"0"
"247"	"207"	"199"	"230"	"24"	"10"	"19"	"133"	"17"	"2"	"11"	"8"	"8"	"19"	"481"	"0"	"481"	"0"
"248"	"208"	"200"	"197"	"20"	"3"	"48"	"138"	"19"	"2"	"19"	"43"	"10"	"37"	"536"	"0"	"536"	"0"
"249"	"209"	"201"	"263"	"11"	"12"	"50"	"98"	"5"	"4"	"9"	"19"	"4"	"31"	"506"	"0"	"506"	"0"
"250"	"210"	"202"	"448"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"2"	"0"	"3"	"456"	"0"	"456"	"0"
"251"	"211"	"203"	"392"	"17"	"23"	"8"	"130"	"15"	"3"	"11"	"72"	"9"	"32"	"712"	"0"	"712"	"0"
"252"	"212"	"204"	"205"	"4"	"33"	"34"	"152"	"17"	"5"	"9"	"16"	"3"	"24"	"502"	"0"	"502"	"0"
"253"	"213"	"205"	"363"	"16"	"7"	"13"	"103"	"11"	"5"	"11"	"5"	"11"	"48"	"593"	"0"	"593"	"0"
"254"	"214"	"206"	"179"	"15"	"12"	"14"	"193"	"13"	"8"	"26"	"13"	"4"	"36"	"513"	"0"	"513"	"0"
"255"	"215"	"207"	"115"	"11"	"8"	"11"	"173"	"20"	"10"	"9"	"8"	"13"	"38"	"416"	"0"	"416"	"0"
"256"	"216"	"208"	"119"	"6"	"2"	"33"	"135"	"11"	"2"	"6"	"6"	"2"	"16"	"338"	"0"	"338"	"0"
"257"	"217"	"209"	"230"	"4"	"3"	"16"	"113"	"4"	"0"	"5"	"10"	"0"	"16"	"401"	"0"	"401"	"0"
"258"	"Page 7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"259"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"261"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 029---Runnisaidpur CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"262"	"Assembly Constituency :029---Runnisaidpur"	""	""	""	""	""	""	""	""	"No of Voters : 216175"	""	""	""	""	""	""	""
"263"	"SLNO"	"BOOTH_N O"	"Guddi Devi"	"Devendra Pd. Yadav"	"Nawal
Kishore Shahi"	"Moni Gupta"	"Ram Shatrughan Rai"	"Sushma Narayan"	"Sone Lal Sah"	"Ira Devi"	"Mangeeta Devi"	"Mandakani Kumari"	"Mohammad
Salahuddin Ansari"	"Total
Valid"	"No. of
Rejecte"	"Total"	"No. of
Tendered"
"264"	"218"	"210"	"14"	"2"	"0"	"1"	"145"	"1"	"0"	"0"	"13"	"2"	"3"	"181"	"0"	"181"	"0"
"265"	"219"	"211"	"173"	"11"	"4"	"9"	"182"	"6"	"4"	"11"	"2"	"5"	"35"	"442"	"0"	"442"	"0"
"266"	"220"	"212"	"147"	"18"	"33"	"19"	"10"	"57"	"9"	"22"	"26"	"6"	"19"	"366"	"0"	"366"	"0"
"267"	"221"	"213"	"231"	"7"	"7"	"34"	"101"	"3"	"5"	"16"	"10"	"1"	"14"	"429"	"0"	"429"	"0"
"268"	"222"	"214"	"353"	"21"	"3"	"21"	"117"	"26"	"10"	"14"	"33"	"2"	"16"	"616"	"0"	"616"	"0"
"269"	"223"	"215"	"109"	"6"	"1"	"16"	"52"	"95"	"4"	"4"	"13"	"2"	"41"	"343"	"0"	"343"	"0"
"270"	"224"	"216"	"141"	"8"	"2"	"29"	"46"	"49"	"3"	"5"	"18"	"4"	"44"	"349"	"0"	"349"	"0"
"271"	"225"	"217"	"449"	"16"	"11"	"37"	"94"	"42"	"8"	"9"	"45"	"7"	"19"	"737"	"0"	"737"	"0"
"272"	""	"Total -"	"36104"	"2740"	"3703"	"10114"	"25353"	"6289"	"1129"	"3553"	"14123"	"1335"	"4494"	"108937"	"0"	"108937"	"0"
"273"	"Postal Ballo"	""	"21"	"0"	"0"	"0"	"13"	"0"	"0"	"0"	"2"	"0"	"0"	"36"	"1"	"37"	"0"
"274"	""	"Grand Tot"	"36125"	"2740"	"3703"	"10114"	"25366"	"6289"	"1129"	"3553"	"14125"	"1335"	"4494"	"108973"	"1"	"108974"	"0"
"275"	"Page 8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
