"Total.No..of.Electors.in.Assembly.Constituency........191963"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"08- Bettiah Legislative Assembly Constituency (Round - 1)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Station No."	"PARWEZ ALAM"	"MADAN MOHAN TIWARI"	"RANJIT GIRI"	"RAJESH KUMAR"	"RENU DEVI"	"VIRVAL YADAV"	"CHANDRIK A SAHNI"	"PRAMOD SAH"	"SHYAM CHANDRA GUPT"	"SURENDR A RAM"	"ANIL KUMAR JHA"	"MD ALAMGIR AFTAB"	"ISHTAKHA R HUSEN"	"JAWAHAR GUPTA"	"MAHFUZ ALAM"	"RAMASHA NKAR PRASAD KUSHAWA HA"	"VINDESH WARI SAH"	"SHAMBHU PRASAD GUPTA"	"Total No.     of actual Votes"	"Total No.   of rejecte d Votes"	"Total"	"No.   of Tender ed Votes"	""
"133"	"71"	"22"	"100"	"11"	"14"	"113"	"35"	"4"	"0"	"2"	"1"	"101"	"1"	"1"	"3"	"0"	"3"	"3"	"6"	"420"	"0"	"420"	"0"	""
"134"	"72"	"43"	"59"	"9"	"101"	"146"	"44"	"0"	"5"	"1"	"2"	"12"	"6"	"7"	"4"	"2"	"8"	"2"	"7"	"458"	"0"	"458"	"0"	""
"135"	"73"	"20"	"85"	"7"	"10"	"274"	"85"	"2"	"2"	"1"	"2"	"57"	"9"	"5"	"9"	"3"	"8"	"2"	"2"	"583"	"0"	"583"	"0"	""
"136"	"74"	"4"	"33"	"13"	"9"	"311"	"34"	"2"	"2"	"0"	"0"	"21"	"2"	"0"	"3"	"1"	"1"	"1"	"0"	"437"	"0"	"437"	"0"	""
"137"	"75"	"2"	"21"	"10"	"1"	"285"	"12"	"0"	"0"	"0"	"0"	"74"	"3"	"0"	"1"	"2"	"1"	"2"	"1"	"415"	"0"	"415"	"0"	""
"138"	"76"	"2"	"62"	"9"	"6"	"362"	"26"	"1"	"3"	"2"	"2"	"212"	"4"	"2"	"2"	"1"	"0"	"3"	"8"	"707"	"0"	"707"	"0"	""
"139"	"77"	"9"	"211"	"26"	"21"	"285"	"45"	"3"	"1"	"3"	"3"	"67"	"12"	"2"	"3"	"9"	"3"	"3"	"10"	"716"	"0"	"716"	"0"	""
"140"	"78"	"3"	"56"	"8"	"13"	"262"	"110"	"2"	"4"	"1"	"2"	"78"	"5"	"4"	"8"	"2"	"21"	"4"	"38"	"621"	"0"	"621"	"0"	""
"141"	"79"	"7"	"244"	"13"	"3"	"116"	"16"	"5"	"7"	"2"	"2"	"113"	"3"	"124"	"2"	"7"	"20"	"2"	"2"	"688"	"0"	"688"	"0"	""
"142"	"80"	"9"	"230"	"10"	"6"	"28"	"17"	"1"	"2"	"1"	"1"	"157"	"3"	"102"	"0"	"2"	"7"	"0"	"8"	"584"	"0"	"584"	"0"	""
"143"	"81"	"4"	"43"	"6"	"17"	"467"	"90"	"2"	"8"	"0"	"5"	"61"	"8"	"3"	"3"	"2"	"28"	"5"	"12"	"764"	"0"	"764"	"0"	""
"144"	"82"	"3"	"36"	"8"	"7"	"176"	"97"	"1"	"3"	"0"	"1"	"22"	"5"	"5"	"2"	"1"	"5"	"2"	"14"	"388"	"0"	"388"	"0"	""
"145"	"83"	"0"	"22"	"3"	"7"	"76"	"78"	"2"	"0"	"0"	"1"	"23"	"8"	"0"	"2"	"2"	"7"	"1"	"2"	"234"	"0"	"234"	"0"	""
"146"	"Total"	"128"	"1222"	"138"	"224"	"3299"	"733"	"27"	"39"	"13"	"24"	"1040"	"72"	"257"	"42"	"37"	"123"	"31"	"113"	"7562"	"0"	"7562"	"0"	""
"147"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"08- Bettiah Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"Total No. of Electors in Assembly Constituency -      191963"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"08- Bettiah Legislative Assembly Constituency (Round - 7)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"Polling Station No."	"PARWEZ ALAM"	"MADAN MOHAN TIWARI"	"RANJIT GIRI"	"RAJESH KUMAR"	"RENU DEVI"	"VIRVAL YADAV"	"CHANDRIK A SAHNI"	"PRAMOD SAH"	"SHYAM CHANDRA GUPT"	"SURENDR A RAM"	"ANIL KUMAR JHA"	"MD ALAMGIR AFTAB"	"ISHTAKHA R HUSEN"	"JAWAHAR GUPTA"	"MAHFUZ ALAM"	"RAMASHA NKAR PRASAD KUSHAWA
HA"	"VINDESH WARI SAH"	"SHAMBHU PRASAD GUPTA"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"156"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"157"	"84"	"6"	"70"	"15"	"4"	"295"	"43"	"3"	"2"	"0"	"1"	"52"	"4"	"1"	"2"	"1"	"10"	"0"	"2"	"511"	"0"	"511"	"0"	""
"158"	"85"	"1"	"41"	"5"	"0"	"316"	"32"	"2"	"3"	"1"	"1"	"93"	"3"	"1"	"0"	"0"	"13"	"1"	"6"	"519"	"0"	"519"	"0"	""
"159"	"86"	"8"	"108"	"22"	"6"	"467"	"27"	"0"	"7"	"4"	"7"	"165"	"12"	"4"	"9"	"7"	"16"	"4"	"6"	"879"	"0"	"879"	"0"	""
"160"	"87"	"2"	"42"	"13"	"4"	"159"	"31"	"1"	"3"	"1"	"5"	"248"	"10"	"22"	"1"	"5"	"7"	"1"	"6"	"561"	"0"	"561"	"0"	""
"161"	"88"	"5"	"170"	"34"	"14"	"267"	"12"	"0"	"3"	"1"	"3"	"59"	"4"	"2"	"4"	"4"	"7"	"5"	"15"	"609"	"0"	"609"	"0"	""
"162"	"89"	"11"	"39"	"7"	"2"	"400"	"188"	"5"	"7"	"4"	"12"	"42"	"18"	"8"	"5"	"8"	"5"	"2"	"4"	"767"	"0"	"767"	"0"	""
"163"	"90"	"8"	"145"	"7"	"24"	"15"	"22"	"1"	"0"	"0"	"0"	"5"	"0"	"1"	"0"	"2"	"1"	"0"	"3"	"234"	"0"	"234"	"0"	""
"164"	"91"	"46"	"117"	"12"	"48"	"114"	"59"	"2"	"4"	"1"	"4"	"270"	"12"	"78"	"8"	"13"	"14"	"1"	"36"	"839"	"0"	"839"	"0"	""
"165"	"92"	"28"	"263"	"11"	"2"	"20"	"7"	"2"	"3"	"1"	"5"	"100"	"0"	"18"	"4"	"17"	"6"	"0"	"6"	"493"	"0"	"493"	"0"	""
"166"	"92 A"	"14"	"198"	"4"	"1"	"9"	"17"	"2"	"1"	"1"	"3"	"62"	"1"	"6"	"0"	"9"	"3"	"5"	"10"	"346"	"0"	"346"	"0"	""
"167"	"93"	"4"	"73"	"16"	"5"	"303"	"85"	"1"	"7"	"2"	"5"	"64"	"7"	"5"	"7"	"12"	"125"	"0"	"4"	"725"	"0"	"725"	"0"	""
"168"	"94"	"5"	"72"	"19"	"15"	"456"	"100"	"5"	"6"	"11"	"8"	"29"	"14"	"7"	"5"	"5"	"10"	"18"	"8"	"793"	"0"	"793"	"0"	""
"169"	"95"	"18"	"119"	"17"	"18"	"513"	"18"	"2"	"1"	"1"	"0"	"60"	"1"	"3"	"1"	"0"	"45"	"1"	"4"	"822"	"0"	"822"	"0"	""
"170"	"96"	"50"	"120"	"28"	"9"	"241"	"49"	"7"	"5"	"1"	"2"	"50"	"9"	"2"	"6"	"3"	"108"	"9"	"19"	"718"	"0"	"718"	"0"	""
"171"	"Total"	"206"	"1577"	"210"	"152"	"3575"	"690"	"33"	"52"	"29"	"56"	"1299"	"95"	"158"	"52"	"86"	"370"	"47"	"129"	"8816"	"0"	"8816"	"0"	""
"172"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"08- Bettiah Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"Total No. of Electors in Assembly Constituency -      191963"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"08- Bettiah Legislative Assembly Constituency (Round - 8)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"Polling Station No."	"PARWEZ ALAM"	"MADAN MOHAN TIWARI"	"RANJIT GIRI"	"RAJESH KUMAR"	"RENU DEVI"	"VIRVAL YADAV"	"CHANDRIK A SAHNI"	"PRAMOD SAH"	"SHYAM CHANDRA GUPT"	"SURENDR A RAM"	"ANIL KUMAR JHA"	"MD ALAMGIR AFTAB"	"ISHTAKHA R HUSEN"	"JAWAHAR GUPTA"	"MAHFUZ ALAM"	"RAMASHA NKAR PRASAD KUSHAWA
HA"	"VINDESH WARI SAH"	"SHAMBHU PRASAD GUPTA"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"181"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"182"	"97"	"8"	"137"	"23"	"10"	"279"	"81"	"4"	"7"	"5"	"5"	"152"	"15"	"26"	"8"	"9"	"84"	"14"	"6"	"873"	"0"	"873"	"0"	""
"183"	"98"	"6"	"61"	"31"	"27"	"325"	"78"	"9"	"5"	"2"	"10"	"19"	"12"	"10"	"11"	"8"	"44"	"2"	"6"	"666"	"0"	"666"	"0"	""
"184"	"99"	"0"	"18"	"0"	"70"	"25"	"12"	"0"	"0"	"3"	"4"	"14"	"5"	"62"	"3"	"2"	"2"	"0"	"2"	"222"	"0"	"222"	"0"	""
"185"	"100"	"9"	"166"	"48"	"4"	"174"	"26"	"6"	"6"	"2"	"3"	"63"	"3"	"15"	"6"	"7"	"51"	"3"	"41"	"633"	"0"	"633"	"0"	""
"186"	"101"	"11"	"29"	"13"	"33"	"281"	"78"	"5"	"7"	"4"	"4"	"64"	"10"	"4"	"4"	"8"	"97"	"6"	"24"	"682"	"0"	"682"	"0"	""
"187"	"102"	"13"	"92"	"84"	"13"	"221"	"9"	"3"	"4"	"3"	"5"	"41"	"5"	"6"	"4"	"7"	"4"	"2"	"35"	"551"	"0"	"551"	"0"	""
"188"	"102 A"	"9"	"97"	"5"	"2"	"81"	"47"	"3"	"0"	"4"	"4"	"41"	"12"	"4"	"4"	"2"	"6"	"1"	"6"	"328"	"0"	"328"	"0"	""
"189"	"103"	"2"	"15"	"10"	"4"	"205"	"110"	"7"	"11"	"5"	"5"	"18"	"12"	"8"	"7"	"2"	"13"	"2"	"8"	"444"	"0"	"444"	"0"	""
"190"	"104"	"13"	"72"	"25"	"12"	"203"	"12"	"4"	"12"	"1"	"1"	"33"	"11"	"2"	"8"	"6"	"51"	"6"	"95"	"567"	"0"	"567"	"0"	""
"191"	"105"	"11"	"214"	"25"	"7"	"229"	"18"	"1"	"9"	"3"	"4"	"29"	"4"	"1"	"2"	"5"	"13"	"2"	"6"	"583"	"0"	"583"	"0"	""
"192"	"106"	"64"	"94"	"22"	"1"	"65"	"9"	"4"	"4"	"3"	"3"	"69"	"8"	"4"	"10"	"10"	"14"	"0"	"4"	"388"	"0"	"388"	"0"	""
"193"	"107"	"18"	"333"	"21"	"6"	"203"	"13"	"0"	"5"	"3"	"1"	"92"	"3"	"0"	"3"	"7"	"5"	"5"	"9"	"727"	"0"	"727"	"0"	""
"194"	"108"	"10"	"255"	"23"	"7"	"290"	"19"	"3"	"5"	"3"	"4"	"11"	"4"	"2"	"10"	"4"	"9"	"7"	"3"	"669"	"0"	"669"	"0"	""
"195"	"109"	"26"	"124"	"10"	"9"	"161"	"54"	"9"	"4"	"2"	"6"	"64"	"7"	"17"	"8"	"3"	"6"	"7"	"17"	"534"	"0"	"534"	"0"	""
"196"	"Total"	"200"	"1707"	"340"	"205"	"2742"	"566"	"58"	"79"	"43"	"59"	"710"	"111"	"161"	"88"	"80"	"399"	"57"	"262"	"7867"	"0"	"7867"	"0"	""
"197"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"08- Bettiah Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Total No. of Electors in Assembly Constituency -      191963"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"08- Bettiah Legislative Assembly Constituency (Round - 9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"Polling Station No."	"PARWEZ ALAM"	"MADAN MOHAN TIWARI"	"RANJIT GIRI"	"RAJESH KUMAR"	"RENU DEVI"	"VIRVAL YADAV"	"CHANDRIK A SAHNI"	"PRAMOD SAH"	"SHYAM CHANDRA GUPT"	"SURENDR A RAM"	"ANIL KUMAR JHA"	"MD ALAMGIR AFTAB"	"ISHTAKHA R HUSEN"	"JAWAHAR GUPTA"	"MAHFUZ ALAM"	"RAMASHA NKAR PRASAD KUSHAWA
HA"	"VINDESH WARI SAH"	"SHAMBHU PRASAD GUPTA"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"206"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"207"	"110"	"3"	"79"	"33"	"7"	"365"	"46"	"4"	"14"	"4"	"7"	"42"	"7"	"12"	"7"	"6"	"18"	"9"	"36"	"699"	"0"	"699"	"0"	""
"208"	"111"	"8"	"65"	"5"	"38"	"239"	"53"	"2"	"0"	"0"	"1"	"37"	"2"	"0"	"2"	"2"	"19"	"3"	"2"	"478"	"0"	"478"	"0"	""
"209"	"112"	"17"	"25"	"6"	"9"	"290"	"135"	"4"	"6"	"5"	"5"	"32"	"12"	"4"	"10"	"8"	"12"	"5"	"10"	"595"	"0"	"595"	"0"	""
"210"	"113"	"171"	"15"	"14"	"40"	"217"	"30"	"3"	"5"	"5"	"6"	"39"	"9"	"2"	"9"	"5"	"5"	"3"	"27"	"605"	"0"	"605"	"0"	""
"211"	"114"	"6"	"163"	"19"	"5"	"117"	"9"	"1"	"3"	"0"	"3"	"72"	"4"	"1"	"4"	"3"	"7"	"3"	"15"	"435"	"0"	"435"	"0"	""
"212"	"115"	"19"	"189"	"15"	"27"	"82"	"164"	"0"	"3"	"0"	"6"	"64"	"12"	"1"	"8"	"9"	"5"	"5"	"11"	"620"	"0"	"620"	"0"	""
"213"	"116"	"9"	"42"	"23"	"0"	"53"	"18"	"4"	"0"	"0"	"4"	"125"	"4"	"0"	"8"	"4"	"4"	"4"	"6"	"308"	"0"	"308"	"0"	""
"214"	"117"	"4"	"49"	"2"	"39"	"309"	"24"	"1"	"2"	"1"	"0"	"60"	"1"	"1"	"4"	"0"	"3"	"0"	"4"	"504"	"0"	"504"	"0"	""
"215"	"118"	"6"	"61"	"6"	"42"	"317"	"113"	"4"	"6"	"6"	"5"	"165"	"14"	"3"	"13"	"9"	"26"	"2"	"13"	"811"	"0"	"811"	"0"	""
"216"	"119"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	""
"217"	"120"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"218"	"121"	"8"	"49"	"18"	"4"	"185"	"255"	"12"	"5"	"2"	"7"	"60"	"15"	"4"	"9"	"5"	"52"	"6"	"7"	"703"	"0"	"703"	"0"	""
"219"	"122"	"49"	"84"	"8"	"26"	"30"	"58"	"6"	"12"	"0"	"3"	"83"	"23"	"9"	"7"	"6"	"32"	"5"	"145"	"586"	"0"	"586"	"0"	""
"220"	"123"	"108"	"24"	"8"	"12"	"53"	"105"	"1"	"7"	"8"	"5"	"31"	"14"	"7"	"5"	"12"	"47"	"69"	"80"	"596"	"0"	"596"	"0"	""
"221"	"Total"	"408"	"845"	"157"	"249"	"2258"	"1010"	"42"	"63"	"31"	"52"	"810"	"117"	"44"	"86"	"69"	"230"	"114"	"356"	"6941"	"0"	"6941"	"0"	""
"222"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"08- Bettiah Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"Total No. of Electors in Assembly Constituency -      191963"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"08- Bettiah Legislative Assembly Constituency (Round - 10)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"Polling Station No."	"PARWEZ ALAM"	"MADAN MOHAN TIWARI"	"RANJIT GIRI"	"RAJESH KUMAR"	"RENU DEVI"	"VIRVAL YADAV"	"CHANDRIK A SAHNI"	"PRAMOD SAH"	"SHYAM CHANDRA GUPT"	"SURENDR A RAM"	"ANIL KUMAR JHA"	"MD ALAMGIR AFTAB"	"ISHTAKHA R HUSEN"	"JAWAHAR GUPTA"	"MAHFUZ ALAM"	"RAMASHA NKAR PRASAD KUSHAWA
HA"	"VINDESH WARI SAH"	"SHAMBHU PRASAD GUPTA"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"231"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"232"	"124"	"18"	"17"	"13"	"11"	"156"	"18"	"16"	"7"	"3"	"10"	"42"	"17"	"13"	"9"	"22"	"81"	"166"	"68"	"687"	"0"	"687"	"0"	""
"233"	"125"	"5"	"7"	"9"	"7"	"132"	"74"	"308"	"10"	"7"	"13"	"55"	"11"	"6"	"11"	"5"	"19"	"21"	"7"	"707"	"0"	"707"	"0"	""
"234"	"126"	"27"	"132"	"11"	"7"	"106"	"47"	"106"	"9"	"4"	"8"	"23"	"31"	"8"	"14"	"15"	"39"	"17"	"131"	"735"	"0"	"735"	"0"	""
"235"	"127"	"9"	"44"	"10"	"23"	"387"	"15"	"14"	"5"	"2"	"5"	"24"	"9"	"5"	"16"	"12"	"135"	"3"	"21"	"739"	"0"	"739"	"0"	""
"236"	"128"	"12"	"48"	"19"	"7"	"199"	"344"	"5"	"6"	"11"	"12"	"15"	"27"	"7"	"57"	"14"	"26"	"6"	"71"	"886"	"0"	"886"	"0"	""
"237"	"129"	"11"	"23"	"9"	"24"	"186"	"27"	"6"	"26"	"4"	"19"	"46"	"28"	"12"	"29"	"26"	"78"	"21"	"210"	"785"	"0"	"785"	"0"	""
"238"	"130"	"20"	"20"	"7"	"3"	"175"	"117"	"7"	"8"	"1"	"6"	"44"	"24"	"7"	"21"	"12"	"108"	"21"	"76"	"677"	"0"	"677"	"0"	""
"239"	"131"	"6"	"31"	"15"	"41"	"339"	"118"	"8"	"18"	"2"	"4"	"15"	"10"	"4"	"8"	"3"	"156"	"2"	"12"	"792"	"0"	"792"	"0"	""
"240"	"132"	"1"	"25"	"12"	"8"	"573"	"26"	"3"	"77"	"5"	"7"	"70"	"21"	"4"	"13"	"7"	"23"	"6"	"4"	"885"	"0"	"885"	"0"	""
"241"	"133"	"3"	"11"	"7"	"3"	"182"	"28"	"7"	"356"	"9"	"9"	"207"	"17"	"11"	"36"	"5"	"71"	"1"	"8"	"971"	"0"	"971"	"0"	""
"242"	"134"	"3"	"22"	"6"	"5"	"217"	"82"	"12"	"25"	"2"	"22"	"13"	"10"	"2"	"20"	"10"	"100"	"9"	"7"	"567"	"0"	"567"	"0"	""
"243"	"135"	"89"	"12"	"13"	"8"	"249"	"106"	"5"	"9"	"5"	"5"	"100"	"6"	"5"	"11"	"5"	"18"	"1"	"20"	"667"	"0"	"667"	"0"	""
"244"	"136"	"108"	"87"	"5"	"3"	"87"	"184"	"3"	"10"	"4"	"11"	"16"	"13"	"4"	"23"	"18"	"33"	"10"	"9"	"628"	"0"	"628"	"0"	""
"245"	"137"	"29"	"22"	"34"	"32"	"207"	"54"	"9"	"18"	"14"	"4"	"15"	"9"	"10"	"149"	"10"	"120"	"1"	"4"	"741"	"0"	"741"	"0"	""
"246"	"Total"	"341"	"501"	"170"	"182"	"3195"	"1240"	"509"	"584"	"73"	"135"	"685"	"233"	"98"	"417"	"164"	"1007"	"285"	"648"	"10467"	"0"	"10467"	"0"	""
"247"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"08- Bettiah Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"Total No. of Electors in Assembly Constituency -      191963"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"08- Bettiah Legislative Assembly Constituency (Round - 11)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"Polling Station No."	"PARWEZ ALAM"	"MADAN MOHAN TIWARI"	"RANJIT GIRI"	"RAJESH KUMAR"	"RENU DEVI"	"VIRVAL YADAV"	"CHANDRIK A SAHNI"	"PRAMOD SAH"	"SHYAM CHANDRA GUPT"	"SURENDR A RAM"	"ANIL KUMAR JHA"	"MD ALAMGIR AFTAB"	"ISHTAKHA R HUSEN"	"JAWAHAR GUPTA"	"MAHFUZ ALAM"	"RAMASHA NKAR PRASAD KUSHAWA
HA"	"VINDESH WARI SAH"	"SHAMBHU PRASAD GUPTA"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"256"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"257"	"138"	"15"	"49"	"20"	"5"	"122"	"101"	"3"	"4"	"4"	"1"	"3"	"6"	"4"	"202"	"7"	"61"	"5"	"0"	"612"	"0"	"612"	"0"	""
"258"	"139"	"15"	"18"	"14"	"3"	"128"	"36"	"4"	"10"	"11"	"1"	"15"	"10"	"15"	"317"	"17"	"13"	"9"	"7"	"643"	"0"	"643"	"0"	""
"259"	"140"	"1"	"28"	"2"	"2"	"24"	"28"	"1"	"0"	"2"	"2"	"8"	"5"	"10"	"317"	"7"	"31"	"1"	"1"	"470"	"0"	"470"	"0"	""
"260"	"141"	"13"	"84"	"11"	"6"	"149"	"138"	"12"	"5"	"10"	"6"	"18"	"13"	"7"	"173"	"11"	"67"	"0"	"2"	"725"	"0"	"725"	"0"	""
"261"	"142"	"3"	"54"	"13"	"8"	"314"	"206"	"2"	"2"	"2"	"4"	"53"	"7"	"4"	"47"	"0"	"34"	"2"	"2"	"757"	"0"	"757"	"0"	""
"262"	"143"	"7"	"13"	"18"	"21"	"284"	"125"	"12"	"4"	"4"	"5"	"17"	"21"	"6"	"17"	"13"	"20"	"25"	"146"	"758"	"0"	"758"	"0"	""
"263"	"144"	"10"	"11"	"9"	"10"	"241"	"71"	"3"	"10"	"6"	"1"	"14"	"9"	"6"	"7"	"7"	"14"	"7"	"88"	"524"	"0"	"524"	"0"	""
"264"	"145"	"81"	"104"	"18"	"14"	"258"	"34"	"2"	"7"	"5"	"3"	"15"	"17"	"4"	"17"	"16"	"92"	"17"	"74"	"778"	"0"	"778"	"0"	""
"265"	"146"	"35"	"24"	"8"	"3"	"194"	"143"	"7"	"10"	"1"	"5"	"42"	"12"	"6"	"17"	"10"	"71"	"7"	"42"	"637"	"0"	"637"	"0"	""
"266"	"147"	"8"	"19"	"15"	"6"	"446"	"82"	"12"	"3"	"0"	"4"	"48"	"7"	"9"	"9"	"5"	"137"	"7"	"55"	"872"	"0"	"872"	"0"	""
"267"	"148"	"65"	"66"	"12"	"7"	"147"	"91"	"15"	"6"	"1"	"6"	"40"	"19"	"5"	"10"	"24"	"182"	"26"	"70"	"792"	"0"	"792"	"0"	""
