"Polling.Station.No."	"Ramavatar.Mandal"	"Sanjay.Kumar.Singh"	"Subodh.Rai"	"Suresh.Mohan.Jha"	"Haidar.Ali"	"Omdatta.Choudhary"	"Ganesh.Paswan"	"Chandan.Sharma"	"Matiur.Rahman"	"Rahul"	"Virendra.Kr..Ravi"	"Shivnandan.Sharma"	"Ashok.Yadav"	"Gautam.Yadav"	"Zafar.Alam"	"Pragya.Kumar"	"Pranaw.Roy"	"Md.Maqsud.Alam"	"Rajesh.Kumar"	"Ram.Rekha.Singh"	"Rijwan"	"Binod.Singh"	"Dr..Birendra.Singh"	"Sanjay.Panday"	"Total.....No..of......actual.Votes"	"Total.....No..of...rejected.Votes"	"Total"	"No..........of.Tendered.Votes"
"199"	"172"	72	13	19	10	70	17	0	2	5	2	4	2	18	12	9	10	27	185	12	11	6	11	3	13	533	0	533	NA
"200"	"173"	376	21	18	2	0	8	2	1	2	1	2	0	4	6	16	31	18	10	0	0	1	1	4	6	530	0	530	NA
"201"	"174"	14	4	29	5	47	33	0	2	0	2	0	2	10	6	7	17	22	408	17	5	4	6	3	10	653	0	653	NA
"202"	"175"	24	10	14	8	11	26	3	5	2	2	5	4	7	13	2	13	16	326	8	7	3	8	6	9	532	0	532	NA
"203"	"176"	42	13	28	4	60	23	7	3	2	2	4	3	5	14	10	11	8	358	2	4	4	3	7	5	622	0	622	NA
"204"	"177"	43	117	90	75	5	18	4	0	2	1	0	3	3	3	2	2	14	46	8	5	2	30	4	20	497	0	497	NA
"205"	"178"	177	14	32	8	6	17	5	1	3	0	2	2	6	11	3	10	15	94	3	4	1	4	2	3	423	0	423	NA
"206"	"179"	88	9	11	10	9	23	3	1	5	1	2	0	0	15	2	6	7	101	5	4	1	2	2	7	314	0	314	NA
"207"	"180"	95	48	21	33	16	28	4	1	20	3	4	2	0	2	5	9	3	37	6	3	2	13	8	2	365	0	365	NA
"208"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"209"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
"210"	"181"	58	4	21	11	2	7	0	2	11	1	1	3	1	2	1	4	10	61	8	5	2	15	4	11	245	0	245	NA
"211"	"182"	54	22	33	32	5	37	2	1	24	2	0	3	6	7	4	13	2	43	3	2	0	5	0	1	301	0	301	NA
"212"	"183"	54	13	50	64	0	17	1	0	14	0	2	0	0	3	1	4	7	276	31	3	5	17	3	8	573	0	573	NA
"213"	"184"	18	1	50	4	5	15	18	3	2	0	3	90	3	1	4	4	1	13	1	2	4	8	3	1	254	0	254	NA
"214"	"185"	30	2	6	1	130	17	4	2	6	1	2	1	1	6	4	7	2	37	4	1	8	8	8	6	294	0	294	NA
"215"	"186"	65	37	241	29	9	19	4	6	6	0	1	16	7	5	8	7	0	6	2	0	0	0	1	0	469	0	469	NA
"216"	"187"	12	1	120	140	5	57	2	1	1	1	0	3	4	5	3	14	1	8	0	3	0	7	1	2	391	0	391	NA
"217"	"188"	235	15	177	17	4	23	5	4	6	2	1	9	15	9	4	8	7	27	11	6	6	17	4	5	617	0	617	NA
"218"	"189"	30	8	217	46	4	18	1	1	8	2	1	3	4	4	8	6	7	5	10	5	5	12	5	7	417	0	417	NA
"219"	"190"	137	6	53	5	1	15	2	2	15	0	0	2	5	1	4	2	1	6	1	2	1	4	0	1	266	0	266	NA
"220"	"191"	321	14	118	53	2	25	1	4	34	0	1	1	7	4	1	3	5	29	2	4	0	10	0	1	640	0	640	NA
"221"	"192"	76	3	46	21	4	12	0	4	56	4	0	1	2	2	3	5	2	7	4	2	5	4	0	1	264	0	264	NA
"222"	"192-A"	77	1	91	12	3	11	0	2	38	0	0	0	3	2	1	2	6	6	5	6	17	11	0	10	304	0	304	NA
"223"	"193"	126	70	243	18	5	35	8	3	12	2	4	9	14	24	16	16	2	5	3	0	1	10	2	3	631	0	631	NA
"224"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"225"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
"226"	"194"	109	8	316	55	12	34	18	3	9	2	4	4	18	6	9	10	3	3	1	3	0	8	0	1	636	0	636	NA
"227"	"195"	60	7	368	3	4	18	3	0	2	0	0	1	0	2	0	2	1	1	0	1	1	41	1	1	517	0	517	NA
"228"	"196"	93	2	146	16	4	11	1	3	2	0	1	0	0	2	1	0	5	6	5	2	3	56	5	6	370	0	370	NA
"229"	"197"	35	14	60	146	2	57	3	0	4	2	3	5	3	2	4	7	2	0	3	1	1	63	3	3	423	0	423	NA
"230"	"198"	15	0	64	34	4	10	1	0	0	0	0	1	3	1	1	6	1	0	0	1	2	51	1	1	197	0	197	NA
"231"	"199"	28	1	13	1	3	53	16	4	62	2	6	4	2	2	3	6	2	3	2	0	3	61	5	3	285	0	285	NA
"232"	"200"	259	7	95	6	2	15	4	1	4	4	2	3	4	9	4	18	11	5	3	1	1	6	1	5	470	0	470	NA
"233"	"201"	208	6	38	38	0	5	2	4	1	0	1	1	1	6	3	14	3	4	3	0	0	9	9	2	358	0	358	NA
"234"	"202"	159	2	126	25	3	39	0	2	3	2	0	2	1	2	2	1	5	1	3	1	1	76	2	12	470	0	470	NA
"235"	"203"	162	12	83	37	2	46	1	3	3	1	3	6	8	3	8	15	29	14	8	12	14	150	13	24	657	0	657	NA
"236"	"204"	151	9	84	30	8	47	12	2	9	3	2	5	1	4	4	10	29	11	4	10	3	111	10	13	572	0	572	NA
"237"	"205"	331	19	77	15	0	29	10	4	18	2	4	2	15	5	6	12	20	15	12	3	6	28	2	8	643	0	643	NA
"238"	"206"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
"239"	"207"	45	21	216	7	0	27	0	0	3	0	0	1	0	0	1	3	1	0	0	0	1	71	0	2	399	0	399	NA
"240"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"241"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
"242"	"208"	113	2	31	14	2	58	2	0	1	1	1	2	3	0	2	2	6	8	3	1	0	23	2	5	282	0	282	NA
"243"	"209"	238	9	64	10	0	34	2	3	2	2	2	4	6	4	4	10	9	13	10	2	4	46	5	12	495	0	495	NA
"244"	"210"	94	1	39	99	8	102	0	3	3	0	0	3	2	4	1	4	3	1	0	1	1	7	4	4	384	0	384	NA
"245"	"211"	58	3	98	103	6	32	17	2	5	1	0	4	5	4	3	6	6	2	1	1	3	11	7	1	379	0	379	NA
"246"	"212"	194	23	120	33	27	62	6	3	3	0	2	5	7	11	2	7	6	36	3	2	2	6	1	4	565	0	565	NA
"247"	"213"	113	0	142	40	3	50	5	3	2	4	1	1	4	2	8	3	8	5	1	1	1	102	3	16	518	0	518	NA
"248"	"214"	123	17	264	13	7	40	12	5	11	1	0	4	6	5	7	11	6	2	3	2	3	23	6	4	575	0	575	NA
"249"	"215"	29	13	133	8	3	58	2	1	4	0	3	0	7	5	4	29	5	0	5	0	1	12	2	1	325	0	325	NA
"250"	"216"	258	27	137	18	6	17	3	4	10	2	1	2	33	9	3	6	11	8	6	0	2	2	1	2	568	0	568	NA
"251"	"217"	37	4	198	109	17	32	22	2	4	0	5	2	3	4	9	14	25	0	2	1	4	9	6	1	510	0	510	NA
"252"	"218"	53	33	172	47	15	48	28	1	8	0	7	3	3	4	8	6	3	2	3	0	1	3	2	0	450	0	450	NA
"253"	"219"	23	0	206	10	4	14	4	2	5	0	1	7	3	7	2	3	1	7	11	5	5	17	1	5	343	0	343	NA
"254"	"220"	25	6	275	17	9	30	2	5	3	3	4	4	4	3	4	5	3	3	3	3	1	8	7	4	431	0	431	NA
"255"	"221"	3	1	52	69	4	13	30	1	0	0	2	1	2	6	2	73	0	1	2	2	3	2	0	1	270	0	270	NA
"256"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"257"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
"258"	"222"	31	9	144	110	8	24	17	5	21	2	2	6	3	11	3	42	12	6	8	3	7	10	4	7	495	0	495	NA
"259"	"223"	366	9	15	3	3	4	1	1	0	0	0	2	1	2	3	8	9	5	1	1	1	0	1	0	436	0	436	NA
"260"	"224"	160	8	39	13	19	13	0	1	2	2	1	0	3	29	6	1	4	59	4	4	0	8	0	3	379	0	379	NA
"261"	"225"	46	119	110	68	3	32	0	3	2	2	1	11	0	4	6	7	8	3	0	0	1	10	4	15	455	0	455	NA
"262"	"226"	49	6	69	40	10	152	9	1	0	2	3	3	1	3	3	6	2	2	0	0	2	16	2	2	383	0	383	NA
"263"	"227"	42	12	259	101	4	8	3	1	5	0	3	3	5	10	4	2	3	7	22	9	6	7	9	5	530	0	530	NA
"264"	"228"	144	264	118	35	4	27	7	3	5	4	2	11	7	3	11	14	6	1	0	0	0	5	3	1	675	0	675	NA
"265"	"229"	355	43	8	16	3	3	11	2	2	0	2	1	0	3	3	20	11	12	3	0	0	3	3	1	505	0	505	NA
"266"	"230"	37	72	73	280	10	30	2	5	5	4	5	16	9	2	3	21	7	13	6	12	5	27	7	16	667	0	667	NA
"267"	"231"	83	7	47	108	4	18	3	3	0	2	4	5	1	8	1	12	1	28	0	0	0	1	0	1	337	0	337	NA
"268"	"232"	39	11	78	154	3	36	3	1	1	0	1	2	1	5	3	12	1	5	1	0	2	6	0	3	368	0	368	NA
"269"	"233"	32	143	46	148	11	35	0	3	1	0	0	7	1	4	5	17	5	141	5	1	2	8	2	2	619	0	619	NA
"270"	"234"	118	20	96	231	7	21	3	4	7	5	6	4	4	13	7	17	7	12	1	1	1	1	0	5	591	0	591	NA
"271"	"235"	164	225	42	10	5	12	1	1	3	2	0	0	3	3	5	4	10	26	3	2	3	6	6	7	543	0	543	NA
"272"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"273"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
"274"	"236"	73	107	35	36	1	7	5	1	0	0	0	2	0	0	0	2	6	9	5	2	2	7	0	2	302	0	302	NA
"275"	"237"	230	153	20	31	4	12	9	2	0	2	1	2	1	4	6	8	13	17	3	0	4	6	1	4	533	0	533	NA
"276"	"238"	27	138	61	123	1	12	3	1	2	1	1	6	4	1	6	3	9	15	3	5	6	15	5	5	453	0	453	NA
"277"	"239"	75	91	41	46	52	43	3	4	5	1	3	2	4	5	2	11	5	30	2	3	6	8	0	0	442	0	442	NA
"278"	"240"	148	13	34	107	15	29	3	1	0	1	0	4	1	7	3	13	11	95	8	3	4	17	3	12	532	0	532	NA
"279"	"241"	69	106	42	26	3	59	7	3	0	0	3	11	7	6	12	27	1	2	2	0	0	9	3	0	398	0	398	NA
"280"	"242"	133	47	119	30	6	49	3	2	2	2	1	3	4	5	13	14	3	7	0	1	1	6	2	2	455	0	455	NA
"281"	"242-A"	48	13	37	34	3	3	0	1	0	0	0	4	2	1	1	2	22	106	8	9	3	26	4	8	335	0	335	NA
"282"	"243"	43	12	61	298	4	15	1	0	2	0	0	2	3	1	2	6	2	1	2	7	0	0	0	2	464	0	464	NA
"283"	"244"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
"284"	"245"	28	121	7	7	0	12	31	0	0	1	3	0	0	0	0	2	7	11	1	1	1	13	0	2	248	0	248	NA
"285"	"246"	39	209	35	122	2	10	2	1	1	1	1	2	7	1	8	11	36	19	7	8	19	19	10	29	599	0	599	NA
"286"	"247"	15	128	42	33	3	16	21	0	8	0	2	4	1	1	5	3	2	9	6	0	1	9	3	6	318	0	318	NA
"287"	"248"	36	200	120	8	1	12	4	1	9	0	2	2	1	2	6	4	24	24	10	8	9	33	18	8	542	0	542	NA
"288"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"289"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
"290"	"249"	33	82	75	10	1	8	5	1	1	1	1	4	1	2	6	2	18	12	6	3	5	33	9	9	328	0	328	NA
"291"	"250"	42	145	113	59	1	12	12	1	2	0	4	0	1	0	5	4	28	18	11	9	12	39	17	25	560	0	560	NA
"292"	"251"	6	38	126	122	4	31	0	1	0	0	0	1	0	0	3	3	1	5	1	5	3	3	6	0	359	0	359	NA
"293"	"252"	26	37	197	38	5	31	5	7	5	1	7	7	1	4	3	10	5	2	2	1	2	8	3	5	412	0	412	NA
"294"	"253"	92	148	74	52	5	26	5	4	7	2	2	3	3	3	3	10	18	20	9	8	4	14	5	15	532	0	532	NA
"295"	"254"	142	44	150	39	1	13	3	0	0	0	0	3	0	1	3	2	9	11	9	7	7	15	6	4	469	0	469	NA
"296"	"255"	22	91	216	12	3	18	9	4	10	2	4	8	3	12	8	20	10	5	5	3	0	13	8	6	492	0	492	NA
"297"	"256"	45	120	239	22	12	37	7	11	20	4	5	11	12	7	17	11	5	6	6	6	3	10	7	8	631	0	631	NA
"298"	"257"	116	192	128	61	9	49	4	3	6	5	11	10	6	9	11	14	11	23	4	10	10	20	8	13	733	0	733	NA
"299"	"258"	120	45	297	80	7	50	5	7	16	3	5	7	5	3	11	4	4	5	12	6	5	16	5	3	721	0	721	NA
"300"	"259"	180	222	72	59	9	38	4	4	2	4	1	6	4	1	5	11	9	0	3	4	1	13	1	4	657	0	657	NA
"301"	"19"	102	13	155	6	3	41	2	2	6	1	5	8	12	90	16	29	11	2	12	1	2	13	1	2	535	0	535	NA
"302"	"206"	14	3	180	27	2	24	9	0	4	1	2	3	2	2	1	3	1	3	2	2	1	81	4	4	375	0	375	NA
"303"	"244"	22	72	13	106	3	32	12	0	0	1	0	1	5	2	2	6	0	1	1	0	0	7	0	2	288	0	288	NA
"304"	"Total"	29645	6181	34476	8011	2133	9009	2585	730	1411	548	598	1233	928	2536	1451	2087	2555	5003	1412	748	825	6139	1077	1774	123095	0	123095	0
"305"	"Postal Ballot"	162	17	176	34	0	11	10	0	1	1	0	0	1	7	0	0	3	13	0	1	0	14	2	4	457	9	466	NA
"306"	"G. Total"	29807	6198	34652	8045	2133	9020	2595	730	1412	549	598	1233	929	2543	1451	2087	2558	5016	1412	749	825	6153	1079	1778	123552	9	123561	0
"307"	"Date                                                                                                                                                                                                                                                                                                                                                                                                                              Returning Officer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"308"	"Place                                                                                                                                                                                                                                                                                                                                                                                                         157- Sultanganj  Assembley Constituency"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
