"Serial.No..of.Polling.Station"	"X."	"No..of.Valid.votes.cast.in.favour.of"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"Total.No..of.Valid.Votes"	"Total.No..of.Rejected.Votes"	"Total"	"No..of.Tendered.votes"
"139"	"128"	"128"	"26"	"291"	"261"	"11"	"3"	"20"	"4"	"3"	"3"	"1"	"0"	"2"	"8"	"33"	"16"	"9"	"691"	"0"	"691"	"0"
"140"	"129"	"129"	"17"	"182"	"267"	"6"	"5"	"0"	"2"	"20"	"1"	"2"	"2"	"10"	"2"	"3"	"5"	"5"	"529"	"0"	"529"	"0"
"141"	"130"	"130"	"2"	"173"	"30"	"2"	"0"	"0"	"1"	"25"	"1"	"2"	"3"	"5"	"1"	"1"	"1"	"4"	"251"	"0"	"251"	"0"
"142"	"Serial No. of Polling Station"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"Total No. of Rejected Votes"	"Total"	"No. of Tendered votes"
"143"	"Sl. No."	"Booth No."	"Anunay Kumar Singh"	"Ashok Kumar Singh"	"Mithilesh Prasad Yadav"	"Rambabu Chaudhary"	"Shankar Mahto"	"Dharmnath Sah"	"Balak Nath Sahni"	"Yogendra Ram"	"Rajesh Rai"	"Shankar Rai"	"Umashankar Singh"	"Kiran Devi"	"Mohammad Sharif"	"Rakesh Thakur"	"Rameshwar Sah"	"Sikandar Ram"	""	""	""	""
"144"	"131"	"131"	"53"	"308"	"18"	"1"	"74"	"2"	"2"	"1"	"3"	"1"	"1"	"17"	"6"	"6"	"23"	"4"	"520"	"0"	"520"	"0"
"145"	"132"	"132"	"19"	"359"	"40"	"2"	"6"	"1"	"2"	"3"	"2"	"2"	"3"	"2"	"4"	"2"	"18"	"6"	"471"	"0"	"471"	"0"
"146"	"133"	"133"	"43"	"262"	"92"	"2"	"24"	"1"	"5"	"3"	"3"	"2"	"4"	"2"	"6"	"9"	"20"	"9"	"487"	"0"	"487"	"0"
"147"	"134"	"134"	"35"	"194"	"163"	"14"	"1"	"19"	"2"	"1"	"0"	"2"	"2"	"4"	"6"	"7"	"14"	"12"	"476"	"0"	"476"	"0"
"148"	"135"	"135"	"19"	"271"	"90"	"2"	"9"	"3"	"6"	"1"	"3"	"4"	"4"	"15"	"6"	"5"	"15"	"10"	"463"	"0"	"463"	"0"
"149"	"136"	"136"	"50"	"175"	"108"	"4"	"37"	"1"	"4"	"3"	"1"	"2"	"5"	"38"	"2"	"7"	"12"	"12"	"461"	"0"	"461"	"0"
"150"	"137"	"137"	"219"	"162"	"49"	"9"	"28"	"1"	"3"	"4"	"1"	"1"	"2"	"0"	"8"	"11"	"14"	"12"	"524"	"0"	"524"	"0"
"151"	"138"	"138"	"100"	"138"	"69"	"10"	"1"	"2"	"2"	"0"	"1"	"1"	"0"	"4"	"4"	"5"	"9"	"8"	"354"	"0"	"354"	"0"
"152"	"139"	"139"	"304"	"159"	"40"	"24"	"4"	"19"	"3"	"4"	"3"	"0"	"3"	"2"	"2"	"4"	"12"	"21"	"604"	"0"	"604"	"0"
"153"	"140"	"140"	"58"	"298"	"76"	"35"	"20"	"2"	"4"	"12"	"4"	"4"	"1"	"9"	"4"	"5"	"17"	"18"	"567"	"0"	"567"	"0"
"154"	"141"	"141"	"42"	"224"	"315"	"31"	"8"	"4"	"9"	"11"	"7"	"3"	"8"	"19"	"11"	"22"	"34"	"24"	"772"	"0"	"772"	"0"
"155"	"142"	"142"	"20"	"63"	"261"	"56"	"42"	"3"	"13"	"3"	"2"	"4"	"6"	"4"	"8"	"15"	"22"	"6"	"528"	"0"	"528"	"0"
"156"	"143"	"143"	"60"	"287"	"71"	"50"	"5"	"0"	"3"	"1"	"1"	"0"	"3"	"4"	"9"	"2"	"22"	"20"	"538"	"0"	"538"	"0"
"157"	"144"	"144"	"33"	"260"	"179"	"29"	"31"	"5"	"6"	"4"	"0"	"3"	"2"	"4"	"9"	"22"	"26"	"19"	"632"	"0"	"632"	"0"
"158"	"145"	"145"	"166"	"90"	"86"	"32"	"19"	"2"	"1"	"2"	"0"	"0"	"2"	"2"	"6"	"5"	"8"	"11"	"432"	"0"	"432"	"0"
"159"	"146"	"146"	"116"	"142"	"177"	"14"	"10"	"1"	"4"	"6"	"1"	"3"	"2"	"13"	"5"	"12"	"10"	"20"	"536"	"0"	"536"	"0"
"160"	"147"	"147"	"182"	"210"	"44"	"9"	"4"	"1"	"0"	"0"	"4"	"1"	"2"	"3"	"4"	"6"	"16"	"23"	"509"	"0"	"509"	"0"
"161"	"148"	"148"	"169"	"191"	"12"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"4"	"0"	"379"	"0"	"379"	"0"
"162"	"149"	"149"	"39"	"241"	"39"	"31"	"28"	"1"	"1"	"0"	"2"	"0"	"0"	"7"	"4"	"0"	"14"	"8"	"415"	"0"	"415"	"0"
"163"	"150"	"150"	"12"	"266"	"72"	"40"	"34"	"6"	"1"	"2"	"1"	"1"	"6"	"27"	"2"	"3"	"33"	"3"	"509"	"0"	"509"	"0"
"164"	"151"	"151"	"165"	"82"	"70"	"7"	"15"	"0"	"3"	"1"	"0"	"1"	"2"	"2"	"1"	"1"	"3"	"9"	"362"	"0"	"362"	"0"
"165"	"152"	"152"	"13"	"92"	"393"	"12"	"22"	"2"	"2"	"21"	"2"	"5"	"2"	"12"	"6"	"21"	"30"	"3"	"638"	"0"	"638"	"0"
"166"	"Serial No. of Polling Station"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"Total No. of Rejected Votes"	"Total"	"No. of Tendered votes"
"167"	"Sl. No."	"Booth No."	"Anunay Kumar Singh"	"Ashok Kumar Singh"	"Mithilesh Prasad Yadav"	"Rambabu Chaudhary"	"Shankar Mahto"	"Dharmnath Sah"	"Balak Nath Sahni"	"Yogendra Ram"	"Rajesh Rai"	"Shankar Rai"	"Umashankar Singh"	"Kiran Devi"	"Mohammad Sharif"	"Rakesh Thakur"	"Rameshwar Sah"	"Sikandar Ram"	""	""	""	""
"168"	"153"	"153"	"36"	"317"	"133"	"15"	"2"	"2"	"0"	"9"	"2"	"0"	"2"	"2"	"3"	"18"	"36"	"8"	"585"	"0"	"585"	"0"
"169"	"154"	"154"	"69"	"290"	"15"	"19"	"9"	"0"	"2"	"1"	"1"	"0"	"2"	"0"	"5"	"4"	"18"	"7"	"442"	"0"	"442"	"0"
"170"	"155"	"155"	"15"	"122"	"21"	"44"	"21"	"1"	"0"	"4"	"0"	"0"	"1"	"3"	"4"	"3"	"14"	"11"	"264"	"0"	"264"	"0"
"171"	"156"	"156"	"25"	"321"	"88"	"8"	"33"	"2"	"1"	"3"	"2"	"4"	"0"	"2"	"2"	"7"	"22"	"9"	"529"	"0"	"529"	"0"
"172"	"157"	"157"	"41"	"49"	"113"	"48"	"2"	"3"	"1"	"7"	"1"	"0"	"4"	"3"	"8"	"2"	"6"	"5"	"293"	"0"	"293"	"0"
"173"	"158"	"158"	"13"	"391"	"12"	"1"	"0"	"0"	"2"	"1"	"0"	"0"	"1"	"0"	"0"	"2"	"6"	"3"	"432"	"0"	"432"	"0"
"174"	"159"	"159"	"35"	"207"	"35"	"40"	"1"	"2"	"11"	"0"	"2"	"1"	"3"	"0"	"3"	"3"	"12"	"11"	"366"	"0"	"366"	"0"
"175"	"160"	"160"	"22"	"192"	"77"	"12"	"10"	"1"	"1"	"2"	"0"	"1"	"0"	"1"	"1"	"7"	"11"	"6"	"344"	"0"	"344"	"0"
"176"	"161"	"161"	"23"	"351"	"113"	"21"	"23"	"0"	"27"	"2"	"1"	"5"	"0"	"1"	"5"	"4"	"9"	"7"	"592"	"0"	"592"	"0"
"177"	"162"	"162"	"6"	"51"	"108"	"5"	"2"	"1"	"63"	"3"	"0"	"0"	"1"	"0"	"2"	"5"	"4"	"5"	"256"	"0"	"256"	"0"
"178"	"163"	"163"	"84"	"380"	"34"	"8"	"68"	"3"	"1"	"1"	"1"	"2"	"1"	"5"	"5"	"14"	"17"	"28"	"652"	"0"	"652"	"0"
"179"	"164"	"164"	"46"	"255"	"140"	"16"	"4"	"4"	"0"	"0"	"2"	"4"	"3"	"1"	"7"	"14"	"25"	"19"	"540"	"0"	"540"	"0"
"180"	"165"	"165"	"32"	"427"	"120"	"13"	"49"	"14"	"4"	"4"	"6"	"1"	"4"	"6"	"6"	"7"	"19"	"14"	"726"	"0"	"726"	"0"
"181"	"166"	"166"	"12"	"119"	"83"	"6"	"18"	"3"	"124"	"4"	"0"	"1"	"0"	"10"	"5"	"4"	"4"	"3"	"396"	"0"	"396"	"0"
"182"	"167"	"167"	"62"	"238"	"75"	"4"	"5"	"2"	"101"	"5"	"4"	"6"	"2"	"14"	"3"	"11"	"20"	"8"	"560"	"0"	"560"	"0"
"183"	"168"	"168"	"40"	"136"	"45"	"6"	"77"	"2"	"1"	"2"	"2"	"2"	"2"	"6"	"8"	"9"	"14"	"8"	"360"	"0"	"360"	"0"
"184"	"169"	"169"	"94"	"245"	"99"	"6"	"11"	"1"	"2"	"3"	"3"	"4"	"3"	"13"	"5"	"4"	"10"	"20"	"523"	"0"	"523"	"0"
"185"	"170"	"170"	"47"	"403"	"215"	"11"	"6"	"2"	"5"	"2"	"3"	"2"	"4"	"20"	"0"	"5"	"5"	"2"	"732"	"0"	"732"	"0"
"186"	"171"	"171"	"149"	"85"	"39"	"4"	"44"	"2"	"1"	"0"	"0"	"0"	"4"	"26"	"1"	"5"	"5"	"5"	"370"	"0"	"370"	"0"
"187"	"172"	"172"	"7"	"38"	"67"	"6"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"1"	"13"	"5"	"2"	"142"	"0"	"142"	"0"
"188"	"173"	"173"	"162"	"241"	"55"	"6"	"3"	"0"	"2"	"0"	"0"	"2"	"0"	"2"	"2"	"2"	"12"	"4"	"493"	"0"	"493"	"0"
"189"	"174"	"174"	"16"	"384"	"210"	"2"	"20"	"0"	"2"	"2"	"0"	"0"	"3"	"6"	"6"	"18"	"25"	"16"	"710"	"0"	"710"	"0"
"190"	"Serial No. of Polling Station"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"Total No. of Rejected Votes"	"Total"	"No. of Tendered votes"
"191"	"Sl. No."	"Booth No."	"Anunay Kumar Singh"	"Ashok Kumar Singh"	"Mithilesh Prasad Yadav"	"Rambabu Chaudhary"	"Shankar Mahto"	"Dharmnath Sah"	"Balak Nath Sahni"	"Yogendra Ram"	"Rajesh Rai"	"Shankar Rai"	"Umashankar Singh"	"Kiran Devi"	"Mohammad Sharif"	"Rakesh Thakur"	"Rameshwar Sah"	"Sikandar Ram"	""	""	""	""
"192"	"175"	"175"	"145"	"108"	"62"	"3"	"104"	"5"	"0"	"2"	"1"	"2"	"2"	"8"	"2"	"6"	"19"	"8"	"477"	"0"	"477"	"0"
"193"	"176"	"176"	"115"	"165"	"113"	"8"	"13"	"3"	"8"	"4"	"0"	"1"	"0"	"4"	"4"	"1"	"12"	"5"	"456"	"0"	"456"	"0"
"194"	"177"	"177"	"156"	"215"	"51"	"0"	"22"	"1"	"0"	"0"	"1"	"3"	"2"	"5"	"6"	"9"	"26"	"19"	"516"	"0"	"516"	"0"
"195"	"178"	"178"	"8"	"124"	"80"	"0"	"0"	"0"	"3"	"0"	"1"	"1"	"0"	"1"	"3"	"4"	"12"	"5"	"242"	"0"	"242"	"0"
"196"	"179"	"179"	"80"	"114"	"84"	"3"	"9"	"3"	"0"	"1"	"0"	"1"	"0"	"0"	"4"	"4"	"7"	"7"	"317"	"0"	"317"	"0"
"197"	"180"	"180"	"221"	"101"	"74"	"6"	"17"	"0"	"3"	"2"	"1"	"1"	"0"	"2"	"9"	"16"	"16"	"16"	"485"	"0"	"485"	"0"
"198"	"181"	"181"	"42"	"177"	"108"	"11"	"33"	"1"	"3"	"1"	"3"	"1"	"1"	"4"	"1"	"6"	"14"	"11"	"417"	"0"	"417"	"0"
"199"	"182"	"182"	"54"	"192"	"112"	"13"	"37"	"12"	"80"	"14"	"4"	"9"	"6"	"33"	"9"	"18"	"27"	"28"	"648"	"0"	"648"	"0"
"200"	"183"	"183"	"11"	"101"	"110"	"3"	"1"	"1"	"1"	"4"	"2"	"0"	"1"	"2"	"3"	"5"	"10"	"12"	"267"	"0"	"267"	"0"
"201"	"184"	"184"	"28"	"226"	"192"	"11"	"11"	"1"	"5"	"1"	"1"	"2"	"4"	"5"	"7"	"5"	"12"	"6"	"517"	"0"	"517"	"0"
"202"	"185"	"185"	"25"	"46"	"83"	"22"	"0"	"2"	"1"	"2"	"2"	"1"	"3"	"10"	"1"	"4"	"3"	"5"	"210"	"0"	"210"	"0"
"203"	"186"	"186"	"15"	"107"	"194"	"1"	"3"	"2"	"1"	"3"	"1"	"1"	"2"	"19"	"6"	"24"	"9"	"9"	"397"	"0"	"397"	"0"
"204"	"187"	"187"	"78"	"168"	"197"	"10"	"15"	"10"	"4"	"2"	"2"	"3"	"4"	"6"	"14"	"37"	"39"	"22"	"611"	"0"	"611"	"0"
"205"	"188"	"188"	"50"	"212"	"135"	"2"	"0"	"2"	"7"	"2"	"0"	"0"	"5"	"2"	"6"	"11"	"27"	"19"	"480"	"0"	"480"	"0"
"206"	"189"	"189"	"73"	"62"	"108"	"3"	"8"	"5"	"1"	"1"	"1"	"11"	"5"	"3"	"7"	"4"	"15"	"16"	"323"	"0"	"323"	"0"
"207"	"190"	"190"	"26"	"267"	"393"	"4"	"2"	"1"	"4"	"8"	"2"	"7"	"6"	"34"	"9"	"37"	"38"	"14"	"852"	"0"	"852"	"0"
"208"	"191"	"191"	"72"	"290"	"208"	"3"	"11"	"3"	"7"	"5"	"3"	"5"	"1"	"7"	"2"	"10"	"12"	"8"	"647"	"0"	"647"	"0"
"209"	"192"	"192"	"54"	"329"	"194"	"15"	"6"	"2"	"2"	"2"	"5"	"4"	"1"	"14"	"10"	"18"	"28"	"14"	"698"	"0"	"698"	"0"
"210"	"193"	"193"	"53"	"302"	"86"	"16"	"7"	"0"	"5"	"5"	"1"	"0"	"0"	"5"	"7"	"6"	"15"	"13"	"521"	"0"	"521"	"0"
"211"	"194"	"194"	"150"	"63"	"116"	"16"	"3"	"1"	"1"	"2"	"1"	"2"	"0"	"0"	"1"	"9"	"4"	"9"	"378"	"0"	"378"	"0"
"212"	"195"	"195"	"3"	"2"	"118"	"3"	"1"	"0"	"0"	"19"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"150"	"0"	"150"	"0"
"213"	"196"	"196"	"28"	"379"	"70"	"38"	"32"	"6"	"9"	"2"	"6"	"5"	"7"	"16"	"18"	"13"	"39"	"22"	"690"	"0"	"690"	"0"
"214"	"Serial No. of Polling Station"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"Total No. of Rejected Votes"	"Total"	"No. of Tendered votes"
"215"	"Sl. No."	"Booth No."	"Anunay Kumar Singh"	"Ashok Kumar Singh"	"Mithilesh Prasad Yadav"	"Rambabu Chaudhary"	"Shankar Mahto"	"Dharmnath Sah"	"Balak Nath Sahni"	"Yogendra Ram"	"Rajesh Rai"	"Shankar Rai"	"Umashankar Singh"	"Kiran Devi"	"Mohammad Sharif"	"Rakesh Thakur"	"Rameshwar Sah"	"Sikandar Ram"	""	""	""	""
"216"	"197"	"197"	"51"	"169"	"71"	"1"	"5"	"5"	"1"	"19"	"2"	"5"	"0"	"1"	"4"	"13"	"22"	"18"	"387"	"0"	"387"	"0"
"217"	"198"	"198"	"7"	"67"	"287"	"2"	"0"	"6"	"7"	"0"	"0"	"0"	"0"	"1"	"1"	"6"	"9"	"3"	"396"	"0"	"396"	"0"
"218"	"199"	"199"	"15"	"479"	"99"	"4"	"4"	"2"	"7"	"3"	"0"	"2"	"0"	"4"	"1"	"1"	"3"	"5"	"629"	"0"	"629"	"0"
"219"	"200"	"200"	"37"	"357"	"207"	"5"	"29"	"1"	"2"	"4"	"2"	"5"	"2"	"10"	"9"	"30"	"42"	"24"	"766"	"0"	"766"	"0"
"220"	"201"	"201"	"3"	"80"	"193"	"8"	"4"	"1"	"2"	"0"	"1"	"0"	"1"	"4"	"2"	"4"	"5"	"8"	"316"	"0"	"316"	"0"
"221"	"202"	"202"	"67"	"523"	"57"	"1"	"7"	"1"	"3"	"1"	"0"	"1"	"2"	"2"	"3"	"5"	"25"	"8"	"706"	"0"	"706"	"0"
"222"	"203"	"203"	"11"	"191"	"118"	"3"	"2"	"1"	"0"	"2"	"1"	"1"	"1"	"1"	"5"	"18"	"29"	"10"	"394"	"0"	"394"	"0"
"223"	"204"	"204"	"61"	"281"	"167"	"26"	"8"	"38"	"8"	"3"	"0"	"5"	"0"	"0"	"3"	"7"	"5"	"5"	"617"	"0"	"617"	"0"
"224"	"205"	"205"	"21"	"252"	"244"	"7"	"10"	"7"	"10"	"16"	"2"	"2"	"2"	"3"	"3"	"8"	"26"	"4"	"617"	"0"	"617"	"0"
"225"	"206"	"206"	"12"	"199"	"137"	"7"	"25"	"3"	"2"	"1"	"0"	"3"	"2"	"3"	"6"	"10"	"19"	"8"	"437"	"0"	"437"	"0"
"226"	"207"	"206 A"	"15"	"209"	"116"	"4"	"4"	"3"	"3"	"3"	"4"	"3"	"0"	"6"	"2"	"15"	"28"	"14"	"429"	"0"	"429"	"0"
"227"	"208"	"207"	"13"	"161"	"387"	"14"	"14"	"31"	"4"	"32"	"3"	"4"	"2"	"6"	"12"	"28"	"20"	"5"	"736"	"0"	"736"	"0"
"228"	"209"	"208"	"10"	"269"	"8"	"1"	"2"	"0"	"3"	"1"	"0"	"0"	"0"	"1"	"1"	"2"	"14"	"8"	"320"	"0"	"320"	"0"
"229"	"210"	"209"	"11"	"117"	"242"	"6"	"4"	"1"	"5"	"4"	"0"	"3"	"0"	"3"	"3"	"4"	"1"	"3"	"407"	"0"	"407"	"0"
"230"	"211"	"210"	"19"	"183"	"299"	"7"	"0"	"1"	"3"	"7"	"3"	"1"	"1"	"1"	"4"	"10"	"11"	"1"	"551"	"0"	"551"	"0"
"231"	"212"	"211"	"20"	"408"	"166"	"2"	"4"	"3"	"9"	"1"	"1"	"2"	"4"	"7"	"7"	"17"	"47"	"18"	"716"	"0"	"716"	"0"
"232"	"213"	"212"	"15"	"245"	"46"	"5"	"3"	"1"	"2"	"27"	"2"	"1"	"1"	"0"	"6"	"5"	"15"	"3"	"377"	"0"	"377"	"0"
"233"	"214"	"213"	"10"	"118"	"178"	"4"	"3"	"6"	"3"	"7"	"1"	"0"	"0"	"0"	"3"	"4"	"1"	"5"	"343"	"0"	"343"	"0"
"234"	"215"	"214"	"17"	"400"	"206"	"7"	"1"	"4"	"4"	"3"	"3"	"0"	"3"	"2"	"2"	"4"	"14"	"9"	"679"	"0"	"679"	"0"
"235"	"216"	"215"	"21"	"206"	"163"	"2"	"3"	"0"	"2"	"9"	"1"	"2"	"5"	"6"	"5"	"20"	"20"	"10"	"475"	"0"	"475"	"0"
"236"	"217"	"216"	"22"	"529"	"25"	"2"	"1"	"1"	"1"	"1"	"4"	"2"	"4"	"1"	"2"	"7"	"38"	"10"	"650"	"0"	"650"	"0"
"237"	"218"	"217"	"37"	"196"	"8"	"0"	"1"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"3"	"2"	"12"	"1"	"265"	"0"	"265"	"0"
"238"	"Serial No. of Polling Station"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"Total No. of Rejected Votes"	"Total"	"No. of Tendered votes"
"239"	"Sl. No."	"Booth No."	"Anunay Kumar Singh"	"Ashok Kumar Singh"	"Mithilesh Prasad Yadav"	"Rambabu Chaudhary"	"Shankar Mahto"	"Dharmnath Sah"	"Balak Nath Sahni"	"Yogendra Ram"	"Rajesh Rai"	"Shankar Rai"	"Umashankar Singh"	"Kiran Devi"	"Mohammad Sharif"	"Rakesh Thakur"	"Rameshwar Sah"	"Sikandar Ram"	""	""	""	""
"240"	"219"	"218"	"8"	"491"	"55"	"0"	"8"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"2"	"4"	"11"	"3"	"586"	"0"	"586"	"0"
"241"	"220"	"219"	"5"	"384"	"63"	"1"	"1"	"0"	"0"	"3"	"2"	"1"	"0"	"3"	"2"	"4"	"17"	"6"	"492"	"0"	"492"	"0"
"242"	"221"	"220"	"15"	"264"	"96"	"2"	"2"	"7"	"5"	"5"	"0"	"2"	"2"	"13"	"1"	"3"	"9"	"5"	"431"	"0"	"431"	"0"
"243"	"222"	"221"	"6"	"451"	"114"	"2"	"1"	"1"	"0"	"3"	"1"	"0"	"0"	"9"	"3"	"12"	"27"	"17"	"647"	"0"	"647"	"0"
"244"	"223"	"222"	"4"	"262"	"29"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"1"	"4"	"0"	"305"	"0"	"305"	"0"
"245"	"224"	"223"	"12"	"381"	"39"	"1"	"0"	"0"	"1"	"2"	"0"	"2"	"0"	"2"	"2"	"1"	"13"	"4"	"460"	"0"	"460"	"0"
"246"	"225"	"224"	"46"	"420"	"74"	"2"	"3"	"6"	"0"	"0"	"1"	"2"	"2"	"5"	"1"	"3"	"11"	"9"	"585"	"0"	"585"	"0"
"247"	"226"	"225"	"54"	"272"	"22"	"2"	"1"	"0"	"0"	"5"	"1"	"0"	"2"	"2"	"5"	"4"	"16"	"8"	"394"	"0"	"394"	"0"
"248"	"227"	"226"	"73"	"328"	"121"	"4"	"2"	"9"	"5"	"4"	"1"	"3"	"3"	"29"	"5"	"12"	"14"	"9"	"622"	"0"	"622"	"0"
"249"	"228"	"227"	"9"	"252"	"67"	"3"	"8"	"3"	"5"	"6"	"2"	"4"	"16"	"236"	"7"	"9"	"22"	"14"	"663"	"0"	"663"	"0"
"250"	"229"	"228"	"16"	"153"	"69"	"5"	"2"	"0"	"4"	"0"	"1"	"3"	"4"	"57"	"0"	"5"	"6"	"5"	"330"	"0"	"330"	"0"
"251"	"230"	"229"	"198"	"396"	"54"	"4"	"1"	"8"	"3"	"0"	"2"	"3"	"8"	"8"	"9"	"19"	"64"	"29"	"806"	"0"	"806"	"0"
"252"	"231"	"230"	"10"	"110"	"115"	"5"	"10"	"1"	"3"	"0"	"1"	"2"	"0"	"3"	"2"	"14"	"15"	"6"	"297"	"0"	"297"	"0"
"253"	"232"	"231"	"44"	"166"	"10"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"8"	"6"	"236"	"0"	"236"	"0"
"254"	"233"	"232"	"65"	"391"	"53"	"1"	"7"	"4"	"1"	"4"	"0"	"2"	"1"	"1"	"1"	"5"	"21"	"4"	"561"	"0"	"561"	"0"
"255"	"234"	"233"	"60"	"514"	"133"	"3"	"3"	"4"	"4"	"0"	"1"	"2"	"3"	"1"	"7"	"5"	"51"	"10"	"801"	"0"	"801"	"0"
"256"	"235"	"234"	"58"	"422"	"116"	"7"	"66"	"3"	"2"	"1"	"1"	"1"	"2"	"4"	"2"	"4"	"19"	"5"	"713"	"0"	"713"	"0"
"257"	"236"	"235"	"34"	"309"	"143"	"1"	"1"	"0"	"3"	"1"	"1"	"1"	"0"	"1"	"1"	"7"	"19"	"10"	"532"	"0"	"532"	"0"
"258"	"237"	"236"	"14"	"358"	"80"	"2"	"16"	"0"	"6"	"2"	"2"	"0"	"1"	"3"	"4"	"1"	"22"	"11"	"522"	"0"	"522"	"0"
"259"	"238"	"237"	"33"	"168"	"21"	"0"	"4"	"4"	"1"	"0"	"2"	"2"	"2"	"2"	"1"	"1"	"9"	"3"	"253"	"0"	"253"	"0"
"260"	"239"	"238"	"121"	"139"	"77"	"2"	"1"	"0"	"1"	"0"	"2"	"1"	"2"	"2"	"5"	"12"	"15"	"11"	"391"	"0"	"391"	"0"
"261"	"240"	"239"	"14"	"309"	"172"	"6"	"2"	"0"	"7"	"1"	"3"	"4"	"3"	"6"	"5"	"18"	"30"	"12"	"592"	"0"	"592"	"0"
"262"	"Serial No. of Polling Station"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"Total No. of Rejected Votes"	"Total"	"No. of Tendered votes"
"263"	"Sl. No."	"Booth No."	"Anunay Kumar Singh"	"Ashok Kumar Singh"	"Mithilesh Prasad Yadav"	"Rambabu Chaudhary"	"Shankar Mahto"	"Dharmnath Sah"	"Balak Nath Sahni"	"Yogendra Ram"	"Rajesh Rai"	"Shankar Rai"	"Umashankar Singh"	"Kiran Devi"	"Mohammad Sharif"	"Rakesh Thakur"	"Rameshwar Sah"	"Sikandar Ram"	""	""	""	""
"264"	"241"	"240"	"11"	"346"	"62"	"4"	"9"	"3"	"5"	"2"	"1"	"5"	"1"	"3"	"5"	"5"	"24"	"2"	"488"	"0"	"488"	"0"
"265"	"242"	"241"	"40"	"410"	"165"	"1"	"1"	"0"	"2"	"0"	"0"	"1"	"1"	"2"	"1"	"5"	"9"	"5"	"643"	"0"	"643"	"0"
"266"	"243"	"242"	"22"	"246"	"83"	"0"	"2"	"2"	"2"	"0"	"1"	"1"	"0"	"1"	"2"	"3"	"17"	"13"	"395"	"0"	"395"	"0"
"267"	"244"	"243"	"30"	"253"	"108"	"2"	"3"	"4"	"5"	"0"	"1"	"4"	"0"	"7"	"6"	"14"	"38"	"21"	"496"	"0"	"496"	"0"
"268"	"245"	"244"	"125"	"276"	"192"	"5"	"2"	"4"	"7"	"4"	"3"	"2"	"4"	"7"	"4"	"10"	"29"	"21"	"695"	"0"	"695"	"0"
"269"	"246"	"245"	"85"	"208"	"238"	"8"	"0"	"3"	"4"	"4"	"1"	"3"	"0"	"1"	"4"	"17"	"25"	"10"	"611"	"0"	"611"	"0"
"270"	"247"	"246"	"93"	"464"	"127"	"4"	"6"	"0"	"7"	"22"	"2"	"5"	"2"	"2"	"4"	"12"	"30"	"11"	"791"	"0"	"791"	"0"
"271"	"248"	"247"	"94"	"248"	"192"	"11"	"1"	"14"	"23"	"1"	"0"	"4"	"5"	"2"	"8"	"22"	"27"	"16"	"668"	"0"	"668"	"0"
"272"	"249"	"248"	"53"	"458"	"247"	"24"	"4"	"3"	"21"	"2"	"5"	"2"	"3"	"10"	"4"	"11"	"23"	"8"	"878"	"0"	"878"	"0"
"273"	"250"	"249"	"79"	"221"	"88"	"7"	"2"	"6"	"4"	"1"	"2"	"1"	"1"	"2"	"5"	"9"	"24"	"14"	"466"	"0"	"466"	"0"
"274"	"251"	"250"	"138"	"84"	"49"	"1"	"2"	"2"	"1"	"0"	"1"	"0"	"4"	"3"	"6"	"21"	"14"	"12"	"338"	"0"	"338"	"0"
"275"	"Total"	""	"11319"	"53536"	"34563"	"2200"	"4058"	"824"	"2846"	"1167"	"478"	"565"	"552"	"1715"	"1165"	"2475"	"4077"	"2496"	"124036"	"0"	"124036"	"0"
"276"	"Votes from Postal Ballot"	""	"18"	"73"	"19"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"113"	"30"	"143"	"0"
"277"	"Total Votes"	""	"11337"	"53609"	"34582"	"2200"	"4058"	"826"	"2846"	"1167"	"478"	"565"	"552"	"1716"	"1165"	"2475"	"4077"	"2496"	"124149"	"30"	"124179"	"0"
