"103"	"53"	"3"	"6"	"175"	"7"	"102"	"1"	"2"	""	"3"	""	""	"0"	""	"3"	""	"0"	""	"5"	""	""	"3"	""	"2"	"6"	"7"	"2"	"0"	"327"	""	"327"	""
"104"	"54"	"8"	"1"	"68"	"10"	"393"	"4"	"11"	""	"14"	""	""	"0"	""	"18"	""	"1"	""	"25"	""	""	"6"	""	"3"	"18"	"9"	"7"	"4"	"600"	""	"600"	""
"105"	"; ksx"	"31"	"53"	"914"	"55"	"1708"	"25"	"23"	""	"55"	""	""	"7"	""	"45"	""	"10"	""	"103"	""	""	"33"	""	"34"	"143"	"67"	"23"	"15"	"3344"	""	"3344"	""
"106"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"312"	"1168"	"7156"	"631"	"11977"	"220"	"150"	""	"447"	""	""	"149"	""	"339"	""	"195"	""	"923"	""	""	"261"	""	"370"	"930"	"546"	"395"	"255"	"26424"	""	"26424"	""
"107"	"d qy  ; ksx"	"343"	"1221"	"8070"	"686"	"13685"	"245"	"173"	""	"502"	""	""	"156"	""	"384"	""	"205"	""	"1026"	""	""	"294"	""	"404"	"1073"	"613"	"418"	"270"	"29768"	""	"29768"	""
"108"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU
;  er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonŸk
er ksa dh l a[ ; k"
"109"	""	"mes' k dqekj
fl ag"	", l 0 , e0 Qt y s gd"	"egen eksfcu"	"eks[ r k i z0 dq' kokgk"	"' ; ke cgknqj
fl ag"	"dSyk' k ekW>h"	"xkSr e xksLokeh"	""	"ft r sUnz dqekj
i k.Ms;"	""	""	"uj fl ag pkSgku"	""	"ekyr h nsoh"	""	"gfl cqj j geku"	""	"t dfj ; k
[ kku"	""	""	"/kesZUnz fl ag"	""	"j keuj s' k fl ag"	"' kad j  t h fr okj h"	"' kEHkw i zl kn"	"l uk≈Yykg"	"gl er  vyh"	""	""	""	""
"110"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"111"	"55"	"4"	"3"	"191"	"10"	"452"	"4"	"1"	""	"8"	""	""	"4"	""	"4"	""	"2"	""	"2"	""	""	"1"	""	"5"	"9"	"4"	"7"	"1"	"712"	""	"712"	""
"112"	"56"	"5"	"4"	"101"	"6"	"271"	"3"	"3"	""	"6"	""	""	"1"	""	"3"	""	"1"	""	"5"	""	""	"1"	""	"0"	"5"	"4"	"14"	"0"	"433"	""	"433"	""
"113"	"57"	"4"	"3"	"83"	"9"	"496"	"11"	"4"	""	"10"	""	""	"8"	""	"4"	""	"6"	""	"14"	""	""	"6"	""	"9"	"11"	"16"	"1"	"2"	"697"	""	"697"	""
"114"	"58"	"9"	"9"	"155"	"6"	"209"	"5"	"2"	""	"12"	""	""	"10"	""	"11"	""	"9"	""	"16"	""	""	"14"	""	"27"	"16"	"24"	"9"	"29"	"572"	""	"572"	""
"115"	"59"	"3"	"3"	"68"	"4"	"179"	"5"	"3"	""	"9"	""	""	"0"	""	"3"	""	"3"	""	"7"	""	""	"3"	""	"9"	"18"	"22"	"5"	"4"	"348"	""	"348"	""
"116"	"60"	"13"	"6"	"194"	"11"	"302"	"7"	"9"	""	"10"	""	""	"3"	""	"5"	""	"6"	""	"18"	""	""	"10"	""	"27"	"33"	"14"	"6"	"11"	"685"	""	"685"	""
"117"	"61"	"5"	"2"	"28"	"5"	"576"	"5"	"1"	""	"20"	""	""	"4"	""	"7"	""	"5"	""	"8"	""	""	"19"	""	"4"	"13"	"8"	"4"	"6"	"720"	""	"720"	""
"118"	"; ksx"	"43"	"30"	"820"	"51"	"2485"	"40"	"23"	""	"75"	""	""	"30"	""	"37"	""	"32"	""	"70"	""	""	"54"	""	"81"	"105"	"92"	"46"	"53"	"4167"	""	"4167"	""
"119"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"343"	"1221"	"8070"	"686"	"13685"	"245"	"173"	""	"502"	""	""	"156"	""	"384"	""	"205"	""	"1026"	""	""	"294"	""	"404"	"1073"	"613"	"418"	"270"	"29768"	""	"29768"	""
"120"	"d qy  ; ksx"	"386"	"1251"	"8890"	"737"	"16170"	"285"	"196"	""	"577"	""	""	"186"	""	"421"	""	"237"	""	"1096"	""	""	"348"	""	"485"	"1178"	"705"	"464"	"323"	"33935"	""	"33935"	""
"121"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU
;  er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonŸk
er ksa dh l a[ ; k"
"122"	""	"mes' k dqekj
fl ag"	", l 0 , e0 Qt y s gd"	"egen eksfcu"	"eks[ r k i z0 dq' kokgk"	"' ; ke cgknqj  fl ag"	"dSyk' k ekW>h"	"xkSr e xksLokeh"	""	"ft r sUnz
dqekj i k.Ms;"	""	""	"uj fl ag pkSgku"	""	"ekyr h nsoh"	""	"gfl cqj j geku"	""	"t dfj ; k
[ kku"	""	""	"/kesZUnz fl ag"	""	"j keuj s' k
fl ag"	"' kad j  t h fr okj h"	"' kEHkw i zl kn"	"l uk≈Yykg"	"gl er  vyh"	""	""	""	""
"123"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"124"	"62"	"4"	"16"	"164"	"2"	"94"	"1"	"4"	""	"2"	""	""	"2"	""	"0"	""	"0"	""	"4"	""	""	"0"	""	"2"	"7"	"2"	"10"	"12"	"326"	""	"326"	""
"125"	"63"	"8"	"6"	"128"	"3"	"135"	"5"	"1"	""	"3"	""	""	"2"	""	"5"	""	"4"	""	"4"	""	""	"5"	""	"11"	"47"	"25"	"0"	"6"	"398"	""	"398"	""
"126"	"63d"	"4"	"17"	"137"	"7"	"47"	"3"	"0"	""	"2"	""	""	"2"	""	"3"	""	"2"	""	"37"	""	""	"4"	""	"13"	"90"	"16"	"1"	"6"	"391"	""	"391"	""
"127"	"64"	"8"	"19"	"107"	"13"	"72"	"3"	"5"	""	"7"	""	""	"4"	""	"6"	""	"8"	""	"10"	""	""	"5"	""	"11"	"15"	"24"	"292"	"44"	"653"	""	"653"	""
"128"	"65"	"2"	"1"	"100"	"8"	"86"	"1"	"3"	""	"9"	""	""	"4"	""	"13"	""	"0"	""	"3"	""	""	"3"	""	"7"	"6"	"15"	"3"	"0"	"264"	""	"264"	""
"129"	"66"	"4"	"15"	"207"	"9"	"244"	"6"	"5"	""	"15"	""	""	"1"	""	"12"	""	"5"	""	"14"	""	""	"6"	""	"18"	"13"	"15"	"33"	"7"	"629"	""	"629"	""
"130"	"67"	"4"	"5"	"116"	"3"	"167"	"8"	"4"	""	"6"	""	""	"5"	""	"3"	""	"4"	""	"18"	""	""	"7"	""	"7"	"8"	"26"	"49"	"9"	"449"	""	"449"	""
"131"	"; ksx"	"34"	"79"	"959"	"45"	"845"	"27"	"22"	""	"44"	""	""	"20"	""	"42"	""	"23"	""	"90"	""	""	"30"	""	"69"	"186"	"123"	"388"	"84"	"3110"	""	"3110"	""
"132"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"386"	"1251"	"8890"	"737"	"16170"	"285"	"196"	""	"577"	""	""	"186"	""	"421"	""	"237"	""	"1096"	""	""	"348"	""	"485"	"1178"	"705"	"464"	"323"	"33935"	""	"33935"	""
"133"	"d qy  ; ksx"	"420"	"1330"	"9849"	"782"	"17015"	"312"	"218"	""	"621"	""	""	"206"	""	"463"	""	"260"	""	"1186"	""	""	"378"	""	"554"	"1364"	"828"	"852"	"407"	"37045"	""	"37045"	""
"134"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU
;  er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonŸk
er ksa dh l a[ ; k"
"135"	""	"mes' k dqekj  fl ag"	", l 0 , e0 Qt y s gd"	"egen eksfcu"	"eks[ r k i z0 dq' kokgk"	"' ; ke
cgknqj fl ag"	"dSyk' k ekW>h"	"xkSr e xksLokeh"	""	"ft r sUnz
dqekj i k.Ms;"	""	""	"uj fl ag pkSgku"	""	"ekyr h nsoh"	""	"gfl cqj j geku"	""	"t dfj ; k
[ kku"	""	""	"/kesZUnz fl ag"	""	"j keuj s' k
fl ag"	"' kad j  t h fr okj h"	"' kEHkw i zl kn"	"l uk≈Yyk
g"	"gl er vyh"	""	""	""	""
"136"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"137"	"68"	"3"	"2"	"20"	"3"	"229"	"1"	"2"	""	"15"	""	""	"5"	""	"17"	""	"4"	""	"4"	""	""	"5"	""	"3"	"20"	"8"	"1"	"1"	"343"	""	"343"	""
"138"	"68d"	"2"	"3"	"35"	"8"	"204"	"3"	"4"	""	"15"	""	""	"2"	""	"6"	""	"3"	""	"8"	""	""	"5"	""	"5"	"24"	"14"	"4"	"3"	"348"	""	"348"	""
"139"	"69"	"11"	"2"	"74"	"9"	"328"	"5"	"4"	""	"5"	""	""	"3"	""	"11"	""	"0"	""	"11"	""	""	"5"	""	"4"	"6"	"0"	"7"	"1"	"486"	""	"486"	""
"140"	"70"	"11"	"9"	"169"	"6"	"247"	"5"	"3"	""	"6"	""	""	"2"	""	"6"	""	"2"	""	"6"	""	""	"2"	""	"11"	"10"	"12"	"24"	"7"	"538"	""	"538"	""
"141"	"71"	"3"	"6"	"134"	"16"	"225"	"3"	"6"	""	"15"	""	""	"7"	""	"4"	""	"3"	""	"7"	""	""	"2"	""	"5"	"16"	"10"	"26"	"3"	"491"	""	"491"	""
"142"	"72"	"7"	"9"	"169"	"3"	"214"	"5"	"3"	""	"8"	""	""	"6"	""	"8"	""	"1"	""	"6"	""	""	"4"	""	"6"	"11"	"7"	"5"	"2"	"474"	""	"474"	""
"143"	"73"	"4"	"4"	"36"	"19"	"299"	"2"	"4"	""	"19"	""	""	"0"	""	"9"	""	"2"	""	"11"	""	""	"0"	""	"5"	"24"	"6"	"9"	"1"	"454"	""	"454"	""
"144"	"; ksx"	"41"	"35"	"637"	"64"	"1746"	"24"	"26"	""	"83"	""	""	"25"	""	"61"	""	"15"	""	"53"	""	""	"23"	""	"39"	"111"	"57"	"76"	"18"	"3134"	""	"3134"	""
"145"	"fi Ny s
pdzksa  d s er ksa  dk"	"420"	"1330"	"9849"	"782"	"17015"	"312"	"218"	""	"621"	""	""	"206"	""	"463"	""	"260"	""	"1186"	""	""	"378"	""	"554"	"1364"	"828"	"852"	"407"	"37045"	""	"37045"	""
"146"	"d qy  ; ksx"	"461"	"1365"	"10486"	"846"	"18761"	"336"	"244"	""	"704"	""	""	"231"	""	"524"	""	"275"	""	"1239"	""	""	"401"	""	"593"	"1475"	"885"	"928"	"425"	"40179"	""	"40179"	""
"147"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU
;  er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonŸk
er ksa dh l a[ ; k"
"148"	""	"mes' k dqekj  fl ag"	", l 0 , e0 Qt y s gd"	"egen eksfcu"	"eks[ r k i z0 dq' kokgk"	"' ; ke
cgknqj fl ag"	"dSyk' k ekW>h"	"xkSr e xksLokeh"	""	"ft r sUnz
dqekj i k.Ms;"	""	""	"uj fl ag pkSgku"	""	"ekyr h nsoh"	""	"gfl cqj j geku"	""	"t dfj ; k
[ kku"	""	""	"/kesZUnz fl ag"	""	"j keuj s' k
fl ag"	"' kad j  t h fr okj h"	"' kEHkw i zl kn"	"l uk≈Yyk
g"	"gl er vyh"	""	""	""	""
"149"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"150"	"74"	"5"	"15"	"147"	"12"	"110"	"4"	"7"	""	"6"	""	""	"5"	""	"10"	""	"5"	""	"5"	""	""	"2"	""	"6"	"5"	"12"	"36"	"16"	"408"	""	"408"	""
"151"	"75"	"9"	"4"	"139"	"8"	"277"	"5"	"2"	""	"7"	""	""	"1"	""	"4"	""	"24"	""	"5"	""	""	"2"	""	"5"	"55"	"8"	"49"	"8"	"612"	""	"612"	""
"152"	"76"	"4"	"7"	"67"	"1"	"129"	"3"	"0"	""	"6"	""	""	"2"	""	"6"	""	"3"	""	"0"	""	""	"12"	""	"2"	"11"	"8"	"12"	"4"	"277"	""	"277"	""
"153"	"77"	"7"	"5"	"108"	"50"	"259"	"5"	"1"	""	"3"	""	""	"3"	""	"3"	""	"2"	""	"4"	""	""	"3"	""	"8"	"26"	"9"	"38"	"10"	"544"	""	"544"	""
"154"	"78"	"13"	"6"	"54"	"14"	"307"	"3"	"0"	""	"7"	""	""	"8"	""	"7"	""	"9"	""	"3"	""	""	"0"	""	"0"	"24"	"6"	"4"	"5"	"470"	""	"470"	""
"155"	"79"	"6"	"20"	"127"	"6"	"145"	"2"	"4"	""	"11"	""	""	"1"	""	"5"	""	"4"	""	"13"	""	""	"4"	""	"8"	"19"	"23"	"37"	"6"	"441"	""	"441"	""
"156"	"80"	"19"	"11"	"143"	"14"	"351"	"8"	"5"	""	"10"	""	""	"6"	""	"4"	""	"68"	""	"12"	""	""	"21"	""	"5"	"8"	"13"	"34"	"6"	"738"	""	"738"	""
"157"	"; ksx"	"63"	"68"	"785"	"105"	"1578"	"30"	"19"	""	"50"	""	""	"26"	""	"39"	""	"115"	""	"42"	""	""	"44"	""	"34"	"148"	"79"	"210"	"55"	"3490"	""	"3490"	""
"158"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"461"	"1365"	"10486"	"846"	"18761"	"336"	"244"	""	"704"	""	""	"231"	""	"524"	""	"275"	""	"1239"	""	""	"401"	""	"593"	"1475"	"885"	"928"	"425"	"40179"	""	"40179"	""
"159"	"d qy  ; ksx"	"524"	"1433"	"11271"	"951"	"20339"	"366"	"263"	""	"754"	""	""	"257"	""	"563"	""	"390"	""	"1281"	""	""	"445"	""	"627"	"1623"	"964"	"1138"	"480"	"43669"	""	"43669"	""
"160"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU
;  er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonŸk
er ksa dh l a[ ; k"
"161"	""	"mes' k dqekj
fl ag"	", l 0 , e0 Qt y s gd"	"egen eksfcu"	"eks[ r k i z0 dq' kokgk"	"' ; ke cgknqj
fl ag"	"dSyk' k ekW>h"	"xkSr e xksLokeh"	""	"ft r sUnz
dqekj i k.Ms;"	""	""	"uj fl ag pkSgku"	""	"ekyr h nsoh"	""	"gfl cqj j geku"	""	"t dfj ; k
[ kku"	""	""	"/kesZUnz fl ag"	""	"j keuj s' k
fl ag"	"' kad j  t h fr okj h"	"' kEHkw i zl kn"	"l uk≈Yykg"	"gl er  vyh"	""	""	""	""
"162"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"163"	"81"	"20"	"6"	"231"	"27"	"287"	"9"	"6"	""	"18"	""	""	"5"	""	"18"	""	"7"	""	"16"	""	""	"2"	""	"13"	"13"	"20"	"55"	"40"	"793"	""	"793"	""
"164"	"82"	"4"	"12"	"387"	"11"	"82"	"6"	"1"	""	"8"	""	""	"2"	""	"2"	""	"5"	""	"4"	""	""	"4"	""	"9"	"6"	"1"	"24"	"4"	"572"	""	"572"	""
"165"	"83"	"4"	"15"	"73"	"14"	"115"	"2"	"2"	""	"10"	""	""	"4"	""	"31"	""	"5"	""	"19"	""	""	"5"	""	"21"	"5"	"15"	"133"	"11"	"484"	""	"484"	""
"166"	"84"	"3"	"6"	"84"	"10"	"36"	"2"	"3"	""	"3"	""	""	"1"	""	"2"	""	"1"	""	"3"	""	""	"0"	""	"6"	"4"	"6"	"124"	"9"	"303"	""	"303"	""
"167"	"85"	"7"	"5"	"141"	"4"	"209"	"3"	"1"	""	"2"	""	""	"2"	""	"8"	""	"2"	""	"7"	""	""	"38"	""	"13"	"7"	"18"	"13"	"0"	"480"	""	"480"	""
"168"	"86"	"16"	"21"	"259"	"25"	"277"	"4"	"5"	""	"12"	""	""	"6"	""	"9"	""	"4"	""	"9"	""	""	"2"	""	"5"	"12"	"15"	"19"	"15"	"715"	""	"715"	""
"169"	"87"	"13"	"13"	"114"	"10"	"237"	"4"	"6"	""	"5"	""	""	"3"	""	"2"	""	"0"	""	"8"	""	""	"5"	""	"2"	"3"	"8"	"8"	"4"	"445"	""	"445"	""
"170"	"; ksx"	"67"	"78"	"1289"	"101"	"1243"	"30"	"24"	""	"58"	""	""	"23"	""	"72"	""	"24"	""	"66"	""	""	"56"	""	"69"	"50"	"83"	"376"	"83"	"3792"	""	"3792"	""
"171"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"524"	"1433"	"11271"	"951"	"20339"	"366"	"263"	""	"754"	""	""	"257"	""	"563"	""	"390"	""	"1281"	""	""	"445"	""	"627"	"1623"	"964"	"1138"	"480"	"43669"	""	"43669"	""
"172"	"d qy  ; ksx"	"591"	"1511"	"12560"	"1052"	"21582"	"396"	"287"	""	"812"	""	""	"280"	""	"635"	""	"414"	""	"1347"	""	""	"501"	""	"696"	"1673"	"1047"	"1514"	"563"	"47461"	""	"47461"	""
"173"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU
;  er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonŸk
er ksa dh l a[ ; k"
"174"	""	"mes' k dqekj
fl ag"	", l 0 , e0 Qt y s gd"	"egen eksfcu"	"eks[ r k i z0 dq' kokgk"	"' ; ke cgknqj
fl ag"	"dSyk' k ekW>h"	"xkSr e xksLokeh"	""	"ft r sUnz
dqekj i k.Ms;"	""	""	"uj fl ag pkSgku"	""	"ekyr h nsoh"	""	"gfl cqj j geku"	""	"t dfj ; k
[ kku"	""	""	"/kesZUnz fl ag"	""	"j keuj s' k
fl ag"	"' kad j  t h fr okj h"	"' kEHkw i zl kn"	"l uk≈Yykg"	"gl er  vyh"	""	""	""	""
"175"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"176"	"88"	"3"	"9"	"95"	"2"	"283"	"5"	"3"	""	"11"	""	""	"2"	""	"12"	""	"8"	""	"15"	""	""	"3"	""	"6"	"10"	"17"	"1"	"8"	"493"	""	"493"	""
"177"	"89"	"9"	"3"	"132"	"1"	"135"	"7"	"1"	""	"2"	""	""	"1"	""	"1"	""	"3"	""	"3"	""	""	"4"	""	"4"	"3"	"9"	"5"	"0"	"323"	""	"323"	""
"178"	"90"	"11"	"8"	"98"	"5"	"186"	"1"	"3"	""	"4"	""	""	"1"	""	"5"	""	"4"	""	"5"	""	""	"2"	""	"5"	"9"	"4"	"24"	"1"	"376"	""	"376"	""
"179"	"91"	"4"	"14"	"293"	"17"	"236"	"1"	"3"	""	"14"	""	""	"2"	""	"10"	""	"4"	""	"13"	""	""	"7"	""	"16"	"5"	"12"	"8"	"1"	"660"	""	"660"	""
"180"	"92"	"3"	"9"	"132"	"6"	"59"	"0"	"2"	""	"4"	""	""	"0"	""	"2"	""	"1"	""	"6"	""	""	"9"	""	"3"	"1"	"2"	"0"	"2"	"241"	""	"241"	""
"181"	"93"	"6"	"9"	"23"	"10"	"142"	"1"	"4"	""	"8"	""	""	"3"	""	"10"	""	"5"	""	"7"	""	""	"17"	""	"4"	"3"	"2"	"4"	"7"	"265"	""	"265"	""
"182"	"94"	"0"	"0"	"28"	"0"	"229"	"4"	"0"	""	"2"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"13"	""	"0"	"1"	"1"	"1"	"0"	"279"	""	"279"	""
"183"	"; ksx"	"36"	"52"	"801"	"41"	"1270"	"19"	"16"	""	"45"	""	""	"9"	""	"40"	""	"25"	""	"49"	""	""	"55"	""	"38"	"32"	"47"	"43"	"19"	"2637"	""	"2637"	""
"184"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"591"	"1511"	"12560"	"1052"	"21582"	"396"	"287"	""	"812"	""	""	"280"	""	"635"	""	"414"	""	"1347"	""	""	"501"	""	"696"	"1673"	"1047"	"1514"	"563"	"47461"	""	"47461"	""
"185"	"d qy  ; ksx"	"627"	"1563"	"13361"	"1093"	"22852"	"415"	"303"	""	"857"	""	""	"289"	""	"675"	""	"439"	""	"1396"	""	""	"556"	""	"734"	"1705"	"1094"	"1557"	"582"	"50098"	""	"50098"	""
"186"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU
;  er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonŸk
er ksa dh l a[ ; k"
"187"	""	"mes' k dqekj  fl ag"	", l 0 , e0 Qt y s gd"	"egen eksfcu"	"eks[ r k i z0 dq' kokgk"	"' ; ke cgknqj  fl ag"	"dSyk' k ekW>h"	"xkSr e xksLokeh"	""	"ft r sUnz
dqekj i k.Ms;"	""	""	"uj fl ag pkSgku"	""	"ekyr h nsoh"	""	"gfl cqj j geku"	""	"t dfj ; k
[ kku"	""	""	"/kesZUnz fl ag"	""	"j keuj s' k
fl ag"	"' kad j  t h fr okj h"	"' kEHkw i zl kn"	"l uk≈Yykg"	"gl er vyh"	""	""	""	""
"188"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"189"	"95"	"6"	"7"	"207"	"34"	"376"	"4"	"4"	""	"13"	""	""	"3"	""	"12"	""	"5"	""	"19"	""	""	"8"	""	"17"	"13"	"10"	"12"	"3"	"753"	""	"753"	""
"190"	"96"	"13"	"19"	"128"	"15"	"219"	"10"	"4"	""	"17"	""	""	"2"	""	"10"	""	"3"	""	"7"	""	""	"2"	""	"8"	"9"	"16"	"7"	"7"	"496"	""	"496"	""
"191"	"97"	"7"	"19"	"236"	"6"	"187"	"3"	"1"	""	"9"	""	""	"6"	""	"2"	""	"2"	""	"9"	""	""	"4"	""	"9"	"27"	"13"	"4"	"3"	"547"	""	"547"	""
"192"	"98"	"3"	"10"	"182"	"15"	"258"	"0"	"4"	""	"4"	""	""	"2"	""	"8"	""	"2"	""	"7"	""	""	"5"	""	"5"	"72"	"19"	"12"	"4"	"612"	""	"612"	""
"193"	"99"	"1"	"5"	"62"	"2"	"193"	"1"	"1"	""	"1"	""	""	"1"	""	"1"	""	"0"	""	"3"	""	""	"0"	""	"0"	"7"	"7"	"4"	"0"	"289"	""	"289"	""
"194"	"100"	"4"	"6"	"174"	"8"	"76"	"6"	"0"	""	"3"	""	""	"1"	""	"4"	""	"2"	""	"15"	""	""	"3"	""	"3"	"5"	"8"	"12"	"1"	"331"	""	"331"	""
"195"	"101"	"5"	"0"	"130"	"8"	"235"	"12"	"6"	""	"15"	""	""	"3"	""	"24"	""	"11"	""	"28"	""	""	"10"	""	"17"	"30"	"29"	"6"	"8"	"577"	""	"577"	""
"196"	"; ksx"	"39"	"66"	"1119"	"88"	"1544"	"36"	"20"	""	"62"	""	""	"18"	""	"61"	""	"25"	""	"88"	""	""	"32"	""	"59"	"163"	"102"	"57"	"26"	"3605"	""	"3605"	""
"197"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"627"	"1563"	"13361"	"1093"	"22852"	"415"	"303"	""	"857"	""	""	"289"	""	"675"	""	"439"	""	"1396"	""	""	"556"	""	"734"	"1705"	"1094"	"1557"	"582"	"50098"	""	"50098"	""
"198"	"d qy  ; ksx"	"666"	"1629"	"14480"	"1181"	"24396"	"451"	"323"	""	"919"	""	""	"307"	""	"736"	""	"464"	""	"1484"	""	""	"588"	""	"793"	"1868"	"1196"	"1614"	"608"	"53703"	""	"53703"	""
"199"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU
;  er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonŸk
er ksa dh l a[ ; k"
"200"	""	"mes' k dqekj
fl ag"	", l 0 , e0 Qt y s gd"	"egen eksfcu"	"eks[ r k i z0 dq' kokgk"	"' ; ke cgknqj
fl ag"	"dSyk' k ekW>h"	"xkSr e xksLokeh"	""	"ft r sUnz
dqekj i k.Ms;"	""	""	"uj fl ag pkSgku"	""	"ekyr h nsoh"	""	"gfl cqj j geku"	""	"t dfj ; k
[ kku"	""	""	"/kesZUnz fl ag"	""	"j keuj s' k
fl ag"	"' kad j  t h fr okj h"	"' kEHkw i zl kn"	"l uk≈Yykg"	"gl er  vyh"	""	""	""	""
"201"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"202"	"102"	"17"	"14"	"230"	"11"	"148"	"3"	"4"	""	"8"	""	""	"4"	""	"8"	""	"6"	""	"4"	""	""	"7"	""	"13"	"18"	"15"	"13"	"4"	"527"	""	"527"	""
"203"	"103"	"7"	"13"	"243"	"6"	"66"	"1"	"3"	""	"7"	""	""	"2"	""	"17"	""	"5"	""	"7"	""	""	"11"	""	"18"	"11"	"19"	"2"	"2"	"440"	""	"440"	""
"204"	"104"	"6"	"50"	"338"	"10"	"142"	"10"	"4"	""	"0"	""	""	"5"	""	"5"	""	"3"	""	"8"	""	""	"13"	""	"12"	"5"	"4"	"9"	"5"	"629"	""	"629"	""
"205"	"105"	"4"	"3"	"217"	"12"	"342"	"5"	"3"	""	"16"	""	""	"2"	""	"12"	""	"16"	""	"12"	""	""	"3"	""	"8"	"19"	"20"	"0"	"6"	"700"	""	"700"	""
