"ANNEXURE..XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"FORM - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [SEE RULE 56 (7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Name of the Assembly  :  145 S.Kamal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"179"	"148"	"85"	"7"	"6"	"12"	"189"	"11"	"13"	"5"	"2"	"6"	"16"	"23"	"375"	"0"	"375"	"0"
"180"	"149"	"124"	"9"	"4"	"4"	"214"	"1"	"1"	"8"	"2"	"0"	"0"	"5"	"372"	"0"	"372"	"0"
"181"	"150"	"253"	"18"	"2"	"11"	"145"	"1"	"10"	"11"	"3"	"2"	"4"	"15"	"475"	"0"	"475"	"0"
"182"	"151"	"350"	"10"	"13"	"25"	"311"	"5"	"13"	"9"	"5"	"0"	"13"	"12"	"766"	"0"	"766"	"0"
"183"	"152"	"532"	"16"	"1"	"17"	"128"	"3"	"5"	"13"	"2"	"2"	"3"	"16"	"738"	"0"	"738"	"0"
"184"	"153"	"216"	"9"	"2"	"8"	"186"	"3"	"18"	"10"	"5"	"2"	"8"	"16"	"483"	"0"	"483"	"0"
"185"	"154"	"288"	"5"	"6"	"4"	"60"	"2"	"2"	"9"	"0"	"5"	"8"	"36"	"425"	"0"	"425"	"0"
"186"	"155"	"510"	"11"	"3"	"9"	"26"	"1"	"5"	"4"	"3"	"3"	"5"	"21"	"601"	"0"	"601"	"0"
"187"	"156"	"207"	"9"	"4"	"10"	"54"	"1"	"6"	"4"	"3"	"3"	"1"	"17"	"319"	"0"	"319"	"0"
"188"	"157"	"234"	"29"	"4"	"3"	"84"	"1"	"5"	"5"	"3"	"1"	"5"	"17"	"391"	"0"	"391"	"0"
"189"	"158"	"502"	"18"	"5"	"15"	"86"	"7"	"5"	"4"	"2"	"3"	"2"	"13"	"662"	"0"	"662"	"0"
"190"	"159"	"81"	"33"	"2"	"9"	"452"	"19"	"13"	"7"	"8"	"6"	"10"	"26"	"666"	"0"	"666"	"0"
"191"	"160"	"19"	"4"	"3"	"3"	"466"	"9"	"5"	"6"	"6"	"0"	"2"	"8"	"531"	"0"	"531"	"0"
"192"	"161"	"282"	"16"	"1"	"11"	"150"	"2"	"2"	"1"	"1"	"2"	"3"	"11"	"482"	"0"	"482"	"0"
"193"	"162"	"276"	"7"	"2"	"2"	"44"	"0"	"1"	"1"	"0"	"1"	"1"	"12"	"347"	"0"	"347"	"0"
"194"	"163"	"281"	"15"	"3"	"10"	"223"	"5"	"6"	"8"	"2"	"3"	"7"	"13"	"576"	"0"	"576"	"0"
"195"	"164"	"30"	"5"	"2"	"7"	"417"	"11"	"8"	"3"	"3"	"0"	"0"	"9"	"495"	"0"	"495"	"0"
"196"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"197"	""	"Parveen Amanullah a"	"Rakesh Singh"	"Ram Prawesh Kumar"	"Vidyanand Yadav"	"Shree Narayan Yadav"	"Md. Anwar Khan"	"Devendra Prasad"	"Es.Em.Nur Alam"	"Mahendra Rajak"	"Shamshad Alam"	"Munilal Singh"	"Md. Samim Akhtar"	""	""	""	""
"198"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"199"	"164A"	"7"	"1"	"1"	"5"	"434"	"3"	"5"	"5"	"7"	"4"	"6"	"10"	"488"	"0"	"488"	"0"
"200"	"165"	"12"	"1"	"1"	"4"	"641"	"17"	"7"	"4"	"7"	"2"	"3"	"15"	"714"	"0"	"714"	"0"
"201"	"166"	"213"	"6"	"3"	"18"	"405"	"4"	"15"	"2"	"3"	"3"	"0"	"2"	"674"	"0"	"674"	"0"
"202"	"167"	"87"	"9"	"1"	"8"	"285"	"7"	"9"	"7"	"3"	"4"	"3"	"13"	"436"	"0"	"436"	"0"
"203"	"168"	"416"	"7"	"4"	"5"	"127"	"4"	"10"	"6"	"1"	"0"	"3"	"18"	"601"	"0"	"601"	"0"
"204"	"169"	"139"	"34"	"1"	"9"	"266"	"6"	"3"	"13"	"2"	"2"	"4"	"10"	"489"	"0"	"489"	"0"
"205"	"170"	"12"	"2"	"4"	"7"	"433"	"7"	"6"	"8"	"4"	"1"	"2"	"12"	"498"	"0"	"498"	"0"
"206"	"170A"	"45"	"7"	"15"	"5"	"338"	"7"	"6"	"2"	"2"	"1"	"3"	"15"	"446"	"0"	"446"	"0"
"207"	"171"	"119"	"5"	"2"	"16"	"295"	"10"	"6"	"3"	"3"	"4"	"3"	"14"	"480"	"0"	"480"	"0"
"208"	"172"	"69"	"6"	"2"	"3"	"300"	"6"	"7"	"4"	"3"	"1"	"2"	"7"	"410"	"0"	"410"	"0"
"209"	"173"	"211"	"7"	"2"	"14"	"87"	"3"	"10"	"4"	"3"	"3"	"5"	"15"	"364"	"0"	"364"	"0"
"210"	"174"	"84"	"40"	"3"	"46"	"449"	"11"	"17"	"0"	"6"	"5"	"6"	"10"	"677"	"0"	"677"	"0"
"211"	"175"	"156"	"25"	"5"	"14"	"388"	"13"	"7"	"6"	"1"	"5"	"3"	"21"	"644"	"0"	"644"	"0"
"212"	"176"	"186"	"2"	"0"	"3"	"38"	"0"	"2"	"1"	"0"	"1"	"0"	"4"	"237"	"0"	"237"	"0"
"213"	"177"	"128"	"7"	"1"	"13"	"260"	"8"	"9"	"20"	"3"	"8"	"4"	"11"	"472"	"0"	"472"	"0"
"214"	"178"	"142"	"12"	"2"	"12"	"398"	"10"	"10"	"3"	"4"	"4"	"5"	"18"	"620"	"0"	"620"	"0"
"215"	"179"	"29"	"15"	"3"	"15"	"405"	"8"	"18"	"11"	"5"	"3"	"2"	"11"	"525"	"0"	"525"	"0"
"216"	"180"	"46"	"5"	"3"	"11"	"457"	"6"	"12"	"7"	"1"	"5"	"1"	"8"	"562"	"0"	"562"	"0"
"217"	"181"	"36"	"7"	"5"	"6"	"440"	"14"	"29"	"8"	"4"	"3"	"7"	"23"	"582"	"0"	"582"	"0"
"218"	"182"	"82"	"6"	"1"	"13"	"236"	"8"	"8"	"8"	"3"	"5"	"3"	"18"	"391"	"0"	"391"	"0"
"219"	"183"	"71"	"32"	"9"	"24"	"357"	"12"	"13"	"4"	"9"	"5"	"8"	"27"	"571"	"0"	"571"	"0"
"220"	"Total Votes Polled"	"46276"	"9552"	"1670"	"4548"	"35228"	"1014"	"1419"	"1844"	"709"	"675"	"1639"	"3217"	"107791"	"0"	"107791"	"0"
"221"	"Place :          Bazar Samitee Begusarai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"Date :            24-11-2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
