"Candidates.Name...........BOOTH.NO"	"No.of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"253"	"234"	"211"	"7"	"1"	"72"	"7"	"6"	"4"	"1"	"0"	"0"	"309"
"254"	"235"	"173"	"315"	"22"	"75"	"5"	"11"	"7"	"15"	"16"	"31"	"670"
"255"	"236"	"238"	"162"	"7"	"83"	"7"	"17"	"4"	"10"	"17"	"33"	"578"
"256"	"237"	"154"	"95"	"5"	"90"	"4"	"6"	"9"	"3"	"6"	"4"	"376"
"257"	"238"	"299"	"52"	"6"	"132"	"7"	"15"	"10"	"5"	"3"	"11"	"540"
"258"	"Candidates Name
--------> BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""
"259"	""	"DR. ARUN KUMAR"	"KISHOR YADAV"	"GANESHI RAM"	"CHOUDHRY MEHBOOBN ALI"	"RAJKUMAR CHOUDHARY"	"HARINANDAN SINGH"	"ASHA DEVI"	"GOPAL KRISHNA"	"POONAM DEVI"	"LALIT SADA"	"Total Valid Votes"
"260"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"13"
"261"	"239"	"101"	"185"	"12"	"67"	"8"	"17"	"60"	"17"	"13"	"15"	"495"
"262"	"240"	"231"	"59"	"10"	"60"	"16"	"7"	"2"	"4"	"4"	"7"	"400"
"263"	"241"	"26"	"10"	"5"	"182"	"10"	"5"	"1"	"0"	"0"	"5"	"244"
"264"	"242"	"259"	"14"	"2"	"106"	"8"	"4"	"2"	"1"	"0"	"3"	"399"
"265"	"243"	"340"	"16"	"5"	"265"	"18"	"13"	"7"	"1"	"6"	"4"	"675"
"266"	"244"	"219"	"118"	"10"	"71"	"4"	"6"	"6"	"1"	"4"	"11"	"450"
"267"	"245"	"249"	"7"	"8"	"219"	"6"	"9"	"5"	"0"	"1"	"11"	"515"
"268"	"246"	"70"	"2"	"3"	"174"	"15"	"13"	"6"	"5"	"7"	"9"	"304"
"269"	"247"	"45"	"20"	"4"	"166"	"9"	"5"	"1"	"2"	"3"	"7"	"262"
"270"	"248"	"132"	"22"	"3"	"33"	"0"	"6"	"4"	"0"	"2"	"3"	"205"
"271"	"249"	"82"	"7"	"6"	"60"	"2"	"6"	"6"	"1"	"2"	"20"	"192"
"272"	"250"	"199"	"39"	"8"	"290"	"8"	"13"	"8"	"4"	"4"	"12"	"585"
"273"	"251"	"132"	"5"	"2"	"40"	"2"	"2"	"1"	"1"	"1"	"2"	"188"
"274"	"252"	"32"	"68"	"14"	"289"	"7"	"8"	"6"	"6"	"6"	"3"	"439"
"275"	"253"	"145"	"43"	"7"	"255"	"7"	"10"	"9"	"3"	"2"	"1"	"482"
"276"	"254"	"143"	"335"	"19"	"63"	"7"	"7"	"10"	"14"	"42"	"40"	"680"
"277"	"255"	"137"	"265"	"14"	"83"	"5"	"7"	"27"	"8"	"14"	"14"	"574"
"278"	"256"	"140"	"144"	"7"	"64"	"4"	"6"	"7"	"9"	"9"	"9"	"399"
"279"	"257"	"159"	"134"	"2"	"172"	"6"	"3"	"10"	"13"	"7"	"11"	"517"
"280"	"258"	"84"	"90"	"2"	"27"	"1"	"2"	"4"	"5"	"10"	"5"	"230"
"281"	"259"	"298"	"90"	"13"	"91"	"9"	"12"	"7"	"3"	"3"	"4"	"530"
"282"	"260"	"388"	"93"	"9"	"118"	"3"	"9"	"17"	"6"	"4"	"13"	"660"
"283"	"Total:"	"57980"	"21463"	"1714"	"39134"	"1818"	"2056"	"1611"	"1185"	"1675"	"2924"	"131560"
"284"	"Postal Ballot"	"0"	"1"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"5"
"285"	"Grand Total:"	"57980"	"21464"	"1714"	"39138"	"1818"	"2056"	"1611"	"1185"	"1675"	"2924"	"131565"
"286"	"Place: Jamui"	""	""	""	""	""	""	""	""	""	""	""
"287"	"Date: 11/24/2010"	""	""	""	""	""	""	""	""	""	""	""
"288"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""
"289"	"Assembly Constituency :076---Simri"	""	""	""	""	""	""	""	""	""	""	""
