"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Parliamentary and Assembly elections)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…81 - Alinagar Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total No. of electors in Assembly constituency / Segment … 215245"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	""	"No. of rejected
votes"	"Total"	""	"No. of Tendered votes"
"178"	"159"	"151"	"116"	"422"	"12"	"47"	""	"10"	"3"	"7"	"4"	"5"	"15"	"641"	""	"-"	"641"	""	""
"179"	"160"	"152"	"149"	"200"	"13"	"54"	""	"16"	"7"	"20"	"6"	"12"	"16"	"493"	""	"-"	"493"	""	""
"180"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	""	"No. of rejected
votes"	"Total"	""	"No. of Tendered votes"
"181"	""	""	"Abdul Bari
Siddiqui"	"Prabhakar Choudhary"	"Baidynath Mukhia"	"Dr. Madan Mohan  Jha"	""	"Ram Kumar Jha"	"Dileep Kumar Yadav"	"Rajesh Kumar Yadav"	"Harendra Na Singh"	"Manawati Devi"	"Bideshwar Ram"	""	""	""	""	""	""
"182"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"	"15"	""	"16"
"183"	"161"	"153"	"42"	"248"	"3"	"33"	""	"1"	"2"	"10"	"2"	"8"	"14"	"363"	""	"-"	"363"	""	""
"184"	"162"	"154"	"52"	"375"	"5"	"27"	""	"8"	"0"	"5"	"0"	"1"	"6"	"479"	""	"-"	"479"	""	""
"185"	"163"	"155"	"264"	"36"	"1"	"5"	""	"8"	"7"	"46"	"7"	"5"	"7"	"386"	""	"-"	"386"	""	""
"186"	"164"	"155A"	"134"	"94"	"9"	"6"	""	"3"	"3"	"33"	"7"	"9"	"23"	"321"	""	"-"	"321"	""	""
"187"	"165"	"156"	"149"	"115"	"1"	"20"	""	"7"	"3"	"29"	"2"	"3"	"19"	"348"	""	"-"	"348"	""	""
"188"	"166"	"156A"	"141"	"142"	"11"	"3"	""	"7"	"6"	"17"	"3"	"0"	"6"	"336"	""	"-"	"336"	""	""
"189"	"167"	"157"	"255"	"107"	"36"	"9"	""	"11"	"1"	"8"	"6"	"7"	"14"	"454"	""	"-"	"454"	""	""
"190"	"168"	"158"	"466"	"19"	"1"	"5"	""	"0"	"1"	"3"	"0"	"1"	"14"	"510"	""	"-"	"510"	""	""
"191"	"169"	"158A"	"147"	"105"	"4"	"27"	""	"5"	"0"	"1"	"1"	"3"	"7"	"300"	""	"-"	"300"	""	""
"192"	"170"	"159"	"468"	"56"	"18"	"9"	""	"6"	"8"	"22"	"8"	"20"	"54"	"669"	""	"-"	"669"	""	""
"193"	"171"	"160"	"15"	"161"	"11"	"41"	""	"3"	"4"	"12"	"5"	"19"	"29"	"300"	""	"-"	"300"	""	""
"194"	"172"	"161"	"46"	"206"	"5"	"89"	""	"10"	"0"	"5"	"2"	"3"	"13"	"379"	""	"-"	"379"	""	""
"195"	"173"	"162"	"492"	"64"	"4"	"27"	""	"2"	"0"	"6"	"1"	"2"	"9"	"607"	""	"-"	"607"	""	""
"196"	"174"	"163"	"535"	"102"	"3"	"12"	""	"2"	"1"	"7"	"0"	"1"	"2"	"665"	""	"-"	"665"	""	""
"197"	"175"	"164"	"365"	"69"	"2"	"8"	""	"1"	"2"	"18"	"2"	"4"	"20"	"491"	""	"-"	"491"	""	""
"198"	"176"	"165"	"286"	"63"	"4"	"11"	""	"4"	"0"	"14"	"1"	"2"	"1"	"386"	""	"-"	"386"	""	""
"199"	"177"	"166"	"68"	"428"	"2"	"135"	""	"7"	"0"	"20"	"3"	"4"	"11"	"678"	""	"-"	"678"	""	""
"200"	"178"	"167"	"233"	"304"	"13"	"113"	""	"27"	"15"	"48"	"6"	"8"	"33"	"800"	""	"-"	"800"	""	""
"201"	"179"	"168"	"211"	"66"	"10"	"13"	""	"13"	"20"	"175"	"13"	"15"	"20"	"556"	""	"-"	"556"	""	""
"202"	"180"	"169"	"165"	"450"	"8"	"24"	""	"21"	"4"	"24"	"2"	"3"	"7"	"708"	""	"-"	"708"	""	""
"203"	"181"	"170"	"183"	"456"	"13"	"25"	""	"24"	"9"	"43"	"6"	"18"	"22"	"799"	""	"-"	"799"	""	""
"204"	"182"	"171"	"693"	"39"	"4"	"15"	""	"0"	"1"	"7"	"1"	"1"	"6"	"767"	""	"-"	"767"	""	""
"205"	"183"	"172"	"169"	"116"	"8"	"13"	""	"11"	"9"	"84"	"12"	"12"	"24"	"458"	""	"-"	"458"	""	""
"206"	"184"	"173"	"218"	"111"	"4"	"37"	""	"9"	"8"	"64"	"7"	"12"	"27"	"497"	""	"-"	"497"	""	""
"207"	"185"	"174"	"422"	"115"	"42"	"10"	""	"9"	"7"	"38"	"8"	"11"	"49"	"711"	""	"-"	"711"	""	""
"208"	"186"	"175"	"762"	"28"	"8"	"19"	""	"4"	"3"	"26"	"3"	"3"	"4"	"860"	""	"-"	"860"	""	""
"209"	"187"	"176"	"187"	"225"	"13"	"12"	""	"12"	"8"	"38"	"9"	"22"	"42"	"568"	""	"-"	"568"	""	""
"210"	"188"	"177"	"128"	"304"	"19"	"58"	""	"11"	"5"	"10"	"6"	"9"	"22"	"572"	""	"-"	"572"	""	""
"211"	"189"	"178"	"251"	"278"	"16"	"20"	""	"3"	"6"	"14"	"8"	"9"	"41"	"646"	""	"-"	"646"	""	""
"212"	"190"	"179"	"204"	"243"	"9"	"13"	""	"13"	"8"	"37"	"16"	"15"	"46"	"604"	""	"-"	"604"	""	""
"213"	"191"	"180"	"73"	"113"	"7"	"40"	""	"6"	"2"	"13"	"3"	"10"	"20"	"287"	""	"-"	"287"	""	""
"214"	"192"	"180A"	"24"	"127"	"15"	"19"	""	"3"	"6"	"8"	"4"	"6"	"19"	"231"	""	"-"	"231"	""	""
"215"	"193"	"181"	"12"	"228"	"3"	"25"	""	"4"	"2"	"14"	"2"	"6"	"13"	"309"	""	"-"	"309"	""	""
"216"	"194"	"182"	"118"	"195"	"2"	"38"	""	"7"	"0"	"2"	"4"	"2"	"18"	"386"	""	"-"	"386"	""	""
"217"	"195"	"183"	"14"	"295"	"9"	"14"	""	"6"	"2"	"2"	"5"	"13"	"10"	"370"	""	"-"	"370"	""	""
"218"	"196"	"184"	"71"	"284"	"3"	"41"	""	"5"	"3"	"9"	"3"	"11"	"23"	"453"	""	"-"	"453"	""	""
"219"	"197"	"185"	"133"	"97"	"39"	"95"	""	"31"	"8"	"83"	"20"	"11"	"35"	"552"	""	"-"	"552"	""	""
"220"	"198"	"186"	"3"	"193"	"5"	"144"	""	"8"	"1"	"5"	"4"	"8"	"8"	"379"	""	"-"	"379"	""	""
"221"	"199"	"187"	"14"	"218"	"9"	"135"	""	"9"	"11"	"12"	"4"	"7"	"12"	"431"	""	"-"	"431"	""	""
"222"	"200"	"188"	"141"	"157"	"15"	"27"	""	"10"	"10"	"19"	"2"	"16"	"42"	"439"	""	"-"	"439"	""	""
"223"	"201"	"189"	"21"	"265"	"9"	"181"	""	"36"	"10"	"24"	"7"	"22"	"39"	"614"	""	"-"	"614"	""	""
"224"	"202"	"190"	"148"	"197"	"5"	"143"	""	"15"	"4"	"29"	"5"	"2"	"10"	"558"	""	"-"	"558"	""	""
"225"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	""	"No. of rejected
votes"	"Total"	""	"No. of Tendered votes"
"226"	""	""	"Abdul Bari
Siddiqui"	"Prabhakar Choudhary"	"Baidynath Mukhia"	"Dr. Madan Mohan  Jha"	""	"Ram Kumar Jha"	"Dileep Kumar Yadav"	"Rajesh Kumar Yadav"	"Harendra Na Singh"	"Manawati Devi"	"Bideshwar Ram"	""	""	""	""	""	""
"227"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"	"15"	""	"16"
"228"	"203"	"191"	"32"	"318"	"9"	"83"	""	"22"	"6"	"49"	"4"	"11"	"11"	"545"	""	"-"	"545"	""	""
"229"	"204"	"192"	"321"	"100"	"8"	"41"	""	"17"	"17"	"88"	"9"	"17"	"41"	"659"	""	"-"	"659"	""	""
"230"	"Tot al  No.  of
vot es recording at  polling
St at ions"	""	"37923"	"32934"	"2660"	"6762"	""	"2964"	"1084"	"11208"	"1315"	"1524"	"3514"	"101888"	""	"-"	"101888"	""	""
"231"	"No.  of vot es recorded on post al  ballot
papers (To be elect ion  from  an assembly
const it uency)"	""	"0"	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"-"	"0"	""	""
"232"	"Total Votes polled"	""	"37923"	"32934"	"2660"	"6762"	""	"2964"	"1084"	"11208"	"1315"	"1524"	"3514"	"101888"	""	"-"	"101888"	""	""
"233"	"Place :    DARBHANGA"	""	""	""	""	""	"Assistant  Returning Officer"	""	""	""	""	""	""	""	"Returning Officer"	""	""	""	""
"234"	"Date  :    24/ 11/ 2010"	""	""	""	""	""	"81  - Alinagar"	""	""	""	""	""	""	""	"81  - Alinagar"	""	""	""	""
