"X."	"No..of.valid.votes.caste.in.favour.of"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"219"	"205"	"10"	"36"	"231"	"16"	"272"	"8"	"8"	"11"	"10"	"18"	"15"	"20"	"655"
"220"	"206"	"9"	"37"	"170"	"14"	"54"	"7"	"3"	"4"	"19"	"16"	"4"	"20"	"357"
"221"	"207"	"8"	"20"	"275"	"11"	"43"	"4"	"0"	"1"	"2"	"1"	"10"	"1"	"376"
"222"	"208"	"14"	"129"	"236"	"12"	"258"	"10"	"5"	"3"	"3"	"12"	"5"	"9"	"696"
"223"	"209"	"19"	"19"	"129"	"13"	"89"	"3"	"3"	"3"	"5"	"7"	"8"	"10"	"308"
"224"	"210"	"29"	"39"	"248"	"10"	"33"	"7"	"0"	"1"	"10"	"14"	"12"	"11"	"414"
"225"	"211"	"17"	"16"	"128"	"120"	"9"	"6"	"2"	"17"	"5"	"19"	"6"	"8"	"353"
"226"	"212"	"123"	"53"	"382"	"19"	"86"	"5"	"3"	"2"	"4"	"8"	"3"	"2"	"690"
"227"	"213"	"10"	"3"	"156"	"14"	"18"	"3"	"1"	"5"	"2"	"0"	"3"	"2"	"217"
"228"	"214"	"101"	"16"	"169"	"10"	"36"	"6"	"2"	"2"	"10"	"6"	"3"	"11"	"372"
"229"	"215"	"53"	"76"	"313"	"21"	"22"	"4"	"0"	"4"	"11"	"6"	"9"	"4"	"523"
"230"	"216"	"27"	"21"	"122"	"1"	"30"	"3"	"1"	"8"	"6"	"5"	"4"	"4"	"232"
"231"	"217"	"36"	"33"	"232"	"17"	"213"	"19"	"12"	"14"	"11"	"23"	"11"	"23"	"644"
"232"	"218"	"14"	"30"	"166"	"16"	"112"	"6"	"7"	"5"	"17"	"14"	"21"	"19"	"427"
"233"	"219"	"12"	"55"	"200"	"17"	"94"	"7"	"9"	"9"	"19"	"12"	"17"	"29"	"480"
"234"	"220"	"21"	"60"	"337"	"96"	"37"	"5"	"5"	"4"	"4"	"7"	"41"	"8"	"625"
"235"	"221"	"5"	"2"	"161"	"23"	"15"	"16"	"1"	"3"	"4"	"6"	"45"	"15"	"296"
"236"	"222"	"20"	"110"	"205"	"12"	"41"	"6"	"5"	"6"	"12"	"9"	"6"	"5"	"437"
"237"	"223"	"15"	"7"	"59"	"52"	"72"	"1"	"0"	"2"	"2"	"2"	"4"	"0"	"216"
"238"	"224"	"14"	"2"	"152"	"65"	"22"	"1"	"0"	"0"	"3"	"2"	"3"	"5"	"269"
"239"	"225"	"32"	"132"	"200"	"24"	"64"	"9"	"12"	"6"	"9"	"9"	"24"	"3"	"524"
"240"	"226"	"12"	"12"	"265"	"17"	"69"	"6"	"0"	"2"	"12"	"7"	"24"	"18"	"444"
"241"	"227"	"23"	"187"	"144"	"15"	"123"	"11"	"9"	"8"	"15"	"21"	"33"	"7"	"596"
"242"	"228"	"118"	"56"	"106"	"8"	"50"	"11"	"2"	"6"	"8"	"9"	"5"	"11"	"390"
"243"	"229"	"21"	"7"	"126"	"8"	"39"	"8"	"0"	"4"	"9"	"9"	"17"	"19"	"267"
"244"	"230"	"65"	"14"	"225"	"36"	"132"	"Page155"	"of 6    9"	"4"	"6"	"14"	"14"	"11"	"545"
"245"	""	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"246"	"BOOTH_NO"	"PANKAJ KUMAR"	"MAHADEO PRASAD"	"RAMESHWAR PASWAN"	"SINDHU KUMAR PASWAN"	"SUBHASH CHANDRA BOSH"	"KARINA DEVI"	"KRISNHA DEO DAS"	"DEEPAK RAM"	"SUBHASH PASWAN"	"ARJUN DAS"	"PRAYAG CHOUDHRY"	"RAM LAGAN PASWAN"	"TOTAL VALID VOTES"
"247"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""
"248"	"231"	"34"	"24"	"116"	"47"	"81"	"11"	"12"	"17"	"19"	"14"	"17"	"35"	"427"
"249"	"232"	"19"	"29"	"123"	"26"	"93"	"14"	"8"	"4"	"11"	"10"	"22"	"10"	"369"
"250"	"233"	"12"	"6"	"38"	"9"	"231"	"14"	"3"	"4"	"5"	"3"	"4"	"5"	"334"
"251"	"234"	"1"	"17"	"45"	"18"	"267"	"4"	"3"	"2"	"9"	"11"	"21"	"4"	"402"
"252"	"235"	"19"	"16"	"57"	"24"	"259"	"15"	"6"	"16"	"15"	"17"	"53"	"40"	"537"
"253"	"236"	"11"	"6"	"34"	"14"	"120"	"6"	"4"	"3"	"2"	"2"	"5"	"8"	"215"
"254"	"237"	"3"	"4"	"60"	"16"	"38"	"5"	"2"	"4"	"4"	"8"	"22"	"4"	"170"
"255"	"238"	"6"	"3"	"41"	"15"	"221"	"12"	"4"	"5"	"2"	"6"	"8"	"12"	"335"
"256"	"239"	"12"	"14"	"120"	"14"	"97"	"4"	"2"	"12"	"5"	"10"	"56"	"7"	"353"
"257"	"240"	"51"	"56"	"284"	"63"	"122"	"7"	"7"	"9"	"9"	"38"	"16"	"4"	"666"
"258"	"241"	"11"	"2"	"53"	"5"	"240"	"6"	"1"	"5"	"4"	"6"	"22"	"2"	"357"
"259"	"242"	"5"	"6"	"60"	"2"	"260"	"3"	"1"	"1"	"1"	"9"	"23"	"3"	"374"
"260"	"243"	"2"	"4"	"136"	"12"	"211"	"8"	"4"	"7"	"5"	"7"	"9"	"7"	"412"
"261"	"244"	"28"	"30"	"244"	"19"	"97"	"17"	"16"	"20"	"22"	"28"	"31"	"23"	"575"
"262"	"245"	"24"	"6"	"233"	"21"	"80"	"9"	"6"	"8"	"13"	"10"	"13"	"7"	"430"
"263"	"246"	"2"	"3"	"14"	"11"	"157"	"3"	"3"	"3"	"1"	"1"	"6"	"7"	"211"
"264"	"247"	"26"	"10"	"160"	"16"	"195"	"11"	"3"	"4"	"9"	"29"	"18"	"13"	"494"
"265"	"248"	"27"	"50"	"184"	"16"	"45"	"9"	"1"	"7"	"11"	"5"	"8"	"3"	"366"
"266"	"249"	"13"	"8"	"170"	"6"	"73"	"9"	"1"	"1"	"5"	"3"	"2"	"7"	"298"
"267"	"250"	"22"	"4"	"111"	"13"	"8"	"4"	"4"	"1"	"4"	"42"	"11"	"24"	"248"
"268"	"251"	"27"	"12"	"80"	"13"	"42"	"3"	"1"	"2"	"3"	"162"	"4"	"7"	"356"
"269"	"252"	"54"	"86"	"102"	"16"	"130"	"8"	"9"	"15"	"14"	"70"	"25"	"17"	"546"
"270"	"253"	"15"	"6"	"59"	"10"	"244"	"16"	"2"	"20"	"10"	"28"	"20"	"31"	"461"
"271"	"254"	"19"	"3"	"33"	"22"	"294"	"12"	"5"	"21"	"8"	"15"	"12"	"20"	"464"
"272"	"255"	"24"	"9"	"163"	"26"	"240"	"13"	"5"	"18"	"7"	"29"	"21"	"19"	"574"
"273"	"256"	"15"	"11"	"217"	"10"	"13"	"9"	"4"	"2"	"6"	"31"	"4"	"7"	"329"
"274"	"257"	"9"	"32"	"176"	"31"	"39"	"5"	"0"	"4"	"5"	"0"	"2"	"1"	"304"
"275"	"258"	"15"	"3"	"191"	"11"	"113"	"8"	"6"	"10"	"9"	"21"	"3"	"13"	"403"
"276"	"259"	"20"	"7"	"203"	"12"	"47"	"6"	"5"	"4"	"8"	"10"	"14"	"10"	"346"
"277"	"260"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"278"	"261"	"19"	"4"	"97"	"12"	"17"	"4"	"7"	"9"	"13"	"18"	"12"	"29"	"241"
"279"	"262"	"23"	"14"	"97"	"12"	"152"	"13"	"10"	"18"	"9"	"23"	"39"	"31"	"441"
"280"	"263"	"3"	"11"	"65"	"2"	"55"	"2"	"3"	"0"	"5"	"44"	"5"	"12"	"207"
"281"	"264"	"13"	"8"	"259"	"20"	"162"	"10"	"4"	"3"	"17"	"17"	"16"	"11"	"540"
"282"	"265"	"43"	"16"	"261"	"22"	"186"	"20"	"5"	"5"	"5"	"18"	"11"	"19"	"611"
"283"	"266"	"12"	"10"	"123"	"6"	"155"	"11"	"2"	"2"	"8"	"15"	"10"	"6"	"360"
"284"	"267"	"9"	"4"	"110"	"15"	"112"	"6"	"1"	"3"	"4"	"28"	"3"	"8"	"303"
"285"	"268"	"10"	"3"	"129"	"9"	"198"	"6"	"1"	"6"	"2"	"11"	"7"	"9"	"391"
"286"	"269"	"11"	"2"	"175"	"27"	"259"	"18"	"8"	"19"	"18"	"22"	"20"	"28"	"607"
"287"	"270"	"8"	"4"	"222"	"67"	"192"	"7"	"5"	"10"	"15"	"25"	"10"	"22"	"587"
"288"	"271"	"24"	"7"	"146"	"20"	"135"	"8"	"9"	"11"	"2"	"16"	"7"	"8"	"393"
"289"	"Postal"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"290"	"Total"	"3625"	"8888"	"39829"	"7499"	"27468"	"2020"	"1022"	"1412"	"2260"	"2814"	"3704"	"3283"	"103824"
"291"	"Page 6 of 6"	""	""	""	""	""	""	""	""	""	""	""	""	""
