"Polling.Station.No."	"Anjani.Devi"	"Aman.Kumar"	"Deep.Narayan.Paswan"	"Pramod.Kumar.Das"	"Ram.Vilash.Paswan"	"Vijay...Kumar.Paswan"	"Gopal.Bharti"	"Nandlal.Paswan"	"Brajesh.Paswan"	"Birendr.a.Kumar.Das"	"Ajab..Lal.Baitha"	"Uttam.Das"	"Upendra.Paswan"	"Usha.Devi"	"Bhupen.dra.Kumar.Mandal"	"Hiralal.Paswan"	"Total.....No..of......actual.Votes"	"Total.....No..of...rejected.Votes"	"Total"	"No.........of.Tendered.Votes"
"267"	"230-A"	5	158	9	0	10	19	3	1	0	1	1	2	6	3	10	32	260	0	260	NA
"268"	"231"	8	137	14	2	227	23	3	4	1	3	4	11	6	21	4	12	480	0	480	NA
"269"	"231-A"	3	115	11	4	243	19	2	3	2	4	7	7	1	42	2	4	469	0	469	NA
"270"	"232"	4	276	13	2	59	23	2	1	1	1	1	2	4	12	7	13	421	0	421	NA
"271"	"233"	8	20	5	4	372	8	3	1	1	2	2	5	2	12	1	2	448	0	448	NA
"272"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"273"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"274"	"234"	41	297	28	11	198	41	2	1	6	7	2	3	4	1	19	22	683	0	683	NA
"275"	"235"	5	60	10	2	179	20	4	6	4	2	6	7	5	4	3	9	326	0	326	NA
"276"	"236"	4	137	23	4	171	19	3	2	12	2	1	3	6	6	6	4	403	0	403	NA
"277"	"237"	7	208	45	1	56	7	2	2	3	2	0	1	2	2	5	8	351	0	351	NA
"278"	"238"	13	221	24	4	84	14	6	4	2	4	2	6	11	8	6	8	417	0	417	NA
"279"	"239"	1	135	49	3	98	7	5	1	1	0	0	3	2	5	8	10	328	0	328	NA
"280"	"240"	14	61	43	9	316	14	5	5	2	3	6	19	6	1	26	19	549	0	549	NA
"281"	"241"	10	119	23	6	141	17	2	6	3	4	7	9	3	13	20	7	390	0	390	NA
"282"	"242"	142	253	30	2	40	27	6	2	16	1	4	2	5	6	17	25	578	0	578	NA
"283"	"243"	4	254	37	1	56	36	4	2	2	2	2	4	1	3	8	21	437	0	437	NA
"284"	"244"	4	158	17	5	379	26	9	6	3	1	10	15	7	4	16	12	672	0	672	NA
"285"	"245"	12	83	20	7	331	34	10	6	1	4	8	19	4	6	16	18	579	0	579	NA
"286"	"246"	6	34	8	0	208	6	2	5	36	0	1	9	1	1	1	5	323	0	323	NA
"287"	"247"	22	184	23	2	279	23	5	2	12	3	5	10	8	12	7	16	613	0	613	NA
"288"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"289"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"290"	"247-A"	3	106	4	0	146	9	1	4	6	3	3	4	1	2	1	3	296	0	296	NA
"291"	"248"	5	303	17	0	109	11	3	3	45	3	4	2	3	1	6	10	525	0	525	NA
"292"	"249"	7	129	11	6	166	20	3	7	65	3	3	11	3	7	14	19	474	0	474	NA
"293"	"250"	2	169	27	4	84	2	1	2	1	1	0	11	3	5	2	4	318	0	318	NA
"294"	"251"	16	76	101	5	53	14	2	2	1	1	3	3	5	5	8	24	319	0	319	NA
"295"	"252"	14	362	32	3	147	20	4	6	16	4	3	8	6	4	18	29	676	0	676	NA
"296"	"253"	6	330	18	3	83	18	2	5	30	2	4	3	5	4	21	10	544	0	544	NA
"297"	"254"	10	118	12	0	196	112	8	2	2	0	1	11	3	2	4	6	487	0	487	NA
"298"	"255"	9	92	21	3	71	22	5	22	8	5	2	73	2	13	15	50	413	0	413	NA
"299"	"256"	11	156	24	4	113	48	4	4	3	4	2	17	0	4	6	5	405	0	405	NA
"300"	"257"	18	232	22	11	106	44	7	7	12	7	8	28	10	8	14	19	553	0	553	NA
"301"	"258"	6	159	17	2	40	90	8	21	5	0	4	102	5	3	10	8	480	0	480	NA
"302"	"259"	4	240	19	3	108	5	2	1	22	0	4	5	4	4	36	5	462	0	462	NA
"303"	"260"	4	96	10	7	218	11	2	3	6	5	3	9	2	6	33	8	423	0	423	NA
"304"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"305"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"306"	"261"	8	100	32	4	89	20	2	1	115	5	3	3	5	4	25	13	429	0	429	NA
"307"	"262"	29	85	19	3	134	61	9	8	37	7	5	4	3	5	24	7	440	0	440	NA
"308"	"263"	5	38	13	2	234	10	5	4	31	3	2	9	4	6	14	15	395	0	395	NA
"309"	"264"	10	163	21	1	148	26	4	3	67	2	1	3	3	4	7	4	467	0	467	NA
"310"	"265"	13	174	34	8	86	20	7	3	4	4	4	4	4	3	14	10	392	0	392	NA
"311"	"266"	5	221	20	4	117	10	3	2	6	6	0	5	4	6	27	9	445	0	445	NA
"312"	"267"	10	222	9	2	106	15	7	0	4	0	1	5	3	4	66	7	461	0	461	NA
"313"	"268"	6	154	28	3	105	7	2	2	9	2	1	1	2	5	12	3	342	0	342	NA
"314"	"269"	6	89	3	0	33	26	1	5	6	1	1	5	6	2	2	3	189	0	189	NA
"315"	"270"	0	145	9	0	14	24	1	1	0	2	0	2	6	1	7	6	218	0	218	NA
"316"	"271"	6	93	12	6	137	13	7	5	54	4	1	9	8	11	13	6	385	0	385	NA
"317"	"Total"	4341	48384	5292	943	42637	9136	1222	992	2359	762	872	1805	1389	1322	3323	4050	128829	0	128829	NA
"318"	"Postal Ballot"	3	109	8	3	104	13	1	1	0	0	0	1	0	1	7	8	259	1	260	NA
"319"	"G.
Total"	4344	48493	5300	946	42741	9149	1223	993	2359	762	872	1806	1389	1323	3330	4058	129088	1	129089	NA
"320"	"Date"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"321"	"Place                                                                                                                                                                                                                                                                                          Returning Officer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"322"	"20                                                                                              154- Pirpainti  Assembley Constituency"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
