"ANNEXURE..XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"FORM - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [SEE RULE 56 (7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Name of the Assembly  :  147 Bakhri (s.C.)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"190"	"158A"	"8"	"26"	"234"	"7"	"5"	"68"	"21"	"5"	"10"	"15"	"23"	"422"	"0"	"422"	"0"
"191"	"159"	"84"	"68"	"488"	"29"	"11"	"163"	"67"	"10"	"26"	"30"	"52"	"1028"	"0"	"1028"	"0"
"192"	"160"	"42"	"207"	"152"	"10"	"7"	"45"	"17"	"10"	"7"	"19"	"45"	"561"	"0"	"561"	"0"
"193"	"161"	"31"	"266"	"163"	"10"	"7"	"71"	"72"	"12"	"12"	"47"	"61"	"752"	"0"	"752"	"0"
"194"	"162"	"26"	"145"	"490"	"12"	"8"	"71"	"9"	"2"	"3"	"5"	"10"	"781"	"0"	"781"	"0"
"195"	"163"	"102"	"216"	"241"	"11"	"12"	"136"	"10"	"7"	"15"	"39"	"57"	"846"	"0"	"846"	"0"
"196"	"164"	"20"	"249"	"139"	"0"	"5"	"21"	"1"	"4"	"3"	"14"	"20"	"476"	"0"	"476"	"0"
"197"	"165"	"19"	"116"	"200"	"4"	"34"	"19"	"11"	"2"	"9"	"10"	"11"	"435"	"0"	"435"	"0"
"198"	"166"	"52"	"302"	"182"	"7"	"18"	"46"	"19"	"8"	"7"	"16"	"24"	"681"	"0"	"681"	"0"
"199"	"167"	"161"	"141"	"284"	"10"	"7"	"65"	"11"	"3"	"2"	"12"	"31"	"727"	"0"	"727"	"0"
"200"	"168"	"80"	"155"	"294"	"17"	"19"	"51"	"15"	"5"	"5"	"22"	"34"	"697"	"0"	"697"	"0"
"201"	"169"	"49"	"64"	"179"	"6"	"8"	"124"	"13"	"7"	"6"	"16"	"43"	"515"	"0"	"515"	"0"
"202"	"169A"	"46"	"138"	"79"	"4"	"5"	"155"	"15"	"3"	"3"	"8"	"26"	"482"	"0"	"482"	"0"
"203"	"170"	"29"	"270"	"19"	"6"	"2"	"42"	"5"	"2"	"1"	"26"	"43"	"445"	"0"	"445"	"0"
"204"	"171"	"43"	"378"	"63"	"4"	"5"	"28"	"4"	"2"	"5"	"9"	"23"	"564"	"0"	"564"	"0"
"205"	"172"	"63"	"59"	"240"	"10"	"12"	"279"	"25"	"7"	"6"	"3"	"22"	"726"	"0"	"726"	"0"
"206"	"173"	"54"	"49"	"198"	"1"	"4"	"103"	"11"	"1"	"3"	"3"	"8"	"435"	"0"	"435"	"0"
"207"	"174"	"23"	"115"	"202"	"3"	"6"	"17"	"10"	"3"	"11"	"17"	"20"	"427"	"0"	"427"	"0"
"208"	"175"	"24"	"148"	"270"	"7"	"4"	"37"	"16"	"3"	"9"	"15"	"15"	"548"	"0"	"548"	"0"
"209"	"176"	"104"	"190"	"356"	"7"	"10"	"41"	"18"	"4"	"14"	"18"	"29"	"791"	"0"	"791"	"0"
"210"	"177"	"44"	"67"	"193"	"8"	"4"	"38"	"10"	"2"	"4"	"9"	"11"	"390"	"0"	"390"	"0"
"211"	"178"	"119"	"134"	"286"	"11"	"18"	"90"	"22"	"14"	"11"	"19"	"45"	"769"	"0"	"769"	"0"
"212"	"179"	"154"	"47"	"240"	"7"	"3"	"204"	"31"	"5"	"2"	"5"	"5"	"703"	"0"	"703"	"0"
"213"	"180"	"64"	"133"	"237"	"7"	"5"	"226"	"18"	"7"	"6"	"13"	"17"	"733"	"0"	"733"	"0"
"214"	"181"	"30"	"155"	"206"	"2"	"6"	"27"	"25"	"5"	"4"	"12"	"36"	"508"	"0"	"508"	"0"
"215"	"182"	"44"	"53"	"439"	"32"	"16"	"95"	"32"	"11"	"11"	"13"	"46"	"792"	"0"	"792"	"0"
"216"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"217"	""	"Gautam Sada"	"Ram Vinod Paswan"	"Ramanand Ram"	"Sajjan Chaudhary"	"Satish Paswan"	"Suryakant Paswan"	"Manoj Rajak"	"Ram Naresh Paswan"	"Sanjeev Ram"	"Ghuran Mochi"	"Vijay Paswan"	""	""	""	""
"218"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"219"	"183"	"76"	"101"	"105"	"5"	"3"	"154"	"15"	"6"	"7"	"11"	"34"	"517"	"0"	"517"	"0"
"220"	"184"	"16"	"42"	"419"	"18"	"4"	"58"	"10"	"5"	"14"	"10"	"24"	"620"	"0"	"620"	"0"
"221"	"185"	"21"	"190"	"344"	"16"	"7"	"64"	"14"	"5"	"10"	"16"	"32"	"719"	"0"	"719"	"0"
"222"	"186"	"10"	"52"	"143"	"8"	"3"	"27"	"11"	"3"	"6"	"5"	"26"	"294"	"0"	"294"	"0"
"223"	"187"	"16"	"41"	"220"	"10"	"3"	"59"	"16"	"5"	"7"	"8"	"18"	"403"	"0"	"403"	"0"
"224"	"187A"	"23"	"78"	"149"	"8"	"9"	"87"	"13"	"3"	"6"	"11"	"37"	"424"	"0"	"424"	"0"
"225"	"188"	"24"	"56"	"232"	"7"	"3"	"48"	"15"	"3"	"13"	"14"	"14"	"429"	"0"	"429"	"0"
"226"	"189"	"43"	"78"	"221"	"5"	"4"	"51"	"31"	"12"	"8"	"13"	"29"	"495"	"0"	"495"	"0"
"227"	"190"	"19"	"412"	"17"	"7"	"6"	"14"	"8"	"2"	"6"	"44"	"46"	"581"	"0"	"581"	"0"
"228"	"191"	"61"	"201"	"294"	"13"	"4"	"46"	"5"	"6"	"4"	"11"	"11"	"656"	"0"	"656"	"0"
"229"	"192"	"95"	"99"	"152"	"6"	"7"	"40"	"13"	"3"	"1"	"10"	"6"	"432"	"0"	"432"	"0"
"230"	"193"	"51"	"106"	"115"	"8"	"3"	"86"	"4"	"5"	"6"	"21"	"18"	"423"	"0"	"423"	"0"
"231"	"193A"	"57"	"53"	"180"	"4"	"4"	"34"	"4"	"5"	"10"	"10"	"16"	"377"	"0"	"377"	"0"
"232"	"194"	"45"	"66"	"244"	"11"	"10"	"63"	"26"	"9"	"6"	"12"	"18"	"510"	"0"	"510"	"0"
"233"	"195"	"34"	"61"	"110"	"1"	"1"	"83"	"9"	"2"	"1"	"4"	"6"	"312"	"0"	"312"	"0"
"234"	"196"	"29"	"161"	"49"	"4"	"15"	"231"	"16"	"12"	"1"	"18"	"28"	"564"	"0"	"564"	"0"
"235"	"Total Votes Polled"	"11726"	"25393"	"43805"	"3384"	"1314"	"20781"	"2624"	"968"	"1528"	"2616"	"4292"	"118431"	"0"	"118431"	"0"
"236"	"Place :          Bazar Samitee Begusarai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"237"	"Date :            24-11-2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"238"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
