"Total.No..of.Electors.in.Assembly.Constituency."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"255"	"90"	"186"	"2"	"7"	"5"	"137"	"2"	"8"	"4"	"0"	"3"	"4"	"0"	"1"	"2"	"8"	"369"
"256"	"90A"	"95"	"6"	"3"	"4"	"263"	"1"	"7"	"3"	"0"	"38"	"4"	"1"	"4"	"1"	"5"	"435"
"257"	"91"	"156"	"9"	"0"	"1"	"491"	"2"	"26"	"2"	"2"	"15"	"4"	"0"	"2"	"2"	"6"	"718"
"258"	"92"	"241"	"12"	"8"	"1"	"160"	"4"	"3"	"4"	"2"	"2"	"3"	"6"	"3"	"5"	"24"	"478"
"259"	"93"	"38"	"4"	"0"	"1"	"133"	"0"	"16"	"2"	"0"	"1"	"8"	"1"	"2"	"4"	"5"	"215"
"260"	"94"	"248"	"35"	"2"	"2"	"335"	"5"	"10"	"5"	"0"	"0"	"2"	"3"	"2"	"9"	"23"	"681"
"261"	"95"	"111"	"20"	"7"	"0"	"138"	"5"	"0"	"3"	"1"	"3"	"9"	"1"	"2"	"2"	"16"	"318"
"262"	"96"	"174"	"0"	"2"	"0"	"79"	"1"	"2"	"1"	"1"	"0"	"3"	"1"	"1"	"2"	"10"	"277"
"263"	"97"	"372"	"25"	"11"	"4"	"161"	"1"	"6"	"4"	"1"	"4"	"3"	"3"	"8"	"6"	"23"	"632"
"264"	"98"	"135"	"24"	"1"	"2"	"50"	"1"	"82"	"11"	"3"	"4"	"3"	"2"	"0"	"0"	"0"	"318"
"265"	"99"	"65"	"9"	"2"	"0"	"115"	"4"	"60"	"4"	"2"	"3"	"2"	"2"	"0"	"8"	"4"	"280"
"266"	"100"	"199"	"15"	"0"	"3"	"205"	"7"	"4"	"4"	"2"	"3"	"6"	"3"	"4"	"6"	"13"	"474"
"267"	"101"	"129"	"13"	"0"	"2"	"105"	"5"	"8"	"0"	"2"	"3"	"6"	"0"	"4"	"1"	"4"	"282"
"268"	"102"	"346"	"21"	"20"	"4"	"164"	"6"	"6"	"7"	"2"	"3"	"7"	"8"	"6"	"10"	"59"	"669"
"269"	"103"	"180"	"13"	"0"	"2"	"179"	"3"	"9"	"3"	"0"	"0"	"3"	"0"	"2"	"3"	"3"	"400"
"270"	"104"	"117"	"16"	"2"	"2"	"167"	"3"	"0"	"2"	"1"	"1"	"0"	"4"	"1"	"1"	"7"	"324"
"271"	"104A"	"128"	"23"	"13"	"1"	"288"	"4"	"1"	"6"	"0"	"1"	"7"	"5"	"7"	"4"	"13"	"501"
"272"	"105"	"515"	"3"	"0"	"1"	"15"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"538"
"273"	"106"	"216"	"21"	"2"	"1"	"295"	"4"	"21"	"5"	"0"	"1"	"8"	"3"	"6"	"3"	"19"	"605"
"274"	"107"	"252"	"17"	"10"	"1"	"194"	"13"	"5"	"3"	"2"	"3"	"4"	"4"	"7"	"4"	"27"	"546"
"275"	"108"	"191"	"9"	"1"	"0"	"187"	"4"	"0"	"1"	"0"	"1"	"3"	"4"	"2"	"0"	"6"	"409"
"276"	"Total No. of Electors in Assembly Constituency:"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"No. and Name of Assembly Con      176"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"237042"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	"Nalanda"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"281"	"Total"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"282"	"P.S."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"283"	"No."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"284"	"Arun"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"285"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"Dilip"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"Narendra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"Shiv"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"292"	"Sharwan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"293"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"294"	"Vinod"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"295"	"Uganavi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"296"	"Jagdish"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"297"	"Prasad"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"298"	"Jaglal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"Prasad"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"300"	"Jairam"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	"Balalkh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"303"	"and"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"304"	"Rajendra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"305"	"Prasad"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"306"	"Lalit"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"307"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"308"	"Vidhya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"309"	"Vinod"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"310"	"Vinod"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"311"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"312"	"Sanjay"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"Paswan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"314"	"Valid"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"315"	"Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"316"	""	""	""	""	"Prasad"	""	""	""	""	""	"Kumar"	""	""	"Pathak"	""	""	""
"317"	"109"	"78"	"2"	"4"	"1"	"411"	"8"	"1"	"3"	"1"	"2"	"7"	"0"	"1"	"1"	"11"	"531"
"318"	"110"	"253"	"1"	"1"	"0"	"171"	"5"	"6"	"3"	"3"	"2"	"13"	"8"	"2"	"4"	"16"	"488"
"319"	"111"	"257"	"7"	"10"	"3"	"196"	"3"	"5"	"5"	"2"	"3"	"8"	"4"	"5"	"5"	"9"	"522"
"320"	"112"	"224"	"9"	"3"	"3"	"357"	"8"	"2"	"2"	"3"	"1"	"5"	"2"	"4"	"4"	"15"	"642"
"321"	"113"	"83"	"4"	"3"	"4"	"230"	"4"	"3"	"4"	"0"	"0"	"2"	"2"	"3"	"0"	"2"	"344"
"322"	"114"	"223"	"10"	"7"	"0"	"241"	"2"	"8"	"4"	"1"	"2"	"8"	"8"	"5"	"7"	"22"	"548"
"323"	"115"	"159"	"3"	"0"	"1"	"133"	"1"	"2"	"1"	"1"	"0"	"4"	"0"	"2"	"3"	"4"	"314"
"324"	"116"	"102"	"9"	"3"	"3"	"322"	"6"	"2"	"2"	"1"	"1"	"1"	"0"	"2"	"0"	"3"	"457"
"325"	"117"	"56"	"32"	"1"	"3"	"393"	"10"	"4"	"20"	"4"	"0"	"6"	"2"	"4"	"2"	"13"	"550"
"326"	"118"	"14"	"55"	"0"	"0"	"399"	"0"	"0"	"5"	"0"	"0"	"1"	"0"	"1"	"0"	"6"	"481"
"327"	"119"	"317"	"12"	"11"	"0"	"72"	"2"	"3"	"3"	"4"	"1"	"0"	"2"	"12"	"2"	"16"	"457"
"328"	"120"	"118"	"7"	"2"	"2"	"155"	"5"	"8"	"7"	"0"	"0"	"2"	"4"	"3"	"4"	"11"	"328"
"329"	"121"	"404"	"28"	"4"	"4"	"213"	"11"	"4"	"11"	"1"	"1"	"3"	"3"	"5"	"6"	"23"	"721"
"330"	"122"	"170"	"9"	"1"	"3"	"421"	"6"	"1"	"5"	"3"	"4"	"13"	"7"	"12"	"6"	"19"	"680"
"331"	"123"	"135"	"5"	"4"	"2"	"222"	"4"	"0"	"3"	"2"	"1"	"8"	"1"	"2"	"0"	"9"	"398"
"332"	"124"	"387"	"8"	"1"	"0"	"124"	"6"	"2"	"1"	"3"	"0"	"2"	"3"	"2"	"5"	"16"	"560"
"333"	"125"	"93"	"7"	"6"	"3"	"352"	"6"	"2"	"2"	"3"	"4"	"5"	"5"	"3"	"3"	"7"	"501"
"334"	"126"	"72"	"6"	"1"	"0"	"379"	"5"	"3"	"7"	"1"	"2"	"8"	"2"	"2"	"0"	"3"	"491"
"335"	"127"	"248"	"1"	"3"	"3"	"147"	"3"	"0"	"4"	"1"	"1"	"1"	"0"	"1"	"1"	"8"	"422"
"336"	"128"	"214"	"10"	"13"	"1"	"191"	"4"	"1"	"5"	"1"	"0"	"5"	"4"	"3"	"2"	"10"	"464"
"337"	"129"	"166"	"11"	"1"	"1"	"90"	"3"	"1"	"3"	"0"	"0"	"4"	"1"	"0"	"4"	"6"	"291"
"338"	"130"	"51"	"3"	"1"	"0"	"302"	"1"	"1"	"4"	"0"	"1"	"6"	"4"	"5"	"3"	"7"	"389"
"339"	"131"	"294"	"7"	"1"	"3"	"110"	"4"	"1"	"3"	"0"	"1"	"1"	"5"	"3"	"1"	"7"	"441"
"340"	"132"	"306"	"13"	"4"	"6"	"314"	"9"	"1"	"7"	"3"	"2"	"7"	"5"	"8"	"7"	"26"	"718"
"341"	"133"	"75"	"2"	"0"	"5"	"426"	"9"	"2"	"4"	"1"	"6"	"13"	"6"	"0"	"3"	"25"	"577"
"342"	"134"	"71"	"12"	"0"	"3"	"259"	"3"	"4"	"7"	"2"	"0"	"5"	"2"	"6"	"2"	"15"	"391"
"343"	"135"	"73"	"5"	"0"	"2"	"291"	"6"	"0"	"4"	"4"	"1"	"5"	"4"	"5"	"5"	"17"	"422"
"344"	"136"	"199"	"12"	"3"	"2"	"218"	"9"	"9"	"9"	"5"	"4"	"9"	"7"	"10"	"5"	"26"	"527"
"345"	"Total No. of Electors in Assembly Constituency:"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"346"	"No. and Name of Assembly Con      176"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"347"	"237042"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"348"	"Nalanda"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"349"	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"350"	"Total"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"351"	"P.S."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"352"	"No."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"353"	"Arun"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"354"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"355"	"Dilip"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"356"	"Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"357"	"Narendra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"358"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"359"	"Shiv"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"360"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"361"	"Sharwan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"362"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"363"	"Vinod"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"364"	"Uganavi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"365"	"Jagdish"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"366"	"Prasad"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"367"	"Jaglal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"368"	"Prasad"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"369"	"Jairam"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"370"	"Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"371"	"Balalkh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"372"	"and"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"373"	"Rajendra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"374"	"Prasad"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"375"	"Lalit"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"376"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"377"	"Vidhya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"378"	"Vinod"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"379"	"Vinod"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"380"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"381"	"Sanjay"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"382"	"Paswan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"383"	"Valid"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"384"	"Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"385"	""	""	""	""	"Prasad"	""	""	""	""	""	"Kumar"	""	""	"Pathak"	""	""	""
"386"	"137"	"115"	"14"	"1"	"6"	"381"	"10"	"4"	"14"	"3"	"3"	"7"	"14"	"6"	"5"	"21"	"604"
"387"	"138"	"110"	"10"	"2"	"1"	"337"	"8"	"3"	"7"	"2"	"0"	"2"	"0"	"5"	"2"	"7"	"496"
"388"	"138A"	"52"	"3"	"0"	"2"	"338"	"6"	"3"	"3"	"1"	"1"	"2"	"1"	"2"	"5"	"11"	"430"
"389"	"139"	"112"	"4"	"1"	"2"	"248"	"2"	"0"	"0"	"2"	"2"	"0"	"2"	"3"	"4"	"8"	"390"
"390"	"140"	"16"	"1"	"3"	"3"	"227"	"16"	"205"	"8"	"9"	"20"	"11"	"8"	"3"	"5"	"18"	"553"
"391"	"141"	"177"	"9"	"1"	"1"	"257"	"6"	"91"	"8"	"5"	"8"	"6"	"2"	"2"	"6"	"24"	"603"
"392"	"142"	"43"	"11"	"3"	"0"	"179"	"4"	"39"	"6"	"2"	"5"	"5"	"3"	"1"	"7"	"7"	"315"
"393"	"143"	"34"	"3"	"2"	"5"	"275"	"13"	"253"	"5"	"8"	"20"	"13"	"5"	"0"	"9"	"14"	"659"
"394"	"144"	"89"	"6"	"4"	"3"	"409"	"14"	"61"	"7"	"3"	"9"	"12"	"2"	"1"	"2"	"13"	"635"
"395"	"145"	"87"	"10"	"7"	"1"	"500"	"6"	"25"	"12"	"6"	"5"	"20"	"7"	"3"	"3"	"18"	"710"
"396"	"146"	"133"	"11"	"7"	"2"	"216"	"7"	"10"	"3"	"1"	"2"	"2"	"3"	"2"	"4"	"9"	"412"
"397"	"147"	"100"	"37"	"27"	"2"	"349"	"8"	"11"	"20"	"4"	"4"	"9"	"8"	"14"	"9"	"14"	"616"
"398"	"148"	"105"	"4"	"0"	"1"	"95"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"2"	"2"	"2"	"215"
"399"	"149"	"42"	"28"	"6"	"1"	"116"	"2"	"14"	"3"	"3"	"1"	"3"	"0"	"1"	"3"	"6"	"229"
"400"	"150"	"165"	"7"	"1"	"0"	"155"	"1"	"18"	"0"	"2"	"0"	"2"	"3"	"1"	"1"	"11"	"367"
"401"	"151"	"255"	"6"	"5"	"1"	"236"	"5"	"6"	"11"	"3"	"1"	"3"	"5"	"5"	"4"	"21"	"567"
"402"	"152"	"158"	"2"	"0"	"1"	"148"	"3"	"0"	"1"	"0"	"1"	"5"	"2"	"1"	"3"	"11"	"336"
"403"	"153"	"217"	"24"	"1"	"3"	"210"	"1"	"2"	"5"	"2"	"2"	"11"	"8"	"5"	"3"	"17"	"511"
"404"	"154"	"102"	"23"	"0"	"1"	"223"	"3"	"40"	"5"	"1"	"1"	"2"	"7"	"2"	"1"	"2"	"413"
"405"	"155"	"431"	"25"	"6"	"1"	"88"	"4"	"9"	"3"	"0"	"8"	"4"	"5"	"8"	"3"	"34"	"629"
"406"	"156"	"15"	"2"	"1"	"2"	"170"	"5"	"33"	"3"	"2"	"12"	"11"	"3"	"1"	"5"	"8"	"273"
"407"	"157"	"36"	"8"	"5"	"6"	"237"	"10"	"163"	"18"	"18"	"26"	"23"	"16"	"11"	"15"	"24"	"616"
"408"	"158"	"130"	"16"	"3"	"3"	"150"	"3"	"49"	"11"	"5"	"12"	"4"	"3"	"3"	"3"	"11"	"406"
"409"	"159"	"83"	"30"	"1"	"0"	"214"	"3"	"48"	"6"	"4"	"6"	"7"	"1"	"6"	"2"	"9"	"420"
"410"	"160"	"12"	"125"	"33"	"0"	"172"	"1"	"2"	"1"	"2"	"0"	"1"	"2"	"2"	"7"	"13"	"373"
"411"	"161"	"28"	"41"	"3"	"2"	"215"	"2"	"2"	"3"	"3"	"1"	"1"	"4"	"2"	"3"	"8"	"318"
"412"	"162"	"147"	"28"	"2"	"1"	"160"	"12"	"69"	"11"	"6"	"34"	"8"	"4"	"7"	"10"	"27"	"526"
"413"	"163"	"100"	"7"	"4"	"0"	"307"	"12"	"74"	"7"	"7"	"12"	"7"	"9"	"3"	"7"	"29"	"585"
"414"	"Total No. of Electors in Assembly Constituency:"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"415"	"No. and Name of Assembly Con      176"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"416"	"237042"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"417"	"Nalanda"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"418"	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"419"	"Total"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"420"	"P.S."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"421"	"No."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"422"	"Arun"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"423"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"424"	"Dilip"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"425"	"Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"426"	"Narendra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"427"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"428"	"Shiv"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"429"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"430"	"Sharwan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"431"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"432"	"Vinod"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"433"	"Uganavi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"434"	"Jagdish"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"435"	"Prasad"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"436"	"Jaglal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"437"	"Prasad"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"438"	"Jairam"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"439"	"Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"440"	"Balalkh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"441"	"and"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"442"	"Rajendra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"443"	"Prasad"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"444"	"Lalit"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"445"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"446"	"Vidhya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"447"	"Vinod"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"448"	"Vinod"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"449"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"450"	"Sanjay"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"451"	"Paswan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"452"	"Valid"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"453"	"Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"454"	""	""	""	""	"Prasad"	""	""	""	""	""	"Kumar"	""	""	"Pathak"	""	""	""
"455"	"164"	"14"	"2"	"2"	"5"	"112"	"7"	"172"	"5"	"6"	"9"	"6"	"5"	"2"	"2"	"3"	"352"
"456"	"165"	"122"	"17"	"2"	"4"	"355"	"2"	"26"	"3"	"3"	"0"	"18"	"9"	"6"	"1"	"10"	"578"
"457"	"166"	"114"	"16"	"0"	"0"	"128"	"2"	"8"	"2"	"1"	"1"	"4"	"6"	"2"	"1"	"3"	"288"
"458"	"167"	"201"	"8"	"1"	"1"	"176"	"5"	"22"	"6"	"1"	"4"	"2"	"3"	"6"	"1"	"5"	"442"
"459"	"168"	"58"	"1"	"14"	"0"	"121"	"1"	"49"	"2"	"3"	"1"	"7"	"0"	"0"	"0"	"2"	"259"
"460"	"169"	"111"	"12"	"2"	"2"	"128"	"1"	"64"	"5"	"0"	"7"	"5"	"1"	"4"	"2"	"9"	"353"
"461"	"170"	"52"	"3"	"2"	"10"	"254"	"4"	"94"	"7"	"4"	"10"	"18"	"5"	"7"	"7"	"18"	"495"
"462"	"171"	"126"	"10"	"0"	"3"	"298"	"9"	"21"	"2"	"4"	"2"	"9"	"5"	"12"	"8"	"27"	"536"
"463"	"172"	"215"	"13"	"8"	"5"	"204"	"5"	"63"	"7"	"7"	"10"	"7"	"9"	"12"	"8"	"56"	"629"
"464"	"173"	"82"	"1"	"2"	"2"	"185"	"7"	"33"	"4"	"3"	"3"	"3"	"3"	"2"	"3"	"7"	"340"
"465"	"174"	"37"	"4"	"0"	"2"	"215"	"6"	"93"	"7"	"4"	"4"	"5"	"1"	"0"	"2"	"11"	"391"
"466"	"175"	"20"	"6"	"1"	"4"	"210"	"3"	"87"	"2"	"2"	"5"	"7"	"2"	"0"	"7"	"4"	"360"
"467"	"176"	"64"	"25"	"2"	"2"	"228"	"4"	"12"	"3"	"4"	"2"	"2"	"1"	"1"	"1"	"7"	"358"
"468"	"177"	"127"	"3"	"4"	"2"	"212"	"6"	"12"	"4"	"1"	"6"	"2"	"0"	"1"	"2"	"9"	"391"
"469"	"178"	"58"	"8"	"11"	"5"	"240"	"7"	"82"	"12"	"4"	"7"	"13"	"11"	"3"	"2"	"9"	"472"
"470"	"179"	"179"	"6"	"4"	"0"	"66"	"0"	"19"	"0"	"0"	"0"	"1"	"2"	"1"	"0"	"3"	"281"
"471"	"180"	"130"	"3"	"108"	"5"	"35"	"1"	"9"	"2"	"0"	"1"	"3"	"0"	"5"	"3"	"5"	"310"
"472"	"181"	"16"	"8"	"0"	"1"	"166"	"3"	"54"	"9"	"5"	"4"	"2"	"5"	"2"	"1"	"1"	"277"
"473"	"182"	"49"	"3"	"7"	"3"	"295"	"2"	"63"	"3"	"4"	"8"	"1"	"2"	"5"	"0"	"8"	"453"
"474"	"183"	"61"	"11"	"2"	"3"	"312"	"4"	"104"	"4"	"3"	"4"	"7"	"5"	"7"	"1"	"13"	"541"
"475"	"184"	"83"	"7"	"8"	"2"	"316"	"2"	"30"	"3"	"5"	"1"	"3"	"3"	"4"	"0"	"1"	"468"
"476"	"185"	"33"	"0"	"11"	"2"	"113"	"4"	"37"	"5"	"1"	"17"	"9"	"2"	"1"	"6"	"10"	"251"
"477"	"186"	"85"	"7"	"0"	"0"	"47"	"0"	"15"	"0"	"1"	"0"	"1"	"0"	"1"	"2"	"4"	"163"
"478"	"187"	"85"	"22"	"5"	"3"	"106"	"2"	"79"	"14"	"5"	"4"	"4"	"1"	"6"	"2"	"8"	"346"
"479"	"188"	"66"	"2"	"0"	"1"	"299"	"5"	"42"	"6"	"5"	"2"	"1"	"3"	"0"	"4"	"11"	"447"
"480"	"189"	"2"	"10"	"0"	"2"	"398"	"4"	"3"	"2"	"0"	"5"	"0"	"0"	"1"	"1"	"1"	"429"
"481"	"190"	"20"	"1"	"2"	"0"	"79"	"1"	"79"	"2"	"2"	"12"	"4"	"2"	"0"	"0"	"2"	"206"
"482"	"191"	"68"	"9"	"2"	"0"	"85"	"5"	"5"	"2"	"0"	"3"	"5"	"5"	"1"	"0"	"5"	"195"
"483"	"Total No. of Electors in Assembly Constituency:"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"484"	"No. and Name of Assembly Con      176"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"485"	"237042"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"486"	"Nalanda"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"487"	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"488"	"Total"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"489"	"P.S."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"490"	"No."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"491"	"Arun"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"492"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"493"	"Dilip"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"494"	"Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"495"	"Narendra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"496"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"497"	"Shiv"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"498"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"499"	"Sharwan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"500"	"Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"501"	"Vinod"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"502"	"Uganavi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
