"i.z..Ik.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"[ fu; e 56 ¼7½ nsf[ k,  ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"104&  gFkqv k  fo/kku  l Hkk fuokZpu {ks= esa fcgkj  fo/kku l Hkk ds fy ; s fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"122"	"fi Ny s  pdzksa
d s   er ksa  dk
; ksx"	"1648"	"747"	"2622"	"11088"	"12321"	"318"	"175"	"293"	"132"	"224"	"513"	""	"1238"	"558"	"687"	"518"	"740"	"253"	"252"	"34097"	""	"34097"	""
"123"	"d qy  ; ksx"	"2145"	"904"	"2960"	"12572"	"14282"	"360"	"205"	"359"	"151"	"259"	"575"	""	"1775"	"653"	"812"	"575"	"852"	"298"	"308"	"40045"	""	"40045"	""
"124"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"125"	""	"d`\".kk
' kkgh"	"nq/kukFk
fl ag"	"ckcqnhu
[ kk¡"	"j kt s' k
dqekj  fl ag"	"j ke l sod
fl ag"	"f' ko ' kad j
j k;"	"dk' khukFk
fl ag"	"fxj hUnz dqekj
j k;"	"j kt sUnz
j kor"	"j ke ckcq
i zl kn"	"l ar j kt
fl ag"	""	"panz eksgu
j k;"	"pqeqd
eka>h"	"C; kl
; kno"	"edl qnu
i zl kn fl ag"	"j ke n' kZu
i zl kn"	"l fcc
vkye"	"l qj sUnz
j ke"	""	""	""	""
"126"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"127"	"83"	"22"	"26"	"12"	"210"	"467"	"6"	"5"	"5"	"7"	"3"	"21"	""	"8"	"7"	"9"	"14"	"5"	"4"	"6"	"837"	""	"837"	""
"128"	"84"	"14"	"16"	"9"	"228"	"330"	"4"	"5"	"4"	"2"	"2"	"7"	""	"17"	"14"	"8"	"8"	"5"	"22"	"32"	"727"	""	"727"	""
"129"	"85"	"3"	"28"	"13"	"142"	"255"	"2"	"6"	"1"	"1"	"1"	"1"	""	"5"	"5"	"2"	"7"	"1"	"3"	"2"	"478"	""	"478"	""
"130"	"86"	"30"	"27"	"15"	"153"	"291"	"5"	"6"	"3"	"1"	"0"	"8"	""	"5"	"5"	"7"	"284"	"16"	"4"	"3"	"863"	""	"863"	""
"131"	"87"	"1"	"6"	"4"	"115"	"166"	"4"	"4"	"3"	"108"	"5"	"5"	""	"20"	"6"	"8"	"102"	"18"	"3"	"4"	"582"	""	"582"	""
"132"	"88"	"8"	"4"	"5"	"69"	"164"	"2"	"0"	"1"	"2"	"1"	"1"	""	"1"	"4"	"4"	"10"	"0"	"0"	"1"	"277"	""	"277"	""
"133"	"89"	"5"	"12"	"17"	"138"	"233"	"85"	"4"	"5"	"3"	"5"	"1"	""	"8"	"5"	"8"	"13"	"4"	"4"	"9"	"559"	""	"559"	""
"134"	"90"	"1"	"11"	"13"	"338"	"125"	"3"	"3"	"3"	"1"	"6"	"7"	""	"12"	"22"	"27"	"8"	"15"	"2"	"10"	"607"	""	"607"	""
"135"	"91"	"10"	"11"	"25"	"89"	"278"	"8"	"4"	"4"	"3"	"1"	"2"	""	"6"	"2"	"5"	"1"	"5"	"4"	"3"	"461"	""	"461"	""
"136"	"92"	"10"	"7"	"11"	"176"	"291"	"12"	"4"	"4"	"1"	"2"	"3"	""	"5"	"11"	"0"	"5"	"3"	"3"	"0"	"548"	""	"548"	""
"137"	"93"	"6"	"7"	"8"	"217"	"232"	"6"	"1"	"5"	"2"	"3"	"6"	""	"6"	"3"	"3"	"3"	"7"	"1"	"2"	"518"	""	"518"	""
"138"	"94"	"2"	"4"	"4"	"118"	"188"	"9"	"1"	"7"	"2"	"4"	"1"	""	"9"	"8"	"12"	"8"	"11"	"1"	"1"	"390"	""	"390"	""
"139"	"95"	"24"	"29"	"15"	"120"	"294"	"18"	"7"	"11"	"11"	"3"	"11"	""	"10"	"6"	"10"	"9"	"13"	"37"	"72"	"700"	""	"700"	""
"140"	"96"	"10"	"15"	"47"	"88"	"376"	"40"	"6"	"8"	"3"	"1"	"8"	""	"7"	"3"	"13"	"1"	"4"	"0"	"1"	"631"	""	"631"	""
"141"	"; ksx"	"146"	"203"	"198"	"2201"	"3690"	"204"	"56"	"64"	"147"	"37"	"82"	""	"119"	"101"	"116"	"473"	"107"	"88"	"146"	"8178"	""	"8178"	""
"142"	"fi Ny s  pdzksa
d s   er ksa  dk
; ksx"	"2145"	"904"	"2907"	"12572"	"14282"	"360"	"205"	"359"	"151"	"259"	"575"	""	"1775"	"623"	"812"	"375"	"812"	"298"	"308"	"39815"	""	"39815"	""
"143"	"d qy  ; ksx"	"2291"	"1107"	"3105"	"14773"	"17972"	"564"	"261"	"423"	"298"	"296"	"657"	""	"1894"	"724"	"928"	"848"	"919"	"386"	"454"	"47900"	""	"47900"	""
"144"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"145"	""	"d`\".kk
' kkgh"	"nq/kukFk
fl ag"	"ckcqnhu
[ kk¡"	"j kt s' k
dqekj  fl ag"	"j ke l sod
fl ag"	"f' ko ' kad j
j k;"	"dk' khukFk
fl ag"	"fxj hUnz dqekj
j k;"	"j kt sUnz
j kor"	"j ke ckcq
i zl kn"	"l ar j kt
fl ag"	""	"panz eksgu
j k;"	"pqeqd
eka>h"	"C; kl
; kno"	"edl qnu
i zl kn fl ag"	"j ke n' kZu
i zl kn"	"l fcc
vkye"	"l qj sUnz
j ke"	""	""	""	""
"146"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"147"	"97"	"1"	"7"	"1"	"18"	"261"	"4"	"1"	"2"	"1"	"5"	"3"	""	"4"	"3"	"4"	"38"	"10"	"0"	"0"	"363"	""	"363"	""
"148"	"98"	"17"	"13"	"24"	"224"	"185"	"4"	"2"	"2"	"4"	"0"	"4"	""	"2"	"4"	"4"	"3"	"2"	"2"	"0"	"496"	""	"496"	""
"149"	"99"	"43"	"36"	"10"	"54"	"472"	"18"	"4"	"11"	"6"	"3"	"11"	""	"11"	"7"	"8"	"10"	"12"	"8"	"5"	"729"	""	"729"	""
"150"	"100"	"7"	"22"	"25"	"39"	"260"	"7"	"6"	"19"	"15"	"2"	"6"	""	"5"	"6"	"8"	"6"	"12"	"3"	"8"	"456"	""	"456"	""
"151"	"101"	"8"	"21"	"34"	"300"	"172"	"7"	"2"	"4"	"4"	"2"	"3"	""	"5"	"5"	"14"	"4"	"6"	"5"	"0"	"596"	""	"596"	""
"152"	"102"	"3"	"10"	"28"	"158"	"354"	"12"	"1"	"7"	"4"	"2"	"5"	""	"2"	"3"	"3"	"4"	"1"	"0"	"0"	"597"	""	"597"	""
"153"	"103"	"7"	"12"	"29"	"167"	"277"	"17"	"4"	"8"	"6"	"4"	"5"	""	"3"	"12"	"4"	"1"	"13"	"2"	"1"	"572"	""	"572"	""
"154"	"104"	"7"	"10"	"24"	"173"	"375"	"20"	"6"	"5"	"1"	"3"	"0"	""	"3"	"2"	"0"	"10"	"0"	"0"	"0"	"639"	""	"639"	""
"155"	"105"	"25"	"13"	"31"	"135"	"233"	"7"	"1"	"9"	"4"	"2"	"2"	""	"2"	"2"	"7"	"6"	"7"	"6"	"9"	"501"	""	"501"	""
"156"	"106"	"11"	"18"	"17"	"158"	"321"	"8"	"1"	"17"	"0"	"1"	"1"	""	"5"	"5"	"5"	"4"	"19"	"2"	"1"	"594"	""	"594"	""
"157"	"107"	"18"	"21"	"13"	"85"	"456"	"11"	"2"	"4"	"1"	"0"	"5"	""	"1"	"5"	"3"	"4"	"4"	"1"	"1"	"635"	""	"635"	""
"158"	"108"	"6"	"31"	"10"	"77"	"504"	"11"	"2"	"7"	"1"	"2"	"11"	""	"11"	"11"	"0"	"6"	"9"	"1"	"1"	"701"	""	"701"	""
"159"	"109"	"1"	"17"	"11"	"146"	"292"	"11"	"6"	"6"	"3"	"1"	"4"	""	"3"	"1"	"2"	"14"	"11"	"0"	"0"	"529"	""	"529"	""
"160"	"110"	"3"	"8"	"3"	"61"	"339"	"8"	"1"	"1"	"1"	"1"	"4"	""	"2"	"3"	"2"	"14"	"2"	"0"	"4"	"457"	""	"457"	""
"161"	"; ksx"	"157"	"239"	"260"	"1795"	"4501"	"145"	"39"	"102"	"51"	"28"	"64"	""	"59"	"69"	"64"	"124"	"108"	"30"	"30"	"7865"	""	"7865"	""
"162"	"fi Ny s  pdzksa
d s   er ksa  dk
; ksx"	"2251"	"1107"	"3158"	"14773"	"17972"	"564"	"261"	"423"	"298"	"296"	"657"	""	"1894"	"724"	"928"	"848"	"959"	"386"	"454"	"47993"	""	"47993"	""
"163"	"d qy  ; ksx"	"2408"	"1346"	"3418"	"16568"	"22473"	"709"	"300"	"525"	"349"	"324"	"721"	""	"1953"	"793"	"992"	"972"	"1067"	"416"	"484"	"55818"	""	"55818"	""
"164"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"165"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"166"	""	"d`\".kk
' kkgh"	"nq/kukFk
fl ag"	"ckcqnhu
[ kk¡"	"j kt s' k
dqekj  fl ag"	"j ke l sod
fl ag"	"f' ko ' kad j
j k;"	"dk' khukFk
fl ag"	"fxj hUnz dqekj
j k;"	"j kt sUnz
j kor"	"j ke ckcq
i zl kn"	"l ar j kt
fl ag"	""	"panz eksgu
j k;"	"pqeqd
eka>h"	"C; kl
; kno"	"edl qnu
i zl kn fl ag"	"j ke n' kZu
i zl kn"	"l fcc
vkye"	"l qj sUnz
j ke"	""	""	""	""
"167"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"168"	"111"	"12"	"15"	"35"	"259"	"325"	"1"	"0"	"8"	"2"	"4"	"6"	""	"6"	"11"	"6"	"3"	"1"	"2"	"0"	"696"	""	"696"	""
"169"	"112"	"9"	"16"	"22"	"94"	"152"	"7"	"4"	"19"	"47"	"8"	"17"	""	"12"	"22"	"9"	"14"	"15"	"10"	"4"	"481"	""	"481"	""
"170"	"113"	"16"	"10"	"24"	"101"	"122"	"4"	"2"	"3"	"0"	"2"	"4"	""	"14"	"4"	"4"	"1"	"2"	"8"	"7"	"328"	""	"328"	""
"171"	"114"	"16"	"3"	"6"	"190"	"108"	"3"	"4"	"4"	"2"	"2"	"4"	""	"9"	"3"	"10"	"0"	"12"	"8"	"3"	"387"	""	"387"	""
"172"	"115"	"85"	"8"	"13"	"47"	"286"	"4"	"4"	"5"	"2"	"3"	"7"	""	"21"	"11"	"16"	"9"	"16"	"1"	"1"	"539"	""	"539"	""
"173"	"116"	"25"	"21"	"78"	"156"	"471"	"16"	"7"	"5"	"4"	"10"	"20"	""	"22"	"15"	"25"	"5"	"15"	"11"	"9"	"915"	""	"915"	""
"174"	"117"	"17"	"9"	"13"	"52"	"276"	"7"	"0"	"1"	"2"	"2"	"9"	""	"27"	"11"	"8"	"3"	"4"	"1"	"0"	"442"	""	"442"	""
"175"	"118"	"27"	"6"	"19"	"110"	"263"	"4"	"2"	"3"	"1"	"2"	"13"	""	"15"	"6"	"11"	"6"	"3"	"0"	"1"	"492"	""	"492"	""
"176"	"119"	"32"	"14"	"100"	"91"	"301"	"3"	"4"	"5"	"2"	"2"	"4"	""	"2"	"8"	"7"	"3"	"7"	"13"	"5"	"603"	""	"603"	""
"177"	"120"	"11"	"14"	"134"	"70"	"145"	"6"	"1"	"6"	"2"	"2"	"3"	""	"6"	"1"	"3"	"1"	"2"	"3"	"1"	"411"	""	"411"	""
"178"	"121"	"6"	"6"	"9"	"120"	"193"	"1"	"1"	"1"	"2"	"3"	"12"	""	"13"	"14"	"8"	"5"	"13"	"1"	"0"	"408"	""	"408"	""
"179"	"122"	"104"	"6"	"1"	"11"	"172"	"41"	"1"	"3"	"1"	"1"	"4"	""	"19"	"1"	"3"	"2"	"6"	"6"	"5"	"387"	""	"387"	""
"180"	"123"	"26"	"23"	"15"	"38"	"492"	"18"	"8"	"13"	"4"	"4"	"13"	""	"32"	"6"	"17"	"4"	"34"	"3"	"11"	"761"	""	"761"	""
"181"	"124"	"9"	"18"	"26"	"119"	"345"	"11"	"7"	"5"	"3"	"3"	"17"	""	"16"	"6"	"16"	"6"	"27"	"2"	"3"	"639"	""	"639"	""
"182"	"; ksx"	"395"	"169"	"495"	"1458"	"3651"	"126"	"45"	"81"	"74"	"48"	"133"	""	"214"	"119"	"143"	"62"	"157"	"69"	"50"	"7489"	""	"7489"	""
"183"	"fi Ny s  pdzksa
d s   er ksa  dk
; ksx"	"2448"	"1346"	"3418"	"16568"	"22473"	"706"	"300"	"525"	"349"	"324"	"721"	""	"953"	"793"	"952"	"972"	"1068"	"416"	"484"	"55858"	""	"55858"	""
"184"	"d qy  ; ksx"	"2843"	"1515"	"3913"	"18026"	"26124"	"832"	"345"	"606"	"423"	"372"	"854"	""	"1167"	"912"	"1095"	"1034"	"1225"	"485"	"534"	"62305"	""	"62305"	""
"185"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"186"	""	"d`\".kk
' kkgh"	"nq/kukFk
fl ag"	"ckcqnhu
[ kk¡"	"j kt s' k
dqekj  fl ag"	"j ke l sod
fl ag"	"f' ko ' kad j
j k;"	"dk' khukFk
fl ag"	"fxj hUnz dqekj
j k;"	"j kt sUnz
j kor"	"j ke ckcq
i zl kn"	"l ar j kt
fl ag"	""	"panz eksgu
j k;"	"pqeqd
eka>h"	"C; kl
; kno"	"edl qnu
i zl kn fl ag"	"j ke n' kZu
i zl kn"	"l fcc
vkye"	"l qj sUnz
j ke"	""	""	""	""
"187"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"188"	"125"	"20"	"20"	"124"	"266"	"365"	"15"	"6"	"8"	"2"	"1"	"7"	""	"3"	"9"	"3"	"2"	"10"	"8"	"2"	"871"	""	"871"	""
"189"	"126"	"7"	"15"	"34"	"60"	"220"	"7"	"2"	"3"	"2"	"1"	"3"	""	"16"	"2"	"10"	"2"	"7"	"5"	"12"	"408"	""	"408"	""
"190"	"127"	"7"	"12"	"34"	"190"	"160"	"2"	"3"	"8"	"2"	"3"	"10"	""	"10"	"9"	"22"	"8"	"27"	"4"	"6"	"517"	""	"517"	""
"191"	"128"	"9"	"21"	"11"	"65"	"163"	"2"	"0"	"4"	"0"	"1"	"2"	""	"3"	"8"	"16"	"5"	"9"	"8"	"2"	"329"	""	"329"	""
"192"	"129"	"54"	"34"	"41"	"64"	"277"	"8"	"5"	"5"	"3"	"0"	"6"	""	"17"	"5"	"20"	"4"	"7"	"5"	"3"	"558"	""	"558"	""
"193"	"130"	"58"	"5"	"2"	"77"	"105"	"9"	"1"	"0"	"0"	"0"	"1"	""	"5"	"2"	"3"	"0"	"4"	"2"	"2"	"276"	""	"276"	""
"194"	"131"	"67"	"10"	"45"	"113"	"148"	"6"	"1"	"1"	"6"	"2"	"4"	""	"14"	"5"	"8"	"4"	"6"	"2"	"1"	"443"	""	"443"	""
"195"	"132"	"16"	"8"	"59"	"94"	"67"	"2"	"3"	"4"	"1"	"5"	"1"	""	"0"	"2"	"2"	"2"	"1"	"1"	"0"	"268"	""	"268"	""
"196"	"133"	"39"	"9"	"63"	"117"	"84"	"0"	"0"	"1"	"1"	"1"	"5"	""	"1"	"3"	"5"	"1"	"13"	"1"	"1"	"345"	""	"345"	""
"197"	"134"	"31"	"30"	"44"	"184"	"391"	"8"	"2"	"9"	"4"	"5"	"4"	""	"7"	"4"	"9"	"4"	"9"	"9"	"4"	"758"	""	"758"	""
"198"	"135"	"8"	"18"	"7"	"109"	"112"	"14"	"2"	"5"	"0"	"5"	"6"	""	"2"	"6"	"21"	"10"	"16"	"0"	"2"	"343"	""	"343"	""
"199"	"136"	"27"	"35"	"8"	"125"	"225"	"13"	"5"	"6"	"2"	"6"	"9"	""	"11"	"13"	"7"	"14"	"18"	"12"	"14"	"550"	""	"550"	""
"200"	"137"	"15"	"10"	"247"	"86"	"101"	"74"	"5"	"4"	"2"	"9"	"10"	""	"16"	"10"	"22"	"11"	"21"	"0"	"2"	"645"	""	"645"	""
"201"	"138"	"0"	"5"	"15"	"32"	"197"	"1"	"3"	"2"	"1"	"0"	"1"	""	"2"	"1"	"2"	"1"	"1"	"2"	"1"	"267"	""	"267"	""
"202"	"; ksx"	"358"	"232"	"734"	"1582"	"2615"	"161"	"38"	"60"	"26"	"39"	"69"	""	"107"	"79"	"150"	"68"	"149"	"59"	"52"	"6578"	""	"6578"	""
"203"	"fi Ny s  pdzksa
d s   er ksa  dk"	"2843"	"1515"	"3913"	"18026"	"26124"	"835"	"345"	"606"	"423"	"372"	"854"	""	"467"	"912"	"1135"	"1034"	"1224"	"485"	"534"	"63347"	""	"63347"	""
"204"	"d qy  ; ksx"	"3201"	"1747"	"4647"	"19608"	"28739"	"996"	"383"	"666"	"449"	"411"	"923"	""	"574"	"991"	"1285"	"1102"	"1373"	"544"	"586"	"68225"	""	"68225"	""
"205"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"206"	""	"d`\".kk
' kkgh"	"nq/kukFk
fl ag"	"ckcqnhu
[ kk¡"	"j kt s' k
dqekj  fl ag"	"j ke l sod
fl ag"	"f' ko ' kad j
j k;"	"dk' khukFk
fl ag"	"fxj hUnz dqekj
j k;"	"j kt sUnz
j kor"	"j ke ckcq
i zl kn"	"l ar j kt
fl ag"	""	"panz eksgu
j k;"	"pqeqd
eka>h"	"C; kl
; kno"	"edl qnu
i zl kn fl ag"	"j ke n' kZu
i zl kn"	"l fcc
vkye"	"l qj sUnz
j ke"	""	""	""	""
"207"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"208"	"139"	"12"	"8"	"11"	"243"	"103"	"4"	"4"	"1"	"1"	"3"	"1"	""	"5"	"8"	"8"	"1"	"7"	"1"	"3"	"424"	""	"424"	""
"209"	"140"	"18"	"16"	"118"	"145"	"287"	"21"	"4"	"2"	"1"	"2"	"5"	""	"11"	"15"	"11"	"10"	"18"	"1"	"1"	"686"	""	"686"	""
"210"	"141"	"2"	"8"	"28"	"99"	"192"	"21"	"1"	"2"	"0"	"2"	"1"	""	"2"	"3"	"38"	"6"	"14"	"3"	"6"	"428"	""	"428"	""
"211"	"141¼d½"	"5"	"16"	"43"	"32"	"245"	"2"	"1"	"10"	"1"	"1"	"8"	""	"7"	"7"	"41"	"4"	"12"	"3"	"3"	"441"	""	"441"	""
"212"	"142"	"26"	"13"	"14"	"169"	"298"	"5"	"3"	"6"	"1"	"5"	"6"	""	"15"	"7"	"10"	"2"	"10"	"6"	"2"	"598"	""	"598"	""
"213"	"143"	"55"	"13"	"9"	"86"	"238"	"2"	"0"	"7"	"1"	"4"	"9"	""	"6"	"7"	"41"	"2"	"8"	"13"	"1"	"502"	""	"502"	""
"214"	"144"	"90"	"12"	"12"	"69"	"215"	"1"	"1"	"8"	"1"	"3"	"8"	""	"10"	"14"	"74"	"1"	"8"	"6"	"3"	"536"	""	"536"	""
"215"	"145"	"71"	"10"	"7"	"60"	"208"	"5"	"1"	"3"	"1"	"7"	"29"	""	"34"	"16"	"14"	"7"	"21"	"8"	"6"	"508"	""	"508"	""
"216"	"146"	"148"	"24"	"38"	"79"	"297"	"6"	"4"	"9"	"3"	"0"	"58"	""	"9"	"10"	"28"	"7"	"9"	"15"	"16"	"760"	""	"760"	""
"217"	"147"	"55"	"18"	"18"	"73"	"72"	"14"	"7"	"5"	"6"	"9"	"220"	""	"11"	"12"	"104"	"7"	"28"	"5"	"3"	"667"	""	"667"	""
"218"	"148"	"23"	"14"	"5"	"28"	"288"	"9"	"4"	"6"	"2"	"3"	"9"	""	"15"	"8"	"8"	"4"	"18"	"2"	"5"	"451"	""	"451"	""
"219"	"149"	"10"	"10"	"40"	"42"	"139"	"2"	"1"	"4"	"1"	"2"	"6"	""	"20"	"8"	"7"	"3"	"4"	"0"	"0"	"299"	""	"299"	""
"220"	"150"	"30"	"27"	"18"	"94"	"211"	"9"	"10"	"11"	"3"	"5"	"7"	""	"0"	"6"	"9"	"3"	"9"	"10"	"2"	"464"	""	"464"	""
"221"	"151"	"46"	"12"	"25"	"38"	"310"	"4"	"1"	"29"	"4"	"4"	"6"	""	"21"	"4"	"8"	"4"	"7"	"8"	"11"	"542"	""	"542"	""
"222"	"; ksx"	"591"	"201"	"386"	"1257"	"3103"	"105"	"42"	"103"	"26"	"50"	"373"	""	"166"	"125"	"401"	"61"	"173"	"81"	"62"	"7306"	""	"7306"	""
"223"	"fi Ny s  pdzksa
d s   er ksa  dk
; ksx"	"3201"	"1747"	"4647"	"19608"	"28739"	"996"	"383"	"666"	"449"	"411"	"923"	""	"2274"	"991"	"1258"	"1102"	"1373"	"544"	"586"	"69925"	""	"69925"	""
"224"	"d qy  ; ksx"	"3792"	"1948"	"5033"	"20865"	"31842"	"1101"	"425"	"769"	"475"	"461"	"1296"	""	"2440"	"1116"	"1659"	"1163"	"1546"	"625"	"648"	"77204"	""	"77204"	""
"225"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"226"	""	"d`\".kk
' kkgh"	"nq/kukFk
fl ag"	"ckcqnhu
[ kk¡"	"j kt s' k
dqekj  fl ag"	"j ke l sod
fl ag"	"f' ko ' kad j
j k;"	"dk' khukFk
fl ag"	"fxj hUnz dqekj
j k;"	"j kt sUnz
j kor"	"j ke ckcq
i zl kn"	"l ar j kt
fl ag"	""	"panz eksgu
j k;"	"pqeqd
eka>h"	"C; kl
; kno"	"edl qnu
i zl kn fl ag"	"j ke n' kZu
i zl kn"	"l fcc
vkye"	"l qj sUnz
j ke"	""	""	""	""
"227"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"228"	"152"	"10"	"13"	"8"	"92"	"345"	"1"	"2"	"7"	"4"	"8"	"8"	""	"15"	"8"	"20"	"5"	"7"	"3"	"2"	"558"	""	"558"	""
"229"	"153"	"14"	"12"	"7"	"67"	"254"	"10"	"4"	"13"	"5"	"9"	"18"	""	"10"	"11"	"34"	"4"	"16"	"4"	"2"	"494"	""	"494"	""
"230"	"154"	"61"	"17"	"11"	"45"	"381"	"6"	"2"	"12"	"4"	"3"	"12"	""	"3"	"3"	"26"	"1"	"2"	"3"	"2"	"594"	""	"594"	""
"231"	"155"	"15"	"8"	"7"	"178"	"433"	"6"	"1"	"6"	"4"	"3"	"15"	""	"23"	"7"	"19"	"10"	"17"	"1"	"2"	"755"	""	"755"	""
"232"	"156"	"9"	"11"	"2"	"90"	"314"	"6"	"2"	"1"	"0"	"1"	"41"	""	"13"	"5"	"6"	"1"	"5"	"5"	"1"	"513"	""	"513"	""
"233"	"157"	"10"	"13"	"6"	"77"	"156"	"5"	"4"	"6"	"1"	"1"	"1"	""	"4"	"6"	"4"	"1"	"1"	"3"	"8"	"307"	""	"307"	""
"234"	"158"	"28"	"10"	"6"	"96"	"325"	"9"	"5"	"10"	"4"	"5"	"19"	""	"65"	"22"	"53"	"10"	"33"	"6"	"6"	"712"	""	"712"	""
"235"	"159"	"31"	"9"	"11"	"90"	"325"	"18"	"7"	"6"	"3"	"0"	"9"	""	"8"	"4"	"11"	"7"	"5"	"7"	"2"	"553"	""	"553"	""
"236"	"160"	"159"	"22"	"6"	"71"	"307"	"7"	"1"	"6"	"4"	"1"	"15"	""	"12"	"9"	"38"	"3"	"16"	"18"	"9"	"704"	""	"704"	""
"237"	"161"	"40"	"34"	"40"	"91"	"181"	"3"	"2"	"4"	"2"	"1"	"8"	""	"8"	"10"	"53"	"4"	"7"	"9"	"6"	"503"	""	"503"	""
"238"	"162"	"20"	"10"	"8"	"27"	"347"	"7"	"5"	"4"	"0"	"6"	"22"	""	"42"	"3"	"14"	"7"	"23"	"12"	"10"	"567"	""	"567"	""
"239"	"163"	"44"	"11"	"7"	"25"	"229"	"3"	"1"	"2"	"1"	"3"	"59"	""	"9"	"6"	"23"	"9"	"7"	"3"	"0"	"442"	""	"442"	""
"240"	"164"	"224"	"4"	"1"	"4"	"14"	"0"	"0"	"0"	"0"	"0"	"1"	""	"0"	"2"	"73"	"0"	"4"	"4"	"1"	"332"	""	"332"	""
"241"	"165"	"8"	"6"	"8"	"62"	"72"	"0"	"0"	"0"	"1"	"1"	"4"	""	"1"	"2"	"58"	"0"	"4"	"7"	"0"	"234"	""	"234"	""
"242"	"; ksx"	"673"	"180"	"128"	"1015"	"3683"	"81"	"36"	"77"	"33"	"42"	"232"	""	"213"	"98"	"432"	"62"	"147"	"85"	"51"	"7268"	""	"7268"	""
"243"	"fi Ny s  pdzksa
d s   er ksa  dk"	"3792"	"1948"	"5033"	"20865"	"31842"	"1101"	"425"	"769"	"475"	"461"	"1296"	""	"2440"	"1116"	"1686"	"1163"	"1546"	"625"	"648"	"77231"	""	"77231"	""
