"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO BIHAR LEGISLATIVE ASSEMBLY FORM THE 041-NIRMALI CONSTITUENCY NO OF VALID VOTES CASTE IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""
"3"	"Booth No"	"ANIRUDDHA PRASAD YADAV"	"ARUNA MEHTA"	"KRISHNA KUMAR ROY"	"VIJAY KUMAR"	"VIJAY KUMAR GUPTA"	"UPENDRA SINGH KUSHWAHA"	"NARAYAN MEHTA"	"PRATIMA DEVI"	"RAMDEO SHARMA"	"SHIVJEE SAH"	"TOTAL
VALID VOTES"
"234"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"235"	"205"	"200"	"23"	"2"	"11"	"190"	"6"	"2"	"3"	"1"	"5"	"443"
"236"	"206"	"413"	"164"	"16"	"11"	"126"	"13"	"11"	"5"	"15"	"29"	"803"
"237"	"207"	"343"	"117"	"9"	"7"	"111"	"9"	"4"	"4"	"8"	"22"	"634"
"238"	"208"	"431"	"132"	"10"	"7"	"106"	"6"	"8"	"14"	"15"	"53"	"782"
"239"	"209"	"364"	"261"	"13"	"5"	"12"	"2"	"2"	"7"	"5"	"9"	"680"
"240"	"210"	"384"	"92"	"4"	"1"	"33"	"1"	"2"	"5"	"2"	"6"	"530"
"241"	"210A"	"223"	"202"	"8"	"4"	"17"	"2"	"1"	"11"	"8"	"10"	"486"
"242"	"211"	"386"	"62"	"3"	"4"	"59"	"6"	"4"	"5"	"6"	"21"	"556"
"243"	"211A"	"321"	"70"	"5"	"5"	"113"	"3"	"2"	"4"	"2"	"9"	"534"
"244"	"212"	"618"	"126"	"3"	"3"	"50"	"2"	"4"	"19"	"5"	"18"	"848"
"245"	"213"	"141"	"345"	"15"	"6"	"24"	"4"	"7"	"6"	"25"	"24"	"597"
"246"	"214"	"255"	"154"	"4"	"1"	"18"	"0"	"3"	"2"	"2"	"1"	"440"
"247"	"215"	"305"	"178"	"11"	"18"	"229"	"13"	"4"	"4"	"9"	"19"	"790"
"248"	"216"	"150"	"239"	"8"	"6"	"30"	"4"	"3"	"7"	"7"	"26"	"480"
"249"	"217"	"414"	"52"	"8"	"8"	"182"	"4"	"4"	"3"	"8"	"8"	"691"
"250"	"218"	"430"	"35"	"5"	"5"	"115"	"4"	"8"	"2"	"18"	"19"	"641"
"251"	"219"	"359"	"36"	"4"	"5"	"83"	"6"	"1"	"6"	"4"	"13"	"517"
"252"	"220"	"489"	"49"	"1"	"5"	"111"	"4"	"3"	"2"	"1"	"6"	"671"
"253"	"221"	"398"	"29"	"8"	"7"	"268"	"6"	"6"	"7"	"3"	"18"	"750"
"254"	"222"	"165"	"232"	"9"	"3"	"10"	"2"	"4"	"3"	"4"	"8"	"440"
"255"	"223"	"222"	"26"	"0"	"11"	"43"	"3"	"2"	"3"	"4"	"5"	"319"
"256"	"224"	"454"	"37"	"7"	"11"	"318"	"11"	"9"	"6"	"8"	"34"	"895"
"257"	"225"	"210"	"291"	"9"	"9"	"138"	"8"	"10"	"5"	"6"	"11"	"697"
"258"	"226"	"240"	"315"	"12"	"14"	"34"	"6"	"0"	"5"	"12"	"12"	"650"
"259"	"Booth No"	"ANIRUDDHA PRASAD YADAV"	"ARUNA MEHTA"	"KRISHNA KUMAR ROY"	"VIJAY KUMAR"	"VIJAY KUMAR GUPTA"	"UPENDRA SINGH KUSHWAHA"	"NARAYAN MEHTA"	"PRATIMA DEVI"	"RAMDEO SHARMA"	"SHIVJEE SAH"	"TOTAL
VALID VOTES"
"260"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"261"	"227"	"136"	"225"	"13"	"4"	"5"	"1"	"9"	"7"	"11"	"10"	"421"
"262"	"228"	"195"	"91"	"6"	"1"	"7"	"2"	"1"	"4"	"4"	"12"	"323"
"263"	"229"	"256"	"385"	"11"	"12"	"39"	"1"	"6"	"11"	"14"	"14"	"749"
"264"	"Total:"	"69894"	"23985"	"3099"	"1473"	"24134"	"1330"	"738"	"1125"	"1384"	"3033"	"130449"
"265"	"Postal Ballot"	"2"	"0"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"8"
"266"	"Grand Total:"	"69896"	"23985"	"3099"	"1473"	"24140"	"1330"	"738"	"1125"	"1384"	"3033"	"130457"
"267"	"ASSITANT RETURNING OFFICER"	""	""	""	""	""	""	""	""	""	""	""
"268"	"41- NIRMALI  A/C"	""	""	""	""	""	""	""	""	""	""	""
"269"	"RETURNING OFFICER"	""	""	""	""	""	""	""	""	""	""	""
"270"	"41- NIRMALI  A/C"	""	""	""	""	""	""	""	""	""	""	""
