"FORM...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"196"	"176"	""	"101"	"12"	"10"	"297"	"12"	"20"	"7"	"9"	"10"	"66"	"10"	"7"	"14"	"575"
"197"	"177"	""	"133"	"11"	"8"	"162"	"7"	"11"	"4"	"10"	"10"	"15"	"4"	"6"	"27"	"408"
"198"	"178"	""	"173"	"19"	"21"	"248"	"27"	"8"	"16"	"11"	"9"	"22"	"13"	"28"	"64"	"659"
"199"	"179"	""	"172"	"9"	"13"	"114"	"11"	"14"	"7"	"20"	"13"	"18"	"8"	"12"	"23"	"434"
"200"	"180"	""	"76"	"5"	"6"	"261"	"20"	"7"	"6"	"7"	"7"	"11"	"10"	"13"	"30"	"459"
"201"	"181"	""	"158"	"6"	"14"	"272"	"12"	"10"	"7"	"8"	"5"	"14"	"6"	"8"	"12"	"532"
"202"	"182"	""	"233"	"13"	"11"	"120"	"10"	"3"	"7"	"19"	"15"	"17"	"16"	"20"	"76"	"560"
"203"	"183"	""	"276"	"20"	"13"	"69"	"5"	"6"	"8"	"7"	"2"	"3"	"3"	"4"	"2"	"418"
"204"	"184"	""	"186"	"9"	"3"	"105"	"9"	"36"	"4"	"8"	"6"	"2"	"3"	"2"	"2"	"375"
"205"	"185"	""	"196"	"6"	"4"	"59"	"1"	"2"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"273"
"206"	"186"	""	"121"	"6"	"10"	"195"	"13"	"39"	"10"	"14"	"11"	"16"	"3"	"4"	"8"	"450"
"207"	"187"	""	"304"	"17"	"15"	"280"	"23"	"11"	"9"	"9"	"15"	"11"	"10"	"14"	"38"	"756"
"208"	"188"	""	"9"	"0"	"1"	"325"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"336"
"209"	"189"	""	"237"	"8"	"13"	"105"	"3"	"5"	"1"	"1"	"6"	"2"	"1"	"7"	"16"	"405"
"210"	"190"	""	"98"	"3"	"4"	"68"	"4"	"2"	"8"	"7"	"2"	"7"	"1"	"7"	"28"	"239"
"211"	"191"	""	"99"	"3"	"3"	"47"	"4"	"71"	"3"	"8"	"4"	"21"	"1"	"1"	"6"	"271"
"212"	"192"	""	"40"	"2"	"2"	"128"	"5"	"6"	"3"	"6"	"6"	"8"	"7"	"6"	"10"	"229"
"213"	"193"	""	"94"	"2"	"3"	"89"	"1"	"11"	"3"	"9"	"2"	"5"	"3"	"5"	"7"	"234"
"214"	"194"	""	"458"	"12"	"33"	"39"	"3"	"35"	"3"	"8"	"12"	"18"	"8"	"5"	"22"	"656"
"215"	"195"	""	"70"	"4"	"44"	"228"	"2"	"28"	"2"	"9"	"5"	"4"	"0"	"3"	"3"	"402"
"216"	"196"	""	"220"	"2"	"2"	"24"	"0"	"13"	"1"	"0"	"0"	"1"	"2"	"3"	"3"	"271"
"217"	"197"	""	"250"	"14"	"10"	"41"	"2"	"11"	"4"	"8"	"3"	"9"	"4"	"2"	"8"	"366"
"218"	"198"	""	"365"	"2"	"1"	"11"	"0"	"3"	"1"	"2"	"1"	"1"	"0"	"0"	"2"	"389"
"219"	"199"	""	"211"	"2"	"4"	"103"	"0"	"8"	"3"	"3"	"3"	"4"	"5"	"3"	"17"	"366"
"220"	"200"	""	"301"	"4"	"5"	"53"	"2"	"6"	"3"	"10"	"3"	"7"	"5"	"2"	"26"	"427"
"221"	"201"	""	"166"	"1"	"8"	"97"	"1"	"38"	"12"	"22"	"7"	"15"	"7"	"2"	"14"	"390"
"222"	"202"	""	"199"	"15"	"2"	"13"	"1"	"4"	"3"	"4"	"6"	"6"	"111"	"10"	"6"	"380"
"223"	"BOOTH NO"	""	"JYOTI DEVI"	"NEELAM PASWAN"	"BADHAN BHUIYAN"	"SAMTA DEVI"	"AMIT KUMAR"	"KAMAL DEO PASWAN"	"SHRAVAN MANJHI"	"SANJAY KUMAR"	"SABO DEVI"	"VANARSHI MANJHI"	"RENUKA DEVI"	"VIJAY KUMAR"	"SHIV CHARAN MANJHI"	"Total Valid  Votes"
"224"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""
"225"	"203"	""	"258"	"12"	"3"	"11"	"2"	"5"	"1"	"8"	"3"	"4"	"2"	"3"	"6"	"318"
"226"	"204"	""	"187"	"1"	"25"	"16"	"0"	"3"	"0"	"13"	"14"	"5"	"5"	"3"	"10"	"282"
"227"	"205"	""	"465"	"8"	"25"	"51"	"7"	"3"	"3"	"13"	"7"	"8"	"19"	"6"	"15"	"630"
"228"	"206"	""	"134"	"5"	"9"	"90"	"2"	"6"	"6"	"8"	"8"	"3"	"9"	"4"	"11"	"295"
"229"	"207"	""	"210"	"2"	"6"	"124"	"7"	"7"	"3"	"9"	"6"	"12"	"12"	"11"	"22"	"431"
"230"	"208"	""	"432"	"7"	"11"	"14"	"0"	"47"	"3"	"12"	"5"	"8"	"3"	"2"	"32"	"576"
"231"	"209"	""	"414"	"3"	"6"	"35"	"7"	"75"	"5"	"11"	"6"	"11"	"8"	"3"	"19"	"603"
"232"	"210"	""	"391"	"5"	"3"	"24"	"2"	"4"	"3"	"9"	"2"	"8"	"2"	"7"	"11"	"471"
"233"	"211"	""	"328"	"6"	"8"	"139"	"1"	"4"	"5"	"6"	"6"	"5"	"1"	"5"	"5"	"519"
"234"	"212"	""	"398"	"5"	"1"	"132"	"0"	"10"	"3"	"11"	"3"	"6"	"6"	"4"	"19"	"598"
"235"	"213"	""	"577"	"8"	"7"	"113"	"2"	"5"	"2"	"16"	"8"	"7"	"9"	"5"	"14"	"773"
"236"	"214"	""	"124"	"6"	"7"	"172"	"6"	"8"	"4"	"11"	"5"	"7"	"23"	"8"	"13"	"394"
"237"	"215"	""	"119"	"9"	"2"	"41"	"3"	"4"	"1"	"2"	"1"	"4"	"3"	"4"	"10"	"203"
"238"	"216"	""	"47"	"3"	"8"	"76"	"4"	"43"	"6"	"6"	"3"	"11"	"5"	"1"	"10"	"223"
"239"	"217"	""	"138"	"3"	"5"	"43"	"0"	"0"	"5"	"15"	"1"	"7"	"5"	"4"	"6"	"232"
"240"	"218"	""	"278"	"5"	"8"	"82"	"5"	"8"	"4"	"12"	"3"	"9"	"4"	"12"	"13"	"443"
"241"	"219"	""	"298"	"7"	"8"	"101"	"5"	"13"	"5"	"7"	"7"	"6"	"7"	"2"	"28"	"494"
"242"	"220"	""	"298"	"6"	"3"	"196"	"6"	"10"	"4"	"12"	"3"	"9"	"12"	"7"	"19"	"585"
"243"	"221"	""	"132"	"3"	"19"	"94"	"0"	"2"	"2"	"2"	"2"	"4"	"2"	"0"	"7"	"269"
"244"	"222"	""	"146"	"1"	"50"	"28"	"0"	"6"	"0"	"6"	"4"	"4"	"2"	"1"	"3"	"251"
"245"	"223"	""	"180"	"6"	"81"	"143"	"13"	"32"	"6"	"5"	"9"	"3"	"6"	"7"	"7"	"498"
"246"	"224"	""	"86"	"2"	"43"	"63"	"5"	"2"	"0"	"2"	"2"	"2"	"2"	"3"	"11"	"223"
"247"	"225"	""	"212"	"6"	"22"	"68"	"0"	"6"	"2"	"8"	"6"	"6"	"2"	"1"	"6"	"345"
"248"	"226"	""	"40"	"1"	"4"	"51"	"0"	"3"	"2"	"4"	"0"	"5"	"4"	"2"	"11"	"127"
"249"	"227"	""	"115"	"15"	"3"	"133"	"2"	"1"	"1"	"3"	"3"	"2"	"0"	"0"	"3"	"281"
"250"	"228"	""	"272"	"18"	"15"	"96"	"5"	"18"	"2"	"15"	"6"	"5"	"11"	"12"	"20"	"495"
"251"	"229"	""	"237"	"17"	"13"	"55"	"6"	"16"	"3"	"8"	"3"	"17"	"6"	"3"	"10"	"394"
"252"	"230"	""	"238"	"25"	"45"	"42"	"6"	"7"	"3"	"9"	"3"	"12"	"5"	"3"	"3"	"401"
"253"	"231"	""	"220"	"9"	"9"	"179"	"5"	"8"	"6"	"8"	"7"	"8"	"2"	"4"	"8"	"473"
"254"	"232"	""	"171"	"21"	"11"	"170"	"9"	"11"	"2"	"9"	"3"	"6"	"3"	"6"	"11"	"433"
"255"	"BOOTH NO"	""	"JYOTI DEVI"	"NEELAM PASWAN"	"BADHAN BHUIYAN"	"SAMTA DEVI"	"AMIT KUMAR"	"KAMAL DEO PASWAN"	"SHRAVAN MANJHI"	"SANJAY KUMAR"	"SABO DEVI"	"VANARSHI MANJHI"	"RENUKA DEVI"	"VIJAY KUMAR"	"SHIV CHARAN MANJHI"	"Total Valid  Votes"
"256"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""
"257"	"233"	""	"142"	"5"	"3"	"67"	"4"	"4"	"5"	"4"	"3"	"5"	"3"	"2"	"8"	"255"
"258"	"234"	""	"122"	"0"	"3"	"31"	"2"	"2"	"1"	"1"	"2"	"4"	"2"	"3"	"2"	"175"
"259"	"235"	""	"147"	"8"	"5"	"165"	"5"	"2"	"0"	"1"	"1"	"4"	"2"	"0"	"6"	"346"
"260"	"236"	""	"244"	"4"	"1"	"153"	"6"	"6"	"2"	"8"	"5"	"8"	"3"	"1"	"12"	"453"
"261"	"237"	""	"88"	"3"	"0"	"104"	"2"	"4"	"2"	"3"	"3"	"4"	"2"	"2"	"10"	"227"
"262"	"238"	""	"119"	"13"	"9"	"128"	"2"	"6"	"4"	"6"	"14"	"8"	"9"	"9"	"45"	"372"
"263"	"239"	""	"44"	"4"	"11"	"252"	"16"	"5"	"2"	"3"	"6"	"4"	"6"	"11"	"30"	"394"
"264"	"240"	""	"22"	"4"	"21"	"333"	"27"	"18"	"11"	"6"	"7"	"10"	"7"	"12"	"22"	"500"
"265"	"241"	""	"72"	"3"	"13"	"50"	"0"	"2"	"2"	"2"	"1"	"2"	"3"	"1"	"3"	"154"
"266"	"242"	""	"105"	"10"	"11"	"87"	"4"	"3"	"0"	"2"	"0"	"6"	"3"	"2"	"4"	"237"
"267"	"243"	""	"13"	"5"	"6"	"199"	"7"	"3"	"1"	"9"	"3"	"5"	"4"	"5"	"26"	"286"
"268"	"244"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"269"	"245"	""	"40"	"1"	"9"	"142"	"8"	"11"	"5"	"10"	"8"	"10"	"7"	"3"	"10"	"264"
"270"	"246"	""	"140"	"7"	"8"	"165"	"5"	"7"	"6"	"7"	"5"	"5"	"2"	"2"	"10"	"369"
"271"	"247"	""	"66"	"1"	"3"	"91"	"0"	"1"	"6"	"7"	"5"	"6"	"2"	"1"	"2"	"191"
"272"	"248"	""	"160"	"17"	"15"	"205"	"12"	"11"	"6"	"12"	"5"	"17"	"3"	"6"	"15"	"484"
"273"	"249"	""	"44"	"4"	"12"	"151"	"9"	"8"	"6"	"10"	"7"	"15"	"13"	"9"	"4"	"292"
"274"	"250"	""	"36"	"6"	"7"	"16"	"1"	"1"	"2"	"3"	"0"	"4"	"0"	"2"	"2"	"80"
"275"	"251"	""	"96"	"2"	"6"	"189"	"7"	"8"	"4"	"8"	"6"	"7"	"3"	"2"	"3"	"341"
"276"	"252"	""	"81"	"7"	"15"	"164"	"9"	"47"	"6"	"2"	"3"	"10"	"7"	"4"	"12"	"367"
"277"	"253"	""	"127"	"4"	"10"	"121"	"3"	"4"	"6"	"9"	"6"	"10"	"8"	"3"	"20"	"331"
"278"	"254"	""	"62"	"13"	"14"	"303"	"25"	"7"	"6"	"11"	"15"	"9"	"10"	"12"	"19"	"506"
"279"	"255"	""	"145"	"20"	"19"	"221"	"22"	"171"	"22"	"12"	"15"	"32"	"12"	"14"	"31"	"736"
"280"	"256"	""	"118"	"8"	"7"	"108"	"5"	"7"	"4"	"4"	"5"	"12"	"5"	"2"	"16"	"301"
"281"	"257"	""	"422"	"11"	"9"	"73"	"5"	"11"	"8"	"18"	"7"	"8"	"3"	"6"	"19"	"600"
"282"	"258"	""	"583"	"12"	"7"	"87"	"8"	"10"	"5"	"15"	"4"	"7"	"4"	"4"	"7"	"753"
"283"	"259"	""	"661"	"30"	"5"	"119"	"8"	"7"	"1"	"10"	"2"	"7"	"6"	"4"	"22"	"882"
"284"	"260"	""	"309"	"68"	"8"	"68"	"4"	"9"	"5"	"12"	"1"	"7"	"8"	"10"	"0"	"509"
"285"	"261"	""	"147"	"7"	"5"	"123"	"4"	"10"	"5"	"11"	"6"	"16"	"3"	"7"	"17"	"361"
"286"	"262"	""	"281"	"7"	"7"	"87"	"2"	"3"	"2"	"12"	"4"	"11"	"0"	"6"	"14"	"436"
"287"	"BOOTH NO"	""	"JYOTI DEVI"	"NEELAM PASWAN"	"BADHAN BHUIYAN"	"SAMTA DEVI"	"AMIT KUMAR"	"KAMAL DEO PASWAN"	"SHRAVAN MANJHI"	"SANJAY KUMAR"	"SABO DEVI"	"VANARSHI MANJHI"	"RENUKA DEVI"	"VIJAY KUMAR"	"SHIV CHARAN MANJHI"	"Total Valid  Votes"
"288"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""
"289"	"263"	""	"342"	"11"	"22"	"121"	"2"	"10"	"5"	"17"	"7"	"15"	"3"	"6"	"12"	"573"
"290"	"264"	""	"189"	"3"	"8"	"76"	"4"	"2"	"1"	"8"	"5"	"12"	"4"	"7"	"16"	"335"
"291"	"265"	""	"75"	"3"	"11"	"116"	"10"	"6"	"4"	"6"	"10"	"6"	"5"	"7"	"6"	"265"
"292"	"266"	""	"117"	"9"	"12"	"365"	"9"	"8"	"2"	"8"	"3"	"9"	"4"	"2"	"2"	"550"
"293"	"267"	""	"83"	"4"	"21"	"287"	"12"	"107"	"5"	"5"	"4"	"17"	"2"	"2"	"13"	"562"
"294"	"268"	""	"71"	"5"	"14"	"303"	"13"	"10"	"12"	"10"	"9"	"62"	"9"	"7"	"12"	"537"
"295"	"269"	""	"273"	"2"	"2"	"34"	"9"	"54"	"4"	"8"	"3"	"58"	"4"	"6"	"12"	"469"
"296"	"270"	""	"92"	"6"	"2"	"21"	"3"	"0"	"5"	"4"	"2"	"12"	"3"	"4"	"5"	"159"
"297"	"271"	""	"159"	"7"	"3"	"112"	"12"	"9"	"2"	"14"	"6"	"99"	"9"	"9"	"22"	"463"
"298"	"272"	""	"158"	"9"	"8"	"243"	"12"	"73"	"16"	"24"	"19"	"26"	"15"	"17"	"44"	"664"
"299"	"273"	""	"104"	"1"	"0"	"31"	"2"	"2"	"1"	"1"	"2"	"8"	"1"	"3"	"9"	"165"
"300"	"274"	""	"74"	"2"	"3"	"61"	"7"	"9"	"5"	"5"	"5"	"10"	"2"	"3"	"7"	"193"
"301"	"275"	""	"220"	"11"	"9"	"99"	"9"	"10"	"1"	"6"	"5"	"10"	"4"	"1"	"11"	"396"
"302"	"Total"	""	"57550"	"2599"	"2675"	"33797"	"1514"	"3011"	"1009"	"2168"	"1367"	"2934"	"1294"	"1276"	"3496"	"114690"
"303"	"POSTAL BALLOT"	""	"0"	"0"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"7"
"304"	"Grand Total"	""	"57550"	"2599"	"2675"	"33804"	"1514"	"3011"	"1009"	"2168"	"1367"	"2934"	"1294"	"1276"	"3496"	"114697"
"305"	"Returning Officer."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"306"	"228-Barachatti(SC) constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
