"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"169"	"Boot h No."	"GANGA KAMAT"	"DINBANDHU YADAV"	"MD. MURSHID KHAN"	"SUJATA DEVI"	"SURYA N. YADAV"	"CHANDRA MOHAN YADAV"	"NARAYAN MANDAL"	"MOHAMMAD MUSTAKIM"	"YOGENDRA YADAV"	"RAJENDRA NIRALA"	"SANJEET KUMAR CHOUDHARY"	"SURESH PRASAD MEHTA"	"DILESHWAR KAMAIT"	""	"RAUSHAN KUMAR"	"LAXMIKANT BHARTI `"	"Total Valid Votes"	"No of Voters
:211401"
"170"	"159"	"0"	"1"	"2"	"514"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"2"	"1"	"1"	"12"	"538"	""
"171"	"160"	"4"	"20"	"2"	"604"	"5"	"2"	"3"	"13"	"2"	"2"	"2"	"4"	"16"	"0"	"1"	"5"	"685"	""
"172"	"161"	"6"	"215"	"7"	"205"	"29"	"3"	"13"	"7"	"4"	"4"	"3"	"7"	"83"	"14"	"5"	"25"	"630"	""
"173"	"161A"	"22"	"49"	"2"	"122"	"23"	"5"	"15"	"1"	"6"	"4"	"3"	"7"	"119"	"6"	"1"	"37"	"422"	""
"174"	"162"	"7"	"147"	"5"	"232"	"14"	"8"	"22"	"6"	"6"	"5"	"5"	"9"	"214"	"18"	"11"	"16"	"725"	""
"175"	"163"	"5"	"118"	"5"	"21"	"110"	"11"	"12"	"113"	"12"	"12"	"9"	"17"	"36"	"23"	"30"	"22"	"556"	""
"176"	"164"	"14"	"33"	"9"	"267"	"22"	"33"	"37"	"30"	"6"	"10"	"4"	"6"	"312"	"8"	"5"	"20"	"816"	""
"177"	"165"	"25"	"345"	"18"	"107"	"15"	"12"	"8"	"16"	"4"	"10"	"5"	"2"	"96"	"7"	"2"	"0"	"672"	""
"178"	"166"	"10"	"77"	"28"	"93"	"23"	"13"	"14"	"8"	"5"	"3"	"1"	"2"	"98"	"4"	"6"	"3"	"388"	""
"179"	"167"	"8"	"139"	"13"	"133"	"5"	"11"	"17"	"5"	"3"	"5"	"4"	"12"	"312"	"5"	"10"	"9"	"691"	""
"180"	"168"	"24"	"346"	"10"	"152"	"66"	"16"	"26"	"22"	"2"	"8"	"3"	"3"	"90"	"8"	"11"	"5"	"792"	""
"181"	"169"	"15"	"38"	"5"	"236"	"17"	"13"	"36"	"45"	"2"	"7"	"5"	"18"	"242"	"4"	"4"	"4"	"691"	""
"182"	"170"	"6"	"7"	"3"	"127"	"5"	"6"	"21"	"3"	"5"	"7"	"7"	"14"	"403"	"13"	"8"	"24"	"659"	""
"183"	"171"	"18"	"41"	"9"	"345"	"12"	"13"	"23"	"15"	"5"	"6"	"10"	"8"	"191"	"4"	"7"	"16"	"723"	""
"184"	"172"	"8"	"16"	"4"	"152"	"9"	"9"	"12"	"4"	"4"	"6"	"6"	"8"	"241"	"6"	"5"	"8"	"498"	""
"185"	"173"	"10"	"75"	"4"	"72"	"9"	"14"	"18"	"2"	"5"	"4"	"3"	"7"	"184"	"9"	"8"	"13"	"437"	""
"186"	"174"	"8"	"45"	"8"	"317"	"41"	"19"	"31"	"5"	"5"	"5"	"13"	"6"	"191"	"6"	"4"	"11"	"715"	""
"187"	"175"	"7"	"8"	"1"	"136"	"5"	"1"	"2"	"6"	"0"	"1"	"0"	"4"	"8"	"0"	"1"	"5"	"185"	""
"188"	"176"	"18"	"312"	"31"	"56"	"133"	"21"	"12"	"9"	"6"	"9"	"3"	"7"	"108"	"11"	"5"	"3"	"744"	""
"189"	"177"	"14"	"19"	"8"	"472"	"11"	"14"	"24"	"5"	"7"	"6"	"7"	"11"	"170"	"5"	"3"	"13"	"789"	""
"190"	"178"	"10"	"100"	"11"	"203"	"119"	"15"	"24"	"8"	"9"	"14"	"8"	"9"	"212"	"23"	"14"	"26"	"805"	""
"191"	"179"	"20"	"457"	"8"	"126"	"67"	"22"	"6"	"4"	"2"	"4"	"10"	"4"	"24"	"13"	"23"	"14"	"804"	""
"192"	"180"	"9"	"168"	"3"	"259"	"17"	"3"	"5"	"1"	"1"	"3"	"1"	"1"	"24"	"4"	"4"	"9"	"512"	""
"193"	"181"	"18"	"317"	"7"	"138"	"18"	"3"	"5"	"4"	"2"	"5"	"5"	"1"	"12"	"10"	"19"	"10"	"574"	""
"194"	"182"	"5"	"83"	"1"	"203"	"16"	"3"	"4"	"1"	"1"	"2"	"2"	"4"	"78"	"5"	"3"	"7"	"418"	""
"195"	"183"	"18"	"83"	"11"	"330"	"23"	"3"	"8"	"9"	"13"	"9"	"11"	"21"	"94"	"11"	"16"	"17"	"677"	""
"196"	"184"	"17"	"102"	"11"	"351"	"55"	"15"	"22"	"7"	"3"	"5"	"11"	"11"	"198"	"6"	"12"	"19"	"845"	""
"197"	"185"	"10"	"30"	"10"	"406"	"28"	"11"	"12"	"25"	"8"	"1"	"15"	"16"	"144"	"4"	"12"	"17"	"749"	""
"198"	"186"	"9"	"158"	"4"	"432"	"27"	"5"	"7"	"7"	"3"	"4"	"2"	"8"	"199"	"8"	"9"	"9"	"891"	""
"199"	"187"	"9"	"184"	"10"	"276"	"17"	"9"	"6"	"5"	"6"	"7"	"8"	"3"	"49"	"6"	"5"	"24"	"624"	""
"200"	"188"	"12"	"178"	"6"	"298"	"29"	"9"	"11"	"42"	"7"	"9"	"11"	"7"	"69"	"12"	"21"	"10"	"731"	""
"201"	"189"	"6"	"51"	"2"	"241"	"26"	"3"	"5"	"5"	"3"	"1"	"3"	"3"	"31"	"2"	"6"	"7"	"395"	""
"202"	"190"	"12"	"409"	"12"	"123"	"12"	"4"	"4"	"2"	"2"	"11"	"1"	"1"	"6"	"4"	"7"	"4"	"614"	""
"203"	"191"	"10"	"64"	"4"	"179"	"17"	"14"	"21"	"23"	"7"	"12"	"15"	"19"	"336"	"14"	"16"	"45"	"796"	""
"204"	"192"	"2"	"20"	"1"	"83"	"9"	"6"	"11"	"10"	"1"	"2"	"2"	"7"	"193"	"9"	"2"	"34"	"392"	""
"205"	"193"	"2"	"21"	"2"	"174"	"116"	"3"	"1"	"0"	"1"	"0"	"3"	"4"	"68"	"1"	"1"	"6"	"403"	""
"206"	"194"	"5"	"70"	"3"	"209"	"34"	"11"	"11"	"5"	"6"	"11"	"9"	"11"	"132"	"21"	"25"	"47"	"610"	""
"207"	"195"	"2"	"1"	"0"	"71"	"174"	"2"	"2"	"0"	"1"	"0"	"1"	"2"	"23"	"0"	"1"	"0"	"280"	""
"208"	"196"	"8"	"38"	"8"	"244"	"82"	"16"	"10"	"7"	"6"	"12"	"8"	"4"	"113"	"5"	"3"	"16"	"580"	""
"209"	"197"	"22"	"236"	"10"	"274"	"35"	"14"	"9"	"2"	"6"	"15"	"13"	"5"	"42"	"8"	"10"	"5"	"706"	""
"210"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"211"	"Boot h No."	"GANGA KAMAT"	"DINBANDHU YADAV"	"MD. MURSHID KHAN"	"SUJATA DEVI"	"SURYA N. YADAV"	"CHANDRA MOHAN YADAV"	"NARAYAN MANDAL"	"MOHAMMAD MUSTAKIM"	"YOGENDRA YADAV"	"RAJENDRA NIRALA"	"SANJEET KUMAR CHOUDHARY"	"SURESH PRASAD MEHTA"	"DILESHWAR KAMAIT"	""	"RAUSHAN KUMAR"	"LAXMIKANT BHARTI `"	"Total Valid Votes"	"No of Voters
:211401"
"212"	"198"	"15"	"235"	"7"	"89"	"35"	"7"	"2"	"1"	"4"	"8"	"4"	"3"	"44"	"13"	"10"	"25"	"502"	""
"213"	"199"	"28"	"262"	"7"	"155"	"28"	"5"	"7"	"3"	"3"	"7"	"2"	"1"	"72"	"4"	"11"	"7"	"602"	""
"214"	"200"	"10"	"63"	"6"	"224"	"36"	"4"	"6"	"1"	"3"	"1"	"5"	"1"	"54"	"0"	"1"	"4"	"419"	""
"215"	"200A"	"13"	"110"	"6"	"182"	"16"	"5"	"5"	"0"	"1"	"2"	"1"	"1"	"63"	"4"	"2"	"14"	"425"	""
"216"	"201"	"60"	"137"	"7"	"196"	"15"	"8"	"3"	"7"	"1"	"1"	"6"	"2"	"24"	"2"	"1"	"8"	"478"	""
"217"	"201A"	"30"	"201"	"9"	"123"	"9"	"4"	"5"	"6"	"2"	"5"	"7"	"4"	"30"	"12"	"21"	"14"	"482"	""
"218"	"202"	"29"	"3"	"1"	"126"	"6"	"2"	"0"	"0"	"0"	"0"	"2"	"0"	"11"	"1"	"0"	"7"	"188"	""
"219"	"203"	"15"	"235"	"16"	"368"	"42"	"5"	"3"	"2"	"2"	"6"	"0"	"3"	"13"	"7"	"5"	"6"	"728"	""
"220"	"204"	"9"	"9"	"3"	"260"	"21"	"5"	"8"	"1"	"0"	"0"	"1"	"3"	"40"	"1"	"5"	"14"	"380"	""
"221"	"205"	"15"	"168"	"6"	"358"	"11"	"10"	"11"	"5"	"2"	"3"	"8"	"7"	"27"	"7"	"15"	"9"	"662"	""
"222"	"206"	"16"	"113"	"13"	"442"	"26"	"4"	"10"	"2"	"5"	"4"	"4"	"4"	"16"	"3"	"3"	"13"	"678"	""
"223"	"207"	"22"	"211"	"8"	"364"	"12"	"10"	"3"	"3"	"2"	"9"	"4"	"7"	"29"	"10"	"10"	"17"	"721"	""
"224"	"208"	"19"	"30"	"1"	"401"	"3"	"2"	"1"	"3"	"4"	"2"	"4"	"6"	"9"	"0"	"5"	"11"	"501"	""
"225"	"209"	"14"	"259"	"6"	"313"	"15"	"6"	"8"	"2"	"6"	"5"	"10"	"7"	"37"	"6"	"9"	"17"	"720"	""
"226"	"210"	"20"	"293"	"6"	"273"	"5"	"3"	"6"	"3"	"3"	"3"	"6"	"2"	"13"	"1"	"6"	"12"	"655"	""
"227"	"211"	"19"	"268"	"7"	"136"	"13"	"4"	"7"	"4"	"1"	"3"	"4"	"5"	"4"	"5"	"8"	"4"	"492"	""
"228"	"212"	"20"	"476"	"10"	"95"	"6"	"8"	"5"	"5"	"1"	"6"	"3"	"2"	"10"	"16"	"16"	"6"	"685"	""
"229"	"213"	"8"	"134"	"11"	"504"	"23"	"5"	"6"	"6"	"4"	"6"	"4"	"17"	"96"	"9"	"13"	"18"	"864"	""
"230"	"214"	"13"	"56"	"5"	"255"	"42"	"7"	"2"	"2"	"0"	"1"	"8"	"3"	"25"	"1"	"1"	"8"	"429"	""
"231"	"Total:"	"2425"	"30195"	"1445"	"44883"	"7647"	"1713"	"1997"	"4012"	"828"	"1101"	"1231"	"1239"	"19297"	"1780"	"1955"	"3482"	"125230"	""
"232"	"stal Bal"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"3"	""
"233"	"Date:"	"2425"	"30197"	"1445"	"44883"	"7647"	"1713"	"1997"	"4012"	"828"	"1101"	"1231"	"1239"	"19298"	"1780"	"1955"	"3482"	"125233"	""
"234"	"Printed Using RO/ARO Counting Tool Ver. 1.0 of National Informatics Centre,Bihar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Page -1 of 1"	""	""
