"Total.No..of.Electors.in.Assembly.Constituency........240418"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"01-Valmikinagar Legislative Assembly Constituency (Round - 1)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Station No."	"IRSHAD HUSSAIN"	"DHEEREN DRA PRATAP SINGH"	"MUKESH KUMAR KUSHWAH A"	"RAJESH SINGH"	"SHASHI BHUSAN SAHAY"	"MANOJ KUMAR SINGH"	"RAMASHA NKAR PRASAD"	"INSAD ALI"	"DEEP NARAYAN MAHATO"	"PAHAWAR I YADAW"	"PRAMOD SHAH"	"RAMNARE SH SHAH"	"RAMAYAN CHAUDHA RY"	"SAKET KUMAR PATHAK"	"Total No.     of actual Votes"	"Total No.   of rejecte d Votes"	"Total"	"No.   of Tender ed Votes"	""	""
"155"	"Polling Station No."	"IRSHAD HUSSAIN"	"DHEEREN DRA PRATAP SINGH"	"MUKESH KUMAR KUSHWAH A"	"RAJESH SINGH"	"SHASHI BHUSAN SAHAY"	"MANOJ KUMAR SINGH"	"RAMASHA NKAR PRASAD"	"INSAD ALI"	"DEEP NARAYAN MAHATO"	"PAHAWAR I YADAW"	"PRAMOD SHAH"	"RAMNARE SH SHAH"	"RAMAYAN CHAUDHA RY"	"SAKET KUMAR PATHAK"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""	""
"156"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""	""
"157"	"81A"	"62"	"10"	"46"	"123"	"5"	"15"	"2"	"1"	"32"	"1"	"3"	"7"	"3"	"11"	"321"	"0"	"321"	"0"	""	""
"158"	"82"	"180"	"58"	"22"	"466"	"5"	"3"	"1"	"5"	"2"	"6"	"8"	"4"	"10"	"20"	"790"	"0"	"790"	"0"	""	""
"159"	"83"	"51"	"182"	"69"	"336"	"9"	"18"	"7"	"2"	"2"	"1"	"4"	"8"	"8"	"26"	"723"	"0"	"723"	"0"	""	""
"160"	"84"	"92"	"74"	"62"	"437"	"3"	"3"	"1"	"1"	"5"	"2"	"4"	"8"	"6"	"14"	"712"	"0"	"712"	"0"	""	""
"161"	"85"	"17"	"21"	"28"	"564"	"0"	"4"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"4"	"642"	"0"	"642"	"0"	""	""
"162"	"86"	"94"	"103"	"89"	"119"	"2"	"13"	"1"	"0"	"3"	"1"	"1"	"2"	"2"	"1"	"431"	"0"	"431"	"0"	""	""
"163"	"87"	"112"	"12"	"106"	"304"	"7"	"8"	"1"	"7"	"5"	"2"	"6"	"10"	"6"	"28"	"614"	"0"	"614"	"0"	""	""
"164"	"88"	"88"	"122"	"25"	"465"	"6"	"8"	"3"	"2"	"6"	"5"	"4"	"6"	"7"	"35"	"782"	"0"	"782"	"0"	""	""
"165"	"89"	"83"	"58"	"69"	"245"	"11"	"8"	"5"	"4"	"142"	"5"	"1"	"13"	"7"	"7"	"658"	"0"	"658"	"0"	""	""
"166"	"90"	"201"	"38"	"31"	"64"	"4"	"6"	"1"	"6"	"281"	"1"	"2"	"4"	"5"	"9"	"653"	"0"	"653"	"0"	""	""
"167"	"91"	"38"	"159"	"10"	"88"	"4"	"14"	"0"	"7"	"74"	"0"	"2"	"4"	"3"	"16"	"419"	"0"	"419"	"0"	""	""
"168"	"92"	"33"	"68"	"70"	"264"	"12"	"103"	"6"	"1"	"5"	"1"	"2"	"4"	"5"	"6"	"580"	"0"	"580"	"0"	""	""
"169"	"93"	"31"	"165"	"48"	"380"	"2"	"16"	"5"	"2"	"2"	"1"	"4"	"2"	"3"	"6"	"667"	"0"	"667"	"0"	""	""
"170"	"94"	"217"	"116"	"131"	"154"	"13"	"87"	"2"	"4"	"5"	"7"	"4"	"12"	"11"	"28"	"791"	"0"	"791"	"0"	""	""
"171"	"Total"	"1299"	"1186"	"806"	"4009"	"83"	"306"	"36"	"43"	"564"	"33"	"45"	"85"	"77"	"211"	"8783"	"0"	"8783"	"0"	""	""
"172"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"01-Valmikinagar Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"Total No. of Electors in Assembly Constituency -      240418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"01-Valmikinagar Legislative Assembly Constituency (Round - 8)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"Polling Station No."	"IRSHAD HUSSAIN"	"DHEEREN DRA PRATAP SINGH"	"MUKESH KUMAR KUSHWAH A"	"RAJESH SINGH"	"SHASHI BHUSAN SAHAY"	"MANOJ KUMAR SINGH"	"RAMASHA NKAR PRASAD"	"INSAD ALI"	"DEEP NARAYAN MAHATO"	"PAHAWAR I YADAW"	"PRAMOD SHAH"	"RAMNARE SH SHAH"	"RAMAYAN CHAUDHA RY"	"SAKET KUMAR PATHAK"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""	""
"181"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""	""
"182"	"95"	"42"	"173"	"157"	"162"	"4"	"6"	"6"	"2"	"2"	"0"	"2"	"4"	"6"	"28"	"594"	"0"	"594"	"0"	""	""
"183"	"96"	"44"	"176"	"100"	"263"	"10"	"24"	"9"	"6"	"19"	"6"	"5"	"9"	"10"	"27"	"708"	"0"	"708"	"0"	""	""
"184"	"97"	"59"	"198"	"156"	"228"	"4"	"102"	"4"	"2"	"4"	"5"	"4"	"14"	"1"	"30"	"811"	"0"	"811"	"0"	""	""
"185"	"98"	"41"	"232"	"156"	"269"	"12"	"53"	"7"	"1"	"2"	"5"	"3"	"4"	"6"	"18"	"809"	"0"	"809"	"0"	""	""
"186"	"99"	"8"	"27"	"13"	"228"	"1"	"2"	"0"	"0"	"1"	"0"	"0"	"1"	"3"	"2"	"286"	"0"	"286"	"0"	""	""
"187"	"100"	"60"	"307"	"71"	"168"	"24"	"110"	"7"	"8"	"6"	"12"	"15"	"16"	"33"	"35"	"872"	"0"	"872"	"0"	""	""
"188"	"101"	"60"	"145"	"99"	"239"	"25"	"218"	"8"	"2"	"5"	"3"	"2"	"8"	"4"	"13"	"831"	"0"	"831"	"0"	""	""
"189"	"102"	"132"	"129"	"163"	"143"	"5"	"267"	"10"	"4"	"8"	"5"	"3"	"6"	"5"	"13"	"893"	"0"	"893"	"0"	""	""
"190"	"103"	"57"	"73"	"104"	"475"	"2"	"13"	"0"	"1"	"3"	"2"	"1"	"10"	"4"	"36"	"781"	"0"	"781"	"0"	""	""
"191"	"104"	"99"	"299"	"25"	"26"	"10"	"88"	"1"	"3"	"0"	"1"	"0"	"3"	"6"	"5"	"566"	"0"	"566"	"0"	""	""
"192"	"104A"	"27"	"46"	"49"	"137"	"15"	"165"	"3"	"3"	"9"	"7"	"3"	"10"	"7"	"24"	"505"	"0"	"505"	"0"	""	""
"193"	"105"	"48"	"50"	"46"	"286"	"6"	"221"	"2"	"1"	"6"	"1"	"3"	"4"	"3"	"10"	"687"	"0"	"687"	"0"	""	""
"194"	"106"	"68"	"33"	"40"	"302"	"1"	"77"	"1"	"1"	"3"	"0"	"1"	"5"	"1"	"11"	"544"	"0"	"544"	"0"	""	""
"195"	"107"	"191"	"239"	"9"	"84"	"9"	"327"	"7"	"0"	"4"	"2"	"3"	"2"	"1"	"20"	"898"	"0"	"898"	"0"	""	""
"196"	"Total"	"936"	"2127"	"1188"	"3010"	"128"	"1673"	"65"	"34"	"72"	"49"	"45"	"96"	"90"	"272"	"9785"	"0"	"9785"	"0"	""	""
"197"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"01-Valmikinagar Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Total No. of Electors in Assembly Constituency -      240418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"01-Valmikinagar Legislative Assembly Constituency (Round - 9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"Polling Station No."	"IRSHAD HUSSAIN"	"DHEEREN DRA PRATAP SINGH"	"MUKESH KUMAR KUSHWAH A"	"RAJESH SINGH"	"SHASHI BHUSAN SAHAY"	"MANOJ KUMAR SINGH"	"RAMASHA NKAR PRASAD"	"INSAD ALI"	"DEEP NARAYAN MAHATO"	"PAHAWAR I YADAW"	"PRAMOD SHAH"	"RAMNARE SH SHAH"	"RAMAYAN CHAUDHA RY"	"SAKET KUMAR PATHAK"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""	""
"206"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""	""
"207"	"108"	"78"	"20"	"51"	"225"	"9"	"280"	"4"	"1"	"6"	"0"	"3"	"4"	"2"	"13"	"696"	"0"	"696"	"0"	""	""
"208"	"109"	"152"	"48"	"20"	"65"	"1"	"32"	"0"	"3"	"0"	"3"	"3"	"6"	"13"	"336"	"682"	"0"	"682"	"0"	""	""
"209"	"110"	"109"	"46"	"190"	"54"	"5"	"77"	"5"	"2"	"2"	"0"	"1"	"7"	"7"	"139"	"644"	"0"	"644"	"0"	""	""
"210"	"111"	"11"	"30"	"102"	"135"	"8"	"265"	"3"	"2"	"2"	"1"	"1"	"1"	"1"	"2"	"564"	"0"	"564"	"0"	""	""
"211"	"112"	"230"	"10"	"20"	"132"	"4"	"1"	"2"	"5"	"0"	"2"	"2"	"0"	"3"	"10"	"421"	"0"	"421"	"0"	""	""
"212"	"112A"	"194"	"48"	"18"	"137"	"1"	"17"	"3"	"3"	"2"	"1"	"3"	"3"	"1"	"23"	"454"	"0"	"454"	"0"	""	""
"213"	"113"	"95"	"56"	"69"	"202"	"7"	"42"	"3"	"1"	"9"	"0"	"0"	"9"	"9"	"19"	"521"	"0"	"521"	"0"	""	""
"214"	"114"	"124"	"27"	"64"	"191"	"2"	"24"	"5"	"5"	"2"	"4"	"2"	"4"	"2"	"64"	"520"	"0"	"520"	"0"	""	""
"215"	"115"	"138"	"28"	"77"	"175"	"2"	"41"	"2"	"2"	"3"	"2"	"4"	"1"	"5"	"115"	"595"	"0"	"595"	"0"	""	""
"216"	"116"	"75"	"185"	"18"	"171"	"2"	"10"	"2"	"2"	"3"	"2"	"4"	"2"	"8"	"34"	"518"	"0"	"518"	"0"	""	""
"217"	"117"	"30"	"112"	"27"	"92"	"4"	"207"	"4"	"1"	"3"	"2"	"1"	"3"	"0"	"8"	"494"	"0"	"494"	"0"	""	""
"218"	"118"	"14"	"117"	"48"	"61"	"2"	"41"	"1"	"1"	"2"	"3"	"0"	"1"	"3"	"6"	"300"	"0"	"300"	"0"	""	""
"219"	"119"	"85"	"90"	"248"	"262"	"10"	"14"	"9"	"6"	"4"	"3"	"7"	"13"	"17"	"20"	"788"	"0"	"788"	"0"	""	""
"220"	"120"	"134"	"89"	"284"	"95"	"3"	"33"	"2"	"3"	"5"	"4"	"10"	"4"	"4"	"13"	"683"	"0"	"683"	"0"	""	""
"221"	"Total"	"1469"	"906"	"1236"	"1997"	"60"	"1084"	"45"	"37"	"43"	"27"	"41"	"58"	"75"	"802"	"7880"	"0"	"7880"	"0"	""	""
"222"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"01-Valmikinagar Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"Total No. of Electors in Assembly Constituency -      240418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"01-Valmikinagar Legislative Assembly Constituency (Round - 10)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"Polling Station No."	"IRSHAD HUSSAIN"	"DHEEREN DRA PRATAP SINGH"	"MUKESH KUMAR KUSHWAH A"	"RAJESH SINGH"	"SHASHI BHUSAN SAHAY"	"MANOJ KUMAR SINGH"	"RAMASHA NKAR PRASAD"	"INSAD ALI"	"DEEP NARAYAN MAHATO"	"PAHAWAR I YADAW"	"PRAMOD SHAH"	"RAMNARE SH SHAH"	"RAMAYAN CHAUDHA RY"	"SAKET KUMAR PATHAK"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""	""
"231"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""	""
"232"	"121"	"75"	"130"	"253"	"75"	"4"	"10"	"0"	"0"	"3"	"0"	"6"	"4"	"8"	"13"	"581"	"0"	"581"	"0"	""	""
"233"	"122"	"49"	"71"	"246"	"123"	"4"	"78"	"6"	"1"	"2"	"5"	"2"	"6"	"13"	"19"	"625"	"0"	"625"	"0"	""	""
"234"	"123"	"20"	"102"	"74"	"119"	"3"	"48"	"1"	"2"	"2"	"9"	"1"	"6"	"6"	"13"	"406"	"0"	"406"	"0"	""	""
"235"	"124"	"17"	"88"	"149"	"64"	"3"	"17"	"2"	"1"	"3"	"0"	"2"	"4"	"9"	"11"	"370"	"0"	"370"	"0"	""	""
"236"	"125"	"33"	"95"	"19"	"268"	"7"	"115"	"1"	"1"	"3"	"2"	"2"	"3"	"1"	"3"	"553"	"0"	"553"	"0"	""	""
"237"	"126"	"12"	"6"	"33"	"77"	"1"	"63"	"1"	"1"	"2"	"0"	"1"	"1"	"1"	"7"	"206"	"0"	"206"	"0"	""	""
"238"	"127"	"58"	"23"	"355"	"49"	"9"	"1"	"7"	"8"	"3"	"1"	"6"	"14"	"25"	"56"	"615"	"0"	"615"	"0"	""	""
"239"	"128"	"11"	"59"	"202"	"17"	"2"	"1"	"0"	"1"	"0"	"0"	"2"	"2"	"3"	"8"	"308"	"0"	"308"	"0"	""	""
"240"	"129"	"2"	"19"	"366"	"12"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"2"	"406"	"0"	"406"	"0"	""	""
"241"	"130"	"5"	"7"	"539"	"35"	"1"	"2"	"2"	"0"	"0"	"1"	"0"	"7"	"6"	"4"	"609"	"0"	"609"	"0"	""	""
"242"	"131"	"4"	"2"	"159"	"43"	"1"	"8"	"3"	"4"	"5"	"1"	"7"	"11"	"5"	"17"	"270"	"0"	"270"	"0"	""	""
"243"	"132"	"75"	"25"	"117"	"134"	"3"	"5"	"4"	"1"	"1"	"0"	"2"	"3"	"2"	"6"	"378"	"0"	"378"	"0"	""	""
"244"	"133"	"34"	"72"	"204"	"64"	"5"	"6"	"2"	"2"	"2"	"1"	"1"	"10"	"3"	"17"	"423"	"0"	"423"	"0"	""	""
"245"	"134"	"72"	"14"	"163"	"166"	"6"	"7"	"3"	"5"	"5"	"0"	"5"	"6"	"4"	"11"	"467"	"0"	"467"	"0"	""	""
"246"	"Total"	"467"	"713"	"2879"	"1246"	"50"	"362"	"33"	"27"	"31"	"20"	"38"	"77"	"87"	"187"	"6217"	"0"	"6217"	"0"	""	""
"247"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"01-Valmikinagar Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"Total No. of Electors in Assembly Constituency -      240418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"01-Valmikinagar Legislative Assembly Constituency (Round - 11)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"Polling Station No."	"IRSHAD HUSSAIN"	"DHEEREN DRA PRATAP SINGH"	"MUKESH KUMAR KUSHWAH A"	"RAJESH SINGH"	"SHASHI BHUSAN SAHAY"	"MANOJ KUMAR SINGH"	"RAMASHA NKAR PRASAD"	"INSAD ALI"	"DEEP NARAYAN MAHATO"	"PAHAWAR I YADAW"	"PRAMOD SHAH"	"RAMNARE SH SHAH"	"RAMAYAN CHAUDHA RY"	"SAKET KUMAR PATHAK"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""	""
"256"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""	""
"257"	"135"	"25"	"60"	"297"	"286"	"4"	"16"	"8"	"3"	"3"	"4"	"5"	"7"	"4"	"14"	"736"	"0"	"736"	"0"	""	""
"258"	"136"	"10"	"69"	"229"	"79"	"1"	"1"	"4"	"1"	"2"	"1"	"1"	"0"	"5"	"5"	"408"	"0"	"408"	"0"	""	""
"259"	"137"	"28"	"160"	"529"	"57"	"7"	"10"	"10"	"10"	"6"	"7"	"5"	"14"	"11"	"41"	"895"	"0"	"895"	"0"	""	""
"260"	"138"	"131"	"175"	"268"	"123"	"3"	"35"	"9"	"3"	"2"	"3"	"5"	"7"	"6"	"7"	"777"	"0"	"777"	"0"	""	""
"261"	"139"	"37"	"17"	"136"	"164"	"4"	"11"	"1"	"3"	"3"	"4"	"3"	"1"	"4"	"11"	"399"	"0"	"399"	"0"	""	""
"262"	"140"	"69"	"137"	"328"	"150"	"8"	"15"	"6"	"2"	"2"	"4"	"9"	"8"	"28"	"34"	"800"	"0"	"800"	"0"	""	""
"263"	"141"	"35"	"80"	"292"	"189"	"5"	"113"	"8"	"3"	"3"	"4"	"2"	"10"	"7"	"12"	"763"	"0"	"763"	"0"	""	""
"264"	"142"	"8"	"1"	"80"	"155"	"8"	"92"	"1"	"4"	"2"	"3"	"4"	"8"	"1"	"13"	"380"	"0"	"380"	"0"	""	""
"265"	"143"	"155"	"24"	"372"	"204"	"5"	"32"	"2"	"2"	"3"	"4"	"2"	"7"	"1"	"16"	"829"	"0"	"829"	"0"	""	""
"266"	"144"	"16"	"100"	"291"	"118"	"3"	"23"	"2"	"0"	"1"	"0"	"6"	"3"	"2"	"5"	"570"	"0"	"570"	"0"	""	""
"267"	"145"	"47"	"88"	"36"	"193"	"15"	"178"	"11"	"3"	"1"	"2"	"3"	"1"	"0"	"8"	"586"	"0"	"586"	"0"	""	""
"268"	"146"	"156"	"87"	"81"	"78"	"0"	"0"	"0"	"0"	"2"	"3"	"1"	"2"	"3"	"2"	"415"	"0"	"415"	"0"	""	""
"269"	"147"	"27"	"77"	"448"	"132"	"1"	"6"	"0"	"4"	"2"	"4"	"7"	"10"	"10"	"17"	"745"	"0"	"745"	"0"	""	""
"270"	"148"	"30"	"97"	"316"	"300"	"6"	"35"	"7"	"4"	"1"	"9"	"8"	"8"	"10"	"22"	"853"	"0"	"853"	"0"	""	""
"271"	"Total"	"774"	"1172"	"3703"	"2228"	"70"	"567"	"69"	"42"	"33"	"52"	"61"	"86"	"92"	"207"	"9156"	"0"	"9156"	"0"	""	""
"272"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"01-Valmikinagar Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"Total No. of Electors in Assembly Constituency -      240418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"01-Valmikinagar Legislative Assembly Constituency (Round - 12)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"Polling Station No."	"IRSHAD HUSSAIN"	"DHEEREN DRA PRATAP SINGH"	"MUKESH KUMAR KUSHWAH A"	"RAJESH SINGH"	"SHASHI BHUSAN SAHAY"	"MANOJ KUMAR SINGH"	"RAMASHA NKAR PRASAD"	"INSAD ALI"	"DEEP NARAYAN MAHATO"	"PAHAWAR I YADAW"	"PRAMOD SHAH"	"RAMNARE SH SHAH"	"RAMAYAN CHAUDHA RY"	"SAKET KUMAR PATHAK"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""	""
"281"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""	""
"282"	"149"	"11"	"15"	"166"	"227"	"5"	"8"	"3"	"2"	"1"	"0"	"2"	"3"	"0"	"6"	"449"	"0"	"449"	"0"	""	""
"283"	"150"	"12"	"45"	"249"	"239"	"7"	"48"	"3"	"7"	"4"	"5"	"7"	"14"	"5"	"37"	"682"	"0"	"682"	"0"	""	""
"284"	"151"	"3"	"103"	"105"	"318"	"10"	"13"	"2"	"6"	"0"	"4"	"4"	"7"	"9"	"15"	"599"	"0"	"599"	"0"	""	""
"285"	"152"	"86"	"45"	"141"	"210"	"12"	"26"	"6"	"5"	"5"	"9"	"4"	"6"	"8"	"9"	"572"	"0"	"572"	"0"	""	""
"286"	"153"	"7"	"273"	"20"	"302"	"6"	"3"	"3"	"0"	"1"	"2"	"6"	"3"	"25"	"14"	"665"	"0"	"665"	"0"	""	""
"287"	"154"	"34"	"144"	"105"	"371"	"17"	"56"	"13"	"5"	"2"	"4"	"5"	"8"	"7"	"10"	"781"	"0"	"781"	"0"	""	""
"288"	"155"	"9"	"122"	"135"	"398"	"7"	"29"	"6"	"3"	"4"	"5"	"8"	"11"	"6"	"22"	"765"	"0"	"765"	"0"	""	""
"289"	"156"	"10"	"11"	"78"	"67"	"2"	"20"	"2"	"0"	"1"	"1"	"2"	"1"	"1"	"2"	"198"	"0"	"198"	"0"	""	""
"290"	"157"	"28"	"17"	"179"	"30"	"4"	"10"	"3"	"0"	"0"	"1"	"2"	"1"	"0"	"2"	"277"	"0"	"277"	"0"	""	""
"291"	"158"	"48"	"14"	"34"	"125"	"5"	"5"	"3"	"1"	"3"	"2"	"2"	"4"	"7"	"12"	"265"	"0"	"265"	"0"	""	""
"292"	"159"	"16"	"18"	"17"	"17"	"1"	"7"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"2"	"81"	"0"	"81"	"0"	""	""
"293"	"160"	"5"	"15"	"28"	"10"	"0"	"4"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"66"	"0"	"66"	"0"	""	""
"294"	"161"	"13"	"248"	"68"	"357"	"4"	"2"	"2"	"2"	"2"	"7"	"5"	"6"	"9"	"26"	"751"	"0"	"751"	"0"	""	""
"295"	"162"	"9"	"90"	"143"	"244"	"4"	"1"	"2"	"3"	"0"	"3"	"4"	"6"	"9"	"11"	"529"	"0"	"529"	"0"	""	""
"296"	"Total"	"291"	"1160"	"1468"	"2915"	"84"	"232"	"49"	"34"	"24"	"44"	"52"	"71"	"87"	"169"	"6680"	"0"	"6680"	"0"	""	""
"297"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"298"	"01-Valmikinagar Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"300"	"Total No. of Electors in Assembly Constituency -      240418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"303"	"01-Valmikinagar Legislative Assembly Constituency (Round - 13)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"304"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"305"	"Polling Station No."	"IRSHAD HUSSAIN"	"DHEEREN DRA PRATAP SINGH"	"MUKESH KUMAR KUSHWAH A"	"RAJESH SINGH"	"SHASHI BHUSAN SAHAY"	"MANOJ KUMAR SINGH"	"RAMASHA NKAR PRASAD"	"INSAD ALI"	"DEEP NARAYAN MAHATO"	"PAHAWAR I YADAW"	"PRAMOD SHAH"	"RAMNARE SH SHAH"	"RAMAYAN CHAUDHA RY"	"SAKET KUMAR PATHAK"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""	""
"306"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""	""
"307"	"163"	"9"	"27"	"135"	"47"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"1"	"5"	"230"	"0"	"230"	"0"	""	""
"308"	"164"	"44"	"279"	"177"	"251"	"4"	"16"	"7"	"6"	"9"	"6"	"3"	"6"	"21"	"23"	"852"	"0"	"852"	"0"	""	""
